gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attObxLeft,shotFastbreak,goalAssistOpenplay,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,accurateCross,accuratePullBack,attBxRight,postScoringAtt,accurateKeeperSweeper,attGoalHighRight,midfielderGoals,attFreekickPost,hitWoodwork,attMissHighLeft,totalKeeperSweeper,errorLeadToShot,attSetpiece,attRfGoal,totalOffside,attOboxPost,attPostHigh,accurateCrossNocorner,attHdTotal,attHdMiss,accurateCornersIntobox,attIboxMiss,forwardGoals,attHdGoal,attIboxTarget,attMissLeft,attMissHighRight,freekickCross,accurateFreekickCross,bigChanceMissed,attCmissHigh,attAssistSetplay,goalsConceded,penGoalsConceded,goalsConcededIbox,errorLeadToGoal,attSvLowCentre,attMissRight,attPostLeft,sixYardBlock,ownGoals,attIboxOwnGoal,attSvHighLeft,attHdTarget,attCmissRight,attIboxPost,attOboxGoal,attPostRight,penaltySave,attPenTarget,penaltyWon,attCmissHighLeft,attGoalHighLeft,attCmissLeft,attSvHighCentre,attLgCentre,attGoalHighCentre,attFreekickGoal,goalsConcededObox,attHdPost,attObxdRight,attObxdLeft,attCmissHighRight,foulThrowIn,attPenGoal,attObpGoal,attLgLeft,goalFastbreak,secondYellow,clearanceOffLine
1,755312,2014-08-16 15:00:00,"Boleyn Ground, London",34977,Away,Tottenham Hotspur,West Ham United,1,0,W,0,0,1,1,2.0,1.0,1.0,46.0,1.0,1.0,16.0,27.0,7.0,3.0,4.0,1.0,2.0,185.0,1.0,9.0,1.0,3.0,8.0,4.0,119.0,139.0,51.0,2.0,10.0,3.0,15.0,1.0,1.0,1.0,13.0,15.0,3.0,27.0,2.0,31.0,28.0,1.0,198.0,1.0,1.0,0.0,116.0,10.0,3.0,1.0,1.0,1.0,52.0,53.0,7.0,64.0,3.0,11.0,9.0,2.0,1.0,2.0,139.0,1.0,1.0,12.0,114.0,650.0,7.0,6.0,11.0,366.0,17.0,3.0,21.0,1.0,0.0,3.0,1.0,16.0,446.0,60.0,1.0,93264,1.0,188.0,10.0,1.0,207.0,4.0,1.0,9.0,21.0,45.0,3.0,1.0,4.0,1.0,8.0,6.0,8.0,2.0,55.0,386.0,12.0,5.0,18.0,81.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,53.4,13.0,4.0,1.0,4.0,4.0,46.0,5.0,1.0,1.0,482.0,11.0,1.0,12.0,13.0,2.0,15.0,288.0,7.0,30.0,12.0,73.0,20.0,5.0,21.0,19.0,7.0,3.0,14.0,5.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755322,2014-08-24 13:30:00,"White Hart Lane, London",36109,Home,Tottenham Hotspur,Queens Park Rangers,4,0,W,3,0,0,0,1.0,1.0,3.0,57.0,,5.0,39.0,15.0,7.0,9.0,1.0,,,179.0,,15.0,4.0,2.0,14.0,5.0,203.0,125.0,52.0,1.0,18.0,2.0,9.0,,2.0,3.0,21.0,19.0,1.0,15.0,3.0,24.0,25.0,,257.0,,1.0,0.0,137.0,12.0,1.0,3.0,,1.0,108.0,53.0,10.0,112.0,1.0,18.0,13.0,1.0,6.0,3.0,125.0,3.0,,7.0,192.0,879.0,10.0,3.0,17.0,596.0,16.0,3.0,12.0,4.0,0.0,1.0,4.0,15.0,661.0,58.0,,93264,6.0,365.0,12.0,,382.0,5.0,1.0,13.0,11.0,46.0,5.0,1.0,4.0,3.0,12.0,2.0,10.0,4.0,61.0,619.0,6.0,3.0,10.0,76.0,2.0,1.0,1.0,0.0,,1.0,6.0,1.0,4.0,1.0,0.0,4.0,2.0,65.5,13.0,5.0,,4.0,7.0,49.0,7.0,,1.0,686.0,17.0,,9.0,15.0,6.0,18.0,325.0,6.0,23.0,7.0,106.0,31.0,6.0,12.0,24.0,13.0,3.0,30.0,6.0,6.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755331,2014-08-31 13:30:00,"White Hart Lane, London",36130,Home,Tottenham Hotspur,Liverpool,0,3,L,0,1,0,0,2.0,,,53.0,1.0,1.0,46.0,16.0,2.0,,5.0,,1.0,163.0,,10.0,,1.0,6.0,1.0,165.0,164.0,51.0,,7.0,1.0,4.0,,,,23.0,15.0,,16.0,6.0,13.0,31.0,1.0,300.0,,,0.0,160.0,14.0,3.0,,,,92.0,76.0,2.0,80.0,1.0,17.0,15.0,,3.0,1.0,164.0,1.0,1.0,11.0,151.0,773.0,5.0,5.0,16.0,452.0,14.0,4.0,12.0,,0.0,1.0,4.0,34.0,531.0,69.0,1.0,93264,4.0,184.0,13.0,1.0,200.0,1.0,,15.0,10.0,52.0,2.0,,3.0,,23.0,6.0,9.0,2.0,67.0,478.0,11.0,8.0,13.0,85.0,,1.0,,0.0,,6.0,3.0,4.0,,1.0,0.0,,1.0,60.4,28.0,5.0,1.0,3.0,2.0,63.0,7.0,1.0,,559.0,16.0,,15.0,17.0,4.0,21.0,382.0,5.0,13.0,13.0,121.0,27.0,,12.0,17.0,5.0,3.0,23.0,,5.0,7.0,,,,,6.0,,,,1.0,,,,,,1.0,1.0,,,3.0,,,5.0,2.0,2.0,1.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755341,2014-09-13 15:00:00,"Stadium of Light, Sunderland",40799,Away,Tottenham Hotspur,Sunderland,2,2,D,1,1,0,0,1.0,1.0,2.0,67.0,,3.0,34.0,18.0,7.0,6.0,,,3.0,172.0,,17.0,2.0,4.0,13.0,6.0,156.0,135.0,70.0,1.0,16.0,3.0,12.0,,,,15.0,25.0,1.0,18.0,4.0,36.0,24.0,,357.0,,,0.0,209.0,14.0,,,2.0,,74.0,69.0,10.0,103.0,2.0,11.0,11.0,1.0,2.0,1.0,135.0,1.0,,4.0,162.0,807.0,12.0,3.0,19.0,495.0,32.0,11.0,10.0,,1.0,3.0,3.0,21.0,572.0,62.0,,93264,2.0,161.0,7.0,,181.0,5.0,1.0,11.0,3.0,63.0,4.0,,2.0,2.0,8.0,4.0,2.0,,52.0,515.0,16.0,11.0,20.0,66.0,,1.0,,0.0,,4.0,6.0,,2.0,3.0,0.0,,,62.0,18.0,4.0,4.0,2.0,6.0,53.0,5.0,,,593.0,19.0,1.0,24.0,14.0,4.0,20.0,427.0,9.0,36.0,7.0,170.0,29.0,6.0,10.0,30.0,13.0,3.0,22.0,6.0,1.0,5.0,1.0,1.0,,,3.0,,,2.0,,,2.0,,2.0,,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,3.0,,1.0,2.0,1.0,1.0,,1.0,2.0,,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755351,2014-09-21 13:30:00,"White Hart Lane, London",35861,Home,Tottenham Hotspur,West Bromwich Albion,0,1,L,0,0,0,0,1.0,,,57.0,3.0,2.0,55.0,26.0,,,3.0,,1.0,178.0,,15.0,,2.0,7.0,1.0,132.0,159.0,50.0,,7.0,,9.0,,,,41.0,12.0,,26.0,8.0,21.0,34.0,,215.0,,,0.0,140.0,12.0,2.0,,,1.0,62.0,95.0,3.0,58.0,1.0,33.0,24.0,,10.0,,159.0,,,5.0,144.0,722.0,4.0,8.0,18.0,404.0,27.0,8.0,15.0,,2.0,1.0,4.0,26.0,491.0,65.0,,93264,6.0,212.0,22.0,,232.0,7.0,,24.0,9.0,45.0,2.0,,7.0,,9.0,5.0,7.0,2.0,88.0,418.0,7.0,8.0,22.0,94.0,,1.0,1.0,0.0,,3.0,7.0,,,1.0,0.0,,,61.8,22.0,1.0,,7.0,2.0,63.0,9.0,,1.0,512.0,18.0,,12.0,20.0,4.0,24.0,321.0,3.0,17.0,15.0,90.0,20.0,3.0,15.0,13.0,3.0,3.0,20.0,3.0,6.0,9.0,,,,,9.0,,1.0,,,,,,,,,,,,,,,5.0,3.0,3.0,4.0,4.0,,,1.0,1.0,,1.0,,,,3.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755353,2014-09-27 17:30:00,"Emirates Stadium, London",59900,Away,Tottenham Hotspur,Arsenal,1,1,D,0,0,0,0,,,1.0,51.0,3.0,,16.0,44.0,2.0,2.0,5.0,,2.0,117.0,,7.0,1.0,1.0,5.0,4.0,71.0,121.0,46.0,1.0,6.0,,15.0,,1.0,1.0,13.0,15.0,1.0,44.0,5.0,8.0,16.0,1.0,86.0,,,0.0,69.0,16.0,3.0,4.0,1.0,3.0,44.0,28.0,3.0,33.0,3.0,8.0,15.0,1.0,2.0,1.0,121.0,1.0,,8.0,58.0,490.0,3.0,8.0,21.0,193.0,18.0,2.0,19.0,1.0,6.0,7.0,2.0,14.0,263.0,37.0,2.0,93264,3.0,118.0,6.0,,144.0,7.0,,15.0,5.0,63.0,2.0,,10.0,1.0,5.0,8.0,2.0,,48.0,201.0,7.0,16.0,25.0,53.0,1.0,1.0,2.0,0.0,1.0,5.0,15.0,2.0,1.0,2.0,0.0,1.0,1.0,31.4,10.0,1.0,1.0,10.0,,21.0,5.0,,3.0,279.0,21.0,,9.0,10.0,2.0,8.0,148.0,3.0,6.0,9.0,45.0,17.0,7.0,19.0,23.0,4.0,3.0,15.0,7.0,9.0,5.0,1.0,,,,3.0,,,,,,1.0,,,,,,1.0,1.0,2.0,,,2.0,1.0,,1.0,1.0,,,2.0,,,,,,,1.0,1.0,,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755371,2014-10-05 14:05:00,"White Hart Lane, London",35564,Home,Tottenham Hotspur,Southampton,1,0,W,1,0,0,0,,2.0,,53.0,2.0,1.0,35.0,33.0,4.0,4.0,3.0,,,157.0,,9.0,1.0,1.0,8.0,4.0,68.0,175.0,54.0,,9.0,1.0,10.0,,2.0,1.0,27.0,16.0,2.0,33.0,9.0,15.0,33.0,,169.0,1.0,1.0,0.0,116.0,15.0,2.0,2.0,,1.0,80.0,42.0,6.0,50.0,2.0,18.0,16.0,,4.0,,175.0,1.0,,4.0,85.0,599.0,6.0,13.0,23.0,259.0,23.0,8.0,17.0,1.0,2.0,3.0,2.0,35.0,338.0,64.0,,93264,4.0,107.0,12.0,,126.0,10.0,,16.0,8.0,58.0,1.0,,3.0,1.0,10.0,3.0,6.0,,62.0,274.0,9.0,1.0,24.0,84.0,2.0,2.0,,0.0,,2.0,5.0,1.0,,3.0,0.0,1.0,,46.2,22.0,,,3.0,2.0,54.0,10.0,,1.0,360.0,23.0,,21.0,21.0,3.0,21.0,261.0,4.0,14.0,16.0,73.0,20.0,3.0,17.0,20.0,6.0,3.0,21.0,3.0,6.0,10.0,1.0,,,,2.0,,1.0,1.0,2.0,,1.0,,1.0,,2.0,2.0,,1.0,6.0,,,,1.0,,2.0,2.0,,,1.0,,,2.0,,1.0,,1.0,,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
8,755377,2014-10-18 12:45:00,"Etihad Stadium, Manchester",45549,Away,Tottenham Hotspur,Manchester City,1,4,L,1,2,1,0,,2.0,1.0,67.0,2.0,3.0,15.0,18.0,12.0,5.0,8.0,,4.0,159.0,,20.0,1.0,4.0,12.0,7.0,88.0,140.0,56.0,3.0,19.0,5.0,6.0,,,1.0,13.0,17.0,3.0,18.0,4.0,18.0,27.0,1.0,164.0,,,0.0,107.0,9.0,5.0,,1.0,2.0,37.0,39.0,10.0,46.0,5.0,9.0,19.0,3.0,1.0,4.0,140.0,3.0,3.0,17.0,84.0,587.0,11.0,5.0,22.0,266.0,27.0,5.0,9.0,1.0,2.0,4.0,2.0,14.0,352.0,43.0,,93264,5.0,125.0,8.0,3.0,149.0,5.0,1.0,19.0,7.0,49.0,1.0,,5.0,1.0,11.0,3.0,5.0,,41.0,287.0,11.0,15.0,17.0,70.0,,,,0.0,,4.0,3.0,6.0,1.0,1.0,1.0,1.0,,38.3,12.0,4.0,,5.0,8.0,42.0,4.0,3.0,2.0,377.0,22.0,1.0,9.0,10.0,4.0,10.0,241.0,14.0,17.0,6.0,74.0,26.0,3.0,9.0,19.0,14.0,3.0,31.0,3.0,8.0,4.0,,,,,2.0,,2.0,,,,1.0,,,1.0,,,,1.0,2.0,,,2.0,,,,,,,3.0,3.0,,,,3.0,,,4.0,2.0,4.0,,4.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
9,755390,2014-10-26 13:30:00,"White Hart Lane, London",35650,Home,Tottenham Hotspur,Newcastle United,1,2,L,1,0,0,0,1.0,1.0,1.0,57.0,,3.0,47.0,17.0,9.0,8.0,,,,211.0,,9.0,1.0,1.0,11.0,2.0,133.0,193.0,59.0,,18.0,5.0,17.0,,,1.0,32.0,20.0,,17.0,9.0,14.0,38.0,,250.0,,,0.0,182.0,9.0,,,,1.0,80.0,75.0,7.0,65.0,1.0,23.0,15.0,,9.0,5.0,193.0,4.0,1.0,4.0,147.0,791.0,8.0,13.0,11.0,430.0,24.0,11.0,11.0,1.0,2.0,1.0,4.0,32.0,531.0,90.0,,93264,4.0,207.0,13.0,,219.0,4.0,,15.0,7.0,59.0,,,5.0,1.0,21.0,4.0,6.0,3.0,75.0,449.0,12.0,6.0,27.0,92.0,,,1.0,0.0,,3.0,2.0,,1.0,2.0,0.0,1.0,1.0,66.9,24.0,2.0,1.0,5.0,8.0,49.0,10.0,,1.0,556.0,11.0,,14.0,20.0,8.0,28.0,369.0,8.0,13.0,13.0,123.0,24.0,2.0,11.0,26.0,14.0,3.0,24.0,2.0,7.0,10.0,,,,,8.0,,1.0,,,,,,,1.0,,,1.0,,1.0,,,6.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,,2.0,1.0,,3.0,,2.0,2.0,,2.0,1.0,,2.0,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
10,755394,2014-11-02 16:00:00,"Villa Park, Birmingham",32049,Away,Tottenham Hotspur,Aston Villa,2,1,W,0,1,0,1,,,1.0,54.0,,3.0,35.0,35.0,7.0,3.0,,1.0,4.0,168.0,,16.0,2.0,5.0,13.0,7.0,140.0,141.0,65.0,2.0,18.0,2.0,27.0,,,,23.0,15.0,1.0,35.0,6.0,15.0,33.0,1.0,247.0,,,0.0,165.0,11.0,,1.0,2.0,2.0,62.0,79.0,9.0,63.0,,18.0,10.0,2.0,6.0,3.0,141.0,2.0,,9.0,139.0,703.0,10.0,6.0,10.0,393.0,22.0,3.0,23.0,1.0,3.0,2.0,4.0,14.0,479.0,71.0,2.0,80710,6.0,169.0,11.0,,186.0,4.0,2.0,10.0,12.0,50.0,5.0,,6.0,,11.0,3.0,6.0,2.0,66.0,413.0,13.0,2.0,14.0,87.0,,1.0,1.0,0.0,,,3.0,,1.0,2.0,0.0,1.0,,59.9,12.0,3.0,2.0,6.0,5.0,55.0,9.0,,2.0,510.0,10.0,1.0,5.0,16.0,6.0,23.0,347.0,12.0,15.0,17.0,114.0,20.0,2.0,23.0,19.0,11.0,3.0,21.0,2.0,3.0,9.0,,1.0,1.0,1.0,3.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,3.0,2.0,4.0,3.0,,,4.0,2.0,1.0,1.0,,3.0,,2.0,1.0,,1.0,,2.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
