gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attFreekickTotal,postScoringAtt,cleanSheet,divingSave,attFreekickPost,freekickTotal,attPostLeft,totalPullBack,attMissHigh,attAssistSetplay,attOboxPost,shieldBallOop,accurateCornersIntobox,goalsConcededObox,handBall,attGoalLowLeft,goalAssistSetplay,attLfGoal,midfielderGoals,attHdTarget,accurateFreekickCross,sixYardBlock,attSetpiece,attGoalHighLeft,attSvLowRight,punches,forwardGoals,attGoalLowRight,attGoalLowCentre,attMissLeft,attOneOnOne,contentiousDecision,attCmissHighRight,attObxRight,attHdGoal,accurateThroughBall,attCmissHigh,attCmissHighLeft,attFreekickTarget,clearanceOffLine,attIboxPost,attSvHighRight,attCmissLeft,attFreekickMiss,accuratePullBack,attObxLeft,attOboxGoal,attGoalHighCentre,attHdPost,attPostHigh,attLgCentre,totalFastbreak,attObxdRight,errorLeadToGoal,shotFastbreak,errorLeadToShot,attFastbreak,attPenTarget,penaltyWon,attObpGoal,goalAssistDeadball,foulThrowIn,secondYellow,attPostRight,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attObxdLeft,attPenGoal,penaltyConceded,penaltyFaced,penGoalsConceded
1,755306,2014-08-17 13:30:00,"Anfield, Liverpool",44736,Away,Southampton,Liverpool,1,2,L,0,1,0,0,1.0,1.0,64.0,1.0,1.0,28.0,14.0,4.0,1.0,3.0,4.0,178.0,3.0,10.0,1.0,2.0,9.0,1.0,6.0,93.0,169.0,67.0,12.0,1.0,23.0,3.0,1.0,1.0,1.0,1.0,37.0,23.0,1.0,2.0,14.0,6.0,15.0,44.0,175.0,1.0,0.0,127.0,11.0,2.0,2.0,1.0,80.0,24.0,7.0,65.0,3.0,2.0,31.0,13.0,12.0,1.0,169.0,2.0,4.0,114.0,662.0,8.0,14.0,1.0,19.0,333.0,31.0,1.0,9.0,7.0,1.0,1.0,2.0,2.0,2.0,27.0,432.0,57.0,88900,4.0,173.0,2.0,17.0,204.0,7.0,1.0,13.0,7.0,64.0,1.0,1.0,2.0,4.0,1.0,5.0,8.0,5.0,71.0,345.0,8.0,15.0,39.0,79.0,0.0,2.0,2.0,2.0,1.0,2.0,8.0,0.0,3.0,1.0,1.0,43.9,22.0,1.0,1.0,1.0,2.0,4.0,2.0,41.0,6.0,1.0,450.0,19.0,12.0,26.0,4.0,19.0,3.0,283.0,10.0,13.0,14.0,82.0,26.0,2.0,7.0,35.0,2.0,11.0,2.0,14.0,2.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755319,2014-08-23 15:00:00,"St. Mary's Stadium, Southampton",27598,Home,Southampton,West Bromwich Albion,0,0,D,0,0,0,0,1.0,,49.0,1.0,1.0,38.0,13.0,3.0,4.0,2.0,1.0,183.0,6.0,3.0,,3.0,8.0,,2.0,106.0,148.0,54.0,9.0,1.0,9.0,2.0,,1.0,,1.0,22.0,16.0,,,13.0,1.0,8.0,44.0,220.0,,0.0,152.0,14.0,1.0,2.0,5.0,79.0,65.0,4.0,88.0,,3.0,21.0,16.0,7.0,1.0,148.0,,4.0,130.0,694.0,7.0,7.0,1.0,14.0,393.0,12.0,,8.0,8.0,,1.0,1.0,2.0,4.0,32.0,484.0,77.0,84395,4.0,198.0,,12.0,220.0,3.0,,16.0,7.0,45.0,,,1.0,7.0,,9.0,4.0,6.0,74.0,412.0,15.0,5.0,30.0,90.0,0.0,3.0,5.0,1.0,,,2.0,0.0,5.0,,3.0,57.6,27.0,3.0,4.0,2.0,,7.0,2.0,57.0,1.0,5.0,507.0,14.0,15.0,27.0,5.0,17.0,3.0,309.0,2.0,4.0,15.0,107.0,23.0,2.0,8.0,22.0,,7.0,2.0,7.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755332,2014-08-30 15:00:00,"Boleyn Ground, London",34907,Away,Southampton,West Ham United,3,1,W,1,1,0,0,2.0,1.0,55.0,,3.0,31.0,25.0,7.0,7.0,1.0,2.0,200.0,6.0,1.0,3.0,5.0,14.0,,8.0,136.0,141.0,50.0,18.0,3.0,13.0,4.0,,1.0,,1.0,32.0,20.0,,1.0,25.0,6.0,11.0,29.0,287.0,,0.0,160.0,13.0,1.0,2.0,2.0,79.0,56.0,11.0,95.0,,2.0,26.0,18.0,1.0,3.0,141.0,,2.0,145.0,776.0,11.0,10.0,,9.0,480.0,23.0,,9.0,13.0,1.0,1.0,1.0,1.0,3.0,20.0,557.0,65.0,84395,7.0,215.0,,23.0,238.0,7.0,1.0,18.0,4.0,51.0,,,2.0,4.0,1.0,5.0,2.0,2.0,63.0,496.0,11.0,2.0,32.0,101.0,0.0,2.0,2.0,1.0,3.0,1.0,5.0,0.0,6.0,1.0,1.0,63.6,18.0,,6.0,1.0,,4.0,6.0,72.0,9.0,2.0,576.0,9.0,13.0,21.0,4.0,16.0,1.0,370.0,9.0,10.0,15.0,124.0,21.0,3.0,13.0,24.0,,12.0,2.0,12.0,3.0,10.0,9.0,1.0,,,1.0,,1.0,,,2.0,2.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755339,2014-09-13 15:00:00,"St. Mary's Stadium, Southampton",29678,Home,Southampton,Newcastle United,4,0,W,2,0,0,0,2.0,3.0,67.0,2.0,,28.0,19.0,3.0,2.0,4.0,1.0,171.0,4.0,3.0,4.0,,8.0,,7.0,132.0,132.0,52.0,10.0,,9.0,1.0,,,3.0,1.0,21.0,21.0,,2.0,19.0,5.0,16.0,30.0,200.0,1.0,0.0,111.0,16.0,2.0,,2.0,71.0,52.0,6.0,103.0,1.0,,16.0,18.0,3.0,2.0,132.0,2.0,5.0,146.0,731.0,4.0,6.0,,18.0,452.0,28.0,,9.0,6.0,3.0,,0.0,2.0,2.0,19.0,537.0,62.0,84395,4.0,266.0,,13.0,286.0,7.0,3.0,18.0,5.0,44.0,1.0,,3.0,5.0,4.0,8.0,4.0,1.0,68.0,462.0,7.0,8.0,32.0,83.0,0.0,,5.0,2.0,4.0,,4.0,0.0,3.0,3.0,2.0,50.3,19.0,1.0,3.0,2.0,,5.0,,51.0,5.0,2.0,552.0,18.0,10.0,15.0,3.0,9.0,1.0,287.0,6.0,12.0,13.0,67.0,28.0,3.0,6.0,29.0,,9.0,3.0,7.0,3.0,9.0,5.0,,,1.0,3.0,,,,1.0,,1.0,,,1.0,,3.0,,,,2.0,,,,,1.0,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755350,2014-09-20 15:00:00,"Swansea.com Stadium, Swansea",20596,Away,Southampton,Swansea City,1,0,W,0,0,0,1,2.0,,62.0,1.0,2.0,33.0,13.0,3.0,4.0,1.0,,166.0,6.0,2.0,1.0,3.0,10.0,,4.0,155.0,128.0,39.0,11.0,,11.0,2.0,1.0,,1.0,1.0,34.0,12.0,,1.0,13.0,4.0,13.0,37.0,268.0,,0.0,158.0,15.0,1.0,,1.0,69.0,52.0,5.0,73.0,1.0,,30.0,14.0,11.0,2.0,128.0,,4.0,135.0,698.0,9.0,4.0,,17.0,440.0,15.0,1.0,8.0,5.0,1.0,,4.0,2.0,5.0,18.0,510.0,76.0,84395,5.0,192.0,,19.0,207.0,9.0,1.0,14.0,6.0,39.0,1.0,,2.0,1.0,1.0,11.0,1.0,5.0,55.0,454.0,11.0,7.0,21.0,75.0,0.0,5.0,2.0,1.0,1.0,,,0.0,5.0,1.0,3.0,56.0,17.0,2.0,3.0,2.0,,1.0,2.0,56.0,4.0,1.0,529.0,17.0,4.0,19.0,5.0,28.0,3.0,356.0,4.0,12.0,12.0,118.0,39.0,2.0,5.0,16.0,,10.0,3.0,4.0,2.0,8.0,4.0,1.0,,1.0,,,1.0,,,3.0,,,,1.0,,,,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755359,2014-09-27 15:00:00,"St. Mary's Stadium, Southampton",30504,Home,Southampton,Queens Park Rangers,2,1,W,0,0,0,0,4.0,,57.0,,3.0,36.0,16.0,7.0,9.0,1.0,3.0,175.0,6.0,8.0,2.0,4.0,13.0,1.0,9.0,126.0,154.0,67.0,19.0,1.0,18.0,3.0,2.0,,2.0,4.0,30.0,16.0,1.0,4.0,16.0,6.0,11.0,44.0,206.0,,0.0,148.0,12.0,1.0,1.0,,66.0,78.0,10.0,72.0,2.0,2.0,24.0,16.0,5.0,2.0,154.0,1.0,5.0,110.0,675.0,10.0,10.0,3.0,15.0,368.0,21.0,1.0,9.0,8.0,2.0,,2.0,,3.0,23.0,463.0,61.0,62399,5.0,182.0,3.0,18.0,208.0,8.0,1.0,16.0,9.0,51.0,2.0,1.0,4.0,3.0,2.0,8.0,5.0,4.0,76.0,382.0,9.0,9.0,30.0,90.0,0.0,2.0,3.0,1.0,2.0,1.0,5.0,0.0,4.0,2.0,,55.4,21.0,,5.0,1.0,,3.0,4.0,56.0,6.0,,483.0,15.0,9.0,23.0,6.0,20.0,3.0,305.0,9.0,10.0,30.0,100.0,26.0,2.0,8.0,20.0,1.0,15.0,3.0,12.0,2.0,10.0,6.0,2.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,2.0,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,2.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755371,2014-10-05 14:05:00,"White Hart Lane, London",35564,Away,Southampton,Tottenham Hotspur,0,1,L,0,1,0,0,2.0,,57.0,2.0,2.0,32.0,33.0,3.0,2.0,2.0,1.0,170.0,3.0,1.0,,6.0,5.0,,3.0,106.0,157.0,58.0,7.0,1.0,16.0,1.0,,,,,20.0,18.0,,2.0,33.0,5.0,11.0,45.0,174.0,,0.0,121.0,9.0,1.0,4.0,1.0,46.0,71.0,3.0,64.0,,1.0,15.0,17.0,3.0,,157.0,3.0,5.0,98.0,665.0,4.0,10.0,,8.0,328.0,27.0,,12.0,8.0,,,1.0,3.0,1.0,32.0,420.0,66.0,84395,3.0,168.0,3.0,8.0,194.0,4.0,,17.0,1.0,54.0,1.0,,2.0,4.0,,15.0,4.0,1.0,74.0,339.0,15.0,9.0,40.0,80.0,0.0,3.0,10.0,1.0,,1.0,5.0,0.0,2.0,,,53.8,31.0,,2.0,,,4.0,3.0,47.0,5.0,3.0,438.0,8.0,18.0,23.0,1.0,21.0,1.0,264.0,5.0,10.0,10.0,67.0,23.0,6.0,8.0,33.0,,5.0,1.0,3.0,6.0,12.0,5.0,2.0,,,2.0,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,755380,2014-10-18 15:00:00,"St. Mary's Stadium, Southampton",29615,Home,Southampton,Sunderland,8,0,W,3,0,0,0,1.0,3.0,76.0,1.0,2.0,33.0,32.0,6.0,4.0,2.0,4.0,171.0,9.0,6.0,8.0,3.0,19.0,,10.0,108.0,129.0,41.0,21.0,,21.0,2.0,1.0,,4.0,2.0,25.0,15.0,,3.0,32.0,4.0,13.0,40.0,227.0,1.0,0.0,139.0,11.0,2.0,3.0,1.0,69.0,51.0,11.0,76.0,1.0,2.0,21.0,21.0,7.0,3.0,129.0,5.0,9.0,117.0,662.0,14.0,9.0,,16.0,381.0,16.0,,8.0,19.0,4.0,,1.0,3.0,8.0,12.0,451.0,51.0,84395,12.0,170.0,2.0,11.0,186.0,5.0,4.0,21.0,10.0,44.0,3.0,,3.0,3.0,5.0,11.0,4.0,1.0,67.0,388.0,7.0,4.0,18.0,84.0,0.0,3.0,6.0,,7.0,,5.0,0.0,7.0,4.0,1.0,52.6,10.0,1.0,9.0,,1.0,3.0,2.0,51.0,5.0,1.0,472.0,16.0,5.0,23.0,9.0,26.0,6.0,311.0,16.0,11.0,9.0,100.0,44.0,3.0,19.0,20.0,,18.0,3.0,11.0,3.0,9.0,5.0,,,1.0,1.0,,,,2.0,2.0,1.0,,,2.0,,1.0,2.0,,1.0,1.0,,,,2.0,,,,3.0,1.0,1.0,4.0,,1.0,,,,1.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,755387,2014-10-25 15:00:00,"St. Mary's Stadium, Southampton",30017,Home,Southampton,Stoke City,1,0,W,1,0,0,0,1.0,,57.0,,1.0,27.0,13.0,7.0,10.0,1.0,,186.0,5.0,6.0,1.0,5.0,16.0,2.0,2.0,145.0,139.0,51.0,20.0,3.0,28.0,1.0,1.0,,,,18.0,16.0,1.0,,13.0,3.0,20.0,26.0,237.0,,0.0,148.0,10.0,,1.0,2.0,60.0,84.0,4.0,99.0,,4.0,15.0,15.0,1.0,4.0,139.0,,4.0,131.0,752.0,14.0,6.0,3.0,14.0,459.0,19.0,2.0,6.0,6.0,,,0.0,3.0,12.0,25.0,536.0,64.0,84395,7.0,246.0,,13.0,268.0,3.0,1.0,15.0,7.0,66.0,2.0,,1.0,4.0,,17.0,4.0,3.0,59.0,478.0,11.0,9.0,23.0,82.0,0.0,,3.0,1.0,1.0,,3.0,0.0,3.0,,2.0,61.2,21.0,1.0,,3.0,,4.0,4.0,54.0,6.0,2.0,561.0,14.0,15.0,13.0,14.0,11.0,7.0,311.0,8.0,18.0,15.0,109.0,32.0,4.0,6.0,21.0,,13.0,2.0,12.0,4.0,4.0,6.0,2.0,3.0,1.0,,,2.0,1.0,,2.0,2.0,,,2.0,,,,,,,,,,2.0,,1.0,,1.0,,,3.0,,,,,,,,1.0,,,3.0,,1.0,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10,755398,2014-11-01 15:00:00,"The MKM Stadium, Hull",22828,Away,Southampton,Hull City,1,0,W,1,0,0,0,1.0,,65.0,1.0,2.0,39.0,23.0,2.0,2.0,1.0,1.0,171.0,5.0,4.0,1.0,,9.0,1.0,3.0,147.0,157.0,58.0,10.0,,14.0,2.0,,,,,10.0,27.0,,,23.0,3.0,4.0,38.0,185.0,1.0,0.0,123.0,9.0,,,,54.0,65.0,4.0,89.0,1.0,2.0,7.0,16.0,,2.0,157.0,3.0,2.0,137.0,712.0,8.0,12.0,,14.0,415.0,18.0,,12.0,10.0,,,0.0,3.0,5.0,22.0,526.0,71.0,84395,3.0,243.0,3.0,7.0,275.0,4.0,1.0,16.0,9.0,45.0,1.0,,1.0,3.0,1.0,13.0,6.0,3.0,87.0,423.0,6.0,10.0,38.0,95.0,0.0,,7.0,,,,5.0,0.0,3.0,,1.0,52.8,19.0,1.0,2.0,2.0,1.0,4.0,2.0,50.0,4.0,,544.0,14.0,11.0,16.0,5.0,10.0,3.0,279.0,7.0,1.0,20.0,68.0,39.0,3.0,10.0,29.0,,9.0,2.0,6.0,3.0,7.0,4.0,,,1.0,,,,,2.0,2.0,1.0,,1.0,2.0,,1.0,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
