gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,penaltySave,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attObxdRight,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attSvLowRight,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowCentre,attBxRight,attOboxMiss,attSetpiece,attRfGoal,goalsOpenplay,attMissHigh,goalsConceded,forwardGoals,goalsConcededIbox,attRfTarget,accurateFreekickCross,errorLeadToShot,attCmissHigh,attSvHighCentre,goalsConcededObox,attGoalLowRight,postScoringAtt,goalAssistOpenplay,attMissLeft,attGoalHighRight,midfielderGoals,attSvLowLeft,hitWoodwork,attOboxPost,attPostHigh,attLfGoal,accuratePullBack,attOboxGoal,attLgCentre,totalPullBack,attGoalHighLeft,attCmissLeft,shieldBallOop,penaltyWon,attHdTarget,attPenGoal,attCmissRight,goalFastbreak,attMissHighLeft,errorLeadToGoal,accurateThroughBall,totalThroughBall,attSvHighLeft,attCmissHighLeft,attIboxPost,attCmissHighRight,foulThrowIn,attFreekickMiss,attSvHighRight,sixYardBlock,attHdPost,attPostRight,attGoalHighCentre,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,secondYellow,penGoalsConceded,attLgRight,attFreekickPost,attObxdLeft
1,755309,2014-08-16 15:00:00,"MATRADE Loftus Road, London",17603,Away,Hull City,Queens Park Rangers,1,0,W,0,0,0,0,1.0,1.0,3.0,69.0,1.0,2.0,3.0,1.0,1.0,25.0,56.0,2.0,5.0,5.0,140.0,5.0,4.0,1.0,2.0,9.0,4.0,96.0,142.0,44.0,1.0,11.0,1.0,30.0,1.0,1.0,3.0,2.0,20.0,14.0,2.0,56.0,9.0,20.0,26.0,1.0,133.0,2.0,1.0,0.0,107.0,10.0,1.0,1.0,1.0,2.0,41.0,75.0,7.0,58.0,1.0,1.0,11.0,9.0,1.0,3.0,142.0,1.0,1.0,12.0,88.0,600.0,1.0,7.0,9.0,13.0,279.0,33.0,8.0,34.0,1.0,3.0,2.0,7.0,2.0,26.0,360.0,58.0,90517,6.0,161.0,1.0,7.0,1.0,180.0,5.0,9.0,9.0,60.0,1.0,2.0,4.0,10.0,7.0,3.0,72.0,289.0,10.0,8.0,1.0,35.0,73.0,1.0,1.0,2.0,0.0,1.0,2.0,8.0,4.0,1.0,2.0,0.0,2.0,1.0,2.0,49.0,21.0,1.0,2.0,1.0,5.0,4.0,1.0,28.0,9.0,1.0,2.0,382.0,13.0,10.0,14.0,3.0,16.0,3.0,3.0,222.0,3.0,17.0,15.0,60.0,21.0,5.0,34.0,17.0,1.0,7.0,3.0,8.0,5.0,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755317,2014-08-24 13:30:00,"The MKM Stadium, Hull",24348,Home,Hull City,Stoke City,1,1,D,1,0,1,0,1.0,,1.0,69.0,,1.0,1.0,,,23.0,39.0,6.0,4.0,2.0,154.0,,7.0,1.0,1.0,5.0,2.0,93.0,144.0,58.0,,9.0,3.0,29.0,,,,,18.0,17.0,1.0,39.0,2.0,13.0,27.0,,155.0,,,0.0,106.0,10.0,1.0,,,2.0,53.0,73.0,4.0,57.0,3.0,2.0,16.0,16.0,,5.0,144.0,,,12.0,74.0,576.0,,5.0,7.0,11.0,261.0,38.0,4.0,27.0,,,1.0,5.0,1.0,24.0,338.0,58.0,86176,1.0,124.0,,11.0,,137.0,3.0,16.0,14.0,59.0,,,1.0,4.0,7.0,3.0,77.0,279.0,10.0,7.0,,28.0,81.0,,1.0,,0.0,,4.0,5.0,1.0,1.0,,1.0,,,,42.7,21.0,,1.0,,1.0,4.0,,28.0,4.0,,2.0,378.0,11.0,11.0,13.0,3.0,12.0,,1.0,259.0,5.0,10.0,22.0,57.0,16.0,4.0,27.0,19.0,,8.0,3.0,12.0,4.0,13.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755323,2014-08-31 13:30:00,"Villa Park, Birmingham",28336,Away,Hull City,Aston Villa,1,2,L,0,2,0,0,,,1.0,56.0,1.0,,,1.0,,43.0,37.0,5.0,3.0,2.0,156.0,5.0,3.0,1.0,3.0,7.0,3.0,156.0,131.0,42.0,1.0,9.0,3.0,15.0,1.0,,1.0,1.0,33.0,11.0,1.0,37.0,6.0,10.0,45.0,,193.0,,,0.0,134.0,10.0,1.0,,3.0,1.0,64.0,75.0,4.0,70.0,,1.0,27.0,9.0,1.0,8.0,131.0,,,7.0,161.0,737.0,,6.0,11.0,18.0,454.0,27.0,11.0,25.0,1.0,1.0,4.0,1.0,3.0,23.0,525.0,68.0,90517,1.0,278.0,,16.0,,293.0,8.0,9.0,6.0,41.0,,2.0,3.0,9.0,4.0,3.0,76.0,466.0,9.0,5.0,,29.0,77.0,,,,0.0,,3.0,3.0,2.0,1.0,4.0,0.0,5.0,1.0,2.0,55.2,23.0,1.0,4.0,1.0,3.0,3.0,,51.0,7.0,,1.0,543.0,18.0,7.0,21.0,3.0,28.0,,2.0,283.0,4.0,9.0,17.0,90.0,20.0,4.0,25.0,13.0,1.0,6.0,3.0,8.0,4.0,7.0,7.0,,,1.0,1.0,1.0,,,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755336,2014-09-15 20:00:00,"The MKM Stadium, Hull",21275,Home,Hull City,West Ham United,2,2,D,1,0,0,0,1.0,,2.0,65.0,,1.0,1.0,,,27.0,50.0,7.0,3.0,3.0,114.0,6.0,8.0,2.0,,7.0,6.0,67.0,125.0,66.0,,11.0,,18.0,,,,1.0,22.0,23.0,4.0,50.0,3.0,11.0,38.0,,115.0,,,0.0,113.0,12.0,2.0,,,1.0,56.0,36.0,4.0,69.0,4.0,1.0,19.0,18.0,,8.0,125.0,,,7.0,82.0,579.0,,6.0,4.0,29.0,245.0,26.0,10.0,29.0,1.0,,3.0,9.0,3.0,16.0,314.0,65.0,90517,4.0,146.0,,11.0,,156.0,6.0,18.0,7.0,60.0,,1.0,3.0,12.0,10.0,1.0,66.0,255.0,7.0,16.0,,31.0,65.0,,,2.0,0.0,,2.0,10.0,2.0,2.0,,0.0,5.0,1.0,1.0,40.9,15.0,,4.0,,3.0,1.0,1.0,27.0,3.0,,1.0,332.0,29.0,12.0,24.0,4.0,13.0,1.0,1.0,198.0,6.0,10.0,17.0,63.0,30.0,1.0,29.0,34.0,1.0,10.0,3.0,12.0,1.0,12.0,3.0,,,,2.0,,1.0,2.0,,2.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755348,2014-09-20 15:00:00,"St. James' Park, Newcastle",49119,Away,Hull City,Newcastle United,2,2,D,0,0,0,0,,,1.0,67.0,,,,,,25.0,52.0,5.0,4.0,5.0,128.0,2.0,3.0,2.0,4.0,8.0,3.0,88.0,127.0,54.0,,10.0,2.0,28.0,1.0,,1.0,1.0,13.0,14.0,,52.0,2.0,8.0,27.0,,110.0,2.0,,0.0,81.0,11.0,2.0,,3.0,4.0,35.0,34.0,5.0,44.0,5.0,,11.0,23.0,,1.0,127.0,,,13.0,82.0,550.0,,4.0,11.0,23.0,239.0,35.0,5.0,25.0,2.0,1.0,2.0,9.0,3.0,23.0,316.0,38.0,90517,4.0,144.0,1.0,7.0,,180.0,6.0,23.0,8.0,59.0,,5.0,3.0,2.0,12.0,4.0,62.0,252.0,11.0,9.0,2.0,32.0,64.0,,,1.0,0.0,,,4.0,5.0,1.0,4.0,0.0,2.0,1.0,1.0,37.0,18.0,1.0,4.0,,3.0,2.0,,31.0,2.0,,4.0,342.0,23.0,8.0,17.0,5.0,8.0,,2.0,175.0,5.0,7.0,25.0,49.0,19.0,2.0,25.0,16.0,,6.0,3.0,9.0,2.0,12.0,2.0,,,,3.0,4.0,1.0,2.0,,2.0,1.0,2.0,,,,,,,,,2.0,3.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755356,2014-09-27 15:00:00,"The MKM Stadium, Hull",22859,Home,Hull City,Manchester City,2,4,L,2,2,0,0,,,2.0,58.0,1.0,1.0,,,,34.0,29.0,4.0,5.0,2.0,136.0,4.0,10.0,2.0,1.0,7.0,5.0,111.0,112.0,52.0,,10.0,1.0,10.0,2.0,,,,27.0,15.0,2.0,29.0,3.0,6.0,31.0,,175.0,,,0.0,93.0,10.0,1.0,,,,33.0,59.0,5.0,69.0,3.0,1.0,24.0,16.0,,10.0,112.0,1.0,,13.0,118.0,618.0,,6.0,12.0,21.0,352.0,27.0,9.0,14.0,,,0.0,5.0,1.0,14.0,412.0,41.0,90517,4.0,196.0,1.0,14.0,,209.0,6.0,16.0,9.0,45.0,,,2.0,6.0,7.0,4.0,52.0,367.0,6.0,15.0,,16.0,60.0,,1.0,,0.0,,3.0,8.0,1.0,2.0,2.0,0.0,4.0,,2.0,40.3,12.0,1.0,4.0,2.0,2.0,1.0,,43.0,3.0,,,434.0,21.0,8.0,22.0,4.0,21.0,,3.0,252.0,3.0,5.0,16.0,56.0,23.0,1.0,14.0,20.0,,9.0,3.0,13.0,1.0,11.0,3.0,1.0,,,1.0,,,,2.0,4.0,1.0,3.0,1.0,,,,2.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755365,2014-10-04 15:00:00,"The MKM Stadium, Hull",24281,Home,Hull City,Crystal Palace,2,0,W,0,0,0,0,,,,68.0,1.0,1.0,2.0,,,37.0,51.0,6.0,7.0,1.0,168.0,4.0,2.0,2.0,1.0,13.0,2.0,132.0,138.0,66.0,1.0,15.0,5.0,20.0,,1.0,,,21.0,17.0,,51.0,6.0,8.0,38.0,,177.0,,1.0,0.0,121.0,6.0,1.0,2.0,,1.0,74.0,48.0,7.0,74.0,,4.0,15.0,17.0,1.0,5.0,138.0,1.0,,4.0,145.0,743.0,,10.0,4.0,23.0,419.0,25.0,5.0,39.0,2.0,,1.0,5.0,6.0,22.0,495.0,69.0,90517,6.0,258.0,,10.0,,271.0,5.0,17.0,8.0,57.0,,,4.0,4.0,7.0,5.0,80.0,431.0,14.0,12.0,1.0,30.0,88.0,1.0,,1.0,0.0,,5.0,7.0,1.0,2.0,1.0,0.0,3.0,2.0,3.0,59.1,18.0,2.0,1.0,3.0,4.0,7.0,1.0,42.0,6.0,,1.0,519.0,23.0,12.0,21.0,6.0,15.0,1.0,5.0,269.0,5.0,8.0,30.0,70.0,36.0,1.0,39.0,21.0,1.0,12.0,3.0,10.0,1.0,12.0,6.0,1.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,755373,2014-10-18 15:00:00,"Emirates Stadium, London",60004,Away,Hull City,Arsenal,2,2,D,1,1,0,0,,,1.0,71.0,1.0,3.0,,,,28.0,38.0,1.0,1.0,7.0,126.0,1.0,5.0,2.0,,3.0,4.0,94.0,130.0,56.0,,4.0,,15.0,1.0,1.0,,1.0,2.0,19.0,1.0,38.0,,9.0,27.0,1.0,82.0,,,0.0,41.0,13.0,6.0,1.0,,,21.0,46.0,3.0,55.0,2.0,,2.0,17.0,,,130.0,,,16.0,100.0,568.0,,1.0,7.0,16.0,270.0,46.0,8.0,17.0,1.0,,2.0,10.0,,17.0,353.0,27.0,90517,3.0,203.0,,2.0,,245.0,9.0,17.0,7.0,66.0,,,2.0,11.0,9.0,3.0,66.0,284.0,9.0,19.0,1.0,38.0,58.0,1.0,,1.0,0.0,,5.0,10.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,34.2,16.0,,2.0,,2.0,,,26.0,,,,375.0,16.0,11.0,18.0,,3.0,,,132.0,1.0,8.0,16.0,17.0,14.0,2.0,17.0,27.0,1.0,3.0,3.0,15.0,2.0,7.0,,1.0,,,,1.0,1.0,2.0,,2.0,1.0,2.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,755384,2014-10-25 15:00:00,"Anfield, Liverpool",44591,Away,Hull City,Liverpool,0,0,D,0,0,0,0,,,1.0,62.0,,2.0,,,,28.0,47.0,4.0,3.0,3.0,132.0,1.0,8.0,,,4.0,3.0,52.0,129.0,56.0,,6.0,1.0,13.0,1.0,,1.0,,8.0,19.0,2.0,47.0,,8.0,20.0,,111.0,,1.0,0.0,84.0,17.0,2.0,,,1.0,30.0,66.0,2.0,43.0,3.0,2.0,8.0,15.0,,,129.0,,,6.0,61.0,506.0,,4.0,10.0,26.0,196.0,30.0,10.0,25.0,,1.0,2.0,8.0,2.0,13.0,260.0,47.0,90517,2.0,98.0,,8.0,,111.0,10.0,15.0,12.0,70.0,,1.0,2.0,16.0,11.0,4.0,73.0,208.0,10.0,20.0,,41.0,81.0,,,2.0,0.0,,4.0,14.0,2.0,,2.0,0.0,1.0,,1.0,34.1,13.0,1.0,3.0,,2.0,1.0,1.0,38.0,1.0,,1.0,288.0,26.0,10.0,12.0,2.0,7.0,,1.0,185.0,2.0,8.0,15.0,48.0,20.0,4.0,25.0,24.0,,6.0,3.0,19.0,4.0,9.0,1.0,,,,1.0,,,,,,,,2.0,,,,3.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,755398,2014-11-01 15:00:00,"The MKM Stadium, Hull",22828,Home,Hull City,Southampton,0,1,L,0,1,0,0,,,1.0,66.0,,,,,,36.0,26.0,6.0,4.0,2.0,167.0,7.0,10.0,,2.0,8.0,1.0,121.0,167.0,45.0,,8.0,3.0,20.0,,,1.0,1.0,24.0,12.0,1.0,26.0,6.0,7.0,41.0,,200.0,,,0.0,141.0,6.0,2.0,,1.0,,63.0,63.0,4.0,66.0,,2.0,18.0,15.0,,8.0,167.0,,,7.0,119.0,672.0,,6.0,15.0,13.0,363.0,33.0,9.0,15.0,,2.0,1.0,1.0,4.0,29.0,454.0,78.0,95658,1.0,179.0,,9.0,,198.0,3.0,15.0,5.0,58.0,,1.0,2.0,12.0,3.0,1.0,84.0,372.0,8.0,4.0,2.0,36.0,74.0,,,,0.0,,3.0,4.0,2.0,,4.0,0.0,4.0,,2.0,47.2,25.0,2.0,2.0,1.0,2.0,3.0,,29.0,7.0,,,473.0,13.0,20.0,23.0,4.0,23.0,3.0,2.0,299.0,2.0,5.0,14.0,94.0,25.0,,15.0,13.0,,6.0,3.0,19.0,,9.0,7.0,,,,2.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
