gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attObxCentre,attRfTarget,attFreekickTotal,shotFastbreak,attBxRight,attOboxTarget,totalFastbreak,attSvLowLeft,goodHighClaim,freekickTotal,contentiousDecision,attMissHighLeft,errorLeadToShot,defenderGoals,attFastbreak,attBxLeft,totalHighClaim,attFreekickMiss,accurateCornersIntobox,savedObox,attLfGoal,attGoalLowCentre,attOboxBlocked,accurateKeeperSweeper,attMissHighRight,subsGoals,totalKeeperSweeper,fastestPlayer_topSpeed,totalDistance,punches,shieldBallOop,attMissLeft,midfielderGoals,attGoalHighCentre,penaltyConceded,attRfGoal,attCmissLeft,accurateFlickOn,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,sixYardBlock,attCmissHigh,goalsConcededObox,attGoalLowRight,expectedGoalsOnTarget,attGoalHighRight,expectedGoalsOnTargetConceded,attOboxGoal,winningGoal,keeperGoals,expectedAssists,ownGoals,attPenGoal,attObpGoal,attFreekickGoal,attIboxOwnGoal,expectedGoals,cleanSheet,attSvHighCentre,accuratePullBack,postScoringAtt,attIboxPost,penaltyWon,hitWoodwork,totalPullBack,attOboxPost,attPostHigh,attCmissHighRight,attPostRight,errorLeadToGoal,attSvHighLeft,attObxRight,attPostLeft,attHdPost,attObxdRight,attCmissHighLeft,attFreekickTarget,expectedGoalsFreekick,penaltySave,attSvHighRight,foulThrowIn,goalFastbreak,attPenTarget
1,2444479,2024-08-19 20:00:00,"King Power Stadium, Leicester",31977,Home,Leicester City,Tottenham Hotspur,1,1,D,0,1,0,0,1.0,1.0,47.0,1.0,9.0,38.0,1.0,6.0,5.0,110.0,8.0,7.0,1.0,2.0,5.0,1.0,3.0,55.0,114.0,49.0,7.0,9.0,2.0,1.0,1.0,15.0,15.0,38.0,2.0,6.0,17.0,1.0,83.0,0.0,57.0,11.0,1.0,2.0,2.0,24.0,22.0,3.0,52.0,1.0,2.0,13.0,19.0,1.0,7.0,1.0,114.0,2.0,12.0,58.0,498.0,1.0,3.0,4.0,11.0,1.0,10.0,199.0,21.0,4.0,19.0,1.0,1.0,6.0,2.0,16.0,253.0,34.0,2.0,1.0,96994,4.0,136.0,1.0,4.0,1.0,159.0,6.0,14.0,6.0,56.0,3.0,2.0,5.0,1.0,14.0,3.0,3.0,1.0,37.0,211.0,12.0,13.0,1.0,21.0,1.0,39.0,1.0,1.0,0.0,1.0,13.0,6.0,1.0,1.0,0.0,8.0,1.0,3.0,29.5,13.0,1.0,4.0,5.0,1.0,1.0,15.0,2.0,275.0,10.0,14.0,10.0,3.0,22.0,2.0,131.0,3.0,4.0,8.0,35.0,12.0,1.0,4.0,19.0,22.0,1.0,1.0,5.0,3.0,16.0,4.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444484,2024-08-24 15:00:00,"Craven Cottage, London",25401,Away,Leicester City,Fulham,1,2,L,1,1,0,0,1.0,1.0,47.0,2.0,17.0,30.0,3.0,6.0,4.0,141.0,5.0,7.0,1.0,1.0,6.0,,4.0,137.0,114.0,55.0,10.0,17.0,1.0,,1.0,12.0,14.0,30.0,5.0,6.0,29.0,,85.0,0.0,52.0,13.0,,2.0,1.0,33.0,30.0,4.0,65.0,1.0,2.0,7.0,22.0,4.0,2.0,2.0,114.0,1.0,13.0,111.0,647.0,1.0,3.0,5.0,10.0,,7.0,359.0,22.0,1.0,13.0,1.0,2.0,5.0,2.0,10.0,427.0,37.0,,,96994,3.0,301.0,,4.0,1.0,332.0,6.0,15.0,12.0,46.0,1.0,5.0,8.0,,12.0,5.0,9.0,,43.0,381.0,14.0,4.0,2.0,14.0,4.0,49.0,,,0.0,1.0,7.0,4.0,1.0,2.0,0.0,1.0,1.0,4.0,45.8,8.0,1.0,1.0,8.0,2.0,,27.0,5.0,454.0,7.0,7.0,17.0,4.0,16.0,2.0,134.0,3.0,6.0,13.0,26.0,15.0,,,13.0,21.0,1.0,2.0,4.0,4.0,14.0,,15.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444495,2024-08-31 15:00:00,"King Power Stadium, Leicester",31725,Home,Leicester City,Aston Villa,1,2,L,0,1,0,0,,1.0,50.0,,18.0,18.0,3.0,3.0,3.0,155.0,4.0,6.0,1.0,4.0,5.0,,3.0,144.0,110.0,58.0,9.0,10.0,1.0,1.0,1.0,18.0,11.0,18.0,1.0,10.0,32.0,,249.0,0.0,104.0,13.0,,2.0,4.0,66.0,47.0,3.0,79.0,2.0,2.0,17.0,15.0,6.0,6.0,4.0,110.0,1.0,8.0,135.0,700.0,,3.0,3.0,16.0,1.0,11.0,433.0,17.0,3.0,7.0,1.0,4.0,2.0,2.0,6.0,488.0,60.0,,1.0,473341,2.0,212.0,,7.0,2.0,227.0,12.0,8.0,4.0,53.0,1.0,3.0,4.0,1.0,18.0,2.0,4.0,2.0,34.0,457.0,21.0,13.0,1.0,6.0,,51.0,,1.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,3.0,,2.0,57.6,6.0,1.0,3.0,5.0,1.0,,38.0,1.0,513.0,11.0,10.0,16.0,5.0,23.0,1.0,304.0,4.0,10.0,9.0,76.0,25.0,,1.0,7.0,22.0,,2.0,7.0,5.0,13.0,1.0,8.0,1.0,,,,,6.0,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,32.84,105379.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444503,2024-09-14 15:00:00,"Selhurst Park, London",25124,Away,Leicester City,Crystal Palace,2,2,D,1,0,0,0,,2.0,49.0,1.0,17.0,20.0,3.0,7.0,2.0,130.0,2.0,11.0,2.0,1.0,9.0,,4.0,63.0,141.0,52.0,9.0,21.0,2.0,2.0,1.0,8.0,8.0,20.0,2.0,9.0,27.0,,83.0,0.0,78.0,15.0,,1.0,2.0,30.0,23.0,5.0,48.0,1.0,,6.0,26.0,2.0,2.0,2.0,141.0,3.0,16.0,52.0,513.0,1.0,5.0,5.0,16.0,2.0,8.0,190.0,13.0,4.0,8.0,2.0,3.0,10.0,4.0,24.0,270.0,45.0,2.0,1.0,101668,4.0,122.0,1.0,2.0,1.0,146.0,10.0,16.0,6.0,63.0,2.0,,8.0,2.0,13.0,4.0,2.0,2.0,54.0,203.0,10.0,4.0,2.0,25.0,1.0,61.0,,,0.0,,5.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,32.8,16.0,,3.0,8.0,1.0,,24.0,2.0,293.0,8.0,18.0,13.0,4.0,25.0,2.0,155.0,4.0,9.0,12.0,36.0,21.0,1.0,3.0,8.0,19.0,,2.0,7.0,3.0,17.0,3.0,16.0,2.0,1.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,1.0,2.0,1.0,,1.0,,,1.0,,,,,,32.68,108245.83,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444514,2024-09-21 15:00:00,"King Power Stadium, Leicester",31765,Home,Leicester City,Everton,1,1,D,0,1,0,0,,1.0,47.0,3.0,25.0,13.0,2.0,10.0,4.0,173.0,8.0,8.0,1.0,4.0,9.0,,2.0,107.0,138.0,61.0,12.0,12.0,1.0,,1.0,29.0,17.0,13.0,4.0,3.0,38.0,,193.0,0.0,145.0,11.0,1.0,1.0,5.0,99.0,43.0,2.0,71.0,,,25.0,16.0,2.0,6.0,2.0,138.0,1.0,13.0,109.0,674.0,,7.0,1.0,29.0,,4.0,368.0,19.0,4.0,4.0,,1.0,6.0,7.0,25.0,436.0,55.0,,1.0,220627,5.0,204.0,1.0,14.0,1.0,225.0,4.0,7.0,8.0,48.0,1.0,2.0,6.0,,24.0,4.0,7.0,2.0,43.0,389.0,12.0,7.0,2.0,9.0,3.0,52.0,1.0,,0.0,,1.0,4.0,1.0,1.0,0.0,7.0,,2.0,58.5,23.0,2.0,5.0,6.0,3.0,,38.0,6.0,460.0,4.0,9.0,19.0,7.0,43.0,5.0,264.0,7.0,2.0,17.0,105.0,17.0,,2.0,4.0,24.0,,1.0,8.0,3.0,17.0,2.0,7.0,6.0,,,,,2.0,1.0,,,2.0,,,,1.0,,,1.0,,,,2.0,1.0,,1.0,,,,,,3.0,,,32.09,108548.62,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444521,2024-09-28 15:00:00,"Emirates Stadium, London",60323,Away,Leicester City,Arsenal,2,4,L,0,2,0,0,1.0,,31.0,1.0,17.0,63.0,2.0,5.0,13.0,114.0,2.0,4.0,2.0,1.0,5.0,,3.0,35.0,98.0,54.0,5.0,18.0,1.0,1.0,1.0,4.0,14.0,63.0,,7.0,10.0,,51.0,0.0,35.0,6.0,,9.0,2.0,21.0,14.0,4.0,40.0,1.0,,4.0,13.0,,,,98.0,,28.0,43.0,456.0,,3.0,5.0,11.0,,6.0,157.0,18.0,5.0,30.0,2.0,4.0,9.0,1.0,16.0,207.0,18.0,,1.0,220627,2.0,122.0,,2.0,1.0,150.0,5.0,9.0,10.0,61.0,,1.0,4.0,1.0,12.0,8.0,3.0,,44.0,171.0,11.0,18.0,,21.0,,47.0,0.0,,0.0,2.0,17.0,9.0,2.0,4.0,0.0,2.0,2.0,1.0,25.4,15.0,,,4.0,1.0,,24.0,,232.0,6.0,8.0,8.0,1.0,9.0,1.0,86.0,2.0,7.0,15.0,23.0,5.0,,3.0,30.0,24.0,1.0,4.0,4.0,5.0,15.0,3.0,9.0,,,0.0,1.0,1.0,,,,1.0,2.0,,1.0,,1.0,,,,2.0,2.0,1.0,1.0,2.0,,,4.0,0.0,2.0,,2.0,,0.0,2.0,34.69,107856.91,3.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,,,,,,0.0,0.0,0.2144,0.0,5.7093,0.0,0.0,0.0,0.174366,1.0,0.0,0.0,0.0,1.0,0.3229,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2444537,2024-10-05 15:00:00,"King Power Stadium, Leicester",31706,Home,Leicester City,Bournemouth,1,0,W,1,0,0,0,1.0,1.0,53.0,,33.0,36.0,4.0,3.0,2.0,153.0,1.0,6.0,1.0,,5.0,,2.0,68.0,141.0,55.0,6.0,17.0,,1.0,,6.0,10.0,36.0,,11.0,34.0,1.0,97.0,0.0,72.0,12.0,,1.0,,34.0,45.0,2.0,63.0,1.0,,6.0,20.0,3.0,1.0,1.0,141.0,2.0,15.0,84.0,575.0,,4.0,10.0,13.0,,7.0,262.0,28.0,13.0,18.0,1.0,4.0,6.0,3.0,26.0,336.0,49.0,2.0,,220627,3.0,184.0,1.0,5.0,,209.0,6.0,11.0,14.0,58.0,4.0,2.0,2.0,1.0,19.0,4.0,10.0,2.0,73.0,280.0,14.0,9.0,,36.0,,68.0,,,0.0,2.0,9.0,1.0,1.0,,0.0,1.0,,1.0,44.1,23.0,1.0,1.0,2.0,1.0,,34.0,,368.0,7.0,11.0,17.0,3.0,17.0,2.0,165.0,1.0,11.0,21.0,39.0,17.0,,4.0,18.0,14.0,,,6.0,4.0,17.0,4.0,11.0,,1.0,,,,3.0,,,,,1.0,,,2.0,,,,,,,,2.0,,,1.0,1.0,,1.0,,,,,33.39,114503.55,,,1.0,1.0,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
8,2444547,2024-10-19 15:00:00,"St. Mary's Stadium, Southampton",31145,Away,Leicester City,Southampton,3,2,W,0,2,0,1,,2.0,47.0,3.0,23.0,22.0,5.0,14.0,6.0,161.0,8.0,7.0,3.0,2.0,17.0,,4.0,117.0,121.0,54.0,18.0,12.0,1.0,1.0,1.0,27.0,17.0,22.0,5.0,11.0,25.0,,254.0,0.0,176.0,10.0,3.0,1.0,3.0,77.0,65.0,7.0,90.0,2.0,2.0,23.0,15.0,4.0,4.0,2.0,121.0,3.0,14.0,124.0,705.0,,11.0,3.0,41.0,1.0,5.0,403.0,9.0,3.0,13.0,2.0,3.0,2.0,10.0,17.0,472.0,67.0,1.0,3.0,96994,6.0,174.0,2.0,16.0,2.0,192.0,5.0,4.0,7.0,49.0,2.0,2.0,8.0,1.0,6.0,,7.0,3.0,39.0,420.0,10.0,6.0,4.0,9.0,3.0,51.0,1.0,,0.0,,10.0,5.0,3.0,2.0,0.0,5.0,2.0,3.0,58.0,16.0,1.0,5.0,8.0,4.0,,34.0,6.0,492.0,5.0,8.0,9.0,10.0,43.0,6.0,327.0,9.0,11.0,7.0,138.0,23.0,1.0,2.0,13.0,30.0,,2.0,12.0,4.0,20.0,2.0,4.0,6.0,,,1.0,1.0,4.0,,,,,,,,2.0,,1.0,,,,,4.0,2.0,,4.0,,,,1.0,,1.0,1.0,,,,1.0,2.0,2.0,1.0,,,3.0,2.0,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,2444557,2024-10-25 20:00:00,"King Power Stadium, Leicester",31879,Home,Leicester City,Nottingham Forest,1,3,L,1,1,0,0,,1.0,51.0,1.0,20.0,26.0,4.0,5.0,2.0,167.0,7.0,6.0,1.0,2.0,10.0,,1.0,163.0,135.0,53.0,11.0,15.0,,1.0,,26.0,10.0,26.0,5.0,16.0,25.0,,277.0,0.0,161.0,16.0,,1.0,1.0,69.0,55.0,3.0,75.0,,2.0,21.0,17.0,6.0,9.0,4.0,135.0,1.0,12.0,155.0,766.0,,9.0,4.0,27.0,,6.0,464.0,21.0,6.0,18.0,1.0,5.0,6.0,7.0,23.0,538.0,77.0,1.0,,96994,2.0,212.0,,11.0,1.0,234.0,12.0,9.0,8.0,64.0,2.0,,6.0,1.0,16.0,8.0,8.0,2.0,38.0,482.0,9.0,15.0,,17.0,,56.0,,,0.0,3.0,7.0,1.0,1.0,3.0,0.0,4.0,1.0,3.0,64.4,23.0,2.0,4.0,6.0,3.0,,45.0,6.0,560.0,6.0,8.0,11.0,7.0,35.0,3.0,352.0,4.0,14.0,24.0,121.0,20.0,1.0,1.0,18.0,14.0,,2.0,10.0,3.0,17.0,1.0,9.0,6.0,1.0,,,,6.0,,,,,,,,,,,,,,,2.0,,,3.0,1.0,,,2.0,2.0,1.0,,2.0,,,1.0,,2.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,
10,2444562,2024-11-02 15:00:00,"Portman Road, Ipswich",29874,Away,Leicester City,Ipswich Town,1,1,D,0,0,0,1,4.0,1.0,45.0,7.0,25.0,18.0,10.0,14.0,1.0,136.0,6.0,12.0,1.0,1.0,14.0,,6.0,123.0,135.0,62.0,20.0,20.0,3.0,1.0,1.0,21.0,11.0,18.0,5.0,9.0,32.0,1.0,159.0,0.0,109.0,10.0,1.0,,1.0,47.0,41.0,10.0,59.0,,,16.0,15.0,6.0,5.0,3.0,135.0,3.0,8.0,114.0,633.0,,13.0,3.0,40.0,,4.0,333.0,18.0,2.0,10.0,1.0,2.0,6.0,4.0,17.0,409.0,54.0,2.0,,95463,10.0,193.0,3.0,10.0,,222.0,4.0,7.0,10.0,54.0,2.0,,5.0,1.0,14.0,6.0,3.0,3.0,68.0,346.0,11.0,8.0,,28.0,6.0,54.0,,,0.0,2.0,4.0,,1.0,1.0,0.0,6.0,1.0,3.0,57.8,15.0,1.0,3.0,5.0,8.0,,26.0,6.0,432.0,4.0,4.0,19.0,6.0,24.0,3.0,231.0,7.0,9.0,18.0,72.0,19.0,,2.0,10.0,21.0,,1.0,14.0,4.0,24.0,2.0,7.0,6.0,,,,,6.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,2.0,1.0,,,,2.0,2.0,1.0,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,
