gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,attFreekickTotal,goalFastbreak,freekickTotal,attHdTarget,hitWoodwork,attMissHighLeft,totalOffside,attCmissHighLeft,attAssistSetplay,attSvLowRight,punches,overrun,attCmissHighRight,attBxLeft,attFreekickMiss,attGoalLowRight,attCmissRight,accurateKeeperSweeper,goodHighClaim,interceptionsInBox,contentiousDecision,totalKeeperSweeper,fastestPlayer_topSpeed,totalDistance,attRfGoal,totalHighClaim,attHdGoal,goalsConcededObox,postScoringAtt,attIboxPost,attOboxTarget,attPostLeft,goalsConceded,accurateFreekickCross,attSetpiece,attSvHighCentre,attPostRight,goalAssistSetplay,penaltyWon,defenderGoals,attPenGoal,attFreekickTarget,shieldBallOop,goalsConcededIbox,errorLeadToGoal,attLgCentre,ptsGainedLosingPos,attObxLeft,attOboxGoal,attGoalHighCentre,penaltySave,attSvHighLeft,penaltyConceded,penaltyFaced,attOboxPost,attGoalHighRight,ptsDroppedWinningPos,subsGoals,attPostHigh,attHdPost,goalAssistDeadball,secondYellow,attObpGoal,attSvHighRight,clearanceOffLine,expectedGoalsFreekick,attFreekickPost,attObxdRight,ownGoals,attIboxOwnGoal,penGoalsConceded
1,2444473,2024-08-17 12:30:00,"Portman Road, Ipswich",30014,Away,Liverpool,Ipswich Town,2,0,W,0,0,0,0,1.0,2.0,2.0,45.0,1.0,4.0,2.3469,30.0,16.0,6.0,6.0,12.0,2.0,2.0,1.0,178.0,1.0,4.0,11.0,2.0,2.0,12.0,1.0,5.0,150.0,129.0,46.0,18.0,3.0,11.0,3.0,1.0,2.0,1.0,2.0,2.0,23.0,4.0,16.0,9.0,8.0,38.0,1.0,0.2438,215.0,1.0,1.0,0.0,152.0,18.0,1.0,1.0,1.0,1.0,2.0,75.0,49.0,7.0,100.0,1.0,14.0,21.0,6.0,2.0,3.0,129.0,5.0,5.0,142.0,748.0,11.0,2.0,50.0,5.0,475.0,18.0,3.0,11.0,1.0,1.0,2.0,5.0,2.44335,24.0,551.0,47.0,4.0,1.0,97032,8.0,281.0,4.0,10.0,2.0,305.0,9.0,5.0,12.0,4.0,51.0,1.0,6.0,3.0,2.0,9.0,2.0,4.0,2.0,56.0,492.0,8.0,3.0,19.0,3.0,53.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,62.2,21.0,2.0,4.0,3.0,7.0,34.0,10.0,570.0,5.0,9.0,23.0,6.0,33.0,1.0,3.0,288.0,10.0,8.0,18.0,115.0,18.0,1.0,1.0,11.0,9.0,15.0,4.0,22.0,2.6525,1.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444485,2024-08-25 16:30:00,"Anfield, Liverpool",60107,Home,Liverpool,Brentford,2,0,W,1,0,0,0,,2.0,2.0,50.0,1.0,6.0,,22.0,11.0,2.0,8.0,17.0,2.0,2.0,1.0,180.0,,3.0,8.0,2.0,1.0,17.0,2.0,8.0,164.0,100.0,38.0,19.0,1.0,8.0,6.0,1.0,3.0,2.0,2.0,1.0,15.0,10.0,11.0,9.0,14.0,47.0,2.0,,329.0,1.0,1.0,0.0,194.0,10.0,1.0,2.0,2.0,3.0,,61.0,88.0,14.0,104.0,,7.0,15.0,2.0,3.0,1.0,100.0,4.0,4.0,154.0,768.0,13.0,1.0,42.0,7.0,536.0,28.0,3.0,6.0,2.0,2.0,3.0,3.0,,18.0,586.0,62.0,,,97032,8.0,224.0,2.0,4.0,2.0,240.0,8.0,4.0,11.0,5.0,34.0,,3.0,2.0,2.0,22.0,4.0,4.0,,46.0,550.0,7.0,6.0,12.0,4.0,66.0,1.0,,,0.0,4.0,1.0,2.0,1.0,0.0,2.0,2.0,4.0,62.1,16.0,1.0,3.0,2.0,7.0,49.0,9.0,602.0,7.0,5.0,29.0,4.0,38.0,2.0,3.0,377.0,7.0,14.0,6.0,171.0,16.0,,2.0,6.0,17.0,14.0,5.0,13.0,,2.0,11.0,9.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444496,2024-09-01 16:00:00,"Old Trafford, Manchester",73738,Away,Liverpool,Manchester United,3,0,W,2,0,0,0,,,3.0,58.0,1.0,1.0,,13.0,28.0,1.0,4.0,10.0,3.0,1.0,,145.0,,3.0,5.0,3.0,,9.0,,3.0,118.0,125.0,49.0,11.0,,5.0,,2.0,1.0,3.0,,1.0,6.0,17.0,28.0,1.0,11.0,34.0,,,171.0,,1.0,0.0,115.0,7.0,3.0,2.0,3.0,,,30.0,66.0,4.0,78.0,4.0,5.0,18.0,1.0,4.0,1.0,125.0,4.0,5.0,123.0,655.0,6.0,1.0,30.0,10.0,377.0,19.0,2.0,9.0,3.0,1.0,,5.0,,22.0,450.0,40.0,,,122798,6.0,223.0,3.0,1.0,,243.0,3.0,,13.0,5.0,52.0,,1.0,3.0,3.0,8.0,3.0,5.0,2.0,38.0,391.0,7.0,8.0,13.0,1.0,59.0,2.0,1.0,,0.0,5.0,2.0,3.0,,0.0,3.0,3.0,3.0,47.2,17.0,2.0,7.0,3.0,1.0,38.0,2.0,464.0,10.0,18.0,16.0,7.0,21.0,,6.0,227.0,4.0,11.0,13.0,80.0,27.0,,1.0,9.0,24.0,10.0,4.0,19.0,,1.0,13.0,2.0,,,,,,,,2.0,,,,1.0,2.0,,1.0,,2.0,1.0,3.0,1.0,1.0,1.0,3.0,33.31,112041.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444505,2024-09-14 15:00:00,"Anfield, Liverpool",60344,Home,Liverpool,Nottingham Forest,0,1,L,0,0,0,0,,1.0,,48.0,,1.0,0.5723,25.0,16.0,4.0,3.0,10.0,2.0,,3.0,219.0,,9.0,6.0,,,13.0,,5.0,149.0,149.0,45.0,14.0,2.0,13.0,4.0,1.0,2.0,,2.0,4.0,19.0,8.0,16.0,6.0,2.0,35.0,,0.7364,310.0,,,0.0,192.0,15.0,2.0,1.0,,,,86.0,97.0,7.0,81.0,,13.0,16.0,4.0,5.0,1.0,149.0,1.0,3.0,154.0,783.0,10.0,2.0,34.0,11.0,488.0,22.0,2.0,9.0,,4.0,,6.0,1.40065,31.0,585.0,71.0,,,118748,5.0,205.0,1.0,8.0,,229.0,5.0,,5.0,4.0,55.0,1.0,,1.0,,14.0,2.0,4.0,1.0,55.0,506.0,6.0,6.0,17.0,3.0,80.0,1.0,,,0.0,2.0,2.0,,,0.0,4.0,,5.0,69.1,26.0,4.0,2.0,1.0,3.0,59.0,7.0,603.0,11.0,9.0,17.0,6.0,39.0,5.0,4.0,393.0,6.0,2.0,21.0,142.0,23.0,,,9.0,12.0,11.0,5.0,19.0,0.9426,,5.0,7.0,,,,,1.0,1.0,,,,3.0,3.0,,1.0,,,,,,1.0,,,,1.0,33.62,106445.44,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444515,2024-09-21 15:00:00,"Anfield, Liverpool",60347,Home,Liverpool,Bournemouth,3,0,W,3,0,0,0,1.0,4.0,2.0,52.0,1.0,2.0,,24.0,21.0,5.0,8.0,14.0,7.0,2.0,5.0,182.0,1.0,2.0,16.0,3.0,3.0,18.0,,13.0,166.0,107.0,56.0,19.0,1.0,6.0,7.0,1.0,3.0,3.0,1.0,1.0,8.0,14.0,21.0,3.0,8.0,29.0,,,222.0,1.0,1.0,0.0,132.0,10.0,3.0,1.0,2.0,4.0,3.0,59.0,40.0,15.0,123.0,,5.0,15.0,5.0,,1.0,107.0,4.0,12.0,113.0,787.0,14.0,2.0,33.0,6.0,499.0,24.0,1.0,12.0,3.0,1.0,4.0,3.0,,19.0,564.0,57.0,1.0,1.0,243298,6.0,299.0,2.0,2.0,,320.0,5.0,,6.0,7.0,46.0,,1.0,8.0,3.0,13.0,7.0,7.0,,41.0,519.0,11.0,11.0,9.0,,58.0,1.0,,1.0,0.0,9.0,5.0,3.0,2.0,0.0,2.0,3.0,1.0,58.8,17.0,,6.0,8.0,3.0,44.0,3.0,584.0,6.0,15.0,20.0,3.0,22.0,,1.0,272.0,10.0,8.0,9.0,102.0,14.0,1.0,3.0,12.0,20.0,18.0,3.0,21.0,,3.0,6.0,3.0,2.0,,,,1.0,1.0,,,,1.0,3.0,,1.0,,3.0,,,,,1.0,1.0,,,33.74,110329.44,1.0,1.0,,,1.0,1.0,3.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444529,2024-09-28 17:30:00,"Molineux Stadium, Wolverhampton",31413,Away,Liverpool,Wolverhampton Wanderers,2,1,W,1,0,0,0,,1.0,1.0,51.0,,1.0,,15.0,10.0,2.0,2.0,8.0,2.0,1.0,3.0,164.0,2.0,6.0,4.0,2.0,2.0,7.0,,6.0,143.0,121.0,39.0,10.0,,10.0,3.0,1.0,3.0,,2.0,2.0,21.0,9.0,10.0,8.0,7.0,22.0,,,224.0,,,0.0,138.0,8.0,1.0,1.0,1.0,,,68.0,54.0,5.0,94.0,,13.0,15.0,2.0,8.0,1.0,121.0,1.0,5.0,133.0,688.0,5.0,4.0,38.0,7.0,431.0,18.0,3.0,5.0,1.0,3.0,2.0,2.0,,14.0,508.0,48.0,,,441266,4.0,237.0,2.0,5.0,,266.0,5.0,2.0,9.0,5.0,39.0,,,3.0,,9.0,3.0,5.0,1.0,40.0,455.0,15.0,7.0,17.0,3.0,60.0,1.0,,,0.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,55.4,12.0,1.0,5.0,3.0,1.0,41.0,10.0,534.0,7.0,7.0,12.0,3.0,32.0,3.0,2.0,289.0,6.0,6.0,10.0,105.0,22.0,,2.0,5.0,10.0,5.0,3.0,11.0,,2.0,9.0,10.0,,1.0,,1.0,,,,2.0,,1.0,1.0,,,,,,,,2.0,1.0,2.0,,2.0,33.1,110346.07,,1.0,1.0,,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2444535,2024-10-05 12:30:00,"Selhurst Park, London",25185,Away,Liverpool,Crystal Palace,1,0,W,1,0,0,0,,1.0,1.0,56.0,2.0,2.0,,31.0,16.0,8.0,5.0,8.0,5.0,,2.0,211.0,1.0,4.0,8.0,1.0,2.0,16.0,,4.0,169.0,131.0,55.0,16.0,3.0,7.0,1.0,1.0,1.0,1.0,2.0,3.0,16.0,6.0,16.0,7.0,9.0,33.0,,,260.0,1.0,1.0,0.0,190.0,15.0,1.0,1.0,,1.0,,107.0,65.0,9.0,114.0,,9.0,16.0,8.0,2.0,3.0,131.0,4.0,3.0,148.0,813.0,13.0,5.0,28.0,13.0,534.0,19.0,6.0,11.0,1.0,2.0,,7.0,,22.0,623.0,69.0,2.0,,118748,5.0,293.0,3.0,7.0,,314.0,9.0,1.0,4.0,7.0,34.0,1.0,3.0,11.0,1.0,16.0,6.0,5.0,3.0,64.0,549.0,7.0,4.0,22.0,1.0,73.0,1.0,,,0.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,68.1,20.0,2.0,3.0,11.0,5.0,45.0,8.0,642.0,13.0,8.0,19.0,7.0,31.0,2.0,4.0,344.0,9.0,9.0,27.0,140.0,21.0,1.0,1.0,11.0,13.0,14.0,5.0,8.0,,1.0,4.0,8.0,,,,,,,,,,2.0,,2.0,,,2.0,,,,1.0,,1.0,,1.0,33.7,108861.69,1.0,,,,,,2.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2444543,2024-10-20 16:30:00,"Anfield, Liverpool",60277,Home,Liverpool,Chelsea,2,1,W,1,0,0,0,,1.0,2.0,48.0,,1.0,,22.0,18.0,1.0,3.0,7.0,1.0,1.0,2.0,141.0,2.0,1.0,5.0,2.0,2.0,6.0,,5.0,94.0,115.0,49.0,9.0,,10.0,2.0,1.0,1.0,1.0,2.0,,4.0,18.0,18.0,1.0,4.0,44.0,,,126.0,1.0,,0.0,90.0,12.0,,1.0,2.0,1.0,1.0,43.0,40.0,4.0,76.0,2.0,3.0,15.0,2.0,1.0,1.0,115.0,1.0,9.0,98.0,562.0,5.0,1.0,17.0,6.0,311.0,17.0,3.0,11.0,1.0,4.0,4.0,2.0,,17.0,388.0,54.0,1.0,,97032,3.0,201.0,1.0,1.0,,222.0,6.0,2.0,7.0,9.0,44.0,,2.0,4.0,1.0,9.0,3.0,5.0,,61.0,326.0,13.0,10.0,17.0,,76.0,1.0,,,0.0,6.0,1.0,2.0,1.0,0.0,1.0,1.0,,42.5,14.0,,4.0,4.0,1.0,42.0,1.0,409.0,6.0,8.0,15.0,3.0,14.0,,2.0,191.0,6.0,4.0,6.0,49.0,19.0,,,11.0,25.0,7.0,4.0,9.0,,,7.0,1.0,,1.0,,1.0,,,,5.0,,,,,,,2.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,2444550,2024-10-27 16:30:00,"Emirates Stadium, London",60383,Away,Liverpool,Arsenal,2,2,D,1,2,0,0,,,2.0,35.0,1.0,1.0,,20.0,21.0,4.0,4.0,5.0,1.0,1.0,1.0,157.0,1.0,3.0,9.0,2.0,2.0,6.0,,4.0,118.0,132.0,50.0,9.0,1.0,18.0,2.0,1.0,,1.0,,1.0,24.0,9.0,21.0,3.0,3.0,42.0,,,188.0,1.0,,0.0,144.0,14.0,,2.0,1.0,1.0,2.0,56.0,60.0,5.0,70.0,1.0,21.0,19.0,4.0,9.0,3.0,132.0,2.0,5.0,121.0,645.0,4.0,6.0,27.0,5.0,364.0,17.0,4.0,13.0,2.0,2.0,2.0,1.0,,20.0,440.0,52.0,1.0,,97032,3.0,202.0,,10.0,1.0,226.0,7.0,,7.0,9.0,55.0,,1.0,3.0,1.0,12.0,4.0,8.0,,61.0,387.0,14.0,6.0,25.0,1.0,65.0,1.0,,,0.0,1.0,,2.0,2.0,0.0,2.0,2.0,2.0,55.3,18.0,,3.0,3.0,2.0,26.0,3.0,466.0,5.0,13.0,20.0,3.0,31.0,1.0,,264.0,3.0,3.0,11.0,117.0,11.0,,1.0,13.0,16.0,8.0,4.0,13.0,,1.0,7.0,3.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,2.0,1.0,,1.0,,1.0,,1.0,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,2444563,2024-11-02 15:00:00,"Anfield, Liverpool",60331,Home,Liverpool,Brighton and Hove Albion,2,1,W,0,1,0,0,,2.0,,52.0,3.0,5.0,,18.0,13.0,1.0,6.0,14.0,4.0,1.0,1.0,173.0,,4.0,8.0,2.0,2.0,13.0,,8.0,97.0,125.0,62.0,16.0,1.0,8.0,6.0,1.0,1.0,2.0,1.0,,18.0,19.0,13.0,9.0,1.0,32.0,,,148.0,,,0.0,106.0,10.0,,2.0,2.0,3.0,1.0,60.0,48.0,10.0,60.0,2.0,9.0,14.0,2.0,4.0,,125.0,4.0,7.0,113.0,639.0,7.0,2.0,31.0,10.0,347.0,20.0,2.0,6.0,2.0,1.0,4.0,2.0,,17.0,418.0,57.0,,,97032,6.0,223.0,4.0,4.0,2.0,244.0,7.0,,8.0,4.0,44.0,,,4.0,2.0,13.0,6.0,4.0,,43.0,367.0,16.0,8.0,15.0,3.0,55.0,1.0,1.0,,0.0,7.0,1.0,1.0,1.0,0.0,2.0,,4.0,48.8,14.0,,4.0,4.0,6.0,32.0,9.0,443.0,10.0,10.0,15.0,2.0,38.0,2.0,2.0,217.0,6.0,1.0,10.0,64.0,22.0,,2.0,6.0,28.0,12.0,5.0,16.0,,2.0,8.0,10.0,,,1.0,,3.0,,,1.0,,3.0,,,,,3.0,,1.0,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,1.0,2.0,,,,,,,1.0,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
