gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attIboxTarget,attSvLowCentre,attMissHighRight,attHdTarget,errorLeadToShot,attHdMiss,attSvHighCentre,savedObox,attRfTarget,attGoalHighCentre,attLgCentre,attMissHighLeft,fastestPlayer_topSpeed,attSetpiece,totalDistance,totalPullBack,attCmissHighLeft,attSvLowRight,handBall,attGoalLowRight,expectedGoalsOnTarget,accuratePullBack,attGoalHighRight,expectedGoalsOnTargetConceded,attOboxGoal,ptsGainedLosingPos,interceptionsInBox,expectedAssists,attRfGoal,attMissHigh,attGoalHighLeft,forwardGoals,expectedGoals,errorLeadToGoal,attFreekickTotal,freekickTotal,attCmissHigh,defenderGoals,attCmissHighRight,attFreekickMiss,attSvHighRight,ptsDroppedWinningPos,cleanSheet,penaltySave,secondYellow,attSvHighLeft,contentiousDecision,attHdPost,attPenTarget,penaltyWon,goalFastbreak,attPenGoal,attPostLeft,punches,attFreekickTarget,clearanceOffLine,attFreekickPost,expectedGoalsFreekick,attOboxPost,attPostHigh,attObxdLeft
11,2444574,2024-11-09 20:00:00,"Anfield, Liverpool",60292,Away,Aston Villa,Liverpool,0,2,L,0,1,0,0,,,54.0,,1.0,,,17.0,18.0,3.0,2.0,9.0,3.0,,120.0,,7.0,11.0,,2.0,9.0,1.0,2.0,93.0,108.0,44.0,12.0,1.0,6.0,,1.0,,,,2.0,23.0,,8.0,,18.0,7.0,10.0,28.0,,99.0,0.0,67.0,15.0,,,,,2.0,,41.0,29.0,3.0,44.0,3.0,16.0,20.0,3.0,6.0,2.0,108.0,3.0,9.0,,94.0,520.0,7.0,1.0,28.0,,6.0,266.0,27.0,2.0,9.0,,,3.0,3.0,6.0,9.0,324.0,23.0,,,98980,1.0,196.0,5.0,8.0,1.0,,220.0,5.0,7.0,11.0,42.0,1.0,1.0,5.0,,11.0,5.0,8.0,34.0,288.0,11.0,9.0,2.0,6.0,6.0,45.0,,,0.0,2.0,2.0,1.0,,2.0,1.0,0.0,3.0,,,4.0,37.6,6.0,3.0,2.0,5.0,2.0,29.0,9.0,,,351.0,,6.0,9.0,17.0,8.0,,26.0,4.0,6.0,154.0,6.0,9.0,6.0,45.0,16.0,,9.0,16.0,,2.0,6.0,5.0,14.0,,7.0,9.0,,2.0,1.0,,2.0,,1.0,1.0,2.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,3.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
12,2444582,2024-11-23 15:00:00,"Villa Park, Birmingham",42175,Home,Aston Villa,Crystal Palace,2,2,D,1,2,0,0,1.0,1.0,57.0,,5.0,1.0,1.0,18.0,12.0,2.0,9.0,15.0,4.0,1.0,175.0,1.0,6.0,12.0,2.0,2.0,12.0,,5.0,186.0,147.0,43.0,17.0,1.0,11.0,2.0,1.0,1.0,,1.0,2.0,20.0,1.0,5.0,,12.0,8.0,16.0,27.0,1.0,292.0,0.0,177.0,10.0,1.0,2.0,1.0,1.0,,,73.0,83.0,9.0,81.0,1.0,12.0,23.0,2.0,4.0,1.0,147.0,2.0,10.0,,175.0,797.0,9.0,2.0,48.0,1.0,4.0,506.0,23.0,1.0,9.0,2.0,,3.0,1.0,3.0,16.0,592.0,78.0,1.0,,98980,6.0,245.0,3.0,8.0,1.0,,266.0,7.0,10.0,8.0,46.0,2.0,1.0,4.0,1.0,19.0,3.0,8.0,36.0,531.0,10.0,3.0,1.0,8.0,7.0,77.0,2.0,,0.0,1.0,1.0,4.0,2.0,2.0,,0.0,3.0,2.0,1.0,3.0,69.9,13.0,3.0,5.0,4.0,6.0,57.0,10.0,,,617.0,,4.0,14.0,12.0,6.0,1.0,30.0,3.0,4.0,371.0,5.0,14.0,12.0,132.0,25.0,1.0,9.0,9.0,1.0,2.0,9.0,5.0,21.0,1.0,10.0,10.0,,3.0,,,,,2.0,1.0,,2.0,,,,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,
13,2444592,2024-12-01 13:30:00,"Stamford Bridge, London",39689,Away,Aston Villa,Chelsea,0,3,L,0,2,0,0,2.0,,34.0,,2.0,,,18.0,12.0,2.0,5.0,8.0,5.0,,112.0,,3.0,5.0,,,8.0,,4.0,95.0,93.0,47.0,10.0,1.0,5.0,,1.0,,,,1.0,7.0,,7.0,,12.0,4.0,5.0,33.0,1.0,67.0,0.0,51.0,6.0,4.0,,,1.0,,1.0,24.0,16.0,6.0,46.0,,3.0,16.0,2.0,1.0,1.0,93.0,2.0,12.0,,99.0,504.0,5.0,,19.0,,10.0,264.0,15.0,2.0,7.0,,,2.0,3.0,2.0,8.0,316.0,30.0,1.0,,98980,3.0,232.0,2.0,2.0,1.0,,248.0,2.0,7.0,8.0,34.0,5.0,1.0,2.0,,11.0,5.0,7.0,39.0,296.0,20.0,8.0,3.0,7.0,3.0,43.0,,,0.0,2.0,3.0,4.0,,3.0,,0.0,1.0,,1.0,2.0,35.9,6.0,3.0,1.0,2.0,3.0,22.0,4.0,,1.0,352.0,,10.0,8.0,15.0,3.0,,21.0,2.0,2.0,111.0,3.0,5.0,7.0,29.0,11.0,,7.0,16.0,,2.0,5.0,5.0,14.0,,7.0,4.0,1.0,4.0,2.0,,,2.0,1.0,,1.0,2.0,,,,,2.0,,1.0,,1.0,,,,,,,,,1.0,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14,2444602,2024-12-04 20:15:00,"Villa Park, Birmingham",37890,Home,Aston Villa,Brentford,3,1,W,3,0,0,0,3.0,1.0,53.0,,2.0,,,24.0,22.0,4.0,6.0,16.0,,,117.0,,6.0,9.0,3.0,2.0,15.0,,10.0,95.0,106.0,51.0,20.0,2.0,17.0,1.0,3.0,,1.0,1.0,1.0,24.0,,12.0,,22.0,9.0,8.0,38.0,1.0,159.0,0.0,90.0,11.0,,2.0,1.0,4.0,1.0,2.0,31.0,23.0,11.0,68.0,2.0,15.0,11.0,4.0,1.0,1.0,106.0,2.0,7.0,,107.0,574.0,11.0,3.0,41.0,,8.0,314.0,19.0,3.0,18.0,1.0,1.0,2.0,4.0,4.0,13.0,361.0,38.0,3.0,1.0,98980,7.0,180.0,3.0,13.0,1.0,,202.0,5.0,3.0,5.0,46.0,3.0,,3.0,2.0,15.0,2.0,4.0,42.0,333.0,15.0,5.0,3.0,6.0,3.0,40.0,1.0,,0.0,,5.0,,2.0,1.0,2.0,0.0,4.0,1.0,,4.0,49.2,8.0,5.0,2.0,3.0,4.0,27.0,10.0,,2.0,387.0,,8.0,6.0,23.0,6.0,,32.0,2.0,5.0,209.0,10.0,8.0,12.0,72.0,21.0,3.0,18.0,16.0,,1.0,14.0,5.0,17.0,3.0,3.0,10.0,,7.0,3.0,1.0,1.0,1.0,1.0,,,3.0,,,,,2.0,,1.0,,,,2.0,,,1.0,,1.0,,,,3.0,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
15,2444610,2024-12-07 15:00:00,"Villa Park, Birmingham",42453,Home,Aston Villa,Southampton,1,0,W,1,0,0,0,3.0,1.0,53.0,,4.0,,,18.0,9.0,6.0,10.0,12.0,,1.0,124.0,1.0,6.0,5.0,1.0,2.0,15.0,,5.0,102.0,107.0,56.0,18.0,4.0,8.0,3.0,,,,,2.0,25.0,,15.0,,9.0,9.0,4.0,20.0,2.0,166.0,0.0,109.0,18.0,,3.0,,1.0,,,29.0,65.0,10.0,83.0,,16.0,11.0,6.0,5.0,1.0,107.0,4.0,4.0,,112.0,597.0,11.0,3.0,40.0,,8.0,337.0,19.0,2.0,6.0,,,1.0,4.0,4.0,10.0,393.0,48.0,2.0,,98980,7.0,203.0,4.0,11.0,,,228.0,10.0,2.0,3.0,45.0,2.0,,6.0,1.0,11.0,,2.0,31.0,363.0,15.0,4.0,3.0,9.0,4.0,43.0,3.0,1.0,0.0,1.0,1.0,,,,1.0,0.0,2.0,,,3.0,47.2,8.0,4.0,1.0,6.0,8.0,35.0,14.0,,,421.0,,8.0,6.0,13.0,5.0,,29.0,4.0,4.0,218.0,5.0,4.0,9.0,82.0,22.0,2.0,6.0,27.0,,,14.0,4.0,15.0,2.0,2.0,14.0,,4.0,3.0,1.0,,1.0,3.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
16,2444627,2024-12-14 17:30:00,"The City Ground, Nottingham",30117,Away,Aston Villa,Nottingham Forest,1,2,L,0,0,0,0,,,43.0,,2.0,,,24.0,21.0,1.0,4.0,7.0,4.0,,110.0,,5.0,5.0,1.0,2.0,7.0,,2.0,141.0,106.0,36.0,8.0,,10.0,,2.0,,,1.0,1.0,16.0,,5.0,,21.0,3.0,8.0,28.0,,212.0,0.0,128.0,6.0,2.0,,,1.0,1.0,1.0,59.0,33.0,4.0,81.0,,13.0,11.0,1.0,2.0,1.0,106.0,,12.0,,136.0,627.0,3.0,2.0,33.0,,6.0,392.0,12.0,2.0,11.0,1.0,,1.0,5.0,3.0,11.0,446.0,53.0,,1.0,98980,2.0,207.0,,10.0,1.0,,217.0,3.0,4.0,6.0,45.0,,2.0,4.0,1.0,16.0,5.0,6.0,33.0,414.0,12.0,10.0,3.0,10.0,2.0,46.0,,1.0,0.0,1.0,4.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0,,3.0,49.7,8.0,3.0,1.0,4.0,2.0,39.0,3.0,,1.0,468.0,,6.0,9.0,23.0,4.0,,31.0,2.0,3.0,267.0,1.0,6.0,8.0,92.0,21.0,1.0,11.0,11.0,1.0,2.0,5.0,4.0,15.0,1.0,4.0,3.0,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,3.0,,,,,,1.0,,,,,,,,2.0,,1.0,,2.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
17,2444630,2024-12-21 12:30:00,"Villa Park, Birmingham",42345,Home,Aston Villa,Manchester City,2,1,W,1,0,0,0,3.0,1.0,39.0,,2.0,,,16.0,17.0,1.0,5.0,10.0,5.0,2.0,134.0,1.0,2.0,6.0,2.0,1.0,9.0,1.0,6.0,103.0,82.0,37.0,11.0,,2.0,,2.0,1.0,,2.0,,6.0,1.0,12.0,1.0,17.0,5.0,9.0,30.0,2.0,133.0,0.0,64.0,14.0,2.0,,1.0,2.0,,1.0,35.0,22.0,7.0,75.0,1.0,1.0,15.0,1.0,,,82.0,2.0,7.0,,116.0,557.0,4.0,2.0,17.0,2.0,4.0,356.0,20.0,1.0,10.0,2.0,,3.0,1.0,2.0,13.0,410.0,33.0,3.0,,98980,3.0,238.0,3.0,1.0,,,260.0,9.0,6.0,6.0,30.0,7.0,3.0,1.0,2.0,8.0,5.0,5.0,36.0,369.0,7.0,8.0,3.0,11.0,2.0,46.0,,,0.0,,4.0,2.0,2.0,1.0,,0.0,,2.0,,2.0,43.9,11.0,3.0,3.0,1.0,2.0,31.0,5.0,,1.0,428.0,,4.0,3.0,21.0,3.0,,21.0,2.0,2.0,174.0,4.0,9.0,2.0,39.0,9.0,,10.0,22.0,,1.0,8.0,2.0,9.0,,6.0,5.0,,3.0,,,1.0,,1.0,,3.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,
18,2444646,2024-12-26 15:00:00,"St. James' Park, Newcastle",52168,Away,Aston Villa,Newcastle United,0,3,L,0,1,1,0,1.0,,42.0,,,,,14.0,18.0,2.0,2.0,2.0,4.0,,95.0,,1.0,10.0,,3.0,1.0,,1.0,80.0,107.0,47.0,4.0,1.0,14.0,,1.0,,,,,20.0,,7.0,1.0,18.0,4.0,4.0,22.0,,110.0,0.0,68.0,10.0,3.0,,,,1.0,2.0,28.0,19.0,,59.0,1.0,16.0,12.0,2.0,4.0,,107.0,,16.0,,82.0,466.0,1.0,2.0,9.0,,5.0,226.0,22.0,2.0,9.0,,,1.0,8.0,1.0,11.0,278.0,34.0,,,98980,,145.0,,11.0,,,167.0,4.0,2.0,10.0,41.0,,3.0,3.0,,10.0,6.0,5.0,39.0,254.0,14.0,6.0,,9.0,1.0,42.0,,,0.0,,9.0,4.0,,3.0,,1.0,1.0,,,1.0,37.2,9.0,1.0,,3.0,1.0,22.0,6.0,,2.0,316.0,,5.0,7.0,10.0,2.0,,23.0,,2.0,169.0,1.0,4.0,8.0,42.0,10.0,,9.0,15.0,,3.0,,5.0,14.0,,2.0,6.0,,,,,,3.0,1.0,,1.0,,,,,,2.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
19,2444650,2024-12-30 19:45:00,"Villa Park, Birmingham",41414,Home,Aston Villa,Brighton and Hove Albion,2,2,D,1,1,0,0,,1.0,52.0,2.0,5.0,1.0,,25.0,20.0,8.0,8.0,12.0,3.0,,155.0,,3.0,20.0,2.0,2.0,16.0,,4.0,122.0,130.0,67.0,20.0,4.0,11.0,2.0,,,1.0,,1.0,19.0,,12.0,,20.0,11.0,7.0,31.0,,181.0,0.0,138.0,9.0,3.0,2.0,1.0,1.0,,,46.0,59.0,9.0,85.0,1.0,8.0,20.0,8.0,2.0,4.0,130.0,2.0,7.0,,124.0,693.0,12.0,1.0,48.0,,4.0,393.0,15.0,1.0,8.0,1.0,1.0,2.0,5.0,6.0,12.0,463.0,47.0,,,199798,9.0,234.0,2.0,6.0,1.0,,260.0,5.0,8.0,6.0,48.0,1.0,2.0,4.0,,18.0,6.0,4.0,43.0,412.0,14.0,9.0,2.0,12.0,4.0,57.0,2.0,1.0,0.0,,3.0,,2.0,2.0,,0.0,1.0,1.0,2.0,4.0,59.7,11.0,8.0,,4.0,9.0,40.0,12.0,,,486.0,,4.0,10.0,22.0,7.0,,34.0,2.0,3.0,245.0,8.0,6.0,11.0,106.0,23.0,2.0,8.0,22.0,,2.0,15.0,5.0,29.0,2.0,8.0,12.0,,2.0,1.0,,2.0,1.0,2.0,,2.0,,,,3.0,32.59,,113450.94,5.0,2.0,,,,,1.0,,,,1.0,1.0,,2.0,2.0,,1.0,,,,,1.0,,,,,2.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,
20,2444661,2025-01-04 15:00:00,"Villa Park, Birmingham",42386,Home,Aston Villa,Leicester City,2,1,W,0,0,0,0,1.0,1.0,44.0,2.0,4.0,,,21.0,15.0,5.0,5.0,8.0,1.0,1.0,137.0,,3.0,6.0,2.0,1.0,7.0,,5.0,205.0,113.0,48.0,13.0,1.0,6.0,1.0,3.0,,1.0,1.0,1.0,18.0,,11.0,2.0,15.0,2.0,7.0,30.0,,280.0,0.0,146.0,10.0,1.0,1.0,2.0,,,4.0,100.0,64.0,6.0,99.0,,16.0,17.0,5.0,7.0,1.0,113.0,2.0,3.0,,175.0,787.0,6.0,3.0,25.0,1.0,10.0,531.0,12.0,2.0,8.0,1.0,1.0,0.0,,1.0,18.0,593.0,48.0,,,178301,3.0,274.0,2.0,9.0,1.0,,293.0,4.0,7.0,4.0,43.0,1.0,1.0,4.0,1.0,6.0,1.0,4.0,37.0,551.0,11.0,5.0,,6.0,2.0,63.0,1.0,,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,,,60.8,16.0,4.0,,4.0,5.0,48.0,6.0,,4.0,616.0,,10.0,13.0,16.0,3.0,,25.0,,2.0,341.0,8.0,6.0,12.0,113.0,23.0,,8.0,19.0,,1.0,11.0,3.0,15.0,,7.0,7.0,,1.0,,,,,,,,2.0,,,,32.56,,109781.37,2.0,,2.0,,,,,,,1.0,,1.0,,1.0,2.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,2444672,2025-01-15 19:30:00,"Goodison Park, Liverpool",39085,Away,Aston Villa,Everton,1,0,W,0,0,0,0,,1.0,53.0,,2.0,,,15.0,34.0,5.0,5.0,6.0,2.0,1.0,130.0,1.0,,6.0,1.0,5.0,7.0,1.0,3.0,113.0,131.0,64.0,11.0,2.0,16.0,1.0,2.0,,1.0,1.0,3.0,10.0,,16.0,1.0,34.0,4.0,8.0,29.0,2.0,120.0,0.0,102.0,10.0,2.0,1.0,,,2.0,2.0,37.0,30.0,5.0,72.0,1.0,6.0,15.0,5.0,,2.0,131.0,2.0,7.0,,121.0,632.0,6.0,2.0,20.0,,9.0,341.0,23.0,2.0,18.0,1.0,1.0,1.0,2.0,2.0,16.0,410.0,48.0,,,199796,4.0,240.0,3.0,4.0,,,259.0,4.0,9.0,3.0,46.0,1.0,1.0,2.0,1.0,14.0,3.0,3.0,45.0,360.0,17.0,1.0,,19.0,,51.0,1.0,3.0,0.0,1.0,8.0,3.0,1.0,,,0.0,,1.0,,,50.3,6.0,7.0,,2.0,4.0,26.0,5.0,,2.0,436.0,,9.0,11.0,13.0,4.0,,29.0,,2.0,187.0,6.0,8.0,19.0,60.0,15.0,,18.0,22.0,,,9.0,1.0,14.0,,9.0,5.0,,1.0,1.0,,,1.0,,,,2.0,,,,33.48,,104699.83,1.0,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,
22,2444680,2025-01-18 17:30:00,"Emirates Stadium, London",60067,Away,Aston Villa,Arsenal,2,2,D,0,1,0,0,1.0,2.0,38.0,1.0,1.0,1.0,,21.0,40.0,3.0,1.0,5.0,4.0,,110.0,,1.0,6.0,2.0,,5.0,,4.0,51.0,108.0,45.0,8.0,,16.0,,1.0,1.0,,1.0,1.0,6.0,1.0,8.0,1.0,40.0,1.0,1.0,19.0,,61.0,0.0,45.0,18.0,3.0,,1.0,,2.0,3.0,22.0,14.0,4.0,42.0,,5.0,5.0,3.0,3.0,2.0,108.0,2.0,11.0,,59.0,422.0,3.0,10.0,14.0,1.0,3.0,173.0,24.0,8.0,26.0,2.0,,3.0,4.0,1.0,10.0,234.0,26.0,,,98980,2.0,133.0,,,,,164.0,7.0,2.0,11.0,51.0,2.0,2.0,4.0,1.0,14.0,7.0,8.0,46.0,193.0,9.0,7.0,,24.0,,41.0,,1.0,0.0,2.0,10.0,3.0,2.0,2.0,2.0,0.0,1.0,2.0,,1.0,34.0,6.0,1.0,1.0,4.0,1.0,22.0,1.0,,3.0,262.0,,3.0,8.0,13.0,3.0,1.0,9.0,,,104.0,6.0,1.0,13.0,23.0,5.0,3.0,26.0,17.0,1.0,2.0,7.0,4.0,10.0,3.0,2.0,1.0,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2444691,2025-01-26 16:30:00,"Villa Park, Birmingham",41628,Home,Aston Villa,West Ham United,1,1,D,1,0,0,0,2.0,,48.0,,3.0,,,8.0,22.0,5.0,10.0,9.0,2.0,1.0,141.0,,4.0,8.0,1.0,4.0,11.0,2.0,4.0,81.0,134.0,69.0,14.0,1.0,18.0,1.0,2.0,,,1.0,2.0,17.0,,15.0,1.0,22.0,2.0,9.0,20.0,,137.0,0.0,101.0,13.0,2.0,1.0,1.0,,2.0,,49.0,30.0,7.0,58.0,2.0,15.0,22.0,5.0,4.0,3.0,134.0,,9.0,,98.0,602.0,9.0,2.0,26.0,,9.0,286.0,26.0,3.0,11.0,1.0,,2.0,5.0,4.0,17.0,346.0,35.0,,1.0,476344,3.0,176.0,,9.0,,,198.0,9.0,9.0,11.0,75.0,1.0,2.0,2.0,1.0,13.0,5.0,8.0,33.0,309.0,14.0,15.0,1.0,16.0,,46.0,1.0,,0.0,,3.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,2.0,45.8,11.0,4.0,4.0,2.0,4.0,19.0,4.0,,1.0,378.0,,9.0,14.0,6.0,6.0,,27.0,,3.0,197.0,2.0,8.0,20.0,75.0,16.0,3.0,11.0,27.0,,1.0,12.0,5.0,25.0,3.0,9.0,4.0,,2.0,3.0,,1.0,1.0,1.0,,1.0,,,,,32.96,1.0,114295.45,,,,2.0,1.0,,,,,,,2.0,,,2.0,,,,,1.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,,
25,2444710,2025-02-15 15:00:00,"Villa Park, Birmingham",42510,Home,Aston Villa,Ipswich Town,1,1,D,0,0,0,1,3.0,1.0,49.0,,5.0,,,14.0,9.0,10.0,14.0,15.0,3.0,1.0,148.0,1.0,5.0,17.0,1.0,4.0,17.0,1.0,6.0,202.0,123.0,51.0,25.0,4.0,7.0,,1.0,1.0,1.0,,1.0,32.0,,8.0,1.0,9.0,9.0,6.0,29.0,,391.0,0.0,260.0,7.0,1.0,,,1.0,,1.0,106.0,83.0,10.0,97.0,3.0,24.0,15.0,10.0,11.0,4.0,123.0,4.0,2.0,,219.0,854.0,17.0,4.0,47.0,1.0,5.0,579.0,15.0,,3.0,,1.0,0.0,1.0,7.0,12.0,639.0,71.0,1.0,,176297,8.0,217.0,5.0,13.0,1.0,,230.0,3.0,4.0,2.0,41.0,2.0,2.0,3.0,,7.0,2.0,2.0,24.0,603.0,11.0,5.0,,1.0,7.0,49.0,,1.0,0.0,1.0,1.0,,1.0,1.0,,0.0,4.0,,,1.0,75.6,11.0,4.0,3.0,3.0,9.0,39.0,16.0,,1.0,666.0,,5.0,10.0,15.0,10.0,,59.0,2.0,5.0,468.0,10.0,6.0,11.0,216.0,26.0,1.0,3.0,12.0,,1.0,14.0,4.0,29.0,1.0,4.0,16.0,,4.0,,2.0,1.0,,,2.0,2.0,1.0,,,,32.58,2.0,104753.72,3.0,,1.0,,,2.7909,1.0,,1.1568,,1.0,,1.93362,,3.0,,1.0,2.42,,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,0.1573,1.0,1.0,
26,2444722,2025-02-22 17:30:00,"Villa Park, Birmingham",42423,Home,Aston Villa,Chelsea,2,1,W,0,1,0,0,2.0,1.0,50.0,,3.0,2.0,,15.0,16.0,2.0,7.0,10.0,5.0,2.0,134.0,2.0,3.0,11.0,2.0,3.0,9.0,,6.0,141.0,104.0,50.0,12.0,,8.0,2.0,,,2.0,,1.0,13.0,,9.0,,16.0,1.0,7.0,30.0,1.0,198.0,0.0,125.0,15.0,3.0,2.0,2.0,,1.0,,52.0,46.0,8.0,61.0,,12.0,12.0,2.0,2.0,2.0,104.0,3.0,9.0,,148.0,657.0,7.0,1.0,35.0,,5.0,399.0,14.0,3.0,7.0,2.0,3.0,1.0,4.0,1.0,14.0,457.0,55.0,2.0,,441302,3.0,226.0,2.0,9.0,,,238.0,8.0,4.0,8.0,45.0,2.0,1.0,5.0,,11.0,6.0,7.0,30.0,421.0,16.0,7.0,,10.0,1.0,51.0,2.0,1.0,0.0,,3.0,2.0,2.0,1.0,,0.0,3.0,2.0,,,52.2,12.0,2.0,3.0,6.0,3.0,36.0,2.0,,,484.0,,5.0,10.0,19.0,3.0,,25.0,,1.0,259.0,5.0,7.0,7.0,93.0,25.0,1.0,7.0,17.0,,1.0,9.0,5.0,17.0,1.0,4.0,2.0,,4.0,3.0,,,3.0,,,4.0,2.0,,,2.0,32.41,1.0,115677.46,2.0,,1.0,,,2.1245,,,1.9703,,3.0,1.0,1.71526,,,,,2.3302,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,
27,2444732,2025-02-25 19:30:00,"Selhurst Park, London",24712,Away,Aston Villa,Crystal Palace,1,4,L,0,1,0,0,,1.0,46.0,,1.0,,,19.0,14.0,,2.0,6.0,2.0,1.0,152.0,,5.0,11.0,1.0,,5.0,,2.0,136.0,143.0,51.0,6.0,,9.0,,1.0,1.0,,1.0,1.0,13.0,1.0,4.0,,14.0,7.0,7.0,22.0,,170.0,0.0,106.0,10.0,1.0,,,,,,50.0,35.0,3.0,59.0,1.0,6.0,16.0,,3.0,,143.0,2.0,14.0,,121.0,662.0,2.0,5.0,20.0,1.0,9.0,365.0,21.0,,5.0,1.0,,1.0,5.0,2.0,20.0,426.0,46.0,,,215711,3.0,239.0,1.0,3.0,,,259.0,5.0,5.0,9.0,55.0,1.0,7.0,1.0,1.0,26.0,5.0,8.0,29.0,404.0,19.0,4.0,2.0,4.0,3.0,46.0,,,0.0,,3.0,2.0,1.0,4.0,4.0,0.0,2.0,1.0,1.0,4.0,64.1,14.0,1.0,,1.0,1.0,32.0,8.0,,,468.0,,9.0,19.0,13.0,3.0,,22.0,3.0,2.0,222.0,,7.0,14.0,73.0,21.0,1.0,5.0,8.0,,4.0,3.0,5.0,24.0,1.0,5.0,8.0,,1.0,,,1.0,,2.0,,,,,,,33.05,,103676.27,1.0,,1.0,,1.0,1.0111,,,4.1481,,,,0.829028,,,,1.0,0.3771,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,
