gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,punches,redCard,overrun,lostCorners,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,errorLeadToGoal,successfulPutThrough,wonCorners,savedObox,saves,attOboxTarget,divingSave,errorLeadToShot,attemptsConcededObox,attAssistSetplay,savedIbox,attBxLeft,effectiveBlockedCross,blockedCross,attLfTarget,attGoalLowLeft,attLfGoal,goals,attCmissRight,postScoringAtt,goalAssistOpenplay,attIboxPost,midfielderGoals,interceptionsInBox,attMissRight,hitWoodwork,goalAssist,accurateThroughBall,fastestPlayer_topSpeed,totalDistance,attCmissHigh,goalsOpenplay,attSvLowRight,attCmissLeft,attIboxGoal,attPostHigh,goalAssistIntentional,attFreekickMiss,accurateCornersIntobox,goalsConcededObox,attPenTarget,accurateKeeperSweeper,penaltyWon,totalKeeperSweeper,accurateFreekickCross,bigChanceScored,attGoalLowRight,attOneOnOne,attPostLeft,accurateFlickOn,ptsDroppedWinningPos,handBall,defenderGoals,attHdGoal,goalFastbreak,subsGoals,attRfGoal,attGoalLowCentre,penaltyConceded,penaltyFaced,penGoalsConceded,forwardGoals,clearanceOffLine,attSvHighRight,cleanSheet,attMissHighLeft,contentiousDecision,attLgCentre,attCmissHighLeft,ptsGainedLosingPos,attCmissHighRight,attSvHighLeft,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,attGoalHighLeft,penaltySave,expectedGoalsFreekick,attFreekickTarget,attPostRight
1,2444474,2024-08-17 15:00:00,"St. James' Park, Newcastle",52196,Away,Southampton,Newcastle United,0,1,L,0,1,0,1,41.0,7.0,19.0,14.0,6.0,2.0,13.0,2.0,170.0,4.0,6.0,4.0,15.0,1.0,4.0,186.0,126.0,43.0,1.0,19.0,4.0,7.0,4.0,1.0,3.0,1.0,1.0,30.0,6.0,14.0,7.0,12.0,23.0,348.0,2.0,0.0,222.0,16.0,1.0,1.0,2.0,2.0,89.0,74.0,11.0,114.0,23.0,23.0,6.0,1.0,7.0,2.0,126.0,2.0,3.0,179.0,822.0,15.0,2.0,48.0,2.0,3.0,557.0,15.0,2.0,6.0,4.0,2.0,4.0,18.0,625.0,67.0,88900,9.0,235.0,3.0,14.0,2.0,2.0,256.0,6.0,3.0,6.0,3.0,40.0,1.0,2.0,3.0,10.0,2.0,1.0,26.0,579.0,15.0,1.0,3.0,1.0,43.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,4.0,1.0,3.0,77.8,18.0,1.0,1.0,2.0,3.0,11.0,33.0,12.0,2.0,649.0,3.0,9.0,12.0,4.0,50.0,2.0,423.0,14.0,12.0,9.0,185.0,19.0,6.0,13.0,1.0,15.0,5.0,13.0,1.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444487,2024-08-24 15:00:00,"St. Mary's Stadium, Southampton",31150,Home,Southampton,Nottingham Forest,0,1,L,0,0,0,0,47.0,2.0,11.0,17.0,3.0,3.0,2.0,1.0,150.0,2.0,7.0,2.0,4.0,,1.0,204.0,114.0,42.0,,5.0,1.0,11.0,,,1.0,,,14.0,12.0,17.0,3.0,13.0,12.0,252.0,,0.0,145.0,14.0,,,,1.0,70.0,65.0,4.0,101.0,11.0,14.0,3.0,,1.0,1.0,114.0,,14.0,201.0,838.0,3.0,,21.0,,2.0,570.0,16.0,,9.0,3.0,6.0,,13.0,629.0,45.0,88900,,346.0,,10.0,,,361.0,9.0,1.0,9.0,9.0,56.0,,,8.0,13.0,9.0,1.0,24.0,596.0,13.0,7.0,5.0,1.0,58.0,,,0.0,4.0,10.0,1.0,0.0,2.0,,,64.6,12.0,,1.0,1.0,8.0,3.0,48.0,4.0,1.0,656.0,2.0,12.0,7.0,1.0,26.0,,309.0,2.0,13.0,4.0,112.0,22.0,9.0,18.0,1.0,4.0,5.0,19.0,,9.0,4.0,2.0,7.0,1.0,2.0,2.0,9.0,1.0,5.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444491,2024-08-31 15:00:00,"Gtech Community Stadium, Brentford",16955,Away,Southampton,Brentford,1,3,L,0,1,0,0,47.0,2.0,16.0,17.0,9.0,3.0,9.0,3.0,155.0,4.0,7.0,1.0,14.0,,6.0,181.0,116.0,35.0,1.0,18.0,3.0,9.0,3.0,,1.0,2.0,2.0,20.0,10.0,17.0,5.0,12.0,18.0,297.0,,0.0,181.0,7.0,,,,,62.0,79.0,9.0,115.0,15.0,18.0,9.0,1.0,3.0,4.0,116.0,2.0,15.0,170.0,792.0,11.0,2.0,31.0,1.0,9.0,523.0,15.0,3.0,6.0,1.0,5.0,5.0,13.0,595.0,57.0,219279,4.0,255.0,2.0,12.0,,,290.0,5.0,2.0,3.0,9.0,39.0,4.0,2.0,8.0,8.0,8.0,1.0,44.0,548.0,10.0,6.0,22.0,3.0,36.0,,,0.0,,2.0,3.0,0.0,2.0,,3.0,63.4,13.0,2.0,1.0,,8.0,5.0,22.0,8.0,1.0,621.0,9.0,12.0,11.0,7.0,25.0,2.0,351.0,11.0,12.0,3.0,155.0,20.0,6.0,15.0,3.0,13.0,4.0,12.0,3.0,3.0,8.0,2.0,4.0,2.0,2.0,,5.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,33.61,109783.52,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444507,2024-09-14 12:30:00,"St. Mary's Stadium, Southampton",31144,Home,Southampton,Manchester United,0,3,L,0,2,1,0,40.0,1.0,13.0,16.0,,2.0,6.0,1.0,145.0,1.0,4.0,2.0,4.0,,4.0,132.0,101.0,41.0,,6.0,,7.0,4.0,,2.0,,,7.0,14.0,16.0,,14.0,24.0,158.0,,0.0,89.0,11.0,,3.0,2.0,1.0,39.0,64.0,3.0,94.0,7.0,14.0,,,1.0,,101.0,1.0,11.0,109.0,646.0,3.0,2.0,18.0,1.0,11.0,402.0,17.0,1.0,4.0,1.0,7.0,1.0,11.0,460.0,37.0,219279,3.0,264.0,3.0,4.0,,2.0,289.0,6.0,1.0,8.0,5.0,54.0,1.0,,7.0,11.0,5.0,1.0,32.0,421.0,12.0,14.0,11.0,,48.0,,,0.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,44.2,10.0,,3.0,1.0,7.0,1.0,31.0,,2.0,480.0,11.0,9.0,12.0,1.0,14.0,1.0,198.0,2.0,13.0,4.0,69.0,12.0,4.0,21.0,2.0,3.0,5.0,17.0,,8.0,,4.0,7.0,,3.0,,9.0,1.0,3.0,1.0,,,2.0,,,,,,,,,1.0,,,,,33.52,111262.33,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444517,2024-09-21 15:00:00,"St. Mary's Stadium, Southampton",31117,Home,Southampton,Ipswich Town,1,1,D,1,0,0,0,39.0,2.0,15.0,33.0,2.0,4.0,9.0,2.0,132.0,,10.0,3.0,8.0,,3.0,134.0,98.0,50.0,,11.0,1.0,18.0,2.0,2.0,,1.0,,9.0,7.0,33.0,2.0,17.0,25.0,148.0,1.0,0.0,82.0,16.0,2.0,,2.0,1.0,48.0,46.0,4.0,91.0,7.0,8.0,2.0,,1.0,1.0,98.0,4.0,8.0,135.0,666.0,7.0,4.0,23.0,,15.0,407.0,12.0,1.0,17.0,4.0,3.0,4.0,10.0,467.0,43.0,90105,6.0,280.0,3.0,4.0,,2.0,305.0,10.0,,5.0,7.0,59.0,5.0,3.0,3.0,3.0,7.0,1.0,36.0,428.0,16.0,8.0,17.0,,53.0,2.0,,0.0,,10.0,1.0,0.0,,2.0,,53.6,8.0,,4.0,1.0,3.0,3.0,34.0,2.0,1.0,492.0,15.0,12.0,13.0,5.0,17.0,3.0,196.0,7.0,14.0,9.0,59.0,17.0,17.0,16.0,,9.0,5.0,15.0,,5.0,2.0,1.0,5.0,,3.0,,5.0,,4.0,2.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,32.98,106650.84,,1.0,,,1.0,,1.0,,,1.0,,2.0,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444520,2024-09-30 20:00:00,"Vitality Stadium, Bournemouth",11243,Away,Southampton,Bournemouth,1,3,L,0,3,0,0,47.0,2.0,23.0,22.0,3.0,4.0,6.0,1.0,195.0,3.0,7.0,3.0,7.0,1.0,3.0,147.0,128.0,62.0,,9.0,1.0,9.0,1.0,,1.0,,1.0,14.0,12.0,22.0,4.0,24.0,20.0,169.0,,0.0,111.0,12.0,,2.0,3.0,1.0,56.0,42.0,4.0,97.0,10.0,20.0,3.0,,1.0,1.0,128.0,,9.0,138.0,789.0,6.0,4.0,16.0,1.0,8.0,472.0,21.0,8.0,11.0,5.0,5.0,3.0,23.0,548.0,48.0,193204,4.0,333.0,,6.0,,2.0,368.0,8.0,1.0,7.0,6.0,48.0,,1.0,5.0,18.0,6.0,1.0,44.0,499.0,19.0,8.0,23.0,,54.0,,1.0,0.0,,7.0,3.0,0.0,2.0,,3.0,59.8,23.0,1.0,2.0,,5.0,3.0,33.0,4.0,1.0,577.0,8.0,12.0,14.0,3.0,18.0,2.0,223.0,2.0,24.0,17.0,81.0,15.0,11.0,20.0,3.0,7.0,5.0,15.0,,7.0,4.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,,,,,,1.0,,,,,,3.0,1.0,,,,32.32,116258.45,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2444530,2024-10-05 15:00:00,"Emirates Stadium, London",60307,Away,Southampton,Arsenal,1,3,L,0,0,0,0,33.0,3.0,13.0,33.0,3.0,4.0,5.0,1.0,124.0,1.0,6.0,,5.0,,2.0,115.0,97.0,45.0,,8.0,2.0,9.0,,1.0,1.0,1.0,,7.0,10.0,33.0,1.0,5.0,23.0,122.0,,0.0,55.0,9.0,2.0,,,,40.0,34.0,5.0,59.0,6.0,13.0,3.0,,2.0,,97.0,1.0,20.0,97.0,564.0,3.0,7.0,8.0,,9.0,306.0,15.0,3.0,17.0,3.0,10.0,,7.0,362.0,32.0,496661,2.0,216.0,2.0,4.0,1.0,,242.0,4.0,,10.0,17.0,48.0,1.0,,2.0,14.0,17.0,1.0,34.0,337.0,10.0,14.0,14.0,1.0,41.0,1.0,1.0,0.0,1.0,13.0,3.0,0.0,,,1.0,41.4,5.0,,,,2.0,5.0,20.0,1.0,,395.0,9.0,9.0,13.0,1.0,9.0,1.0,160.0,3.0,5.0,15.0,40.0,11.0,17.0,15.0,3.0,7.0,4.0,13.0,2.0,10.0,1.0,1.0,3.0,1.0,2.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,2.0,,2.0,1.0,,34.43,108608.28,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2444547,2024-10-19 15:00:00,"St. Mary's Stadium, Southampton",31145,Home,Southampton,Leicester City,2,3,L,2,0,1,0,34.0,2.0,20.0,30.0,,5.0,14.0,2.0,133.0,5.0,6.0,,12.0,1.0,7.0,99.0,129.0,49.0,,14.0,,7.0,5.0,,3.0,1.0,1.0,19.0,16.0,30.0,10.0,10.0,27.0,132.0,1.0,0.0,99.0,10.0,,1.0,2.0,,54.0,47.0,7.0,65.0,9.0,13.0,,,2.0,,129.0,2.0,14.0,62.0,570.0,7.0,3.0,29.0,2.0,9.0,274.0,14.0,7.0,11.0,5.0,4.0,5.0,16.0,333.0,47.0,90105,5.0,170.0,1.0,5.0,1.0,,187.0,5.0,2.0,7.0,11.0,54.0,1.0,1.0,3.0,16.0,11.0,,46.0,297.0,10.0,7.0,23.0,4.0,50.0,,,0.0,2.0,6.0,3.0,1.0,1.0,2.0,5.0,42.0,12.0,2.0,6.0,1.0,3.0,2.0,27.0,10.0,,359.0,9.0,18.0,11.0,5.0,28.0,5.0,191.0,4.0,9.0,12.0,69.0,7.0,11.0,21.0,3.0,8.0,5.0,18.0,,7.0,10.0,,1.0,,1.0,,4.0,4.0,1.0,1.0,4.0,4.0,1.0,,2.0,2.0,2.0,,1.0,,1.0,,3.0,1.0,1.0,,,,,2.0,2.0,1.0,2.0,,1.0,,4.0,,,,,,,2.0,,,,1.0,3.0,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,2444558,2024-10-26 15:00:00,"Etihad Stadium, Manchester",52844,Away,Southampton,Manchester City,0,1,L,0,1,0,0,34.0,1.0,13.0,30.0,,2.0,5.0,,116.0,1.0,6.0,,5.0,,2.0,141.0,71.0,37.0,,5.0,,6.0,2.0,,3.0,1.0,,2.0,9.0,30.0,1.0,18.0,19.0,97.0,,0.0,54.0,9.0,,,,1.0,25.0,36.0,3.0,84.0,1.0,13.0,,,1.0,,71.0,1.0,13.0,138.0,631.0,4.0,4.0,14.0,1.0,6.0,415.0,13.0,2.0,13.0,3.0,8.0,2.0,11.0,459.0,18.0,88900,,338.0,1.0,,1.0,1.0,358.0,5.0,,8.0,8.0,36.0,1.0,2.0,9.0,8.0,8.0,1.0,25.0,434.0,9.0,9.0,9.0,,30.0,,,0.0,2.0,12.0,1.0,0.0,1.0,,2.0,43.1,10.0,,,1.0,9.0,1.0,21.0,1.0,1.0,479.0,6.0,3.0,12.0,2.0,13.0,1.0,123.0,1.0,16.0,8.0,39.0,5.0,13.0,14.0,1.0,4.0,5.0,15.0,,8.0,1.0,4.0,6.0,,1.0,1.0,9.0,1.0,3.0,2.0,,,1.0,,,,,1.0,,1.0,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10,2444567,2024-11-02 15:00:00,"St. Mary's Stadium, Southampton",31143,Home,Southampton,Everton,1,0,W,0,0,0,0,52.0,2.0,20.0,22.0,1.0,3.0,8.0,,164.0,6.0,12.0,4.0,9.0,,2.0,162.0,105.0,49.0,,9.0,,6.0,1.0,,3.0,,2.0,19.0,8.0,22.0,3.0,5.0,19.0,214.0,1.0,0.0,121.0,14.0,,,2.0,2.0,33.0,88.0,4.0,102.0,16.0,7.0,1.0,,4.0,1.0,105.0,1.0,10.0,161.0,783.0,7.0,2.0,22.0,1.0,7.0,515.0,21.0,1.0,10.0,4.0,3.0,5.0,8.0,561.0,58.0,88900,4.0,332.0,1.0,10.0,,1.0,357.0,7.0,,3.0,9.0,51.0,2.0,3.0,7.0,16.0,8.0,,33.0,540.0,16.0,11.0,9.0,1.0,56.0,,1.0,0.0,1.0,6.0,,0.0,5.0,2.0,3.0,65.3,6.0,2.0,3.0,,7.0,2.0,47.0,3.0,2.0,589.0,7.0,9.0,10.0,5.0,20.0,4.0,251.0,3.0,5.0,7.0,101.0,19.0,10.0,14.0,,7.0,5.0,24.0,,3.0,3.0,3.0,5.0,,3.0,2.0,6.0,1.0,2.0,,4.0,4.0,,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
