gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,attOboxBlocked,attSvLowCentre,attOboxTarget,attSvHighRight,interceptionsInBox,attMissHighLeft,accurateFreekickCross,attSetpiece,attHdMiss,attGoalLowCentre,accuratePullBack,postScoringAtt,attMissLeft,attIboxPost,attMissHighRight,attPostLeft,hitWoodwork,fastestPlayer_topSpeed,totalDistance,attRfGoal,totalPullBack,attCmissHigh,goalAssistIntentional,effectiveBlockedCross,blockedCross,attGoalHighRight,attSvHighLeft,shieldBallOop,attSvHighCentre,attHdGoal,ptsDroppedWinningPos,errorLeadToGoal,errorLeadToShot,attGoalHighLeft,clearanceOffLine,attFreekickTotal,freekickTotal,goalAssistSetplay,goalAssistDeadball,shotFastbreak,attOneOnOne,penaltyWon,totalFastbreak,midfielderGoals,contentiousDecision,subsGoals,sixYardBlock,defenderGoals,attPenGoal,attFastbreak,attFreekickMiss,attOboxGoal,ptsGainedLosingPos,attGoalHighCentre,handBall,cleanSheet,goalsConcededObox,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdLeft,goalFastbreak,attPostHigh,attLgCentre,attCmissLeft,expectedGoalsFreekick,attObxdRight,attCmissHighRight,attHdPost,attCmissHighLeft,attOboxPost,attPenTarget
1,2444477,2024-08-18 14:00:00,"Gtech Community Stadium, Brentford",16988,Home,Brentford,Crystal Palace,2,1,W,1,0,0,0,1.0,1.0,56.0,1.0,1.0,3.0,1.0,3.1136,35.0,21.0,1.0,5.0,8.0,6.0,2.0,1.0,160.0,4.0,5.0,2.0,3.0,7.0,1.0,5.0,94.0,141.0,58.0,9.0,14.0,3.0,1.0,1.0,1.0,17.0,10.0,21.0,3.0,8.0,33.0,1.0152,117.0,0.0,105.0,6.0,3.0,1.0,4.0,1.0,56.0,52.0,4.0,65.0,2.0,14.0,18.0,1.0,4.0,1.0,141.0,2.0,7.0,84.0,586.0,5.0,7.0,13.0,1.0,11.0,293.0,24.0,4.0,12.0,1.0,1.0,1.0,4.0,3.0,0.56523,14.0,378.0,45.0,1.0,591357,3.0,198.0,2.0,6.0,225.0,3.0,9.0,8.0,45.0,1.0,2.0,1.0,4.0,2.0,9.0,8.0,5.0,1.0,62.0,311.0,15.0,3.0,1.0,24.0,2.0,59.0,2.0,1.0,0.0,1.0,7.0,3.0,2.0,1.0,3.0,0.0,3.0,2.0,46.0,12.0,3.0,2.0,5.0,1.0,36.0,4.0,1.0,403.0,11.0,14.0,26.0,3.0,23.0,1.0,2.0,195.0,2.0,8.0,19.0,62.0,20.0,2.0,1.0,12.0,19.0,1.0,7.0,5.0,13.0,1.5903,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444485,2024-08-25 16:30:00,"Anfield, Liverpool",60107,Away,Brentford,Liverpool,0,2,L,0,1,0,0,,,50.0,,,,2.0,,25.0,16.0,4.0,2.0,4.0,6.0,,1.0,132.0,4.0,6.0,,1.0,5.0,1.0,2.0,96.0,111.0,34.0,8.0,6.0,1.0,2.0,1.0,,10.0,6.0,16.0,2.0,5.0,20.0,,103.0,0.0,83.0,7.0,3.0,,1.0,,50.0,37.0,4.0,58.0,1.0,8.0,17.0,4.0,1.0,2.0,111.0,2.0,17.0,78.0,523.0,4.0,2.0,10.0,1.0,5.0,284.0,22.0,3.0,10.0,,1.0,3.0,7.0,1.0,,20.0,344.0,36.0,,591357,1.0,199.0,2.0,6.0,225.0,3.0,4.0,4.0,38.0,,,2.0,3.0,,15.0,2.0,2.0,,47.0,298.0,10.0,8.0,1.0,15.0,3.0,38.0,,1.0,0.0,2.0,9.0,6.0,,2.0,2.0,0.0,3.0,2.0,37.9,17.0,4.0,,3.0,3.0,23.0,4.0,,364.0,5.0,4.0,15.0,3.0,17.0,1.0,1.0,149.0,4.0,5.0,8.0,57.0,16.0,,,10.0,10.0,2.0,3.0,4.0,19.0,,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444491,2024-08-31 15:00:00,"Gtech Community Stadium, Brentford",16955,Home,Brentford,Southampton,3,1,W,1,0,0,0,1.0,3.0,47.0,1.0,1.0,2.0,5.0,,23.0,19.0,5.0,6.0,15.0,5.0,2.0,2.0,122.0,2.0,6.0,3.0,2.0,16.0,,7.0,85.0,96.0,39.0,20.0,3.0,2.0,,,1.0,13.0,13.0,19.0,1.0,7.0,29.0,,158.0,0.0,127.0,10.0,1.0,,,,57.0,38.0,10.0,61.0,1.0,12.0,14.0,5.0,5.0,2.0,96.0,3.0,9.0,90.0,553.0,14.0,6.0,42.0,1.0,11.0,294.0,15.0,3.0,9.0,1.0,,2.0,5.0,6.0,,22.0,341.0,43.0,1.0,191866,12.0,154.0,3.0,7.0,164.0,5.0,11.0,4.0,35.0,,2.0,1.0,3.0,2.0,12.0,9.0,4.0,1.0,34.0,310.0,7.0,7.0,1.0,10.0,,38.0,,,0.0,2.0,8.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,36.6,16.0,11.0,,4.0,6.0,25.0,2.0,,358.0,11.0,10.0,23.0,7.0,25.0,,4.0,207.0,12.0,7.0,9.0,102.0,14.0,3.0,,9.0,17.0,1.0,18.0,4.0,11.0,,11.0,2.0,1.0,4.0,2.0,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.55,109808.82,1.0,1.0,1.0,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444506,2024-09-14 15:00:00,"Etihad Stadium, Manchester",52148,Away,Brentford,Manchester City,1,2,L,1,2,0,0,,1.0,41.0,,,2.0,1.0,,29.0,22.0,2.0,1.0,6.0,5.0,,2.0,145.0,6.0,3.0,1.0,,6.0,,5.0,117.0,105.0,42.0,8.0,6.0,4.0,,1.0,,12.0,15.0,22.0,3.0,8.0,37.0,,113.0,0.0,80.0,3.0,3.0,,1.0,1.0,22.0,43.0,5.0,84.0,,9.0,18.0,2.0,2.0,2.0,105.0,,10.0,122.0,627.0,4.0,5.0,20.0,2.0,9.0,382.0,19.0,9.0,6.0,,1.0,1.0,4.0,1.0,,9.0,450.0,36.0,1.0,513418,2.0,291.0,,6.0,323.0,3.0,9.0,6.0,24.0,,4.0,1.0,2.0,1.0,15.0,8.0,6.0,,60.0,398.0,8.0,3.0,2.0,27.0,2.0,46.0,,1.0,0.0,,12.0,3.0,1.0,2.0,1.0,0.0,4.0,3.0,46.2,8.0,2.0,2.0,2.0,1.0,26.0,3.0,2.0,468.0,9.0,6.0,26.0,2.0,20.0,2.0,,157.0,4.0,7.0,11.0,55.0,11.0,1.0,,6.0,20.0,2.0,3.0,4.0,9.0,,9.0,3.0,,1.0,,,3.0,,1.0,2.0,,,,,2.0,,,,1.0,33.01,110033.56,,,,,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444518,2024-09-21 15:00:00,"Tottenham Hotspur Stadium, London",61246,Away,Brentford,Tottenham Hotspur,1,3,L,1,2,0,0,3.0,,65.0,,,1.0,,,37.0,26.0,1.0,4.0,5.0,6.0,1.0,1.0,167.0,1.0,8.0,1.0,1.0,6.0,,6.0,113.0,141.0,53.0,6.0,13.0,4.0,,1.0,1.0,12.0,16.0,26.0,3.0,4.0,38.0,,123.0,0.0,115.0,9.0,1.0,,1.0,1.0,54.0,43.0,6.0,86.0,,9.0,24.0,1.0,4.0,,141.0,2.0,19.0,123.0,696.0,5.0,1.0,18.0,1.0,11.0,375.0,30.0,5.0,10.0,1.0,1.0,1.0,10.0,,,16.0,463.0,47.0,,446008,4.0,271.0,2.0,4.0,306.0,5.0,17.0,10.0,50.0,,1.0,2.0,4.0,1.0,10.0,4.0,9.0,,75.0,393.0,11.0,11.0,,26.0,1.0,49.0,1.0,,0.0,1.0,9.0,6.0,1.0,3.0,,0.0,1.0,1.0,52.0,13.0,7.0,1.0,4.0,,22.0,4.0,1.0,489.0,11.0,10.0,19.0,,27.0,,,195.0,1.0,4.0,7.0,72.0,17.0,1.0,,10.0,27.0,3.0,5.0,4.0,16.0,,17.0,4.0,,3.0,1.0,,1.0,,,,,,,,,,,,,33.31,113582.12,,,,1.0,1.0,1.0,,1.0,,,,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444522,2024-09-28 15:00:00,"Gtech Community Stadium, Brentford",17050,Home,Brentford,West Ham United,1,1,D,1,0,0,0,,,44.0,,,,1.0,,23.0,20.0,4.0,3.0,4.0,2.0,1.0,2.0,185.0,5.0,4.0,1.0,4.0,4.0,,3.0,124.0,167.0,53.0,8.0,17.0,,1.0,,1.0,28.0,15.0,20.0,4.0,10.0,35.0,,211.0,0.0,162.0,2.0,1.0,1.0,4.0,1.0,82.0,74.0,3.0,92.0,,24.0,18.0,4.0,10.0,,167.0,1.0,11.0,127.0,729.0,3.0,3.0,22.0,,10.0,401.0,16.0,3.0,10.0,1.0,,2.0,5.0,1.0,,18.0,501.0,69.0,,244858,3.0,219.0,1.0,10.0,248.0,,7.0,13.0,46.0,,,1.0,3.0,1.0,17.0,8.0,11.0,1.0,56.0,425.0,8.0,10.0,,24.0,,67.0,,1.0,0.0,3.0,7.0,2.0,1.0,1.0,2.0,0.0,5.0,2.0,57.2,15.0,5.0,,3.0,3.0,39.0,7.0,1.0,528.0,10.0,8.0,19.0,2.0,39.0,,2.0,308.0,3.0,9.0,18.0,111.0,18.0,1.0,,10.0,25.0,1.0,6.0,2.0,13.0,,7.0,7.0,2.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,34.43,112353.09,,,,1.0,,,1.0,,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2444532,2024-10-05 15:00:00,"Gtech Community Stadium, Brentford",16960,Home,Brentford,Wolverhampton Wanderers,5,3,W,4,2,0,0,1.0,4.0,54.0,2.0,3.0,2.0,3.0,,28.0,32.0,5.0,4.0,14.0,3.0,1.0,2.0,148.0,13.0,5.0,5.0,2.0,14.0,,12.0,74.0,134.0,52.0,19.0,20.0,5.0,1.0,,2.0,27.0,8.0,32.0,10.0,9.0,28.0,,151.0,0.0,126.0,9.0,1.0,2.0,,1.0,45.0,52.0,12.0,60.0,,17.0,14.0,5.0,6.0,3.0,134.0,6.0,10.0,83.0,569.0,6.0,7.0,46.0,4.0,6.0,264.0,15.0,9.0,19.0,3.0,,2.0,4.0,2.0,,11.0,343.0,51.0,1.0,446008,6.0,145.0,4.0,11.0,172.0,5.0,9.0,10.0,48.0,,2.0,5.0,2.0,3.0,15.0,7.0,8.0,2.0,57.0,283.0,9.0,2.0,5.0,29.0,7.0,53.0,,1.0,0.0,,3.0,1.0,5.0,3.0,1.0,0.0,7.0,10.0,44.0,10.0,8.0,,2.0,3.0,26.0,10.0,1.0,365.0,6.0,9.0,20.0,4.0,35.0,6.0,1.0,220.0,5.0,8.0,22.0,88.0,24.0,,,19.0,16.0,3.0,9.0,4.0,13.0,,9.0,10.0,,4.0,2.0,,3.0,,,,1.0,,,,2.0,,,,,33.36,111684.73,2.0,,,3.0,,,,,,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,2444544,2024-10-19 15:00:00,"Old Trafford, Manchester",73738,Away,Brentford,Manchester United,1,2,L,1,0,0,0,,1.0,59.0,,,4.0,1.0,,19.0,31.0,2.0,3.0,6.0,9.0,,1.0,153.0,5.0,12.0,1.0,2.0,7.0,,2.0,124.0,131.0,49.0,8.0,23.0,,2.0,1.0,,13.0,11.0,31.0,2.0,7.0,36.0,,186.0,0.0,115.0,5.0,5.0,,1.0,,50.0,65.0,3.0,85.0,2.0,11.0,13.0,2.0,6.0,,131.0,2.0,13.0,122.0,690.0,5.0,6.0,14.0,,10.0,400.0,27.0,3.0,13.0,1.0,1.0,2.0,6.0,3.0,,16.0,469.0,54.0,1.0,628204,3.0,231.0,1.0,4.0,253.0,4.0,8.0,8.0,57.0,,2.0,3.0,6.0,,19.0,10.0,7.0,,46.0,412.0,4.0,5.0,,17.0,1.0,57.0,,1.0,0.0,,9.0,5.0,1.0,2.0,,0.0,4.0,2.0,49.6,12.0,3.0,,6.0,2.0,41.0,2.0,,484.0,10.0,13.0,19.0,4.0,26.0,1.0,4.0,244.0,3.0,7.0,18.0,76.0,22.0,,,13.0,15.0,2.0,4.0,4.0,24.0,,8.0,2.0,1.0,,1.0,,3.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,3.0,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
9,2444552,2024-10-26 15:00:00,"Gtech Community Stadium, Brentford",17109,Home,Brentford,Ipswich Town,4,3,W,2,2,0,1,1.0,3.0,43.0,1.0,1.0,,3.0,,21.0,31.0,6.0,6.0,14.0,2.0,3.0,2.0,178.0,8.0,5.0,4.0,2.0,17.0,,9.0,152.0,137.0,48.0,20.0,14.0,4.0,1.0,1.0,3.0,26.0,6.0,31.0,4.0,7.0,30.0,,185.0,0.0,131.0,7.0,,,,1.0,40.0,95.0,13.0,74.0,1.0,22.0,15.0,6.0,14.0,1.0,137.0,6.0,8.0,151.0,739.0,12.0,6.0,31.0,2.0,4.0,448.0,17.0,,17.0,3.0,1.0,0.0,,4.0,,25.0,533.0,68.0,1.0,628204,11.0,291.0,4.0,8.0,318.0,5.0,7.0,8.0,37.0,,1.0,2.0,4.0,3.0,11.0,3.0,8.0,4.0,48.0,468.0,10.0,3.0,2.0,15.0,1.0,69.0,,,0.0,,5.0,2.0,3.0,3.0,,0.0,5.0,5.0,64.9,19.0,2.0,,4.0,6.0,48.0,4.0,1.0,555.0,4.0,4.0,17.0,5.0,41.0,3.0,4.0,263.0,9.0,7.0,26.0,85.0,19.0,2.0,,17.0,8.0,3.0,14.0,3.0,14.0,,7.0,5.0,3.0,3.0,1.0,,,,,,3.0,1.0,1.0,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,1.0,2.0,,,,2.0,,,1.0,1.0,,,,2.0,1.0,,2.0,1.0,,1.0,,1.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,
10,2444561,2024-11-04 20:00:00,"Craven Cottage, London",24931,Away,Brentford,Fulham,1,2,L,1,0,0,0,,,54.0,,1.0,5.0,1.0,,19.0,38.0,2.0,2.0,3.0,10.0,1.0,1.0,147.0,1.0,7.0,1.0,,4.0,,2.0,63.0,133.0,49.0,5.0,17.0,1.0,,,1.0,6.0,12.0,38.0,3.0,7.0,22.0,,110.0,0.0,95.0,10.0,3.0,,,2.0,35.0,44.0,3.0,60.0,,3.0,13.0,2.0,,,133.0,1.0,16.0,51.0,504.0,3.0,7.0,9.0,,12.0,213.0,21.0,8.0,20.0,1.0,,1.0,10.0,1.0,,8.0,297.0,59.0,,628204,2.0,118.0,1.0,3.0,144.0,6.0,7.0,11.0,53.0,,1.0,,3.0,1.0,17.0,10.0,9.0,1.0,67.0,227.0,3.0,12.0,,41.0,,60.0,,1.0,0.0,,11.0,5.0,,2.0,3.0,0.0,1.0,,32.4,6.0,5.0,1.0,3.0,2.0,25.0,3.0,2.0,321.0,12.0,9.0,11.0,1.0,17.0,,1.0,183.0,3.0,6.0,23.0,51.0,14.0,,,20.0,16.0,2.0,5.0,5.0,13.0,,7.0,3.0,1.0,1.0,,,4.0,,,,,,1.0,,,,,,,,,,2.0,,,2.0,2.0,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
