gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalLowCentre,attFreekickTotal,shotFastbreak,goalFastbreak,attOboxTarget,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,attSvLowLeft,interceptionsInBox,freekickTotal,attGoalHighCentre,attOboxMiss,attMissHighLeft,accurateThroughBall,errorLeadToShot,attRfGoal,attCmissHighLeft,attMissHigh,attFastbreak,attGoalHighLeft,overrun,accurateFlickOn,attFreekickMiss,forwardGoals,effectiveBlockedCross,blockedCross,attMissHighRight,attSvHighLeft,hitWoodwork,fastestPlayer_topSpeed,totalDistance,attCmissHigh,attCmissLeft,punches,shieldBallOop,attBxLeft,handBall,accuratePullBack,attGoalLowLeft,savedObox,ptsGainedLosingPos,attLgCentre,sixYardBlock,postScoringAtt,attIboxPost,attPostLeft,errorLeadToGoal,attOboxPost,clearanceOffLine,attPostRight,subsGoals,attFreekickGoal,attGoalHighRight,contentiousDecision,attCmissHighRight,goalsConcededObox,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,attHdPost,expectedAssists,expectedGoalsFreekick,penaltyConceded,attPostHigh,penaltyFaced,penGoalsConceded,expectedGoals,secondYellow,attPenTarget,penaltyWon,ownGoals,attIboxOwnGoal,attPenGoal,attObxRight,attObxdLeft,attObxLeft,attObxdRight
1,2444479,2024-08-19 20:00:00,"King Power Stadium, Leicester",31977,Away,Tottenham Hotspur,Leicester City,1,1,D,1,0,0,0,1.0,51.0,1.0,2.0,13.0,16.0,3.0,4.0,12.0,2.0,2.0,181.0,8.0,13.0,1.0,6.0,12.0,2.0,7.0,184.0,129.0,56.0,15.0,3.0,8.0,6.0,2.0,2.0,1.0,3.0,1.0,28.0,13.0,16.0,8.0,9.0,27.0,388.0,1.0,0.0,227.0,12.0,2.0,4.0,1.0,91.0,118.0,9.0,115.0,2.0,20.0,25.0,3.0,5.0,129.0,2.0,6.0,191.0,879.0,8.0,2.0,62.0,3.0,6.0,579.0,14.0,2.0,7.0,1.0,2.0,1.0,1.0,3.0,18.0,649.0,70.0,2.0,85971,7.0,221.0,2.0,11.0,3.0,236.0,7.0,1.0,7.0,6.0,49.0,2.0,1.0,1.0,5.0,1.0,14.0,1.0,6.0,22.0,601.0,11.0,7.0,3.0,6.0,5.0,52.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,7.0,1.0,6.0,70.5,17.0,2.0,6.0,1.0,6.0,5.0,39.0,13.0,1.0,671.0,6.0,11.0,16.0,3.0,46.0,1.0,3.0,463.0,5.0,7.0,9.0,193.0,25.0,7.0,23.0,1.0,1.0,7.0,6.0,24.0,2.0,7.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444488,2024-08-24 15:00:00,"Tottenham Hotspur Stadium, London",61357,Home,Tottenham Hotspur,Everton,4,0,W,2,0,0,0,,53.0,1.0,1.0,19.0,11.0,4.0,3.0,9.0,1.0,3.0,185.0,6.0,7.0,4.0,1.0,11.0,1.0,7.0,177.0,128.0,55.0,13.0,,14.0,2.0,,1.0,2.0,2.0,1.0,20.0,16.0,11.0,7.0,13.0,40.0,235.0,,0.0,169.0,11.0,1.0,,1.0,84.0,89.0,7.0,111.0,2.0,13.0,14.0,4.0,2.0,128.0,5.0,10.0,136.0,806.0,6.0,4.0,33.0,,4.0,514.0,23.0,,4.0,3.0,1.0,0.0,5.0,4.0,19.0,583.0,51.0,,85971,7.0,311.0,3.0,11.0,,331.0,7.0,1.0,5.0,2.0,59.0,3.0,1.0,,10.0,3.0,13.0,,2.0,32.0,540.0,15.0,5.0,2.0,4.0,5.0,52.0,,0.0,5.0,1.0,3.0,,0.0,3.0,3.0,4.0,70.5,18.0,3.0,6.0,,10.0,1.0,36.0,12.0,1.0,609.0,4.0,16.0,24.0,5.0,34.0,3.0,3.0,298.0,6.0,13.0,11.0,133.0,14.0,4.0,22.0,1.0,,7.0,5.0,20.0,,5.0,12.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444497,2024-09-01 13:30:00,"St. James' Park, Newcastle",52211,Away,Tottenham Hotspur,Newcastle United,1,2,L,0,1,0,0,1.0,53.0,,3.0,7.0,14.0,11.0,6.0,9.0,1.0,5.0,137.0,4.0,10.0,1.0,6.0,13.0,,6.0,139.0,140.0,61.0,20.0,5.0,11.0,2.0,1.0,1.0,,2.0,2.0,27.0,16.0,14.0,5.0,9.0,25.0,302.0,1.0,0.0,235.0,13.0,1.0,2.0,1.0,89.0,72.0,10.0,92.0,,22.0,29.0,11.0,8.0,140.0,,6.0,132.0,713.0,12.0,3.0,50.0,,7.0,395.0,11.0,,8.0,,1.0,4.0,3.0,3.0,20.0,472.0,61.0,,165153,5.0,123.0,2.0,12.0,2.0,137.0,5.0,1.0,13.0,3.0,47.0,2.0,,4.0,6.0,,14.0,3.0,3.0,28.0,421.0,16.0,8.0,1.0,7.0,6.0,42.0,1.0,0.0,7.0,1.0,1.0,2.0,0.0,3.0,,1.0,65.7,19.0,1.0,14.0,1.0,6.0,8.0,22.0,12.0,1.0,500.0,7.0,4.0,12.0,6.0,44.0,1.0,4.0,390.0,13.0,8.0,14.0,185.0,20.0,8.0,22.0,,2.0,11.0,4.0,23.0,,13.0,12.0,,,,,,1.0,1.0,,4.0,,,,1.0,,,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,2.0,,1.0,,,,1.0,1.0,1.0,35.69,105782.72,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444508,2024-09-15 14:00:00,"Tottenham Hotspur Stadium, London",61645,Home,Tottenham Hotspur,Arsenal,0,1,L,0,0,0,0,2.0,45.0,,4.0,14.0,24.0,5.0,5.0,10.0,3.0,1.0,131.0,8.0,7.0,,3.0,12.0,,5.0,148.0,116.0,51.0,15.0,2.0,15.0,4.0,3.0,,,3.0,2.0,31.0,13.0,24.0,5.0,10.0,17.0,292.0,,0.0,174.0,13.0,2.0,2.0,,71.0,75.0,9.0,76.0,,26.0,21.0,5.0,11.0,116.0,,7.0,139.0,703.0,12.0,3.0,29.0,2.0,9.0,418.0,21.0,,10.0,,,5.0,3.0,3.0,22.0,475.0,62.0,,550839,7.0,153.0,,13.0,,168.0,8.0,1.0,10.0,3.0,59.0,1.0,,2.0,4.0,,11.0,,3.0,30.0,437.0,10.0,12.0,,8.0,1.0,42.0,,0.0,6.0,3.0,,1.0,0.0,7.0,,4.0,63.7,21.0,1.0,3.0,,4.0,6.0,26.0,7.0,,494.0,9.0,8.0,9.0,4.0,39.0,1.0,2.0,357.0,6.0,8.0,14.0,147.0,15.0,10.0,20.0,,1.0,14.0,3.0,20.0,,10.0,7.0,,,,,,,1.0,,1.0,,,,1.0,,2.0,1.0,,,2.0,,,,,,2.0,1.0,,1.0,1.0,,,1.0,1.0,,,,34.35,106370.82,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444518,2024-09-21 15:00:00,"Tottenham Hotspur Stadium, London",61246,Home,Tottenham Hotspur,Brentford,3,1,W,2,1,0,0,2.0,71.0,,8.0,20.0,20.0,3.0,7.0,19.0,5.0,4.0,162.0,4.0,11.0,3.0,1.0,15.0,,10.0,108.0,149.0,50.0,23.0,2.0,7.0,6.0,5.0,2.0,2.0,4.0,2.0,23.0,11.0,20.0,7.0,8.0,21.0,227.0,,0.0,193.0,11.0,3.0,1.0,3.0,75.0,61.0,12.0,62.0,,16.0,25.0,4.0,4.0,149.0,3.0,5.0,102.0,665.0,12.0,5.0,61.0,1.0,17.0,338.0,22.0,4.0,11.0,2.0,2.0,3.0,,3.0,18.0,416.0,51.0,,85971,9.0,132.0,5.0,11.0,,156.0,8.0,6.0,7.0,3.0,53.0,3.0,,1.0,7.0,3.0,16.0,1.0,3.0,31.0,355.0,8.0,8.0,1.0,8.0,2.0,38.0,1.0,0.0,4.0,4.0,3.0,1.0,0.0,3.0,2.0,1.0,48.0,15.0,,13.0,2.0,9.0,10.0,25.0,9.0,4.0,434.0,17.0,16.0,13.0,3.0,40.0,1.0,2.0,301.0,15.0,6.0,13.0,148.0,25.0,11.0,18.0,,1.0,21.0,5.0,22.0,,7.0,9.0,2.0,,,1.0,1.0,,2.0,2.0,1.0,1.0,,,4.0,1.0,,1.0,,1.0,1.0,,3.0,1.0,2.0,,,2.0,,2.0,3.0,,2.0,,,1.0,,,34.09,112969.44,,2.0,1.0,,2.0,,2.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444526,2024-09-29 16:30:00,"Old Trafford, Manchester",73587,Away,Tottenham Hotspur,Manchester United,3,0,W,1,0,0,1,3.0,53.0,,5.0,16.0,14.0,6.0,8.0,18.0,2.0,4.0,186.0,6.0,6.0,3.0,3.0,19.0,1.0,10.0,163.0,123.0,36.0,24.0,2.0,6.0,5.0,3.0,1.0,1.0,4.0,2.0,15.0,6.0,14.0,3.0,14.0,26.0,260.0,,0.0,150.0,14.0,,1.0,1.0,72.0,69.0,13.0,110.0,2.0,12.0,22.0,6.0,1.0,123.0,6.0,10.0,177.0,831.0,16.0,4.0,45.0,,11.0,536.0,18.0,2.0,5.0,2.0,1.0,3.0,4.0,6.0,16.0,609.0,48.0,,491279,8.0,308.0,6.0,10.0,2.0,330.0,5.0,,15.0,9.0,46.0,2.0,,1.0,7.0,2.0,12.0,1.0,9.0,33.0,562.0,15.0,2.0,1.0,9.0,4.0,72.0,,0.0,5.0,1.0,3.0,,0.0,3.0,1.0,3.0,60.8,16.0,2.0,8.0,1.0,7.0,7.0,58.0,3.0,1.0,636.0,11.0,15.0,11.0,7.0,31.0,3.0,4.0,321.0,13.0,13.0,8.0,114.0,20.0,5.0,7.0,,,18.0,5.0,18.0,,15.0,3.0,3.0,1.0,,1.0,2.0,,4.0,2.0,2.0,,1.0,,5.0,1.0,2.0,2.0,,,2.0,,1.0,,2.0,,1.0,4.0,,,2.0,,2.0,2.0,2.0,1.0,,1.0,37.12,119812.18,1.0,1.0,,,3.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2444533,2024-10-06 16:30:00,"American Express Stadium, Falmer",31487,Away,Tottenham Hotspur,Brighton and Hove Albion,2,3,L,2,0,0,0,,44.0,1.0,2.0,19.0,12.0,2.0,4.0,11.0,1.0,1.0,165.0,1.0,14.0,2.0,2.0,8.0,,3.0,160.0,115.0,55.0,13.0,1.0,8.0,1.0,3.0,1.0,2.0,,2.0,19.0,12.0,12.0,3.0,3.0,33.0,159.0,,0.0,122.0,10.0,1.0,1.0,1.0,55.0,65.0,4.0,62.0,2.0,16.0,22.0,2.0,5.0,115.0,1.0,9.0,139.0,714.0,6.0,2.0,32.0,,7.0,434.0,21.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,17.0,497.0,56.0,,491279,6.0,303.0,,10.0,2.0,319.0,3.0,1.0,8.0,6.0,36.0,2.0,,2.0,7.0,2.0,15.0,2.0,6.0,33.0,461.0,13.0,7.0,,4.0,1.0,52.0,,0.0,4.0,,2.0,3.0,0.0,1.0,2.0,2.0,59.0,16.0,2.0,3.0,,7.0,3.0,38.0,7.0,1.0,526.0,7.0,3.0,17.0,7.0,27.0,,6.0,226.0,7.0,3.0,8.0,86.0,13.0,3.0,20.0,,3.0,10.0,3.0,23.0,3.0,8.0,7.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,2.0,,1.0,,3.0,,,2.0,1.0,,1.0,3.0,3.0,,,,35.8,110198.49,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2444548,2024-10-19 12:30:00,"Tottenham Hotspur Stadium, London",61381,Home,Tottenham Hotspur,West Ham United,4,1,W,1,1,0,1,1.0,51.0,,4.0,17.0,14.0,5.0,7.0,17.0,2.0,2.0,163.0,9.0,7.0,4.0,1.0,19.0,2.0,7.0,120.0,131.0,56.0,22.0,2.0,7.0,3.0,3.0,,3.0,4.0,4.0,28.0,16.0,14.0,8.0,6.0,15.0,252.0,,0.0,173.0,10.0,2.0,1.0,1.0,80.0,48.0,12.0,79.0,2.0,20.0,12.0,5.0,8.0,131.0,1.0,7.0,115.0,690.0,15.0,5.0,43.0,1.0,5.0,386.0,25.0,2.0,6.0,3.0,,1.0,4.0,7.0,18.0,448.0,58.0,1.0,85971,5.0,171.0,2.0,11.0,1.0,187.0,4.0,2.0,5.0,7.0,64.0,1.0,,2.0,2.0,3.0,12.0,4.0,7.0,28.0,414.0,15.0,15.0,1.0,4.0,3.0,42.0,,0.0,5.0,2.0,4.0,1.0,0.0,8.0,1.0,3.0,57.0,18.0,1.0,7.0,,2.0,6.0,29.0,13.0,2.0,477.0,5.0,15.0,4.0,9.0,45.0,1.0,7.0,318.0,11.0,6.0,9.0,138.0,17.0,6.0,25.0,,1.0,18.0,5.0,25.0,,5.0,13.0,,,,2.0,,,2.0,2.0,1.0,1.0,,,4.0,2.0,,1.0,,,1.0,,,,1.0,,1.0,2.0,,2.0,2.0,,1.0,2.0,2.0,1.0,,1.0,,,1.0,1.0,,1.0,5.0,1.0,,3.0,1.0,3.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2444555,2024-10-27 14:00:00,"Selhurst Park, London",25180,Away,Tottenham Hotspur,Crystal Palace,0,1,L,0,1,0,0,2.0,58.0,,3.0,24.0,22.0,3.0,3.0,8.0,5.0,1.0,203.0,5.0,9.0,,1.0,6.0,,3.0,132.0,166.0,59.0,11.0,1.0,21.0,2.0,1.0,,,2.0,,28.0,14.0,22.0,6.0,10.0,34.0,195.0,1.0,0.0,135.0,12.0,3.0,1.0,1.0,69.0,55.0,5.0,55.0,2.0,22.0,28.0,3.0,8.0,166.0,2.0,7.0,127.0,742.0,6.0,5.0,25.0,,10.0,384.0,34.0,2.0,11.0,,,4.0,1.0,1.0,18.0,482.0,52.0,,570526,3.0,229.0,2.0,13.0,,273.0,5.0,1.0,8.0,12.0,69.0,2.0,,1.0,7.0,,7.0,7.0,12.0,45.0,419.0,16.0,4.0,,10.0,5.0,55.0,,0.0,8.0,3.0,,1.0,0.0,4.0,,2.0,66.4,14.0,1.0,2.0,,7.0,4.0,39.0,8.0,2.0,517.0,10.0,16.0,17.0,4.0,43.0,1.0,2.0,272.0,6.0,10.0,15.0,98.0,15.0,11.0,19.0,,1.0,6.0,4.0,25.0,,8.0,8.0,,,,,,,,,1.0,,,,,,,2.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,3.0,3.0,,,1.0,,,,,2.0,2.0,,,,,2.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2444568,2024-11-03 14:00:00,"Tottenham Hotspur Stadium, London",61253,Home,Tottenham Hotspur,Aston Villa,4,1,W,0,1,0,0,,55.0,1.0,1.0,12.0,17.0,8.0,1.0,8.0,1.0,2.0,131.0,2.0,5.0,4.0,2.0,10.0,1.0,6.0,108.0,99.0,47.0,16.0,1.0,11.0,1.0,2.0,,3.0,,,23.0,7.0,17.0,5.0,5.0,22.0,219.0,,0.0,152.0,14.0,1.0,1.0,2.0,56.0,44.0,5.0,53.0,2.0,18.0,22.0,8.0,3.0,99.0,3.0,7.0,105.0,591.0,6.0,2.0,22.0,,16.0,332.0,14.0,,6.0,3.0,,2.0,3.0,5.0,12.0,375.0,52.0,1.0,85971,4.0,137.0,,14.0,1.0,146.0,9.0,,10.0,7.0,58.0,1.0,,,3.0,3.0,12.0,5.0,7.0,24.0,354.0,13.0,14.0,1.0,3.0,2.0,35.0,,0.0,4.0,,3.0,1.0,0.0,2.0,3.0,1.0,51.1,10.0,1.0,11.0,,3.0,2.0,27.0,6.0,2.0,397.0,16.0,7.0,9.0,8.0,34.0,,3.0,274.0,14.0,5.0,12.0,122.0,26.0,6.0,17.0,,1.0,12.0,5.0,17.0,,10.0,6.0,3.0,,,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,2.0,1.0,1.0,,5.0,,1.0,,3.0,,3.0,,,2.0,,,3.0,3.0,3.0,3.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
