gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,attSvHighLeft,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,savedObox,attRfTarget,shotFastbreak,attSvLowCentre,totalFastbreak,sixYardBlock,totalThroughBall,attCorner,attFastbreak,attCmissLeft,punches,effectiveBlockedCross,errorLeadToGoal,blockedCross,bigChanceScored,goalAssistSetplay,attCmissRight,postScoringAtt,goalAssistOpenplay,attIboxPost,attOboxTarget,attMissHighRight,bigChanceCreated,attPostLeft,attHdPost,hitWoodwork,goalAssist,accurateThroughBall,fastestPlayer_topSpeed,bigChanceMissed,totalDistance,totalPullBack,goalAssistIntentional,attSvHighCentre,forwardGoals,ptsDroppedWinningPos,goalAssistDeadball,attOneOnOne,attPostHigh,shieldBallOop,clearanceOffLine,attFreekickTotal,attSvLowLeft,freekickTotal,attHdTarget,attMissHighLeft,attObxRight,ptsGainedLosingPos,penaltySave,cleanSheet,expectedGoalsFreekick,penaltyConceded,penaltyFaced,attFreekickMiss,handBall,accuratePullBack,attFreekickTarget,attOboxPost,attSvLowRight,attCmissHighRight,attSvHighRight,attCmissHighLeft,penaltyWon,secondYellow,goalFastbreak,attPostRight
1,2444472,2024-08-17 15:00:00,"Goodison Park, Liverpool",39572.0,Home,Everton,Brighton and Hove Albion,0,3,L,0,1,1,0,0.0,1.0,52.0,0.0,0.0,2.0,0.0498,45.0,11.0,3.0,4.0,6.0,2.0,0.0,127.0,0.0,4.0,5.0,0.0,1.0,4.0,1.0,72.0,138.0,54.0,9.0,2.0,13.0,1.0,2.0,2.0,1.0,17.0,11.0,0.0,11.0,1.0,5.0,44.0,2.3748,117.0,0.0,0.0,103.0,8.0,0.0,2.0,1.0,0.0,1.0,1.0,45.0,66.0,3.0,66.0,1.0,1.0,16.0,17.0,3.0,0.0,0.0,5.0,1.0,138.0,1.0,9.0,0.0,79.0,529.0,3.0,5.0,18.0,13.0,251.0,18.0,15.0,4.0,2.0,1.0,2.0,1.0,0.667151,27.0,326.0,69.0,1.0,1.0,80801,2.0,153.0,10.0,1.0,170.0,5.0,0.0,10.0,4.0,48.0,2.0,0.0,0.0,7.0,4.0,0.0,13.0,1.0,4.0,2.0,0.0,82.0,266.0,8.0,6.0,1.0,30.0,81.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,3.0,4.0,1.0,3.0,2.0,38.3,24.0,1.0,3.0,2.0,4.0,4.0,45.0,1.0,1.0,344.0,13.0,10.0,21.0,4.0,24.0,1.0,3.0,191.0,3.0,4.0,18.0,59.0,24.0,4.0,23.0,0.0,3.0,8.0,3.0,16.0,0.4547,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444488,2024-08-24 15:00:00,"Tottenham Hotspur Stadium, London",61357.0,Away,Everton,Tottenham Hotspur,0,4,L,0,2,0,0,1.0,,48.0,,,6.0,,25.0,15.0,,3.0,10.0,3.0,,116.0,,7.0,5.0,,1.0,8.0,1.0,55.0,108.0,59.0,10.0,,11.0,1.0,2.0,1.0,1.0,15.0,19.0,,15.0,5.0,3.0,21.0,,97.0,,0.0,76.0,15.0,,2.0,,,1.0,,32.0,25.0,5.0,34.0,2.0,2.0,10.0,15.0,,,,3.0,,108.0,,9.0,,46.0,435.0,5.0,5.0,24.0,15.0,170.0,18.0,7.0,5.0,1.0,0.0,1.0,3.0,,15.0,228.0,44.0,,,80801,4.0,98.0,6.0,,113.0,9.0,,7.0,6.0,55.0,,,,4.0,2.0,,9.0,4.0,5.0,,,52.0,188.0,11.0,7.0,3.0,22.0,52.0,,,,0.0,1.0,12.0,2.0,,4.0,1.0,0.0,3.0,4.0,29.5,14.0,2.0,3.0,1.0,2.0,6.0,28.0,5.0,,251.0,15.0,6.0,11.0,3.0,18.0,4.0,3.0,153.0,3.0,2.0,14.0,42.0,22.0,5.0,29.0,,3.0,3.0,4.0,21.0,,7.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444493,2024-08-31 15:00:00,"Goodison Park, Liverpool",38805.0,Home,Everton,Bournemouth,2,3,L,0,0,0,0,,3.0,61.0,1.0,,1.0,,37.0,21.0,5.0,6.0,13.0,4.0,,167.0,1.0,7.0,10.0,2.0,3.0,16.0,8.0,65.0,157.0,60.0,18.0,1.0,17.0,4.0,,2.0,3.0,21.0,11.0,,21.0,7.0,6.0,17.0,,156.0,,0.0,139.0,6.0,,2.0,,,3.0,,45.0,64.0,9.0,59.0,2.0,1.0,14.0,16.0,5.0,,,4.0,2.0,157.0,,12.0,,58.0,563.0,11.0,5.0,37.0,12.0,239.0,20.0,8.0,13.0,2.0,2.0,5.0,7.0,,20.0,323.0,70.0,,,224967,10.0,108.0,7.0,1.0,121.0,2.0,2.0,7.0,8.0,54.0,,,1.0,2.0,1.0,1.0,16.0,5.0,7.0,2.0,,76.0,257.0,11.0,5.0,3.0,36.0,76.0,,,,0.0,2.0,4.0,2.0,2.0,3.0,2.0,0.0,2.0,4.0,46.9,15.0,3.0,8.0,1.0,1.0,2.0,34.0,8.0,,349.0,12.0,17.0,10.0,8.0,33.0,5.0,5.0,249.0,8.0,4.0,23.0,81.0,28.0,13.0,17.0,,3.0,12.0,2.0,19.0,,7.0,8.0,2.0,3.0,,3.0,,,1.0,5.0,,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,33.56,3.0,108077.97,1.0,2.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444501,2024-09-14 17:30:00,"Villa Park, Birmingham",41573.0,Away,Everton,Aston Villa,2,3,L,2,1,0,0,1.0,,45.0,1.0,1.0,1.0,1.1424,21.0,28.0,1.0,1.0,5.0,4.0,1.0,110.0,,6.0,7.0,2.0,2.0,4.0,2.0,45.0,102.0,51.0,6.0,,9.0,,,2.0,2.0,12.0,16.0,,28.0,2.0,5.0,18.0,2.3582,92.0,1.0,0.0,65.0,12.0,,,,1.0,3.0,,30.0,45.0,2.0,36.0,1.0,,10.0,11.0,1.0,,,3.0,,102.0,,13.0,,49.0,412.0,3.0,2.0,15.0,6.0,160.0,22.0,7.0,12.0,2.0,4.0,4.0,2.0,0.885236,13.0,215.0,39.0,2.0,,177815,3.0,96.0,4.0,3.0,112.0,7.0,,3.0,10.0,46.0,,,,3.0,4.0,1.0,13.0,4.0,9.0,,,45.0,182.0,9.0,6.0,,22.0,53.0,,,,0.0,,6.0,4.0,1.0,3.0,1.0,0.0,4.0,3.0,27.1,11.0,1.0,4.0,,4.0,1.0,33.0,2.0,,240.0,6.0,8.0,7.0,3.0,15.0,2.0,2.0,140.0,2.0,3.0,11.0,39.0,10.0,12.0,24.0,1.0,2.0,3.0,5.0,19.0,0.8968,3.0,2.0,1.0,,,,,,1.0,,,,1.0,4.0,1.0,4.0,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,32.79,1.0,110622.59,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444514,2024-09-21 15:00:00,"King Power Stadium, Leicester",31765.0,Away,Everton,Leicester City,1,1,D,1,0,0,0,,,53.0,1.0,,4.0,,27.0,30.0,3.0,4.0,13.0,1.0,,126.0,,4.0,7.0,1.0,3.0,13.0,5.0,72.0,126.0,48.0,17.0,2.0,17.0,4.0,4.0,1.0,,14.0,13.0,,30.0,1.0,,16.0,,152.0,,0.0,116.0,12.0,,,1.0,1.0,1.0,2.0,70.0,51.0,8.0,52.0,2.0,3.0,13.0,15.0,4.0,,,7.0,2.0,126.0,,10.0,,85.0,547.0,11.0,7.0,25.0,9.0,254.0,28.0,7.0,16.0,1.0,2.0,3.0,5.0,,24.0,309.0,53.0,,,121599,4.0,123.0,5.0,,140.0,3.0,1.0,6.0,11.0,61.0,,,,5.0,2.0,1.0,13.0,2.0,7.0,1.0,,51.0,271.0,11.0,8.0,1.0,20.0,54.0,,,,0.0,4.0,6.0,1.0,1.0,1.0,4.0,0.0,3.0,2.0,41.5,18.0,,4.0,4.0,2.0,6.0,31.0,1.0,2.0,335.0,9.0,11.0,7.0,6.0,21.0,1.0,4.0,209.0,11.0,,12.0,83.0,15.0,16.0,18.0,,1.0,15.0,2.0,20.0,,6.0,1.0,,2.0,2.0,,2.0,,3.0,1.0,2.0,,1.0,4.0,,4.0,,,,,1.0,,,1.0,2.0,,,1.0,1.0,3.0,32.18,3.0,108436.32,,,2.0,,2.0,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
6,2444524,2024-09-28 15:00:00,"Goodison Park, Liverpool",38954.0,Home,Everton,Crystal Palace,2,1,W,0,1,0,0,,,57.0,1.0,,1.0,,27.0,22.0,3.0,3.0,5.0,3.0,2.0,159.0,1.0,7.0,8.0,2.0,3.0,7.0,2.0,66.0,149.0,59.0,8.0,1.0,20.0,,,1.0,2.0,23.0,5.0,,22.0,5.0,9.0,26.0,,138.0,1.0,0.0,128.0,13.0,,,,2.0,4.0,3.0,42.0,68.0,3.0,57.0,1.0,2.0,18.0,12.0,3.0,,,6.0,1.0,149.0,,11.0,,65.0,552.0,3.0,6.0,16.0,16.0,247.0,17.0,7.0,11.0,1.0,2.0,7.0,4.0,,22.0,327.0,53.0,3.0,,224967,1.0,128.0,8.0,2.0,142.0,7.0,,4.0,8.0,63.0,,,,2.0,5.0,1.0,11.0,6.0,6.0,,,60.0,259.0,9.0,5.0,3.0,23.0,63.0,,,,0.0,1.0,8.0,2.0,1.0,1.0,2.0,0.0,5.0,4.0,40.1,16.0,3.0,5.0,,5.0,2.0,31.0,5.0,3.0,347.0,16.0,16.0,14.0,4.0,34.0,2.0,3.0,228.0,1.0,7.0,28.0,76.0,23.0,11.0,14.0,,1.0,4.0,3.0,17.0,,4.0,5.0,2.0,,,,,1.0,1.0,2.0,,1.0,,2.0,,2.0,,,,,1.0,,,,1.0,,,,1.0,,32.95,1.0,110214.42,1.0,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,
7,2444536,2024-10-05 17:30:00,"Goodison Park, Liverpool",39265.0,Home,Everton,Newcastle United,0,0,D,0,0,0,0,,,60.0,,,,0.5626,20.0,30.0,6.0,3.0,2.0,3.0,,135.0,,2.0,13.0,,1.0,6.0,2.0,65.0,130.0,53.0,8.0,1.0,11.0,1.0,,1.0,,9.0,11.0,,30.0,,1.0,28.0,0.8644,118.0,,0.0,107.0,12.0,,1.0,,,,1.0,47.0,53.0,3.0,42.0,,2.0,9.0,21.0,6.0,,,2.0,4.0,130.0,1.0,12.0,,68.0,508.0,6.0,6.0,13.0,10.0,220.0,29.0,3.0,9.0,1.0,1.0,4.0,3.0,0.22407,14.0,290.0,58.0,,,177815,2.0,112.0,7.0,,130.0,8.0,,6.0,9.0,54.0,,,,2.0,5.0,,10.0,2.0,4.0,1.0,,57.0,228.0,8.0,6.0,,22.0,61.0,,,,0.0,1.0,10.0,3.0,,,3.0,0.0,2.0,,32.1,11.0,,6.0,,5.0,1.0,27.0,,1.0,310.0,10.0,16.0,11.0,5.0,15.0,,1.0,189.0,5.0,1.0,14.0,60.0,19.0,9.0,19.0,,,7.0,2.0,22.0,0.6662,6.0,,,2.0,1.0,2.0,1.0,,1.0,,1.0,,2.0,2.0,,2.0,,,1.0,,,,1.0,2.0,1.0,,,,,,31.62,2.0,114268.13,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,0.0389,1.0,1.0,1.0,,,,,,,,,,,,
8,2444542,2024-10-19 15:15:00,"Portman Road, Ipswich",29862.0,Away,Everton,Ipswich Town,2,0,W,2,0,0,0,,2.0,50.0,,,,,27.0,31.0,3.0,5.0,8.0,2.0,1.0,151.0,,3.0,9.0,2.0,4.0,7.0,8.0,94.0,125.0,50.0,11.0,,12.0,4.0,1.0,2.0,,13.0,12.0,,31.0,5.0,2.0,25.0,,122.0,,0.0,106.0,10.0,,1.0,1.0,1.0,1.0,,38.0,64.0,4.0,63.0,1.0,3.0,8.0,16.0,3.0,1.0,,3.0,1.0,125.0,,9.0,,95.0,579.0,6.0,4.0,27.0,6.0,307.0,21.0,5.0,18.0,2.0,1.0,3.0,3.0,,15.0,377.0,46.0,1.0,,80801,6.0,200.0,4.0,,227.0,3.0,1.0,4.0,9.0,41.0,,,1.0,,4.0,1.0,12.0,4.0,3.0,,,68.0,319.0,12.0,7.0,,28.0,57.0,1.0,,,0.0,1.0,5.0,1.0,2.0,,1.0,0.0,3.0,1.0,44.7,10.0,1.0,5.0,,4.0,,23.0,7.0,,403.0,6.0,7.0,13.0,3.0,22.0,,2.0,189.0,5.0,2.0,11.0,69.0,13.0,18.0,18.0,,,7.0,1.0,15.0,,4.0,8.0,1.0,4.0,,2.0,,,1.0,2.0,,,2.0,4.0,,4.0,1.0,1.0,1.0,,,,2.0,,1.0,,,,1.0,1.0,,2.0,,2.0,1.0,,,,,2.0,,1.0,,1.0,3.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,
9,2444556,2024-10-26 17:30:00,"Goodison Park, Liverpool",38742.0,Home,Everton,Fulham,1,1,D,0,0,0,0,,1.0,50.0,,,2.0,,19.0,26.0,2.0,1.0,8.0,2.0,,150.0,1.0,6.0,7.0,1.0,1.0,10.0,5.0,87.0,129.0,52.0,10.0,,8.0,3.0,2.0,1.0,,17.0,12.0,,26.0,3.0,6.0,27.0,,138.0,,0.0,114.0,8.0,,1.0,,,2.0,,42.0,49.0,7.0,57.0,1.0,2.0,14.0,19.0,2.0,,,6.0,,129.0,,7.0,1.0,89.0,565.0,9.0,10.0,17.0,8.0,287.0,27.0,9.0,10.0,1.0,1.0,2.0,3.0,,19.0,359.0,62.0,1.0,2.0,80801,4.0,172.0,6.0,1.0,197.0,3.0,,9.0,11.0,38.0,,,,4.0,6.0,1.0,15.0,7.0,8.0,,,51.0,304.0,8.0,7.0,,27.0,59.0,,,,0.0,,2.0,2.0,1.0,1.0,4.0,0.0,6.0,6.0,39.9,15.0,1.0,2.0,1.0,6.0,2.0,32.0,4.0,,383.0,8.0,10.0,14.0,3.0,32.0,,2.0,203.0,3.0,6.0,18.0,74.0,11.0,10.0,19.0,1.0,1.0,9.0,4.0,13.0,,9.0,4.0,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,2.0,,3.0,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,
10,2444567,2024-11-02 15:00:00,"St. Mary's Stadium, Southampton",31143.0,Away,Everton,Southampton,0,1,L,0,0,0,0,,,50.0,,,2.0,,20.0,17.0,6.0,6.0,10.0,1.0,,92.0,,5.0,11.0,,2.0,9.0,5.0,78.0,105.0,51.0,16.0,1.0,7.0,2.0,2.0,,3.0,19.0,8.0,,17.0,5.0,,33.0,,132.0,,0.0,102.0,18.0,,,,,1.0,,50.0,37.0,5.0,56.0,1.0,2.0,14.0,11.0,6.0,,,7.0,2.0,105.0,1.0,8.0,,79.0,476.0,7.0,2.0,27.0,8.0,231.0,18.0,3.0,9.0,,2.0,2.0,4.0,,12.0,281.0,52.0,1.0,,80801,3.0,120.0,6.0,2.0,127.0,6.0,,4.0,7.0,49.0,,,,1.0,3.0,,11.0,1.0,4.0,,,51.0,247.0,14.0,12.0,2.0,13.0,46.0,,,,0.0,3.0,3.0,1.0,,1.0,1.0,0.0,5.0,3.0,34.7,8.0,1.0,7.0,4.0,3.0,3.0,22.0,6.0,,305.0,8.0,10.0,15.0,8.0,28.0,,5.0,197.0,7.0,,6.0,59.0,21.0,9.0,21.0,,1.0,7.0,3.0,15.0,,4.0,6.0,,4.0,,,,,,4.0,,1.0,1.0,1.0,,1.0,,,2.0,1.0,,1.0,3.0,1.0,3.0,,1.0,2.0,,,,3.0,,,,2.0,,,,,1.0,,,2.0,,2.0,1.0,1.0,,,,,,,,,2.0,,2.0,,3.0,1.0,,,,,,
