gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,fwdPass,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,attCmissHighRight,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attLfTotal,attRfTarget,fouledFinalThird,attBxRight,accurateKeeperSweeper,attOboxTarget,attSvLowLeft,attMissRight,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,errorLeadToShot,totalPullBack,attCmissHigh,attGoalHighLeft,attSvLowRight,accurateFlickOn,accurateCrossNocorner,shieldBallOop,attHdMiss,forwardGoals,attHdGoal,attLfTarget,attGoalLowRight,accuratePullBack,attMissLeft,attSvHighRight,goodHighClaim,penaltyConceded,defenderGoals,penaltyFaced,totalHighClaim,penGoalsConceded,ptsDroppedWinningPos,attCmissRight,cleanSheet,attSvHighLeft,accurateThroughBall,punches,attGoalHighRight,attOboxGoal,ptsGainedLosingPos,midfielderGoals,attCmissLeft,attFreekickTotal,freekickTotal,attGoalHighCentre,secondYellow,clearanceOffLine,postScoringAtt,attIboxPost,attPostLeft,attObxdRight,hitWoodwork,sixYardBlock,attSvHighCentre,attLfGoal,attGoalLowCentre,errorLeadToGoal,attPostHigh,penaltyWon,contentiousDecision,attPenGoal,attCmissHighLeft,attPostRight,handBall,goalAssistSetplay,goalAssistDeadball,attObpGoal,ownGoals,attFreekickTarget,attIboxOwnGoal,attLgCentre,attFreekickMiss,attLgLeft,attObxLeft,attHdPost,attOboxPost
1,2367540,2023-08-12 13:00:00,"Emirates Stadium, London",59984,Away,Nottingham Forest,Arsenal,1,2,L,0,2,0,0,1.0,1.0,48.0,1.0,3.0,19.0,16.0,2.0,4.0,5.0,104.0,1.0,7.0,1.0,5.0,2.0,33.0,106.0,56.0,6.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,6.0,10.0,16.0,3.0,2.0,30.0,1.0,66.0,2.0,0.0,65.0,12.0,3.0,3.0,1.0,20.0,38.0,3.0,21.0,2.0,3.0,10.0,2.0,1.0,1.0,106.0,2.0,8.0,1.0,42.0,365.0,3.0,6.0,12.0,1.0,8.0,123.0,20.0,4.0,10.0,1.0,2.0,5.0,2.0,9.0,177.0,44.0,90585,1.0,72.0,1.0,1.0,1.0,83.0,6.0,1.0,5.0,5.0,47.0,1.0,1.0,12.0,1.0,11.0,7.0,2.0,1.0,43.0,137.0,12.0,4.0,1.0,11.0,1.0,50.0,2.0,0.0,2.0,8.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,21.7,4.0,1.0,1.0,12.0,1.0,19.0,3.0,200.0,8.0,11.0,12.0,3.0,13.0,1.0,2.0,123.0,5.0,1.0,20.0,35.0,13.0,2.0,10.0,17.0,1.0,4.0,5.0,15.0,2.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2367554,2023-08-18 19:45:00,"The City Ground, Nottingham",29432,Home,Nottingham Forest,Sheffield United,2,1,W,1,0,0,0,1.0,1.0,62.0,1.0,1.0,28.0,24.0,7.0,9.0,2.0,161.0,8.0,7.0,2.0,13.0,4.0,111.0,161.0,66.0,16.0,4.0,20.0,1.0,,2.0,,,21.0,11.0,24.0,6.0,2.0,39.0,,184.0,,0.0,128.0,5.0,2.0,,2.0,44.0,79.0,6.0,65.0,,15.0,18.0,7.0,4.0,2.0,161.0,1.0,4.0,1.0,99.0,656.0,8.0,10.0,26.0,,14.0,332.0,30.0,3.0,13.0,2.0,2.0,1.0,7.0,30.0,418.0,52.0,90585,5.0,167.0,,9.0,1.0,190.0,3.0,,9.0,6.0,53.0,,3.0,4.0,2.0,16.0,3.0,4.0,5.0,57.0,343.0,9.0,6.0,3.0,12.0,5.0,69.0,,0.0,,7.0,1.0,2.0,1.0,,0.0,2.0,7.0,49.9,16.0,5.0,,4.0,5.0,41.0,6.0,436.0,14.0,6.0,18.0,7.0,32.0,3.0,5.0,267.0,7.0,1.0,31.0,87.0,19.0,1.0,13.0,20.0,,10.0,5.0,23.0,1.0,9.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2367565,2023-08-26 15:00:00,"Old Trafford, Manchester",73595,Away,Nottingham Forest,Manchester United,2,3,L,2,1,1,0,,1.0,65.0,,5.0,23.0,29.0,2.0,7.0,7.0,127.0,2.0,10.0,2.0,7.0,4.0,80.0,136.0,63.0,9.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,12.0,13.0,29.0,3.0,3.0,45.0,1.0,99.0,,0.0,93.0,11.0,4.0,2.0,3.0,24.0,57.0,4.0,37.0,,9.0,12.0,2.0,1.0,,136.0,1.0,7.0,,72.0,514.0,5.0,14.0,21.0,,14.0,208.0,34.0,6.0,19.0,1.0,4.0,4.0,3.0,14.0,288.0,49.0,90585,5.0,131.0,,5.0,2.0,154.0,6.0,1.0,6.0,9.0,44.0,1.0,2.0,9.0,1.0,13.0,11.0,8.0,,53.0,228.0,13.0,7.0,1.0,12.0,1.0,58.0,1.0,0.0,1.0,11.0,1.0,2.0,3.0,,1.0,,3.0,33.7,7.0,4.0,1.0,9.0,2.0,29.0,3.0,316.0,14.0,6.0,17.0,3.0,25.0,1.0,3.0,174.0,4.0,3.0,21.0,48.0,16.0,2.0,19.0,19.0,3.0,4.0,4.0,19.0,2.0,6.0,3.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,,,1.0,2.0,,,1.0,,,,7.0,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2367572,2023-09-02 15:00:00,"Stamford Bridge, London",39820,Away,Nottingham Forest,Chelsea,1,0,W,0,0,0,0,,1.0,61.0,,1.0,17.0,37.0,3.0,4.0,2.0,130.0,,5.0,1.0,5.0,3.0,35.0,134.0,51.0,7.0,,24.0,1.0,1.0,1.0,,,4.0,11.0,37.0,,1.0,39.0,,56.0,1.0,0.0,46.0,9.0,1.0,1.0,1.0,21.0,40.0,3.0,29.0,,4.0,11.0,3.0,1.0,2.0,134.0,1.0,11.0,1.0,36.0,428.0,4.0,13.0,9.0,,9.0,130.0,34.0,3.0,20.0,1.0,4.0,13.0,2.0,16.0,204.0,31.0,90585,2.0,87.0,1.0,2.0,3.0,120.0,5.0,1.0,6.0,13.0,62.0,2.0,3.0,5.0,1.0,14.0,10.0,8.0,1.0,53.0,143.0,10.0,13.0,,15.0,,52.0,1.0,0.0,1.0,8.0,1.0,1.0,,,0.0,1.0,,23.9,7.0,2.0,,5.0,,24.0,,230.0,9.0,9.0,14.0,4.0,13.0,,2.0,114.0,7.0,,13.0,15.0,18.0,6.0,20.0,23.0,,4.0,5.0,12.0,6.0,6.0,,,,2.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,3.0,,2.0,,,,,1.0,,1.0,,2.0,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2367584,2023-09-18 19:45:00,"The City Ground, Nottingham",28958,Home,Nottingham Forest,Burnley,1,1,D,0,1,0,1,1.0,,54.0,,2.0,20.0,17.0,8.0,6.0,2.0,153.0,1.0,9.0,1.0,11.0,4.0,106.0,136.0,48.0,14.0,1.0,14.0,,,1.0,1.0,,18.0,9.0,17.0,5.0,2.0,48.0,,141.0,1.0,0.0,125.0,16.0,1.0,,2.0,37.0,66.0,8.0,63.0,3.0,13.0,16.0,8.0,4.0,3.0,136.0,,5.0,,85.0,586.0,10.0,4.0,27.0,,6.0,306.0,22.0,,11.0,1.0,2.0,3.0,3.0,19.0,387.0,46.0,60689,4.0,181.0,,7.0,2.0,204.0,8.0,1.0,7.0,8.0,46.0,1.0,2.0,9.0,1.0,16.0,5.0,5.0,2.0,50.0,321.0,9.0,7.0,,6.0,1.0,65.0,,0.0,2.0,4.0,,,1.0,,0.0,,1.0,46.1,16.0,6.0,2.0,9.0,5.0,33.0,5.0,407.0,6.0,3.0,21.0,5.0,30.0,,2.0,221.0,10.0,2.0,17.0,81.0,16.0,1.0,11.0,13.0,,10.0,4.0,16.0,1.0,7.0,5.0,4.0,3.0,3.0,1.0,,1.0,3.0,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,2.0,,,,2.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2367596,2023-09-23 15:00:00,"Etihad Stadium, Manchester",53413,Away,Nottingham Forest,Manchester City,0,2,L,0,2,0,1,,,56.0,,2.0,21.0,12.0,5.0,5.0,2.0,143.0,2.0,4.0,,6.0,3.0,100.0,105.0,34.0,10.0,3.0,7.0,2.0,,,1.0,,17.0,11.0,12.0,3.0,5.0,29.0,1.0,211.0,,0.0,144.0,17.0,1.0,,1.0,62.0,62.0,3.0,70.0,1.0,14.0,8.0,5.0,5.0,1.0,105.0,1.0,4.0,,101.0,559.0,6.0,3.0,24.0,,8.0,343.0,28.0,1.0,5.0,,7.0,2.0,3.0,14.0,401.0,41.0,90585,3.0,145.0,1.0,8.0,,165.0,11.0,,3.0,3.0,40.0,2.0,3.0,2.0,,14.0,3.0,3.0,2.0,30.0,354.0,5.0,8.0,,6.0,3.0,45.0,,0.0,2.0,6.0,,,2.0,,0.0,,,42.6,11.0,4.0,1.0,2.0,4.0,30.0,6.0,414.0,8.0,6.0,13.0,3.0,28.0,1.0,2.0,266.0,9.0,5.0,7.0,120.0,21.0,2.0,5.0,18.0,2.0,6.0,5.0,6.0,2.0,3.0,6.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2367604,2023-10-01 14:00:00,"The City Ground, Nottingham",29004,Home,Nottingham Forest,Brentford,1,1,D,0,0,1,0,,,52.0,,,21.0,38.0,1.0,5.0,3.0,154.0,4.0,9.0,1.0,6.0,1.0,91.0,130.0,51.0,6.0,1.0,25.0,,,1.0,,,12.0,11.0,38.0,1.0,4.0,52.0,,170.0,,0.0,105.0,6.0,1.0,,2.0,41.0,56.0,2.0,74.0,,11.0,21.0,1.0,4.0,,130.0,2.0,15.0,,88.0,600.0,3.0,6.0,13.0,,6.0,307.0,29.0,1.0,19.0,1.0,1.0,9.0,4.0,19.0,383.0,50.0,90585,4.0,154.0,2.0,5.0,1.0,177.0,4.0,,12.0,11.0,47.0,1.0,2.0,3.0,1.0,13.0,3.0,4.0,,57.0,320.0,10.0,5.0,2.0,14.0,1.0,72.0,,0.0,,11.0,4.0,1.0,1.0,,1.0,1.0,4.0,40.9,10.0,3.0,,3.0,1.0,36.0,1.0,407.0,6.0,6.0,23.0,4.0,21.0,1.0,4.0,242.0,2.0,3.0,16.0,68.0,14.0,2.0,19.0,17.0,1.0,4.0,5.0,14.0,2.0,12.0,1.0,,,,3.0,1.0,2.0,,,1.0,,2.0,1.0,1.0,,,,,1.0,3.0,,3.0,,1.0,,,,3.0,,3.0,,,,3.0,,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2367611,2023-10-07 17:30:00,"Selhurst Park, London",25017,Away,Nottingham Forest,Crystal Palace,0,0,D,0,0,0,0,,,49.0,,1.0,18.0,25.0,4.0,11.0,2.0,147.0,4.0,9.0,,10.0,5.0,129.0,106.0,49.0,16.0,1.0,11.0,3.0,,,1.0,,18.0,10.0,25.0,7.0,4.0,34.0,,208.0,1.0,0.0,128.0,12.0,,,,76.0,65.0,5.0,76.0,,11.0,9.0,5.0,5.0,2.0,106.0,2.0,7.0,,130.0,661.0,8.0,5.0,28.0,,9.0,410.0,28.0,,16.0,,1.0,2.0,5.0,14.0,468.0,52.0,90585,7.0,217.0,2.0,6.0,,238.0,5.0,,5.0,6.0,49.0,,2.0,6.0,,8.0,1.0,5.0,1.0,41.0,421.0,7.0,9.0,2.0,11.0,5.0,56.0,,0.0,1.0,3.0,1.0,,,,0.0,,2.0,48.0,12.0,2.0,,6.0,4.0,37.0,7.0,482.0,9.0,10.0,22.0,7.0,32.0,2.0,4.0,262.0,12.0,3.0,14.0,103.0,13.0,,16.0,20.0,,10.0,5.0,17.0,,5.0,7.0,3.0,2.0,3.0,1.0,4.0,,2.0,2.0,,1.0,,,,,,,,2.0,2.0,,1.0,,,2.0,,,3.0,,1.0,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
9,2367625,2023-10-21 15:00:00,"The City Ground, Nottingham",29361,Home,Nottingham Forest,Luton Town,2,2,D,0,0,0,0,,2.0,68.0,,1.0,23.0,22.0,2.0,17.0,2.0,176.0,9.0,7.0,2.0,11.0,8.0,127.0,156.0,65.0,19.0,,23.0,4.0,1.0,2.0,2.0,1.0,19.0,9.0,22.0,3.0,5.0,34.0,1.0,157.0,,0.0,106.0,12.0,,2.0,1.0,53.0,44.0,5.0,69.0,1.0,16.0,26.0,2.0,4.0,,156.0,2.0,9.0,,122.0,701.0,7.0,10.0,31.0,2.0,9.0,363.0,34.0,8.0,12.0,2.0,3.0,4.0,6.0,19.0,473.0,58.0,90585,12.0,230.0,2.0,11.0,,261.0,7.0,,12.0,7.0,50.0,6.0,2.0,9.0,2.0,17.0,4.0,2.0,4.0,53.0,378.0,11.0,6.0,2.0,20.0,6.0,79.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,,0.0,2.0,9.0,57.2,18.0,4.0,,9.0,2.0,38.0,4.0,494.0,9.0,4.0,13.0,9.0,27.0,2.0,9.0,252.0,3.0,5.0,33.0,59.0,20.0,4.0,12.0,14.0,2.0,13.0,5.0,12.0,4.0,12.0,4.0,2.0,7.0,1.0,1.0,,,2.0,1.0,2.0,2.0,,,,,,,1.0,1.0,7.0,1.0,5.0,2.0,1.0,3.0,1.0,,1.0,,3.0,,,,3.0,,2.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10,2367634,2023-10-29 14:00:00,"Anfield, Liverpool",50143,Away,Nottingham Forest,Liverpool,0,3,L,0,2,0,0,1.0,,61.0,,2.0,22.0,31.0,2.0,7.0,5.0,127.0,2.0,10.0,,5.0,1.0,48.0,117.0,51.0,9.0,1.0,18.0,1.0,,,,,12.0,10.0,31.0,3.0,1.0,33.0,,76.0,2.0,0.0,66.0,13.0,3.0,,2.0,22.0,41.0,2.0,30.0,1.0,9.0,11.0,2.0,2.0,1.0,117.0,1.0,10.0,,61.0,454.0,5.0,4.0,20.0,,11.0,176.0,31.0,2.0,14.0,,3.0,4.0,3.0,7.0,238.0,42.0,90585,5.0,119.0,1.0,5.0,2.0,137.0,6.0,,6.0,13.0,50.0,2.0,3.0,8.0,,13.0,11.0,8.0,,50.0,193.0,9.0,8.0,,5.0,3.0,51.0,,0.0,1.0,8.0,3.0,,3.0,,0.0,,1.0,27.4,3.0,2.0,1.0,9.0,4.0,22.0,3.0,266.0,11.0,7.0,21.0,4.0,19.0,,2.0,141.0,6.0,1.0,13.0,35.0,16.0,1.0,14.0,19.0,2.0,4.0,5.0,15.0,1.0,6.0,3.0,3.0,2.0,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,2.0,1.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
