gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,accurateCross,wonContest,totalAttAssist,attCmissRight,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,fouledFinalThird,postScoringAtt,attIboxPost,totalCornersIntobox,attOboxMiss,bigChanceCreated,hitWoodwork,attMissHighLeft,bigChanceMissed,totalThroughBall,attMissHigh,attAssistSetplay,attCmissLeft,savedIbox,attPostHigh,goalsConceded,cornerTaken,accurateCornersIntobox,goalsConcededIbox,errorLeadToGoal,wonCorners,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,ontargetScoringAtt,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attOboxGoal,attHdTarget,goalAssist,attSetpiece,attRfGoal,goalsOpenplay,attIboxGoal,goalAssistIntentional,forwardGoals,attLfTarget,attRfTarget,attFreekickTotal,attOboxTarget,attSvLowLeft,freekickTotal,contentiousDecision,accurateThroughBall,attCmissHigh,punches,attFreekickMiss,goalsConcededObox,bigChanceScored,sixYardBlock,foulThrowIn,attSvHighRight,goalAssistSetplay,attObxLeft,accurateKeeperSweeper,attMissHighRight,totalKeeperSweeper,ownGoals,defenderGoals,attSvLowRight,attObxRight,attIboxOwnGoal,attGoalLowCentre,attOneOnOne,midfielderGoals,attBxLeft,ptsDroppedWinningPos,attSvHighLeft,shotFastbreak,attGoalHighRight,totalFastbreak,attFastbreak,penaltySave,goalAssistDeadball,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,ptsGainedLosingPos,attCmissHighRight,attOboxPost,totalPullBack,attHdGoal,attPostRight,clearanceOffLine,accuratePullBack,attSvHighCentre,attPostLeft,penaltyWon,attPenGoal,attObpGoal,attCmissHighLeft
1,918900,2017-08-12 15:00:00,"St. Mary's Stadium, Southampton",31447,Away,Swansea City,Southampton,0,0,D,0,0,0,0,1.0,46.0,2.0,1.0,35.0,38.0,1.0,1.0,3.0,2.0,132.0,2.0,4.0,3.0,1.0,83.0,115.0,42.0,4.0,1.0,17.0,1.0,1.0,8.0,8.0,38.0,4.0,16.0,123.0,1.0,0.0,61.0,13.0,2.0,1.0,3.0,54.0,34.0,2.0,51.0,1.0,1.0,8.0,20.0,1.0,4.0,115.0,16.0,99.0,532.0,3.0,8.0,7.0,8.0,264.0,15.0,6.0,17.0,1.0,11.0,1.0,15.0,332.0,45.0,1.0,1.0,96305,2.0,163.0,3.0,191.0,10.0,20.0,22.0,47.0,1.0,3.0,11.0,13.0,12.0,71.0,284.0,10.0,6.0,22.0,72.0,0.0,1.0,13.0,2.0,0.0,2.0,1.0,1.0,40.4,12.0,1.0,2.0,3.0,2.0,43.0,3.0,365.0,8.0,10.0,3.0,2.0,14.0,2.0,182.0,2.0,4.0,18.0,31.0,24.0,3.0,17.0,11.0,4.0,3.0,6.0,3.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918910,2017-08-19 12:30:00,"Liberty Stadium, Swansea",20862,Home,Swansea City,Manchester United,0,4,L,0,1,0,0,,66.0,2.0,,19.0,28.0,2.0,1.0,3.0,4.0,149.0,6.0,5.0,2.0,,90.0,147.0,56.0,5.0,,11.0,,2.0,22.0,14.0,28.0,10.0,34.0,153.0,,0.0,110.0,12.0,1.0,1.0,1.0,68.0,45.0,,65.0,4.0,,19.0,18.0,2.0,5.0,147.0,10.0,102.0,592.0,1.0,5.0,12.0,10.0,299.0,31.0,4.0,21.0,1.0,3.0,2.0,23.0,381.0,46.0,1.0,2.0,97615,2.0,168.0,13.0,195.0,7.0,18.0,8.0,52.0,1.0,6.0,13.0,7.0,4.0,47.0,315.0,11.0,13.0,14.0,60.0,0.0,3.0,5.0,1.0,0.0,4.0,,2.0,41.0,16.0,2.0,3.0,6.0,,28.0,2.0,406.0,10.0,13.0,16.0,5.0,23.0,2.0,233.0,2.0,8.0,19.0,71.0,23.0,1.0,21.0,21.0,4.0,3.0,8.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918915,2017-08-26 15:00:00,"Selhurst Park, London",23477,Away,Swansea City,Crystal Palace,2,0,W,1,0,0,0,,57.0,1.0,1.0,45.0,28.0,2.0,2.0,5.0,3.0,168.0,4.0,4.0,5.0,1.0,107.0,133.0,51.0,7.0,1.0,21.0,,1.0,5.0,15.0,28.0,10.0,46.0,135.0,1.0,0.0,89.0,6.0,2.0,,2.0,49.0,90.0,3.0,67.0,,1.0,4.0,6.0,2.0,2.0,133.0,7.0,122.0,618.0,2.0,13.0,8.0,5.0,349.0,25.0,3.0,17.0,1.0,1.0,2.0,20.0,428.0,57.0,,1.0,97615,4.0,238.0,2.0,253.0,4.0,6.0,19.0,50.0,3.0,2.0,9.0,9.0,10.0,94.0,369.0,9.0,7.0,18.0,90.0,0.0,4.0,1.0,3.0,0.0,3.0,,3.0,46.9,15.0,2.0,,2.0,2.0,43.0,2.0,464.0,5.0,11.0,19.0,2.0,14.0,2.0,216.0,2.0,8.0,18.0,44.0,20.0,4.0,17.0,20.0,5.0,3.0,9.0,4.0,3.0,3.0,,,1.0,,2.0,,,2.0,1.0,,1.0,,2.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918931,2017-09-10 16:00:00,"Liberty Stadium, Swansea",20872,Home,Swansea City,Newcastle United,0,1,L,0,0,0,0,,60.0,2.0,1.0,37.0,28.0,3.0,2.0,7.0,7.0,175.0,9.0,13.0,7.0,,127.0,160.0,62.0,10.0,,16.0,1.0,2.0,31.0,10.0,28.0,6.0,43.0,226.0,,0.0,139.0,11.0,1.0,2.0,,56.0,87.0,4.0,82.0,1.0,,24.0,16.0,3.0,7.0,160.0,7.0,141.0,738.0,5.0,7.0,21.0,7.0,411.0,27.0,5.0,17.0,2.0,3.0,3.0,21.0,506.0,55.0,,,97615,4.0,207.0,15.0,228.0,7.0,16.0,5.0,53.0,1.0,9.0,13.0,9.0,1.0,77.0,424.0,14.0,5.0,25.0,85.0,0.0,1.0,5.0,5.0,0.0,6.0,,3.0,61.8,20.0,3.0,3.0,9.0,1.0,49.0,,525.0,7.0,16.0,21.0,5.0,45.0,3.0,328.0,5.0,3.0,21.0,90.0,19.0,3.0,17.0,14.0,6.0,2.0,18.0,3.0,7.0,5.0,,,7.0,2.0,2.0,,,2.0,1.0,3.0,2.0,1.0,5.0,,1.0,7.0,3.0,1.0,,8.0,,,,,4.0,3.0,,2.0,,,,,,,,,,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918940,2017-09-16 17:30:00,"Wembley Stadium, London",65366,Away,Swansea City,Tottenham Hotspur,0,0,D,0,0,0,0,,51.0,4.0,,29.0,44.0,2.0,1.0,2.0,8.0,135.0,1.0,10.0,1.0,1.0,36.0,127.0,50.0,4.0,,17.0,,,9.0,14.0,44.0,4.0,26.0,80.0,1.0,0.0,62.0,9.0,6.0,2.0,1.0,37.0,56.0,,42.0,,2.0,8.0,13.0,2.0,,127.0,10.0,44.0,440.0,,11.0,5.0,8.0,146.0,22.0,7.0,26.0,3.0,4.0,1.0,7.0,221.0,44.0,,,97615,2.0,85.0,6.0,106.0,5.0,13.0,21.0,46.0,,4.0,10.0,16.0,8.0,76.0,164.0,10.0,7.0,30.0,77.0,0.0,2.0,11.0,4.0,0.0,,,1.0,25.1,7.0,1.0,1.0,4.0,,33.0,1.0,257.0,8.0,11.0,16.0,4.0,13.0,2.0,160.0,2.0,3.0,13.0,26.0,16.0,8.0,26.0,17.0,2.0,3.0,13.0,8.0,5.0,2.0,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,,4.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918951,2017-09-23 15:00:00,"Liberty Stadium, Swansea",20372,Home,Swansea City,Watford,1,2,L,0,1,0,0,1.0,53.0,1.0,2.0,26.0,17.0,2.0,3.0,8.0,2.0,167.0,8.0,8.0,6.0,,99.0,166.0,68.0,10.0,2.0,29.0,,1.0,33.0,19.0,17.0,16.0,32.0,149.0,,0.0,97.0,9.0,2.0,5.0,,41.0,63.0,4.0,72.0,2.0,1.0,28.0,13.0,2.0,11.0,166.0,4.0,91.0,628.0,3.0,5.0,20.0,10.0,312.0,23.0,6.0,9.0,1.0,2.0,2.0,24.0,409.0,62.0,2.0,1.0,97615,6.0,182.0,12.0,212.0,3.0,13.0,4.0,65.0,,4.0,14.0,4.0,1.0,62.0,323.0,16.0,12.0,27.0,67.0,0.0,,4.0,2.0,0.0,6.0,,4.0,50.8,21.0,3.0,2.0,4.0,4.0,38.0,,429.0,10.0,15.0,14.0,3.0,47.0,3.0,250.0,2.0,14.0,23.0,54.0,24.0,,9.0,21.0,4.0,3.0,10.0,,7.0,5.0,,,5.0,,,,,1.0,,1.0,3.0,1.0,1.0,,2.0,5.0,2.0,1.0,,6.0,,1.0,,1.0,3.0,2.0,,2.0,,1.0,,3.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918962,2017-09-30 15:00:00,"London Stadium, London",56922,Away,Swansea City,West Ham United,0,1,L,0,0,0,0,,63.0,1.0,1.0,26.0,18.0,5.0,2.0,1.0,3.0,163.0,1.0,6.0,4.0,,119.0,159.0,51.0,6.0,1.0,24.0,,,21.0,14.0,18.0,12.0,29.0,219.0,,0.0,114.0,13.0,2.0,3.0,3.0,81.0,64.0,2.0,70.0,,1.0,20.0,17.0,5.0,11.0,159.0,7.0,149.0,690.0,4.0,5.0,6.0,12.0,399.0,21.0,3.0,10.0,2.0,2.0,2.0,29.0,480.0,67.0,,,97615,1.0,194.0,6.0,213.0,7.0,17.0,5.0,65.0,,7.0,14.0,2.0,,62.0,412.0,14.0,6.0,19.0,89.0,0.0,2.0,2.0,1.0,0.0,,,,56.8,17.0,,5.0,7.0,2.0,52.0,3.0,501.0,12.0,11.0,14.0,3.0,30.0,,309.0,4.0,11.0,19.0,72.0,27.0,3.0,10.0,14.0,5.0,3.0,17.0,3.0,9.0,2.0,,,1.0,3.0,,,1.0,,,1.0,,,2.0,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918970,2017-10-14 15:00:00,"Liberty Stadium, Swansea",20657,Home,Swansea City,Huddersfield Town,2,0,W,1,0,0,0,1.0,54.0,1.0,2.0,35.0,15.0,2.0,2.0,5.0,2.0,137.0,2.0,3.0,4.0,1.0,82.0,131.0,53.0,7.0,,13.0,1.0,1.0,17.0,9.0,15.0,3.0,26.0,146.0,1.0,0.0,100.0,12.0,,4.0,1.0,66.0,69.0,3.0,57.0,,1.0,12.0,15.0,2.0,2.0,131.0,4.0,84.0,533.0,2.0,4.0,16.0,13.0,269.0,11.0,7.0,8.0,1.0,4.0,1.0,23.0,340.0,63.0,,,97615,3.0,136.0,6.0,149.0,5.0,15.0,7.0,52.0,1.0,2.0,15.0,3.0,3.0,65.0,280.0,16.0,12.0,22.0,68.0,0.0,2.0,3.0,2.0,0.0,2.0,,,40.2,21.0,,6.0,2.0,2.0,36.0,1.0,360.0,13.0,11.0,15.0,2.0,20.0,,228.0,5.0,3.0,20.0,58.0,31.0,3.0,8.0,15.0,5.0,3.0,8.0,3.0,9.0,4.0,,,5.0,2.0,2.0,,,1.0,1.0,,,1.0,1.0,,,5.0,,,,5.0,,2.0,,2.0,3.0,1.0,2.0,,,,2.0,,2.0,2.0,2.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918980,2017-10-21 15:00:00,"Liberty Stadium, Swansea",20521,Home,Swansea City,Leicester City,1,2,L,0,1,0,0,,56.0,2.0,1.0,30.0,21.0,9.0,6.0,7.0,5.0,175.0,11.0,5.0,14.0,,111.0,152.0,49.0,19.0,6.0,20.0,2.0,2.0,35.0,12.0,21.0,14.0,32.0,228.0,,0.0,160.0,6.0,4.0,3.0,1.0,82.0,90.0,8.0,75.0,,,28.0,20.0,12.0,13.0,152.0,6.0,102.0,685.0,11.0,6.0,21.0,4.0,368.0,23.0,2.0,6.0,0.0,2.0,6.0,31.0,445.0,87.0,,,97615,5.0,162.0,12.0,177.0,4.0,20.0,5.0,62.0,,6.0,14.0,6.0,2.0,60.0,379.0,9.0,13.0,15.0,80.0,0.0,1.0,6.0,1.0,0.0,6.0,,3.0,55.8,25.0,2.0,1.0,6.0,7.0,43.0,1.0,463.0,4.0,17.0,17.0,8.0,36.0,3.0,321.0,10.0,14.0,18.0,113.0,23.0,1.0,6.0,17.0,15.0,3.0,11.0,1.0,8.0,4.0,,,7.0,5.0,,,2.0,,,2.0,2.0,1.0,3.0,,2.0,7.0,5.0,2.0,,7.0,,1.0,,1.0,4.0,2.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,2.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,918984,2017-10-28 15:00:00,"Emirates Stadium, London",59493,Away,Swansea City,Arsenal,1,2,L,1,0,0,0,,47.0,,,25.0,38.0,1.0,2.0,3.0,3.0,121.0,,4.0,2.0,,67.0,122.0,35.0,4.0,,17.0,,2.0,7.0,7.0,38.0,5.0,23.0,87.0,,0.0,69.0,9.0,1.0,1.0,1.0,28.0,48.0,1.0,45.0,6.0,,5.0,9.0,1.0,3.0,122.0,12.0,67.0,467.0,1.0,7.0,7.0,18.0,202.0,24.0,6.0,20.0,0.0,3.0,1.0,17.0,263.0,48.0,,,97615,2.0,131.0,1.0,146.0,6.0,9.0,18.0,45.0,1.0,2.0,11.0,5.0,4.0,73.0,218.0,9.0,3.0,26.0,69.0,0.0,,5.0,1.0,0.0,,1.0,,27.1,12.0,,3.0,2.0,,24.0,1.0,300.0,18.0,14.0,7.0,2.0,18.0,1.0,161.0,2.0,4.0,8.0,30.0,11.0,2.0,20.0,14.0,3.0,3.0,6.0,2.0,5.0,,,,2.0,1.0,1.0,,,1.0,1.0,,,2.0,3.0,,2.0,2.0,,2.0,,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,2.0,,2.0,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
