id,code,first_name,second_name,team_id,team_code,team_name
614,101178,James,Ward-Prowse,3,90,Burnley
676,503714,Lesley,Ugochukwu,3,90,Burnley
680,440323,Armando,Broja,3,90,Burnley
722,216055,Florentino Ibrain,Morris Luís,3,90,Burnley
776,647960,Oliver,Pimlott,3,90,Burnley
784,704232,George,Brierley,3,90,Burnley
820,644593,Kian,McMahon-Brown,3,90,Burnley
66,69752,Norberto,Murara Neto,4,91,Bournemouth
67,457569,Đorđe,Petrović,4,91,Bournemouth
68,444172,Will,Dennis,4,91,Bournemouth
69,568791,Callan,McKenna,4,91,Bournemouth
70,495145,Alex,Paulsen,4,91,Bournemouth
71,477580,Illia,Zabarnyi,4,91,Bournemouth
72,221466,Marcos,Senesi Barón,4,91,Bournemouth
73,54469,Adam,Smith,4,91,Bournemouth
74,494521,Adrien,Truffert,4,91,Bournemouth
75,541462,Matai,Akinmboni,4,91,Bournemouth
76,518906,Owen,Bevan,4,91,Bournemouth
77,463981,James,Hill,4,91,Bournemouth
78,436893,Julián,Araujo Zúñiga,4,91,Bournemouth
79,223911,Chris,Mepham,4,91,Bournemouth
80,575901,Julio,Soler Barreto,4,91,Bournemouth
81,222683,Justin,Kluivert,4,91,Bournemouth
84,201658,Marcus,Tavernier,4,91,Bournemouth
85,200785,Tyler,Adams,4,91,Bournemouth
86,111317,David,Brooks,4,91,Bournemouth
87,158499,Ryan,Christie,4,91,Bournemouth
88,155408,Lewis,Cook,4,91,Bournemouth
89,168991,Philip,Billing,4,91,Bournemouth
90,503139,Alex,Scott,4,91,Bournemouth
91,224995,Luis,Sinisterra Lucumí,4,91,Bournemouth
92,441240,Romain,Faivre,4,91,Bournemouth
93,424044,Hamed,Traorè,4,91,Bournemouth
94,550596,Dominic,Sadi,4,91,Bournemouth
95,530121,Zain,Silcott-Duberry,4,91,Bournemouth
96,606775,Ben,Winterburn,4,91,Bournemouth
97,444102,Francisco Evanilson,de Lima Barbosa,4,91,Bournemouth
98,168636,Enes,Ünal,4,91,Bournemouth
99,590760,Daniel,Adu-Adjei,4,91,Bournemouth
100,560262,Junior,Kroupi,4,91,Bournemouth
391,496208,Ben,Gannon-Doak,4,91,Bournemouth
685,242882,Bafodé,Diakité,4,91,Bournemouth
687,606774,Remy,Rees-Dottin,4,91,Bournemouth
697,489888,Amine,Adli,4,91,Bournemouth
713,551483,Álex,Jiménez Sánchez,4,91,Bournemouth
721,620487,Veljko,Milosavljevic,4,91,Bournemouth
756,678552,Malcom,DaCosta,4,91,Bournemouth
782,40383,Fraser,Forster,4,91,Bournemouth
799,658013,Charlie,Stevens,4,91,Bournemouth
801,614574,Alex,Tóth,4,91,Bournemouth
806,436416,Christos,Mandas,4,91,Bournemouth
807,499604,Rayan Vitor,Simplício Rocha,4,91,Bournemouth
27,200641,Reiss,Nelson,5,94,Brentford
