fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round,opponent_team_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out,ict_index,avg_value,team_id,team,players_used,players_played
9,14,False,2025-08-17T15:30:00Z,0,1,1,Man Utd,26,987,1,1,0,33,0,0,0,2,0,2,0,68,152.8,93.10000000000001,90.0,36,52,18,73,11,1.5,0.25,1.75,20.46,0,2117335,0,0,33.6,47.3,5,Brentford,37,15
11,11,True,2025-08-23T16:30:00Z,5,0,2,Leeds,74,985,1,0,11,0,0,0,0,1,0,2,6,233,240.79999999999998,90.79999999999998,112.0,64,54,28,123,11,1.21,0.34,1.55,13.109999999999998,-107898,2181708,106185,214083,44.4,47.3,5,Brentford,37,16
25,12,False,2025-08-31T15:30:00Z,1,0,3,Liverpool,33,988,1,1,2,22,0,0,1,2,0,1,1,120,184.0,82.69999999999999,86.0,41,35,9,62,11,1.19,0.81,2.0,16.94,185106,2590283,406916,221810,35.3,47.2,5,Brentford,37,14
33,7,True,2025-09-13T19:00:00Z,2,2,4,Chelsea,43,986,2,2,0,22,0,0,0,3,0,4,2,160,271.0,110.8,123.0,46,39,17,77,11,1.42,0.8,2.2199999999999998,13.79,-163586,2370192,179539,343125,50.5,47.0,5,Brentford,37,16
45,10,False,2025-09-20T19:00:00Z,3,1,5,Fulham,24,985,1,0,0,33,1,0,0,1,0,2,1,74,150.4,65.1,108.0,28,38,13,52,11,0.61,0.36000000000000004,0.97,11.110000000000001,-15989,2404877,162805,178794,32.4,47.0,5,Brentford,37,16
52,14,True,2025-09-27T11:30:00Z,3,1,6,Man Utd,59,986,3,3,0,11,0,1,0,2,0,5,4,245,308.8,136.3,193.0,35,41,14,69,11,2.0300000000000002,1.25,3.2800000000000002,22.880000000000003,-148047,2265517,111419,259466,63.8,46.9,5,Brentford,37,16
64,13,True,2025-10-05T15:30:00Z,0,1,7,Man City,25,987,0,0,0,11,0,0,0,3,0,3,0,100,117.80000000000001,62.8,41.0,26,43,17,59,11,0.8300000000000001,0.19,1.02,9.129999999999999,38323,2336876,218220,179897,22.2,46.9,5,Brentford,37,16
80,19,False,2025-10-20T19:00:00Z,0,2,8,West Ham,72,988,2,2,11,0,0,0,0,1,0,1,6,287,267.2,293.29999999999995,250.0,38,44,11,76,11,2.31,1.8600000000000003,4.17,3.63,115081,2495888,275340,160259,81.0,46.8,5,Brentford,37,14
84,12,True,2025-10-25T19:00:00Z,3,2,9,Liverpool,53,989,3,3,0,22,0,0,0,3,0,3,4,183,300.4,166.70000000000002,256.0,55,58,15,105,11,2.74,1.09,3.83,25.3,68683,2575079,208349,139666,72.3,46.7,5,Brentford,37,16
93,8,False,2025-11-01T15:00:00Z,2,0,10,Crystal Palace,21,985,0,0,0,22,1,0,0,3,0,2,0,101,152.0,60.3,77.0,46,60,16,92,11,0.54,0.47000000000000003,1.0100000000000002,7.66,444595,3057277,568322,123727,28.9,46.7,5,Brentford,37,16
102,15,True,2025-11-09T14:00:00Z,3,1,11,Newcastle,49,988,3,2,0,11,0,0,0,2,0,0,4,205,218.0,140.9,228.0,28,55,17,74,11,2.6399999999999997,0.9900000000000002,3.63,4.619999999999999,37795,3096724,217472,179677,58.7,46.8,5,Brentford,38,15
113,6,False,2025-11-22T15:00:00Z,2,1,12,Brighton,30,986,1,1,1,22,0,0,1,2,0,3,0,102,189.6,74.50000000000001,115.0,43,56,20,89,11,1.91,0.54,2.45,13.38,631780,3814308,730031,98251,37.9,46.8,5,Brentford,38,15
122,3,True,2025-11-29T15:00:00Z,3,1,13,Burnley,64,988,3,2,2,11,0,0,0,0,0,1,6,211,288.4,158.7,166.0,65,58,9,102,11,3.05,0.81,3.8599999999999994,10.43,1061009,5786038,1141609,80600,61.3,46.8,5,Brentford,38,15
131,1,False,2025-12-03T19:30:00Z,2,0,14,Arsenal,24,985,0,0,0,22,0,0,0,1,0,5,0,89,174.0,71.1,69.0,48,48,19,82,11,0.35,0.31,0.66,19.47,179266,4977240,377066,197800,31.4,46.8,5,Brentford,38,16
149,18,False,2025-12-06T15:00:00Z,2,0,15,Spurs,24,986,0,0,0,22,0,0,0,4,0,5,0,100,162.2,61.5,53.0,44,48,24,82,11,0.28,0.5700000000000001,0.8500000000000001,24.02,519132,5516718,664899,145767,27.7,46.7,5,Brentford,38,16
152,11,True,2025-12-14T16:30:00Z,1,1,16,Leeds,54,986,1,1,4,11,0,0,0,0,0,3,3,190,225.80000000000004,82.4,69.0,59,42,12,86,11,0.72,0.22000000000000003,0.9400000000000001,16.7,1691050,7412287,1942994,251944,37.7,46.8,5,Brentford,38,15
170,20,False,2025-12-20T15:00:00Z,0,2,17,Wolves,85,989,2,2,11,0,0,1,0,4,0,2,7,278,304.4,121.10000000000001,148.0,58,53,12,93,11,1.28,1.7000000000000002,2.9799999999999995,13.969999999999999,-161322,7097143,439758,601080,57.4,46.8,5,Brentford,38,12
