gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attRfTarget,fouledFinalThird,accuratePullBack,attFreekickTotal,attOboxBlocked,accurateKeeperSweeper,goalFastbreak,freekickTotal,totalKeeperSweeper,expectedGoalsFreekick,totalPullBack,attCorner,punches,goalAssistIntentional,accurateCornersIntobox,attIboxPost,attMissHighRight,attSvHighLeft,accurateThroughBall,totalThroughBall,attCmissLeft,attFreekickTarget,attCmissRight,attSvHighRight,attMissRight,attMissHighLeft,attCmissHigh,forwardGoals,penaltyWon,attHdTarget,attFreekickMiss,errorLeadToGoal,attLgCentre,goalAssistSetplay,ptsGainedLosingPos,ptsDroppedWinningPos,handBall,foulThrowIn,penaltyConceded,penaltyFaced,penGoalsConceded,attObxdRight,attSvHighCentre,clearanceOffLine,attLgLeft,attPenTarget,attPostLeft,attHdPost,attCmissHighLeft,attCmissHighRight,attIboxOwnGoal,attLgRight,attObxRight,attPostRight,attObxLeft,fastestPlayer
1,2561895,2025-08-15 20:00:00,"Anfield, Liverpool",60315.0,Away,Bournemouth,Liverpool,2,4,L,0.0,1.0,0,0,0.0,,54.0,0.0,1.0,2.0,2.0,0.8149,24.0,45.0,2.0,5.0,8.0,6.0,2.0,123.0,0.0,5.0,8.0,2.0,8.0,3.0,65.0,143.0,52.0,10.0,29.0,1.0,3.0,,,2.0,1.0,2.0,20.0,12.0,0.0,,45.0,6.0,2.0,31.0,,3.0464,82.0,,1.0,0.0,92.0,10.0,0.0,1.0,5.0,2.0,,,2.0,29.0,40.0,4.0,48.0,3.0,14.0,19.0,2.0,1.0,0.0,6.0,,143.0,3.0,,15.0,0.0,63.0,519.0,5.0,7.0,28.0,,11.0,194.0,19.0,7.0,14.0,2.0,2.0,2.0,4.0,0.649442,17.0,275.0,45.0,,,33.68,437730,5.0,132.0,2.0,8.0,,,149.0,3.0,110189.5,0.0,9.0,11.0,63.0,0.0,0.0,2.0,5.0,2.0,13.0,4.0,5.0,2.0,0.0,70.0,209.0,6.0,8.0,1.0,32.0,66.0,3.0,0.0,0.0,,0.0,0.0,,6.0,4.0,1.0,,,4.0,2.0,0.0,4.0,,2.0,38.8,10.0,2.0,3.0,2.0,5.0,3.0,19.0,7.0,2.0,299.0,11.0,5.0,14.0,4.0,30.0,4.0,170.0,3.0,1.0,18.0,48.0,24.0,,14.0,20.0,0.0,4.0,8.0,4.0,19.0,1.6986,,9.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0367,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561905,2025-08-23 15:00:00,"Vitality Stadium, Bournemouth",11070.0,Home,Bournemouth,Wolverhampton Wanderers,1,0,W,1.0,0.0,0,1,0.0,2.0,34.0,0.0,0.0,,3.0,0.9297,23.0,32.0,6.0,6.0,8.0,1.0,1.0,142.0,0.0,3.0,10.0,1.0,13.0,4.0,118.0,120.0,45.0,14.0,25.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.0,9.0,0.0,2.0,32.0,6.0,10.0,21.0,,0.2372,235.0,1.0,0.0,0.0,146.0,13.0,0.0,1.0,1.0,1.0,1.0,,1.0,86.0,82.0,8.0,79.0,,14.0,17.0,6.0,0.0,0.0,6.0,2.0,120.0,2.0,,3.0,0.0,108.0,651.0,11.0,4.0,30.0,1.0,6.0,365.0,11.0,4.0,15.0,1.0,2.0,2.0,5.0,1.13469,24.0,420.0,70.0,,,33.25,200785,3.0,155.0,2.0,8.0,,1.0,163.0,6.0,106280.67,0.0,7.0,7.0,64.0,0.0,0.0,2.0,3.0,1.0,9.0,3.0,5.0,1.0,0.0,51.0,387.0,16.0,5.0,1.0,19.0,55.0,1.0,1.0,0.0,,0.0,0.0,1.0,3.0,1.0,1.0,,1.0,0.0,3.0,0.0,3.0,,,58.8,14.0,,4.0,2.0,3.0,5.0,33.0,8.0,1.0,447.0,6.0,9.0,7.0,5.0,36.0,2.0,304.0,8.0,10.0,8.0,114.0,16.0,1.0,15.0,12.0,0.0,0.0,10.0,5.0,22.0,1.2912,1.0,7.0,8.0,1.0,1.0,3.0,,2.0,2.0,1.0,,2.0,1.0,0.2056,,,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561923,2025-08-30 15:00:00,"Tottenham Hotspur Stadium, London",61250.0,Away,Bournemouth,Tottenham Hotspur,1,0,W,1.0,0.0,0,0,0.0,3.0,57.0,0.0,0.0,,4.0,1.4839,19.0,31.0,5.0,11.0,15.0,1.0,1.0,138.0,0.0,5.0,8.0,1.0,13.0,6.0,57.0,145.0,69.0,20.0,17.0,4.0,,2.0,,1.0,1.0,2.0,18.0,13.0,1.0,1.0,31.0,7.0,4.0,27.0,1.0,0.2161,109.0,1.0,0.0,0.0,109.0,13.0,0.0,,,0.0,1.0,1.0,3.0,46.0,35.0,8.0,43.0,,11.0,17.0,5.0,0.0,0.0,7.0,3.0,145.0,2.0,,3.0,0.0,58.0,517.0,11.0,5.0,29.0,1.0,9.0,187.0,19.0,2.0,18.0,1.0,4.0,1.0,5.0,0.799562,15.0,267.0,61.0,1.0,,34.12,444102,6.0,104.0,3.0,3.0,,1.0,118.0,8.0,112755.02,0.0,7.0,9.0,56.0,0.0,0.0,3.0,3.0,1.0,16.0,2.0,5.0,2.0,0.0,57.0,208.0,17.0,10.0,1.0,17.0,66.0,,0.0,0.0,2.0,0.0,0.0,1.0,,1.0,1.0,,,0.0,2.0,0.0,4.0,,4.0,38.6,7.0,4.0,6.0,5.0,3.0,5.0,24.0,8.0,3.0,296.0,9.0,8.0,9.0,9.0,38.0,6.0,196.0,5.0,4.0,16.0,61.0,25.0,1.0,18.0,28.0,0.0,0.0,11.0,5.0,16.0,1.5863,1.0,7.0,8.0,,2.0,4.0,,1.0,1.0,,,1.0,,0.0352,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561925,2025-09-13 15:00:00,"Vitality Stadium, Bournemouth",11167.0,Home,Bournemouth,Brighton and Hove Albion,2,1,W,1.0,0.0,0,0,0.0,1.0,50.0,0.0,1.0,,2.0,1.4936,25.0,35.0,6.0,4.0,7.0,1.0,1.0,153.0,1.0,4.0,6.0,2.0,9.0,5.0,90.0,138.0,51.0,13.0,9.0,2.0,,1.0,,1.0,2.0,,19.0,14.0,0.0,1.0,35.0,4.0,3.0,38.0,,1.2767,165.0,,1.0,0.0,136.0,16.0,0.0,1.0,,2.0,,1.0,,56.0,56.0,6.0,62.0,,16.0,24.0,6.0,0.0,0.0,4.0,2.0,138.0,,,5.0,0.0,88.0,589.0,7.0,8.0,28.0,,3.0,297.0,24.0,3.0,19.0,1.0,4.0,2.0,3.0,0.93455,17.0,372.0,65.0,,,34.09,437730,5.0,148.0,,11.0,1.0,,165.0,10.0,112134.38,1.0,12.0,12.0,55.0,0.0,0.0,1.0,4.0,1.0,14.0,1.0,7.0,3.0,1.0,56.0,309.0,10.0,10.0,1.0,15.0,63.0,,0.0,0.0,,0.0,0.0,,4.0,1.0,1.0,,,1.0,1.0,0.0,4.0,2.0,3.0,51.3,13.0,1.0,3.0,,4.0,4.0,30.0,4.0,,393.0,3.0,12.0,16.0,4.0,31.0,2.0,247.0,6.0,3.0,17.0,88.0,19.0,2.0,19.0,18.0,0.0,1.0,7.0,5.0,14.0,1.4475,2.0,12.0,4.0,1.0,,3.0,,2.0,2.0,1.0,,2.0,1.0,0.0736,,2.0,,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
5,2561935,2025-09-21 14:00:00,"Vitality Stadium, Bournemouth",11212.0,Home,Bournemouth,Newcastle United,0,0,D,0.0,0.0,0,0,0.0,,60.0,0.0,0.0,,2.0,0.259,17.0,28.0,6.0,3.0,4.0,1.0,0.0,162.0,0.0,1.0,6.0,0.0,6.0,2.0,130.0,159.0,47.0,11.0,16.0,1.0,,2.0,,,1.0,1.0,21.0,8.0,0.0,1.0,28.0,5.0,8.0,33.0,,0.0971,190.0,1.0,0.0,0.0,136.0,7.0,0.0,,,0.0,,2.0,1.0,72.0,51.0,5.0,72.0,2.0,16.0,20.0,7.0,0.0,0.0,9.0,2.0,159.0,,,1.0,0.0,134.0,699.0,6.0,6.0,16.0,,16.0,398.0,26.0,3.0,15.0,,2.0,,1.0,0.273144,21.0,483.0,71.0,,,33.36,111317,2.0,219.0,,5.0,,1.0,245.0,3.0,109204.04,0.0,12.0,5.0,54.0,0.0,0.0,3.0,4.0,0.0,20.0,3.0,3.0,1.0,0.0,61.0,409.0,8.0,12.0,,25.0,69.0,,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,,,0.0,4.0,0.0,,,,56.1,16.0,,7.0,,4.0,6.0,32.0,5.0,1.0,498.0,16.0,8.0,10.0,3.0,30.0,1.0,274.0,8.0,8.0,19.0,90.0,22.0,1.0,15.0,15.0,0.0,0.0,6.0,4.0,17.0,0.4617,1.0,12.0,5.0,,2.0,4.0,,1.0,4.0,,,1.0,,0.1102,,1.0,1.0,,1.0,,1.0,,,3.0,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,2561950,2025-09-27 15:00:00,"Elland Road, Leeds",36574.0,Away,Bournemouth,Leeds United,2,2,D,1.0,1.0,0,0,0.0,2.0,52.0,0.0,1.0,1.0,1.0,1.3132,24.0,30.0,5.0,6.0,7.0,6.0,0.0,147.0,1.0,3.0,11.0,2.0,8.0,5.0,122.0,132.0,63.0,12.0,18.0,3.0,1.0,1.0,,,1.0,1.0,21.0,11.0,0.0,,30.0,4.0,7.0,25.0,,2.044,260.0,,1.0,0.0,174.0,13.0,0.0,3.0,1.0,1.0,1.0,1.0,,85.0,83.0,6.0,90.0,2.0,17.0,22.0,5.0,0.0,0.0,9.0,2.0,132.0,1.0,,16.0,1.0,150.0,747.0,7.0,3.0,21.0,,7.0,419.0,23.0,1.0,19.0,1.0,2.0,6.0,2.0,0.705088,28.0,491.0,60.0,1.0,,33.76,437730,5.0,179.0,,7.0,,2.0,194.0,4.0,111098.2,2.0,11.0,5.0,65.0,0.0,0.0,2.0,7.0,0.0,7.0,3.0,5.0,,0.0,46.0,436.0,11.0,8.0,1.0,13.0,69.0,1.0,0.0,0.0,,1.0,0.0,,7.0,5.0,1.0,,,2.0,1.0,0.0,2.0,,1.0,58.6,23.0,,2.0,,7.0,3.0,48.0,4.0,1.0,509.0,7.0,13.0,13.0,4.0,43.0,2.0,336.0,6.0,6.0,19.0,134.0,19.0,,19.0,23.0,0.0,2.0,7.0,5.0,25.0,0.8219,,11.0,4.0,1.0,1.0,1.0,,1.0,2.0,,,1.0,,0.2065,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,3.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
7,2561955,2025-10-03 20:00:00,"Vitality Stadium, Bournemouth",11165.0,Home,Bournemouth,Fulham,3,1,W,0.0,0.0,0,0,0.0,2.0,60.0,1.0,1.0,2.0,1.0,1.808,25.0,23.0,5.0,3.0,6.0,3.0,1.0,189.0,0.0,1.0,10.0,3.0,7.0,6.0,129.0,137.0,40.0,11.0,6.0,2.0,1.0,,,3.0,2.0,,25.0,7.0,0.0,1.0,23.0,4.0,14.0,26.0,1.0,1.0641,268.0,,1.0,0.0,188.0,8.0,0.0,1.0,2.0,2.0,1.0,1.0,,116.0,87.0,6.0,93.0,,21.0,22.0,5.0,0.0,0.0,8.0,,137.0,1.0,,5.0,1.0,125.0,731.0,4.0,4.0,30.0,,8.0,445.0,18.0,8.0,11.0,3.0,0.0,4.0,1.0,1.20977,28.0,517.0,89.0,,1.0,34.21,437730,2.0,193.0,1.0,12.0,,,202.0,2.0,117617.63,2.0,11.0,6.0,33.0,0.0,0.0,2.0,6.0,3.0,17.0,7.0,2.0,,0.0,51.0,460.0,9.0,9.0,,19.0,69.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,,,1.0,1.0,0.0,1.0,,,53.5,23.0,,8.0,2.0,6.0,3.0,44.0,4.0,,536.0,8.0,4.0,15.0,2.0,32.0,2.0,359.0,8.0,12.0,11.0,137.0,27.0,2.0,11.0,10.0,0.0,1.0,10.0,5.0,17.0,1.121,2.0,11.0,4.0,1.0,1.0,2.0,,,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,5.0,,,1.0,,2.0,,,,,,,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
8,2561967,2025-10-18 15:00:00,"Selhurst Park, London",25125.0,Away,Bournemouth,Crystal Palace,3,3,D,2.0,0.0,0,0,0.0,1.0,45.0,0.0,1.0,2.0,1.0,2.8101,20.0,47.0,3.0,4.0,5.0,4.0,1.0,142.0,1.0,2.0,6.0,3.0,5.0,5.0,91.0,139.0,53.0,8.0,32.0,1.0,1.0,,,1.0,,,12.0,7.0,1.0,1.0,47.0,4.0,8.0,24.0,,3.9307,130.0,,0.0,0.0,112.0,16.0,0.0,2.0,1.0,0.0,,2.0,4.0,66.0,31.0,3.0,51.0,2.0,8.0,21.0,3.0,0.0,0.0,5.0,2.0,139.0,1.0,1.0,15.0,1.0,80.0,586.0,4.0,8.0,19.0,,12.0,264.0,18.0,8.0,24.0,1.0,4.0,6.0,2.0,0.983934,14.0,338.0,43.0,,,33.88,222683,2.0,152.0,,1.0,1.0,1.0,174.0,6.0,108690.64,1.0,9.0,11.0,73.0,0.0,0.0,3.0,10.0,2.0,13.0,5.0,6.0,2.0,0.0,52.0,280.0,7.0,4.0,1.0,28.0,61.0,1.0,0.0,0.0,2.0,0.0,0.0,,6.0,2.0,3.0,,,3.0,4.0,0.0,1.0,,1.0,47.7,8.0,,5.0,1.0,10.0,1.0,36.0,5.0,5.0,364.0,12.0,16.0,14.0,3.0,30.0,1.0,202.0,3.0,7.0,22.0,68.0,11.0,2.0,24.0,18.0,1.0,3.0,6.0,5.0,13.0,2.0308,2.0,9.0,5.0,3.0,1.0,2.0,1.0,,,3.0,1.0,,3.0,,1.0,1.0,,1.0,1.0,,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
9,2561975,2025-10-26 14:00:00,"Vitality Stadium, Bournemouth",11204.0,Home,Bournemouth,Nottingham Forest,2,0,W,2.0,0.0,0,0,0.0,2.0,50.0,1.0,0.0,2.0,3.0,0.5633,17.0,16.0,7.0,7.0,5.0,4.0,1.0,152.0,0.0,2.0,7.0,2.0,8.0,5.0,114.0,142.0,40.0,13.0,21.0,1.0,2.0,,,1.0,,,10.0,7.0,0.0,2.0,16.0,2.0,3.0,31.0,,0.8149,177.0,1.0,2.0,0.0,120.0,17.0,0.0,2.0,2.0,1.0,1.0,,2.0,83.0,57.0,6.0,80.0,1.0,8.0,16.0,8.0,1.0,0.0,2.0,3.0,142.0,,,3.0,0.0,101.0,629.0,7.0,6.0,16.0,,12.0,344.0,18.0,3.0,9.0,1.0,3.0,2.0,2.0,0.463393,21.0,429.0,45.0,,,32.96,620487,3.0,184.0,,6.0,,,203.0,7.0,107640.32,1.0,9.0,7.0,58.0,0.0,0.0,3.0,6.0,1.0,17.0,5.0,5.0,1.0,0.0,48.0,359.0,7.0,2.0,,18.0,69.0,2.0,0.0,0.0,2.0,0.0,0.0,,4.0,2.0,0.0,,,0.0,,0.0,2.0,,,52.3,14.0,,4.0,2.0,6.0,4.0,34.0,6.0,1.0,447.0,12.0,10.0,14.0,4.0,27.0,1.0,254.0,6.0,3.0,17.0,87.0,22.0,2.0,9.0,9.0,0.0,0.0,12.0,5.0,16.0,0.5779,2.0,9.0,6.0,,1.0,,,,1.0,2.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
10,2561990,2025-11-02 16:30:00,"Etihad Stadium, Manchester",52387.0,Away,Bournemouth,Manchester City,1,3,L,1.0,2.0,0,0,0.0,1.0,48.0,0.0,0.0,1.0,,1.5424,26.0,27.0,3.0,2.0,4.0,4.0,0.0,140.0,1.0,1.0,4.0,1.0,5.0,5.0,139.0,112.0,42.0,8.0,8.0,1.0,2.0,1.0,,,2.0,,20.0,10.0,0.0,3.0,27.0,4.0,9.0,24.0,,1.3927,208.0,,0.0,0.0,124.0,11.0,0.0,,2.0,1.0,1.0,1.0,1.0,97.0,47.0,3.0,95.0,,16.0,16.0,4.0,0.0,0.0,10.0,,112.0,,,13.0,0.0,147.0,698.0,5.0,2.0,17.0,,5.0,449.0,21.0,3.0,10.0,,2.0,4.0,2.0,0.506886,7.0,507.0,55.0,,,33.7,494521,1.0,254.0,,5.0,,,274.0,8.0,110728.99,1.0,11.0,4.0,42.0,0.0,0.0,3.0,6.0,0.0,17.0,2.0,4.0,,0.0,46.0,461.0,8.0,13.0,,13.0,56.0,2.0,0.0,0.0,,0.0,0.0,1.0,10.0,4.0,1.0,,,3.0,1.0,0.0,1.0,,,51.6,5.0,,3.0,1.0,6.0,1.0,42.0,4.0,1.0,521.0,5.0,5.0,15.0,2.0,28.0,2.0,267.0,6.0,9.0,7.0,95.0,18.0,2.0,10.0,23.0,0.0,3.0,7.0,5.0,9.0,0.7241,2.0,11.0,4.0,1.0,3.0,2.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,2.0,,,,,1.0,1.0,4.0,,,1.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
