element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_code,first_name,second_name
1,341,10,6,True,2026-05-02T16:30:00Z,3,0,35,False,90,0,0,1,0,0,0,0,0,0,1,0,22,11.8,0.1,0.0,1.2,1,4,0,0,1,0.00,0.00,0.00,0.37,60,138356,4569133,182009,43653,154561,David,Raya Martín
2,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-52,48983,221,273,109745,Kepa,Arrizabalaga Revuelta
3,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-49,25792,0,49,463748,Karl,Hein
4,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,39,-148,27258,81,229,551221,Tommy,Setford
5,341,10,6,True,2026-05-02T16:30:00Z,3,0,35,False,90,0,0,1,0,0,0,0,0,0,0,0,27,23.6,2.1,52.0,7.8,7,3,1,8,1,0.64,0.02,0.66,0.37,72,184429,5826245,207490,23061,226597,Gabriel,dos Santos Magalhães
6,341,10,6,True,2026-05-02T16:30:00Z,3,0,35,False,90,0,0,1,0,0,0,0,0,0,0,0,27,22.2,24.4,6.0,5.3,6,3,0,6,1,0.00,0.31,0.31,0.37,61,130186,1991887,159319,29133,462424,William,Saliba
7,341,10,6,True,2026-05-02T16:30:00Z,3,0,35,False,90,0,0,1,0,0,0,0,0,0,0,0,20,25.2,12.6,39.0,7.7,5,3,1,6,1,0.23,0.02,0.25,0.37,56,-3802,764141,2103,5905,466075,Riccardo,Calafiori
8,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,61,-303746,2296584,269,304015,445122,Jurriën,Timber
9,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-7,6118,0,7,440854,Jakub,Kiwior
10,341,10,6,True,2026-05-02T16:30:00Z,3,0,35,False,90,0,0,1,0,0,0,0,0,0,0,0,28,11.6,15.5,2.0,2.9,1,6,2,3,1,0.00,0.07,0.07,0.37,50,-181,181987,342,523,499169,Myles,Lewis-Skelly
11,341,10,6,True,2026-05-02T16:30:00Z,3,0,35,False,82,0,0,1,0,0,0,0,0,0,0,0,27,12.0,14.8,6.0,3.3,4,5,0,4,1,0.00,0.14,0.14,0.37,51,5251,71341,6341,1090,198869,Benjamin,White
13,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,37,519,57036,1253,734,563324,Brayden,Clarke
14,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,39,-20,12066,0,20,588793,Maldini,Kacurri
15,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,37,-269,31380,251,520,499167,Josh,Nichols
16,341,10,11,True,2026-05-02T16:30:00Z,3,0,35,False,45,1,1,0,0,0,0,0,0,0,0,2,46,55.2,49.3,25.0,13.0,0,4,0,4,1,0.30,0.86,1.16,0.03,98,65612,978059,82762,17150,223340,Bukayo,Saka
17,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,78,2808,213248,6089,3281,184029,Martin,Ødegaard
18,341,10,1,True,2026-05-02T16:30:00Z,3,0,35,False,45,0,0,0,0,0,0,0,0,0,0,0,4,0.6,15.5,2.0,1.8,0,3,0,3,0,0.00,0.24,0.24,0.34,68,393,107426,2916,2523,248857,Noni,Madueke
19,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,68,-615,116532,1109,1724,444145,Gabriel,Martinelli Silva
20,341,10,7,True,2026-05-02T16:30:00Z,3,0,35,False,90,0,1,1,0,0,0,0,0,0,0,1,41,31.0,36.3,35.0,10.2,0,5,0,5,1,0.11,0.64,0.75,0.37,65,-736,98339,2751,3487,116216,Leandro,Trossard
21,341,10,5,True,2026-05-02T16:30:00Z,3,0,35,False,63,0,0,1,0,0,0,0,0,0,0,0,14,13.0,6.9,2.0,2.2,5,6,1,12,1,0.00,0.05,0.05,0.20,72,-27952,3169422,107999,135951,204480,Declan,Rice
22,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-590,98744,19,609,195384,Mikel,Merino Zazón
23,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-6,2448,0,6,438098,Fábio,Ferreira Vieira
24,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-26,17113,40,66,128295,Christian,Nørgaard
25,341,10,0,True,2026-05-02T16:30:00Z,3,0,35,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-21,14712,0,21,499175,Ethan,Nwaneri
26,341,10,1,True,2026-05-02T16:30:00Z,3,0,35,False,26,0,0,0,0,0,0,0,0,0,0,0,5,4.6,10.3,0.0,1.5,0,2,1,3,0,0.00,0.00,0.00,0.17,50,1310,404694,17671,16361,481655,Martín,Zubimendi Ibáñez
