fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round,opponent_team_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out,ict_index,avg_value,team_id,team,players_used,players_played
1,12,False,2025-08-15T19:00:00Z,4,2,1,Liverpool,27,899,0,2,0,40,0,0,0,2,0,6,0,91,219.2,113.30000000000001,80.0,57,51,19,99,10,0.8,0.6100000000000001,1.41,22.1,0,1456458,0,0,41.2,46.9,4,Bournemouth,36,14
12,20,True,2025-08-23T14:00:00Z,1,0,2,Wolves,62,896,1,0,10,0,0,0,0,2,0,1,6,246,181.00000000000003,157.1,83.0,40,29,12,62,10,0.61,1.05,1.66,4.6499999999999995,240655,2143956,490372,249717,42.1,47.2,4,Bournemouth,37,15
29,18,False,2025-08-30T14:00:00Z,0,1,3,Spurs,64,895,1,1,10,0,0,0,0,3,0,1,7,236,202.4,152.2,158.0,41,49,26,91,10,1.38,0.7200000000000001,2.0999999999999996,1.9,-23740,2154191,331909,355649,51.3,47.1,4,Bournemouth,37,15
32,6,True,2025-09-13T14:00:00Z,2,1,4,Brighton,35,897,1,1,0,10,0,0,0,4,0,1,2,133,167.2,109.0,120.0,37,48,15,81,10,0.5800000000000001,0.8599999999999999,1.44,6.199999999999999,909920,3300101,1300786,390866,39.6,47.0,4,Bournemouth,39,15
42,15,True,2025-09-21T13:00:00Z,0,0,5,Newcastle,47,897,0,0,9,0,0,0,0,2,0,1,4,173,128.6,92.69999999999999,69.0,42,50,12,80,10,0.43,0.22,0.6499999999999999,1.4000000000000004,367550,3685465,659692,292142,29.0,47.0,4,Bournemouth,39,14
56,11,False,2025-09-27T14:00:00Z,2,2,6,Leeds,36,895,1,2,0,20,0,0,0,2,0,6,3,159,264.8,123.99999999999999,113.0,42,48,21,83,10,0.6099999999999999,0.6700000000000002,1.2800000000000002,18.390000000000004,1110774,4916074,1413500,302726,50.2,47.0,4,Bournemouth,39,15
63,10,True,2025-10-03T19:00:00Z,3,1,7,Fulham,45,895,1,2,2,10,0,0,0,0,0,3,1,193,213.39999999999998,125.70000000000002,84.0,34,53,9,70,10,0.46,1.1600000000000001,1.62,8.82,659118,5590424,923248,264130,42.3,46.9,4,Bournemouth,39,15
73,8,False,2025-10-18T14:00:00Z,3,3,8,Crystal Palace,42,897,3,1,0,30,0,0,0,3,0,4,2,148,298.79999999999995,86.79999999999998,114.0,64,42,17,95,10,1.89,0.9700000000000001,2.8599999999999994,44.41000000000001,212839,5825944,550168,337329,50.0,46.9,4,Bournemouth,39,15
83,16,True,2025-10-26T14:00:00Z,2,0,9,Nott'm Forest,67,899,2,1,10,0,0,0,0,3,0,4,6,241,203.8,103.7,74.0,30,42,8,58,10,0.55,0.43999999999999995,0.99,3.5,128185,5999983,429923,301738,38.2,46.9,4,Bournemouth,39,15
96,13,False,2025-11-02T16:30:00Z,3,1,10,Man City,32,895,1,1,0,30,0,0,0,2,0,4,1,144,208.79999999999998,94.7,89.0,36,43,21,68,10,0.69,0.49000000000000005,1.1800000000000002,22.189999999999998,-12921,5947207,341203,354124,39.2,46.9,4,Bournemouth,39,15
101,2,False,2025-11-09T14:00:00Z,4,0,11,Aston Villa,20,895,0,0,0,40,0,0,0,2,0,4,0,68,154.2,111.5,57.0,49,40,14,80,10,0.83,0.51,1.34,16.95,62934,6070307,279814,216880,32.3,46.9,4,Bournemouth,39,16
112,19,True,2025-11-22T15:00:00Z,2,2,12,West Ham,36,987,2,2,0,22,0,0,0,3,0,0,1,195,254.4,313.6,301.0,19,59,19,72,11,4.09,1.5700000000000003,5.66,7.150000000000001,228573,6397974,443182,214609,86.9,46.9,4,Bournemouth,39,16
128,17,False,2025-11-29T15:00:00Z,3,2,13,Sunderland,30,896,2,1,0,30,0,0,0,4,1,3,2,112,212.20000000000005,140.39999999999998,177.0,32,44,18,67,10,1.75,0.75,2.5,12.76,-105968,5982342,154750,260718,53.0,46.9,4,Bournemouth,39,15
132,9,True,2025-12-02T19:30:00Z,0,1,14,Everton,31,896,0,0,2,10,0,0,0,3,0,2,0,113,170.8,77.80000000000001,51.0,59,35,12,81,10,0.24,0.5800000000000001,0.82,14.399999999999999,-738189,5470054,87056,825245,30.0,46.8,4,Bournemouth,40,14
142,7,True,2025-12-06T15:00:00Z,0,0,15,Chelsea,58,896,0,0,10,0,0,0,0,0,0,4,0,203,126.40000000000002,71.10000000000001,66.0,35,57,15,76,10,1.24,0.15000000000000002,1.3900000000000001,9.24,-327075,5145231,80789,407864,26.4,46.8,4,Bournemouth,40,14
