fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round,opponent_team_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out,ict_index,avg_value,team_id,team,players_used,players_played
8,7,False,2025-08-17T13:00:00Z,0,0,1,Chelsea,55,975,1,0,10,4,0,0,0,3,0,2,1,214,221.4,79.89999999999999,105.0,56,31,16,87,11,1.2999999999999998,0.14,1.44,18.0,0,4584643,0,0,40.6,49.4,8,Crystal Palace,36,13
15,16,True,2025-08-24T13:00:00Z,1,1,2,Nott'm Forest,43,1066,2,1,1,11,0,0,0,4,0,0,3,168,212.8,143.4,145.0,26,43,24,72,12,1.4800000000000002,0.93,2.4099999999999997,11.91,-22482,5160400,452497,474979,50.1,49.4,8,Crystal Palace,36,16
21,2,False,2025-08-31T18:00:00Z,0,3,3,Aston Villa,68,994,2,2,9,2,0,0,0,3,0,4,3,266,249.2,91.3,111.0,43,47,23,93,12,2.69,1.1800000000000002,3.869999999999999,14.299999999999999,853509,6377083,1546766,693257,45.2,49.7,8,Crystal Palace,37,16
35,17,True,2025-09-13T14:00:00Z,0,0,4,Sunderland,47,953,0,0,10,0,0,0,0,1,0,0,0,180,126.2,132.6,167.0,28,37,14,57,10,1.77,1.05,2.8199999999999994,4.510000000000001,829497,7530631,1996691,1167194,42.6,49.6,8,Crystal Palace,39,14
49,19,False,2025-09-20T14:00:00Z,1,2,5,West Ham,42,1033,2,1,1,10,0,0,0,3,0,2,3,186,232.99999999999994,197.6,184.0,44,42,18,80,11,2.39,1.53,3.9200000000000004,7.82,-250246,7219790,637228,887474,61.5,49.6,8,Crystal Palace,39,16
54,12,True,2025-09-27T14:00:00Z,2,1,6,Liverpool,53,1091,2,1,4,11,0,0,0,1,0,3,3,192,225.79999999999998,142.6,219.0,41,42,23,90,12,3.0199999999999996,1.0899999999999999,4.109999999999999,23.15,-870528,6280041,374532,1245060,58.7,49.5,8,Crystal Palace,39,17
66,9,False,2025-10-05T13:00:00Z,2,1,7,Everton,42,996,1,1,2,21,0,0,0,3,0,5,2,146,251.79999999999998,124.0,151.0,48,48,32,101,11,1.5600000000000003,1.33,2.8900000000000006,21.779999999999998,449510,6907109,971590,522080,52.7,49.4,8,Crystal Palace,39,17
73,4,True,2025-10-18T14:00:00Z,3,3,8,Bournemouth,46,1053,3,2,0,33,0,0,0,1,0,2,4,174,269.40000000000003,176.1,237.0,37,48,24,83,12,4.369999999999999,2.07,6.44,21.58,311406,7287557,860759,549353,68.2,49.3,8,Crystal Palace,39,14
81,1,False,2025-10-26T14:00:00Z,1,0,9,Arsenal,36,1097,1,0,1,13,0,0,0,0,0,2,0,155,185.39999999999998,98.10000000000001,101.0,51,46,18,99,12,1.21,0.44000000000000006,1.6500000000000001,14.3,255596,7559844,708848,453252,38.4,49.3,8,Crystal Palace,39,18
93,5,True,2025-11-01T15:00:00Z,2,0,10,Brentford,69,1048,1,2,10,5,0,0,0,0,0,2,4,213,156.79999999999995,65.8,119.0,39,50,8,77,12,0.7599999999999999,0.19,0.9500000000000001,8.569999999999999,1497107,9226466,1828275,331168,34.2,49.3,8,Crystal Palace,39,16
104,6,True,2025-11-09T14:00:00Z,0,0,11,Brighton,69,1172,0,0,11,5,0,0,0,2,0,3,7,243,185.79999999999998,154.3,106.0,51,51,24,91,13,0.8200000000000002,1.21,2.0300000000000002,8.21,1007554,10240463,1291684,284130,44.6,49.3,8,Crystal Palace,39,16
120,20,False,2025-11-22T15:00:00Z,0,2,12,Wolves,72,999,2,2,9,2,0,0,0,2,0,1,6,268,243.20000000000002,146.8,118.0,43,48,18,81,11,1.3000000000000003,0.8,2.09,19.389999999999997,1038432,11490151,1304404,265972,50.8,49.3,8,Crystal Palace,39,17
124,14,True,2025-11-30T12:00:00Z,1,2,13,Man Utd,30,985,1,0,0,21,0,0,0,2,0,4,0,91,171.6,103.1,138.0,47,43,14,78,11,1.9500000000000002,0.43000000000000005,2.3800000000000003,12.9,374468,11334300,842009,467541,41.3,49.3,8,Crystal Palace,39,16
134,3,False,2025-12-03T19:30:00Z,0,1,14,Burnley,76,1148,1,2,10,5,0,0,0,0,0,3,3,259,229.79999999999998,83.60000000000001,149.0,50,51,19,97,13,1.1800000000000002,1.08,2.2600000000000002,13.040000000000001,-92565,11694237,748251,840816,46.2,49.3,8,Crystal Palace,39,17
145,10,False,2025-12-07T16:30:00Z,1,2,15,Fulham,45,966,1,2,0,13,0,0,0,1,0,3,5,184,230.59999999999997,129.5,131.0,39,42,18,79,11,1.4300000000000002,0.8400000000000001,2.2600000000000002,10.72,-241677,11371088,622696,864373,49.1,49.3,8,Crystal Palace,39,15
155,13,True,2025-12-14T14:00:00Z,0,3,16,Man City,22,975,0,0,1,30,0,0,0,2,0,3,0,82,124.0,98.9,143.0,24,47,23,75,11,1.85,0.9099999999999999,2.7600000000000002,12.91,-3146261,8080005,452767,3599028,36.6,49.1,8,Crystal Palace,39,15
166,11,False,2025-12-20T20:00:00Z,4,1,17,Leeds,29,1024,1,1,0,43,0,0,1,2,0,2,0,87,251.6,104.7,121.0,66,40,24,110,11,2.4499999999999997,0.86,3.3099999999999996,28.38,-726636,7615536,453263,1179899,47.7,49.0,8,Crystal Palace,40,18
175,18,True,2025-12-28T16:30:00Z,0,1,18,Spurs,26,930,0,0,0,10,0,0,0,3,0,3,0,120,130.0,192.2,135.0,24,57,16,75,10,1.04,1.7200000000000002,2.76,8.79,-742879,6790982,156667,899546,45.7,48.7,8,Crystal Palace,41,15
185,10,True,2026-01-01T17:30:00Z,1,1,19,Fulham,38,924,1,1,0,10,0,0,0,1,0,4,5,138,199.20000000000002,94.8,118.0,36,43,14,72,10,1.3900000000000001,0.8200000000000001,2.21,19.38,-409337,6463978,105347,514684,41.2,48.6,8,Crystal Palace,42,15
198,15,False,2026-01-04T15:00:00Z,2,0,20,Newcastle,28,923,0,0,0,20,0,0,0,2,0,5,0,96,181.0,118.4,88.0,48,44,27,98,10,0.7,1.12,1.82,20.91,-275134,6238348,94355,369489,38.7,48.5,8,Crystal Palace,42,17
205,2,True,2026-01-07T19:30:00Z,0,0,21,Aston Villa,51,923,0,1,10,0,0,0,0,2,0,4,2,175,182.4,123.10000000000002,150.0,35,38,20,70,10,1.51,0.91,2.42,17.49,-239682,6009191,104196,343878,45.6,48.3,8,Crystal Palace,43,12
218,17,False,2026-01-17T15:00:00Z,2,1,22,Sunderland,31,1087,1,1,0,23,0,0,0,3,0,5,2,129,206.0,87.5,122.0,50,43,14,88,11,0.8699999999999999,1.04,1.9100000000000001,19.75,-167239,5862831,169265,336504,41.6,48.1,8,Crystal Palace,44,13
225,7,True,2026-01-25T14:00:00Z,1,3,23,Chelsea,26,1012,1,1,0,33,0,0,0,2,1,2,0,85,184.4,149.89999999999998,199.0,34,45,18,71,11,1.79,0.8300000000000001,2.62,24.380000000000003,-161805,5707554,88733,250538,53.3,48.0,8,Crystal Palace,44,17
237,16,False,2026-02-01T14:00:00Z,1,1,24,Nott'm Forest,33,1009,1,1,0,12,0,0,0,3,0,0,2,121,171.0,196.3,115.0,33,52,14,70,11,2.09,0.98,3.07,6.29,-162284,5557719,228022,390306,48.2,48.0,8,Crystal Palace,44,13
243,6,False,2026-02-08T14:00:00Z,0,1,25,Brighton,64,987,1,1,10,0,0,0,0,3,0,2,7,220,187.2,83.10000000000001,129.0,45,53,21,90,11,1.17,0.77,1.9400000000000002,9.35,-27239,5545859,226875,254114,39.9,48.0,8,Crystal Palace,44,14
254,3,True,2026-02-11T19:40:00Z,2,3,26,Burnley,37,986,2,2,0,33,1,0,0,2,0,1,3,146,232.0,259.7,176.0,33,51,14,72,11,1.78,2.06,3.8400000000000003,5.800000000000001,444842,6096619,659644,214802,66.8,48.0,8,Crystal Palace,44,16
264,20,True,2026-02-22T14:00:00Z,1,0,27,Wolves,69,988,1,1,10,0,0,1,0,5,0,7,6,255,234.0,141.3,111.0,41,49,15,74,11,1.9900000000000002,0.8200000000000001,2.81,17.94,152778,6184231,411315,258537,48.6,48.1,8,Crystal Palace,44,14
278,14,False,2026-03-01T14:00:00Z,2,1,28,Man Utd,26,951,1,1,0,22,0,0,0,2,1,9,0,93,212.8,108.3,73.0,38,50,17,73,11,0.38,0.29000000000000004,0.67,20.939999999999998,-249718,5906298,114635,364353,39.4,48.1,8,Crystal Palace,44,15
289,18,False,2026-03-05T20:00:00Z,1,3,29,Spurs,52,986,3,2,0,11,0,0,0,2,0,3,5,207,300.8,88.9,119.0,40,29,23,73,11,1.7799999999999998,0.93,2.71,17.380000000000003,-112771,5810667,134376,247147,50.9,48.0,8,Crystal Palace,44,15
295,11,True,2026-03-15T14:00:00Z,0,0,30,Leeds,59,986,0,0,9,0,0,0,0,2,0,3,6,185,157.79999999999998,119.8,86.0,56,39,9,84,11,0.68,0.48000000000000004,1.1600000000000001,12.320000000000002,198823,6035491,376075,177252,36.4,48.0,8,Crystal Palace,44,15
315,15,True,2026-04-12T13:00:00Z,2,1,32,Newcastle,50,987,2,2,0,11,0,0,0,0,0,2,3,214,241.39999999999998,116.2,145.0,56,64,21,109,11,2.58,1.5,4.08,12.46,82035,5809276,271485,189450,50.3,48.0,8,Crystal Palace,44,16
324,19,True,2026-04-20T19:00:00Z,0,0,33,West Ham,60,986,0,0,8,0,0,0,0,2,0,3,6,219,170.39999999999998,126.30000000000001,64.0,49,49,13,86,11,0.73,0.6,1.33,6.75,29762,5764343,218873,189111,36.1,48.0,8,Crystal Palace,44,15
336,12,False,2026-04-25T14:00:00Z,3,1,34,Liverpool,29,988,1,1,0,33,0,0,0,3,0,0,0,86,174.2,154.9,153.0,42,38,13,72,11,2.27,0.99,3.2600000000000002,12.629999999999999,183051,6083861,322739,139688,48.2,48.0,8,Crystal Palace,44,14
343,4,False,2026-05-03T13:00:00Z,3,0,35,Bournemouth,20,988,0,0,0,33,1,0,0,2,0,3,0,53,146.0,105.19999999999999,72.0,41,52,22,84,11,0.89,0.9099999999999999,1.8,22.86,458174,6488595,686431,228257,32.3,48.0,8,Crystal Palace,44,16
