gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,freekickCross,interceptionsInBox,attHdTarget,errorLeadToShot,penaltyConceded,attSvHighCentre,penaltyFaced,penGoalsConceded,effectiveBlockedCross,blockedCross,savedObox,attFreekickTotal,shotFastbreak,attMissLeft,totalFastbreak,freekickTotal,expectedGoalsFreekick,attFastbreak,attSvLowRight,attCmissLeft,attFreekickMiss,postScoringAtt,hitWoodwork,attOboxPost,attPostHigh,attIboxOwnGoal,goalAssistOpenplay,ptsGainedLosingPos,goalAssist,accurateThroughBall,totalThroughBall,goalAssistIntentional,forwardGoals,handBall,goalAssistSetplay,goalAssistDeadball,attSvHighRight,attMissHighLeft,accurateFreekickCross,attCmissHighLeft,shieldBallOop,ptsDroppedWinningPos,attIboxPost,attHdPost,attSetpiece,attPostRight,errorLeadToGoal,accuratePullBack,accurateKeeperSweeper,totalKeeperSweeper,attFreekickTarget,attCmissHighRight,attLgCentre,attSvHighLeft,contentiousDecision,attPenTarget,attObxLeft,attLgRight,goalFastbreak,attPostLeft,clearanceOffLine,attLgLeft,secondYellow,attPenMiss,attObxdLeft,foulThrowIn
1,2561904,2025-08-18 20:00:00,"Elland Road, Leeds",36820.0,Home,Leeds United,Everton,1,0,W,0.0,0.0,0,0,0.0,1.0,1.0,41.0,0.0,1.0,5.0,1.0712,25.0,30.0,9.0,5.0,12.0,1.0,0.0,1.0,154.0,0.0,7.0,6.0,1.0,4.0,12.0,1.0,3.0,120.0,131.0,45.0,21.0,6.0,19.0,1.0,1.0,1.0,26.0,7.0,0.0,1.0,30.0,6.0,20.0,19.0,1.0,0.1047,201.0,1.0,1.0,0.0,1.0,0.0,146.0,6.0,0.0,1.0,0.0,1.0,1.0,108.0,43.0,6.0,82.0,3.0,20.0,15.0,9.0,0.0,0.0,5.0,2.0,131.0,1.0,5.0,1.0,125.0,675.0,10.0,7.0,28.0,9.0,389.0,13.0,4.0,17.0,0.0,3.0,6.0,0.839977,23.0,463.0,57.0,34.82,200617,7.0,207.0,2.0,15.0,1.0,228.0,3.0,110507.56,1.0,1.0,6.0,4.0,47.0,2.0,0.0,0.0,1.0,3.0,0.0,6.0,2.0,4.0,3.0,1.0,56.0,401.0,7.0,6.0,2.0,24.0,5.0,68.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,4.0,3.0,54.4,16.0,2.0,6.0,1.0,3.0,11.0,46.0,7.0,1.0,481.0,9.0,7.0,12.0,7.0,32.0,3.0,5.0,279.0,13.0,20.0,18.0,107.0,16.0,17.0,15.0,0.0,0.0,14.0,5.0,15.0,2.132,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2561906,2025-08-23 17:30:00,"Emirates Stadium, London",60110.0,Away,Leeds United,Arsenal,0,5,L,0.0,2.0,0,0,0.0,,,33.0,0.0,0.0,1.0,0.1446,13.0,20.0,1.0,1.0,2.0,,0.0,,93.0,0.0,1.0,4.0,0.0,,3.0,,1.0,79.0,99.0,34.0,3.0,1.0,13.0,1.0,1.0,,5.0,12.0,0.0,,20.0,2.0,8.0,19.0,,2.7748,48.0,,,0.0,,0.0,26.0,11.0,0.0,,0.0,,,22.0,19.0,3.0,48.0,,3.0,16.0,1.0,0.0,0.0,1.0,,99.0,,13.0,0.0,70.0,417.0,2.0,3.0,6.0,6.0,200.0,19.0,4.0,9.0,2.0,3.0,,0.127854,14.0,265.0,17.0,34.58,200617,1.0,172.0,,1.0,,203.0,6.0,108252.64,0.0,,3.0,12.0,47.0,,0.0,0.0,,2.0,0.0,9.0,5.0,6.0,,0.0,37.0,219.0,8.0,12.0,1.0,16.0,1.0,42.0,0.0,0.0,0.0,,0.0,,2.0,,0.0,5.0,1.0,0.0,,1.0,32.5,12.0,,1.0,,3.0,2.0,12.0,2.0,,290.0,6.0,5.0,9.0,,6.0,1.0,,92.0,1.0,5.0,4.0,15.0,10.0,9.0,18.0,0.0,5.0,2.0,5.0,11.0,0.1666,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2561918,2025-08-30 17:30:00,"Elland Road, Leeds",36727.0,Home,Leeds United,Newcastle United,0,0,D,0.0,0.0,0,0,0.0,,,48.0,0.0,0.0,2.0,0.0926,16.0,18.0,6.0,2.0,4.0,2.0,0.0,1.0,147.0,0.0,4.0,7.0,0.0,1.0,9.0,1.0,1.0,107.0,128.0,47.0,10.0,1.0,12.0,1.0,1.0,1.0,17.0,14.0,0.0,,18.0,5.0,12.0,27.0,,0.1351,152.0,,1.0,0.0,,0.0,103.0,10.0,0.0,1.0,0.0,,1.0,59.0,43.0,4.0,68.0,3.0,12.0,18.0,6.0,0.0,0.0,5.0,5.0,128.0,1.0,4.0,0.0,92.0,594.0,9.0,8.0,19.0,13.0,310.0,16.0,4.0,9.0,1.0,3.0,5.0,0.342263,15.0,389.0,49.0,36.13,200617,2.0,180.0,1.0,6.0,,200.0,7.0,118041.74,0.0,1.0,8.0,11.0,37.0,,0.0,0.0,1.0,4.0,0.0,12.0,4.0,5.0,1.0,0.0,57.0,328.0,15.0,5.0,,24.0,1.0,69.0,0.0,0.0,0.0,,0.0,2.0,5.0,1.0,0.0,0.0,2.0,0.0,3.0,,43.0,13.0,,3.0,,6.0,3.0,33.0,5.0,1.0,414.0,13.0,5.0,12.0,6.0,23.0,1.0,1.0,231.0,8.0,11.0,8.0,68.0,23.0,9.0,18.0,0.0,0.0,8.0,4.0,12.0,0.6877,8.0,5.0,1.0,1.0,,,,,,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0352,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2561931,2025-09-13 15:00:00,"Craven Cottage, London",27327.0,Away,Leeds United,Fulham,0,1,L,0.0,0.0,0,0,0.0,,,49.0,0.0,0.0,4.0,0.516,23.0,30.0,3.0,4.0,7.0,3.0,0.0,2.0,134.0,0.0,1.0,4.0,0.0,3.0,4.0,,3.0,92.0,130.0,60.0,10.0,,14.0,2.0,1.0,1.0,13.0,11.0,0.0,1.0,30.0,3.0,7.0,26.0,,0.8843,133.0,,,0.0,,0.0,103.0,15.0,0.0,2.0,0.0,2.0,1.0,72.0,51.0,3.0,70.0,,10.0,17.0,3.0,0.0,0.0,4.0,1.0,130.0,1.0,4.0,0.0,92.0,583.0,4.0,7.0,21.0,7.0,291.0,22.0,5.0,19.0,2.0,,1.0,0.621961,15.0,358.0,54.0,34.05,177815,4.0,181.0,1.0,4.0,,198.0,5.0,109940.55,0.0,1.0,8.0,6.0,59.0,,1.0,0.0,3.0,7.0,0.0,12.0,2.0,4.0,,0.0,52.0,313.0,20.0,6.0,,19.0,1.0,62.0,0.0,0.0,0.0,1.0,0.0,,3.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,46.0,11.0,,1.0,2.0,7.0,4.0,35.0,3.0,1.0,388.0,7.0,12.0,16.0,3.0,24.0,1.0,1.0,203.0,5.0,6.0,20.0,67.0,15.0,19.0,18.0,0.0,1.0,8.0,4.0,16.0,0.7898,8.0,3.0,2.0,,1.0,,,1.0,,,1.0,1.0,2.0,,1.0,2.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2561944,2025-09-20 15:00:00,"Molineux Stadium, Wolverhampton",30807.0,Away,Leeds United,Wolverhampton Wanderers,3,1,W,3.0,1.0,0,0,0.0,1.0,1.0,61.0,0.0,1.0,,1.5445,16.0,49.0,4.0,2.0,2.0,5.0,1.0,,124.0,0.0,,8.0,3.0,2.0,2.0,,4.0,112.0,132.0,57.0,6.0,,29.0,,,1.0,7.0,13.0,1.0,1.0,49.0,,17.0,22.0,,1.3063,145.0,,,1.0,,0.0,81.0,9.0,0.0,2.0,1.0,,1.0,51.0,39.0,1.0,65.0,,7.0,13.0,4.0,0.0,0.0,3.0,2.0,132.0,1.0,13.0,0.0,115.0,641.0,1.0,3.0,13.0,7.0,338.0,22.0,1.0,24.0,1.0,3.0,1.0,0.448277,15.0,394.0,43.0,32.77,243526,1.0,206.0,,3.0,,226.0,1.0,117853.77,1.0,1.0,8.0,7.0,75.0,,0.0,0.0,2.0,7.0,2.0,28.0,3.0,2.0,2.0,0.0,45.0,351.0,11.0,9.0,,10.0,,62.0,1.0,0.0,1.0,2.0,0.0,1.0,4.0,4.0,2.0,1.0,,0.0,,1.0,44.1,14.0,,5.0,1.0,7.0,,40.0,,2.0,416.0,7.0,15.0,12.0,2.0,14.0,,,197.0,3.0,17.0,18.0,52.0,21.0,24.0,20.0,1.0,1.0,5.0,5.0,21.0,0.4807,8.0,,1.0,,,,,,,,3.0,3.0,1.0,1.0,,,,1.0,0.079,,,,,,,,,,1.0,3.0,1.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2561950,2025-09-27 15:00:00,"Elland Road, Leeds",36574.0,Home,Leeds United,Bournemouth,2,2,D,1.0,1.0,0,0,1.0,1.0,,44.0,1.0,0.0,4.0,2.044,32.0,25.0,3.0,2.0,16.0,3.0,0.0,3.0,132.0,0.0,9.0,8.0,2.0,2.0,13.0,,8.0,88.0,127.0,65.0,19.0,2.0,19.0,5.0,2.0,4.0,16.0,16.0,1.0,1.0,25.0,7.0,10.0,28.0,,1.3132,121.0,,,0.0,,0.0,88.0,12.0,0.0,,1.0,1.0,,47.0,26.0,9.0,60.0,1.0,9.0,20.0,3.0,0.0,0.0,2.0,,127.0,3.0,7.0,0.0,77.0,567.0,9.0,8.0,35.0,9.0,259.0,16.0,15.0,15.0,2.0,3.0,4.0,0.66012,14.0,326.0,48.0,32.93,226182,12.0,168.0,3.0,5.0,1.0,187.0,2.0,115502.12,1.0,,11.0,11.0,63.0,,0.0,1.0,,7.0,0.0,14.0,5.0,5.0,,0.0,60.0,280.0,13.0,11.0,3.0,28.0,9.0,67.0,0.0,0.0,0.0,1.0,0.0,,4.0,3.0,2.0,2.0,5.0,0.0,3.0,6.0,41.4,8.0,2.0,4.0,2.0,7.0,6.0,39.0,7.0,,357.0,9.0,14.0,17.0,5.0,29.0,6.0,5.0,186.0,11.0,10.0,18.0,53.0,13.0,15.0,27.0,1.0,1.0,9.0,3.0,17.0,1.8354,11.0,7.0,2.0,1.0,2.0,,,,,,1.0,1.0,,,,3.0,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
7,2561961,2025-10-04 12:30:00,"Elland Road, Leeds",36703.0,Home,Leeds United,Tottenham Hotspur,1,2,L,1.0,1.0,0,0,1.0,2.0,1.0,53.0,1.0,0.0,1.0,1.6614,16.0,25.0,5.0,2.0,11.0,1.0,0.0,1.0,143.0,0.0,10.0,3.0,1.0,1.0,14.0,,4.0,133.0,131.0,48.0,16.0,1.0,10.0,3.0,1.0,1.0,21.0,11.0,0.0,1.0,25.0,4.0,19.0,24.0,1.0,0.5996,184.0,1.0,,0.0,,0.0,131.0,10.0,0.0,,0.0,,1.0,54.0,50.0,5.0,54.0,3.0,17.0,17.0,5.0,0.0,0.0,9.0,4.0,131.0,3.0,4.0,0.0,148.0,656.0,9.0,6.0,22.0,6.0,382.0,22.0,3.0,12.0,2.0,2.0,8.0,0.885357,15.0,451.0,65.0,33.96,214225,7.0,227.0,3.0,6.0,1.0,239.0,5.0,112983.98,1.0,,7.0,9.0,44.0,,0.0,0.0,1.0,3.0,1.0,22.0,5.0,5.0,2.0,0.0,40.0,401.0,12.0,10.0,4.0,11.0,2.0,72.0,0.0,0.0,0.0,,0.0,2.0,1.0,,1.0,2.0,,0.0,8.0,5.0,56.5,12.0,3.0,5.0,1.0,3.0,2.0,41.0,4.0,1.0,478.0,6.0,8.0,9.0,10.0,33.0,2.0,5.0,260.0,9.0,18.0,14.0,87.0,19.0,12.0,19.0,0.0,1.0,10.0,5.0,10.0,1.6781,7.0,4.0,2.0,,,1.0,,,,,,,1.0,,,2.0,,,,,2.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,2561966,2025-10-18 15:00:00,"Turf Moor, Burnley",21646.0,Away,Leeds United,Burnley,0,2,L,0.0,1.0,0,0,1.0,,,37.0,0.0,0.0,3.0,0.5051,13.0,12.0,2.0,4.0,17.0,1.0,0.0,2.0,155.0,0.0,18.0,6.0,0.0,1.0,16.0,,4.0,164.0,147.0,54.0,19.0,,18.0,3.0,1.0,2.0,47.0,6.0,0.0,1.0,12.0,5.0,15.0,23.0,,1.2079,318.0,1.0,,0.0,,0.0,160.0,7.0,0.0,,0.0,,1.0,109.0,74.0,5.0,99.0,4.0,42.0,25.0,2.0,0.0,0.0,15.0,1.0,147.0,4.0,1.0,0.0,197.0,822.0,15.0,6.0,44.0,12.0,511.0,13.0,2.0,8.0,1.0,,11.0,1.53346,25.0,599.0,61.0,33.19,199598,12.0,226.0,4.0,27.0,,251.0,5.0,112242.11,0.0,1.0,10.0,3.0,40.0,3.0,0.0,0.0,,4.0,0.0,11.0,3.0,3.0,3.0,0.0,39.0,526.0,10.0,2.0,1.0,16.0,2.0,64.0,0.0,0.0,0.0,,0.0,,1.0,,0.0,2.0,3.0,0.0,15.0,9.0,68.9,21.0,6.0,5.0,1.0,4.0,3.0,45.0,5.0,1.0,615.0,12.0,8.0,6.0,12.0,48.0,3.0,11.0,411.0,6.0,13.0,25.0,117.0,15.0,8.0,13.0,0.0,1.0,13.0,4.0,12.0,2.6255,10.0,5.0,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,,2.0,,1.0,0.0525,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
9,2561981,2025-10-24 20:00:00,"Elland Road, Leeds",36788.0,Home,Leeds United,West Ham United,2,1,W,2.0,0.0,0,0,0.0,1.0,2.0,45.0,1.0,0.0,1.0,1.4603,20.0,39.0,4.0,3.0,8.0,2.0,0.0,1.0,118.0,1.0,5.0,5.0,2.0,1.0,9.0,1.0,5.0,98.0,114.0,52.0,13.0,2.0,26.0,2.0,,2.0,11.0,13.0,0.0,1.0,39.0,3.0,5.0,23.0,,1.0311,96.0,,,0.0,,0.0,66.0,12.0,0.0,1.0,0.0,,1.0,49.0,29.0,6.0,59.0,2.0,8.0,11.0,5.0,0.0,0.0,1.0,2.0,114.0,2.0,4.0,0.0,98.0,580.0,8.0,7.0,10.0,13.0,287.0,17.0,7.0,22.0,3.0,3.0,3.0,0.799294,18.0,350.0,38.0,34.68,177815,4.0,211.0,1.0,7.0,,230.0,3.0,123194.39,1.0,,8.0,8.0,57.0,,0.0,1.0,1.0,6.0,1.0,18.0,5.0,5.0,2.0,0.0,56.0,302.0,11.0,6.0,,31.0,2.0,70.0,0.0,0.0,0.0,,0.0,,4.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,40.9,14.0,,2.0,1.0,7.0,3.0,33.0,3.0,1.0,373.0,13.0,8.0,14.0,5.0,15.0,1.0,3.0,154.0,8.0,4.0,15.0,39.0,18.0,22.0,21.0,1.0,1.0,11.0,5.0,10.0,1.4876,8.0,3.0,,1.0,1.0,,,,,,1.0,1.0,,,3.0,1.0,3.0,,,3.0,1.0,,,,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
10,2561985,2025-11-01 15:00:00,"American Express Stadium, Falmer",31512.0,Away,Leeds United,Brighton and Hove Albion,0,3,L,0.0,1.0,0,0,0.0,1.0,,37.0,0.0,0.0,1.0,0.8837,22.0,19.0,2.0,1.0,3.0,4.0,0.0,1.0,142.0,0.0,4.0,11.0,0.0,3.0,4.0,1.0,2.0,139.0,119.0,43.0,5.0,,10.0,2.0,1.0,,19.0,8.0,0.0,,19.0,6.0,13.0,33.0,,4.4765,166.0,,,0.0,,0.0,75.0,7.0,0.0,2.0,0.0,1.0,,45.0,36.0,3.0,78.0,1.0,13.0,9.0,2.0,0.0,0.0,6.0,2.0,119.0,1.0,8.0,0.0,127.0,660.0,4.0,5.0,18.0,6.0,397.0,12.0,3.0,15.0,1.0,2.0,1.0,0.521134,18.0,459.0,35.0,35.49,214225,1.0,261.0,1.0,6.0,,281.0,4.0,113033.34,0.0,,3.0,11.0,49.0,,0.0,0.0,1.0,5.0,0.0,14.0,6.0,11.0,1.0,0.0,47.0,423.0,10.0,9.0,1.0,17.0,,61.0,0.0,0.0,0.0,,0.0,,4.0,4.0,0.0,3.0,2.0,0.0,1.0,1.0,50.2,16.0,1.0,2.0,1.0,5.0,1.0,39.0,7.0,,486.0,6.0,11.0,19.0,2.0,19.0,3.0,1.0,224.0,4.0,13.0,10.0,53.0,18.0,15.0,12.0,0.0,3.0,4.0,5.0,24.0,0.497,3.0,7.0,1.0,,,1.0,,,,,,,,1.0,3.0,1.0,3.0,1.0,0.0632,3.0,,,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,
