playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,savesMadeCaught,cleanSheets,penaltiesFaced,totalTouchesInOppositionBox,penaltyGoalsConceded,tacklesWon,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,throwInsToOppositionPlayer,shotsBlockedInBox,homeGoals,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,clearancesOffTheLine,secondGoalAssists,headedGoals,handballsConceded,penaltiesConceded,lastPlayerTackle,ownGoalScored,leftFootGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,expectedGoalsFreekick,foulWonPenalty,freekickTotal,attemptsFromSetPieces,setPiecesGoals,penaltiesTaken,penaltyGoals,redCards2ndYellow,otherGoals
550864,Leny Yoro,Defender,Manchester United,France,2025-26,65.0,0.6326,0.0,,,75.0,32.0,18.0,114.0,987.0,5.0,78.0,1739.0,83.0,5.0,18.0,39.0,837.0,,29.4389,4.0,6.0,85.0,33.0,31.0,182.0,,5.0,0.0,148.0,10.0,,358.0,73.0,32.0,,,344.0,28.0,70.0,44.0,0.0,5.0,959.0,143.0,2.0,,,354.0,36.0,1240.0,20.0,530.0,,1.0,39.0,46.0,32.0,,1.0,,22.0,3.0,21.0,1.0,1.0,3.0,1.0,1.4737,8.0,1.0,,1.0,2.0,,2.0,,,14.0,,1.0,3.0,3.0,,34.0,5.0,1.0,,,,11.0,1.0,2.0,6.0,1.0,5.0,1.0,11.0,17.0,31.0,93.0,12.0,9.0,,,7.0,1.3853,,,,,1.0,3.0,,,,,,,,,,,,,,
106760,Luke Shaw,Defender,Manchester United,England,2025-26,135.0,1.9771,0.0,,,166.0,38.0,38.0,226.0,1712.0,32.0,118.0,3231.0,168.0,3.0,57.0,104.0,1427.0,,49.0516,15.0,7.0,95.0,45.0,81.0,669.0,,20.0,0.0,303.0,21.0,,650.0,107.0,38.0,,,712.0,42.0,185.0,64.0,0.0,32.0,1648.0,346.0,10.0,,,143.0,59.0,2329.0,26.0,783.0,,9.0,60.0,97.0,74.0,,4.0,,29.0,4.0,45.0,6.0,4.0,3.0,,0.7889,6.0,4.0,1.0,4.0,36.0,1.0,,0.0,1.0,,1.0,9.0,1.0,1.0,,54.0,30.0,3.0,1.0,1.0,,29.0,10.0,44.0,16.0,3.0,3.0,12.0,9.0,49.0,46.0,250.0,132.0,15.0,,1.0,24.0,0.7061,,,,1.0,,,,1.0,11.0,3.0,8.0,,,,,,,,,
606745,Ayden Heaven,Defender,Manchester United U21,England,2025-26,25.0,0.1834,0.0,,,34.0,17.0,11.0,47.0,494.0,19.0,28.0,923.0,55.0,3.0,3.0,37.0,430.0,,13.616,1.0,1.0,60.0,15.0,15.0,153.0,,9.0,0.0,80.0,,,136.0,40.0,17.0,,,111.0,12.0,52.0,18.0,0.0,19.0,460.0,54.0,6.0,,,168.0,17.0,631.0,8.0,336.0,,2.0,13.0,16.0,22.0,,2.0,,8.0,,13.0,,1.0,,,,2.0,1.0,1.0,,1.0,,,,,6.0,,,,,,10.0,,1.0,,,,9.0,2.0,1.0,3.0,1.0,2.0,,11.0,7.0,1.0,37.0,,4.0,,,3.0,0.3454,,,,,,3.0,1.0,,,,,,,,,,,,,
547676,Tyler Fredricson,Defender,Manchester United U21,England,2025-26,,,0.0,,,,1.0,,1.0,1.0,,,2.0,,,,,,,0.3483,,,2.0,,,,,,0.0,,,,1.0,,1.0,,,,,,,0.0,,1.0,1.0,,,,,,3.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661712,Diego León,Defender,Manchester United U21,Paraguay,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576637,Godwill Kukonki,Defender,Manchester United U21,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184341,Mason Mount,Midfielder,Manchester United,England,2025-26,65.0,1.6223,0.0,,,65.0,23.0,12.0,79.0,429.0,,21.0,1018.0,50.0,3.0,21.0,43.0,327.0,,15.9235,13.0,,9.0,15.0,51.0,114.0,,12.0,2.0,115.0,8.0,,125.0,60.0,23.0,,,247.0,12.0,94.0,7.0,0.0,,426.0,144.0,7.0,,,104.0,23.0,606.0,4.0,104.0,,2.0,14.0,25.0,24.0,,1.0,,37.0,1.0,13.0,,6.0,5.0,1.0,0.9596,13.0,7.0,,18.0,13.0,3.0,,2.0,2.0,11.0,1.0,1.0,1.0,1.0,,14.0,,4.0,1.0,1.0,3.0,11.0,10.0,21.0,25.0,4.0,8.0,3.0,1.0,16.0,9.0,86.0,3.0,9.0,1.0,2.0,11.0,1.5047,,1.0,,1.0,,,,,10.0,2.0,8.0,0.0404,1.0,1.0,1.0,,,,,
141746,Bruno Fernandes,Midfielder,Manchester United,Portugal,2025-26,148.0,12.3178,0.0,,,263.0,35.0,35.0,355.0,1994.0,,54.0,3066.0,124.0,6.0,71.0,103.0,1501.0,,48.6836,115.0,6.0,42.0,46.0,115.0,573.0,,35.0,1.0,272.0,20.0,,652.0,167.0,35.0,,,1144.0,40.0,218.0,21.0,0.0,,1856.0,594.0,15.0,,,424.0,138.0,2647.0,24.0,550.0,,5.0,92.0,76.0,54.0,,6.0,,91.0,4.0,32.0,23.0,30.0,24.0,,9.1847,55.0,39.0,21.0,70.0,53.0,9.0,4.0,4.0,20.0,,9.0,55.0,6.0,6.0,4.0,33.0,1.0,10.0,5.0,9.0,9.0,22.0,21.0,128.0,51.0,10.0,31.0,27.0,5.0,25.0,20.0,345.0,16.0,6.0,5.0,20.0,24.0,10.8348,,1.0,,,1.0,,,,90.0,25.0,54.0,0.5243,,5.0,5.0,1.0,6.0,4.0,,
61256,Casemiro,Midfielder,Manchester United,Brazil,2025-26,169.0,3.1238,1.0,,,226.0,34.0,33.0,299.0,1600.0,,111.0,2588.0,188.0,3.0,94.0,131.0,1215.0,,33.1018,34.0,7.0,73.0,31.0,115.0,360.0,,36.0,1.0,357.0,60.0,,566.0,138.0,34.0,,,697.0,28.0,246.0,57.0,0.0,,1570.0,369.0,6.0,,,467.0,86.0,2128.0,28.0,608.0,,9.0,73.0,96.0,90.0,,2.0,,67.0,3.0,45.0,4.0,16.0,18.0,,5.816,36.0,13.0,2.0,37.0,13.0,9.0,5.0,2.0,8.0,1.0,3.0,4.0,6.0,6.0,2.0,54.0,,8.0,7.0,3.0,1.0,45.0,10.0,13.0,23.0,8.0,18.0,9.0,27.0,46.0,31.0,207.0,1.0,19.0,1.0,8.0,36.0,5.5203,,,8.0,2.0,,,,,,,,,,,,,,,1.0,
232112,Manuel Ugarte,Midfielder,Manchester United,Uruguay,2025-26,69.0,0.2045,0.0,,,61.0,22.0,8.0,75.0,502.0,,26.0,881.0,79.0,2.0,20.0,68.0,414.0,,22.3705,3.0,1.0,20.0,23.0,54.0,141.0,,15.0,0.0,148.0,9.0,,127.0,51.0,22.0,,,229.0,21.0,122.0,11.0,0.0,,497.0,104.0,7.0,,,145.0,13.0,699.0,4.0,198.0,,1.0,14.0,21.0,46.0,,1.0,,9.0,1.0,29.0,,5.0,1.0,,0.0095,8.0,1.0,,17.0,1.0,,,,3.0,14.0,1.0,,,,1.0,15.0,,2.0,,1.0,,17.0,3.0,1.0,14.0,2.0,7.0,2.0,5.0,24.0,20.0,89.0,5.0,5.0,,3.0,20.0,0.7116,,,,,,,,,,,,,,,,,,,,
