playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,cleanSheets,timePlayed,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,totalTackles,savesMadeFromOutsideBox,throughBalls,savesMadeCaught,penaltiesFaced,goalsConcededOutsideBox,savesFromPenalty,penaltyGoalsConceded,keyPassesAttemptAssists,goalkeeperSmother,drops,lastPlayerTackle,tacklesWon,successfulDribbles,successfulCrossesOpenPlay,successfulLayoffs,substituteOn,successfulCrossesAndCorners,totalTouchesInOppositionBox,putthroughBlockedDistributionWon,tacklesLost,timesTackled,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,goalAssists,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,penaltiesConceded,throwInsToOppositionPlayer,shotsBlockedInBox,oboxTarget,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,shotsBlockedOutsideBox,handballsConceded,expectedGoals,goals,awayGoals,homeGoals,leftFootGoals,headedGoals,clearancesOffTheLine,hitWoodwork,cornersTakenInclShortCorners,secondGoalAssists,ownGoalScored,unsuccessfulCornersIntoBox,successfulCornersIntoBox,rightFootGoals,setPiecesGoals,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,foulWonPenalty
451302,Altay Bayindir,Goalkeeper,Manchester United,Turkey,2024-25,2.0,0.0029,0.0,4.0,4.0,4.0,4.0,60.0,140.0,24.0,2.0,1.0,360.0,1.0,2.0,2.0,1.0,59.0,5.0,10.0664,6.0,14.0,10.0,1.0,25.0,8.0,1.0,0.0,4.0,82.0,20.0,4.0,10.0,10.0,2.0,1.0,0.0,22.0,108.0,60.0,14.0,3.0,33.0,21.0,179.0,37.0,70.0,8.0,0.0,56.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21205,Tom Heaton,Goalkeeper,Manchester United,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202641,André Onana,Goalkeeper,Manchester United,Cameroon,2024-25,2.0,0.2311,0.0,20.0,8.0,34.0,34.0,352.0,1165.0,149.0,6.0,9.0,3060.0,,11.0,,5.0,659.0,13.0,44.5273,62.0,24.0,44.0,2.0,275.0,90.0,2.0,0.0,13.0,591.0,245.0,34.0,98.0,39.0,7.0,6.0,0.0,208.0,919.0,359.0,77.0,25.0,299.0,154.0,1455.0,205.0,715.0,57.0,0.0,344.0,79.0,1.0,2.0,32.0,1.0,3.0,4.0,5.0,1.0,3.0,1.0,6.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461537,Dermot Mee,Goalkeeper,Manchester United U21,Northern Ireland,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439483,Hubert Graczyk,Goalkeeper,Manchester United,Poland,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588555,Elyh Harrison,Goalkeeper,Manchester United U21,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184667,Victor Lindelöf,Defender,Aston Villa,Sweden,2024-25,25.0,0.097,0.0,,17.0,16.0,6.0,24.0,380.0,1.0,32.0,2.0,697.0,15.0,25.0,3.0,8.0,344.0,,11.2262,3.0,36.0,9.0,10.0,100.0,,1.0,0.0,50.0,119.0,29.0,16.0,105.0,8.0,18.0,17.0,0.0,1.0,375.0,26.0,,,131.0,12.0,454.0,4.0,252.0,,1.0,7.0,12.0,,7.0,,1.0,,,1.0,,1.0,3.0,,,,2.0,,1.0,1.0,10.0,1.0,4.0,2.0,5.0,1.0,4.0,8.0,8.0,30.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230001,Noussair Mazraoui,Defender,Manchester United,Morocco,2024-25,134.0,1.8721,0.0,,158.0,37.0,34.0,221.0,1589.0,10.0,82.0,4.0,2848.0,31.0,216.0,62.0,165.0,1317.0,,45.629,10.0,83.0,43.0,103.0,263.0,,25.0,0.0,350.0,607.0,149.0,37.0,583.0,39.0,268.0,51.0,0.0,10.0,1555.0,316.0,,,481.0,51.0,2236.0,20.0,791.0,,3.0,63.0,99.0,,115.0,,7.0,,,4.0,,2.0,19.0,,,2.0,68.0,26.0,6.0,6.0,3.0,6.0,33.0,27.0,47.0,35.0,9.0,38.0,34.0,238.0,152.0,14.0,22.0,6.0,3.0,1.0,0.2598,7.0,1.0,17.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,16.0,2.0,1.0,18.0,17.0,2.0,4.0,7.0,4.0,4.0,0.6868,,,,,,,,,,,,,,,,,,,,,
209365,Matthijs de Ligt,Defender,Manchester United,Netherlands,2024-25,58.0,0.2745,0.0,,68.0,29.0,25.0,132.0,1370.0,7.0,88.0,3.0,2128.0,30.0,102.0,19.0,44.0,1205.0,,34.6619,4.0,91.0,36.0,28.0,373.0,,12.0,1.0,160.0,352.0,68.0,29.0,295.0,33.0,72.0,58.0,0.0,7.0,1344.0,149.0,,,556.0,33.0,1638.0,26.0,945.0,,3.0,64.0,55.0,,30.0,,,,,3.0,,2.0,6.0,,,1.0,22.0,2.0,2.0,,4.0,2.0,30.0,8.0,8.0,5.0,21.0,16.0,33.0,89.0,1.0,9.0,6.0,3.0,10.0,,3.4792,15.0,,4.0,2.0,,,8.0,8.0,,2.0,,3.0,,2.0,4.0,3.0,5.0,4.0,,1.0,2.4696,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
95658,Harry Maguire,Defender,Manchester United,England,2024-25,53.0,0.2903,0.0,,97.0,27.0,19.0,155.0,1119.0,14.0,90.0,2.0,1757.0,26.0,107.0,9.0,43.0,906.0,,26.3572,6.0,77.0,27.0,27.0,316.0,,11.0,1.0,160.0,344.0,68.0,27.0,274.0,25.0,70.0,64.0,0.0,14.0,1079.0,178.0,,,407.0,58.0,1356.0,26.0,690.0,,7.0,58.0,51.0,,30.0,,,,,2.0,,2.0,9.0,,,1.0,15.0,2.0,,3.0,8.0,,46.0,3.0,15.0,5.0,12.0,18.0,40.0,52.0,1.0,6.0,7.0,2.0,7.0,,1.1662,13.0,,4.0,2.0,,,6.0,6.0,,,,2.0,,3.0,4.0,2.0,6.0,4.0,,,1.8029,1.0,0.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,
