gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,goalAssistOpenplay,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attRfTarget,attFreekickTotal,attIboxTarget,attSvLowCentre,attOboxTarget,attMissHighRight,attSvHighLeft,attSvLowLeft,goodHighClaim,freekickTotal,attHdTarget,attMissHighLeft,accurateLaunches,penaltyConceded,attMissHigh,attAssistSetplay,attCmissLeft,attHdMiss,attSvHighCentre,penaltyFaced,totalHighClaim,penGoalsConceded,attFreekickMiss,attIboxMiss,effectiveBlockedCross,blockedCross,attCmissRight,shotFastbreak,attOneOnOne,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,attMissRight,bigChanceCreated,accurateThroughBall,accurateFreekickCross,bigChanceMissed,attFastbreak,possWonAtt3rd,attBxLeft,errorLeadToShot,errorLeadToGoal,attPenTarget,penaltyWon,totalPullBack,attSvLowRight,attObxRight,attPostHigh,sixYardBlock,attCmissHigh,goalAssistIntentional,attGoalLowRight,attemptsIbox,attemptsObox,touchesInOppBox,attObxLeft,attCmissHighRight,ownGoals,attCmissHighLeft,shieldBallOop,attIboxOwnGoal,attLfGoal,attGoalHighCentre,attPenGoal,attFreekickGoal,attOboxPost,goalAssistSetplay,goalAssistDeadball,accurateKeeperSweeper,attSvHighRight,totalKeeperSweeper,attFreekickTarget,goalFastbreak,attHdPost,accuratePullBack,secondYellow,ptsDroppedWinningPos,attPostRight,attGoalHighLeft,attObxdLeft,foulThrowIn,attFreekickPost,attGoalLowCentre,attObxdRight
1,694906,2013-08-17 15:00:00,"Carrow Road, Norwich",26824,Home,Norwich City,Everton,2,2,D,0,0,0,0,1.0,1.0,1.0,44.0,1.0,1.0,1.0,22.0,27.0,4.0,3.0,4.0,110.0,2.0,17.0,2.0,4.0,5.0,2.0,60.0,125.0,58.0,8.0,3.0,26.0,1.0,1.0,1.0,1.0,22.0,1.0,16.0,1.0,27.0,6.0,16.0,21.0,99.0,0.0,98.0,14.0,2.0,2.0,22.0,52.0,4.0,39.0,2.0,16.0,14.0,6.0,1.0,125.0,1.0,13.0,1.0,49.0,459.0,4.0,1.0,1.0,15.0,184.0,18.0,14.0,1.0,2.0,6.0,1.0,19.0,234.0,51.0,83283,2.0,98.0,8.0,1.0,106.0,6.0,1.0,14.0,14.0,69.0,1.0,1.0,1.0,1.0,2.0,5.0,7.0,4.0,50.0,195.0,10.0,13.0,11.0,68.0,1.0,0.0,3.0,8.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,33.0,16.0,1.0,4.0,1.0,23.0,6.0,258.0,15.0,11.0,8.0,2.0,15.0,1.0,174.0,3.0,15.0,11.0,55.0,16.0,1.0,14.0,22.0,1.0,1.0,7.0,2.0,26.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694915,2013-08-24 15:00:00,"The MKM Stadium, Hull",23682,Away,Norwich City,Hull City,0,1,L,0,1,0,1,,,,45.0,,1.0,,28.0,14.0,10.0,4.0,1.0,200.0,5.0,8.0,,4.0,10.0,4.0,150.0,133.0,43.0,13.0,2.0,9.0,,,,2.0,21.0,,10.0,,14.0,4.0,22.0,31.0,269.0,0.0,171.0,19.0,,1.0,78.0,68.0,4.0,84.0,,17.0,14.0,10.0,5.0,133.0,2.0,4.0,,148.0,765.0,9.0,5.0,,17.0,486.0,17.0,9.0,,1.0,,6.0,27.0,562.0,87.0,83283,3.0,233.0,6.0,,255.0,3.0,,14.0,7.0,52.0,1.0,,,7.0,,8.0,3.0,3.0,50.0,497.0,14.0,9.0,8.0,78.0,1.0,0.0,,1.0,,,1.0,,0.0,4.0,3.0,61.3,26.0,7.0,2.0,,49.0,5.0,582.0,17.0,10.0,12.0,7.0,33.0,1.0,348.0,6.0,22.0,10.0,120.0,16.0,,9.0,13.0,,1.0,12.0,3.0,17.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694927,2013-08-31 15:00:00,"Carrow Road, Norwich",26819,Home,Norwich City,Southampton,1,0,W,0,0,0,0,,1.0,,50.0,1.0,,1.0,27.0,29.0,6.0,5.0,2.0,141.0,7.0,6.0,1.0,4.0,10.0,4.0,73.0,157.0,70.0,14.0,3.0,24.0,1.0,,1.0,2.0,21.0,,24.0,,29.0,3.0,12.0,27.0,159.0,0.0,151.0,11.0,2.0,3.0,67.0,79.0,7.0,54.0,,18.0,16.0,3.0,2.0,157.0,1.0,4.0,,73.0,568.0,6.0,10.0,,14.0,231.0,15.0,11.0,1.0,0.0,4.0,3.0,26.0,312.0,80.0,83283,4.0,93.0,12.0,3.0,111.0,6.0,1.0,16.0,8.0,58.0,2.0,,1.0,3.0,1.0,9.0,7.0,1.0,67.0,245.0,15.0,6.0,33.0,88.0,,0.0,2.0,4.0,2.0,,,5.0,0.0,6.0,3.0,42.2,17.0,3.0,4.0,,27.0,5.0,341.0,14.0,13.0,12.0,6.0,10.0,1.0,251.0,6.0,12.0,21.0,92.0,18.0,,11.0,30.0,,,9.0,1.0,12.0,9.0,5.0,1.0,1.0,,3.0,2.0,,,,1.0,4.0,,1.0,1.0,6.0,,,3.0,1.0,2.0,,,4.0,,,4.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694940,2013-09-14 15:00:00,"White Hart Lane, London",35952,Away,Norwich City,Tottenham Hotspur,0,2,L,0,1,0,0,,,,50.0,,3.0,2.0,12.0,26.0,2.0,2.0,5.0,129.0,1.0,5.0,,2.0,2.0,1.0,52.0,133.0,49.0,5.0,2.0,24.0,1.0,,,,7.0,,23.0,,26.0,1.0,11.0,18.0,79.0,0.0,71.0,12.0,2.0,2.0,16.0,51.0,2.0,63.0,2.0,6.0,14.0,1.0,,133.0,,9.0,,45.0,472.0,2.0,9.0,,19.0,192.0,30.0,9.0,,3.0,6.0,,14.0,279.0,48.0,83283,2.0,118.0,3.0,2.0,145.0,5.0,,14.0,11.0,64.0,,,4.0,3.0,,3.0,14.0,4.0,38.0,196.0,2.0,16.0,27.0,71.0,,0.0,1.0,8.0,2.0,,2.0,,0.0,1.0,,31.0,10.0,3.0,4.0,,27.0,1.0,289.0,19.0,12.0,5.0,,9.0,,151.0,3.0,10.0,13.0,30.0,11.0,,9.0,29.0,,2.0,2.0,3.0,8.0,10.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,8.0,,,,,,,,1.0,,,,7.0,7.0,,,,,,,,,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694947,2013-09-21 12:45:00,"Carrow Road, Norwich",26813,Home,Norwich City,Aston Villa,0,1,L,0,1,0,0,,,,45.0,,2.0,2.0,36.0,10.0,3.0,4.0,3.0,172.0,10.0,5.0,,5.0,12.0,2.0,117.0,181.0,50.0,13.0,2.0,22.0,,,,1.0,45.0,,8.0,,10.0,7.0,14.0,30.0,229.0,0.0,180.0,15.0,1.0,2.0,61.0,82.0,5.0,67.0,1.0,38.0,11.0,17.0,2.0,181.0,,9.0,,108.0,683.0,8.0,7.0,,18.0,360.0,21.0,4.0,,1.0,3.0,7.0,22.0,449.0,88.0,83283,6.0,151.0,19.0,3.0,170.0,3.0,,11.0,12.0,64.0,2.0,,2.0,5.0,,17.0,7.0,4.0,59.0,370.0,10.0,6.0,17.0,91.0,,0.0,,4.0,1.0,,1.0,1.0,0.0,10.0,2.0,64.2,22.0,5.0,4.0,,52.0,7.0,464.0,18.0,23.0,15.0,7.0,32.0,,339.0,6.0,14.0,21.0,125.0,15.0,,4.0,14.0,,1.0,8.0,3.0,7.0,5.0,7.0,1.0,1.0,,2.0,,,1.0,,,,,,,6.0,,2.0,4.0,,2.0,1.0,,,,,5.0,2.0,2.0,2.0,,,,,,,3.0,2.0,1.0,2.0,3.0,,3.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694957,2013-09-29 13:30:00,"bet365 Stadium, Stoke",26184,Away,Norwich City,Stoke City,1,0,W,1,0,0,0,,,,58.0,1.0,1.0,,21.0,31.0,5.0,3.0,1.0,152.0,1.0,9.0,1.0,3.0,6.0,3.0,79.0,164.0,85.0,8.0,2.0,38.0,1.0,1.0,1.0,,15.0,1.0,28.0,,31.0,3.0,12.0,25.0,145.0,0.0,131.0,12.0,2.0,3.0,39.0,86.0,3.0,54.0,,12.0,16.0,4.0,1.0,164.0,,4.0,,81.0,604.0,4.0,11.0,1.0,8.0,256.0,19.0,21.0,1.0,1.0,2.0,3.0,37.0,340.0,87.0,50165,,126.0,5.0,,142.0,2.0,1.0,16.0,8.0,76.0,1.0,,2.0,4.0,1.0,16.0,4.0,3.0,61.0,270.0,14.0,7.0,29.0,92.0,,0.0,1.0,7.0,,,,2.0,0.0,,,44.2,29.0,4.0,2.0,,41.0,3.0,366.0,8.0,15.0,8.0,3.0,19.0,1.0,239.0,5.0,12.0,27.0,70.0,21.0,,21.0,35.0,,,6.0,2.0,16.0,7.0,3.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,3.0,,,1.0,5.0,,,1.0,,,,,4.0,,,1.0,5.0,5.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694966,2013-10-06 13:30:00,"Carrow Road, Norwich",26840,Home,Norwich City,Chelsea,1,3,L,0,1,0,0,,,1.0,50.0,1.0,3.0,3.0,22.0,23.0,7.0,4.0,4.0,154.0,4.0,7.0,1.0,1.0,11.0,3.0,98.0,121.0,37.0,14.0,1.0,18.0,2.0,,1.0,3.0,18.0,,9.0,,23.0,4.0,8.0,17.0,163.0,0.0,107.0,12.0,3.0,,39.0,49.0,6.0,51.0,1.0,14.0,5.0,5.0,6.0,121.0,1.0,13.0,,102.0,581.0,10.0,5.0,,14.0,324.0,27.0,6.0,1.0,1.0,7.0,5.0,13.0,388.0,55.0,83283,3.0,177.0,9.0,,197.0,5.0,,5.0,10.0,56.0,1.0,,1.0,5.0,1.0,10.0,9.0,3.0,40.0,336.0,9.0,10.0,22.0,81.0,1.0,0.0,1.0,6.0,2.0,1.0,3.0,3.0,0.0,3.0,1.0,44.8,10.0,5.0,4.0,1.0,46.0,4.0,405.0,14.0,10.0,7.0,7.0,18.0,1.0,226.0,8.0,8.0,7.0,75.0,14.0,,6.0,14.0,1.0,3.0,12.0,2.0,13.0,2.0,4.0,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,,,5.0,,2.0,,,,1.0,,2.0,,1.0,1.0,,,,1.0,,,,2.0,1.0,1.0,1.0,,,,1.0,,,1.0,2.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,694980,2013-10-19 15:00:00,"Emirates Stadium, London",60009,Away,Norwich City,Arsenal,1,4,L,0,1,0,0,,,,45.0,,5.0,1.0,38.0,28.0,8.0,6.0,7.0,165.0,4.0,7.0,1.0,2.0,9.0,6.0,132.0,133.0,43.0,12.0,1.0,8.0,,,,1.0,12.0,,12.0,,28.0,1.0,24.0,21.0,207.0,0.0,132.0,7.0,6.0,1.0,42.0,83.0,5.0,79.0,1.0,11.0,18.0,3.0,2.0,133.0,1.0,11.0,,136.0,694.0,9.0,7.0,,14.0,415.0,24.0,11.0,,0.0,3.0,4.0,20.0,486.0,54.0,83283,3.0,227.0,7.0,2.0,246.0,2.0,1.0,7.0,9.0,43.0,2.0,,2.0,2.0,1.0,14.0,9.0,4.0,57.0,430.0,7.0,8.0,15.0,76.0,,0.0,2.0,10.0,2.0,1.0,4.0,2.0,0.0,3.0,,43.7,16.0,2.0,2.0,,50.0,1.0,512.0,14.0,16.0,11.0,4.0,26.0,1.0,278.0,6.0,23.0,17.0,89.0,14.0,,11.0,13.0,,4.0,10.0,2.0,12.0,7.0,1.0,3.0,2.0,,,1.0,5.0,,,2.0,2.0,,,,7.0,,1.0,,,,1.0,,2.0,,,2.0,3.0,3.0,1.0,,,,,,1.0,2.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,4.0,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,694986,2013-10-26 15:00:00,"Carrow Road, Norwich",26846,Home,Norwich City,Cardiff City,0,0,D,0,0,0,0,,,,53.0,,2.0,4.0,27.0,16.0,12.0,9.0,4.0,184.0,12.0,13.0,,2.0,21.0,10.0,135.0,158.0,55.0,31.0,3.0,23.0,2.0,,,3.0,39.0,,8.0,,16.0,12.0,26.0,19.0,220.0,0.0,139.0,8.0,2.0,1.0,46.0,87.0,11.0,80.0,,27.0,15.0,6.0,5.0,158.0,2.0,3.0,,119.0,746.0,16.0,9.0,,10.0,415.0,14.0,4.0,,1.0,1.0,10.0,30.0,502.0,71.0,83283,12.0,217.0,20.0,2.0,238.0,2.0,,15.0,4.0,53.0,2.0,,2.0,9.0,,10.0,3.0,2.0,54.0,425.0,9.0,6.0,21.0,91.0,,0.0,1.0,2.0,2.0,,,6.0,0.0,5.0,8.0,60.5,24.0,9.0,7.0,,54.0,13.0,518.0,10.0,9.0,5.0,14.0,25.0,7.0,319.0,14.0,25.0,26.0,90.0,23.0,,4.0,9.0,,,21.0,3.0,21.0,7.0,13.0,1.0,7.0,,5.0,3.0,5.0,1.0,1.0,5.0,4.0,,2.0,1.0,5.0,,5.0,5.0,1.0,6.0,1.0,,4.0,,,9.0,2.0,2.0,1.0,,,1.0,,,,4.0,2.0,1.0,,2.0,,3.0,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,694995,2013-11-02 15:00:00,"Etihad Stadium, Manchester",47066,Away,Norwich City,Manchester City,0,7,L,0,4,0,0,1.0,,,38.0,,,,26.0,17.0,6.0,3.0,3.0,122.0,2.0,9.0,,1.0,5.0,1.0,88.0,103.0,32.0,7.0,4.0,16.0,,,,,7.0,,11.0,,17.0,3.0,14.0,17.0,140.0,0.0,76.0,9.0,3.0,1.0,41.0,46.0,3.0,57.0,,4.0,11.0,1.0,1.0,103.0,1.0,26.0,,85.0,522.0,5.0,5.0,,18.0,278.0,16.0,8.0,,1.0,12.0,2.0,15.0,336.0,39.0,49277,1.0,154.0,2.0,,166.0,1.0,,11.0,11.0,52.0,2.0,,,2.0,,8.0,3.0,2.0,40.0,292.0,5.0,16.0,16.0,78.0,,0.0,7.0,10.0,4.0,,7.0,3.0,0.0,1.0,,31.7,13.0,2.0,4.0,1.0,45.0,3.0,352.0,18.0,7.0,8.0,2.0,6.0,1.0,193.0,4.0,14.0,5.0,52.0,13.0,,8.0,14.0,,6.0,7.0,2.0,14.0,9.0,3.0,,1.0,,,,1.0,,,1.0,,,,1.0,2.0,,,,,,,,1.0,,,1.0,5.0,5.0,,,,,,,,1.0,1.0,,,1.0,,4.0,,1.0,1.0,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
