playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,cornersTakenInclShortCorners,successfulCrossesAndCorners,penaltiesConceded,successfulCornersIntoBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,homeGoals,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,handballsConceded,expectedGoals,throughBalls,blockedShots,offsides,iboxTarget,shotsOnTargetInBox,shotsBlockedInBox,iboxBlocked,clearancesOffTheLine,expectedGoalsFreekick,oboxBlocked,ownGoalScored,freekickTotal,attemptsFromSetPieces,shotsBlockedOutsideBox,successfulLayoffs,shotsOnTargetOutsideBox,oboxTarget,lastPlayerTackle,redCards2ndYellow,headedGoals,hitWoodwork,setPiecesGoals,unsuccessfulCornersIntoBox,unsuccessfulLayoffs,secondGoalAssists,foulWonPenalty,penaltiesTaken,penaltyGoals
489639,Bart Verbruggen,Goalkeeper,Brighton and Hove Albion,Netherlands,2024-25,4.0,0.0383,0.0,22.0,11.0,13.0,36.0,1.0,36.0,296.0,1187.0,83.0,7.0,11.0,7.0,9.0,3240.0,1.0,14.0,6.0,3.0,4.0,702.0,17.0,9.0,51.7768,48.0,46.0,58.0,3.0,214.0,91.0,2.0,0.0,18.0,1.0,3.0,630.0,276.0,36.0,5.0,1.0,83.0,52.0,7.0,10.0,0.0,168.0,1021.0,306.0,2.0,37.0,20.0,343.0,189.0,1489.0,193.0,808.0,76.0,6.0,283.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49262,Jason Steele,Goalkeeper,Brighton and Hove Albion U21,England,2024-25,1.0,0.0005,0.0,2.0,1.0,2.0,2.0,,2.0,11.0,105.0,2.0,,2.0,1.0,,180.0,1.0,2.0,,,1.0,80.0,2.0,,0.4764,1.0,3.0,1.0,,37.0,3.0,1.0,0.0,3.0,,,40.0,25.0,2.0,,,2.0,1.0,1.0,1.0,0.0,8.0,96.0,11.0,,1.0,,28.0,14.0,121.0,3.0,92.0,2.0,0.0,9.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209288,Tom McGill,Goalkeeper,Brighton and Hove Albion U21,Canada,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565858,Killian Cahill,Goalkeeper,Brighton and Hove Albion,Ireland,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472739,Carl Rushworth,Goalkeeper,Brighton and Hove Albion,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232792,Tariq Lamptey,Defender,Brighton and Hove Albion,Ghana,2024-25,66.0,0.7873,0.0,,,24.0,15.0,2.0,10.0,42.0,324.0,,,16.0,1.0,,860.0,15.0,38.0,1.0,14.0,37.0,275.0,,4.0,14.435,3.0,21.0,21.0,51.0,52.0,,10.0,0.0,104.0,8.0,,84.0,39.0,15.0,,,134.0,20.0,88.0,1.0,0.0,,319.0,114.0,10.0,,,96.0,7.0,556.0,14.0,155.0,,0.0,18.0,7.0,6.0,2.0,2.0,0.9885,17.0,6.0,21.0,2.0,2.0,5.0,1.0,7.0,1.0,1.0,12.0,14.0,3.0,0.0,1.0,6.0,1.0,18.0,21.0,23.0,4.0,3.0,11.0,7.0,15.0,7.0,92.0,46.0,5.0,8.0,2.0,0.3894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223434,Igor Julio,Defender,Brighton and Hove Albion,Brazil,2024-25,22.0,0.2686,0.0,,,33.0,13.0,,10.0,52.0,713.0,25.0,,14.0,1.0,,960.0,6.0,24.0,1.0,15.0,16.0,633.0,,2.0,15.8122,5.0,38.0,17.0,16.0,317.0,,6.0,0.0,46.0,10.0,,218.0,42.0,13.0,,,221.0,16.0,32.0,8.0,0.0,25.0,676.0,61.0,5.0,,,112.0,28.0,831.0,10.0,441.0,,4.0,19.0,24.0,1.0,,,,5.0,1.0,3.0,,,3.0,,1.0,,,1.0,2.0,2.0,,,,,1.0,3.0,1.0,1.0,,5.0,14.0,9.0,4.0,66.0,9.0,2.0,4.0,,0.0477,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
110735,Adam Webster,Defender,Brighton and Hove Albion,England,2024-25,24.0,0.2652,0.0,,,38.0,14.0,,11.0,85.0,721.0,43.0,,31.0,3.0,,888.0,7.0,37.0,3.0,12.0,13.0,599.0,,3.0,10.5157,4.0,40.0,11.0,17.0,276.0,,2.0,0.0,61.0,7.0,,274.0,35.0,14.0,,,239.0,8.0,30.0,24.0,0.0,43.0,648.0,97.0,1.0,,,115.0,37.0,840.0,14.0,397.0,,1.0,47.0,23.0,,1.0,,0.0319,10.0,3.0,2.0,,,3.0,,,1.0,,15.0,,3.0,,,4.0,,2.0,2.0,3.0,2.0,1.0,6.0,9.0,7.0,20.0,56.0,,3.0,3.0,,0.2468,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
83299,Lewis Dunk,Defender,Brighton and Hove Albion,England,2024-25,50.0,1.0385,0.0,,,76.0,25.0,,23.0,166.0,1934.0,54.0,,83.0,3.0,,2083.0,31.0,79.0,3.0,17.0,27.0,1678.0,,7.0,34.6563,17.0,78.0,42.0,19.0,726.0,,11.0,0.0,129.0,10.0,,584.0,104.0,25.0,,,592.0,39.0,46.0,52.0,0.0,54.0,1813.0,188.0,,,,470.0,90.0,2151.0,34.0,1176.0,,5.0,90.0,40.0,,3.0,,0.7282,17.0,9.0,5.0,,,2.0,,,,,21.0,,6.0,,,7.0,,1.0,5.0,4.0,6.0,4.0,10.0,18.0,7.0,13.0,154.0,10.0,2.0,3.0,,0.8107,2.0,3.0,2.0,3.0,3.0,2.0,2.0,,0.0868,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
439135,Eiran Cashin,Defender,Brighton and Hove Albion,Ireland,2024-25,3.0,0.0044,0.0,,,2.0,2.0,,,4.0,27.0,,,3.0,,,19.0,1.0,2.0,,,,22.0,,,1.5652,,2.0,2.0,2.0,11.0,,,0.0,5.0,,,16.0,1.0,2.0,,,11.0,2.0,2.0,2.0,0.0,,27.0,6.0,,,,,1.0,32.0,1.0,12.0,,0.0,2.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
