gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attBxRight,postScoringAtt,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,goalsConcededObox,bigChanceScored,savedObox,goalAssistSetplay,attLfGoal,attGoalLowCentre,goals,attOboxBlocked,midfielderGoals,interceptionsInBox,attMissHighLeft,goalAssist,ownGoals,attIboxGoal,goalAssistIntentional,attIboxOwnGoal,errorLeadToGoal,attIboxTarget,attMissLeft,cleanSheet,attMissRight,attHdTarget,errorLeadToShot,attSvLowRight,attCmissLeft,punches,foulThrowIn,effectiveBlockedCross,blockedCross,attLfTarget,attMissHighRight,attSvHighRight,attSvLowLeft,attGoalHighCentre,attHdGoal,ptsDroppedWinningPos,attFreekickTotal,attSvLowCentre,freekickTotal,attCmissHigh,attOboxPost,attHdMiss,attPostRight,attGoalLowLeft,attCmissRight,attLgCentre,accurateThroughBall,attRfGoal,defenderGoals,attFreekickMiss,attGoalLowRight,shotFastbreak,goalAssistOpenplay,ptsGainedLosingPos,totalFastbreak,sixYardBlock,attCmissHighLeft,goalsOpenplay,attFastbreak,attSvHighLeft,totalKeeperSweeper,accurateKeeperSweeper,attOboxGoal,attFreekickTarget,clearanceOffLine,forwardGoals,attFreekickGoal,contentiousDecision,attGoalHighLeft,penaltySave,attGoalHighRight,secondYellow,attOneOnOne,attObxdLeft,goalAssistDeadball,attObxLeft,penaltyWon,attPenGoal,attObxRight,attCmissHighRight,goalFastbreak
1,987595,2018-08-11 15:00:00,"Accu Stadium, Huddersfield",24121,Home,Huddersfield Town,Chelsea,0,3,L,0,2,0,0,1.0,72.0,1.0,46.0,13.0,2.0,1.0,4.0,1.0,1.0,143.0,6.0,6.0,3.0,5.0,1.0,1.0,80.0,145.0,60.0,6.0,17.0,2.0,2.0,23.0,2.0,21.0,1.0,13.0,2.0,3.0,47.0,152.0,0.0,112.0,9.0,1.0,3.0,1.0,58.0,85.0,2.0,64.0,21.0,13.0,2.0,5.0,1.0,145.0,1.0,10.0,1.0,85.0,2.0,550.0,4.0,14.0,12.0,2.0,16.0,266.0,27.0,11.0,2.0,2.0,6.0,3.0,23.0,352.0,59.0,1.0,85368,1.0,135.0,1.0,13.0,1.0,1.0,148.0,4.0,1.0,13.0,5.0,53.0,1.0,2.0,2.0,16.0,3.0,5.0,2.0,87.0,281.0,8.0,17.0,1.0,28.0,80.0,0.0,2.0,5.0,1.0,1.0,3.0,5.0,0.0,5.0,1.0,2.0,37.2,18.0,10.0,1.0,1.0,2.0,1.0,37.0,2.0,1.0,1.0,372.0,1.0,16.0,7.0,21.0,4.0,36.0,1.0,1.0,247.0,3.0,2.0,22.0,70.0,26.0,2.0,25.0,3.0,3.0,2.0,11.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,987609,2018-08-19 13:30:00,"Etihad Stadium, Manchester",54021,Away,Huddersfield Town,Manchester City,1,6,L,1,3,0,0,,50.0,1.0,25.0,29.0,2.0,3.0,3.0,9.0,,115.0,1.0,4.0,2.0,3.0,,1.0,33.0,109.0,46.0,5.0,17.0,1.0,,12.0,,7.0,,29.0,3.0,4.0,29.0,72.0,0.0,72.0,4.0,4.0,2.0,1.0,48.0,35.0,1.0,44.0,9.0,24.0,2.0,1.0,1.0,109.0,1.0,21.0,,32.0,,378.0,2.0,11.0,12.0,,7.0,126.0,26.0,7.0,13.0,2.0,7.0,2.0,11.0,184.0,41.0,,85368,1.0,75.0,,6.0,1.0,,94.0,3.0,,24.0,12.0,44.0,,1.0,1.0,10.0,12.0,6.0,1.0,63.0,146.0,8.0,18.0,,25.0,53.0,0.0,1.0,10.0,7.0,,6.0,5.0,0.0,1.0,,,23.1,8.0,2.0,,,1.0,2.0,26.0,3.0,,1.0,224.0,,7.0,5.0,16.0,2.0,16.0,,1.0,142.0,2.0,4.0,19.0,36.0,8.0,13.0,16.0,4.0,2.0,3.0,4.0,10.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,987615,2018-08-25 15:00:00,"Accu Stadium, Huddersfield",21193,Home,Huddersfield Town,Cardiff City,0,0,D,0,0,1,0,,48.0,2.0,28.0,24.0,2.0,1.0,3.0,4.0,,151.0,2.0,3.0,,2.0,,1.0,85.0,166.0,53.0,5.0,35.0,,,26.0,,9.0,,24.0,6.0,5.0,31.0,151.0,0.0,127.0,8.0,2.0,,1.0,67.0,72.0,2.0,75.0,20.0,12.0,2.0,7.0,2.0,166.0,,8.0,,85.0,,579.0,1.0,12.0,9.0,,6.0,286.0,16.0,6.0,13.0,0.0,4.0,,23.0,369.0,73.0,,85368,3.0,152.0,,13.0,,,172.0,6.0,,12.0,11.0,65.0,,1.0,3.0,13.0,6.0,3.0,,70.0,301.0,9.0,3.0,1.0,20.0,68.0,0.0,4.0,7.0,3.0,,,3.0,1.0,1.0,,1.0,58.0,15.0,2.0,,,4.0,2.0,28.0,7.0,,1.0,396.0,,6.0,19.0,10.0,2.0,36.0,1.0,,250.0,2.0,5.0,27.0,82.0,21.0,13.0,14.0,,3.0,3.0,3.0,6.0,7.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,987627,2018-09-01 15:00:00,"Goodison Park, Liverpool",38767,Away,Huddersfield Town,Everton,1,1,D,1,1,0,0,1.0,58.0,,32.0,18.0,5.0,3.0,4.0,,2.0,130.0,4.0,7.0,,5.0,,6.0,82.0,149.0,81.0,9.0,27.0,,,20.0,,21.0,3.0,18.0,3.0,6.0,23.0,108.0,0.0,86.0,14.0,,1.0,1.0,58.0,43.0,4.0,55.0,17.0,15.0,5.0,9.0,,149.0,,8.0,,68.0,,543.0,5.0,12.0,14.0,,17.0,231.0,28.0,12.0,9.0,3.0,2.0,1.0,30.0,308.0,41.0,1.0,87428,4.0,148.0,,7.0,1.0,,172.0,7.0,1.0,15.0,11.0,57.0,,,3.0,17.0,3.0,7.0,,66.0,252.0,13.0,3.0,,31.0,68.0,0.0,1.0,4.0,,,1.0,6.0,0.0,4.0,,2.0,42.4,13.0,1.0,,1.0,3.0,2.0,36.0,3.0,,1.0,335.0,,17.0,10.0,9.0,1.0,31.0,,1.0,183.0,4.0,5.0,31.0,49.0,25.0,9.0,30.0,1.0,6.0,3.0,12.0,3.0,3.0,,1.0,,,,,1.0,2.0,1.0,,,,,1.0,,,,2.0,,,,1.0,,2.0,,,,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,987635,2018-09-15 15:00:00,"Accu Stadium, Huddersfield",23696,Home,Huddersfield Town,Crystal Palace,0,1,L,0,1,0,0,,51.0,1.0,47.0,9.0,6.0,4.0,9.0,1.0,1.0,158.0,11.0,7.0,4.0,8.0,,2.0,132.0,136.0,64.0,15.0,18.0,,1.0,30.0,,8.0,,9.0,4.0,4.0,53.0,215.0,0.0,147.0,11.0,,3.0,,86.0,88.0,3.0,75.0,26.0,12.0,6.0,11.0,2.0,136.0,1.0,6.0,,129.0,,672.0,8.0,7.0,31.0,1.0,5.0,387.0,19.0,6.0,4.0,1.0,3.0,5.0,27.0,467.0,60.0,,87428,8.0,207.0,1.0,12.0,2.0,,227.0,3.0,1.0,12.0,7.0,47.0,,5.0,3.0,8.0,1.0,6.0,1.0,72.0,411.0,17.0,6.0,,19.0,67.0,0.0,2.0,3.0,1.0,,1.0,2.0,0.0,10.0,,4.0,58.4,22.0,6.0,1.0,,3.0,4.0,43.0,5.0,,,494.0,,5.0,9.0,38.0,9.0,39.0,1.0,6.0,297.0,7.0,4.0,24.0,102.0,21.0,4.0,17.0,1.0,10.0,3.0,11.0,6.0,5.0,,,,,,,,3.0,,,2.0,,,,,,,2.0,3.0,,1.0,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,987648,2018-09-22 15:00:00,"King Power Stadium, Leicester",31676,Away,Huddersfield Town,Leicester City,1,3,L,1,1,0,0,2.0,64.0,1.0,30.0,13.0,3.0,1.0,5.0,5.0,,138.0,2.0,5.0,1.0,5.0,,2.0,71.0,160.0,46.0,9.0,25.0,,,14.0,,8.0,,13.0,1.0,5.0,39.0,119.0,0.0,77.0,16.0,2.0,1.0,,57.0,44.0,2.0,61.0,13.0,23.0,4.0,5.0,3.0,160.0,1.0,11.0,,87.0,,527.0,4.0,7.0,18.0,,12.0,242.0,25.0,7.0,7.0,1.0,3.0,3.0,27.0,327.0,39.0,,87428,4.0,144.0,1.0,7.0,,,173.0,13.0,,23.0,9.0,67.0,1.0,,1.0,16.0,7.0,6.0,1.0,69.0,261.0,10.0,5.0,,25.0,56.0,0.0,1.0,3.0,3.0,,3.0,2.0,0.0,2.0,1.0,2.0,38.0,16.0,3.0,1.0,1.0,1.0,2.0,25.0,1.0,,,357.0,,12.0,15.0,18.0,5.0,21.0,,2.0,198.0,5.0,5.0,20.0,46.0,27.0,7.0,11.0,2.0,6.0,2.0,13.0,7.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,2.0,,2.0,1.0,,,2.0,,1.0,,,,,,,,,3.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,987657,2018-09-29 15:00:00,"Accu Stadium, Huddersfield",23885,Home,Huddersfield Town,Tottenham Hotspur,0,2,L,0,2,0,0,,66.0,,38.0,10.0,5.0,3.0,4.0,4.0,2.0,183.0,5.0,6.0,5.0,5.0,,5.0,79.0,185.0,67.0,9.0,31.0,1.0,1.0,21.0,1.0,16.0,2.0,10.0,3.0,2.0,38.0,165.0,0.0,127.0,17.0,2.0,5.0,,50.0,97.0,3.0,73.0,18.0,22.0,5.0,5.0,2.0,185.0,,10.0,,85.0,,621.0,4.0,14.0,10.0,1.0,15.0,292.0,20.0,13.0,1.0,2.0,,2.0,30.0,395.0,68.0,1.0,85368,3.0,148.0,,8.0,2.0,1.0,175.0,9.0,,22.0,7.0,69.0,,1.0,3.0,24.0,,5.0,1.0,79.0,308.0,15.0,6.0,1.0,39.0,87.0,0.0,1.0,,4.0,1.0,2.0,4.0,0.0,5.0,2.0,2.0,52.7,15.0,5.0,,,3.0,1.0,52.0,3.0,1.0,,420.0,1.0,15.0,10.0,22.0,3.0,38.0,,,266.0,4.0,2.0,22.0,74.0,32.0,1.0,24.0,2.0,4.0,3.0,12.0,9.0,3.0,,,,,,,,1.0,,1.0,,,,,,,,3.0,,,1.0,2.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,2.0,,,,,2.0,1.0,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,987663,2018-10-06 15:00:00,"Turf Moor, Burnley",20533,Away,Huddersfield Town,Burnley,1,1,D,0,1,0,0,,52.0,4.0,35.0,7.0,9.0,3.0,9.0,2.0,,219.0,10.0,4.0,1.0,16.0,,2.0,127.0,179.0,48.0,18.0,25.0,2.0,,37.0,,5.0,1.0,7.0,9.0,3.0,45.0,193.0,0.0,159.0,11.0,1.0,,1.0,74.0,96.0,10.0,93.0,28.0,23.0,9.0,13.0,3.0,179.0,1.0,4.0,,141.0,,771.0,13.0,8.0,24.0,,10.0,451.0,21.0,9.0,5.0,2.0,2.0,6.0,31.0,564.0,64.0,,87428,6.0,280.0,1.0,15.0,,,315.0,6.0,,23.0,,56.0,,,6.0,11.0,2.0,,3.0,72.0,463.0,8.0,5.0,2.0,28.0,74.0,0.0,,1.0,2.0,,1.0,2.0,0.0,6.0,,3.0,68.2,24.0,1.0,1.0,,6.0,9.0,38.0,10.0,,1.0,580.0,,10.0,12.0,15.0,7.0,50.0,4.0,4.0,302.0,12.0,3.0,26.0,105.0,22.0,5.0,10.0,1.0,13.0,3.0,9.0,8.0,10.0,,,,,,,1.0,5.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,2.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
9,987677,2018-10-20 17:30:00,"Accu Stadium, Huddersfield",24263,Home,Huddersfield Town,Liverpool,0,1,L,0,1,0,0,,72.0,3.0,30.0,21.0,6.0,4.0,7.0,1.0,,202.0,7.0,4.0,1.0,8.0,,1.0,138.0,168.0,51.0,13.0,22.0,1.0,1.0,27.0,,14.0,,21.0,2.0,4.0,40.0,147.0,0.0,105.0,9.0,1.0,1.0,,52.0,85.0,6.0,70.0,25.0,25.0,6.0,11.0,2.0,168.0,,6.0,1.0,111.0,,726.0,7.0,7.0,19.0,1.0,12.0,407.0,35.0,5.0,8.0,0.0,5.0,2.0,27.0,506.0,50.0,1.0,85368,6.0,279.0,,13.0,,,315.0,6.0,,25.0,6.0,53.0,1.0,3.0,3.0,17.0,5.0,4.0,2.0,59.0,419.0,5.0,8.0,1.0,19.0,75.0,0.0,1.0,4.0,1.0,,1.0,3.0,0.0,6.0,,1.0,47.8,16.0,6.0,,,3.0,6.0,46.0,2.0,,,521.0,,12.0,8.0,23.0,6.0,32.0,1.0,3.0,233.0,8.0,4.0,23.0,74.0,27.0,8.0,20.0,1.0,12.0,3.0,10.0,14.0,2.0,,,,,,,,3.0,,1.0,,,,,,,,1.0,,,2.0,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,987691,2018-10-27 15:00:00,"Vicarage Road, Watford",20457,Away,Huddersfield Town,Watford,0,3,L,0,2,0,0,1.0,60.0,2.0,36.0,13.0,4.0,5.0,9.0,3.0,3.0,167.0,5.0,10.0,,12.0,1.0,7.0,125.0,153.0,61.0,13.0,12.0,4.0,,13.0,,18.0,3.0,13.0,3.0,1.0,45.0,169.0,0.0,106.0,13.0,1.0,,1.0,61.0,68.0,8.0,73.0,10.0,20.0,4.0,3.0,1.0,153.0,,8.0,,133.0,,710.0,11.0,11.0,19.0,1.0,27.0,380.0,27.0,8.0,2.0,2.0,,4.0,27.0,475.0,58.0,,85368,4.0,235.0,,7.0,,,265.0,5.0,1.0,20.0,5.0,52.0,2.0,3.0,2.0,16.0,4.0,4.0,1.0,70.0,399.0,9.0,10.0,1.0,29.0,79.0,0.0,,3.0,2.0,,3.0,8.0,0.0,4.0,,2.0,51.9,19.0,2.0,1.0,1.0,2.0,2.0,46.0,3.0,,1.0,498.0,,27.0,14.0,23.0,4.0,23.0,1.0,3.0,246.0,6.0,1.0,16.0,67.0,26.0,2.0,26.0,3.0,11.0,3.0,15.0,10.0,3.0,,,1.0,,,,,,,1.0,,,,,,,,4.0,2.0,,1.0,,,2.0,,,,,,4.0,,,,,,,,2.0,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
