gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attObxLeft,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,attIboxBlocked,attFreekickTotal,goalAssistOpenplay,freekickTotal,attObxdRight,sixYardBlock,attRfGoal,attCmissHighLeft,goalsOpenplay,overrun,attFreekickMiss,postScoringAtt,attIboxPost,midfielderGoals,attHdPost,attLgCentre,hitWoodwork,punches,attPostHigh,goalsConceded,attSvHighCentre,goalsConcededIbox,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,attLfTarget,attGoalLowCentre,bigChanceMissed,handBall,accurateKeeperSweeper,contentiousDecision,totalKeeperSweeper,penaltyConceded,penaltyFaced,penGoalsConceded,attLfGoal,shotFastbreak,goalFastbreak,attOneOnOne,totalFastbreak,attFastbreak,forwardGoals,attGoalHighRight,attOboxGoal,totalPullBack,attFreekickGoal,attSvHighRight,attGoalHighCentre,attFreekickTarget,attSvHighLeft,ownGoals,attOboxPost,attIboxOwnGoal,errorLeadToShot,clearanceOffLine,penaltyWon,ptsGainedLosingPos,attPenGoal,attGoalHighLeft,accuratePullBack,attLgLeft,attObpGoal
1,918902,2017-08-12 15:00:00,"The Hawthorns, West Bromwich",25011,Home,West Bromwich Albion,Bournemouth,1,0,W,1,0,0,0,1.0,58.0,1.0,1.0,1.0,1.0,26.0,26.0,4.0,3.0,11.0,2.0,4.0,128.0,6.0,1.0,1.0,1.0,15.0,1.0,6.0,39.0,130.0,34.0,16.0,1.0,18.0,3.0,1.0,2.0,1.0,3.0,16.0,15.0,2.0,26.0,7.0,1.0,29.0,96.0,1.0,1.0,0.0,97.0,15.0,1.0,1.0,1.0,1.0,38.0,49.0,6.0,37.0,8.0,1.0,9.0,10.0,5.0,1.0,2.0,130.0,1.0,5.0,38.0,419.0,12.0,8.0,19.0,1.0,14.0,149.0,29.0,1.0,9.0,11.0,1.0,3.0,5.0,9.0,30.0,225.0,59.0,2.0,1.0,9089,2.0,67.0,7.0,1.0,92.0,8.0,10.0,8.0,52.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,76.0,157.0,2.0,5.0,2.0,39.0,67.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,28.7,17.0,2.0,1.0,2.0,1.0,1.0,29.0,8.0,1.0,242.0,14.0,6.0,15.0,9.0,32.0,4.0,7.0,166.0,9.0,1.0,12.0,52.0,19.0,4.0,11.0,19.0,1.0,9.0,3.0,11.0,4.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918904,2017-08-19 15:00:00,"Turf Moor, Burnley",19619,Away,West Bromwich Albion,Burnley,1,0,W,0,0,1,0,,37.0,,,,,24.0,36.0,2.0,3.0,5.0,,,139.0,4.0,6.0,1.0,2.0,5.0,,1.0,29.0,157.0,44.0,8.0,,24.0,,,,,1.0,13.0,3.0,,36.0,5.0,3.0,20.0,66.0,2.0,1.0,0.0,76.0,11.0,,,2.0,1.0,36.0,47.0,2.0,29.0,1.0,1.0,8.0,8.0,3.0,3.0,3.0,157.0,,11.0,31.0,405.0,2.0,11.0,9.0,,8.0,116.0,19.0,1.0,7.0,28.0,1.0,0.0,5.0,3.0,29.0,200.0,65.0,,1.0,9089,2.0,65.0,3.0,2.0,91.0,6.0,8.0,17.0,52.0,,,,3.0,,19.0,9.0,9.0,,73.0,127.0,11.0,9.0,2.0,43.0,85.0,,1.0,0.0,6.0,,1.0,3.0,,1.0,2.0,1.0,2.0,2.0,32.2,16.0,2.0,2.0,1.0,1.0,2.0,26.0,5.0,1.0,228.0,8.0,7.0,10.0,5.0,20.0,2.0,2.0,150.0,2.0,2.0,20.0,27.0,12.0,3.0,28.0,9.0,,4.0,2.0,8.0,3.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918922,2017-08-27 13:30:00,"The Hawthorns, West Bromwich",22704,Home,West Bromwich Albion,Stoke City,1,1,D,0,0,0,0,1.0,40.0,1.0,1.0,,,20.0,24.0,1.0,3.0,8.0,1.0,,124.0,9.0,4.0,1.0,3.0,7.0,,2.0,74.0,135.0,41.0,10.0,,29.0,1.0,,,,3.0,34.0,13.0,,24.0,10.0,6.0,15.0,138.0,1.0,,0.0,98.0,10.0,1.0,,2.0,3.0,59.0,50.0,2.0,46.0,,3.0,24.0,14.0,2.0,11.0,2.0,135.0,1.0,8.0,70.0,494.0,3.0,4.0,16.0,1.0,3.0,229.0,25.0,,7.0,18.0,1.0,2.0,5.0,5.0,21.0,294.0,53.0,,1.0,9089,4.0,110.0,11.0,1.0,131.0,6.0,14.0,11.0,68.0,,1.0,,2.0,1.0,10.0,8.0,2.0,,58.0,239.0,8.0,10.0,3.0,28.0,69.0,,1.0,0.0,4.0,,1.0,,,0.0,7.0,1.0,,5.0,42.8,18.0,2.0,1.0,2.0,1.0,,32.0,10.0,3.0,314.0,3.0,16.0,8.0,8.0,42.0,2.0,5.0,217.0,2.0,6.0,13.0,62.0,10.0,2.0,18.0,17.0,1.0,5.0,3.0,8.0,2.0,4.0,10.0,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918924,2017-09-09 15:00:00,"Amex Stadium, Falmer",30381,Away,West Bromwich Albion,Brighton and Hove Albion,1,3,L,0,1,0,0,1.0,56.0,,2.0,,,31.0,26.0,7.0,5.0,5.0,3.0,1.0,162.0,5.0,10.0,1.0,1.0,9.0,,3.0,123.0,147.0,49.0,12.0,2.0,15.0,1.0,,,1.0,3.0,35.0,4.0,1.0,26.0,6.0,8.0,28.0,199.0,,,0.0,132.0,4.0,,,1.0,2.0,57.0,111.0,4.0,67.0,,1.0,30.0,23.0,7.0,15.0,4.0,147.0,2.0,3.0,109.0,656.0,7.0,13.0,20.0,,10.0,363.0,23.0,2.0,7.0,14.0,1.0,0.0,3.0,5.0,28.0,440.0,63.0,,,9089,4.0,183.0,14.0,1.0,195.0,3.0,23.0,6.0,38.0,,1.0,,1.0,1.0,12.0,9.0,2.0,,68.0,377.0,8.0,3.0,1.0,28.0,77.0,,1.0,0.0,2.0,1.0,1.0,2.0,,0.0,4.0,1.0,1.0,1.0,51.4,25.0,1.0,3.0,1.0,1.0,3.0,40.0,6.0,2.0,461.0,10.0,12.0,14.0,6.0,38.0,2.0,2.0,301.0,6.0,6.0,24.0,92.0,23.0,2.0,14.0,8.0,,9.0,3.0,15.0,2.0,7.0,6.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,3.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918942,2017-09-16 15:00:00,"The Hawthorns, West Bromwich",24942,Home,West Bromwich Albion,West Ham United,0,0,D,0,0,0,0,,47.0,,1.0,,,21.0,24.0,2.0,2.0,4.0,1.0,,122.0,6.0,9.0,,,5.0,,1.0,55.0,117.0,29.0,6.0,1.0,15.0,1.0,,,,1.0,15.0,7.0,,24.0,2.0,3.0,14.0,109.0,,1.0,0.0,70.0,15.0,1.0,1.0,,1.0,40.0,48.0,2.0,48.0,1.0,1.0,13.0,5.0,2.0,5.0,1.0,117.0,1.0,4.0,65.0,436.0,4.0,5.0,8.0,1.0,9.0,203.0,25.0,,5.0,13.0,,2.0,3.0,3.0,17.0,266.0,47.0,,,9089,3.0,109.0,8.0,,128.0,9.0,5.0,13.0,45.0,1.0,,,3.0,,11.0,5.0,4.0,1.0,65.0,212.0,7.0,5.0,1.0,26.0,72.0,,,0.0,3.0,,,,,0.0,4.0,,,3.0,36.8,13.0,2.0,3.0,,,2.0,33.0,2.0,1.0,290.0,9.0,7.0,6.0,3.0,17.0,2.0,2.0,177.0,1.0,3.0,6.0,35.0,14.0,9.0,13.0,7.0,,5.0,3.0,13.0,9.0,3.0,2.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918943,2017-09-25 20:00:00,"Emirates Stadium, London",59134,Away,West Bromwich Albion,Arsenal,0,2,L,0,1,0,0,,58.0,,3.0,,,26.0,23.0,3.0,2.0,4.0,4.0,1.0,116.0,3.0,10.0,,2.0,4.0,1.0,3.0,62.0,133.0,53.0,7.0,1.0,24.0,3.0,,,2.0,1.0,13.0,12.0,,23.0,4.0,3.0,40.0,107.0,,,0.0,91.0,17.0,1.0,1.0,1.0,1.0,34.0,31.0,3.0,38.0,,1.0,9.0,8.0,3.0,1.0,2.0,133.0,,10.0,56.0,439.0,3.0,14.0,15.0,2.0,20.0,180.0,26.0,1.0,8.0,12.0,,4.0,4.0,1.0,16.0,251.0,53.0,1.0,,9089,1.0,84.0,7.0,1.0,98.0,11.0,8.0,9.0,69.0,,1.0,,,2.0,14.0,6.0,3.0,,67.0,188.0,6.0,13.0,1.0,28.0,66.0,,1.0,0.0,7.0,1.0,,5.0,,0.0,2.0,,1.0,2.0,30.9,10.0,,6.0,1.0,2.0,1.0,29.0,4.0,1.0,272.0,20.0,11.0,22.0,3.0,23.0,1.0,1.0,187.0,3.0,3.0,21.0,43.0,15.0,2.0,12.0,16.0,,5.0,3.0,14.0,2.0,3.0,4.0,,,,,,,,,,,4.0,,,,,,,1.0,,,2.0,,2.0,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918961,2017-09-30 15:00:00,"The Hawthorns, West Bromwich",24606,Home,West Bromwich Albion,Watford,2,2,D,2,1,0,0,2.0,72.0,,,,,26.0,45.0,2.0,5.0,7.0,1.0,1.0,133.0,2.0,10.0,2.0,4.0,5.0,,4.0,53.0,146.0,77.0,9.0,,27.0,1.0,,,1.0,,18.0,18.0,1.0,45.0,6.0,4.0,25.0,88.0,,,0.0,91.0,12.0,,,3.0,2.0,66.0,14.0,3.0,47.0,2.0,1.0,12.0,13.0,2.0,2.0,1.0,146.0,2.0,9.0,62.0,501.0,3.0,5.0,18.0,,10.0,191.0,41.0,,9.0,32.0,1.0,3.0,6.0,2.0,11.0,269.0,60.0,1.0,,9089,2.0,119.0,7.0,,141.0,7.0,13.0,12.0,68.0,,2.0,1.0,1.0,1.0,12.0,6.0,3.0,2.0,72.0,205.0,11.0,9.0,1.0,32.0,81.0,1.0,,0.0,6.0,1.0,2.0,1.0,,0.0,1.0,1.0,,2.0,34.9,8.0,1.0,5.0,2.0,1.0,2.0,37.0,7.0,2.0,295.0,10.0,13.0,12.0,3.0,27.0,1.0,2.0,172.0,2.0,4.0,31.0,49.0,20.0,2.0,32.0,25.0,1.0,6.0,3.0,18.0,2.0,7.0,7.0,1.0,2.0,,1.0,,,,,,1.0,3.0,,,,,,,,1.0,,2.0,,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,1.0,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
8,918966,2017-10-16 20:00:00,"King Power Stadium, Leicester",30203,Away,West Bromwich Albion,Leicester City,1,1,D,0,0,0,0,,78.0,,1.0,,,28.0,28.0,4.0,,1.0,2.0,,163.0,2.0,7.0,1.0,3.0,4.0,,1.0,89.0,171.0,55.0,5.0,,19.0,,,1.0,,2.0,13.0,8.0,,28.0,,4.0,38.0,155.0,1.0,,0.0,101.0,6.0,2.0,,,3.0,65.0,50.0,1.0,50.0,,,13.0,15.0,4.0,5.0,3.0,171.0,,8.0,76.0,579.0,3.0,12.0,7.0,,19.0,253.0,36.0,,7.0,20.0,,2.0,4.0,3.0,31.0,349.0,65.0,,,77777,,118.0,8.0,1.0,147.0,5.0,15.0,9.0,60.0,,,,1.0,,11.0,3.0,5.0,,75.0,271.0,13.0,14.0,1.0,35.0,83.0,,,0.0,4.0,1.0,,7.0,,0.0,2.0,,1.0,,43.0,15.0,,4.0,,,1.0,42.0,1.0,3.0,378.0,19.0,14.0,21.0,3.0,17.0,,,244.0,5.0,4.0,20.0,55.0,34.0,3.0,20.0,15.0,,3.0,2.0,14.0,3.0,5.0,1.0,,1.0,1.0,,1.0,,,1.0,,,4.0,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
9,918978,2017-10-21 17:30:00,"St. Mary's Stadium, Southampton",29947,Away,West Bromwich Albion,Southampton,0,1,L,0,0,0,0,,56.0,,2.0,,,25.0,31.0,5.0,1.0,2.0,5.0,1.0,155.0,2.0,1.0,,2.0,4.0,,2.0,51.0,153.0,40.0,7.0,1.0,20.0,1.0,,1.0,,2.0,17.0,7.0,1.0,31.0,3.0,2.0,29.0,127.0,1.0,,0.0,106.0,8.0,2.0,,1.0,1.0,69.0,55.0,1.0,51.0,4.0,1.0,14.0,19.0,5.0,9.0,3.0,153.0,1.0,11.0,50.0,482.0,4.0,12.0,8.0,1.0,12.0,191.0,29.0,,9.0,17.0,,1.0,3.0,3.0,16.0,278.0,60.0,1.0,,9089,1.0,81.0,4.0,,103.0,5.0,19.0,17.0,65.0,,1.0,,1.0,1.0,10.0,9.0,6.0,,70.0,206.0,10.0,17.0,,31.0,79.0,1.0,1.0,0.0,8.0,3.0,,4.0,,0.0,2.0,,,1.0,34.3,12.0,,5.0,,1.0,1.0,31.0,3.0,1.0,307.0,12.0,18.0,11.0,4.0,26.0,,1.0,221.0,5.0,1.0,20.0,59.0,16.0,2.0,17.0,10.0,,6.0,3.0,4.0,2.0,11.0,3.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
10,918992,2017-10-28 15:00:00,"The Hawthorns, West Bromwich",24003,Home,West Bromwich Albion,Manchester City,2,3,L,1,2,0,0,2.0,62.0,1.0,1.0,,,22.0,16.0,2.0,1.0,5.0,2.0,,125.0,2.0,12.0,2.0,2.0,4.0,,4.0,41.0,144.0,51.0,7.0,2.0,17.0,2.0,,,,,6.0,11.0,,16.0,1.0,,31.0,61.0,,,0.0,70.0,10.0,2.0,1.0,1.0,,27.0,30.0,3.0,34.0,5.0,,5.0,21.0,2.0,,,144.0,2.0,7.0,54.0,416.0,3.0,10.0,7.0,2.0,17.0,139.0,34.0,,4.0,8.0,1.0,2.0,2.0,1.0,17.0,230.0,50.0,1.0,,9089,4.0,92.0,4.0,,122.0,8.0,21.0,10.0,58.0,1.0,2.0,,5.0,2.0,11.0,8.0,5.0,1.0,69.0,151.0,7.0,15.0,,30.0,69.0,1.0,,0.0,2.0,1.0,2.0,3.0,,0.0,2.0,1.0,,3.0,21.7,13.0,1.0,2.0,,2.0,2.0,25.0,1.0,,254.0,17.0,13.0,16.0,1.0,15.0,,1.0,138.0,3.0,,12.0,27.0,16.0,2.0,8.0,21.0,,7.0,3.0,15.0,2.0,10.0,1.0,,,,1.0,,,,2.0,,2.0,1.0,,,,,,,,,,3.0,,2.0,,,1.0,,,1.0,,2.0,,2.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
