gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attObxLeft,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,saves,attFreekickTotal,attOboxBlocked,attIboxTarget,attOneOnOne,cleanSheet,divingSave,freekickTotal,errorLeadToShot,bigChanceMissed,attSetpiece,totalOffside,attFreekickTarget,savedIbox,attHdTotal,attHdMiss,blockedScoringAtt,savedObox,postScoringAtt,attIboxPost,attSvHighRight,attLgCentre,hitWoodwork,accurateThroughBall,totalPullBack,attMissHigh,attAssistSetplay,punches,attPostHigh,attBxLeft,clearanceOffLine,errorLeadToGoal,attCmissHigh,attFreekickMiss,goalAssistSetplay,goalAssistDeadball,midfielderGoals,sixYardBlock,attSvLowRight,attHdGoal,attGoalLowCentre,attHdTarget,defenderGoals,shotFastbreak,totalFastbreak,attSvHighLeft,attFastbreak,attGoalHighLeft,attGoalHighRight,attOboxGoal,attLgLeft,penaltyConceded,attOboxPost,penaltyFaced,penGoalsConceded,attHdPost,attPenTarget,accuratePullBack,attGoalHighCentre,attPostLeft,attPostRight,goalFastbreak,attLfGoal,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attCmissHighRight,penaltySave
1,755311,2014-08-16 15:00:00,"The Hawthorns, West Bromwich",25468,Home,West Bromwich Albion,Sunderland,2,2,D,1,1,0,0,1.0,1.0,1.0,2.0,49.0,1.0,1.0,27.0,15.0,5.0,4.0,2.0,185.0,4.0,5.0,2.0,3.0,8.0,1.0,5.0,90.0,158.0,48.0,10.0,15.0,1.0,1.0,1.0,1.0,1.0,2.0,30.0,11.0,3.0,15.0,6.0,14.0,14.0,222.0,1.0,1.0,0.0,166.0,18.0,1.0,2.0,1.0,56.0,68.0,3.0,70.0,1.0,1.0,24.0,14.0,9.0,3.0,158.0,1.0,1.0,4.0,94.0,628.0,7.0,8.0,11.0,338.0,14.0,1.0,5.0,9.0,1.0,1.0,3.0,3.0,5.0,24.0,420.0,80.0,1.0,91972,2.0,131.0,13.0,142.0,7.0,2.0,14.0,7.0,68.0,1.0,3.0,1.0,1.0,9.0,3.0,3.0,1.0,54.0,349.0,9.0,8.0,24.0,82.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,57.8,23.0,5.0,1.0,3.0,53.0,6.0,1.0,439.0,11.0,25.0,6.0,5.0,24.0,1.0,2.0,327.0,6.0,12.0,16.0,113.0,27.0,2.0,2.0,9.0,18.0,1.0,9.0,3.0,9.0,2.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755319,2014-08-23 15:00:00,"St. Mary's Stadium, Southampton",27598,Away,West Bromwich Albion,Southampton,0,0,D,0,0,0,0,,,,,61.0,,,29.0,17.0,4.0,1.0,2.0,161.0,8.0,5.0,,2.0,5.0,1.0,2.0,71.0,149.0,45.0,8.0,15.0,,1.0,,,1.0,2.0,23.0,16.0,1.0,17.0,5.0,9.0,13.0,149.0,,,0.0,103.0,15.0,1.0,1.0,2.0,75.0,62.0,2.0,54.0,1.0,2.0,18.0,17.0,4.0,2.0,149.0,1.0,,6.0,82.0,557.0,5.0,10.0,17.0,264.0,30.0,,7.0,9.0,,1.0,2.0,2.0,3.0,20.0,346.0,58.0,,91972,2.0,135.0,13.0,151.0,11.0,,17.0,8.0,54.0,2.0,1.0,,,13.0,3.0,5.0,,73.0,276.0,14.0,3.0,41.0,90.0,,0.0,1.0,1.0,,,3.0,0.0,6.0,,1.0,,42.4,15.0,3.0,,1.0,42.0,5.0,2.0,368.0,17.0,20.0,7.0,4.0,11.0,2.0,2.0,240.0,6.0,9.0,9.0,60.0,20.0,,2.0,9.0,19.0,,5.0,3.0,7.0,2.0,12.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755330,2014-08-30 15:00:00,"Swansea.com Stadium, Swansea",20318,Away,West Bromwich Albion,Swansea City,0,3,L,0,2,0,0,1.0,1.0,,,61.0,,,27.0,8.0,9.0,1.0,2.0,162.0,5.0,3.0,,4.0,11.0,,2.0,92.0,127.0,43.0,16.0,12.0,,1.0,,,1.0,3.0,22.0,14.0,2.0,8.0,7.0,12.0,22.0,199.0,,,0.0,129.0,8.0,,3.0,1.0,68.0,48.0,7.0,68.0,1.0,2.0,15.0,20.0,3.0,3.0,127.0,1.0,,8.0,119.0,610.0,9.0,5.0,15.0,350.0,24.0,,10.0,4.0,,,2.0,1.0,4.0,15.0,422.0,57.0,,91972,3.0,172.0,9.0,186.0,4.0,,20.0,7.0,42.0,2.0,5.0,,,8.0,7.0,5.0,,50.0,366.0,9.0,8.0,24.0,64.0,,0.0,2.0,,,3.0,1.0,0.0,1.0,,,1.0,44.1,9.0,3.0,,6.0,42.0,7.0,1.0,441.0,15.0,12.0,12.0,7.0,16.0,4.0,3.0,277.0,13.0,11.0,10.0,87.0,27.0,,3.0,4.0,21.0,2.0,9.0,3.0,7.0,3.0,12.0,7.0,2.0,4.0,1.0,5.0,,,,1.0,1.0,,1.0,3.0,1.0,,3.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755342,2014-09-13 15:00:00,"The Hawthorns, West Bromwich",23567,Home,West Bromwich Albion,Everton,0,2,L,0,1,0,0,2.0,,1.0,,54.0,,,40.0,10.0,6.0,3.0,2.0,151.0,6.0,4.0,,1.0,8.0,,3.0,110.0,152.0,54.0,13.0,16.0,,1.0,,,3.0,1.0,34.0,17.0,,10.0,9.0,7.0,25.0,181.0,,,0.0,131.0,12.0,,,1.0,60.0,58.0,7.0,61.0,2.0,,25.0,15.0,12.0,2.0,152.0,,1.0,2.0,109.0,623.0,8.0,10.0,19.0,324.0,24.0,,8.0,4.0,,,2.0,1.0,1.0,29.0,411.0,65.0,,91972,3.0,163.0,13.0,180.0,4.0,,15.0,6.0,50.0,,5.0,,,9.0,10.0,4.0,,80.0,338.0,10.0,11.0,38.0,81.0,1.0,0.0,2.0,1.0,,2.0,2.0,0.0,6.0,,,,45.5,24.0,5.0,,5.0,46.0,9.0,1.0,431.0,19.0,13.0,16.0,3.0,27.0,,1.0,285.0,10.0,7.0,20.0,76.0,19.0,,2.0,4.0,20.0,,11.0,3.0,5.0,2.0,9.0,9.0,3.0,3.0,2.0,4.0,3.0,,,3.0,2.0,,,,1.0,,1.0,,,7.0,2.0,,,,,,,1.0,2.0,,,,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755351,2014-09-21 13:30:00,"White Hart Lane, London",35861,Away,West Bromwich Albion,Tottenham Hotspur,1,0,W,0,0,0,0,,,1.0,1.0,55.0,1.0,,25.0,35.0,5.0,4.0,2.0,138.0,4.0,8.0,1.0,2.0,7.0,,4.0,65.0,133.0,45.0,10.0,15.0,,,,,1.0,,16.0,15.0,3.0,35.0,6.0,16.0,12.0,157.0,,,0.0,136.0,7.0,1.0,2.0,2.0,67.0,75.0,5.0,46.0,4.0,1.0,10.0,22.0,2.0,2.0,133.0,2.0,1.0,7.0,71.0,512.0,5.0,4.0,12.0,222.0,15.0,1.0,7.0,14.0,1.0,,2.0,2.0,2.0,15.0,292.0,68.0,1.0,91972,3.0,78.0,6.0,90.0,3.0,,22.0,12.0,50.0,2.0,4.0,,,9.0,,3.0,,77.0,231.0,11.0,15.0,39.0,86.0,,0.0,2.0,9.0,1.0,,3.0,0.0,2.0,1.0,2.0,,38.2,9.0,8.0,,4.0,33.0,7.0,2.0,320.0,12.0,9.0,8.0,4.0,16.0,2.0,2.0,246.0,3.0,14.0,9.0,84.0,20.0,,8.0,14.0,17.0,,4.0,1.0,12.0,8.0,18.0,7.0,2.0,1.0,,,,,1.0,,,,1.0,,2.0,,1.0,2.0,1.0,2.0,,,,,,,2.0,,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755362,2014-09-28 16:00:00,"The Hawthorns, West Bromwich",24286,Home,West Bromwich Albion,Burnley,4,0,W,2,0,0,0,,,,1.0,63.0,2.0,1.0,25.0,25.0,11.0,5.0,1.0,203.0,6.0,14.0,4.0,1.0,14.0,1.0,6.0,144.0,138.0,51.0,20.0,20.0,,2.0,3.0,2.0,1.0,1.0,29.0,7.0,1.0,25.0,7.0,14.0,30.0,285.0,1.0,,0.0,195.0,7.0,,,1.0,94.0,85.0,10.0,115.0,,3.0,22.0,16.0,3.0,3.0,138.0,1.0,,3.0,157.0,817.0,9.0,6.0,21.0,517.0,25.0,,3.0,12.0,4.0,3.0,1.0,3.0,4.0,20.0,598.0,64.0,,91972,2.0,251.0,19.0,266.0,2.0,2.0,16.0,7.0,37.0,4.0,3.0,,2.0,10.0,7.0,2.0,,62.0,530.0,9.0,3.0,29.0,93.0,1.0,0.0,2.0,2.0,4.0,,2.0,0.0,2.0,4.0,1.0,,62.7,16.0,4.0,1.0,3.0,46.0,10.0,1.0,619.0,21.0,1.0,15.0,6.0,13.0,4.0,3.0,382.0,12.0,13.0,19.0,155.0,25.0,2.0,4.0,12.0,10.0,,16.0,3.0,21.0,4.0,6.0,11.0,1.0,2.0,1.0,7.0,1.0,,1.0,1.0,1.0,,,,2.0,,1.0,3.0,,8.0,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,,,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,755367,2014-10-04 15:00:00,"Anfield, Liverpool",44708,Away,West Bromwich Albion,Liverpool,1,2,L,0,1,0,0,,2.0,1.0,1.0,68.0,,,25.0,26.0,5.0,2.0,1.0,160.0,4.0,4.0,1.0,3.0,6.0,,4.0,90.0,154.0,56.0,8.0,13.0,,,1.0,,,,21.0,22.0,2.0,26.0,4.0,16.0,19.0,150.0,1.0,1.0,0.0,123.0,15.0,1.0,2.0,2.0,58.0,78.0,3.0,46.0,1.0,2.0,17.0,11.0,8.0,3.0,154.0,1.0,,10.0,75.0,574.0,6.0,7.0,14.0,256.0,24.0,,10.0,14.0,,1.0,2.0,6.0,3.0,16.0,342.0,59.0,1.0,91972,3.0,127.0,7.0,139.0,8.0,1.0,11.0,12.0,52.0,,7.0,,,17.0,9.0,6.0,1.0,71.0,273.0,12.0,10.0,42.0,85.0,,0.0,2.0,5.0,1.0,2.0,1.0,0.0,4.0,,2.0,,45.7,14.0,4.0,,7.0,40.0,5.0,3.0,371.0,14.0,13.0,13.0,4.0,18.0,,1.0,253.0,4.0,13.0,12.0,71.0,27.0,1.0,2.0,14.0,28.0,2.0,5.0,3.0,7.0,2.0,7.0,5.0,,5.0,,,1.0,,,2.0,,,1.0,,2.0,,3.0,2.0,1.0,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,755382,2014-10-20 20:00:00,"The Hawthorns, West Bromwich",25794,Home,West Bromwich Albion,Manchester United,2,2,D,1,0,0,0,1.0,1.0,,1.0,52.0,,1.0,24.0,55.0,4.0,3.0,,151.0,2.0,4.0,2.0,2.0,7.0,,2.0,80.0,121.0,27.0,8.0,14.0,,1.0,,2.0,,,7.0,9.0,,55.0,,20.0,11.0,104.0,1.0,,0.0,97.0,6.0,,1.0,5.0,58.0,30.0,4.0,64.0,4.0,1.0,7.0,14.0,1.0,3.0,121.0,1.0,1.0,11.0,64.0,558.0,4.0,4.0,17.0,265.0,25.0,,8.0,26.0,2.0,,1.0,7.0,3.0,15.0,332.0,45.0,1.0,91972,2.0,173.0,5.0,187.0,2.0,2.0,14.0,12.0,45.0,3.0,4.0,,2.0,7.0,11.0,4.0,,72.0,275.0,7.0,7.0,37.0,83.0,,0.0,2.0,11.0,1.0,2.0,1.0,0.0,2.0,2.0,,,37.3,11.0,5.0,,4.0,29.0,,5.0,359.0,17.0,12.0,8.0,4.0,10.0,,1.0,179.0,4.0,19.0,3.0,57.0,12.0,1.0,7.0,26.0,13.0,1.0,7.0,1.0,11.0,7.0,8.0,,1.0,5.0,,1.0,,1.0,,2.0,,1.0,,1.0,,,3.0,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
9,755391,2014-10-25 15:00:00,"The Hawthorns, West Bromwich",24738,Home,West Bromwich Albion,Crystal Palace,2,2,D,0,2,0,0,,1.0,1.0,1.0,66.0,1.0,1.0,20.0,28.0,8.0,5.0,1.0,208.0,5.0,1.0,2.0,6.0,13.0,,4.0,131.0,156.0,46.0,17.0,19.0,,1.0,1.0,,,2.0,31.0,13.0,2.0,28.0,5.0,25.0,13.0,268.0,1.0,1.0,0.0,186.0,14.0,,2.0,,82.0,54.0,6.0,86.0,,1.0,26.0,11.0,4.0,3.0,156.0,,,5.0,135.0,760.0,10.0,8.0,16.0,455.0,25.0,3.0,11.0,20.0,1.0,1.0,3.0,2.0,7.0,25.0,544.0,92.0,,91972,5.0,203.0,20.0,212.0,8.0,1.0,11.0,4.0,58.0,2.0,8.0,2.0,,14.0,3.0,2.0,1.0,53.0,466.0,8.0,7.0,35.0,78.0,,0.0,1.0,3.0,2.0,2.0,3.0,0.0,4.0,1.0,1.0,,68.8,25.0,7.0,,8.0,54.0,6.0,,560.0,16.0,19.0,7.0,9.0,23.0,1.0,5.0,379.0,11.0,24.0,23.0,120.0,24.0,1.0,2.0,20.0,14.0,2.0,11.0,2.0,2.0,2.0,4.0,6.0,1.0,4.0,1.0,3.0,,,,1.0,1.0,,,1.0,1.0,,2.0,1.0,,4.0,2.0,1.0,,,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10,755399,2014-11-01 15:00:00,"King Power Stadium, Leicester",31819,Away,West Bromwich Albion,Leicester City,1,0,W,0,0,0,0,,2.0,,,70.0,,,27.0,56.0,5.0,1.0,3.0,160.0,1.0,5.0,1.0,,7.0,1.0,3.0,80.0,172.0,51.0,8.0,30.0,,1.0,1.0,,1.0,,9.0,15.0,3.0,56.0,3.0,9.0,10.0,136.0,,,0.0,118.0,12.0,2.0,,1.0,72.0,43.0,5.0,51.0,3.0,1.0,6.0,32.0,,,172.0,,1.0,11.0,81.0,596.0,6.0,6.0,21.0,249.0,27.0,,9.0,34.0,,1.0,1.0,2.0,2.0,22.0,345.0,80.0,,91972,2.0,122.0,6.0,149.0,7.0,,32.0,14.0,75.0,2.0,6.0,,,7.0,3.0,1.0,,88.0,257.0,5.0,13.0,52.0,85.0,,0.0,2.0,8.0,1.0,,2.0,0.0,,,1.0,,44.2,10.0,4.0,,6.0,30.0,3.0,1.0,372.0,21.0,20.0,7.0,2.0,13.0,1.0,2.0,232.0,6.0,8.0,19.0,64.0,23.0,,4.0,34.0,22.0,,7.0,3.0,7.0,4.0,15.0,3.0,1.0,5.0,,2.0,,,1.0,,,1.0,,,6.0,,5.0,1.0,1.0,3.0,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
