gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowRight,attLfGoal,attRfTarget,accurateCross,goals,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attGoalHighRight,attOboxTarget,attOboxGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,interceptionsInBox,hitWoodwork,goalAssist,errorLeadToShot,goalsOpenplay,attFastbreak,attFreekickGoal,accurateCrossNocorner,totalHighClaim,ptsDroppedWinningPos,bigChanceScored,attGoalLowLeft,goalAssistSetplay,accuratePullBack,attMissLeft,attMissHighRight,goodHighClaim,bigChanceCreated,accurateFreekickCross,attRfGoal,totalPullBack,totalThroughBall,defenderGoals,attCorner,attCmissLeft,punches,overrun,attIboxGoal,goalAssistIntentional,accurateCornersIntobox,forwardGoals,attBxRight,accurateKeeperSweeper,totalKeeperSweeper,attAssistSetplay,attSvHighCentre,attSvHighRight,cleanSheet,contentiousDecision,attHdTarget,accurateThroughBall,sixYardBlock,attCmissHighLeft,attHdTotal,postScoringAtt,ptsGainedLosingPos,attGoalHighCentre,attPostLeft,ownGoals,attOboxPost,attIboxOwnGoal,attLgCentre,foulThrowIn,attHdMiss,clearanceOffLine,bigChanceMissed,attIboxPost,attCmissHigh,attPostHigh,attHdPost,attCmissHighRight,attGoalLowCentre,winningGoal,keeperGoals,subsGoals,attPenGoal,attGoalHighLeft,attObpGoal,attHdGoal,attFreekickTarget,attOboxOwnGoal,errorLeadToGoal,penaltyWon,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attOneOnOne,goalAssistDeadball,attSvHighLeft,attFreekickMiss,penaltySave,attFreekickPost,attObxdRight,attObxRight
11,2128394,2020-12-06 12:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Crystal Palace,1,5,L,1,1,1,0,,1.0,33.0,45.0,1.0,1.0,25.0,14.0,2.0,1.0,7.0,2.0,143.0,15.0,9.0,2.0,8.0,,4.0,137.0,106.0,58.0,,9.0,,11.0,2.0,14.0,7.0,14.0,4.0,10.0,20.0,207.0,0.0,95.0,10.0,81.0,53.0,4.0,88.0,,10.0,19.0,2.0,,3.0,1.0,106.0,15.0,127.0,663.0,6.0,5.0,18.0,4.0,406.0,18.0,,3.0,9.0,2.0,7.0,4.0,14.0,466.0,31.0,78356,4.0,226.0,6.0,,,245.0,7.0,19.0,6.0,44.0,2.0,4.0,11.0,4.0,4.0,,42.0,429.0,16.0,9.0,14.0,61.0,,0.0,6.0,2.0,5.0,,1.0,1.0,50.1,13.0,4.0,2.0,4.0,1.0,49.0,4.0,,495.0,,4.0,9.0,14.0,4.0,22.0,2.0,264.0,5.0,10.0,18.0,67.0,19.0,,9.0,15.0,5.0,7.0,3.0,14.0,,9.0,4.0,,1.0,,1.0,4.0,1.0,,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,3.0,,,,,,1.0,1.0,2.0,,,,1.0,3.0,,,2.0,,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,3.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,2128403,2020-12-12 15:00:00,"St. James' Park, Newcastle",,Away,West Bromwich Albion,Newcastle United,1,2,L,0,1,0,0,,,30.0,54.0,2.0,2.0,27.0,13.0,9.0,1.0,4.0,4.0,176.0,11.0,6.0,2.0,9.0,1.0,3.0,122.0,145.0,49.0,1.0,13.0,4.0,20.0,,24.0,11.0,13.0,3.0,9.0,31.0,230.0,0.0,145.0,12.0,85.0,81.0,7.0,74.0,1.0,21.0,12.0,9.0,1.0,7.0,3.0,145.0,9.0,112.0,660.0,7.0,10.0,10.0,5.0,380.0,17.0,,8.0,8.0,3.0,5.0,2.0,22.0,466.0,69.0,78356,3.0,164.0,13.0,1.0,,184.0,6.0,12.0,5.0,46.0,2.0,6.0,19.0,3.0,1.0,2.0,51.0,392.0,9.0,7.0,18.0,80.0,,0.0,4.0,3.0,2.0,3.0,0.0,,54.7,20.0,4.0,,6.0,6.0,52.0,3.0,,484.0,,5.0,3.0,17.0,4.0,34.0,1.0,324.0,12.0,8.0,18.0,100.0,26.0,1.0,8.0,18.0,2.0,10.0,3.0,10.0,1.0,5.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,,0.0,2.0,0.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,0.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,2.0,,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.0,,0.0,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
13,2128415,2020-12-15 20:00:00,"Etihad Stadium, Manchester",,Away,West Bromwich Albion,Manchester City,1,1,D,1,1,0,0,,,36.0,44.0,2.0,,20.0,31.0,2.0,,3.0,7.0,112.0,17.0,6.0,1.0,2.0,1.0,1.0,38.0,120.0,38.0,,5.0,,19.0,1.0,5.0,8.0,31.0,1.0,1.0,30.0,63.0,0.0,52.0,8.0,18.0,50.0,,36.0,1.0,4.0,14.0,2.0,,,2.0,120.0,17.0,38.0,380.0,2.0,8.0,6.0,12.0,122.0,24.0,,4.0,16.0,3.0,8.0,2.0,12.0,191.0,34.0,78356,3.0,72.0,3.0,1.0,,98.0,5.0,14.0,16.0,47.0,2.0,3.0,12.0,9.0,7.0,,63.0,133.0,5.0,9.0,17.0,56.0,1.0,0.0,13.0,4.0,1.0,6.0,0.0,,22.8,11.0,1.0,,3.0,,15.0,2.0,,224.0,,12.0,6.0,8.0,4.0,8.0,2.0,131.0,4.0,1.0,15.0,19.0,9.0,3.0,16.0,13.0,1.0,3.0,3.0,11.0,3.0,8.0,2.0,,,,1.0,2.0,1.0,,,,,,,,2.0,,,,1.0,4.0,,,,,,,2.0,1.0,,,,,,3.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2128425,2020-12-20 19:15:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Aston Villa,0,3,L,0,1,1,0,,,24.0,58.0,2.0,,18.0,26.0,1.0,,,7.0,138.0,8.0,9.0,4.0,,,1.0,44.0,135.0,50.0,1.0,1.0,,29.0,,10.0,9.0,26.0,1.0,7.0,31.0,82.0,0.0,81.0,14.0,24.0,62.0,,53.0,,9.0,14.0,1.0,1.0,1.0,,135.0,11.0,47.0,442.0,,7.0,6.0,16.0,177.0,29.0,,5.0,9.0,1.0,2.0,,11.0,249.0,64.0,78356,,109.0,5.0,,1.0,126.0,9.0,14.0,12.0,68.0,1.0,2.0,12.0,8.0,5.0,,69.0,190.0,7.0,14.0,19.0,81.0,,0.0,7.0,5.0,3.0,4.0,1.0,,32.7,3.0,2.0,,3.0,,24.0,1.0,1.0,282.0,1.0,16.0,4.0,7.0,,11.0,,166.0,1.0,7.0,19.0,35.0,14.0,2.0,9.0,15.0,2.0,,3.0,16.0,2.0,11.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,4.0,,,,3.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
15,2128431,2020-12-27 16:30:00,"Anfield, Liverpool",2000.0,Away,West Bromwich Albion,Liverpool,1,1,D,0,1,0,0,1.0,2.0,34.0,60.0,,,17.0,40.0,2.0,3.0,3.0,1.0,113.0,14.0,3.0,,4.0,,3.0,32.0,145.0,39.0,,5.0,1.0,26.0,1.0,14.0,10.0,40.0,2.0,2.0,41.0,75.0,0.0,76.0,5.0,25.0,67.0,3.0,37.0,1.0,12.0,20.0,2.0,,4.0,,145.0,8.0,31.0,404.0,3.0,6.0,9.0,13.0,112.0,38.0,,2.0,21.0,1.0,4.0,1.0,15.0,181.0,46.0,78356,2.0,49.0,8.0,,,71.0,3.0,20.0,15.0,49.0,5.0,1.0,14.0,9.0,5.0,,62.0,121.0,8.0,8.0,11.0,63.0,1.0,0.0,8.0,1.0,1.0,,0.0,,21.6,6.0,1.0,1.0,1.0,1.0,21.0,3.0,,213.0,,13.0,7.0,13.0,1.0,15.0,1.0,156.0,1.0,2.0,13.0,38.0,13.0,2.0,21.0,15.0,1.0,4.0,3.0,7.0,2.0,9.0,3.0,,,,,3.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,3.0,,1.0,,,1.0,,3.0,3.0,,1.0,1.0,1.0,,,,3.0,2.0,,,,1.0,1.0,1.0,,,3.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
16,2128445,2020-12-29 18:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Leeds United,0,5,L,0,4,0,0,1.0,1.0,30.0,60.0,2.0,,23.0,24.0,2.0,1.0,2.0,2.0,122.0,14.0,3.0,2.0,1.0,,1.0,36.0,132.0,41.0,,4.0,1.0,26.0,1.0,17.0,6.0,24.0,3.0,3.0,37.0,64.0,0.0,88.0,7.0,30.0,45.0,1.0,36.0,,14.0,12.0,2.0,,3.0,1.0,132.0,8.0,44.0,402.0,1.0,6.0,10.0,11.0,144.0,25.0,,7.0,15.0,0.0,5.0,,17.0,213.0,53.0,78356,1.0,92.0,9.0,,,106.0,,12.0,7.0,58.0,1.0,4.0,13.0,7.0,2.0,1.0,64.0,155.0,10.0,14.0,25.0,56.0,,0.0,10.0,,5.0,1.0,0.0,,24.4,11.0,4.0,,4.0,1.0,18.0,3.0,,238.0,,11.0,11.0,12.0,2.0,27.0,1.0,149.0,3.0,2.0,18.0,43.0,22.0,1.0,15.0,10.0,2.0,4.0,3.0,5.0,1.0,6.0,3.0,3.0,,,,1.0,,,,1.0,,,,,1.0,,,,2.0,2.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
17,2128455,2021-01-02 20:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Arsenal,0,4,L,0,2,0,0,,1.0,35.0,60.0,,,31.0,19.0,3.0,1.0,4.0,8.0,154.0,16.0,10.0,,7.0,1.0,3.0,54.0,149.0,54.0,,7.0,1.0,15.0,1.0,21.0,7.0,19.0,2.0,6.0,43.0,182.0,0.0,137.0,7.0,87.0,57.0,4.0,78.0,2.0,19.0,19.0,3.0,,11.0,,149.0,17.0,88.0,570.0,6.0,15.0,12.0,20.0,262.0,19.0,,5.0,9.0,1.0,3.0,3.0,18.0,351.0,67.0,78356,3.0,100.0,7.0,,,119.0,6.0,19.0,10.0,48.0,3.0,5.0,16.0,4.0,6.0,1.0,66.0,278.0,4.0,12.0,18.0,66.0,1.0,0.0,5.0,8.0,4.0,5.0,0.0,,38.1,15.0,10.0,,5.0,1.0,31.0,3.0,,374.0,,20.0,8.0,18.0,3.0,28.0,3.0,276.0,4.0,6.0,27.0,90.0,22.0,1.0,9.0,13.0,4.0,6.0,3.0,16.0,1.0,11.0,3.0,,,,2.0,4.0,,1.0,,2.0,,,2.0,,4.0,1.0,,,1.0,5.0,,,1.0,,1.0,,3.0,1.0,,,,,,,,1.0,2.0,1.0,,1.0,1.0,,1.0,,2.0,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2128462,2021-01-19 18:00:00,"London Stadium, London",,Away,West Bromwich Albion,West Ham United,1,2,L,0,1,0,0,,,25.0,68.0,1.0,,33.0,23.0,4.0,4.0,2.0,4.0,169.0,13.0,3.0,1.0,5.0,,2.0,76.0,138.0,47.0,,6.0,,22.0,1.0,16.0,11.0,23.0,1.0,2.0,55.0,152.0,0.0,130.0,10.0,50.0,66.0,2.0,56.0,,15.0,13.0,4.0,,3.0,3.0,138.0,8.0,74.0,536.0,4.0,6.0,17.0,8.0,263.0,32.0,2.0,7.0,8.0,1.0,3.0,3.0,17.0,352.0,78.0,61600,2.0,121.0,12.0,,,150.0,3.0,13.0,6.0,48.0,,5.0,8.0,6.0,1.0,,81.0,271.0,9.0,12.0,24.0,68.0,,0.0,3.0,3.0,2.0,,0.0,,41.0,12.0,3.0,,6.0,,30.0,1.0,,375.0,,8.0,1.0,22.0,4.0,29.0,1.0,241.0,2.0,2.0,16.0,71.0,25.0,2.0,8.0,19.0,2.0,5.0,2.0,7.0,2.0,6.0,1.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2128475,2021-01-16 12:30:00,"Molineux Stadium, Wolverhampton",,Away,West Bromwich Albion,Wolverhampton Wanderers,3,2,W,1,2,0,0,,2.0,30.0,56.0,3.0,1.0,15.0,32.0,4.0,5.0,8.0,4.0,136.0,15.0,3.0,2.0,7.0,,5.0,42.0,129.0,52.0,,12.0,1.0,31.0,1.0,6.0,10.0,32.0,,,25.0,99.0,0.0,81.0,14.0,34.0,59.0,4.0,41.0,1.0,6.0,18.0,4.0,,1.0,2.0,129.0,15.0,51.0,452.0,6.0,4.0,18.0,7.0,169.0,27.0,,2.0,16.0,1.0,7.0,3.0,25.0,244.0,39.0,61600,6.0,82.0,5.0,2.0,,104.0,8.0,18.0,12.0,75.0,2.0,1.0,9.0,8.0,5.0,1.0,56.0,181.0,8.0,18.0,22.0,69.0,1.0,0.0,11.0,1.0,2.0,2.0,0.0,,32.2,15.0,6.0,,1.0,2.0,26.0,,,270.0,,7.0,6.0,11.0,5.0,13.0,3.0,172.0,5.0,,22.0,53.0,15.0,2.0,16.0,19.0,2.0,7.0,2.0,9.0,2.0,9.0,,,1.0,2.0,,,3.0,2.0,,,,,1.0,,2.0,2.0,2.0,1.0,,1.0,,1.0,,,2.0,,,,,2.0,2.0,1.0,,3.0,,,1.0,,,1.0,,1.0,,,2.0,1.0,3.0,1.0,,,1.0,,,,,,,1.0,,,,,2.0,,3.0,,,,,,,,1.0,,1.0,,,,,,,,,,2.0,,,1.0,,,,2.0,,,,,,,,,,,,
20,2128480,2021-01-26 20:15:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Manchester City,0,5,L,0,4,0,0,,,23.0,49.0,1.0,1.0,21.0,24.0,,,4.0,2.0,111.0,11.0,3.0,1.0,2.0,,1.0,36.0,115.0,32.0,,4.0,,27.0,1.0,10.0,6.0,24.0,2.0,,38.0,66.0,0.0,70.0,8.0,21.0,58.0,,44.0,,8.0,6.0,,,3.0,,115.0,12.0,56.0,391.0,1.0,11.0,10.0,14.0,150.0,27.0,1.0,3.0,15.0,2.0,7.0,2.0,17.0,225.0,37.0,61600,3.0,99.0,3.0,,,125.0,6.0,6.0,6.0,59.0,,3.0,8.0,6.0,2.0,,59.0,163.0,7.0,16.0,22.0,53.0,,0.0,8.0,1.0,5.0,4.0,0.0,,22.3,11.0,3.0,,3.0,1.0,19.0,3.0,,247.0,,14.0,5.0,20.0,2.0,16.0,2.0,132.0,4.0,,10.0,38.0,13.0,2.0,15.0,13.0,4.0,1.0,3.0,6.0,2.0,3.0,3.0,1.0,,,1.0,2.0,,,,1.0,,,,,1.0,,,,2.0,5.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,2128494,2021-01-30 15:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Fulham,2,2,D,0,1,0,0,,1.0,32.0,74.0,2.0,,24.0,20.0,1.0,3.0,4.0,5.0,163.0,12.0,8.0,,4.0,1.0,3.0,67.0,165.0,50.0,,5.0,,36.0,1.0,17.0,7.0,20.0,2.0,1.0,46.0,105.0,0.0,124.0,9.0,51.0,50.0,2.0,56.0,1.0,15.0,15.0,1.0,,6.0,1.0,165.0,8.0,50.0,504.0,3.0,6.0,14.0,14.0,202.0,28.0,,7.0,9.0,1.0,2.0,2.0,19.0,311.0,81.0,61600,2.0,116.0,9.0,,,135.0,7.0,7.0,7.0,63.0,1.0,4.0,15.0,4.0,4.0,,77.0,215.0,9.0,10.0,32.0,80.0,,0.0,3.0,3.0,2.0,1.0,0.0,,37.5,11.0,5.0,1.0,4.0,,26.0,2.0,,336.0,,14.0,5.0,16.0,2.0,28.0,1.0,218.0,2.0,1.0,20.0,53.0,33.0,1.0,9.0,13.0,2.0,4.0,3.0,11.0,1.0,7.0,2.0,,,1.0,,6.0,2.0,,1.0,1.0,,1.0,,,3.0,,,,,2.0,,1.0,1.0,2.0,,,5.0,1.0,2.0,2.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3247,1.0982,0.301967,0.980432,,,,,,,,
22,2128501,2021-02-02 18:00:00,"Bramall Lane, Sheffield",,Away,West Bromwich Albion,Sheffield United,1,2,L,1,0,0,0,,2.0,37.0,57.0,3.0,1.0,24.0,25.0,1.0,6.0,7.0,4.0,143.0,18.0,2.0,2.0,4.0,1.0,4.0,49.0,149.0,60.0,,8.0,1.0,27.0,3.0,17.0,11.0,25.0,2.0,3.0,38.0,99.0,0.0,95.0,9.0,51.0,51.0,2.0,33.0,1.0,15.0,13.0,1.0,,11.0,,149.0,9.0,43.0,464.0,4.0,10.0,23.0,12.0,163.0,25.0,,2.0,16.0,1.0,4.0,2.0,18.0,243.0,59.0,61600,2.0,79.0,3.0,3.0,,102.0,5.0,13.0,10.0,66.0,3.0,4.0,14.0,5.0,6.0,,66.0,174.0,11.0,10.0,18.0,66.0,,0.0,9.0,1.0,2.0,4.0,0.0,,31.7,14.0,2.0,3.0,4.0,2.0,24.0,2.0,,268.0,,12.0,9.0,14.0,2.0,31.0,2.0,183.0,2.0,2.0,30.0,44.0,22.0,2.0,16.0,18.0,2.0,5.0,3.0,13.0,2.0,6.0,2.0,,1.0,,1.0,4.0,1.0,,,3.0,,,,,2.0,,1.0,,1.0,4.0,,,,1.0,,,4.0,,3.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
23,2128514,2021-02-07 12:00:00,"Tottenham Hotspur Stadium, London",,Away,West Bromwich Albion,Tottenham Hotspur,0,2,L,0,0,0,0,,,35.0,60.0,1.0,,26.0,30.0,,,4.0,4.0,120.0,18.0,3.0,2.0,4.0,1.0,1.0,68.0,128.0,68.0,,4.0,,14.0,1.0,11.0,14.0,30.0,,2.0,44.0,90.0,0.0,73.0,12.0,45.0,46.0,1.0,62.0,1.0,11.0,17.0,,,7.0,,128.0,9.0,53.0,492.0,3.0,7.0,15.0,5.0,203.0,31.0,1.0,2.0,15.0,2.0,3.0,3.0,16.0,275.0,49.0,61600,4.0,134.0,3.0,2.0,,152.0,4.0,17.0,8.0,53.0,4.0,7.0,13.0,4.0,2.0,1.0,65.0,218.0,16.0,10.0,20.0,60.0,,0.0,8.0,3.0,2.0,2.0,0.0,,34.4,14.0,2.0,,7.0,,21.0,,,303.0,,5.0,5.0,24.0,3.0,17.0,3.0,162.0,,1.0,25.0,41.0,19.0,2.0,15.0,24.0,2.0,2.0,3.0,15.0,2.0,11.0,,,,,,6.0,,,,,,,,,4.0,,,1.0,1.0,,,,,,,,6.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,1.0,,,,,1.0,,,,3.0,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2128524,2021-02-14 14:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Manchester United,1,1,D,1,1,0,0,1.0,,28.0,60.0,3.0,,19.0,29.0,1.0,1.0,6.0,5.0,121.0,15.0,6.0,1.0,7.0,,3.0,51.0,124.0,42.0,,7.0,,20.0,2.0,15.0,7.0,29.0,2.0,2.0,28.0,92.0,0.0,74.0,13.0,45.0,41.0,3.0,37.0,2.0,13.0,23.0,1.0,,4.0,1.0,124.0,6.0,44.0,432.0,5.0,5.0,11.0,12.0,157.0,37.0,,6.0,12.0,5.0,4.0,4.0,11.0,227.0,46.0,61600,4.0,79.0,8.0,1.0,,104.0,4.0,23.0,4.0,52.0,2.0,2.0,11.0,4.0,,2.0,72.0,166.0,10.0,10.0,39.0,62.0,,0.0,5.0,3.0,1.0,1.0,0.0,,26.9,8.0,2.0,1.0,3.0,,22.0,4.0,,253.0,,12.0,7.0,12.0,4.0,22.0,3.0,164.0,3.0,1.0,14.0,40.0,10.0,2.0,12.0,14.0,1.0,6.0,3.0,9.0,2.0,15.0,4.0,,,,1.0,5.0,1.0,,1.0,1.0,,,,,3.0,,,,1.0,7.0,,1.0,,1.0,,,4.0,,2.0,,,,,,,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,3.0,,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
25,2128529,2021-02-20 15:00:00,"Turf Moor, Burnley",,Away,West Bromwich Albion,Burnley,0,0,D,0,0,1,0,1.0,3.0,24.0,59.0,,,25.0,24.0,7.0,9.0,3.0,1.0,143.0,16.0,6.0,4.0,8.0,,3.0,43.0,151.0,65.0,2.0,10.0,1.0,22.0,1.0,12.0,10.0,24.0,4.0,1.0,34.0,82.0,0.0,88.0,10.0,56.0,21.0,2.0,27.0,,9.0,13.0,7.0,2.0,,4.0,151.0,4.0,54.0,436.0,7.0,8.0,11.0,10.0,147.0,30.0,2.0,6.0,10.0,0.0,1.0,5.0,19.0,230.0,49.0,61600,2.0,78.0,6.0,1.0,,103.0,4.0,13.0,11.0,53.0,3.0,3.0,6.0,2.0,4.0,1.0,79.0,160.0,15.0,5.0,33.0,73.0,1.0,0.0,5.0,1.0,,3.0,1.0,3.0,37.9,13.0,,,3.0,1.0,24.0,5.0,,267.0,,10.0,9.0,17.0,6.0,20.0,1.0,176.0,1.0,1.0,28.0,43.0,18.0,3.0,10.0,16.0,,7.0,1.0,14.0,3.0,7.0,5.0,,,,,,,1.0,,1.0,,,2.0,,,1.0,,,3.0,2.0,1.0,,,,1.0,,,1.0,,,,,,2.0,,1.0,3.0,,,,,,,2.0,3.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,,2.0,,1.0,,,,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
26,2128545,2021-02-27 15:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Brighton and Hove Albion,1,0,W,1,0,0,0,2.0,,32.0,56.0,2.0,1.0,12.0,16.0,2.0,1.0,4.0,6.0,121.0,21.0,8.0,2.0,4.0,,2.0,36.0,154.0,53.0,,6.0,,14.0,1.0,12.0,5.0,16.0,6.0,4.0,27.0,82.0,0.0,89.0,11.0,41.0,29.0,3.0,32.0,,6.0,16.0,2.0,,,2.0,154.0,10.0,41.0,424.0,2.0,6.0,11.0,14.0,132.0,29.0,1.0,3.0,10.0,0.0,2.0,1.0,28.0,202.0,55.0,61600,1.0,63.0,5.0,1.0,2.0,86.0,6.0,16.0,9.0,51.0,1.0,5.0,17.0,5.0,3.0,,61.0,142.0,11.0,8.0,25.0,59.0,1.0,0.0,4.0,4.0,,2.0,0.0,,29.9,12.0,4.0,,5.0,1.0,17.0,7.0,2.0,230.0,,14.0,10.0,8.0,3.0,26.0,1.0,156.0,3.0,3.0,21.0,46.0,12.0,1.0,10.0,13.0,,4.0,3.0,19.0,1.0,9.0,7.0,,,,1.0,3.0,1.0,,,,,,,,3.0,,,,1.0,4.0,,1.0,,,,,2.0,1.0,,,,1.0,,2.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
