gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attOboxBlocked,postScoringAtt,accurateKeeperSweeper,attIboxPost,attOboxGoal,goodHighClaim,attMissRight,contentiousDecision,attHdTarget,hitWoodwork,totalKeeperSweeper,errorLeadToShot,attSetpiece,ownGoals,accurateKeeperThrows,attAssistSetplay,keeperThrows,totalHighClaim,attPostRight,attIboxOwnGoal,goalsConcededIbox,goalAssistDeadball,attLfGoal,accuratePullBack,attCmissRight,attFreekickTotal,attBxRight,attMissHighRight,attSvHighLeft,attSvLowLeft,freekickTotal,attGoalHighCentre,accurateFreekickCross,foulThrowIn,attObxRight,attSvHighCentre,attHdGoal,attCmissHigh,attSvLowRight,attCmissLeft,punches,attObxLeft,attLgLeft,errorLeadToGoal,attSvHighRight,attPostLeft,attObxdRight,sixYardBlock,attFreekickTarget,cleanSheet,penaltyWon,attLgCentre,attPenGoal,attGoalHighLeft,attGoalLowRight,attGoalHighRight,attMissHighLeft,forwardGoals,secondYellow,shotFastbreak,totalFastbreak,attFastbreak,attFreekickMiss,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,attHdPost,attPostHigh,attOboxPost,attCmissHighRight,attPenTarget,attFreekickGoal
1,803163,2015-08-08 15:00:00,"Carrow Road, Norwich",27036,Away,Crystal Palace,Norwich City,3,1,W,1,0,0,0,1.0,2.0,1.0,3.0,49.0,2.0,2.0,2.0,1.0,21.0,34.0,3.0,1.0,4.0,3.0,123.0,1.0,5.0,10.0,3.0,3.0,10.0,7.0,56.0,124.0,46.0,11.0,10.0,2.0,2.0,4.0,1.0,18.0,14.0,2.0,28.0,3.0,12.0,15.0,1.0,136.0,0.0,116.0,20.0,2.0,2.0,2.0,48.0,59.0,8.0,44.0,2.0,15.0,8.0,2.0,1.0,118.0,4.0,6.0,49.0,450.0,7.0,10.0,12.0,184.0,20.0,6.0,16.0,3.0,0.0,3.0,2.0,19.0,236.0,47.0,2.0,82403,3.0,69.0,1.0,11.0,83.0,11.0,3.0,1.0,8.0,11.0,50.0,2.0,1.0,2.0,2.0,6.0,11.0,4.0,1.0,62.0,200.0,14.0,3.0,29.0,56.0,0.0,1.0,1.0,3.0,3.0,1.0,4.0,0.0,4.0,3.0,1.0,1.0,37.1,15.0,1.0,2.0,1.0,2.0,1.0,24.0,4.0,272.0,12.0,13.0,8.0,2.0,23.0,1.0,1.0,207.0,9.0,10.0,8.0,82.0,21.0,1.0,15.0,14.0,10.0,3.0,17.0,1.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,803172,2015-08-16 13:30:00,"Selhurst Park, London",24732,Home,Crystal Palace,Arsenal,1,2,L,1,1,0,0,,,1.0,,70.0,1.0,1.0,,,29.0,35.0,5.0,4.0,5.0,1.0,160.0,,6.0,9.0,1.0,2.0,7.0,4.0,74.0,155.0,54.0,11.0,19.0,2.0,1.0,3.0,1.0,29.0,13.0,1.0,23.0,6.0,10.0,26.0,,164.0,0.0,126.0,14.0,2.0,,1.0,53.0,59.0,5.0,61.0,3.0,23.0,18.0,8.0,,143.0,1.0,17.0,81.0,600.0,4.0,11.0,19.0,282.0,39.0,11.0,15.0,1.0,1.0,8.0,2.0,15.0,352.0,61.0,,82403,4.0,144.0,1.0,14.0,159.0,9.0,1.0,,18.0,7.0,66.0,1.0,1.0,3.0,1.0,12.0,4.0,5.0,1.0,58.0,302.0,12.0,7.0,24.0,72.0,0.0,2.0,6.0,5.0,,2.0,3.0,0.0,4.0,1.0,1.0,2.0,40.8,13.0,1.0,2.0,1.0,3.0,1.0,45.0,6.0,376.0,19.0,15.0,12.0,4.0,35.0,2.0,3.0,246.0,5.0,10.0,15.0,85.0,22.0,5.0,13.0,18.0,7.0,3.0,21.0,5.0,5.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,803182,2015-08-22 15:00:00,"Selhurst Park, London",25295,Home,Crystal Palace,Aston Villa,2,1,W,0,0,0,0,,,4.0,,74.0,1.0,,1.0,1.0,23.0,21.0,5.0,9.0,2.0,,158.0,,5.0,6.0,2.0,5.0,14.0,6.0,60.0,140.0,59.0,16.0,27.0,3.0,1.0,1.0,2.0,28.0,12.0,1.0,15.0,5.0,7.0,21.0,,163.0,0.0,136.0,12.0,1.0,1.0,2.0,84.0,49.0,7.0,62.0,,23.0,7.0,6.0,3.0,134.0,2.0,7.0,77.0,535.0,10.0,6.0,11.0,266.0,24.0,7.0,15.0,2.0,3.0,3.0,6.0,15.0,327.0,58.0,,82403,5.0,125.0,2.0,15.0,135.0,5.0,,2.0,7.0,11.0,61.0,2.0,1.0,4.0,1.0,18.0,5.0,5.0,,56.0,283.0,14.0,9.0,19.0,66.0,0.0,,4.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0,,2.0,49.9,14.0,1.0,6.0,1.0,3.0,,36.0,6.0,357.0,11.0,12.0,11.0,7.0,37.0,1.0,4.0,250.0,5.0,7.0,24.0,97.0,38.0,,11.0,15.0,12.0,3.0,7.0,,1.0,6.0,2.0,,,,,2.0,3.0,,,,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,803193,2015-08-29 15:00:00,"Stamford Bridge, London",41581,Away,Crystal Palace,Chelsea,2,1,W,0,0,0,0,,,1.0,2.0,57.0,1.0,3.0,2.0,,22.0,45.0,4.0,6.0,7.0,2.0,145.0,,4.0,4.0,2.0,1.0,10.0,5.0,53.0,145.0,45.0,13.0,21.0,2.0,1.0,,2.0,23.0,13.0,1.0,38.0,6.0,9.0,18.0,,129.0,0.0,103.0,15.0,4.0,1.0,1.0,51.0,64.0,5.0,45.0,1.0,17.0,17.0,1.0,3.0,138.0,3.0,17.0,78.0,534.0,9.0,9.0,9.0,225.0,26.0,5.0,19.0,1.0,1.0,8.0,5.0,24.0,292.0,56.0,,82403,7.0,114.0,2.0,15.0,132.0,10.0,1.0,2.0,17.0,11.0,65.0,,1.0,2.0,2.0,13.0,9.0,6.0,2.0,66.0,239.0,9.0,13.0,29.0,80.0,0.0,1.0,7.0,5.0,2.0,1.0,3.0,0.0,4.0,1.0,,1.0,36.3,20.0,,1.0,1.0,2.0,1.0,39.0,7.0,321.0,9.0,10.0,11.0,6.0,26.0,,3.0,212.0,6.0,9.0,15.0,63.0,18.0,2.0,17.0,17.0,12.0,3.0,10.0,2.0,9.0,7.0,,,,,,3.0,2.0,,,,,,,,1.0,,2.0,3.0,,,1.0,,,2.0,,,,,,2.0,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,803206,2015-09-12 15:00:00,"Selhurst Park, London",25167,Home,Crystal Palace,Manchester City,0,1,L,0,0,0,0,,,,,57.0,,2.0,,,24.0,29.0,3.0,3.0,6.0,1.0,164.0,,7.0,11.0,,3.0,7.0,2.0,69.0,144.0,57.0,10.0,10.0,2.0,,1.0,1.0,21.0,15.0,,21.0,4.0,10.0,24.0,,134.0,0.0,95.0,13.0,3.0,,3.0,48.0,62.0,3.0,54.0,1.0,17.0,17.0,4.0,3.0,136.0,1.0,12.0,72.0,570.0,7.0,7.0,21.0,257.0,28.0,7.0,13.0,,2.0,5.0,4.0,23.0,331.0,56.0,,82403,2.0,146.0,1.0,10.0,166.0,9.0,,1.0,17.0,12.0,42.0,1.0,,5.0,,13.0,9.0,6.0,3.0,58.0,273.0,13.0,4.0,18.0,75.0,0.0,2.0,4.0,4.0,,1.0,1.0,0.0,7.0,,,1.0,42.2,22.0,,2.0,1.0,2.0,,44.0,4.0,359.0,21.0,10.0,9.0,6.0,31.0,,3.0,214.0,6.0,9.0,19.0,51.0,22.0,4.0,9.0,17.0,9.0,3.0,16.0,4.0,8.0,4.0,2.0,,1.0,,,1.0,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,1.0,,,,2.0,,2.0,,,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,803213,2015-09-20 13:30:00,"White Hart Lane, London",35723,Away,Crystal Palace,Tottenham Hotspur,0,1,L,0,0,0,0,,,1.0,,52.0,,4.0,2.0,,26.0,35.0,5.0,2.0,5.0,3.0,142.0,,6.0,10.0,,4.0,9.0,4.0,63.0,166.0,68.0,12.0,9.0,2.0,,1.0,,22.0,26.0,2.0,22.0,5.0,13.0,32.0,,118.0,0.0,88.0,11.0,4.0,,2.0,56.0,49.0,6.0,52.0,2.0,17.0,19.0,7.0,2.0,153.0,,8.0,66.0,569.0,7.0,8.0,17.0,225.0,23.0,7.0,18.0,,2.0,9.0,3.0,29.0,300.0,51.0,,82403,1.0,125.0,,8.0,142.0,5.0,,,19.0,11.0,61.0,,,3.0,,12.0,13.0,4.0,1.0,65.0,237.0,9.0,11.0,25.0,74.0,0.0,2.0,6.0,1.0,,1.0,3.0,0.0,3.0,,,,42.9,27.0,,4.0,,4.0,,35.0,5.0,323.0,17.0,22.0,19.0,4.0,32.0,3.0,1.0,203.0,9.0,12.0,18.0,47.0,22.0,2.0,11.0,31.0,7.0,3.0,20.0,2.0,12.0,5.0,2.0,1.0,,1.0,,1.0,,,,2.0,,,,,,2.0,,1.0,,,1.0,,,,,1.0,4.0,2.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,803226,2015-09-27 16:00:00,"Vicarage Road, Watford",20168,Away,Crystal Palace,Watford,1,0,W,0,0,0,0,,,1.0,1.0,55.0,,2.0,2.0,,26.0,50.0,7.0,7.0,2.0,,152.0,,2.0,10.0,1.0,8.0,8.0,3.0,50.0,140.0,51.0,16.0,21.0,1.0,,2.0,1.0,26.0,9.0,1.0,40.0,4.0,8.0,26.0,,138.0,0.0,111.0,22.0,1.0,1.0,3.0,67.0,64.0,2.0,45.0,,22.0,10.0,7.0,4.0,130.0,3.0,6.0,66.0,512.0,7.0,8.0,6.0,219.0,18.0,10.0,30.0,,4.0,4.0,6.0,15.0,291.0,60.0,,82403,3.0,98.0,3.0,12.0,114.0,7.0,1.0,,10.0,7.0,58.0,,,,,6.0,9.0,5.0,1.0,59.0,234.0,17.0,3.0,23.0,70.0,0.0,3.0,6.0,,1.0,,3.0,0.0,2.0,,,1.0,44.7,13.0,,1.0,2.0,5.0,,38.0,4.0,313.0,6.0,6.0,7.0,8.0,27.0,,3.0,225.0,8.0,8.0,10.0,72.0,28.0,3.0,27.0,14.0,8.0,3.0,18.0,3.0,5.0,4.0,3.0,1.0,2.0,1.0,,,5.0,,1.0,1.0,2.0,,2.0,,3.0,1.0,3.0,1.0,1.0,,,,,,3.0,3.0,1.0,,,,3.0,,1.0,2.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
8,803240,2015-10-03 12:45:00,"Selhurst Park, London",24033,Home,Crystal Palace,West Bromwich Albion,2,0,W,0,0,0,0,,1.0,1.0,2.0,55.0,,1.0,2.0,1.0,25.0,32.0,13.0,8.0,2.0,5.0,173.0,,4.0,17.0,2.0,4.0,12.0,8.0,105.0,166.0,60.0,21.0,16.0,2.0,,3.0,2.0,34.0,13.0,4.0,25.0,8.0,8.0,32.0,,209.0,0.0,170.0,14.0,1.0,1.0,2.0,93.0,78.0,7.0,73.0,2.0,29.0,14.0,9.0,5.0,159.0,1.0,3.0,92.0,689.0,10.0,7.0,11.0,345.0,17.0,4.0,18.0,1.0,3.0,2.0,5.0,33.0,419.0,80.0,,82403,3.0,151.0,,18.0,160.0,8.0,1.0,1.0,14.0,6.0,66.0,,,3.0,,11.0,4.0,2.0,1.0,72.0,356.0,13.0,15.0,28.0,80.0,0.0,3.0,3.0,1.0,2.0,,6.0,0.0,4.0,1.0,,1.0,60.4,31.0,,3.0,,6.0,,40.0,8.0,443.0,11.0,13.0,18.0,7.0,40.0,2.0,2.0,317.0,12.0,7.0,14.0,115.0,24.0,1.0,15.0,16.0,12.0,2.0,26.0,1.0,6.0,8.0,4.0,,,,,3.0,3.0,1.0,,,,2.0,4.0,,5.0,1.0,6.0,3.0,,,,,,,1.0,,3.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
9,803251,2015-10-17 15:00:00,"Selhurst Park, London",24812,Home,Crystal Palace,West Ham United,1,3,L,1,1,1,0,,,,1.0,45.0,,,2.0,,24.0,14.0,1.0,3.0,1.0,,148.0,,4.0,6.0,1.0,3.0,5.0,1.0,63.0,150.0,49.0,6.0,13.0,,,,2.0,15.0,16.0,,12.0,1.0,11.0,28.0,,118.0,0.0,116.0,9.0,1.0,1.0,2.0,38.0,47.0,2.0,46.0,4.0,14.0,18.0,2.0,1.0,148.0,,12.0,69.0,524.0,4.0,4.0,26.0,222.0,27.0,9.0,7.0,,1.0,8.0,3.0,26.0,294.0,70.0,,82403,2.0,122.0,,10.0,143.0,7.0,1.0,,18.0,15.0,66.0,2.0,,2.0,,13.0,12.0,4.0,,70.0,236.0,10.0,17.0,30.0,73.0,0.0,2.0,9.0,1.0,1.0,3.0,,1.0,3.0,,1.0,1.0,38.5,23.0,1.0,1.0,1.0,2.0,,30.0,1.0,326.0,26.0,19.0,11.0,3.0,25.0,1.0,2.0,198.0,2.0,11.0,13.0,66.0,13.0,4.0,7.0,21.0,3.0,3.0,14.0,4.0,7.0,1.0,,,,,,1.0,,,,,,,1.0,,3.0,1.0,3.0,1.0,,,3.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,
10,803253,2015-10-24 15:00:00,"King Power Stadium, Leicester",31752,Away,Crystal Palace,Leicester City,0,1,L,0,0,0,0,,1.0,2.0,,65.0,,2.0,,,38.0,14.0,6.0,3.0,2.0,1.0,178.0,,6.0,9.0,,2.0,7.0,4.0,107.0,176.0,57.0,9.0,20.0,1.0,,1.0,1.0,23.0,12.0,3.0,12.0,2.0,10.0,28.0,,167.0,0.0,142.0,11.0,,,1.0,69.0,63.0,6.0,79.0,1.0,21.0,16.0,10.0,1.0,174.0,,3.0,92.0,652.0,5.0,11.0,16.0,336.0,29.0,10.0,8.0,,1.0,4.0,1.0,37.0,432.0,59.0,,82403,3.0,186.0,,10.0,210.0,2.0,,,16.0,10.0,61.0,,,3.0,,15.0,9.0,4.0,,78.0,347.0,7.0,12.0,34.0,84.0,0.0,4.0,3.0,,,1.0,3.0,0.0,4.0,,,2.0,52.3,32.0,1.0,5.0,,2.0,,42.0,2.0,456.0,16.0,13.0,18.0,3.0,33.0,2.0,2.0,269.0,4.0,7.0,27.0,90.0,19.0,,8.0,15.0,7.0,3.0,17.0,,6.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,,4.0,2.0,4.0,1.0,,,1.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
