gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,savedIbox,attIboxGoal,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attIboxBlocked,attOboxTarget,attSvLowLeft,sixYardBlock,goalsConceded,attHdMiss,clearanceOffLine,accurateCornersIntobox,goalsConcededIbox,handBall,attMissLeft,attMissHighLeft,possWonAtt3rd,attGoalHighCentre,attObxdRight,attRfGoal,totalPullBack,forwardGoals,goalAssistOpenplay,attGoalLowRight,accuratePullBack,penaltyConceded,punches,attFreekickTarget,penaltyFaced,penGoalsConceded,errorLeadToShot,attSvHighCentre,goalsConcededObox,attGoalHighLeft,penaltyWon,attPenGoal,midfielderGoals,attLfGoal,goalFastbreak,secondYellow,attHdPost,errorLeadToGoal,penaltySave,attOboxGoal,attSvHighLeft,attObxdLeft,attGoalHighRight,attSvHighRight,attGoalLowCentre,attPostRight,ownGoals,attIboxOwnGoal
1,284007,2009-08-15 15:00:00,"bet365 Stadium, Stoke",27385.0,Home,Stoke City,Burnley,2,0,W,2,0,0,0,1.0,49.0,1.0,2.0,1.0,1.0,26.0,43.0,5.0,4.0,7.0,3.0,1.0,4.0,1.0,2.0,4.0,11.0,1.0,4.0,166.0,37.0,1.0,13.0,1.0,11.0,3.0,4.0,1.0,1.0,2.0,15.0,1.0,6.0,19.0,3.0,4.0,32.0,91.0,4.0,1.0,0.0,103.0,16.0,2.0,4.0,3.0,4.0,38.0,41.0,5.0,5.0,2.0,12.0,6.0,1.0,2.0,5.0,142.0,8.0,427.0,1.0,9.0,11.0,12.0,1.0,1.0,22.0,118.0,23.0,6.0,30.0,1.0,1.0,2.0,6.0,6.0,26.0,204.0,77.0,1.0,2.0,5589,4.0,39.0,7.0,2.0,57.0,14.0,44.0,3.0,1.0,3.0,1.0,6.0,5.0,1.0,73.0,126.0,10.0,6.0,1.0,35.0,1.0,82.0,4.0,1.0,0.0,6.0,1.0,2.0,1.0,7.0,0.0,4.0,1.0,1.0,2.0,1.0,37.7,10.0,1.0,1.0,1.0,32.0,3.0,4.0,226.0,21.0,1.0,8.0,14.0,8.0,34.0,2.0,184.0,7.0,4.0,11.0,45.0,18.0,6.0,14.0,15.0,1.0,8.0,3.0,4.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284018,2009-08-19 20:00:00,"Anfield, Liverpool",44318.0,Away,Stoke City,Liverpool,0,4,L,0,2,0,0,1.0,37.0,,4.0,,,19.0,40.0,1.0,1.0,,,1.0,4.0,,,,5.0,,3.0,131.0,34.0,,6.0,1.0,12.0,2.0,,,,1.0,12.0,,11.0,23.0,5.0,4.0,14.0,61.0,,,0.0,74.0,9.0,5.0,,,,17.0,31.0,4.0,1.0,1.0,7.0,,,2.0,,114.0,15.0,397.0,1.0,2.0,12.0,,1.0,,20.0,,16.0,8.0,25.0,,1.0,1.0,2.0,1.0,34.0,,58.0,,,5589,,55.0,,1.0,68.0,6.0,45.0,,,3.0,,6.0,2.0,,49.0,112.0,9.0,9.0,3.0,22.0,,65.0,,1.0,0.0,11.0,6.0,,,1.0,0.0,1.0,,,2.0,1.0,24.1,15.0,,,2.0,31.0,5.0,,176.0,20.0,,7.0,6.0,1.0,21.0,1.0,120.0,2.0,2.0,11.0,32.0,12.0,5.0,17.0,14.0,,,3.0,8.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284021,2009-08-22 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",21694.0,Away,Stoke City,Birmingham City,0,0,D,0,0,0,0,,36.0,,1.0,,,37.0,53.0,7.0,4.0,,,1.0,5.0,4.0,,,12.0,,1.0,179.0,56.0,,16.0,2.0,12.0,1.0,,,,,25.0,,17.0,35.0,3.0,4.0,35.0,105.0,1.0,1.0,0.0,137.0,16.0,1.0,,,4.0,52.0,45.0,3.0,,2.0,22.0,,,9.0,5.0,161.0,4.0,501.0,,11.0,17.0,,,,8.0,,13.0,12.0,42.0,,,3.0,4.0,9.0,32.0,,96.0,,,5589,,50.0,10.0,1.0,64.0,10.0,44.0,,,1.0,2.0,7.0,6.0,2.0,76.0,150.0,7.0,3.0,1.0,38.0,,84.0,,1.0,0.0,3.0,1.0,,,2.0,0.0,5.0,,,5.0,,43.6,13.0,,2.0,3.0,39.0,3.0,4.0,251.0,8.0,,10.0,16.0,12.0,35.0,7.0,212.0,6.0,2.0,26.0,66.0,11.0,1.0,29.0,19.0,,,2.0,10.0,1.0,3.0,1.0,,,,,5.0,,,,3.0,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284037,2009-08-29 15:00:00,"bet365 Stadium, Stoke",27091.0,Home,Stoke City,Sunderland,1,0,W,1,0,0,0,1.0,44.0,,1.0,,,25.0,66.0,4.0,2.0,,,3.0,11.0,3.0,1.0,,9.0,,5.0,182.0,47.0,,14.0,2.0,17.0,1.0,,,,,22.0,,10.0,38.0,9.0,,27.0,102.0,,1.0,0.0,124.0,11.0,1.0,,,5.0,43.0,44.0,4.0,,,13.0,,,3.0,,154.0,6.0,546.0,,5.0,18.0,,,,11.0,,12.0,16.0,40.0,,,0.0,3.0,5.0,20.0,,92.0,1.0,,5589,,81.0,9.0,,94.0,12.0,48.0,1.0,,2.0,2.0,3.0,3.0,2.0,68.0,172.0,8.0,5.0,4.0,42.0,,87.0,,4.0,0.0,10.0,2.0,1.0,,5.0,0.0,6.0,,,3.0,1.0,45.3,11.0,,2.0,3.0,35.0,10.0,5.0,279.0,11.0,,8.0,11.0,6.0,25.0,6.0,207.0,9.0,,20.0,53.0,19.0,4.0,23.0,16.0,,,3.0,10.0,4.0,10.0,1.0,3.0,,,,3.0,,5.0,,,4.0,,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284046,2009-09-12 15:00:00,"bet365 Stadium, Stoke",27440.0,Home,Stoke City,Chelsea,1,2,L,1,1,0,0,,39.0,1.0,2.0,,,19.0,55.0,1.0,,,,,3.0,3.0,1.0,,3.0,,2.0,141.0,43.0,,4.0,,15.0,1.0,,,3.0,1.0,12.0,,11.0,39.0,4.0,6.0,13.0,48.0,,,0.0,71.0,15.0,2.0,,,6.0,26.0,28.0,2.0,3.0,,8.0,,,2.0,1.0,125.0,15.0,417.0,,,15.0,,1.0,,18.0,,21.0,7.0,28.0,1.0,3.0,3.0,15.0,1.0,18.0,,60.0,,,5589,,55.0,2.0,,75.0,13.0,52.0,,1.0,2.0,1.0,14.0,5.0,1.0,56.0,100.0,11.0,6.0,2.0,36.0,,69.0,,,0.0,14.0,2.0,1.0,,6.0,0.0,1.0,1.0,,3.0,2.0,27.8,9.0,,1.0,,27.0,4.0,7.0,178.0,18.0,,10.0,8.0,2.0,13.0,1.0,115.0,1.0,6.0,10.0,27.0,7.0,3.0,18.0,19.0,1.0,,3.0,10.0,3.0,4.0,,,,,2.0,1.0,,2.0,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284052,2009-09-19 15:00:00,"Toughsheet Community Stadium, Bolton",20265.0,Away,Stoke City,Bolton Wanderers,1,1,D,0,0,0,0,2.0,42.0,,1.0,,,31.0,60.0,6.0,3.0,,,1.0,2.0,5.0,1.0,,5.0,,4.0,176.0,57.0,1.0,10.0,1.0,18.0,,,,,,24.0,,10.0,37.0,5.0,7.0,40.0,136.0,2.0,,0.0,132.0,11.0,2.0,,,5.0,45.0,54.0,4.0,2.0,,19.0,,1.0,6.0,2.0,153.0,8.0,552.0,,4.0,15.0,,,,14.0,,11.0,5.0,45.0,1.0,,2.0,2.0,1.0,33.0,,85.0,,,5589,,73.0,13.0,,88.0,11.0,45.0,1.0,,4.0,2.0,4.0,5.0,,60.0,207.0,9.0,5.0,,23.0,,83.0,,2.0,0.0,4.0,2.0,1.0,,4.0,0.0,2.0,,1.0,1.0,1.0,48.5,15.0,,2.0,2.0,40.0,7.0,5.0,297.0,13.0,,10.0,23.0,4.0,30.0,2.0,233.0,6.0,7.0,25.0,73.0,18.0,1.0,26.0,18.0,,,3.0,7.0,1.0,7.0,1.0,3.0,1.0,,1.0,1.0,,,1.0,,2.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,284066,2009-09-26 15:00:00,"bet365 Stadium, Stoke",27500.0,Home,Stoke City,Manchester United,0,2,L,0,0,0,0,1.0,40.0,,1.0,,,16.0,54.0,1.0,1.0,,,,4.0,3.0,,,2.0,,1.0,170.0,38.0,,3.0,,12.0,,,,4.0,,10.0,,10.0,27.0,,3.0,34.0,90.0,,,0.0,100.0,12.0,1.0,,,6.0,35.0,36.0,,2.0,,10.0,,,3.0,,142.0,10.0,484.0,,1.0,11.0,,,,19.0,,15.0,6.0,31.0,,5.0,1.0,5.0,2.0,23.0,,65.0,1.0,,5589,,72.0,6.0,2.0,86.0,13.0,43.0,1.0,,1.0,2.0,4.0,2.0,1.0,52.0,158.0,7.0,5.0,1.0,30.0,,90.0,,,0.0,7.0,,,,2.0,0.0,4.0,,2.0,2.0,,31.8,9.0,,2.0,,34.0,,6.0,252.0,19.0,,14.0,14.0,2.0,23.0,2.0,176.0,,2.0,14.0,46.0,11.0,6.0,15.0,14.0,,,3.0,5.0,7.0,2.0,,1.0,,,2.0,2.0,,,2.0,2.0,1.0,,2.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,284075,2009-10-04 15:00:00,"Goodison Park, Liverpool",36753.0,Away,Stoke City,Everton,1,1,D,0,0,0,0,2.0,44.0,,5.0,1.0,1.0,19.0,63.0,5.0,2.0,,,,4.0,1.0,1.0,,5.0,,5.0,162.0,45.0,,8.0,,22.0,2.0,,,,3.0,19.0,,12.0,39.0,3.0,9.0,22.0,102.0,,,0.0,114.0,16.0,4.0,,,3.0,53.0,31.0,4.0,2.0,1.0,16.0,,,5.0,3.0,138.0,7.0,514.0,,4.0,20.0,,2.0,,16.0,,14.0,9.0,43.0,1.0,,3.0,7.0,1.0,16.0,,74.0,,,6769,,77.0,9.0,2.0,88.0,15.0,57.0,1.0,1.0,4.0,2.0,18.0,11.0,,57.0,175.0,7.0,3.0,,36.0,,86.0,,1.0,0.0,11.0,5.0,1.0,,10.0,0.0,3.0,1.0,1.0,3.0,,39.3,5.0,,2.0,,40.0,3.0,3.0,262.0,16.0,,11.0,13.0,3.0,27.0,,193.0,3.0,8.0,21.0,58.0,14.0,1.0,28.0,16.0,1.0,,2.0,7.0,1.0,4.0,,2.0,,,1.0,,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
9,284087,2009-10-17 15:00:00,"bet365 Stadium, Stoke",,Home,Stoke City,West Ham United,2,1,W,1,1,0,0,,48.0,1.0,3.0,,,26.0,34.0,5.0,2.0,,,1.0,6.0,6.0,2.0,,9.0,,3.0,173.0,68.0,,12.0,2.0,13.0,1.0,1.0,,,,16.0,,25.0,14.0,5.0,7.0,28.0,129.0,1.0,,0.0,141.0,17.0,2.0,,,4.0,56.0,44.0,4.0,1.0,1.0,11.0,,,3.0,3.0,153.0,4.0,544.0,,8.0,20.0,,,,14.0,,19.0,6.0,26.0,,,3.0,6.0,5.0,23.0,,80.0,,,6769,,64.0,8.0,,79.0,7.0,55.0,5.0,,1.0,5.0,9.0,5.0,,58.0,187.0,12.0,6.0,1.0,36.0,,87.0,1.0,,0.0,6.0,1.0,2.0,,9.0,0.0,3.0,,1.0,1.0,,38.8,11.0,,5.0,3.0,37.0,5.0,4.0,296.0,14.0,,12.0,16.0,6.0,22.0,3.0,233.0,8.0,4.0,20.0,78.0,17.0,2.0,10.0,30.0,,,3.0,13.0,2.0,5.0,1.0,,1.0,1.0,1.0,1.0,,3.0,1.0,,3.0,1.0,2.0,,,2.0,,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10,284097,2009-10-24 15:00:00,"White Hart Lane, London",36031.0,Away,Stoke City,Tottenham Hotspur,1,0,W,0,0,0,0,,50.0,,4.0,,,28.0,38.0,5.0,2.0,,,,1.0,7.0,1.0,,8.0,,1.0,137.0,54.0,,11.0,,22.0,,,,,,11.0,,13.0,26.0,1.0,6.0,21.0,116.0,,1.0,0.0,92.0,19.0,6.0,,,6.0,42.0,44.0,3.0,,1.0,10.0,,,7.0,5.0,125.0,10.0,504.0,,6.0,14.0,,,,14.0,,16.0,6.0,21.0,1.0,,3.0,2.0,5.0,21.0,,73.0,,,6769,,69.0,2.0,2.0,84.0,15.0,59.0,,,2.0,2.0,11.0,5.0,2.0,55.0,184.0,10.0,7.0,1.0,25.0,,93.0,,,0.0,7.0,5.0,1.0,,6.0,0.0,1.0,1.0,2.0,1.0,,36.3,11.0,,2.0,3.0,52.0,1.0,6.0,266.0,13.0,,8.0,11.0,7.0,27.0,2.0,193.0,8.0,6.0,14.0,48.0,19.0,4.0,14.0,23.0,,,3.0,10.0,4.0,1.0,3.0,,,,,1.0,1.0,,,,4.0,,,,,1.0,,,1.0,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
