gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,goalAssistDeadball,goals,attIboxTarget,attGoalHighRight,ptsGainedLosingPos,midfielderGoals,interceptionsInBox,totalFlickOn,attHdTarget,goalAssist,totalOffside,attMissHigh,punches,attIboxGoal,goalsConceded,accurateFlickOn,goalAssistIntentional,shieldBallOop,attBxLeft,attHdGoal,goalsConcededIbox,errorLeadToGoal,attLfGoal,attCmissRight,attFreekickTotal,goalAssistOpenplay,goodHighClaim,freekickTotal,accurateThroughBall,attRfGoal,goalsOpenplay,attGoalHighLeft,totalHighClaim,attFreekickMiss,forwardGoals,attGoalLowLeft,attObxLeft,shotFastbreak,attSvLowCentre,goalFastbreak,attMissHighRight,attOboxGoal,totalFastbreak,contentiousDecision,errorLeadToShot,attCmissHighLeft,attFastbreak,attLfTarget,accurateKeeperSweeper,totalKeeperSweeper,penaltyConceded,attCmissHighRight,attSvHighCentre,penaltyFaced,penGoalsConceded,attGoalLowCentre,attSvLowLeft,sixYardBlock,defenderGoals,handBall,expectedGoalsOnTarget,attOneOnOne,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,accuratePullBack,attCmissHigh,attGoalLowRight,penaltyWon,attGoalHighCentre,attPenGoal,attFreekickGoal,postScoringAtt,attIboxPost,hitWoodwork,attPostRight,attPostHigh,attSvHighLeft,attHdPost,attSvHighRight,attPostLeft,attObxdLeft,attOboxPost,goalsConcededObox,ptsDroppedWinningPos,attPenTarget,attFreekickTarget,clearanceOffLine,secondYellow,penaltySave,attLgCentre,ownGoals,attIboxOwnGoal
1,1059706,2019-08-11 14:00:00,"King Power Stadium, Leicester",32015.0,Home,Leicester City,Wolverhampton Wanderers,0,0,D,0,0,0,0,65.0,1.0,1.0,18.0,12.0,13.0,3.0,3.0,2.0,1.0,184.0,7.0,16.0,4.0,11.0,1.0,196.0,164.0,71.0,16.0,4.0,22.0,1.0,5.0,29.0,13.0,1.0,12.0,11.0,7.0,39.0,284.0,1.0,0.0,171.0,3.0,2.0,3.0,101.0,93.0,3.0,95.0,4.0,18.0,24.0,13.0,4.0,8.0,164.0,1.0,5.0,190.0,871.0,9.0,29.0,7.0,545.0,20.0,1.0,2.0,6.0,0.0,1.0,7.0,24.0,645.0,65.0,2.0,95463,2.0,287.0,1.0,11.0,3.0,307.0,2.0,1.0,24.0,7.0,55.0,1.0,2.0,13.0,3.0,7.0,39.0,564.0,11.0,12.0,1.0,10.0,2.0,74.0,1.0,1.0,0.0,5.0,3.0,1.0,0.0,4.0,1.0,70.0,20.0,1.0,6.0,2.0,5.0,56.0,12.0,665.0,7.0,7.0,20.0,10.0,38.0,3.0,2.0,387.0,12.0,6.0,24.0,115.0,37.0,1.0,6.0,20.0,11.0,2.0,28.0,1.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059715,2019-08-18 16:30:00,"Stamford Bridge, London",40629.0,Away,Leicester City,Chelsea,1,1,D,0,1,0,0,75.0,,,28.0,20.0,6.0,4.0,6.0,4.0,1.0,167.0,2.0,13.0,4.0,7.0,3.0,104.0,168.0,64.0,12.0,2.0,23.0,1.0,2.0,16.0,16.0,,20.0,3.0,9.0,44.0,136.0,,0.0,109.0,14.0,1.0,3.0,36.0,72.0,4.0,74.0,2.0,13.0,31.0,6.0,3.0,4.0,168.0,1.0,9.0,110.0,690.0,6.0,21.0,15.0,335.0,25.0,1.0,1.0,8.0,0.0,2.0,3.0,21.0,432.0,50.0,,95463,3.0,218.0,2.0,7.0,,248.0,10.0,1.0,31.0,9.0,72.0,5.0,5.0,19.0,5.0,6.0,61.0,352.0,9.0,10.0,,17.0,4.0,59.0,2.0,1.0,0.0,1.0,4.0,4.0,0.0,,2.0,49.8,18.0,,4.0,5.0,2.0,30.0,5.0,455.0,15.0,15.0,21.0,7.0,29.0,2.0,3.0,223.0,6.0,9.0,13.0,62.0,40.0,2.0,8.0,29.0,8.0,2.0,23.0,2.0,16.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059728,2019-08-24 15:00:00,"Bramall Lane, Sheffield",30079.0,Away,Leicester City,Sheffield United,2,1,W,1,0,0,0,48.0,,1.0,22.0,38.0,5.0,3.0,5.0,1.0,,141.0,6.0,9.0,2.0,8.0,2.0,133.0,144.0,54.0,10.0,3.0,25.0,,3.0,14.0,7.0,,38.0,4.0,8.0,42.0,153.0,,0.0,109.0,6.0,,,48.0,63.0,5.0,52.0,1.0,10.0,15.0,5.0,4.0,2.0,144.0,1.0,4.0,126.0,668.0,6.0,19.0,11.0,339.0,23.0,,2.0,16.0,0.0,2.0,3.0,33.0,425.0,39.0,,95463,3.0,211.0,,6.0,,241.0,4.0,,15.0,12.0,58.0,2.0,5.0,14.0,3.0,9.0,53.0,358.0,11.0,11.0,,12.0,1.0,63.0,,1.0,0.0,3.0,7.0,1.0,0.0,4.0,2.0,50.9,29.0,2.0,2.0,5.0,4.0,29.0,4.0,452.0,11.0,10.0,21.0,4.0,23.0,2.0,2.0,225.0,5.0,8.0,21.0,73.0,15.0,3.0,16.0,13.0,7.0,3.0,15.0,3.0,11.0,4.0,1.0,1.0,,2.0,,1.0,,,,3.0,,2.0,5.0,,,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059737,2019-08-31 15:00:00,"King Power Stadium, Leicester",31613.0,Home,Leicester City,Bournemouth,3,1,W,2,1,0,0,66.0,1.0,2.0,24.0,25.0,7.0,3.0,7.0,1.0,3.0,183.0,1.0,8.0,1.0,14.0,6.0,125.0,156.0,55.0,15.0,2.0,21.0,,2.0,14.0,13.0,1.0,25.0,1.0,12.0,43.0,181.0,,0.0,137.0,9.0,1.0,,65.0,81.0,9.0,90.0,,13.0,26.0,8.0,6.0,4.0,156.0,3.0,3.0,143.0,751.0,11.0,30.0,14.0,419.0,35.0,1.0,6.0,13.0,1.0,4.0,5.0,28.0,518.0,54.0,,95463,4.0,255.0,1.0,7.0,,286.0,7.0,,26.0,6.0,59.0,2.0,3.0,15.0,5.0,3.0,60.0,435.0,10.0,15.0,,23.0,2.0,85.0,1.0,2.0,0.0,1.0,5.0,,0.0,1.0,1.0,55.0,23.0,1.0,5.0,3.0,4.0,49.0,4.0,541.0,14.0,6.0,12.0,5.0,19.0,,1.0,269.0,11.0,9.0,15.0,93.0,22.0,3.0,13.0,22.0,13.0,3.0,16.0,3.0,15.0,4.0,2.0,,,3.0,2.0,1.0,,1.0,,5.0,,3.0,2.0,1.0,,2.0,1.0,3.0,3.0,,1.0,,1.0,,2.0,,,3.0,,,1.0,1.0,3.0,,,,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059746,2019-09-14 15:00:00,"Old Trafford, Manchester",73689.0,Away,Leicester City,Manchester United,0,1,L,0,1,0,0,59.0,2.0,,37.0,11.0,6.0,3.0,3.0,4.0,1.0,158.0,1.0,12.0,2.0,5.0,3.0,124.0,161.0,72.0,9.0,2.0,11.0,2.0,1.0,24.0,17.0,1.0,11.0,6.0,6.0,45.0,179.0,,0.0,123.0,14.0,2.0,,84.0,62.0,2.0,76.0,1.0,18.0,19.0,6.0,5.0,3.0,161.0,2.0,4.0,113.0,686.0,4.0,26.0,10.0,349.0,24.0,1.0,3.0,5.0,2.0,,2.0,26.0,443.0,47.0,,95463,1.0,195.0,2.0,13.0,1.0,232.0,11.0,,19.0,7.0,57.0,2.0,2.0,13.0,6.0,6.0,72.0,373.0,14.0,13.0,,18.0,1.0,68.0,1.0,,0.0,2.0,3.0,2.0,0.0,1.0,,58.3,22.0,,2.0,2.0,2.0,35.0,9.0,471.0,10.0,8.0,23.0,4.0,30.0,,1.0,263.0,6.0,5.0,16.0,86.0,28.0,1.0,5.0,30.0,6.0,2.0,23.0,1.0,12.0,9.0,,,,,2.0,,,,,3.0,,,2.0,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059757,2019-09-21 12:30:00,"King Power Stadium, Leicester",32129.0,Home,Leicester City,Tottenham Hotspur,2,1,W,0,1,0,0,72.0,1.0,2.0,32.0,24.0,6.0,3.0,10.0,3.0,3.0,159.0,1.0,11.0,,11.0,7.0,75.0,155.0,59.0,16.0,1.0,15.0,2.0,3.0,19.0,14.0,1.0,24.0,7.0,1.0,54.0,148.0,,0.0,127.0,16.0,2.0,,71.0,45.0,7.0,58.0,1.0,13.0,19.0,6.0,4.0,3.0,155.0,,9.0,88.0,599.0,10.0,28.0,12.0,260.0,32.0,,1.0,12.0,1.0,1.0,4.0,15.0,348.0,57.0,,95463,5.0,139.0,,9.0,,175.0,13.0,,19.0,9.0,56.0,3.0,9.0,17.0,2.0,8.0,67.0,286.0,13.0,7.0,,17.0,1.0,65.0,4.0,2.0,0.0,2.0,2.0,2.0,0.0,,1.0,44.2,12.0,1.0,3.0,9.0,3.0,36.0,8.0,380.0,12.0,12.0,26.0,6.0,25.0,2.0,3.0,224.0,12.0,1.0,12.0,87.0,25.0,,12.0,23.0,15.0,3.0,17.0,,12.0,8.0,1.0,,,2.0,4.0,,3.0,1.0,2.0,4.0,,1.0,3.0,,,1.0,1.0,2.0,,,2.0,,1.0,,,1.0,,1.0,2.0,,1.0,2.0,2.0,,2.0,,,1.0,,,,,2.0,1.0,,1.0,,,,2.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1059767,2019-09-29 16:30:00,"King Power Stadium, Leicester",32168.0,Home,Leicester City,Newcastle United,5,0,W,1,0,0,1,59.0,,2.0,31.0,8.0,4.0,4.0,9.0,,,178.0,5.0,6.0,2.0,11.0,5.0,206.0,141.0,47.0,13.0,1.0,13.0,2.0,1.0,28.0,13.0,,8.0,6.0,7.0,45.0,371.0,1.0,0.0,230.0,12.0,,2.0,124.0,112.0,6.0,108.0,1.0,22.0,20.0,4.0,7.0,2.0,141.0,2.0,1.0,232.0,918.0,8.0,28.0,15.0,627.0,25.0,,5.0,5.0,1.0,,5.0,23.0,705.0,76.0,,95463,4.0,279.0,2.0,13.0,,300.0,5.0,,20.0,6.0,49.0,1.0,3.0,17.0,2.0,6.0,48.0,645.0,9.0,9.0,,11.0,2.0,76.0,,1.0,0.0,3.0,,,0.0,5.0,3.0,68.9,21.0,2.0,4.0,3.0,3.0,61.0,9.0,724.0,15.0,7.0,24.0,5.0,39.0,,3.0,452.0,6.0,7.0,9.0,188.0,26.0,1.0,5.0,24.0,11.0,3.0,16.0,1.0,12.0,9.0,1.0,1.0,,5.0,1.0,,,1.0,,5.0,,3.0,,2.0,,4.0,,2.0,3.0,1.0,1.0,1.0,,,2.0,,,2.0,1.0,,1.0,1.0,3.0,,1.0,,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1059775,2019-10-05 15:00:00,"Anfield, Liverpool",53322.0,Away,Leicester City,Liverpool,1,2,L,0,1,0,0,81.0,1.0,,28.0,27.0,1.0,,1.0,6.0,,190.0,1.0,13.0,1.0,2.0,1.0,104.0,181.0,54.0,2.0,,11.0,,1.0,19.0,10.0,,27.0,5.0,9.0,62.0,148.0,,0.0,133.0,17.0,3.0,,59.0,67.0,1.0,80.0,,14.0,19.0,1.0,5.0,1.0,181.0,1.0,14.0,104.0,681.0,,15.0,19.0,336.0,42.0,,2.0,13.0,4.0,4.0,,18.0,450.0,54.0,,95463,1.0,208.0,1.0,9.0,,240.0,9.0,,8.0,9.0,63.0,4.0,6.0,11.0,4.0,5.0,66.0,355.0,8.0,16.0,,17.0,,80.0,,1.0,0.0,5.0,4.0,5.0,0.0,,,49.3,15.0,,5.0,6.0,,31.0,6.0,478.0,19.0,7.0,31.0,1.0,27.0,1.0,,257.0,2.0,8.0,17.0,79.0,21.0,2.0,13.0,16.0,2.0,3.0,25.0,2.0,8.0,6.0,,,,1.0,,,,1.0,2.0,6.0,,1.0,2.0,,,1.0,2.0,,1.0,,,,2.0,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,0.020031,1.0,3.36623,0.407308,0.098575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1059787,2019-10-19 15:00:00,"King Power Stadium, Leicester",32105.0,Home,Leicester City,Burnley,2,1,W,1,1,0,0,42.0,,1.0,22.0,20.0,9.0,4.0,10.0,3.0,1.0,152.0,6.0,7.0,2.0,15.0,3.0,144.0,133.0,61.0,19.0,6.0,24.0,,5.0,22.0,13.0,1.0,20.0,6.0,12.0,32.0,224.0,,0.0,164.0,4.0,,,85.0,65.0,7.0,84.0,1.0,16.0,17.0,9.0,7.0,2.0,133.0,,8.0,176.0,770.0,12.0,28.0,11.0,448.0,18.0,,3.0,9.0,0.0,6.0,8.0,25.0,532.0,44.0,,95463,7.0,248.0,,9.0,,286.0,3.0,2.0,17.0,6.0,48.0,1.0,8.0,9.0,5.0,5.0,45.0,466.0,10.0,5.0,1.0,14.0,4.0,57.0,,1.0,0.0,1.0,4.0,3.0,0.0,5.0,4.0,64.5,25.0,3.0,2.0,8.0,7.0,38.0,9.0,556.0,11.0,6.0,15.0,9.0,27.0,1.0,7.0,292.0,11.0,12.0,23.0,130.0,13.0,3.0,9.0,22.0,14.0,3.0,16.0,3.0,5.0,9.0,,,,2.0,,1.0,3.0,1.0,,5.0,,2.0,2.0,3.0,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1059799,2019-10-25 20:00:00,"St. Mary's Stadium, Southampton",28762.0,Away,Leicester City,Southampton,9,0,W,5,0,0,1,77.0,1.0,2.0,29.0,8.0,9.0,6.0,16.0,3.0,5.0,220.0,6.0,24.0,2.0,16.0,15.0,181.0,154.0,63.0,25.0,3.0,10.0,2.0,1.0,26.0,15.0,1.0,8.0,3.0,11.0,34.0,369.0,1.0,0.0,233.0,12.0,3.0,,115.0,122.0,12.0,109.0,3.0,23.0,27.0,9.0,13.0,4.0,154.0,5.0,3.0,199.0,925.0,12.0,43.0,5.0,597.0,25.0,,1.0,6.0,0.0,1.0,4.0,25.0,694.0,82.0,,95463,10.0,248.0,2.0,10.0,,286.0,10.0,2.0,27.0,7.0,60.0,3.0,6.0,13.0,3.0,7.0,48.0,611.0,3.0,19.0,,10.0,2.0,74.0,,1.0,0.0,3.0,2.0,2.0,0.0,5.0,1.0,72.6,25.0,,5.0,6.0,5.0,54.0,7.0,709.0,5.0,6.0,18.0,5.0,30.0,1.0,1.0,449.0,18.0,9.0,10.0,199.0,40.0,1.0,6.0,26.0,21.0,2.0,38.0,1.0,9.0,7.0,6.0,,,9.0,5.0,1.0,,5.0,1.0,3.0,,4.0,,,,8.0,,1.0,4.0,1.0,,1.0,,,2.0,,1.0,4.0,1.0,1.0,1.0,6.0,7.0,2.0,1.0,,3.0,3.0,,1.0,3.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,3.0,,1.0,1.0,,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
