gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowLeft,accuratePullBack,shotFastbreak,accurateKeeperSweeper,divingSave,totalFastbreak,freekickCross,interceptionsInBox,bigChanceCreated,contentiousDecision,totalKeeperSweeper,accurateThroughBall,bigChanceMissed,attRfGoal,totalPullBack,attFastbreak,overrun,forwardGoals,errorLeadToGoal,savedObox,attFreekickTotal,freekickTotal,attFreekickGoal,shieldBallOop,attBxLeft,attCmissRight,attOneOnOne,attHdTarget,attMissHigh,attPostHigh,attSvHighRight,attMissHighLeft,attObxdLeft,attFreekickTarget,attCmissHighRight,bigChanceScored,attGoalLowCentre,errorLeadToShot,penaltyConceded,ownGoals,punches,penaltyFaced,penGoalsConceded,attIboxOwnGoal,secondYellow,accurateFreekickCross,handBall,penaltyWon,attPenGoal,attGoalHighLeft,cleanSheet,attCmissHighLeft,subsGoals,clearanceOffLine,attSvHighCentre,goalFastbreak,sixYardBlock,attPenTarget,foulThrowIn,attSvHighLeft,ptsGainedLosingPos,attCmissHigh,attGoalHighRight,penaltySave,defenderGoals,attFreekickMiss
1,2292815,2022-08-07 14:00:00,"King Power Stadium, Leicester",31794,Home,Leicester City,Brentford,2,2,D,1,0,0,0,1.0,16.0,60.0,1.0,1.0,1.0,1.0,16.0,12.0,9.0,1.0,5.0,1.0,1.0,3.0,163.0,9.0,3.0,8.0,2.0,1.0,11.0,5.0,165.0,117.0,40.0,14.0,2.0,15.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,1.0,9.0,2.0,12.0,5.0,5.0,31.0,299.0,1.0,1.0,0.0,130.0,6.0,2.0,1.0,4.0,82.0,74.0,7.0,73.0,1.0,5.0,13.0,9.0,1.0,2.0,3.0,117.0,5.0,1.0,179.0,1.0,750.0,8.0,5.0,13.0,2.0,10.0,501.0,20.0,2.0,8.0,2.0,0.0,1.0,4.0,20.0,568.0,71.0,95463,3.0,214.0,3.0,1.0,233.0,4.0,4.0,3.0,35.0,1.0,2.0,9.0,1.0,24.0,3.0,2.0,33.0,510.0,5.0,4.0,1.0,10.0,2.0,53.0,1.0,1.0,0.0,6.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,3.0,55.4,16.0,1.0,3.0,9.0,3.0,37.0,5.0,4.0,580.0,10.0,4.0,17.0,6.0,1.0,24.0,1.0,1.0,357.0,10.0,5.0,14.0,98.0,28.0,1.0,8.0,13.0,1.0,1.0,10.0,1.0,14.0,2.0,1.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292820,2022-08-13 15:00:00,"Emirates Stadium, London",60033,Away,Leicester City,Arsenal,2,4,L,0,2,0,0,1.0,16.0,48.0,,1.0,,,28.0,16.0,1.0,4.0,5.0,4.0,,,162.0,10.0,1.0,3.0,2.0,1.0,5.0,2.0,118.0,119.0,44.0,6.0,,19.0,1.0,,,1.0,1.0,1.0,9.0,,7.0,,16.0,2.0,4.0,36.0,150.0,,,0.0,100.0,9.0,,,,45.0,63.0,3.0,70.0,2.0,7.0,16.0,1.0,,3.0,1.0,119.0,15.0,,122.0,,611.0,4.0,3.0,12.0,,8.0,362.0,23.0,2.0,10.0,1.0,1.0,4.0,2.0,16.0,439.0,60.0,95463,4.0,234.0,3.0,,262.0,4.0,7.0,12.0,47.0,3.0,3.0,3.0,1.0,8.0,4.0,6.0,63.0,383.0,15.0,11.0,,16.0,1.0,68.0,,,0.0,6.0,3.0,2.0,,4.0,1.0,0.0,1.0,1.0,,50.1,14.0,,2.0,3.0,1.0,35.0,2.0,1.0,472.0,8.0,3.0,16.0,3.0,,14.0,,2.0,219.0,2.0,4.0,14.0,61.0,20.0,3.0,10.0,12.0,,3.0,5.0,3.0,8.0,,3.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292835,2022-08-20 15:00:00,"King Power Stadium, Leicester",30850,Home,Leicester City,Southampton,1,2,L,0,0,0,0,,23.0,63.0,1.0,2.0,,,29.0,20.0,2.0,2.0,4.0,1.0,,,196.0,8.0,2.0,9.0,1.0,3.0,3.0,1.0,125.0,155.0,55.0,6.0,,20.0,,1.0,,,,1.0,14.0,,11.0,,20.0,2.0,2.0,44.0,214.0,,1.0,0.0,145.0,11.0,1.0,,1.0,65.0,91.0,1.0,90.0,2.0,12.0,17.0,2.0,,4.0,1.0,155.0,6.0,,145.0,,758.0,3.0,7.0,20.0,,6.0,435.0,22.0,2.0,11.0,,2.0,1.0,2.0,33.0,535.0,67.0,95463,,242.0,6.0,,271.0,7.0,17.0,5.0,63.0,,,9.0,,18.0,3.0,5.0,57.0,454.0,14.0,13.0,,11.0,,74.0,,,0.0,5.0,,,,2.0,2.0,0.0,2.0,,1.0,62.0,30.0,1.0,4.0,9.0,2.0,44.0,2.0,1.0,556.0,6.0,14.0,20.0,3.0,,21.0,,2.0,299.0,3.0,2.0,17.0,99.0,28.0,3.0,11.0,15.0,,2.0,5.0,3.0,14.0,3.0,3.0,7.0,2.0,,,,,,,,2.0,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292844,2022-08-27 15:00:00,"Stamford Bridge, London",39953,Away,Leicester City,Chelsea,1,2,L,0,0,0,1,1.0,16.0,58.0,,1.0,,,25.0,14.0,6.0,4.0,11.0,2.0,1.0,3.0,169.0,10.0,5.0,5.0,1.0,2.0,16.0,5.0,132.0,133.0,48.0,17.0,4.0,18.0,4.0,3.0,1.0,1.0,1.0,2.0,34.0,1.0,10.0,,14.0,10.0,5.0,24.0,231.0,1.0,,0.0,162.0,7.0,1.0,1.0,,68.0,75.0,9.0,88.0,2.0,24.0,18.0,6.0,,7.0,2.0,133.0,5.0,,135.0,,710.0,15.0,2.0,28.0,1.0,7.0,442.0,37.0,2.0,8.0,1.0,2.0,2.0,7.0,17.0,507.0,54.0,95463,5.0,230.0,15.0,,251.0,3.0,18.0,2.0,48.0,4.0,1.0,2.0,1.0,15.0,2.0,2.0,41.0,456.0,9.0,6.0,,10.0,3.0,60.0,2.0,1.0,0.0,3.0,2.0,1.0,,2.0,,0.0,4.0,1.0,3.0,54.9,15.0,1.0,4.0,2.0,5.0,45.0,11.0,,524.0,7.0,11.0,13.0,7.0,,39.0,1.0,4.0,307.0,10.0,5.0,17.0,129.0,15.0,2.0,8.0,17.0,,1.0,14.0,3.0,12.0,,2.0,9.0,11.0,,1.0,,1.0,1.0,,1.0,2.0,,4.0,,1.0,4.0,4.0,,,1.0,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292855,2022-09-01 20:00:00,"King Power Stadium, Leicester",32226,Home,Leicester City,Manchester United,0,1,L,0,1,0,0,,32.0,79.0,,,,,27.0,16.0,7.0,5.0,2.0,1.0,,1.0,199.0,19.0,1.0,5.0,,6.0,7.0,2.0,149.0,150.0,59.0,10.0,3.0,16.0,,1.0,,,,1.0,13.0,,13.0,2.0,16.0,,6.0,44.0,179.0,1.0,,0.0,129.0,7.0,,1.0,,79.0,58.0,3.0,88.0,1.0,13.0,20.0,8.0,,5.0,3.0,150.0,7.0,,159.0,,782.0,6.0,4.0,10.0,,17.0,474.0,34.0,2.0,9.0,,1.0,2.0,4.0,18.0,576.0,77.0,95463,,309.0,5.0,1.0,337.0,7.0,8.0,4.0,46.0,1.0,,7.0,,13.0,2.0,1.0,58.0,487.0,15.0,8.0,1.0,17.0,1.0,81.0,,,0.0,3.0,,,,1.0,,0.0,1.0,,1.0,53.9,16.0,1.0,4.0,7.0,3.0,45.0,1.0,,595.0,17.0,9.0,23.0,5.0,,19.0,,2.0,271.0,4.0,3.0,18.0,84.0,33.0,2.0,9.0,21.0,,1.0,6.0,2.0,11.0,,2.0,8.0,1.0,1.0,,,,1.0,1.0,,3.0,4.0,1.0,,1.0,,1.0,,,,,,,1.0,2.0,2.0,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292862,2022-09-04 14:00:00,"American Express Stadium, Falmer",31185,Away,Leicester City,Brighton and Hove Albion,2,5,L,2,2,0,0,1.0,22.0,44.0,1.0,1.0,,,17.0,27.0,1.0,2.0,5.0,7.0,1.0,2.0,149.0,14.0,2.0,6.0,2.0,,5.0,4.0,107.0,117.0,36.0,6.0,,10.0,2.0,,,2.0,1.0,,7.0,,8.0,,27.0,1.0,8.0,37.0,116.0,1.0,1.0,0.0,74.0,8.0,,,,36.0,48.0,4.0,70.0,,6.0,11.0,1.0,,1.0,,117.0,13.0,,110.0,,610.0,3.0,2.0,10.0,,12.0,342.0,22.0,3.0,15.0,2.0,1.0,5.0,1.0,19.0,412.0,43.0,95463,5.0,246.0,5.0,,270.0,5.0,3.0,10.0,46.0,1.0,3.0,9.0,2.0,15.0,11.0,5.0,48.0,360.0,6.0,11.0,,13.0,,56.0,1.0,,0.0,10.0,5.0,1.0,,5.0,1.0,0.0,2.0,2.0,,46.5,19.0,,1.0,9.0,1.0,27.0,1.0,1.0,436.0,12.0,13.0,16.0,1.0,,12.0,,1.0,173.0,4.0,7.0,11.0,43.0,12.0,2.0,15.0,13.0,,4.0,6.0,4.0,10.0,3.0,2.0,3.0,1.0,,,1.0,,1.0,2.0,,,1.0,2.0,,1.0,1.0,,1.0,2.0,,1.0,2.0,,2.0,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,2292875,2023-04-04 19:45:00,"King Power Stadium, Leicester",32087,Home,Leicester City,Aston Villa,1,2,L,1,1,1,0,1.0,16.0,46.0,1.0,1.0,,,14.0,10.0,3.0,,6.0,3.0,,3.0,113.0,12.0,3.0,3.0,1.0,3.0,6.0,4.0,62.0,106.0,42.0,9.0,,10.0,1.0,,1.0,1.0,2.0,,16.0,1.0,13.0,2.0,10.0,4.0,2.0,42.0,74.0,1.0,,0.0,63.0,10.0,,,1.0,42.0,34.0,4.0,39.0,1.0,12.0,14.0,3.0,,3.0,1.0,106.0,7.0,,76.0,1.0,439.0,2.0,3.0,14.0,1.0,15.0,203.0,23.0,,5.0,1.0,2.0,5.0,2.0,8.0,263.0,29.0,95463,1.0,145.0,7.0,1.0,172.0,7.0,8.0,7.0,38.0,2.0,2.0,3.0,1.0,9.0,8.0,2.0,44.0,216.0,14.0,11.0,3.0,4.0,2.0,43.0,1.0,,0.0,8.0,2.0,1.0,,2.0,1.0,1.0,1.0,,2.0,35.9,7.0,1.0,5.0,3.0,1.0,16.0,4.0,2.0,290.0,15.0,2.0,13.0,4.0,1.0,22.0,2.0,2.0,134.0,7.0,1.0,6.0,37.0,8.0,1.0,5.0,19.0,,1.0,5.0,2.0,8.0,,1.0,8.0,4.0,,,,,,1.0,,2.0,5.0,2.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,3.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,2292888,2022-09-17 17:30:00,"Tottenham Hotspur Stadium, London",61450,Away,Leicester City,Tottenham Hotspur,2,6,L,2,2,0,0,3.0,20.0,61.0,,,,,39.0,11.0,11.0,2.0,8.0,5.0,,3.0,154.0,7.0,3.0,4.0,2.0,3.0,15.0,7.0,183.0,117.0,37.0,19.0,5.0,12.0,2.0,1.0,,1.0,3.0,1.0,11.0,,12.0,3.0,11.0,1.0,5.0,38.0,364.0,3.0,,0.0,192.0,9.0,2.0,1.0,,102.0,86.0,10.0,96.0,2.0,10.0,15.0,11.0,,7.0,3.0,117.0,10.0,,199.0,,795.0,14.0,6.0,23.0,,8.0,537.0,13.0,5.0,5.0,1.0,2.0,3.0,5.0,10.0,614.0,94.0,95463,6.0,191.0,3.0,,206.0,4.0,9.0,2.0,43.0,,,5.0,1.0,15.0,6.0,1.0,55.0,552.0,8.0,9.0,,8.0,,47.0,1.0,,0.0,6.0,4.0,2.0,,6.0,2.0,0.0,3.0,1.0,1.0,56.3,10.0,,11.0,5.0,5.0,36.0,1.0,,632.0,8.0,9.0,17.0,7.0,,18.0,,4.0,437.0,15.0,5.0,10.0,143.0,32.0,2.0,5.0,16.0,,3.0,18.0,3.0,9.0,3.0,2.0,9.0,1.0,1.0,1.0,,,1.0,3.0,,,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
9,2292895,2022-10-03 20:00:00,"King Power Stadium, Leicester",32202,Home,Leicester City,Nottingham Forest,4,0,W,3,0,0,0,,26.0,52.0,3.0,2.0,,,15.0,17.0,7.0,4.0,10.0,3.0,,3.0,159.0,15.0,4.0,5.0,4.0,3.0,12.0,7.0,128.0,121.0,39.0,17.0,1.0,11.0,3.0,1.0,,2.0,2.0,3.0,17.0,,7.0,,17.0,5.0,4.0,35.0,190.0,,3.0,0.0,136.0,13.0,3.0,,,68.0,74.0,8.0,67.0,2.0,12.0,17.0,7.0,,1.0,3.0,121.0,8.0,,138.0,,664.0,9.0,1.0,23.0,,14.0,397.0,16.0,1.0,11.0,2.0,2.0,2.0,4.0,13.0,471.0,59.0,95463,3.0,230.0,9.0,1.0,251.0,6.0,10.0,6.0,46.0,1.0,3.0,3.0,3.0,15.0,2.0,6.0,35.0,416.0,11.0,11.0,1.0,5.0,1.0,54.0,1.0,1.0,0.0,6.0,2.0,1.0,,,,0.0,3.0,1.0,2.0,51.6,13.0,2.0,6.0,3.0,3.0,32.0,6.0,,492.0,14.0,6.0,14.0,7.0,,21.0,1.0,4.0,258.0,11.0,3.0,12.0,104.0,27.0,1.0,11.0,11.0,,,14.0,4.0,12.0,,1.0,10.0,6.0,,,,,,1.0,,2.0,2.0,2.0,,,1.0,2.0,4.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,4.0,,,,2.0,,,,,,,,,,,,1.0,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,
10,2292900,2022-10-08 15:00:00,"Vitality Stadium, Bournemouth",10272,Away,Leicester City,Bournemouth,1,2,L,1,0,0,0,,29.0,57.0,1.0,2.0,,,13.0,23.0,1.0,2.0,8.0,2.0,,4.0,169.0,19.0,2.0,6.0,1.0,3.0,7.0,5.0,142.0,119.0,64.0,9.0,,7.0,3.0,1.0,,,3.0,,10.0,,22.0,1.0,23.0,2.0,3.0,25.0,198.0,,,0.0,122.0,16.0,,1.0,1.0,55.0,57.0,5.0,91.0,2.0,8.0,18.0,1.0,,1.0,,119.0,8.0,,149.0,,734.0,6.0,2.0,25.0,,6.0,460.0,22.0,2.0,12.0,,2.0,4.0,2.0,15.0,534.0,50.0,95463,3.0,279.0,6.0,,303.0,10.0,7.0,5.0,46.0,,,8.0,1.0,20.0,2.0,5.0,34.0,475.0,7.0,10.0,1.0,13.0,2.0,64.0,,,0.0,7.0,2.0,1.0,,2.0,,0.0,1.0,,1.0,55.8,13.0,1.0,4.0,8.0,2.0,45.0,2.0,1.0,551.0,6.0,9.0,12.0,2.0,,25.0,1.0,2.0,258.0,6.0,3.0,19.0,86.0,23.0,4.0,12.0,32.0,,2.0,6.0,4.0,10.0,3.0,4.0,7.0,2.0,,,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
