gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,accuratePullBack,attFreekickTotal,attBxRight,attOneOnOne,freekickTotal,contentiousDecision,attCmissHigh,totalThroughBall,attSvLowRight,shieldBallOop,attFreekickMiss,effectiveBlockedCross,blockedCross,attemptsIbox,attCmissRight,attMissHighRight,attemptsObox,touchesInOppBox,outfielderBlock,goalsConceded,goalsConcededIbox,errorLeadToGoal,handBall,attLfGoal,attGoalLowCentre,goalAssistOpenplay,attIboxPost,attSvHighLeft,midfielderGoals,attPostLeft,goalAssist,sixYardBlock,totalOffside,goalsOpenplay,goalAssistIntentional,attSvLowLeft,attHdTarget,accurateThroughBall,attObxRight,interceptionsInBox,foulThrowIn,attPostRight,attCmissHighLeft,attSvHighRight,attOboxGoal,errorLeadToShot,attGoalHighLeft,attCorner,attFreekickTarget,attHdPost,goalsConcededObox,ownGoals,clearanceOffLine,attIboxOwnGoal,attGoalHighRight,penaltyConceded,defenderGoals,attFreekickGoal,attCmissHighRight,penaltyFaced,penGoalsConceded,goalAssistSetplay,goalFastbreak,attGoalHighCentre,attObxdRight,attHdGoal,attLgCentre,goalAssistDeadball,attObxdLeft,attObpGoal,attPenTarget,attObxLeft,penaltySave
1,694903,2013-08-18 13:30:00,"Selhurst Park, London",23285,Away,Tottenham Hotspur,Crystal Palace,1,0,W,0,0,0,0,1.0,1.0,65.0,1.0,1.0,31.0,37.0,9.0,3.0,3.0,1.0,175.0,7.0,17.0,1.0,2.0,15.0,3.0,130.0,140.0,62.0,18.0,2.0,29.0,1.0,1.0,1.0,3.0,1.0,6.0,24.0,16.0,1.0,37.0,6.0,18.0,33.0,259.0,1.0,1.0,0.0,173.0,8.0,2.0,1.0,1.0,1.0,73.0,125.0,4.0,97.0,1.0,18.0,12.0,6.0,5.0,140.0,2.0,3.0,108.0,744.0,13.0,7.0,1.0,19.0,423.0,22.0,1.0,3.0,22.0,3.0,0.0,11.0,22.0,492.0,78.0,1.0,93464,6.0,181.0,2.0,11.0,1.0,192.0,2.0,1.0,2.0,12.0,5.0,62.0,4.0,18.0,2.0,4.0,3.0,1.0,61.0,433.0,6.0,7.0,2.0,22.0,87.0,1.0,5.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,0.0,6.0,3.0,58.2,19.0,3.0,6.0,1.0,1.0,4.0,3.0,51.0,7.0,1.0,510.0,19.0,15.0,21.0,12.0,18.0,1.0,6.0,342.0,12.0,18.0,16.0,123.0,26.0,1.0,22.0,24.0,14.0,3.0,23.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694920,2013-08-25 16:00:00,"White Hart Lane, London",36005,Home,Tottenham Hotspur,Swansea City,1,0,W,0,0,0,0,4.0,1.0,65.0,,2.0,28.0,30.0,10.0,9.0,5.0,2.0,160.0,5.0,22.0,1.0,8.0,16.0,7.0,116.0,125.0,72.0,21.0,2.0,22.0,3.0,2.0,,1.0,3.0,3.0,24.0,18.0,3.0,30.0,8.0,15.0,21.0,214.0,1.0,1.0,0.0,129.0,10.0,2.0,2.0,3.0,2.0,78.0,47.0,9.0,78.0,2.0,16.0,11.0,2.0,5.0,125.0,2.0,3.0,100.0,672.0,11.0,6.0,1.0,10.0,373.0,21.0,1.0,5.0,18.0,1.0,1.0,7.0,18.0,439.0,81.0,1.0,93464,7.0,172.0,3.0,11.0,2.0,180.0,3.0,1.0,1.0,11.0,7.0,53.0,5.0,6.0,4.0,2.0,4.0,1.0,54.0,381.0,15.0,10.0,5.0,16.0,82.0,2.0,,,0.0,2.0,3.0,3.0,1.0,,,3.0,0.0,2.0,1.0,47.6,12.0,1.0,1.0,3.0,1.0,5.0,4.0,50.0,8.0,3.0,454.0,10.0,5.0,6.0,10.0,12.0,3.0,5.0,298.0,11.0,13.0,14.0,89.0,35.0,1.0,18.0,22.0,14.0,3.0,31.0,4.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694930,2013-09-01 16:00:00,"Emirates Stadium, London",60071,Away,Tottenham Hotspur,Arsenal,0,1,L,0,1,0,0,3.0,,66.0,,2.0,39.0,19.0,10.0,5.0,4.0,2.0,171.0,4.0,14.0,,4.0,11.0,5.0,149.0,154.0,57.0,14.0,2.0,19.0,2.0,,,4.0,3.0,1.0,25.0,10.0,3.0,19.0,5.0,31.0,32.0,214.0,,,0.0,135.0,14.0,4.0,1.0,1.0,,82.0,68.0,8.0,87.0,1.0,20.0,14.0,,5.0,154.0,,5.0,111.0,725.0,10.0,7.0,,12.0,416.0,22.0,1.0,4.0,12.0,4.0,2.0,3.0,27.0,490.0,64.0,,7958,2.0,226.0,,19.0,4.0,236.0,,,,7.0,9.0,68.0,5.0,10.0,7.0,4.0,1.0,,64.0,436.0,15.0,9.0,1.0,22.0,82.0,,,1.0,0.0,2.0,3.0,2.0,,,,4.0,0.0,4.0,,56.6,17.0,,3.0,,,5.0,4.0,52.0,6.0,,518.0,12.0,20.0,16.0,5.0,36.0,,,307.0,9.0,30.0,15.0,87.0,34.0,,12.0,14.0,9.0,3.0,23.0,7.0,6.0,,2.0,,1.0,2.0,,1.0,,,1.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,10.0,24.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694940,2013-09-14 15:00:00,"White Hart Lane, London",35952,Home,Tottenham Hotspur,Norwich City,2,0,W,1,0,0,0,2.0,2.0,62.0,,2.0,42.0,23.0,14.0,12.0,1.0,3.0,208.0,6.0,16.0,2.0,2.0,20.0,7.0,195.0,161.0,64.0,23.0,4.0,13.0,2.0,,1.0,,4.0,2.0,33.0,14.0,3.0,23.0,7.0,33.0,22.0,354.0,1.0,,0.0,221.0,4.0,,1.0,1.0,1.0,115.0,117.0,12.0,94.0,2.0,26.0,13.0,5.0,7.0,161.0,3.0,3.0,156.0,894.0,18.0,6.0,1.0,14.0,557.0,16.0,,2.0,18.0,,1.0,8.0,41.0,635.0,73.0,,80607,2.0,222.0,1.0,20.0,1.0,232.0,,1.0,,13.0,1.0,49.0,3.0,14.0,2.0,1.0,4.0,,67.0,570.0,12.0,5.0,,23.0,94.0,,,2.0,0.0,1.0,1.0,1.0,2.0,,,4.0,0.0,4.0,1.0,69.0,35.0,1.0,7.0,1.0,,3.0,6.0,68.0,8.0,1.0,653.0,14.0,16.0,14.0,10.0,17.0,2.0,2.0,454.0,10.0,32.0,24.0,169.0,34.0,,18.0,15.0,19.0,3.0,29.0,4.0,8.0,1.0,,,,2.0,,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,4.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694941,2013-09-22 16:00:00,"Cardiff City Stadium, Cardiff",27815,Away,Tottenham Hotspur,Cardiff City,1,0,W,0,0,0,0,4.0,,57.0,,3.0,33.0,16.0,14.0,7.0,,6.0,164.0,5.0,10.0,1.0,1.0,21.0,12.0,123.0,171.0,50.0,29.0,5.0,23.0,5.0,,1.0,,4.0,1.0,33.0,11.0,6.0,16.0,11.0,30.0,27.0,283.0,1.0,,0.0,211.0,8.0,,,1.0,1.0,77.0,107.0,14.0,89.0,2.0,22.0,9.0,5.0,3.0,171.0,,3.0,137.0,720.0,18.0,8.0,1.0,9.0,411.0,21.0,1.0,7.0,12.0,,4.0,7.0,29.0,498.0,77.0,,80607,7.0,139.0,1.0,16.0,1.0,162.0,2.0,1.0,2.0,9.0,8.0,58.0,2.0,9.0,3.0,3.0,4.0,,68.0,417.0,4.0,5.0,2.0,42.0,97.0,,,,0.0,2.0,2.0,,1.0,1.0,1.0,2.0,0.0,3.0,3.0,63.7,22.0,2.0,3.0,4.0,1.0,2.0,8.0,45.0,12.0,1.0,513.0,9.0,13.0,16.0,9.0,20.0,2.0,5.0,384.0,19.0,30.0,21.0,170.0,28.0,,12.0,15.0,22.0,3.0,20.0,5.0,12.0,,,,1.0,2.0,,1.0,,,1.0,3.0,,,2.0,2.0,,1.0,,,,2.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694960,2013-09-28 12:45:00,"White Hart Lane, London",35857,Home,Tottenham Hotspur,Chelsea,1,1,D,1,0,0,1,,1.0,52.0,1.0,,31.0,28.0,9.0,3.0,4.0,2.0,151.0,1.0,23.0,1.0,2.0,11.0,3.0,110.0,138.0,57.0,12.0,3.0,24.0,1.0,,1.0,,,2.0,13.0,11.0,1.0,28.0,4.0,13.0,14.0,192.0,,,0.0,134.0,16.0,3.0,,1.0,1.0,67.0,79.0,6.0,56.0,,9.0,13.0,4.0,5.0,138.0,2.0,5.0,92.0,616.0,10.0,7.0,1.0,16.0,309.0,15.0,,6.0,14.0,,5.0,5.0,18.0,381.0,58.0,1.0,80607,1.0,136.0,1.0,4.0,,151.0,7.0,,,13.0,7.0,61.0,5.0,10.0,6.0,2.0,,,62.0,327.0,14.0,3.0,,29.0,81.0,,2.0,2.0,0.0,1.0,5.0,1.0,1.0,,,2.0,0.0,1.0,,53.5,14.0,,6.0,1.0,,5.0,3.0,38.0,4.0,1.0,409.0,16.0,15.0,6.0,6.0,11.0,,,271.0,9.0,10.0,7.0,93.0,18.0,,14.0,14.0,12.0,3.0,29.0,7.0,4.0,,3.0,,,1.0,2.0,,,,2.0,1.0,,,2.0,2.0,,,3.0,,,3.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,1.0,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694969,2013-10-06 16:00:00,"White Hart Lane, London",35977,Home,Tottenham Hotspur,West Ham United,0,3,L,0,0,0,0,,,61.0,,2.0,36.0,16.0,8.0,5.0,2.0,3.0,157.0,4.0,14.0,,4.0,10.0,4.0,153.0,153.0,55.0,14.0,2.0,13.0,2.0,,,,3.0,1.0,24.0,17.0,2.0,16.0,4.0,13.0,19.0,239.0,,,0.0,142.0,5.0,1.0,,1.0,1.0,52.0,70.0,6.0,58.0,1.0,20.0,12.0,3.0,4.0,153.0,1.0,11.0,134.0,709.0,10.0,7.0,,13.0,404.0,19.0,2.0,6.0,8.0,,0.0,4.0,24.0,487.0,58.0,1.0,80607,5.0,183.0,1.0,16.0,,200.0,1.0,,,12.0,11.0,53.0,7.0,7.0,5.0,4.0,1.0,,61.0,418.0,9.0,8.0,,24.0,90.0,,,1.0,0.0,2.0,7.0,2.0,,,,1.0,0.0,3.0,1.0,60.8,22.0,,3.0,,1.0,8.0,4.0,56.0,6.0,1.0,502.0,13.0,20.0,7.0,6.0,15.0,1.0,2.0,326.0,8.0,12.0,13.0,100.0,27.0,,8.0,19.0,11.0,3.0,21.0,3.0,6.0,,,,1.0,1.0,1.0,1.0,,,5.0,,,,2.0,2.0,,1.0,1.0,,,2.0,3.0,3.0,,,,,,,,,,,,3.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,694971,2013-10-20 16:00:00,"Villa Park, Birmingham",35391,Away,Tottenham Hotspur,Aston Villa,2,0,W,1,0,0,0,1.0,1.0,62.0,1.0,1.0,42.0,22.0,5.0,6.0,2.0,2.0,184.0,6.0,11.0,2.0,3.0,10.0,6.0,140.0,170.0,54.0,13.0,,17.0,2.0,,,1.0,1.0,1.0,23.0,13.0,2.0,22.0,5.0,21.0,27.0,178.0,1.0,,0.0,129.0,12.0,,2.0,1.0,1.0,84.0,62.0,6.0,79.0,1.0,18.0,22.0,2.0,3.0,170.0,3.0,6.0,128.0,746.0,8.0,7.0,,13.0,410.0,22.0,3.0,6.0,12.0,1.0,4.0,4.0,19.0,512.0,57.0,,80607,4.0,252.0,2.0,15.0,,282.0,4.0,1.0,,22.0,15.0,55.0,5.0,14.0,9.0,9.0,1.0,,76.0,424.0,12.0,9.0,,31.0,95.0,,,1.0,0.0,5.0,4.0,1.0,1.0,,,3.0,0.0,6.0,3.0,62.9,17.0,2.0,3.0,1.0,,6.0,1.0,51.0,7.0,1.0,531.0,13.0,10.0,10.0,6.0,15.0,,3.0,272.0,4.0,21.0,15.0,83.0,29.0,1.0,12.0,18.0,10.0,3.0,18.0,10.0,7.0,,1.0,,,1.0,,,1.0,1.0,,,,,3.0,3.0,,,,,,2.0,,,,,1.0,,2.0,,,1.0,,2.0,,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,694990,2013-10-27 16:00:00,"White Hart Lane, London",36080,Home,Tottenham Hotspur,Hull City,1,0,W,0,0,0,0,2.0,1.0,67.0,1.0,,46.0,28.0,10.0,5.0,4.0,3.0,165.0,4.0,13.0,1.0,5.0,10.0,6.0,172.0,144.0,54.0,15.0,3.0,10.0,1.0,2.0,,,1.0,3.0,21.0,16.0,4.0,28.0,6.0,27.0,17.0,296.0,1.0,1.0,0.0,163.0,13.0,2.0,3.0,2.0,,57.0,85.0,5.0,61.0,1.0,15.0,12.0,4.0,3.0,144.0,1.0,6.0,153.0,765.0,7.0,7.0,,12.0,460.0,27.0,1.0,3.0,20.0,,3.0,5.0,26.0,532.0,66.0,,80607,4.0,182.0,1.0,9.0,2.0,201.0,4.0,1.0,,12.0,9.0,53.0,3.0,15.0,4.0,6.0,1.0,1.0,59.0,474.0,7.0,4.0,3.0,14.0,62.0,2.0,,1.0,0.0,4.0,4.0,2.0,1.0,,,5.0,0.0,1.0,1.0,66.2,23.0,1.0,10.0,1.0,,3.0,3.0,46.0,6.0,,551.0,12.0,18.0,11.0,6.0,35.0,3.0,3.0,371.0,9.0,27.0,16.0,122.0,24.0,1.0,20.0,19.0,10.0,3.0,22.0,5.0,6.0,,2.0,,1.0,,,1.0,,1.0,1.0,3.0,4.0,,2.0,2.0,5.0,,,10.0,22.0,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,694992,2013-11-03 13:30:00,"Goodison Park, Liverpool",38378,Away,Tottenham Hotspur,Everton,0,0,D,0,0,0,0,2.0,,66.0,,4.0,34.0,30.0,9.0,8.0,1.0,4.0,136.0,3.0,11.0,,3.0,11.0,6.0,99.0,139.0,53.0,16.0,2.0,19.0,1.0,,,3.0,2.0,,20.0,15.0,5.0,30.0,4.0,15.0,25.0,177.0,1.0,,0.0,147.0,9.0,1.0,,2.0,1.0,61.0,73.0,8.0,49.0,3.0,16.0,17.0,4.0,2.0,139.0,,4.0,90.0,597.0,11.0,11.0,,23.0,289.0,18.0,,8.0,12.0,3.0,1.0,3.0,22.0,364.0,56.0,,80607,2.0,123.0,,10.0,,144.0,1.0,,,17.0,12.0,55.0,3.0,12.0,4.0,8.0,1.0,,54.0,297.0,11.0,10.0,,22.0,74.0,,,1.0,0.0,5.0,7.0,1.0,,,,2.0,0.0,2.0,1.0,47.8,16.0,1.0,3.0,3.0,,3.0,6.0,45.0,4.0,1.0,374.0,23.0,12.0,13.0,4.0,16.0,1.0,2.0,250.0,7.0,12.0,14.0,107.0,39.0,,12.0,17.0,14.0,3.0,17.0,7.0,4.0,,,,1.0,2.0,,1.0,1.0,,,3.0,1.0,,7.0,7.0,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
