gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowLeft,attemptsIbox,attLfGoal,attRfTarget,accuratePullBack,attIboxTarget,attBxRight,attSvLowCentre,attOboxTarget,attMissHighRight,totalFastbreak,interceptionsInBox,attMissRight,attemptsObox,attOboxMiss,subsGoals,attLgCentre,touchesInOppBox,attMissHighLeft,offtargetAttAssist,totalPullBack,totalThroughBall,totalOffside,goalsOpenplay,attSvLowRight,attFreekickTarget,overrun,goalsConceded,accurateCrossNocorner,attBxLeft,clearanceOffLine,attFreekickMiss,shotOffTarget,goalsConcededIbox,goalsConcededObox,accurateKeeperSweeper,attSvHighRight,contentiousDecision,totalKeeperSweeper,attBxCentre,attMissHigh,postScoringAtt,attMissLeft,attIboxPost,attOneOnOne,hitWoodwork,accurateThroughBall,bigChanceMissed,attRfGoal,attCmissHigh,attPostHigh,attHdMiss,attIboxMiss,errorLeadToGoal,attIboxBlocked,goalAssistOpenplay,attOboxGoal,attHdTarget,errorLeadToShot,attCmissHighLeft,forwardGoals,attGoalLowCentre,shotFastbreak,attFastbreak,defenderGoals,attCmissLeft,attGoalLowRight,attCmissRight,attSvLowLeft,attHdPost,attSvHighLeft,ownGoals,attIboxOwnGoal,attPostRight,accurateFreekickCross,sixYardBlock,penaltyWon,attPostLeft,attPenGoal,attObxRight,goalFastbreak,attGoalHighCentre,attObxdRight,foulThrowIn,attSvHighCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attCorner,attCmissHighRight,attObxLeft,attGoalHighRight,attLgRight,attPenTarget
1,694907,2013-08-17 15:00:00,"Stadium of Light, Sunderland",43905,Away,Fulham,Sunderland,1,0,W,0,0,0,0,1.0,1.0,37.0,2.0,1.0,1.0,31.0,31.0,4.0,2.0,3.0,126.0,1.0,8.0,1.0,3.0,4.0,1.0,67.0,133.0,52.0,1.0,5.0,4.0,13.0,8.0,9.0,30.0,1.0,5.0,32.0,116.0,1.0,0.0,66.0,14.0,1.0,1.0,1.0,1.0,54.0,52.0,4.0,56.0,7.0,12.0,1.0,4.0,132.0,1.0,6.0,77.0,533.0,2.0,12.0,8.0,236.0,18.0,12.0,22.0,1.0,3.0,7.0,21.0,305.0,45.0,8763,139.0,2.0,1.0,155.0,5.0,12.0,22.0,56.0,3.0,17.0,15.0,14.0,53.0,254.0,15.0,7.0,1.0,29.0,93.0,1.0,1.0,0.0,6.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,42.2,17.0,1.0,3.0,4.0,44.0,1.0,1.0,326.0,8.0,18.0,11.0,7.0,1.0,179.0,2.0,5.0,18.0,41.0,8.0,4.0,22.0,13.0,1.0,2.0,3.0,14.0,4.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694914,2013-08-24 12:45:00,"Craven Cottage, London",25622,Home,Fulham,Arsenal,1,3,L,0,2,0,0,,1.0,48.0,2.0,,,36.0,25.0,11.0,9.0,5.0,141.0,1.0,14.0,1.0,4.0,11.0,7.0,135.0,106.0,48.0,2.0,16.0,3.0,15.0,18.0,17.0,25.0,1.0,17.0,31.0,189.0,,0.0,127.0,10.0,1.0,,3.0,,38.0,95.0,6.0,80.0,17.0,15.0,2.0,2.0,106.0,,12.0,128.0,663.0,11.0,5.0,9.0,410.0,22.0,4.0,15.0,,2.0,7.0,23.0,470.0,61.0,88734,233.0,12.0,,244.0,6.0,4.0,5.0,44.0,5.0,6.0,7.0,3.0,57.0,421.0,8.0,10.0,,8.0,59.0,,1.0,0.0,8.0,4.0,1.0,1.0,0.0,,,,46.2,18.0,3.0,5.0,3.0,39.0,1.0,,484.0,9.0,9.0,16.0,27.0,,258.0,7.0,16.0,8.0,86.0,17.0,4.0,15.0,18.0,,14.0,3.0,15.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,12.0,6.0,1.0,1.0,12.0,1.0,5.0,1.0,1.0,3.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694926,2013-08-31 15:00:00,"St. James' Park, Newcastle",46402,Away,Fulham,Newcastle United,0,1,L,0,0,0,0,1.0,,57.0,2.0,,,31.0,38.0,2.0,2.0,8.0,143.0,3.0,4.0,,2.0,1.0,2.0,100.0,135.0,44.0,1.0,3.0,,26.0,11.0,11.0,38.0,1.0,13.0,39.0,137.0,,0.0,81.0,10.0,5.0,,,5.0,32.0,72.0,,71.0,10.0,11.0,1.0,2.0,135.0,,13.0,103.0,615.0,1.0,6.0,7.0,322.0,24.0,5.0,21.0,,2.0,5.0,11.0,393.0,47.0,88734,201.0,8.0,,216.0,4.0,11.0,11.0,62.0,6.0,14.0,11.0,5.0,59.0,335.0,13.0,10.0,,19.0,75.0,,,0.0,13.0,6.0,,1.0,0.0,,,,46.2,10.0,1.0,6.0,,33.0,2.0,5.0,417.0,7.0,16.0,16.0,16.0,,212.0,1.0,12.0,14.0,45.0,15.0,7.0,21.0,13.0,,2.0,3.0,8.0,7.0,9.0,2.0,1.0,,,,1.0,,1.0,,1.0,1.0,,,2.0,,,1.0,,,,,1.0,1.0,2.0,3.0,,,1.0,1.0,1.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694933,2013-09-14 15:00:00,"Craven Cottage, London",25560,Home,Fulham,West Bromwich Albion,1,1,D,1,0,0,0,2.0,,50.0,,1.0,,38.0,29.0,7.0,6.0,3.0,171.0,3.0,7.0,1.0,1.0,9.0,2.0,135.0,118.0,45.0,,12.0,2.0,18.0,25.0,14.0,29.0,4.0,22.0,29.0,234.0,,0.0,131.0,11.0,2.0,1.0,,,55.0,99.0,4.0,74.0,21.0,16.0,,7.0,118.0,2.0,8.0,142.0,715.0,7.0,7.0,8.0,446.0,32.0,4.0,18.0,1.0,0.0,2.0,16.0,502.0,49.0,88734,230.0,14.0,,242.0,5.0,16.0,8.0,45.0,4.0,9.0,4.0,3.0,56.0,461.0,12.0,4.0,1.0,17.0,89.0,,,0.0,5.0,3.0,1.0,4.0,0.0,1.0,,1.0,56.6,14.0,,4.0,2.0,60.0,4.0,,522.0,8.0,11.0,17.0,17.0,1.0,305.0,5.0,21.0,14.0,91.0,12.0,5.0,18.0,14.0,,11.0,3.0,11.0,5.0,11.0,4.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,2.0,,5.0,,,,2.0,5.0,1.0,1.0,3.0,,,,1.0,1.0,2.0,,,,8.0,1.0,,1.0,,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694942,2013-09-21 17:30:00,"Stamford Bridge, London",41608,Away,Fulham,Chelsea,0,2,L,0,0,0,0,,,54.0,2.0,,,19.0,35.0,1.0,,7.0,120.0,1.0,3.0,,1.0,4.0,1.0,82.0,124.0,43.0,,4.0,,15.0,12.0,15.0,35.0,3.0,7.0,31.0,102.0,,0.0,69.0,9.0,2.0,,,1.0,28.0,37.0,1.0,45.0,9.0,12.0,,,124.0,1.0,13.0,85.0,552.0,3.0,12.0,21.0,253.0,34.0,5.0,21.0,,0.0,8.0,24.0,314.0,38.0,88734,166.0,9.0,1.0,184.0,3.0,12.0,12.0,57.0,4.0,8.0,11.0,8.0,34.0,267.0,11.0,6.0,1.0,11.0,62.0,,2.0,0.0,13.0,5.0,,2.0,0.0,,1.0,2.0,35.6,18.0,1.0,4.0,,35.0,3.0,2.0,332.0,21.0,18.0,14.0,10.0,,160.0,2.0,6.0,14.0,42.0,10.0,8.0,21.0,16.0,,3.0,3.0,12.0,8.0,2.0,3.0,,,,,1.0,,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,,,,3.0,,3.0,1.0,,,,2.0,2.0,1.0,,,,3.0,2.0,,1.0,,,1.0,2.0,,,,,1.0,,1.0,1.0,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694953,2013-09-28 15:00:00,"Craven Cottage, London",23020,Home,Fulham,Cardiff City,1,2,L,1,1,0,0,,,40.0,,,,41.0,32.0,5.0,2.0,2.0,142.0,6.0,5.0,1.0,,8.0,5.0,81.0,140.0,51.0,,9.0,,23.0,35.0,7.0,32.0,10.0,10.0,33.0,158.0,,0.0,108.0,14.0,1.0,,,3.0,62.0,59.0,5.0,65.0,25.0,19.0,,7.0,140.0,1.0,13.0,100.0,603.0,6.0,11.0,7.0,291.0,21.0,12.0,16.0,1.0,1.0,6.0,20.0,368.0,58.0,88734,157.0,18.0,,169.0,,19.0,18.0,58.0,6.0,9.0,9.0,12.0,65.0,309.0,13.0,7.0,1.0,27.0,84.0,1.0,2.0,0.0,10.0,3.0,,3.0,0.0,,,2.0,48.6,20.0,,6.0,1.0,50.0,11.0,3.0,388.0,7.0,14.0,16.0,15.0,2.0,254.0,5.0,8.0,27.0,68.0,9.0,4.0,16.0,10.0,,8.0,3.0,7.0,4.0,10.0,11.0,,,,1.0,3.0,,2.0,1.0,2.0,2.0,1.0,,,,,2.0,,,,1.0,3.0,1.0,,1.0,1.0,2.0,,,2.0,4.0,,1.0,,3.0,1.0,1.0,,,,,2.0,1.0,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694962,2013-10-05 15:00:00,"Craven Cottage, London",24634,Home,Fulham,Stoke City,1,0,W,0,0,0,0,1.0,1.0,48.0,1.0,,,27.0,35.0,6.0,3.0,1.0,141.0,5.0,13.0,1.0,5.0,4.0,2.0,78.0,144.0,60.0,1.0,9.0,4.0,28.0,18.0,16.0,35.0,5.0,17.0,23.0,167.0,1.0,0.0,126.0,11.0,1.0,,3.0,1.0,60.0,60.0,2.0,74.0,13.0,12.0,1.0,2.0,144.0,,7.0,101.0,624.0,4.0,9.0,16.0,294.0,23.0,4.0,21.0,,3.0,6.0,23.0,374.0,61.0,88734,147.0,8.0,1.0,159.0,1.0,12.0,11.0,62.0,3.0,13.0,9.0,4.0,58.0,309.0,13.0,8.0,,31.0,84.0,,,0.0,5.0,2.0,1.0,4.0,0.0,,,1.0,44.2,20.0,2.0,3.0,4.0,38.0,7.0,1.0,394.0,16.0,13.0,11.0,16.0,2.0,253.0,5.0,15.0,17.0,80.0,17.0,4.0,21.0,18.0,,7.0,3.0,16.0,4.0,8.0,7.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,2.0,,,,1.0,2.0,,,6.0,1.0,1.0,,1.0,,3.0,,2.0,,3.0,,,,,1.0,,2.0,2.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,694973,2013-10-21 20:00:00,"Selhurst Park, London",24881,Away,Fulham,Crystal Palace,4,1,W,2,1,0,0,,1.0,37.0,3.0,2.0,2.0,41.0,31.0,4.0,3.0,3.0,146.0,4.0,3.0,4.0,1.0,7.0,6.0,102.0,140.0,55.0,1.0,9.0,2.0,27.0,12.0,17.0,31.0,6.0,15.0,23.0,176.0,,0.0,111.0,13.0,3.0,2.0,,1.0,68.0,55.0,6.0,85.0,6.0,16.0,1.0,4.0,140.0,1.0,6.0,120.0,664.0,3.0,11.0,11.0,367.0,17.0,10.0,21.0,3.0,1.0,3.0,24.0,438.0,65.0,8763,206.0,2.0,1.0,222.0,3.0,16.0,14.0,68.0,5.0,12.0,8.0,4.0,67.0,378.0,10.0,7.0,1.0,35.0,92.0,2.0,,0.0,5.0,,3.0,4.0,0.0,2.0,1.0,2.0,54.1,15.0,,5.0,2.0,47.0,7.0,1.0,453.0,11.0,20.0,8.0,11.0,4.0,243.0,4.0,14.0,15.0,73.0,9.0,4.0,21.0,27.0,1.0,4.0,3.0,5.0,4.0,5.0,7.0,1.0,2.0,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,2.0,,3.0,1.0,,,,,1.0,1.0,,,,,,3.0,,,1.0,,,,,,3.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,694987,2013-10-26 17:30:00,"St. Mary's Stadium, Southampton",28631,Away,Fulham,Southampton,0,2,L,0,2,0,0,,,42.0,,,,20.0,30.0,,,3.0,124.0,2.0,11.0,,1.0,,,59.0,149.0,56.0,,1.0,,20.0,11.0,12.0,30.0,3.0,10.0,20.0,96.0,,0.0,56.0,8.0,2.0,,2.0,,42.0,36.0,,62.0,8.0,20.0,,1.0,149.0,,13.0,67.0,532.0,,12.0,16.0,222.0,18.0,5.0,19.0,,2.0,6.0,24.0,294.0,47.0,8595,142.0,5.0,,163.0,1.0,20.0,17.0,70.0,2.0,15.0,7.0,5.0,41.0,236.0,11.0,15.0,,28.0,77.0,,,0.0,10.0,4.0,,2.0,0.0,,1.0,,33.8,19.0,1.0,2.0,,37.0,3.0,,312.0,16.0,12.0,10.0,11.0,,160.0,1.0,9.0,18.0,26.0,19.0,4.0,19.0,16.0,,,3.0,27.0,4.0,13.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,1.0,2.0,2.0,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,694993,2013-11-02 15:00:00,"Craven Cottage, London",25700,Home,Fulham,Manchester United,1,3,L,0,3,0,0,1.0,,61.0,,,,35.0,24.0,6.0,1.0,1.0,157.0,5.0,8.0,1.0,1.0,15.0,6.0,117.0,139.0,56.0,,15.0,2.0,10.0,23.0,24.0,24.0,4.0,12.0,19.0,200.0,,0.0,134.0,6.0,,1.0,1.0,1.0,60.0,68.0,9.0,69.0,19.0,15.0,,5.0,139.0,2.0,6.0,108.0,675.0,13.0,8.0,15.0,360.0,29.0,5.0,13.0,1.0,2.0,1.0,23.0,435.0,53.0,8763,179.0,13.0,,201.0,,15.0,8.0,55.0,3.0,10.0,4.0,7.0,54.0,374.0,12.0,15.0,1.0,22.0,62.0,,1.0,0.0,4.0,1.0,,5.0,0.0,,,3.0,47.0,20.0,3.0,3.0,3.0,41.0,4.0,1.0,451.0,15.0,22.0,12.0,27.0,1.0,273.0,11.0,11.0,12.0,99.0,26.0,3.0,13.0,25.0,,13.0,3.0,11.0,3.0,11.0,4.0,,,,,5.0,,4.0,1.0,2.0,1.0,,1.0,4.0,4.0,,2.0,,,,1.0,6.0,,1.0,2.0,1.0,,,3.0,3.0,4.0,1.0,,,6.0,3.0,,,1.0,,,7.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
