gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attRfTarget,attCmissRight,attBxRight,accurateKeeperSweeper,attOboxTarget,cleanSheet,interceptionsInBox,totalKeeperSweeper,attSetpiece,attSvLowRight,punches,overrun,savedIbox,bigChanceCreated,totalPullBack,bigChanceScored,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,goals,attSvLowCentre,goalAssist,accurateThroughBall,totalThroughBall,defenderGoals,attIboxGoal,goalAssistIntentional,attLgLeft,attHdGoal,attGoalLowRight,attLfGoal,goalAssistOpenplay,attMissHighRight,midfielderGoals,hitWoodwork,attRfGoal,goalsOpenplay,attCmissHighRight,foulThrowIn,attBxLeft,goalsConcededObox,postScoringAtt,attIboxPost,attOneOnOne,attOboxGoal,attSvHighLeft,attHdPost,attFreekickTarget,attPostHigh,forwardGoals,attemptsIbox,attGoalHighRight,attemptsObox,attLgCentre,touchesInOppBox,attCorner,ptsDroppedWinningPos,totalFastbreak,shieldBallOop,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,penaltyWon,subsGoals,expectedAssists,attPenGoal,attGoalHighLeft,attSvHighCentre,expectedGoals,accuratePullBack,attGoalLowCentre,shotFastbreak,attGoalHighCentre,attPostLeft,attFastbreak,errorLeadToGoal,errorLeadToShot,attSvHighRight,attObxdRight,attLgRight,attFreekickPost,attOboxPost,attPostRight,attObxdLeft,penaltySave,attCmissHighLeft,goalFastbreak,ownGoals,attIboxOwnGoal
1,694909,2013-08-17 15:00:00,"The Hawthorns, West Bromwich",25927,Home,West Bromwich Albion,Southampton,0,1,L,0,0,0,0,1.0,47.0,2.0,3.0,33.0,38.0,4.0,2.0,2.0,156.0,4.0,5.0,7.0,5.0,1.0,75.0,148.0,59.0,1.0,11.0,2.0,13.0,1.0,2.0,22.0,16.0,38.0,4.0,8.0,25.0,157.0,0.0,126.0,15.0,1.0,1.0,4.0,2.0,54.0,54.0,2.0,58.0,1.0,18.0,12.0,1.0,5.0,3.0,148.0,1.0,4.0,74.0,568.0,4.0,6.0,1.0,5.0,247.0,17.0,1.0,11.0,26.0,4.0,2.0,3.0,27.0,338.0,68.0,1.0,91972,6.0,112.0,1.0,9.0,1.0,1.0,131.0,7.0,12.0,5.0,41.0,1.0,1.0,5.0,12.0,4.0,1.0,1.0,68.0,265.0,24.0,6.0,1.0,37.0,81.0,1.0,0.0,8.0,1.0,1.0,0.0,3.0,2.0,46.7,23.0,1.0,1.0,2.0,5.0,5.0,40.0,4.0,1.0,2.0,363.0,1.0,5.0,1.0,7.0,8.0,5.0,24.0,1.0,2.0,254.0,7.0,8.0,18.0,71.0,19.0,3.0,26.0,16.0,1.0,8.0,2.0,9.0,3.0,9.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694913,2013-08-24 15:00:00,"Goodison Park, Liverpool",36410,Away,West Bromwich Albion,Everton,0,0,D,0,0,0,0,2.0,50.0,2.0,,15.0,45.0,5.0,1.0,8.0,144.0,,2.0,2.0,7.0,2.0,60.0,135.0,56.0,,7.0,,19.0,1.0,1.0,6.0,19.0,45.0,1.0,11.0,21.0,99.0,0.0,84.0,17.0,7.0,,3.0,3.0,36.0,33.0,2.0,39.0,2.0,5.0,6.0,,2.0,4.0,135.0,,13.0,55.0,500.0,6.0,8.0,,14.0,198.0,24.0,,8.0,29.0,1.0,8.0,5.0,14.0,277.0,55.0,,91972,1.0,110.0,,,,,124.0,5.0,6.0,7.0,65.0,1.0,1.0,6.0,7.0,9.0,4.0,2.0,54.0,209.0,14.0,15.0,1.0,43.0,77.0,,0.0,11.0,,5.0,0.0,,,37.7,10.0,,,1.0,6.0,,31.0,1.0,,3.0,298.0,,14.0,,15.0,6.0,5.0,18.0,,1.0,180.0,6.0,10.0,19.0,38.0,18.0,4.0,29.0,23.0,,6.0,3.0,7.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694928,2013-09-01 13:30:00,"The Hawthorns, West Bromwich",23395,Home,West Bromwich Albion,Swansea City,0,2,L,0,1,0,0,,63.0,1.0,2.0,26.0,29.0,3.0,,2.0,147.0,5.0,16.0,6.0,7.0,1.0,116.0,122.0,57.0,,10.0,1.0,13.0,1.0,3.0,20.0,11.0,29.0,2.0,21.0,21.0,235.0,0.0,151.0,10.0,,1.0,6.0,1.0,79.0,29.0,2.0,74.0,1.0,18.0,14.0,,3.0,2.0,122.0,,6.0,120.0,641.0,4.0,3.0,1.0,16.0,375.0,23.0,,6.0,23.0,4.0,4.0,5.0,8.0,442.0,56.0,3.0,91972,4.0,158.0,1.0,9.0,,,168.0,3.0,14.0,8.0,50.0,1.0,3.0,5.0,7.0,6.0,2.0,2.0,39.0,388.0,14.0,9.0,3.0,15.0,77.0,2.0,0.0,5.0,2.0,,0.0,4.0,4.0,42.0,6.0,3.0,,7.0,6.0,3.0,54.0,2.0,,2.0,457.0,,16.0,,8.0,11.0,6.0,17.0,1.0,4.0,309.0,6.0,19.0,15.0,108.0,26.0,1.0,23.0,14.0,2.0,7.0,3.0,26.0,1.0,5.0,2.0,,,,3.0,,,,2.0,,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694933,2013-09-14 15:00:00,"Craven Cottage, London",25560,Away,West Bromwich Albion,Fulham,1,1,D,0,1,0,0,,48.0,,2.0,27.0,38.0,3.0,3.0,1.0,140.0,11.0,4.0,,11.0,4.0,93.0,122.0,45.0,1.0,12.0,,14.0,3.0,2.0,26.0,10.0,38.0,5.0,16.0,20.0,177.0,0.0,105.0,12.0,1.0,1.0,,1.0,62.0,51.0,6.0,59.0,2.0,21.0,15.0,1.0,9.0,4.0,122.0,1.0,5.0,95.0,584.0,10.0,5.0,1.0,9.0,308.0,19.0,,6.0,23.0,1.0,2.0,5.0,20.0,372.0,58.0,,91972,8.0,152.0,2.0,12.0,1.0,,165.0,6.0,15.0,12.0,45.0,,4.0,4.0,11.0,7.0,7.0,2.0,49.0,318.0,9.0,7.0,,23.0,68.0,2.0,0.0,4.0,1.0,2.0,0.0,9.0,4.0,43.4,18.0,2.0,,,4.0,2.0,43.0,5.0,,1.0,387.0,,9.0,1.0,10.0,9.0,6.0,23.0,2.0,2.0,248.0,4.0,16.0,18.0,64.0,23.0,4.0,23.0,15.0,1.0,10.0,3.0,8.0,4.0,5.0,5.0,,2.0,,,1.0,,,,1.0,,1.0,,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694948,2013-09-21 15:00:00,"The Hawthorns, West Bromwich",24595,Home,West Bromwich Albion,Sunderland,3,0,W,1,0,0,0,,61.0,,1.0,31.0,41.0,3.0,2.0,,150.0,5.0,8.0,3.0,9.0,4.0,141.0,129.0,41.0,1.0,13.0,2.0,15.0,1.0,3.0,24.0,10.0,41.0,5.0,19.0,24.0,214.0,0.0,125.0,9.0,,,1.0,4.0,63.0,84.0,4.0,66.0,1.0,19.0,12.0,1.0,4.0,1.0,129.0,,3.0,122.0,702.0,6.0,7.0,,10.0,402.0,19.0,,5.0,30.0,0.0,5.0,5.0,31.0,465.0,55.0,,91972,4.0,202.0,2.0,14.0,,,214.0,3.0,12.0,4.0,49.0,,4.0,8.0,8.0,4.0,2.0,,53.0,411.0,10.0,3.0,2.0,22.0,84.0,,0.0,6.0,,2.0,0.0,4.0,4.0,54.1,30.0,4.0,,6.0,8.0,3.0,47.0,5.0,,4.0,479.0,,10.0,1.0,18.0,12.0,6.0,14.0,1.0,5.0,289.0,7.0,19.0,11.0,89.0,23.0,5.0,30.0,14.0,,9.0,3.0,13.0,5.0,3.0,5.0,,1.0,,2.0,,,1.0,1.0,,1.0,1.0,,2.0,,2.0,1.0,2.0,2.0,,,3.0,,1.0,,2.0,1.0,3.0,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694955,2013-09-28 15:00:00,"Old Trafford, Manchester",75042,Away,West Bromwich Albion,Manchester United,2,1,W,0,0,0,0,,55.0,3.0,,37.0,35.0,6.0,3.0,5.0,137.0,7.0,12.0,3.0,9.0,4.0,90.0,141.0,58.0,1.0,12.0,,14.0,1.0,1.0,17.0,8.0,35.0,7.0,16.0,25.0,190.0,0.0,114.0,14.0,2.0,1.0,2.0,1.0,51.0,69.0,3.0,59.0,2.0,10.0,17.0,1.0,1.0,4.0,141.0,,8.0,82.0,568.0,6.0,16.0,,6.0,267.0,20.0,,14.0,20.0,2.0,5.0,6.0,21.0,348.0,40.0,2.0,91972,4.0,100.0,2.0,7.0,,,122.0,1.0,17.0,6.0,63.0,,1.0,4.0,10.0,6.0,2.0,3.0,62.0,283.0,10.0,16.0,1.0,39.0,78.0,1.0,0.0,5.0,1.0,4.0,0.0,4.0,2.0,40.9,14.0,1.0,,1.0,4.0,,48.0,8.0,,1.0,368.0,,6.0,,14.0,14.0,8.0,16.0,3.0,3.0,263.0,7.0,14.0,22.0,78.0,23.0,4.0,20.0,13.0,,9.0,3.0,19.0,4.0,10.0,8.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,2.0,3.0,2.0,3.0,1.0,1.0,,,,2.0,,2.0,,,,1.0,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694970,2013-10-06 16:00:00,"The Hawthorns, West Bromwich",24839,Home,West Bromwich Albion,Arsenal,1,1,D,1,0,0,0,,65.0,3.0,2.0,28.0,23.0,6.0,2.0,4.0,162.0,4.0,15.0,3.0,12.0,4.0,118.0,138.0,55.0,,12.0,,17.0,,5.0,28.0,14.0,23.0,6.0,16.0,27.0,182.0,0.0,141.0,6.0,2.0,3.0,2.0,2.0,65.0,63.0,6.0,63.0,1.0,22.0,15.0,,3.0,4.0,138.0,,4.0,76.0,622.0,10.0,9.0,,18.0,329.0,26.0,,8.0,10.0,1.0,2.0,5.0,13.0,397.0,72.0,,91972,3.0,163.0,2.0,17.0,,,170.0,2.0,7.0,9.0,51.0,,4.0,9.0,6.0,10.0,2.0,,52.0,341.0,11.0,8.0,,24.0,74.0,,0.0,2.0,1.0,1.0,0.0,4.0,2.0,44.1,11.0,1.0,,3.0,9.0,2.0,42.0,6.0,,2.0,419.0,,18.0,,15.0,17.0,6.0,29.0,,2.0,277.0,8.0,14.0,14.0,89.0,24.0,4.0,10.0,15.0,,9.0,3.0,22.0,4.0,7.0,6.0,,3.0,1.0,,,3.0,,4.0,,2.0,,1.0,2.0,1.0,2.0,,,,1.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,2.0,1.0,,,1.0,,,,,,,5.0,1.0,7.0,1.0,20.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,694977,2013-10-19 15:00:00,"bet365 Stadium, Stoke",25904,Away,West Bromwich Albion,Stoke City,0,0,D,0,0,0,0,,60.0,2.0,2.0,11.0,30.0,4.0,,3.0,137.0,6.0,10.0,1.0,10.0,5.0,108.0,152.0,54.0,,12.0,,21.0,3.0,2.0,22.0,14.0,30.0,5.0,15.0,20.0,165.0,0.0,101.0,10.0,1.0,,1.0,2.0,54.0,58.0,5.0,53.0,1.0,17.0,19.0,,3.0,2.0,152.0,1.0,5.0,101.0,639.0,9.0,12.0,,22.0,307.0,19.0,1.0,6.0,15.0,0.0,,5.0,27.0,384.0,52.0,1.0,91972,8.0,160.0,3.0,13.0,,,180.0,,19.0,13.0,56.0,,2.0,8.0,17.0,4.0,8.0,,30.0,319.0,12.0,6.0,1.0,18.0,67.0,,0.0,6.0,,3.0,0.0,4.0,2.0,50.3,21.0,2.0,,2.0,8.0,2.0,40.0,6.0,,2.0,399.0,,22.0,,15.0,6.0,5.0,13.0,2.0,3.0,241.0,9.0,14.0,19.0,63.0,28.0,3.0,15.0,14.0,,9.0,3.0,16.0,3.0,9.0,6.0,,5.0,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,2.0,,5.0,1.0,3.0,1.0,,,,,,2.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,694984,2013-10-26 15:00:00,"Anfield, Liverpool",44747,Away,West Bromwich Albion,Liverpool,1,4,L,0,2,0,0,,44.0,1.0,3.0,44.0,18.0,4.0,5.0,3.0,169.0,5.0,10.0,3.0,10.0,3.0,104.0,137.0,56.0,,15.0,2.0,12.0,2.0,1.0,20.0,11.0,18.0,8.0,12.0,32.0,184.0,0.0,131.0,11.0,1.0,1.0,,,71.0,37.0,4.0,58.0,1.0,12.0,19.0,,,2.0,137.0,,8.0,98.0,605.0,8.0,10.0,,19.0,312.0,32.0,1.0,6.0,6.0,2.0,1.0,6.0,17.0,396.0,59.0,,91972,10.0,161.0,1.0,12.0,1.0,,184.0,2.0,7.0,13.0,57.0,2.0,,3.0,8.0,10.0,9.0,4.0,59.0,340.0,11.0,15.0,2.0,16.0,82.0,,0.0,3.0,4.0,,0.0,1.0,3.0,45.2,14.0,2.0,,2.0,3.0,5.0,52.0,9.0,,,429.0,,19.0,,15.0,18.0,7.0,32.0,4.0,5.0,265.0,7.0,11.0,18.0,88.0,5.0,2.0,6.0,18.0,3.0,9.0,3.0,16.0,2.0,7.0,9.0,1.0,1.0,,,,,,4.0,,3.0,,,1.0,2.0,1.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,11.0,,4.0,,26.0,2.0,,,,1.1062,2.7053,1.0,1.0,0.817556,1.0,1.0,1.0,2.08356,,,,,,,,,,,,,,,,,,,,
10,694998,2013-11-02 15:00:00,"The Hawthorns, West Bromwich",26397,Home,West Bromwich Albion,Crystal Palace,2,0,W,1,0,0,0,,63.0,,,31.0,24.0,4.0,2.0,4.0,168.0,4.0,8.0,1.0,8.0,4.0,92.0,177.0,58.0,,9.0,2.0,26.0,1.0,1.0,30.0,14.0,24.0,10.0,8.0,24.0,174.0,0.0,145.0,11.0,2.0,1.0,1.0,2.0,61.0,57.0,5.0,63.0,1.0,20.0,16.0,,4.0,1.0,177.0,,8.0,92.0,628.0,6.0,16.0,,17.0,304.0,21.0,,12.0,8.0,0.0,3.0,3.0,18.0,405.0,81.0,,91972,4.0,141.0,,15.0,,,164.0,2.0,16.0,9.0,69.0,,2.0,8.0,15.0,4.0,6.0,,63.0,311.0,8.0,9.0,,38.0,90.0,1.0,0.0,3.0,,5.0,0.0,1.0,2.0,49.8,14.0,1.0,,6.0,8.0,2.0,49.0,10.0,,2.0,415.0,,17.0,,15.0,13.0,3.0,21.0,3.0,2.0,281.0,5.0,6.0,25.0,91.0,26.0,,8.0,17.0,,6.0,3.0,16.0,,9.0,10.0,,2.0,,1.0,2.0,1.0,1.0,,2.0,1.0,,2.0,,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
