gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,savedObox,saves,attObxLeft,shotFastbreak,postScoringAtt,attIboxPost,attOneOnOne,cleanSheet,divingSave,attSvLowLeft,hitWoodwork,sixYardBlock,goalKicks,accurateGoalKicks,attFastbreak,attSvLowRight,punches,savedIbox,attSvHighCentre,attPostRight,contentiousDecision,attFreekickPost,attGoalHighCentre,errorLeadToShot,attFreekickTarget,attOboxPost,attPostHigh,goalAssistIntentional,clearanceOffLine,forwardGoals,attHdGoal,goalsConcededObox,attGoalLowLeft,attGoalHighRight,penaltyConceded,attGoalHighLeft,attFreekickGoal,penaltyFaced,penGoalsConceded,attRfGoal,attFreekickMiss,penaltySave,ownGoals,attIboxOwnGoal,goalAssistSetplay,attSvHighLeft,attCmissHigh,attHdPost,goalAssistDeadball,attPostLeft,attemptsIbox,attSvHighRight,ptsGainedLosingPos,attemptsObox,subsGoals,touchesInOppBox,attCorner,goalFastbreak,errorLeadToGoal,penaltyWon,attPenGoal,attCmissHighLeft
11,695003,2013-11-09 15:00:00,"Selhurst Park, London",25231,Away,Everton,Crystal Palace,0,0,D,0,0,0,0,,,53.0,,2.0,52.0,24.0,7.0,6.0,,2.0,190.0,,4.0,11.0,,3.0,12.0,1.0,3.0,2.0,163.0,134.0,55.0,1.0,15.0,2.0,18.0,,1.0,,,,2.0,30.0,9.0,2.0,24.0,6.0,22.0,38.0,319.0,1.0,,0.0,205.0,8.0,,,2.0,,109.0,84.0,5.0,99.0,,4.0,24.0,20.0,1.0,7.0,4.0,134.0,,2.0,170.0,837.0,11.0,6.0,,10.0,528.0,18.0,1.0,6.0,21.0,,1.0,0.0,2.0,7.0,25.0,602.0,94.0,1.0,,97299,3.0,231.0,1.0,15.0,,240.0,2.0,1.0,20.0,48.0,1.0,,1.0,14.0,,8.0,7.0,,77.0,546.0,16.0,4.0,1.0,17.0,77.0,,0.0,,4.0,,,4.0,0.0,4.0,1.0,3.0,72.8,23.0,2.0,4.0,2.0,14.0,4.0,54.0,7.0,,622.0,10.0,11.0,17.0,9.0,27.0,,4.0,412.0,6.0,18.0,17.0,161.0,16.0,1.0,21.0,15.0,,11.0,2.0,21.0,1.0,7.0,7.0,,2.0,2.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,6.0,6.0,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
12,695012,2013-11-23 12:45:00,"Goodison Park, Liverpool",39576,Home,Everton,Liverpool,3,3,D,1,2,0,0,3.0,1.0,43.0,1.0,1.0,36.0,31.0,7.0,6.0,,6.0,148.0,,3.0,17.0,3.0,3.0,14.0,1.0,,12.0,87.0,147.0,68.0,1.0,18.0,,17.0,5.0,1.0,,1.0,3.0,2.0,22.0,16.0,4.0,31.0,5.0,15.0,29.0,189.0,2.0,,0.0,154.0,16.0,2.0,1.0,2.0,1.0,60.0,51.0,11.0,67.0,1.0,,17.0,12.0,1.0,5.0,4.0,147.0,2.0,9.0,82.0,639.0,11.0,6.0,,15.0,285.0,18.0,,6.0,21.0,2.0,,4.0,3.0,3.0,33.0,362.0,62.0,3.0,,97299,3.0,119.0,2.0,10.0,1.0,128.0,2.0,1.0,12.0,70.0,3.0,,1.0,3.0,1.0,10.0,2.0,1.0,54.0,305.0,15.0,11.0,1.0,17.0,82.0,1.0,0.0,1.0,7.0,3.0,3.0,2.0,0.0,2.0,4.0,1.0,50.7,29.0,,3.0,3.0,3.0,1.0,44.0,6.0,1.0,384.0,15.0,20.0,8.0,5.0,22.0,1.0,1.0,278.0,11.0,15.0,14.0,107.0,18.0,5.0,21.0,24.0,2.0,14.0,3.0,26.0,5.0,7.0,6.0,1.0,,2.0,1.0,1.0,,,2.0,,1.0,4.0,,,10.0,6.0,1.0,2.0,,2.0,,,,,,,1.0,,,2.0,,2.0,1.0,1.0,,1.0,,1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,
13,695024,2013-11-30 15:00:00,"Goodison Park, Liverpool",35513,Home,Everton,Stoke City,4,0,W,1,0,0,0,2.0,2.0,59.0,,3.0,27.0,25.0,9.0,9.0,2.0,6.0,171.0,1.0,5.0,12.0,4.0,6.0,17.0,,,12.0,123.0,143.0,52.0,2.0,22.0,3.0,28.0,6.0,3.0,1.0,3.0,4.0,2.0,26.0,11.0,2.0,25.0,6.0,24.0,20.0,235.0,,1.0,0.0,161.0,9.0,1.0,,1.0,1.0,70.0,68.0,13.0,76.0,2.0,2.0,20.0,9.0,2.0,1.0,3.0,143.0,4.0,3.0,109.0,716.0,12.0,4.0,,18.0,384.0,26.0,,2.0,14.0,4.0,1.0,0.0,1.0,4.0,26.0,458.0,69.0,2.0,,97299,7.0,174.0,2.0,18.0,,188.0,,3.0,9.0,71.0,3.0,2.0,3.0,5.0,3.0,5.0,1.0,,50.0,404.0,15.0,8.0,1.0,20.0,60.0,1.0,0.0,2.0,3.0,3.0,,1.0,0.0,4.0,1.0,1.0,54.0,21.0,1.0,4.0,1.0,5.0,6.0,31.0,9.0,1.0,479.0,18.0,21.0,12.0,4.0,19.0,1.0,1.0,317.0,12.0,22.0,8.0,119.0,23.0,,14.0,18.0,,18.0,3.0,21.0,,8.0,9.0,1.0,,3.0,,1.0,,,2.0,1.0,1.0,,,,6.0,4.0,1.0,3.0,,3.0,1.0,,,,,,1.0,,,2.0,,2.0,,,2.0,,,1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,
14,695034,2013-12-04 19:45:00,"Old Trafford, Manchester",75210,Away,Everton,Manchester United,1,0,W,0,0,0,0,1.0,1.0,56.0,,3.0,35.0,49.0,8.0,7.0,1.0,2.0,152.0,1.0,4.0,9.0,1.0,4.0,13.0,1.0,,4.0,111.0,134.0,57.0,1.0,15.0,1.0,19.0,2.0,3.0,1.0,1.0,,4.0,17.0,20.0,1.0,49.0,3.0,15.0,29.0,197.0,,,0.0,137.0,12.0,3.0,,,1.0,53.0,57.0,8.0,74.0,2.0,2.0,14.0,21.0,1.0,4.0,5.0,134.0,1.0,12.0,100.0,669.0,12.0,6.0,,13.0,341.0,25.0,,7.0,24.0,1.0,1.0,0.0,4.0,5.0,15.0,421.0,64.0,2.0,,97299,1.0,158.0,,10.0,,175.0,3.0,1.0,21.0,56.0,2.0,1.0,2.0,6.0,1.0,9.0,6.0,,58.0,351.0,9.0,8.0,,28.0,74.0,1.0,0.0,,7.0,1.0,,1.0,0.0,3.0,,,48.0,12.0,,1.0,2.0,7.0,4.0,38.0,4.0,1.0,437.0,13.0,11.0,15.0,7.0,15.0,1.0,1.0,279.0,8.0,15.0,16.0,96.0,21.0,8.0,24.0,23.0,,14.0,3.0,15.0,8.0,11.0,4.0,,2.0,6.0,,1.0,1.0,,,1.0,2.0,,1.0,,8.0,5.0,1.0,2.0,1.0,4.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
15,695041,2013-12-08 16:00:00,"Emirates Stadium, London",60001,Away,Everton,Arsenal,1,1,D,0,0,0,0,,,55.0,,1.0,43.0,27.0,5.0,5.0,,3.0,181.0,,4.0,9.0,1.0,2.0,9.0,1.0,,4.0,129.0,138.0,44.0,,12.0,1.0,10.0,1.0,5.0,,1.0,,,19.0,13.0,2.0,27.0,2.0,19.0,25.0,253.0,,,0.0,138.0,11.0,,,1.0,1.0,71.0,86.0,6.0,79.0,3.0,3.0,17.0,17.0,,3.0,2.0,138.0,,9.0,135.0,731.0,8.0,4.0,,18.0,421.0,21.0,2.0,3.0,13.0,1.0,,4.0,2.0,3.0,25.0,499.0,72.0,2.0,,97299,1.0,191.0,,13.0,,205.0,1.0,2.0,6.0,50.0,2.0,,1.0,10.0,1.0,14.0,2.0,1.0,66.0,440.0,13.0,10.0,,18.0,75.0,,0.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,,1.0,55.9,23.0,1.0,2.0,1.0,10.0,2.0,52.0,2.0,1.0,524.0,18.0,14.0,10.0,6.0,23.0,1.0,4.0,338.0,6.0,19.0,8.0,93.0,22.0,4.0,13.0,14.0,1.0,11.0,3.0,15.0,4.0,6.0,2.0,1.0,,4.0,,,,,,,4.0,,,,9.0,6.0,,1.0,1.0,4.0,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,7.0,1.0,1.0,5.0,1.0,23.0,1.0,,,,,
16,695054,2013-12-14 15:00:00,"Goodison Park, Liverpool",33796,Home,Everton,Fulham,4,1,W,1,0,0,0,,1.0,58.0,1.0,2.0,40.0,18.0,9.0,5.0,2.0,1.0,161.0,,8.0,6.0,4.0,,16.0,1.0,1.0,7.0,127.0,121.0,37.0,,22.0,5.0,9.0,2.0,2.0,,2.0,1.0,3.0,31.0,10.0,1.0,18.0,10.0,32.0,29.0,255.0,,1.0,0.0,148.0,10.0,3.0,3.0,,1.0,73.0,57.0,10.0,90.0,1.0,3.0,21.0,15.0,,2.0,2.0,121.0,,8.0,151.0,730.0,10.0,8.0,,21.0,450.0,23.0,,3.0,14.0,3.0,,1.0,3.0,6.0,21.0,515.0,72.0,1.0,,97299,8.0,215.0,,19.0,,231.0,2.0,1.0,15.0,45.0,3.0,1.0,,5.0,3.0,6.0,8.0,2.0,65.0,462.0,7.0,6.0,3.0,16.0,71.0,2.0,0.0,1.0,2.0,3.0,1.0,6.0,0.0,3.0,,5.0,57.5,20.0,4.0,2.0,,5.0,7.0,46.0,12.0,1.0,529.0,21.0,10.0,16.0,8.0,15.0,5.0,6.0,329.0,10.0,27.0,8.0,113.0,28.0,1.0,14.0,16.0,1.0,15.0,2.0,17.0,1.0,6.0,12.0,,1.0,2.0,,1.0,,,,,2.0,1.0,,1.0,7.0,5.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,
17,695069,2013-12-22 16:00:00,"Swansea.com Stadium, Swansea",20695,Away,Everton,Swansea City,2,1,W,0,0,0,0,2.0,,55.0,,2.0,20.0,32.0,8.0,6.0,,1.0,140.0,,6.0,9.0,2.0,2.0,9.0,,,6.0,109.0,123.0,54.0,1.0,14.0,2.0,16.0,2.0,1.0,1.0,1.0,,1.0,19.0,16.0,2.0,32.0,6.0,11.0,26.0,181.0,,2.0,0.0,127.0,10.0,1.0,1.0,1.0,1.0,48.0,55.0,7.0,59.0,2.0,2.0,13.0,15.0,1.0,4.0,2.0,123.0,1.0,8.0,100.0,611.0,6.0,8.0,1.0,9.0,321.0,19.0,,,21.0,1.0,1.0,0.0,1.0,2.0,18.0,392.0,82.0,,,97299,5.0,159.0,1.0,8.0,,170.0,2.0,1.0,15.0,46.0,,1.0,1.0,8.0,1.0,10.0,6.0,1.0,42.0,334.0,11.0,4.0,2.0,11.0,63.0,,0.0,1.0,4.0,,1.0,1.0,0.0,2.0,1.0,2.0,45.5,14.0,1.0,3.0,,8.0,4.0,35.0,8.0,1.0,408.0,9.0,11.0,8.0,4.0,20.0,4.0,2.0,257.0,5.0,11.0,17.0,77.0,23.0,4.0,21.0,17.0,1.0,10.0,2.0,16.0,4.0,6.0,8.0,1.0,1.0,3.0,,,,,,,1.0,,1.0,,12.0,10.0,,2.0,,2.0,1.0,,,,,,,,,,,,,,,2.0,,,1.0,,,2.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
19,695084,2013-12-29 13:30:00,"Goodison Park, Liverpool",39092,Home,Everton,Southampton,2,1,W,1,0,0,0,1.0,1.0,60.0,,,33.0,35.0,4.0,5.0,1.0,1.0,151.0,,3.0,12.0,2.0,3.0,8.0,,1.0,4.0,64.0,159.0,67.0,,9.0,1.0,20.0,2.0,1.0,1.0,2.0,,1.0,10.0,22.0,,35.0,2.0,12.0,21.0,128.0,,,0.0,113.0,9.0,,,2.0,2.0,51.0,49.0,4.0,65.0,1.0,1.0,8.0,29.0,,2.0,3.0,159.0,2.0,4.0,73.0,596.0,5.0,15.0,,14.0,247.0,28.0,,6.0,21.0,2.0,2.0,2.0,5.0,4.0,29.0,329.0,69.0,1.0,,97299,4.0,138.0,1.0,4.0,,162.0,6.0,,29.0,53.0,1.0,1.0,3.0,4.0,2.0,24.0,8.0,2.0,58.0,263.0,14.0,6.0,1.0,28.0,76.0,,0.0,2.0,3.0,2.0,1.0,5.0,0.0,2.0,1.0,,44.1,23.0,,1.0,,4.0,1.0,39.0,2.0,3.0,353.0,14.0,14.0,10.0,4.0,18.0,1.0,1.0,201.0,4.0,11.0,16.0,65.0,19.0,4.0,21.0,26.0,,8.0,2.0,16.0,4.0,10.0,2.0,,1.0,1.0,,,,,1.0,,,,,,14.0,5.0,,2.0,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,
20,695097,2014-01-01 15:00:00,"bet365 Stadium, Stoke",25832,Away,Everton,Stoke City,1,1,D,0,0,0,0,,1.0,62.0,,6.0,32.0,18.0,6.0,2.0,1.0,2.0,170.0,,5.0,11.0,1.0,8.0,10.0,2.0,1.0,4.0,130.0,142.0,57.0,2.0,16.0,1.0,25.0,1.0,1.0,2.0,,1.0,,23.0,15.0,2.0,18.0,3.0,44.0,26.0,297.0,,,0.0,194.0,11.0,1.0,,5.0,1.0,78.0,56.0,6.0,85.0,,2.0,20.0,16.0,2.0,5.0,1.0,142.0,1.0,4.0,123.0,754.0,10.0,9.0,1.0,20.0,419.0,21.0,,5.0,8.0,,2.0,1.0,3.0,4.0,25.0,495.0,100.0,,,97299,8.0,140.0,1.0,10.0,1.0,152.0,1.0,2.0,16.0,63.0,1.0,1.0,1.0,10.0,,16.0,6.0,1.0,49.0,432.0,16.0,11.0,,16.0,71.0,,0.0,3.0,2.0,1.0,1.0,4.0,0.0,4.0,1.0,2.0,60.5,22.0,1.0,5.0,1.0,10.0,7.0,50.0,5.0,1.0,508.0,20.0,16.0,15.0,5.0,31.0,1.0,2.0,379.0,11.0,42.0,10.0,147.0,24.0,3.0,8.0,21.0,,12.0,3.0,17.0,3.0,7.0,5.0,2.0,1.0,3.0,,,2.0,,,,1.0,1.0,2.0,2.0,11.0,8.0,,1.0,1.0,2.0,,,,1.0,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,
21,695103,2014-01-11 15:00:00,"Goodison Park, Liverpool",36827,Home,Everton,Norwich City,2,0,W,1,0,0,0,2.0,,46.0,,4.0,38.0,24.0,12.0,11.0,1.0,,193.0,,8.0,16.0,2.0,5.0,20.0,,3.0,5.0,124.0,139.0,62.0,1.0,23.0,4.0,15.0,3.0,1.0,1.0,1.0,1.0,,31.0,10.0,,24.0,9.0,24.0,22.0,272.0,1.0,2.0,0.0,201.0,7.0,,2.0,1.0,1.0,90.0,64.0,11.0,77.0,2.0,7.0,22.0,13.0,1.0,2.0,6.0,139.0,1.0,7.0,128.0,765.0,18.0,10.0,1.0,15.0,431.0,13.0,2.0,9.0,14.0,1.0,1.0,1.0,3.0,9.0,29.0,506.0,79.0,,,97299,7.0,180.0,1.0,19.0,,193.0,,1.0,13.0,39.0,3.0,,2.0,8.0,1.0,10.0,4.0,,61.0,444.0,14.0,3.0,1.0,28.0,72.0,,0.0,2.0,5.0,,,4.0,0.0,5.0,1.0,3.0,62.4,24.0,2.0,3.0,2.0,9.0,8.0,39.0,10.0,1.0,522.0,15.0,8.0,12.0,10.0,17.0,3.0,4.0,360.0,8.0,23.0,14.0,153.0,20.0,1.0,14.0,20.0,,19.0,2.0,22.0,1.0,5.0,10.0,,1.0,2.0,,,,,,1.0,2.0,,,,8.0,4.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
22,695119,2014-01-20 20:00:00,"The Hawthorns, West Bromwich",24184,Away,Everton,West Bromwich Albion,1,1,D,1,0,0,0,1.0,1.0,61.0,,2.0,45.0,39.0,4.0,6.0,,2.0,173.0,,3.0,10.0,1.0,3.0,8.0,,2.0,4.0,98.0,160.0,58.0,1.0,13.0,1.0,26.0,2.0,3.0,,1.0,,2.0,19.0,10.0,1.0,39.0,1.0,16.0,41.0,182.0,,,0.0,151.0,12.0,,1.0,2.0,2.0,69.0,58.0,6.0,65.0,4.0,3.0,18.0,18.0,1.0,3.0,2.0,160.0,1.0,8.0,106.0,678.0,6.0,11.0,,9.0,326.0,25.0,,5.0,24.0,1.0,,2.0,3.0,2.0,28.0,422.0,79.0,,,97299,5.0,162.0,,13.0,3.0,185.0,3.0,,18.0,64.0,1.0,,2.0,7.0,1.0,10.0,6.0,1.0,75.0,341.0,15.0,5.0,1.0,25.0,74.0,2.0,0.0,2.0,4.0,1.0,1.0,6.0,0.0,3.0,,,49.9,25.0,,1.0,1.0,7.0,3.0,38.0,2.0,2.0,442.0,9.0,15.0,19.0,6.0,13.0,,4.0,276.0,7.0,14.0,18.0,98.0,23.0,7.0,24.0,16.0,1.0,9.0,3.0,18.0,7.0,7.0,2.0,1.0,3.0,5.0,,,,,1.0,,2.0,1.0,,1.0,7.0,4.0,,1.0,,2.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
23,695123,2014-01-28 20:00:00,"Anfield, Liverpool",44450,Away,Everton,Liverpool,0,4,L,0,3,0,0,2.0,,47.0,,3.0,37.0,18.0,10.0,7.0,,2.0,179.0,,5.0,20.0,,2.0,14.0,,,4.0,135.0,147.0,59.0,1.0,19.0,5.0,15.0,1.0,1.0,,,1.0,3.0,23.0,17.0,3.0,18.0,7.0,25.0,27.0,292.0,,,0.0,211.0,13.0,,,1.0,,99.0,83.0,10.0,66.0,1.0,2.0,16.0,10.0,1.0,1.0,2.0,147.0,,12.0,139.0,752.0,11.0,4.0,,9.0,426.0,19.0,,3.0,7.0,,2.0,3.0,3.0,4.0,25.0,502.0,94.0,1.0,,97299,6.0,152.0,,14.0,,159.0,7.0,,10.0,57.0,1.0,,,4.0,,14.0,8.0,2.0,54.0,439.0,11.0,5.0,3.0,13.0,84.0,1.0,0.0,4.0,5.0,,4.0,2.0,0.0,1.0,,2.0,60.9,25.0,2.0,3.0,1.0,4.0,8.0,58.0,8.0,,519.0,9.0,14.0,16.0,7.0,15.0,4.0,5.0,383.0,9.0,22.0,7.0,160.0,19.0,1.0,7.0,22.0,3.0,15.0,3.0,31.0,1.0,4.0,8.0,,4.0,5.0,,,,,,,2.0,1.0,,,9.0,3.0,,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,2.0,,,
24,695133,2014-02-01 15:00:00,"Goodison Park, Liverpool",39469,Home,Everton,Aston Villa,2,1,W,0,1,0,0,2.0,1.0,47.0,1.0,2.0,61.0,30.0,5.0,5.0,,1.0,164.0,,6.0,9.0,2.0,5.0,7.0,,,6.0,166.0,149.0,52.0,1.0,13.0,3.0,21.0,3.0,4.0,,1.0,1.0,,27.0,14.0,1.0,30.0,10.0,26.0,43.0,280.0,,1.0,0.0,200.0,4.0,,1.0,3.0,1.0,113.0,83.0,7.0,92.0,,1.0,17.0,12.0,1.0,2.0,,149.0,2.0,1.0,153.0,790.0,6.0,9.0,1.0,7.0,469.0,21.0,,,23.0,1.0,,1.0,1.0,,30.0,552.0,85.0,1.0,,97299,2.0,216.0,1.0,12.0,,232.0,2.0,,12.0,44.0,1.0,,9.0,4.0,1.0,8.0,3.0,,89.0,490.0,17.0,1.0,,14.0,79.0,,0.0,4.0,1.0,1.0,1.0,3.0,0.0,5.0,,1.0,71.0,28.0,,3.0,2.0,4.0,5.0,51.0,13.0,1.0,575.0,7.0,11.0,25.0,2.0,16.0,1.0,1.0,370.0,7.0,24.0,12.0,146.0,18.0,1.0,23.0,14.0,1.0,7.0,3.0,16.0,1.0,4.0,13.0,,,,,,1.0,1.0,1.0,,,,1.0,,5.0,3.0,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,
25,695150,2014-02-09 13:30:00,"White Hart Lane, London",35944,Away,Everton,Tottenham Hotspur,0,1,L,0,0,0,0,2.0,,62.0,,2.0,30.0,30.0,4.0,4.0,,1.0,148.0,,4.0,17.0,,2.0,10.0,1.0,,3.0,106.0,138.0,73.0,,10.0,,12.0,1.0,2.0,2.0,,1.0,1.0,22.0,26.0,2.0,30.0,7.0,12.0,26.0,221.0,1.0,,0.0,159.0,13.0,,,2.0,,79.0,42.0,5.0,63.0,2.0,1.0,15.0,16.0,,3.0,2.0,138.0,,4.0,110.0,668.0,8.0,5.0,,14.0,341.0,23.0,1.0,2.0,13.0,,2.0,0.0,1.0,5.0,23.0,418.0,70.0,,2.0,97299,3.0,133.0,,10.0,1.0,154.0,2.0,2.0,16.0,58.0,1.0,,4.0,4.0,,5.0,4.0,1.0,53.0,350.0,9.0,11.0,2.0,14.0,58.0,1.0,0.0,2.0,9.0,,1.0,2.0,0.0,3.0,2.0,2.0,54.2,19.0,2.0,3.0,,4.0,2.0,36.0,7.0,,427.0,14.0,15.0,15.0,5.0,20.0,1.0,3.0,295.0,4.0,12.0,11.0,116.0,32.0,5.0,13.0,37.0,1.0,8.0,3.0,27.0,5.0,10.0,7.0,2.0,,1.0,,,,,,,1.0,,,1.0,11.0,8.0,,2.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
26,695157,2014-04-16 19:45:00,"Goodison Park, Liverpool",39333,Home,Everton,Crystal Palace,2,3,L,0,1,0,0,,2.0,62.0,,1.0,50.0,17.0,6.0,5.0,,3.0,195.0,1.0,8.0,16.0,2.0,4.0,12.0,2.0,1.0,5.0,140.0,151.0,60.0,,17.0,2.0,24.0,3.0,3.0,1.0,1.0,1.0,1.0,44.0,20.0,,17.0,13.0,18.0,31.0,350.0,1.0,,0.0,225.0,6.0,2.0,1.0,1.0,,95.0,81.0,7.0,72.0,1.0,1.0,31.0,16.0,,7.0,4.0,151.0,1.0,5.0,169.0,813.0,9.0,5.0,,15.0,491.0,30.0,,1.0,13.0,1.0,1.0,1.0,,5.0,29.0,560.0,101.0,,1.0,97299,3.0,164.0,,23.0,3.0,172.0,1.0,3.0,16.0,73.0,,,,2.0,2.0,7.0,2.0,6.0,61.0,506.0,10.0,12.0,2.0,7.0,72.0,,0.0,4.0,3.0,2.0,3.0,3.0,0.0,7.0,1.0,2.0,69.1,28.0,2.0,1.0,1.0,2.0,3.0,57.0,13.0,,576.0,15.0,16.0,14.0,9.0,27.0,1.0,5.0,448.0,10.0,17.0,13.0,173.0,30.0,4.0,13.0,21.0,3.0,11.0,3.0,33.0,4.0,2.0,13.0,,,1.0,,,,,,,1.0,,1.0,,7.0,7.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
27,695162,2014-02-22 12:45:00,"Stamford Bridge, London",41580,Away,Everton,Chelsea,0,1,L,0,0,0,0,,,62.0,,3.0,29.0,40.0,3.0,1.0,,2.0,170.0,,4.0,8.0,,3.0,8.0,,,2.0,116.0,167.0,68.0,,8.0,,30.0,,1.0,,,,2.0,21.0,20.0,2.0,40.0,7.0,23.0,34.0,207.0,,,0.0,149.0,12.0,1.0,,4.0,1.0,97.0,53.0,5.0,65.0,1.0,1.0,14.0,16.0,,2.0,1.0,167.0,,11.0,104.0,702.0,7.0,7.0,,10.0,347.0,33.0,,3.0,21.0,,,2.0,6.0,3.0,20.0,437.0,77.0,,,97299,4.0,156.0,,8.0,,182.0,7.0,,16.0,78.0,,,2.0,8.0,,14.0,14.0,,57.0,359.0,15.0,13.0,1.0,24.0,83.0,,0.0,2.0,8.0,,1.0,4.0,0.0,3.0,2.0,2.0,53.4,13.0,2.0,,,8.0,3.0,42.0,8.0,1.0,455.0,10.0,14.0,24.0,3.0,15.0,1.0,2.0,294.0,5.0,23.0,16.0,103.0,18.0,2.0,21.0,29.0,,6.0,3.0,17.0,2.0,9.0,8.0,,4.0,7.0,,,,,,,3.0,,,1.0,12.0,6.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
