gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,wonCorners,handBall,savedObox,accuratePullBack,attMissLeft,attOboxTarget,divingSave,attSvLowLeft,interceptionsInBox,errorLeadToShot,totalPullBack,attSvLowRight,goalsConceded,possWonAtt3rd,accurateCornersIntobox,effectiveBlockedCross,goalsConcededIbox,errorLeadToGoal,blockedCross,goalAssistSetplay,goalAssistDeadball,goals,attCmissRight,attSvHighRight,attGoalHighCentre,hitWoodwork,goalAssist,attIboxGoal,goalAssistIntentional,shieldBallOop,forwardGoals,attHdGoal,goalsConcededObox,attGoalLowLeft,attLfGoal,goalAssistOpenplay,accurateKeeperSweeper,attGoalHighRight,attSvHighLeft,totalKeeperSweeper,accurateFreekickCross,attRfGoal,goalsOpenplay,attCmissLeft,postScoringAtt,attIboxPost,attMissHighLeft,attFreekickTarget,attPostRight,bigChanceScored,attGoalLowCentre,shotFastbreak,penaltyWon,totalFastbreak,midfielderGoals,attPenGoal,attFastbreak,attGoalHighLeft,attOboxPost,attPostHigh,clearanceOffLine,attPostLeft,goalFastbreak,attOboxGoal,ownGoals,attIboxOwnGoal,attLgCentre,attPenTarget,attGoalLowRight,attHdPost,attCmissHighLeft,attObpGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickGoal,defenderGoals,foulThrowIn
1,360470,2011-08-13 15:00:00,"Craven Cottage, London",25700,Home,Fulham,Aston Villa,0,0,D,0,0,0,0,1.0,40.0,3.0,21.0,25.0,5.0,6.0,3.0,187.0,6.0,3.0,4.0,12.0,5.0,84.0,167.0,50.0,1.0,15.0,2.0,19.0,5.0,2.0,4.0,21.0,6.0,15.0,2.0,21.0,22.0,166.0,1.0,1.0,0.0,140.0,10.0,2.0,3.0,45.0,48.0,9.0,53.0,2.0,19.0,1.0,9.0,3.0,157.0,2.0,5.0,95.0,584.0,11.0,9.0,1.0,10.0,17.0,6.0,15.0,2.0,1.0,3.0,30.0,75.0,3.0,9493,4.0,154.0,2.0,8.0,1.0,1.0,175.0,7.0,42.0,2.0,8.0,5.0,8.0,5.0,2.0,5.0,2.0,51.0,314.0,19.0,2.0,1.0,23.0,94.0,1.0,0.0,2.0,3.0,1.0,3.0,1.0,0.0,6.0,2.0,54.1,19.0,1.0,3.0,1.0,9.0,5.0,48.0,2.0,3.0,419.0,9.0,1.0,8.0,5.0,5.0,33.0,2.0,265.0,6.0,21.0,19.0,81.0,11.0,9.0,9.0,12.0,1.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,360488,2011-08-21 14:00:00,"Molineux Stadium, Wolverhampton",22657,Away,Fulham,Wolverhampton Wanderers,0,2,L,0,2,0,0,1.0,50.0,3.0,17.0,34.0,4.0,6.0,2.0,156.0,6.0,3.0,1.0,11.0,4.0,75.0,166.0,38.0,1.0,12.0,,11.0,3.0,1.0,1.0,21.0,8.0,19.0,8.0,15.0,22.0,143.0,1.0,,0.0,106.0,11.0,,3.0,38.0,43.0,6.0,64.0,2.0,13.0,1.0,2.0,3.0,151.0,2.0,10.0,99.0,577.0,8.0,6.0,1.0,17.0,20.0,2.0,21.0,2.0,3.0,5.0,20.0,57.0,1.0,9493,4.0,159.0,2.0,11.0,1.0,,185.0,17.0,39.0,,5.0,1.0,6.0,9.0,10.0,5.0,1.0,47.0,296.0,7.0,8.0,3.0,18.0,89.0,,0.0,2.0,7.0,1.0,2.0,,0.0,1.0,2.0,46.5,16.0,1.0,3.0,1.0,6.0,3.0,40.0,8.0,3.0,394.0,16.0,1.0,6.0,6.0,5.0,13.0,2.0,230.0,4.0,15.0,17.0,63.0,18.0,11.0,11.0,8.0,2.0,7.0,8.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,360494,2011-08-28 13:00:00,"St. James' Park, Newcastle",42684,Away,Fulham,Newcastle United,1,2,L,0,0,0,0,1.0,56.0,2.0,24.0,28.0,8.0,7.0,1.0,168.0,7.0,11.0,8.0,16.0,6.0,105.0,174.0,65.0,2.0,18.0,3.0,14.0,3.0,1.0,1.0,23.0,16.0,15.0,6.0,13.0,24.0,216.0,,,0.0,140.0,9.0,1.0,1.0,39.0,55.0,10.0,71.0,4.0,17.0,2.0,5.0,3.0,161.0,1.0,7.0,98.0,664.0,13.0,9.0,3.0,16.0,21.0,6.0,19.0,1.0,3.0,6.0,29.0,81.0,,9493,7.0,142.0,1.0,11.0,,3.0,168.0,9.0,66.0,,,3.0,,9.0,5.0,5.0,3.0,42.0,351.0,19.0,8.0,2.0,23.0,86.0,,0.0,,6.0,2.0,1.0,,0.0,6.0,5.0,53.6,26.0,1.0,1.0,2.0,,5.0,51.0,6.0,1.0,442.0,15.0,1.0,21.0,15.0,7.0,18.0,4.0,297.0,5.0,13.0,17.0,95.0,29.0,9.0,18.0,11.0,1.0,25.0,6.0,,2.0,,,2.0,3.0,,,,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,360502,2011-09-11 16:00:00,"Craven Cottage, London",24856,Home,Fulham,Blackburn Rovers,1,1,D,1,1,0,0,,68.0,2.0,29.0,28.0,7.0,7.0,2.0,183.0,4.0,12.0,,10.0,3.0,98.0,192.0,55.0,3.0,14.0,4.0,12.0,1.0,1.0,,45.0,16.0,13.0,10.0,25.0,25.0,230.0,,,0.0,193.0,8.0,,3.0,46.0,101.0,5.0,63.0,1.0,35.0,3.0,8.0,2.0,177.0,,4.0,97.0,692.0,5.0,6.0,,20.0,26.0,8.0,15.0,3.0,3.0,5.0,27.0,96.0,,9493,3.0,132.0,,27.0,,1.0,147.0,9.0,54.0,,2.0,2.0,12.0,10.0,7.0,6.0,2.0,48.0,358.0,12.0,6.0,4.0,16.0,84.0,1.0,0.0,3.0,2.0,1.0,1.0,,0.0,2.0,2.0,58.3,21.0,2.0,3.0,,12.0,6.0,53.0,11.0,3.0,441.0,16.0,,21.0,14.0,5.0,28.0,3.0,339.0,5.0,21.0,10.0,144.0,24.0,6.0,21.0,,3.0,20.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,3.0,2.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,360513,2011-09-18 15:00:00,"Craven Cottage, London",24750,Home,Fulham,Manchester City,2,2,D,0,1,0,0,2.0,38.0,,25.0,28.0,10.0,5.0,1.0,139.0,5.0,2.0,5.0,12.0,5.0,70.0,136.0,36.0,2.0,14.0,5.0,11.0,1.0,,,18.0,17.0,15.0,5.0,20.0,23.0,161.0,2.0,,0.0,113.0,10.0,1.0,2.0,27.0,35.0,8.0,55.0,1.0,13.0,2.0,4.0,2.0,122.0,2.0,8.0,66.0,526.0,7.0,8.0,1.0,20.0,13.0,8.0,16.0,1.0,6.0,4.0,24.0,61.0,,9493,2.0,105.0,2.0,8.0,,1.0,123.0,15.0,44.0,,,2.0,4.0,9.0,10.0,10.0,,46.0,261.0,9.0,5.0,4.0,25.0,84.0,1.0,0.0,,9.0,2.0,5.0,,0.0,2.0,1.0,35.8,18.0,,,,4.0,5.0,51.0,6.0,2.0,330.0,14.0,1.0,15.0,10.0,4.0,23.0,2.0,225.0,8.0,18.0,5.0,74.0,17.0,7.0,20.0,10.0,2.0,5.0,6.0,,1.0,,1.0,3.0,2.0,2.0,4.0,,,1.0,2.0,1.0,3.0,2.0,1.0,,3.0,,,2.0,,,,,1.0,2.0,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,360527,2011-09-24 15:00:00,"The Hawthorns, West Bromwich",23835,Away,Fulham,West Bromwich Albion,0,0,D,0,0,0,0,1.0,62.0,2.0,46.0,17.0,10.0,10.0,2.0,154.0,3.0,6.0,1.0,15.0,5.0,146.0,142.0,46.0,1.0,18.0,2.0,8.0,2.0,,,12.0,16.0,8.0,1.0,28.0,21.0,242.0,,1.0,0.0,134.0,15.0,,4.0,48.0,56.0,9.0,90.0,2.0,11.0,1.0,6.0,5.0,133.0,,5.0,147.0,724.0,14.0,4.0,2.0,17.0,24.0,8.0,7.0,3.0,2.0,6.0,17.0,80.0,1.0,9493,6.0,224.0,1.0,5.0,,1.0,243.0,9.0,60.0,,1.0,2.0,5.0,12.0,4.0,7.0,2.0,67.0,463.0,6.0,8.0,1.0,27.0,98.0,1.0,0.0,1.0,1.0,2.0,1.0,,0.0,3.0,2.0,56.9,14.0,,1.0,1.0,6.0,4.0,66.0,1.0,4.0,537.0,14.0,,21.0,15.0,9.0,19.0,3.0,306.0,6.0,28.0,10.0,96.0,28.0,2.0,24.0,16.0,2.0,14.0,1.0,,1.0,,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,3.0,,,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,360533,2011-10-02 15:00:00,"Craven Cottage, London",23766,Home,Fulham,Queens Park Rangers,6,0,W,3,0,0,0,3.0,49.0,1.0,32.0,28.0,9.0,10.0,1.0,152.0,5.0,4.0,4.0,15.0,10.0,96.0,142.0,37.0,,22.0,5.0,12.0,3.0,1.0,1.0,11.0,12.0,15.0,3.0,21.0,33.0,209.0,,1.0,0.0,152.0,12.0,,1.0,56.0,49.0,10.0,73.0,4.0,8.0,,,3.0,129.0,3.0,4.0,111.0,625.0,11.0,6.0,,17.0,21.0,8.0,12.0,2.0,5.0,5.0,27.0,73.0,,9493,9.0,147.0,,8.0,,1.0,160.0,13.0,35.0,1.0,1.0,1.0,3.0,17.0,13.0,5.0,2.0,55.0,351.0,7.0,2.0,,22.0,85.0,,0.0,1.0,4.0,,3.0,,0.0,4.0,,48.9,23.0,,2.0,,3.0,6.0,43.0,4.0,1.0,432.0,11.0,,4.0,15.0,6.0,15.0,3.0,283.0,12.0,19.0,12.0,107.0,21.0,6.0,14.0,20.0,3.0,11.0,4.0,2.0,5.0,2.0,,1.0,3.0,1.0,1.0,1.0,2.0,,,1.0,1.0,3.0,,,3.0,1.0,1.0,6.0,4.0,1.0,,,4.0,6.0,4.0,,5.0,,,3.0,1.0,3.0,,,1.0,,,5.0,4.0,,,,,,,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
8,360546,2011-10-15 15:00:00,"bet365 Stadium, Stoke",26890,Away,Fulham,Stoke City,0,2,L,0,0,0,0,,39.0,1.0,25.0,40.0,5.0,4.0,1.0,151.0,3.0,2.0,2.0,6.0,1.0,71.0,181.0,41.0,,7.0,2.0,8.0,,,,9.0,8.0,15.0,2.0,20.0,37.0,127.0,,,0.0,111.0,18.0,,2.0,37.0,43.0,3.0,67.0,,7.0,,,1.0,156.0,,9.0,60.0,528.0,5.0,4.0,,14.0,20.0,10.0,13.0,4.0,7.0,3.0,27.0,76.0,,9493,2.0,117.0,,7.0,,,142.0,12.0,43.0,1.0,2.0,1.0,4.0,14.0,8.0,6.0,1.0,63.0,241.0,14.0,5.0,1.0,37.0,85.0,1.0,0.0,,5.0,1.0,1.0,,0.0,3.0,1.0,51.8,18.0,1.0,,,4.0,3.0,34.0,2.0,2.0,349.0,10.0,,9.0,14.0,3.0,19.0,1.0,216.0,2.0,19.0,11.0,56.0,12.0,3.0,14.0,7.0,3.0,5.0,2.0,,1.0,,1.0,1.0,,,,,,,2.0,,,3.0,2.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
9,360553,2011-10-23 13:30:00,"Craven Cottage, London",25646,Home,Fulham,Everton,1,3,L,0,1,0,0,1.0,61.0,3.0,29.0,23.0,6.0,7.0,1.0,197.0,6.0,8.0,3.0,14.0,4.0,96.0,152.0,55.0,1.0,15.0,1.0,9.0,2.0,1.0,1.0,32.0,16.0,17.0,4.0,25.0,25.0,229.0,,,0.0,160.0,12.0,2.0,2.0,48.0,56.0,8.0,71.0,,28.0,1.0,8.0,3.0,146.0,1.0,5.0,106.0,682.0,10.0,11.0,1.0,17.0,24.0,12.0,13.0,3.0,3.0,6.0,22.0,79.0,1.0,9493,4.0,167.0,1.0,18.0,,1.0,179.0,8.0,46.0,1.0,1.0,,11.0,16.0,7.0,6.0,1.0,58.0,390.0,8.0,6.0,3.0,28.0,102.0,,0.0,,1.0,1.0,4.0,,0.0,5.0,2.0,53.3,19.0,1.0,3.0,1.0,11.0,4.0,66.0,5.0,2.0,470.0,12.0,,14.0,11.0,7.0,37.0,2.0,323.0,6.0,23.0,15.0,108.0,22.0,10.0,24.0,12.0,2.0,13.0,5.0,,1.0,,4.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,1.0,3.0,1.0,,3.0,,,1.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
10,360568,2011-10-29 15:00:00,"DW Stadium, Wigan",15796,Away,Fulham,Wigan Athletic,2,0,W,1,0,0,0,,60.0,,20.0,32.0,2.0,3.0,1.0,166.0,,6.0,5.0,6.0,3.0,90.0,148.0,50.0,,6.0,1.0,6.0,1.0,2.0,1.0,8.0,13.0,18.0,,23.0,31.0,168.0,,1.0,0.0,127.0,13.0,,2.0,40.0,51.0,4.0,72.0,1.0,8.0,,1.0,,134.0,1.0,9.0,101.0,601.0,4.0,7.0,,14.0,28.0,6.0,19.0,5.0,3.0,2.0,10.0,69.0,,9493,1.0,165.0,,7.0,,,187.0,12.0,41.0,,,1.0,4.0,9.0,11.0,6.0,,45.0,333.0,17.0,9.0,,29.0,96.0,,0.0,1.0,9.0,2.0,1.0,,0.0,,,45.9,10.0,,1.0,,4.0,1.0,51.0,,2.0,429.0,9.0,,8.0,16.0,2.0,12.0,1.0,250.0,3.0,22.0,8.0,76.0,19.0,10.0,19.0,6.0,3.0,11.0,,,4.0,,,,1.0,,1.0,,,,,4.0,,8.0,,,8.0,,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,2.0,,,,,,1.0,2.0,,1.0,1.0,,,,1.0,,1.0,,2.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
