playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,substituteOn,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,goalAssists,savesMadeCaught,aerialDuelsLost,interceptions,substituteOff,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulCrossesOpenPlay,oboxBlocked,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,ownGoalScored,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,expectedGoals,successfulLayoffs,goals,awayGoals,homeGoals,leftFootGoals,lastPlayerTackle,headedGoals,clearancesOffTheLine,offsides,rightFootGoals,hitWoodwork,handballsConceded,successfulCrossesOpenPlay,overruns,successfulCrossesAndCorners,unsuccessfulLayoffs,throwInsToOppositionPlayer,redCards2ndYellow,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,setPiecesGoals,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,foulWonPenalty,penaltiesTaken,penaltyGoals
88248,Stefan Ortega,Goalkeeper,Nottingham Forest,Germany,2024-25,2.0,0.0063,0.0,5.0,8.0,9.0,13.0,12.0,83.0,403.0,49.0,1.0,2.0,3.0,2.0,1099.0,4.0,3.0,1.0,1.0,2.0,262.0,3.0,2.0,16.9849,10.0,14.0,18.0,2.0,89.0,33.0,2.0,0.0,6.0,2.0,192.0,75.0,13.0,1.0,21.0,15.0,4.0,2.0,0.0,92.0,332.0,86.0,12.0,12.0,122.0,1.0,58.0,516.0,48.0,299.0,1.0,25.0,1.0,74.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121160,Ederson,Goalkeeper,Manchester City,Brazil,2024-25,4.0,0.1862,0.0,12.0,11.0,11.0,26.0,26.0,112.0,815.0,77.0,,5.0,10.0,2.0,2321.0,5.0,2.0,1.0,1.0,1.0,564.0,5.0,2.0,30.4092,33.0,16.0,26.0,3.0,250.0,54.0,,0.0,9.0,7.0,377.0,164.0,26.0,1.0,60.0,24.0,4.0,4.0,0.0,175.0,706.0,113.0,10.0,10.0,188.0,1.0,139.0,1017.0,71.0,643.0,1.0,42.0,4.0,101.0,32.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17601,Scott Carson,Goalkeeper,Manchester City,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613120,Spike Brits,Goalkeeper,Manchester City U21,England,2024-25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171314,Rúben Dias,Defender,Manchester City,Portugal,2024-25,54.0,1.1921,0.0,,,78.0,27.0,25.0,144.0,2309.0,35.0,2.0,71.0,11.0,,2269.0,64.0,3.0,1.0,17.0,27.0,2082.0,,4.0,24.3514,16.0,70.0,21.0,20.0,721.0,,8.0,0.0,118.0,,570.0,78.0,27.0,,1097.0,18.0,47.0,37.0,0.0,34.0,2231.0,160.0,1.0,,932.0,12.0,83.0,2514.0,30.0,1068.0,6.0,,4.0,66.0,49.0,,,,34.0,20.0,,5.0,7.0,1.1628,17.0,16.0,3.0,2.0,5.0,2.0,2.0,26.0,1.0,5.0,3.0,3.0,5.0,6.0,1.0,3.0,2.0,3.0,9.0,5.0,11.0,2.0,20.0,86.0,2.0,2.0,1.4992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97299,John Stones,Defender,Manchester City,England,2024-25,8.0,0.1754,0.0,,,28.0,11.0,6.0,35.0,402.0,6.0,5.0,14.0,1.0,,545.0,18.0,2.0,,4.0,10.0,349.0,,,11.8413,,18.0,11.0,2.0,122.0,,2.0,1.0,26.0,,103.0,22.0,11.0,,186.0,9.0,12.0,8.0,0.0,6.0,389.0,38.0,,,151.0,2.0,18.0,448.0,3.0,181.0,1.0,,1.0,7.0,8.0,,,,6.0,4.0,3.0,,2.0,0.8371,6.0,2.0,,,,,,4.0,,2.0,,2.0,,4.0,,,,,,,2.0,2.0,3.0,26.0,,,0.432,5.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
126184,Nathan Aké,Defender,Manchester City,Netherlands,2024-25,17.0,0.173,0.0,,,16.0,10.0,8.0,30.0,532.0,6.0,2.0,23.0,,,682.0,23.0,,,8.0,10.0,490.0,,1.0,12.1095,1.0,22.0,11.0,7.0,213.0,,,0.0,40.0,,167.0,24.0,10.0,,234.0,11.0,17.0,13.0,0.0,6.0,513.0,40.0,,,120.0,2.0,12.0,602.0,3.0,268.0,1.0,,0.0,14.0,9.0,,,,10.0,3.0,6.0,1.0,,,9.0,2.0,1.0,,,,,5.0,,1.0,1.0,5.0,,2.0,,1.0,3.0,1.0,2.0,2.0,7.0,1.0,2.0,32.0,7.0,,0.2244,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
616222,Vitor Reis,Defender,Manchester City U21,Brazil,2024-25,,,0.0,,,,1.0,,,2.0,,1.0,,,,1.0,1.0,,,,1.0,2.0,,,,,1.0,,,,,,0.0,1.0,,,,1.0,,,,1.0,,0.0,,2.0,,,,1.0,,,4.0,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477424,Josko Gvardiol,Defender,Manchester City,Croatia,2024-25,105.0,2.91,0.0,,,159.0,37.0,36.0,218.0,2528.0,7.0,1.0,96.0,11.0,,3279.0,164.0,5.0,,55.0,110.0,2242.0,,3.0,42.1404,7.0,111.0,41.0,63.0,1122.0,,27.0,0.0,269.0,,758.0,137.0,37.0,,1411.0,36.0,173.0,54.0,0.0,7.0,2480.0,328.0,,,309.0,16.0,68.0,3194.0,26.0,902.0,6.0,,2.0,59.0,70.0,6.0,,,42.0,44.0,3.0,10.0,12.0,3.2833,58.0,30.0,19.0,4.0,1.0,6.0,6.0,104.0,,26.0,6.0,22.0,1.0,19.0,14.0,19.0,30.0,6.0,18.0,15.0,39.0,25.0,20.0,339.0,141.0,4.0,4.5866,5.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,22.0,,,,,,,,,,,,
211975,Manuel Akanji,Defender,Manchester City,Switzerland,2024-25,61.0,1.2821,0.0,,,75.0,26.0,23.0,102.0,1722.0,8.0,3.0,66.0,5.0,,2014.0,60.0,4.0,,9.0,29.0,1563.0,,2.0,30.6166,8.0,62.0,28.0,26.0,474.0,,9.0,0.0,121.0,,505.0,103.0,26.0,,877.0,24.0,55.0,31.0,0.0,8.0,1696.0,122.0,,,611.0,17.0,57.0,1900.0,15.0,746.0,9.0,,3.0,27.0,33.0,4.0,,,35.0,9.0,3.0,5.0,2.0,0.1827,19.0,10.0,8.0,5.0,1.0,1.0,1.0,19.0,,9.0,,3.0,1.0,7.0,,8.0,5.0,,8.0,5.0,12.0,2.0,8.0,132.0,9.0,5.0,1.5503,8.0,,,,,,,1.0,,,,,3.0,,3.0,,1.0,,,,,,,,,,,,
