gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,secondYellow,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attIboxBlocked,attCmissRight,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,attOboxGoal,freekickCross,attMissRight,attOboxMiss,bigChanceCreated,contentiousDecision,attHdTarget,offtargetAttAssist,accurateFreekickCross,errorLeadToShot,attBxCentre,bigChanceMissed,attSetpiece,attRfGoal,accurateKeeperThrows,goalsOpenplay,attSvLowRight,possWonAtt3rd,keeperThrows,shotOffTarget,attIboxMiss,forwardGoals,errorLeadToGoal,bigChanceScored,attGoalLowRight,attLfGoal,attRfTarget,shotFastbreak,attGoalHighRight,attOneOnOne,attMissHighRight,totalFastbreak,midfielderGoals,hitWoodwork,accurateThroughBall,totalThroughBall,attMissHigh,attFastbreak,attBxLeft,penaltySave,accuratePullBack,postScoringAtt,attIboxPost,cleanSheet,attHdPost,penaltyConceded,totalPullBack,attCmissHigh,attAssistSetplay,attCmissLeft,attPostHigh,attHdMiss,penaltyFaced,attGoalLowCentre,penaltyWon,attPenGoal,clearanceOffLine,penGoalsConceded,attMissHighLeft,sixYardBlock,punches,foulThrowIn,attSvHighCentre,attFreekickTotal,attSvHighLeft,freekickTotal,attFreekickMiss,attSvHighRight,attPostLeft,attFreekickGoal,attOboxPost,attGoalHighCentre,attCmissHighRight,attemptsIbox,ptsGainedLosingPos,attemptsObox,touchesInOppBox,attCorner,attCmissHighLeft,attObxLeft,attPostRight,attGoalHighLeft,attFreekickTarget,attPenTarget
1,755303,2014-08-16 17:30:00,"Emirates Stadium, London",59962,Away,Crystal Palace,Arsenal,1,2,L,1,1,1,0,1.0,1.0,62.0,1.0,3.0,1.0,1.0,13.0,40.0,2.0,2.0,4.0,112.0,2.0,7.0,1.0,1.0,3.0,2.0,50.0,151.0,68.0,4.0,2.0,23.0,3.0,9.0,23.0,1.0,40.0,3.0,4.0,19.0,60.0,0.0,57.0,19.0,2.0,1.0,2.0,29.0,24.0,3.0,23.0,2.0,6.0,25.0,2.0,1.0,151.0,6.0,37.0,444.0,1.0,2.0,12.0,19.0,110.0,31.0,4.0,17.0,1.0,4.0,2.0,2.0,18.0,186.0,38.0,7906,69.0,4.0,92.0,9.0,25.0,12.0,78.0,1.0,1.0,14.0,8.0,4.0,55.0,127.0,13.0,12.0,22.0,60.0,0.0,1.0,9.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,23.1,11.0,2.0,17.0,3.0,2.0,222.0,19.0,9.0,6.0,4.0,1.0,139.0,1.0,4.0,17.0,25.0,22.0,3.0,17.0,33.0,1.0,2.0,3.0,3.0,24.0,3.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755315,2014-08-23 15:00:00,"Selhurst Park, London",24242,Home,Crystal Palace,West Ham United,1,3,L,0,2,0,0,,2.0,70.0,1.0,3.0,,,18.0,23.0,4.0,3.0,5.0,180.0,5.0,7.0,1.0,3.0,8.0,4.0,70.0,164.0,73.0,9.0,1.0,25.0,1.0,22.0,26.0,1.0,23.0,5.0,12.0,42.0,164.0,0.0,121.0,14.0,2.0,1.0,5.0,62.0,52.0,6.0,62.0,,17.0,17.0,5.0,,164.0,10.0,66.0,596.0,,7.0,11.0,13.0,259.0,23.0,8.0,16.0,1.0,1.0,1.0,5.0,23.0,348.0,71.0,7906,116.0,11.0,131.0,5.0,17.0,4.0,68.0,,1.0,15.0,7.0,1.0,68.0,275.0,11.0,6.0,32.0,101.0,0.0,2.0,9.0,2.0,,3.0,3.0,0.0,5.0,1.0,,1.0,45.9,20.0,2.0,51.0,6.0,5.0,378.0,13.0,10.0,17.0,17.0,,269.0,5.0,11.0,27.0,73.0,31.0,3.0,16.0,29.0,,1.0,6.0,3.0,20.0,3.0,11.0,6.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755328,2014-08-30 15:00:00,"St. James' Park, Newcastle",49226,Away,Crystal Palace,Newcastle United,3,3,D,1,1,0,0,,,64.0,1.0,,1.0,,18.0,48.0,4.0,3.0,1.0,127.0,1.0,12.0,3.0,1.0,9.0,7.0,57.0,140.0,70.0,12.0,1.0,25.0,2.0,14.0,15.0,1.0,48.0,4.0,12.0,26.0,104.0,0.0,76.0,19.0,1.0,,6.0,25.0,50.0,6.0,36.0,2.0,10.0,16.0,3.0,,140.0,11.0,48.0,477.0,,7.0,10.0,12.0,163.0,23.0,4.0,29.0,2.0,3.0,3.0,4.0,15.0,233.0,47.0,82403,76.0,6.0,93.0,8.0,16.0,11.0,72.0,,2.0,12.0,7.0,5.0,58.0,179.0,10.0,11.0,21.0,69.0,0.0,2.0,11.0,1.0,3.0,3.0,4.0,0.0,1.0,1.0,,,35.7,11.0,1.0,26.0,4.0,6.0,268.0,12.0,9.0,11.0,14.0,,189.0,9.0,12.0,28.0,40.0,27.0,3.0,29.0,20.0,,3.0,11.0,3.0,21.0,3.0,4.0,4.0,,,,3.0,1.0,1.0,,2.0,,1.0,,2.0,1.0,1.0,,3.0,,,2.0,2.0,1.0,1.0,,2.0,4.0,3.0,,4.0,2.0,1.0,,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755335,2014-09-13 15:00:00,"Selhurst Park, London",23829,Home,Crystal Palace,Burnley,0,0,D,0,0,0,0,,1.0,70.0,,2.0,,,34.0,41.0,5.0,3.0,3.0,148.0,6.0,10.0,,,13.0,3.0,72.0,163.0,68.0,16.0,2.0,21.0,1.0,23.0,15.0,,41.0,3.0,7.0,39.0,147.0,0.0,105.0,12.0,3.0,,1.0,72.0,47.0,5.0,43.0,1.0,20.0,19.0,6.0,,163.0,5.0,64.0,558.0,,10.0,12.0,14.0,218.0,29.0,11.0,24.0,,1.0,2.0,4.0,25.0,299.0,55.0,82403,93.0,13.0,112.0,2.0,19.0,11.0,49.0,,,22.0,6.0,7.0,80.0,234.0,10.0,6.0,36.0,90.0,0.0,3.0,6.0,1.0,,,4.0,0.0,4.0,,,4.0,44.8,9.0,3.0,39.0,5.0,1.0,327.0,14.0,5.0,18.0,14.0,2.0,238.0,9.0,6.0,28.0,69.0,33.0,4.0,24.0,21.0,,,9.0,3.0,17.0,4.0,12.0,5.0,,1.0,3.0,3.0,2.0,,3.0,3.0,,1.0,4.0,3.0,,,,8.0,1.0,,8.0,,3.0,,1.0,,,2.0,1.0,10.0,6.0,,,,,,2.0,,,,,,,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755345,2014-09-21 16:00:00,"Goodison Park, Liverpool",37574,Away,Crystal Palace,Everton,3,2,W,1,1,0,0,,,47.0,,2.0,,,24.0,37.0,4.0,3.0,4.0,109.0,2.0,9.0,3.0,2.0,8.0,3.0,41.0,126.0,45.0,10.0,3.0,11.0,,11.0,11.0,,37.0,1.0,9.0,10.0,97.0,0.0,88.0,13.0,1.0,,1.0,57.0,24.0,6.0,42.0,2.0,10.0,11.0,6.0,,126.0,11.0,42.0,435.0,,6.0,7.0,24.0,142.0,19.0,9.0,20.0,2.0,,2.0,6.0,19.0,204.0,57.0,82403,60.0,3.0,71.0,8.0,11.0,11.0,52.0,,1.0,10.0,6.0,4.0,67.0,155.0,8.0,10.0,38.0,73.0,0.0,3.0,8.0,2.0,3.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,24.6,13.0,5.0,32.0,1.0,1.0,234.0,24.0,7.0,6.0,17.0,1.0,174.0,6.0,7.0,9.0,47.0,18.0,2.0,20.0,19.0,1.0,2.0,8.0,3.0,20.0,2.0,8.0,1.0,,2.0,,,1.0,2.0,,1.0,,1.0,,1.0,1.0,,,2.0,,,3.0,,,2.0,,2.0,,1.0,,2.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,,,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,755355,2014-09-27 15:00:00,"Selhurst Park, London",24311,Home,Crystal Palace,Leicester City,2,0,W,0,0,0,0,1.0,1.0,63.0,,,2.0,1.0,27.0,28.0,7.0,4.0,1.0,144.0,8.0,9.0,2.0,4.0,16.0,6.0,58.0,148.0,61.0,16.0,1.0,23.0,3.0,21.0,15.0,3.0,28.0,5.0,11.0,33.0,143.0,0.0,117.0,14.0,1.0,2.0,2.0,61.0,44.0,10.0,31.0,1.0,16.0,16.0,5.0,,148.0,4.0,57.0,492.0,,10.0,19.0,17.0,184.0,24.0,6.0,18.0,2.0,3.0,0.0,4.0,25.0,268.0,66.0,82403,62.0,8.0,74.0,8.0,16.0,8.0,64.0,,1.0,9.0,3.0,4.0,61.0,197.0,9.0,10.0,26.0,75.0,0.0,2.0,6.0,1.0,2.0,,7.0,0.0,5.0,1.0,,5.0,39.6,16.0,4.0,32.0,6.0,2.0,290.0,17.0,8.0,15.0,14.0,3.0,237.0,6.0,7.0,28.0,71.0,25.0,1.0,18.0,16.0,1.0,,11.0,2.0,21.0,1.0,11.0,6.0,,3.0,1.0,1.0,,,,1.0,,3.0,2.0,3.0,3.0,,1.0,5.0,2.0,2.0,6.0,2.0,2.0,1.0,3.0,,,3.0,3.0,6.0,3.0,1.0,,1.0,2.0,,2.0,,,,,,1.0,,,,2.0,,1.0,,,,,1.0,,,,1.0,3.0,1.0,,3.0,,,,,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
7,755365,2014-10-04 15:00:00,"The MKM Stadium, Hull",24281,Away,Crystal Palace,Hull City,0,2,L,0,0,0,0,,,67.0,,,,,11.0,26.0,7.0,4.0,,155.0,4.0,12.0,,2.0,8.0,2.0,70.0,175.0,57.0,11.0,2.0,30.0,,19.0,15.0,1.0,26.0,7.0,15.0,28.0,147.0,0.0,117.0,14.0,,,2.0,48.0,44.0,5.0,50.0,2.0,12.0,17.0,4.0,,175.0,9.0,76.0,549.0,,6.0,8.0,15.0,236.0,20.0,3.0,19.0,,,2.0,7.0,25.0,330.0,69.0,82403,99.0,7.0,121.0,7.0,17.0,11.0,66.0,,,15.0,6.0,,64.0,242.0,6.0,2.0,30.0,85.0,0.0,5.0,6.0,,,2.0,3.0,0.0,2.0,,3.0,2.0,40.9,15.0,4.0,30.0,7.0,2.0,351.0,15.0,2.0,10.0,14.0,2.0,249.0,4.0,10.0,20.0,72.0,37.0,,19.0,20.0,,2.0,7.0,3.0,31.0,,5.0,7.0,,2.0,,1.0,1.0,,,,,1.0,1.0,4.0,1.0,,1.0,3.0,1.0,,2.0,1.0,1.0,,1.0,,1.0,5.0,1.0,5.0,1.0,,,,,,1.0,,,,,,,,,1.0,3.0,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
8,755375,2014-10-18 15:00:00,"Selhurst Park, London",24451,Home,Crystal Palace,Chelsea,1,2,L,0,1,1,1,,2.0,61.0,,1.0,,,15.0,23.0,2.0,3.0,2.0,120.0,3.0,9.0,1.0,2.0,6.0,4.0,67.0,133.0,44.0,7.0,,10.0,1.0,15.0,13.0,2.0,23.0,3.0,9.0,17.0,111.0,0.0,87.0,13.0,1.0,,,42.0,44.0,4.0,31.0,4.0,12.0,15.0,4.0,1.0,133.0,7.0,70.0,465.0,1.0,4.0,5.0,18.0,202.0,29.0,3.0,7.0,1.0,2.0,1.0,2.0,20.0,269.0,49.0,82403,106.0,8.0,120.0,10.0,15.0,8.0,55.0,,2.0,19.0,7.0,4.0,49.0,214.0,7.0,15.0,18.0,64.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,,,28.5,13.0,,36.0,3.0,,288.0,18.0,7.0,5.0,11.0,,183.0,4.0,8.0,13.0,53.0,25.0,,7.0,15.0,,1.0,6.0,3.0,19.0,,7.0,3.0,1.0,,,1.0,,1.0,1.0,,,,1.0,1.0,2.0,1.0,,2.0,,,,1.0,,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,755391,2014-10-25 15:00:00,"The Hawthorns, West Bromwich",24738,Away,Crystal Palace,West Bromwich Albion,2,2,D,2,0,0,0,,,58.0,1.0,2.0,,,18.0,35.0,3.0,,2.0,142.0,3.0,7.0,2.0,5.0,6.0,6.0,45.0,145.0,58.0,8.0,1.0,23.0,1.0,13.0,16.0,2.0,35.0,2.0,7.0,16.0,101.0,0.0,68.0,8.0,2.0,,1.0,42.0,34.0,6.0,29.0,4.0,11.0,12.0,4.0,,145.0,8.0,42.0,457.0,,4.0,17.0,16.0,151.0,33.0,7.0,24.0,,2.0,1.0,4.0,22.0,225.0,44.0,82403,68.0,6.0,91.0,3.0,12.0,14.0,46.0,1.0,4.0,12.0,9.0,4.0,69.0,166.0,13.0,1.0,37.0,77.0,0.0,1.0,6.0,,2.0,2.0,6.0,0.0,2.0,,1.0,1.0,31.2,10.0,2.0,25.0,3.0,1.0,258.0,16.0,3.0,2.0,10.0,1.0,180.0,6.0,7.0,19.0,37.0,20.0,9.0,24.0,20.0,,2.0,4.0,3.0,18.0,9.0,7.0,3.0,,1.0,,2.0,1.0,,1.0,,,1.0,,,,2.0,1.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,,,,2.0,1.0,,3.0,1.0,,,,1.0,1.0,,1.0,2.0,,1.0,,,,,,,,1.0,,,2.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
10,755396,2014-11-03 20:00:00,"Selhurst Park, London",23212,Home,Crystal Palace,Sunderland,1,3,L,0,1,1,0,1.0,,82.0,,,,,27.0,18.0,3.0,1.0,4.0,187.0,4.0,13.0,1.0,4.0,8.0,1.0,77.0,210.0,72.0,9.0,1.0,27.0,1.0,34.0,12.0,,18.0,10.0,15.0,32.0,211.0,0.0,172.0,12.0,1.0,,,92.0,58.0,5.0,57.0,1.0,24.0,10.0,8.0,1.0,210.0,6.0,91.0,651.0,,7.0,22.0,17.0,286.0,31.0,9.0,13.0,,1.0,0.0,1.0,33.0,383.0,88.0,82403,95.0,12.0,120.0,4.0,10.0,4.0,80.0,,,16.0,2.0,2.0,66.0,302.0,18.0,2.0,27.0,80.0,0.0,5.0,2.0,4.0,1.0,3.0,5.0,1.0,4.0,,,1.0,53.5,25.0,5.0,40.0,11.0,,412.0,17.0,18.0,14.0,25.0,,326.0,7.0,14.0,28.0,116.0,38.0,3.0,13.0,15.0,,2.0,6.0,2.0,36.0,3.0,3.0,11.0,1.0,4.0,,1.0,2.0,,1.0,2.0,,4.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,1.0,2.0,,1.0,,,7.0,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
