gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,shotFastbreak,accurateKeeperSweeper,attMissHighRight,totalFastbreak,attSvHighLeft,totalKeeperSweeper,outfielderBlock,accurateFreekickCross,attSetpiece,totalPullBack,totalOffside,attFastbreak,accurateFlickOn,attCmissHighRight,shieldBallOop,errorLeadToGoal,goalsConcededObox,errorLeadToShot,attCmissHigh,attSvLowRight,attOneOnOne,sixYardBlock,handBall,attMissHighLeft,attCmissHighLeft,hitWoodwork,accurateThroughBall,totalThroughBall,punches,contentiousDecision,bigChanceScored,attGoalLowRight,goals,goalAssistOpenplay,attSvHighRight,goalAssist,attRfGoal,goalsOpenplay,attIboxGoal,attSvHighCentre,forwardGoals,attGoalLowLeft,postScoringAtt,penaltyWon,ptsGainedLosingPos,midfielderGoals,attPostLeft,attPenGoal,attOboxPost,penaltyConceded,goalAssistIntentional,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attGoalLowCentre,defenderGoals,cleanSheet,clearanceOffLine,goalAssistSetplay,attLfGoal,attPenTarget,attGoalHighRight,attCorner,goalFastbreak,attOboxGoal,attGoalHighLeft,attHdGoal,foulThrowIn,goalAssistDeadball,attGoalHighCentre,attObxRight,attIboxPost,attObxdLeft,attFreekickGoal,attFreekickPost,attHdPost,attPostHigh,attPostRight,attObxdRight
1,918896,2017-08-12 15:00:00,"Selhurst Park, London",25448,Home,Crystal Palace,Huddersfield Town,0,3,L,0,2,0,0,2.0,66.0,3.0,2.0,39.0,18.0,4.0,5.0,10.0,4.0,1.0,161.0,6.0,18.0,7.0,8.0,1.0,4.0,87.0,157.0,79.0,3.0,14.0,1.0,16.0,3.0,1.0,2.0,2.0,27.0,19.0,1.0,18.0,12.0,12.0,31.0,158.0,0.0,104.0,7.0,1.0,2.0,2.0,1.0,65.0,49.0,3.0,62.0,1.0,1.0,15.0,21.0,4.0,3.0,5.0,2.0,157.0,1.0,7.0,81.0,632.0,2.0,8.0,23.0,1.0,19.0,282.0,26.0,7.0,7.0,1.0,4.0,19.0,365.0,66.0,94926,5.0,152.0,2.0,8.0,170.0,6.0,21.0,3.0,56.0,1.0,7.0,12.0,3.0,2.0,4.0,72.0,304.0,19.0,5.0,5.0,26.0,77.0,2.0,0.0,1.0,6.0,9.0,1.0,3.0,0.0,1.0,3.0,56.7,16.0,2.0,3.0,4.0,7.0,3.0,49.0,12.0,1.0,391.0,19.0,1.0,23.0,18.0,7.0,40.0,5.0,5.0,248.0,6.0,9.0,18.0,57.0,23.0,2.0,1.0,7.0,24.0,3.0,5.0,2.0,23.0,2.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918907,2017-08-19 15:00:00,"Anfield, Liverpool",53138,Away,Crystal Palace,Liverpool,0,1,L,0,0,0,0,1.0,70.0,6.0,,38.0,26.0,1.0,1.0,3.0,12.0,,134.0,1.0,10.0,2.0,3.0,,1.0,44.0,143.0,56.0,1.0,4.0,1.0,20.0,1.0,,,,6.0,11.0,,26.0,,10.0,30.0,96.0,0.0,101.0,13.0,6.0,,1.0,3.0,26.0,40.0,1.0,46.0,4.0,,6.0,15.0,1.0,1.0,,,143.0,1.0,13.0,49.0,483.0,2.0,13.0,9.0,,29.0,168.0,33.0,14.0,10.0,3.0,2.0,20.0,239.0,64.0,86417,2.0,86.0,1.0,5.0,105.0,5.0,15.0,10.0,67.0,,2.0,12.0,10.0,3.0,1.0,89.0,181.0,12.0,13.0,1.0,45.0,81.0,,0.0,,,4.0,6.0,1.0,0.0,1.0,1.0,27.6,14.0,1.0,1.0,1.0,2.0,1.0,33.0,2.0,3.0,273.0,29.0,,18.0,21.0,2.0,20.0,,2.0,174.0,2.0,8.0,13.0,57.0,19.0,2.0,,10.0,21.0,1.0,2.0,3.0,16.0,2.0,11.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918915,2017-08-26 15:00:00,"Selhurst Park, London",23477,Home,Crystal Palace,Swansea City,0,2,L,0,1,0,0,1.0,64.0,,1.0,25.0,9.0,9.0,6.0,7.0,1.0,1.0,172.0,6.0,7.0,2.0,13.0,2.0,3.0,137.0,138.0,50.0,1.0,16.0,,18.0,2.0,2.0,1.0,5.0,22.0,11.0,1.0,9.0,1.0,8.0,41.0,232.0,0.0,169.0,9.0,,1.0,1.0,,82.0,74.0,4.0,74.0,,3.0,21.0,10.0,9.0,1.0,10.0,8.0,138.0,,5.0,121.0,674.0,11.0,11.0,20.0,1.0,14.0,406.0,30.0,8.0,6.0,4.0,9.0,27.0,489.0,77.0,86417,4.0,190.0,,10.0,201.0,6.0,10.0,4.0,51.0,,7.0,13.0,2.0,2.0,3.0,66.0,416.0,6.0,4.0,2.0,19.0,81.0,2.0,0.0,,,1.0,1.0,2.0,0.0,5.0,3.0,53.1,26.0,2.0,3.0,,7.0,1.0,46.0,1.0,,504.0,14.0,1.0,17.0,15.0,12.0,40.0,1.0,4.0,325.0,7.0,8.0,21.0,113.0,21.0,,,6.0,16.0,1.0,13.0,3.0,10.0,,3.0,1.0,1.0,,,1.0,,,1.0,2.0,,1.0,1.0,,,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918925,2017-09-10 13:30:00,"Turf Moor, Burnley",18862,Away,Crystal Palace,Burnley,0,1,L,0,1,0,0,,51.0,,4.0,24.0,20.0,11.0,5.0,12.0,1.0,4.0,181.0,9.0,24.0,1.0,13.0,1.0,4.0,102.0,178.0,60.0,1.0,23.0,9.0,23.0,2.0,,,3.0,37.0,7.0,2.0,20.0,13.0,16.0,35.0,208.0,0.0,152.0,14.0,1.0,2.0,,,62.0,60.0,9.0,77.0,,2.0,24.0,25.0,11.0,1.0,14.0,,178.0,2.0,3.0,90.0,677.0,11.0,8.0,30.0,,12.0,331.0,29.0,11.0,14.0,1.0,4.0,33.0,427.0,64.0,86417,9.0,143.0,2.0,10.0,172.0,3.0,25.0,8.0,62.0,,2.0,18.0,1.0,3.0,1.0,76.0,342.0,7.0,7.0,2.0,44.0,81.0,,0.0,,1.0,3.0,1.0,1.0,0.0,4.0,4.0,64.7,29.0,4.0,,2.0,2.0,13.0,39.0,13.0,,450.0,12.0,,11.0,17.0,6.0,50.0,5.0,6.0,315.0,13.0,14.0,17.0,104.0,18.0,,,14.0,12.0,,12.0,2.0,31.0,,9.0,13.0,,,1.0,,,1.0,1.0,,,2.0,,1.0,,2.0,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918935,2017-09-16 12:30:00,"Selhurst Park, London",24199,Home,Crystal Palace,Southampton,0,1,L,0,1,0,0,,65.0,2.0,1.0,28.0,22.0,4.0,3.0,10.0,3.0,2.0,170.0,3.0,10.0,1.0,13.0,,3.0,97.0,157.0,57.0,,14.0,1.0,20.0,3.0,1.0,3.0,5.0,22.0,12.0,,22.0,5.0,6.0,24.0,198.0,0.0,157.0,14.0,1.0,,1.0,2.0,63.0,67.0,4.0,59.0,1.0,1.0,17.0,19.0,4.0,,9.0,3.0,157.0,2.0,8.0,84.0,601.0,10.0,14.0,22.0,1.0,7.0,293.0,31.0,14.0,16.0,5.0,9.0,17.0,383.0,79.0,86417,6.0,116.0,3.0,7.0,136.0,6.0,19.0,9.0,56.0,,5.0,18.0,5.0,6.0,,63.0,311.0,13.0,8.0,3.0,31.0,76.0,1.0,0.0,,1.0,5.0,1.0,1.0,0.0,1.0,3.0,45.6,12.0,2.0,3.0,1.0,5.0,2.0,46.0,5.0,2.0,410.0,7.0,,11.0,9.0,9.0,34.0,2.0,6.0,296.0,7.0,5.0,20.0,100.0,21.0,3.0,,16.0,15.0,1.0,11.0,2.0,14.0,3.0,8.0,5.0,1.0,,,1.0,,,,4.0,,1.0,2.0,,,2.0,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918948,2017-09-23 15:00:00,"Etihad Stadium, Manchester",53526,Away,Crystal Palace,Manchester City,0,5,L,0,1,0,0,,58.0,,1.0,24.0,30.0,3.0,2.0,2.0,4.0,,121.0,2.0,14.0,1.0,4.0,,,52.0,109.0,46.0,,5.0,2.0,10.0,,,,1.0,11.0,9.0,,30.0,1.0,14.0,21.0,83.0,0.0,65.0,7.0,2.0,,1.0,1.0,43.0,31.0,3.0,43.0,2.0,,10.0,18.0,3.0,,2.0,1.0,109.0,1.0,21.0,65.0,458.0,3.0,7.0,11.0,,15.0,189.0,34.0,7.0,13.0,1.0,,21.0,258.0,40.0,86417,1.0,124.0,2.0,7.0,146.0,4.0,18.0,10.0,35.0,,3.0,13.0,4.0,6.0,1.0,57.0,205.0,6.0,14.0,,21.0,62.0,,0.0,,,8.0,4.0,5.0,0.0,2.0,,28.1,17.0,,1.0,1.0,3.0,3.0,29.0,2.0,1.0,281.0,15.0,,5.0,9.0,2.0,13.0,,1.0,146.0,3.0,11.0,10.0,30.0,14.0,5.0,,13.0,16.0,4.0,4.0,2.0,15.0,5.0,7.0,2.0,,,,,,,,9.0,1.0,,,1.0,,1.0,,,,1.0,2.0,,,1.0,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,918958,2017-09-30 15:00:00,"Old Trafford, Manchester",75118,Away,Crystal Palace,Manchester United,0,4,L,0,2,0,0,1.0,66.0,,,25.0,18.0,2.0,2.0,4.0,3.0,,150.0,5.0,10.0,2.0,6.0,,1.0,84.0,146.0,44.0,,6.0,1.0,17.0,1.0,,,1.0,21.0,11.0,,18.0,5.0,11.0,23.0,150.0,0.0,125.0,9.0,2.0,,2.0,2.0,46.0,42.0,2.0,56.0,1.0,,16.0,27.0,2.0,,6.0,1.0,146.0,,14.0,87.0,582.0,5.0,7.0,18.0,,14.0,279.0,31.0,6.0,8.0,0.0,4.0,17.0,356.0,48.0,94926,3.0,150.0,,8.0,164.0,5.0,27.0,8.0,53.0,,5.0,26.0,4.0,4.0,1.0,57.0,295.0,6.0,12.0,1.0,25.0,68.0,,0.0,,2.0,6.0,3.0,4.0,0.0,5.0,2.0,40.7,15.0,2.0,4.0,1.0,5.0,1.0,35.0,5.0,2.0,377.0,14.0,,16.0,11.0,4.0,32.0,,3.0,234.0,2.0,11.0,8.0,80.0,23.0,1.0,,8.0,20.0,4.0,5.0,3.0,11.0,1.0,13.0,5.0,,,3.0,1.0,,1.0,3.0,5.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,918965,2017-10-14 15:00:00,"Selhurst Park, London",25480,Home,Crystal Palace,Chelsea,2,1,W,2,1,0,0,1.0,77.0,3.0,3.0,15.0,24.0,6.0,5.0,8.0,4.0,3.0,190.0,2.0,11.0,2.0,10.0,1.0,5.0,93.0,180.0,45.0,1.0,14.0,,24.0,1.0,3.0,,2.0,11.0,14.0,3.0,24.0,4.0,10.0,22.0,166.0,0.0,130.0,7.0,3.0,2.0,,,50.0,77.0,7.0,71.0,1.0,2.0,7.0,22.0,6.0,1.0,3.0,3.0,180.0,2.0,6.0,77.0,652.0,8.0,7.0,27.0,,15.0,301.0,35.0,2.0,11.0,2.0,3.0,23.0,399.0,47.0,86417,1.0,145.0,2.0,4.0,169.0,5.0,22.0,10.0,67.0,,,18.0,9.0,,1.0,77.0,309.0,6.0,13.0,1.0,31.0,90.0,,0.0,1.0,7.0,8.0,1.0,1.0,0.0,1.0,,43.0,23.0,,7.0,2.0,,3.0,32.0,5.0,,431.0,15.0,,13.0,11.0,6.0,20.0,1.0,3.0,273.0,9.0,8.0,5.0,84.0,26.0,3.0,,11.0,23.0,1.0,12.0,3.0,21.0,3.0,13.0,5.0,1.0,,1.0,,,,1.0,3.0,,,2.0,1.0,,2.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,918977,2017-10-21 15:00:00,"St. James' Park, Newcastle",52251,Away,Crystal Palace,Newcastle United,0,1,L,0,0,0,0,,64.0,2.0,1.0,19.0,28.0,3.0,3.0,7.0,2.0,,163.0,5.0,13.0,3.0,8.0,,,75.0,153.0,68.0,,10.0,2.0,23.0,,3.0,,4.0,18.0,14.0,,28.0,5.0,10.0,25.0,134.0,0.0,116.0,14.0,1.0,,3.0,1.0,49.0,70.0,1.0,58.0,2.0,2.0,13.0,26.0,3.0,,2.0,1.0,153.0,,3.0,69.0,568.0,7.0,4.0,19.0,,11.0,252.0,28.0,5.0,22.0,2.0,7.0,31.0,340.0,56.0,86417,2.0,132.0,,8.0,148.0,9.0,26.0,8.0,58.0,,,14.0,4.0,1.0,1.0,64.0,261.0,12.0,5.0,1.0,26.0,79.0,1.0,0.0,,2.0,3.0,,1.0,0.0,3.0,3.0,44.7,28.0,3.0,4.0,1.0,,3.0,41.0,5.0,1.0,365.0,11.0,,11.0,8.0,7.0,27.0,2.0,6.0,235.0,4.0,8.0,27.0,58.0,26.0,2.0,,22.0,16.0,1.0,8.0,2.0,18.0,2.0,6.0,5.0,,,,,,,,3.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,918987,2017-10-28 15:00:00,"Selhurst Park, London",25242,Home,Crystal Palace,West Ham United,2,2,D,0,2,0,0,2.0,67.0,,3.0,29.0,17.0,4.0,3.0,16.0,,2.0,175.0,8.0,14.0,7.0,11.0,,9.0,110.0,164.0,69.0,1.0,20.0,,19.0,6.0,1.0,3.0,3.0,30.0,15.0,1.0,17.0,11.0,2.0,24.0,171.0,0.0,144.0,18.0,,1.0,5.0,1.0,45.0,70.0,7.0,44.0,1.0,,19.0,18.0,4.0,1.0,2.0,2.0,164.0,1.0,4.0,81.0,624.0,6.0,9.0,30.0,3.0,11.0,301.0,34.0,4.0,10.0,1.0,4.0,19.0,390.0,75.0,86417,8.0,153.0,3.0,12.0,171.0,7.0,18.0,5.0,75.0,,3.0,13.0,2.0,3.0,2.0,60.0,316.0,15.0,15.0,4.0,25.0,73.0,1.0,0.0,1.0,5.0,2.0,,2.0,0.0,3.0,6.0,55.9,15.0,3.0,4.0,4.0,3.0,3.0,40.0,11.0,1.0,410.0,11.0,,16.0,13.0,8.0,40.0,5.0,5.0,269.0,11.0,1.0,19.0,93.0,23.0,3.0,,10.0,21.0,1.0,7.0,2.0,21.0,3.0,10.0,11.0,1.0,,,1.0,,,,1.0,3.0,2.0,1.0,3.0,,1.0,,,1.0,1.0,,,,,,,1.0,,2.0,1.0,2.0,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
