gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,accuratePullBack,shotFastbreak,accurateKeeperSweeper,attOboxTarget,cleanSheet,totalFastbreak,attSvLowLeft,goodHighClaim,interceptionsInBox,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attMissHigh,attFastbreak,attSvLowRight,totalHighClaim,attGoalLowLeft,attOneOnOne,penaltyWon,attCmissHigh,attPenGoal,shieldBallOop,attBxLeft,attMissHighRight,accurateFreekickCross,attSetpiece,overrun,forwardGoals,postScoringAtt,attIboxPost,hitWoodwork,attPostRight,goalsConcededObox,attGoalLowCentre,attFreekickTotal,goalFastbreak,attOboxGoal,ptsGainedLosingPos,attSvHighLeft,freekickTotal,attObxdLeft,attGoalHighLeft,attFreekickGoal,subsGoals,attFreekickMiss,attGoalHighRight,ptsDroppedWinningPos,penaltyConceded,clearanceOffLine,penaltyFaced,penGoalsConceded,attPostHigh,attObxRight,errorLeadToGoal,defenderGoals,attFreekickTarget,attHdGoal,penaltySave,attPostLeft,goalAssistSetplay,sixYardBlock,attCmissHighRight,foulThrowIn,attSvHighRight,attObpGoal,goalAssistDeadball,attFreekickPost,attOboxPost,attObxLeft,attHdPost
1,2292818,2022-08-07 14:00:00,"Old Trafford, Manchester",73711.0,Away,Brighton and Hove Albion,Manchester United,2,1,W,2,0,0,0,1.0,2.0,21.0,64.0,1.0,1.0,1.0,17.0,24.0,5.0,4.0,10.0,5.0,1.0,153.0,9.0,6.0,6.0,2.0,1.0,13.0,1.0,4.0,70.0,141.0,36.0,15.0,4.0,11.0,2.0,1.0,1.0,1.0,2.0,12.0,9.0,24.0,2.0,4.0,41.0,159.0,0.0,154.0,12.0,1.0,2.0,1.0,62.0,72.0,8.0,51.0,3.0,10.0,20.0,5.0,1.0,2.0,1.0,141.0,1.0,1.0,14.0,52.0,509.0,11.0,4.0,27.0,1.0,12.0,220.0,28.0,1.0,1.0,11.0,1.0,1.0,7.0,5.0,22.0,301.0,71.0,1.0,83299,6.0,76.0,7.0,97.0,5.0,1.0,1.0,20.0,11.0,40.0,1.0,3.0,1.0,1.0,1.0,2.0,19.0,4.0,5.0,66.0,229.0,7.0,5.0,1.0,19.0,2.0,73.0,1.0,1.0,0.0,6.0,4.0,2.0,1.0,2.0,0.0,5.0,1.0,5.0,37.1,16.0,3.0,9.0,1.0,1.0,5.0,30.0,2.0,326.0,12.0,6.0,15.0,6.0,23.0,1.0,5.0,241.0,6.0,4.0,9.0,100.0,21.0,1.0,1.0,11.0,14.0,1.0,13.0,4.0,12.0,1.0,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2292823,2022-08-13 15:00:00,"American Express Stadium, Falmer",31552.0,Home,Brighton and Hove Albion,Newcastle United,0,0,D,0,0,0,0,3.0,,21.0,66.0,,1.0,1.0,26.0,19.0,5.0,5.0,8.0,1.0,,155.0,8.0,1.0,3.0,,,10.0,,7.0,85.0,141.0,43.0,13.0,2.0,16.0,6.0,,,2.0,2.0,19.0,14.0,19.0,6.0,2.0,43.0,188.0,0.0,162.0,8.0,,,,67.0,68.0,7.0,52.0,,13.0,12.0,5.0,,,2.0,141.0,3.0,,3.0,82.0,542.0,10.0,5.0,31.0,1.0,8.0,277.0,30.0,,2.0,7.0,,2.0,1.0,3.0,23.0,356.0,59.0,,83299,6.0,99.0,13.0,118.0,5.0,,3.0,12.0,4.0,47.0,,,1.0,3.0,,,18.0,1.0,2.0,57.0,286.0,4.0,12.0,,17.0,2.0,68.0,1.0,,0.0,3.0,,,,4.0,0.0,1.0,,1.0,54.5,19.0,,4.0,2.0,3.0,3.0,35.0,7.0,374.0,8.0,7.0,26.0,3.0,39.0,,1.0,275.0,7.0,1.0,18.0,114.0,26.0,,,7.0,18.0,,9.0,3.0,8.0,,6.0,7.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2292839,2022-08-21 14:00:00,"London Stadium, London",62449.0,Away,Brighton and Hove Albion,West Ham United,2,0,W,1,0,0,0,,2.0,15.0,62.0,1.0,1.0,3.0,22.0,16.0,2.0,2.0,9.0,3.0,,167.0,7.0,5.0,3.0,2.0,3.0,8.0,1.0,2.0,127.0,131.0,39.0,11.0,1.0,20.0,,1.0,1.0,,1.0,16.0,7.0,16.0,4.0,8.0,35.0,217.0,0.0,153.0,7.0,,2.0,2.0,54.0,94.0,4.0,76.0,1.0,12.0,19.0,2.0,,3.0,1.0,131.0,2.0,1.0,8.0,115.0,655.0,6.0,5.0,22.0,,6.0,385.0,26.0,1.0,7.0,8.0,1.0,0.0,7.0,4.0,15.0,467.0,72.0,1.0,83299,4.0,183.0,7.0,207.0,4.0,2.0,1.0,19.0,4.0,38.0,,2.0,1.0,6.0,,1.0,18.0,5.0,1.0,60.0,395.0,10.0,4.0,1.0,23.0,3.0,71.0,,,0.0,5.0,2.0,2.0,,1.0,0.0,3.0,1.0,2.0,50.4,12.0,2.0,3.0,,6.0,4.0,38.0,4.0,485.0,6.0,6.0,15.0,5.0,21.0,2.0,4.0,294.0,7.0,5.0,9.0,103.0,20.0,3.0,,8.0,17.0,,7.0,3.0,5.0,3.0,10.0,4.0,1.0,,,,,,1.0,,,3.0,2.0,,,1.0,2.0,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2292843,2022-08-27 15:00:00,"American Express Stadium, Falmer",30953.0,Home,Brighton and Hove Albion,Leeds United,1,0,W,0,0,0,0,3.0,,18.0,67.0,,,1.0,29.0,8.0,2.0,7.0,11.0,2.0,,158.0,9.0,5.0,7.0,1.0,3.0,12.0,2.0,4.0,78.0,163.0,48.0,13.0,,10.0,2.0,1.0,1.0,1.0,2.0,12.0,10.0,8.0,4.0,2.0,41.0,137.0,0.0,128.0,10.0,1.0,,3.0,81.0,34.0,5.0,41.0,2.0,8.0,16.0,2.0,,,1.0,163.0,2.0,1.0,7.0,76.0,542.0,9.0,3.0,27.0,,9.0,238.0,28.0,2.0,6.0,4.0,1.0,2.0,5.0,7.0,27.0,329.0,65.0,2.0,83299,8.0,118.0,5.0,139.0,8.0,1.0,,16.0,7.0,53.0,,2.0,2.0,4.0,,1.0,20.0,3.0,4.0,65.0,250.0,13.0,11.0,2.0,22.0,2.0,70.0,1.0,1.0,0.0,3.0,2.0,1.0,,,0.0,4.0,1.0,3.0,42.8,19.0,3.0,4.0,,4.0,1.0,33.0,5.0,353.0,9.0,14.0,22.0,8.0,25.0,1.0,7.0,226.0,3.0,2.0,14.0,77.0,28.0,,,4.0,14.0,,8.0,5.0,15.0,,9.0,5.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2292853,2022-08-30 19:30:00,"Craven Cottage, London",22224.0,Away,Brighton and Hove Albion,Fulham,1,2,L,0,0,0,0,1.0,1.0,28.0,66.0,,1.0,,33.0,11.0,1.0,1.0,6.0,2.0,,171.0,17.0,3.0,11.0,1.0,2.0,5.0,,4.0,149.0,155.0,56.0,7.0,,18.0,2.0,,,1.0,1.0,17.0,12.0,11.0,2.0,2.0,42.0,212.0,0.0,154.0,11.0,1.0,1.0,1.0,91.0,76.0,2.0,82.0,1.0,15.0,29.0,1.0,,1.0,,155.0,1.0,1.0,8.0,131.0,736.0,5.0,4.0,20.0,,11.0,428.0,22.0,,1.0,6.0,,1.0,,3.0,26.0,511.0,73.0,,83299,4.0,237.0,13.0,259.0,4.0,1.0,,29.0,11.0,64.0,1.0,1.0,2.0,5.0,,,22.0,3.0,8.0,62.0,446.0,9.0,9.0,,10.0,1.0,74.0,,,0.0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,,2.0,60.9,23.0,2.0,5.0,,5.0,,45.0,3.0,533.0,11.0,14.0,23.0,3.0,29.0,,2.0,291.0,4.0,2.0,13.0,104.0,34.0,,1.0,6.0,23.0,2.0,5.0,4.0,23.0,,9.0,3.0,,2.0,,,,1.0,,,,,,,2.0,2.0,,,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2292862,2022-09-04 14:00:00,"American Express Stadium, Falmer",31185.0,Home,Brighton and Hove Albion,Leicester City,5,2,W,2,2,0,0,2.0,3.0,22.0,49.0,1.0,,3.0,39.0,5.0,10.0,6.0,12.0,2.0,1.0,146.0,8.0,6.0,11.0,5.0,6.0,13.0,1.0,11.0,135.0,121.0,46.0,23.0,4.0,11.0,5.0,1.0,2.0,4.0,,25.0,12.0,5.0,10.0,4.0,44.0,221.0,0.0,164.0,6.0,,4.0,,87.0,62.0,10.0,62.0,1.0,15.0,13.0,11.0,,4.0,4.0,121.0,3.0,1.0,5.0,150.0,676.0,9.0,2.0,36.0,1.0,13.0,409.0,22.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,15.0,478.0,68.0,2.0,83299,6.0,206.0,11.0,219.0,6.0,3.0,1.0,8.0,5.0,36.0,,3.0,2.0,3.0,,2.0,12.0,1.0,4.0,66.0,421.0,8.0,6.0,2.0,13.0,3.0,69.0,,,0.0,1.0,2.0,4.0,2.0,2.0,0.0,5.0,2.0,1.0,53.5,14.0,,3.0,,3.0,7.0,45.0,10.0,493.0,13.0,7.0,22.0,5.0,36.0,1.0,1.0,299.0,15.0,3.0,10.0,123.0,21.0,1.0,,1.0,17.0,1.0,16.0,4.0,17.0,1.0,8.0,10.0,,4.0,,1.0,,2.0,,2.0,1.0,,,,,1.0,3.0,1.0,,,1.0,,1.0,2.0,1.0,,2.0,,,1.0,2.0,,,,,,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2292870,2023-04-04 19:45:00,"Vitality Stadium, Bournemouth",10266.0,Away,Brighton and Hove Albion,Bournemouth,2,0,W,1,0,0,0,3.0,2.0,30.0,64.0,1.0,1.0,1.0,27.0,10.0,6.0,7.0,10.0,3.0,1.0,209.0,17.0,1.0,14.0,2.0,2.0,15.0,1.0,6.0,163.0,130.0,55.0,16.0,,12.0,3.0,1.0,2.0,2.0,3.0,11.0,9.0,10.0,2.0,16.0,41.0,237.0,0.0,139.0,5.0,3.0,,,61.0,87.0,7.0,119.0,1.0,9.0,17.0,6.0,,2.0,5.0,130.0,3.0,,10.0,135.0,807.0,13.0,5.0,30.0,,7.0,520.0,21.0,,,7.0,2.0,1.0,4.0,8.0,19.0,599.0,62.0,1.0,83299,7.0,309.0,7.0,331.0,4.0,1.0,2.0,12.0,10.0,42.0,,2.0,,3.0,,2.0,18.0,4.0,10.0,49.0,545.0,10.0,8.0,,3.0,2.0,74.0,1.0,,0.0,5.0,2.0,2.0,,2.0,0.0,1.0,2.0,2.0,63.3,16.0,2.0,7.0,,3.0,1.0,46.0,5.0,626.0,7.0,11.0,19.0,9.0,24.0,,4.0,306.0,7.0,14.0,14.0,105.0,28.0,3.0,,7.0,17.0,,13.0,4.0,21.0,3.0,12.0,5.0,1.0,1.0,,,,1.0,1.0,,1.0,4.0,,,1.0,1.0,2.0,,1.0,4.0,1.0,1.0,,,,1.0,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2292882,2023-03-15 19:30:00,"American Express Stadium, Falmer",30933.0,Home,Brighton and Hove Albion,Crystal Palace,1,0,W,1,0,0,0,1.0,,34.0,68.0,1.0,1.0,,18.0,8.0,5.0,3.0,6.0,3.0,1.0,189.0,20.0,1.0,4.0,1.0,3.0,10.0,,5.0,148.0,133.0,53.0,11.0,1.0,3.0,3.0,,1.0,3.0,2.0,10.0,11.0,8.0,1.0,8.0,33.0,204.0,0.0,150.0,13.0,1.0,1.0,,63.0,64.0,6.0,90.0,1.0,9.0,21.0,5.0,,1.0,3.0,133.0,,,6.0,152.0,757.0,7.0,,15.0,1.0,15.0,467.0,18.0,,1.0,4.0,1.0,1.0,2.0,4.0,18.0,554.0,57.0,1.0,83299,1.0,285.0,8.0,309.0,9.0,,2.0,9.0,4.0,42.0,,1.0,2.0,5.0,,1.0,16.0,5.0,4.0,43.0,488.0,19.0,11.0,2.0,10.0,1.0,64.0,2.0,,0.0,4.0,2.0,1.0,,,0.0,,1.0,1.0,57.1,18.0,,13.0,,5.0,1.0,40.0,1.0,579.0,15.0,6.0,14.0,5.0,23.0,1.0,2.0,280.0,7.0,7.0,10.0,100.0,30.0,1.0,,4.0,20.0,,8.0,4.0,13.0,1.0,9.0,1.0,,2.0,1.0,,,1.0,1.0,,,2.0,1.0,,1.0,,,,1.0,2.0,,,,,,2.0,3.0,2.0,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,2292896,2022-10-01 15:00:00,"Anfield, Liverpool",53320.0,Away,Brighton and Hove Albion,Liverpool,3,3,D,2,1,0,0,,3.0,25.0,59.0,1.0,1.0,,23.0,26.0,,3.0,6.0,5.0,3.0,172.0,14.0,3.0,11.0,3.0,1.0,5.0,,6.0,113.0,154.0,48.0,6.0,,11.0,3.0,,2.0,2.0,,13.0,9.0,26.0,2.0,3.0,36.0,114.0,0.0,101.0,13.0,2.0,,1.0,41.0,24.0,5.0,68.0,,11.0,19.0,,,4.0,,154.0,5.0,,13.0,107.0,661.0,3.0,3.0,23.0,2.0,14.0,342.0,27.0,,2.0,12.0,2.0,1.0,2.0,,16.0,433.0,42.0,1.0,83299,5.0,248.0,6.0,289.0,8.0,,2.0,7.0,11.0,46.0,1.0,3.0,,8.0,,3.0,20.0,3.0,6.0,61.0,359.0,6.0,8.0,,18.0,,48.0,,,0.0,9.0,4.0,3.0,3.0,,0.0,3.0,2.0,2.0,46.2,8.0,,5.0,,9.0,,20.0,2.0,460.0,14.0,6.0,15.0,,25.0,,,184.0,1.0,3.0,8.0,64.0,14.0,1.0,1.0,12.0,23.0,3.0,6.0,3.0,19.0,1.0,7.0,2.0,,1.0,,,,,,,1.0,2.0,3.0,,,3.0,,,,2.0,,,,,,1.0,1.0,,,,,3.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10,2292902,2022-10-08 17:30:00,"American Express Stadium, Falmer",31498.0,Home,Brighton and Hove Albion,Tottenham Hotspur,0,1,L,0,1,0,0,2.0,,25.0,60.0,,2.0,3.0,20.0,7.0,6.0,6.0,8.0,2.0,,196.0,11.0,3.0,9.0,,2.0,14.0,2.0,4.0,195.0,132.0,51.0,14.0,2.0,11.0,2.0,1.0,,1.0,1.0,17.0,9.0,7.0,4.0,10.0,36.0,368.0,0.0,221.0,9.0,2.0,,1.0,76.0,70.0,9.0,105.0,3.0,13.0,20.0,6.0,,3.0,2.0,132.0,1.0,,4.0,198.0,865.0,13.0,7.0,30.0,,10.0,579.0,14.0,,,4.0,,1.0,1.0,5.0,19.0,660.0,67.0,,83299,3.0,245.0,9.0,271.0,5.0,,1.0,10.0,13.0,42.0,,5.0,2.0,1.0,,,14.0,4.0,12.0,40.0,610.0,13.0,8.0,1.0,6.0,1.0,56.0,1.0,,0.0,2.0,,,1.0,2.0,0.0,1.0,,1.0,58.9,18.0,1.0,6.0,1.0,2.0,5.0,39.0,6.0,694.0,10.0,12.0,18.0,5.0,29.0,2.0,3.0,440.0,7.0,9.0,12.0,183.0,37.0,,,4.0,17.0,1.0,12.0,4.0,12.0,,10.0,6.0,1.0,2.0,,,,2.0,,,2.0,,1.0,,,1.0,1.0,,,,,,,1.0,,2.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
