gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,saves,attCmissRight,attOboxBlocked,attBxRight,attGoalHighRight,divingSave,attMissRight,errorLeadToShot,ownGoals,totalOffside,attAssistSetplay,attSvLowRight,savedIbox,goalsConceded,attCmissHighRight,accurateCornersIntobox,attIboxOwnGoal,goalsConcededIbox,savedObox,postScoringAtt,attIboxPost,contentiousDecision,hitWoodwork,attPostHigh,attSvHighCentre,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,accuratePullBack,shotFastbreak,goalFastbreak,totalFastbreak,attSvLowLeft,freekickCross,attPostLeft,accurateFreekickCross,attSetpiece,defenderGoals,attFastbreak,attHdGoal,attemptsIbox,ptsGainedLosingPos,attemptsObox,secondYellow,touchesInOppBox,attHdTarget,attCmissLeft,attOboxGoal,penaltyConceded,attOboxPost,penaltyFaced,penGoalsConceded,sixYardBlock,attPostRight,penaltySave,attPenTarget,penaltyWon,attPenGoal,handBall,attGoalHighCentre,attCmissHighLeft,foulThrowIn,attGoalHighLeft,attFreekickGoal,attFreekickTarget,clearanceOffLine,goalsConcededObox,attObxLeft
1,755308,2014-08-17 16:00:00,"St. James' Park, Newcastle",50816,Away,Manchester City,Newcastle United,2,0,W,1,0,0,0,1.0,2.0,65.0,1.0,3.0,28.0,32.0,4.0,5.0,1.0,2.0,208.0,1.0,1.0,6.0,2.0,1.0,11.0,5.0,148.0,123.0,58.0,1.0,13.0,14.0,2.0,1.0,1.0,1.0,1.0,10.0,24.0,1.0,32.0,3.0,17.0,26.0,1.0,299.0,1.0,1.0,1.0,0.0,154.0,11.0,1.0,1.0,1.0,76.0,69.0,7.0,77.0,1.0,7.0,13.0,1.0,1.0,3.0,123.0,2.0,9.0,160.0,772.0,10.0,6.0,15.0,496.0,27.0,1.0,4.0,16.0,1.0,1.0,5.0,3.0,4.0,14.0,571.0,68.0,3.0,80235,4.0,213.0,1.0,6.0,226.0,7.0,1.0,1.0,13.0,13.0,62.0,2.0,3.0,3.0,2.0,6.0,3.0,8.0,2.0,48.0,511.0,7.0,14.0,9.0,85.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,55.8,13.0,1.0,2.0,4.0,4.0,3.0,62.0,3.0,1.0,593.0,15.0,1.0,16.0,14.0,5.0,13.0,2.0,377.0,7.0,17.0,16.0,109.0,31.0,1.0,2.0,16.0,29.0,12.0,3.0,13.0,2.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,755318,2014-08-25 20:00:00,"Etihad Stadium, Manchester",45471,Home,Manchester City,Liverpool,3,1,W,1,0,0,0,,3.0,54.0,1.0,,23.0,25.0,3.0,2.0,1.0,1.0,198.0,,2.0,4.0,3.0,,7.0,4.0,163.0,118.0,34.0,,9.0,8.0,,,2.0,,,12.0,12.0,1.0,25.0,4.0,19.0,24.0,,313.0,1.0,,,0.0,173.0,13.0,,,2.0,89.0,79.0,3.0,84.0,2.0,8.0,24.0,,1.0,1.0,118.0,2.0,8.0,141.0,746.0,4.0,4.0,10.0,490.0,32.0,,4.0,9.0,2.0,,1.0,4.0,4.0,12.0,566.0,54.0,2.0,52538,2.0,195.0,,7.0,217.0,7.0,2.0,,24.0,8.0,46.0,,5.0,5.0,3.0,8.0,4.0,5.0,1.0,47.0,506.0,7.0,9.0,18.0,62.0,3.0,0.0,1.0,7.0,3.0,4.0,0.0,1.0,2.0,,1.0,52.9,11.0,1.0,1.0,,5.0,1.0,42.0,6.0,2.0,586.0,10.0,,13.0,12.0,4.0,14.0,3.0,381.0,6.0,19.0,7.0,131.0,16.0,3.0,2.0,9.0,16.0,7.0,3.0,8.0,2.0,12.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,755327,2014-08-30 15:00:00,"Etihad Stadium, Manchester",45622,Home,Manchester City,Stoke City,0,1,L,0,0,0,0,,,54.0,,6.0,16.0,14.0,4.0,6.0,,2.0,215.0,,6.0,11.0,,3.0,14.0,2.0,193.0,134.0,42.0,1.0,16.0,17.0,2.0,,,,2.0,29.0,10.0,,14.0,7.0,23.0,16.0,,413.0,1.0,,,0.0,264.0,14.0,,,1.0,85.0,92.0,9.0,84.0,1.0,22.0,10.0,1.0,5.0,1.0,134.0,,2.0,176.0,850.0,14.0,4.0,15.0,573.0,25.0,,2.0,8.0,,,2.0,1.0,5.0,18.0,650.0,62.0,,52538,5.0,180.0,,17.0,193.0,7.0,,1.0,10.0,5.0,67.0,,1.0,7.0,,4.0,5.0,3.0,1.0,34.0,587.0,4.0,13.0,8.0,64.0,1.0,0.0,1.0,4.0,,2.0,0.0,5.0,,,2.0,72.2,18.0,2.0,4.0,3.0,7.0,9.0,47.0,11.0,1.0,668.0,15.0,,17.0,4.0,5.0,30.0,3.0,504.0,8.0,20.0,13.0,209.0,17.0,,5.0,8.0,14.0,13.0,3.0,18.0,5.0,7.0,11.0,,1.0,,3.0,4.0,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,755333,2014-09-13 12:45:00,"Emirates Stadium, London",60003,Away,Manchester City,Arsenal,2,2,D,1,0,0,0,2.0,1.0,76.0,1.0,1.0,12.0,29.0,5.0,6.0,,4.0,197.0,,3.0,13.0,2.0,3.0,13.0,8.0,158.0,175.0,73.0,,15.0,14.0,4.0,2.0,1.0,3.0,,16.0,22.0,2.0,29.0,2.0,15.0,17.0,3.0,289.0,,,,0.0,201.0,15.0,,,2.0,101.0,86.0,9.0,74.0,2.0,14.0,21.0,,2.0,2.0,175.0,4.0,8.0,131.0,801.0,10.0,4.0,16.0,432.0,28.0,1.0,,17.0,2.0,2.0,4.0,,4.0,26.0,532.0,66.0,1.0,57112,4.0,162.0,3.0,11.0,196.0,9.0,1.0,1.0,21.0,10.0,83.0,1.0,3.0,6.0,1.0,10.0,7.0,1.0,1.0,47.0,448.0,9.0,23.0,18.0,67.0,1.0,0.0,1.0,,2.0,2.0,0.0,2.0,2.0,1.0,2.0,54.6,21.0,1.0,7.0,3.0,7.0,2.0,32.0,3.0,2.0,560.0,16.0,,24.0,4.0,5.0,17.0,2.0,380.0,7.0,14.0,14.0,158.0,32.0,1.0,,17.0,37.0,13.0,3.0,20.0,,9.0,3.0,,4.0,1.0,1.0,2.0,1.0,,2.0,1.0,,2.0,1.0,2.0,2.0,2.0,,1.0,,2.0,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,755347,2014-09-21 16:00:00,"Etihad Stadium, Manchester",45602,Home,Manchester City,Chelsea,1,1,D,0,0,1,0,2.0,1.0,65.0,,1.0,31.0,15.0,8.0,6.0,,,167.0,,6.0,12.0,1.0,3.0,10.0,4.0,171.0,124.0,75.0,,16.0,11.0,2.0,,1.0,2.0,2.0,34.0,25.0,1.0,15.0,11.0,8.0,29.0,,334.0,2.0,,,0.0,185.0,16.0,,,,104.0,92.0,5.0,80.0,1.0,23.0,13.0,,7.0,4.0,124.0,1.0,4.0,144.0,761.0,8.0,4.0,13.0,489.0,29.0,1.0,,8.0,1.0,,3.0,2.0,5.0,10.0,545.0,61.0,1.0,57112,7.0,175.0,,14.0,190.0,13.0,1.0,1.0,13.0,1.0,64.0,,2.0,4.0,1.0,10.0,2.0,,,45.0,503.0,12.0,16.0,5.0,66.0,,0.0,4.0,2.0,1.0,,1.0,5.0,1.0,,3.0,58.5,9.0,2.0,4.0,,4.0,4.0,53.0,14.0,,562.0,13.0,,10.0,19.0,8.0,53.0,4.0,406.0,7.0,7.0,19.0,152.0,28.0,,2.0,8.0,32.0,13.0,3.0,23.0,2.0,5.0,14.0,1.0,1.0,1.0,3.0,1.0,,,3.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,1.0,,,,,8.0,1.0,8.0,1.0,32.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,755356,2014-09-27 15:00:00,"The MKM Stadium, Hull",22859,Away,Manchester City,Hull City,4,2,W,2,2,0,0,,2.0,61.0,1.0,4.0,24.0,22.0,7.0,4.0,1.0,2.0,202.0,1.0,6.0,15.0,4.0,4.0,19.0,6.0,183.0,122.0,45.0,,20.0,16.0,1.0,,4.0,1.0,2.0,19.0,10.0,1.0,22.0,7.0,18.0,26.0,,303.0,,,,0.0,168.0,6.0,,1.0,3.0,43.0,96.0,11.0,109.0,4.0,12.0,12.0,,4.0,3.0,122.0,2.0,7.0,170.0,870.0,13.0,7.0,22.0,572.0,21.0,,1.0,13.0,4.0,,2.0,1.0,8.0,20.0,643.0,65.0,2.0,57112,9.0,293.0,,8.0,308.0,3.0,3.0,2.0,12.0,5.0,52.0,,2.0,10.0,4.0,13.0,4.0,5.0,5.0,45.0,590.0,10.0,10.0,9.0,84.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,3.0,3.0,,2.0,59.7,19.0,2.0,4.0,1.0,10.0,5.0,64.0,8.0,3.0,664.0,22.0,,13.0,15.0,9.0,14.0,5.0,375.0,13.0,17.0,10.0,127.0,24.0,3.0,3.0,13.0,11.0,18.0,3.0,22.0,3.0,5.0,8.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,2.0,2.0,,3.0,1.0,2.0,2.0,1.0,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
7,755363,2014-10-04 17:30:00,"Villa Park, Birmingham",32964,Away,Manchester City,Aston Villa,2,0,W,0,0,0,0,2.0,,72.0,1.0,8.0,22.0,6.0,9.0,11.0,1.0,2.0,248.0,,7.0,7.0,2.0,3.0,20.0,7.0,206.0,143.0,42.0,2.0,27.0,9.0,5.0,,2.0,3.0,1.0,27.0,13.0,,6.0,5.0,19.0,28.0,1.0,362.0,,1.0,1.0,0.0,223.0,6.0,,1.0,1.0,67.0,87.0,14.0,111.0,2.0,23.0,18.0,2.0,5.0,3.0,143.0,1.0,2.0,212.0,965.0,15.0,3.0,17.0,682.0,27.0,,3.0,3.0,2.0,,1.0,1.0,6.0,24.0,766.0,62.0,1.0,57112,13.0,336.0,2.0,17.0,353.0,5.0,1.0,1.0,18.0,4.0,54.0,,6.0,4.0,2.0,9.0,4.0,3.0,3.0,41.0,691.0,4.0,15.0,8.0,95.0,,0.0,1.0,,,2.0,0.0,5.0,,,3.0,67.8,24.0,2.0,5.0,3.0,4.0,12.0,64.0,7.0,1.0,777.0,17.0,2.0,20.0,9.0,8.0,25.0,4.0,451.0,11.0,19.0,15.0,180.0,35.0,1.0,1.0,3.0,16.0,20.0,3.0,11.0,1.0,8.0,7.0,1.0,1.0,3.0,4.0,1.0,,1.0,3.0,1.0,,3.0,3.0,,1.0,,,3.0,,,,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,
8,755377,2014-10-18 12:45:00,"Etihad Stadium, Manchester",45549,Home,Manchester City,Tottenham Hotspur,4,1,W,2,1,0,1,,2.0,72.0,1.0,4.0,34.0,17.0,3.0,2.0,1.0,8.0,214.0,,2.0,15.0,4.0,4.0,14.0,12.0,151.0,133.0,49.0,,20.0,6.0,6.0,1.0,1.0,5.0,1.0,15.0,13.0,2.0,17.0,2.0,15.0,33.0,,307.0,,,,0.0,209.0,11.0,,,,87.0,117.0,12.0,93.0,2.0,13.0,19.0,,1.0,,133.0,1.0,7.0,160.0,812.0,11.0,3.0,13.0,515.0,28.0,,5.0,6.0,2.0,1.0,1.0,8.0,2.0,17.0,599.0,63.0,2.0,80235,8.0,224.0,3.0,12.0,244.0,6.0,3.0,,19.0,8.0,56.0,2.0,6.0,3.0,1.0,5.0,12.0,3.0,2.0,54.0,529.0,9.0,20.0,12.0,87.0,1.0,0.0,3.0,4.0,4.0,1.0,0.0,1.0,,,1.0,61.7,16.0,1.0,6.0,3.0,3.0,4.0,66.0,3.0,,618.0,13.0,,17.0,23.0,4.0,19.0,3.0,389.0,17.0,15.0,6.0,160.0,35.0,4.0,2.0,6.0,20.0,13.0,3.0,17.0,2.0,11.0,3.0,3.0,6.0,,,5.0,,3.0,,,,3.0,1.0,2.0,3.0,1.0,,1.0,,1.0,3.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,,2.0,,3.0,,,,,2.0,,2.0,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,
9,755392,2014-10-25 12:45:00,"Boleyn Ground, London",34977,Away,Manchester City,West Ham United,1,2,L,0,1,0,0,1.0,,60.0,,2.0,26.0,36.0,10.0,8.0,1.0,3.0,208.0,,10.0,14.0,1.0,4.0,15.0,5.0,146.0,149.0,68.0,2.0,21.0,16.0,2.0,,1.0,,3.0,23.0,12.0,2.0,36.0,7.0,13.0,26.0,,250.0,2.0,,,0.0,152.0,14.0,,1.0,1.0,67.0,69.0,5.0,74.0,1.0,16.0,15.0,2.0,2.0,5.0,149.0,3.0,9.0,132.0,763.0,11.0,10.0,5.0,438.0,26.0,,4.0,24.0,1.0,,1.0,1.0,9.0,18.0,535.0,52.0,,57112,6.0,216.0,4.0,12.0,246.0,7.0,,,15.0,9.0,52.0,3.0,,4.0,1.0,12.0,3.0,5.0,4.0,64.0,456.0,10.0,8.0,26.0,92.0,2.0,0.0,1.0,4.0,1.0,6.0,0.0,5.0,,,1.0,69.5,18.0,1.0,1.0,2.0,5.0,5.0,50.0,8.0,1.0,560.0,5.0,1.0,12.0,14.0,11.0,18.0,4.0,337.0,12.0,12.0,27.0,111.0,27.0,,6.0,24.0,17.0,15.0,3.0,18.0,6.0,5.0,8.0,1.0,2.0,,3.0,1.0,,,,1.0,,2.0,2.0,2.0,2.0,2.0,,5.0,,2.0,,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,1.0,2.0,,2.0,2.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,
10,755400,2014-11-02 13:30:00,"Etihad Stadium, Manchester",45358,Home,Manchester City,Manchester United,1,0,W,0,0,0,1,1.0,1.0,57.0,,3.0,21.0,17.0,5.0,5.0,1.0,4.0,180.0,,6.0,11.0,1.0,3.0,15.0,6.0,113.0,137.0,54.0,1.0,17.0,11.0,4.0,1.0,1.0,2.0,,22.0,16.0,1.0,17.0,6.0,11.0,30.0,,230.0,,1.0,1.0,0.0,160.0,15.0,,,2.0,78.0,57.0,11.0,63.0,,16.0,19.0,1.0,1.0,2.0,137.0,4.0,7.0,126.0,680.0,13.0,6.0,11.0,385.0,16.0,,1.0,11.0,1.0,1.0,3.0,2.0,4.0,18.0,463.0,52.0,3.0,80235,9.0,175.0,3.0,14.0,194.0,9.0,,2.0,19.0,7.0,63.0,1.0,5.0,5.0,1.0,6.0,2.0,5.0,3.0,46.0,399.0,9.0,15.0,10.0,67.0,,0.0,3.0,4.0,1.0,4.0,0.0,3.0,1.0,,1.0,52.0,16.0,1.0,6.0,,5.0,5.0,36.0,7.0,2.0,482.0,11.0,1.0,18.0,15.0,6.0,20.0,3.0,310.0,10.0,10.0,15.0,119.0,28.0,1.0,2.0,11.0,19.0,13.0,3.0,17.0,2.0,12.0,7.0,,2.0,1.0,2.0,1.0,,2.0,2.0,,,3.0,1.0,,2.0,,,3.0,,,,1.0,1.0,2.0,1.0,,2.0,,,,2.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,
