gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attMissLeft,ptsGainedLosingPos,attSvLowLeft,secondYellow,attMissHighLeft,accurateFreekickCross,attSetpiece,attMissHigh,punches,goalsConceded,accurateFlickOn,foulThrowIn,effectiveBlockedCross,goalsConcededIbox,errorLeadToGoal,blockedCross,goalsConcededObox,savedObox,attCmissRight,divingSave,attSvHighLeft,attHdPost,sixYardBlock,attFreekickMiss,attLfGoal,attGoalLowCentre,attOboxGoal,interceptionsInBox,attGoalHighLeft,attCmissHighRight,attHdGoal,goalAssistSetplay,goalAssistDeadball,shotFastbreak,attGoalHighRight,attSvHighRight,penaltyWon,totalFastbreak,defenderGoals,attPenGoal,attFastbreak,attCmissLeft,shieldBallOop,attCmissHigh,attGoalLowRight,midfielderGoals,goalFastbreak,attGoalHighCentre,ownGoals,attIboxOwnGoal,attSvHighCentre,attFreekickPost,attOboxPost,attPostHigh,attObxdLeft,attFreekickGoal,attPenPost,attCorner,clearanceOffLine,attPostRight,penaltySave,penaltyConceded,penaltyFaced,attLgRight,ptsDroppedWinningPos,attLgCentre,attPenTarget,attCmissHighLeft,attObxRight
1,918894,2017-08-12 17:30:00,"Amex Stadium, Falmer",30415,Away,Manchester City,Brighton and Hove Albion,2,0,W,0,0,0,0,1.0,1.0,48.0,1.0,1.0,34.0,8.0,8.0,2.0,6.0,2.0,2.0,210.0,4.0,6.0,2.0,3.0,10.0,1.0,4.0,209.0,127.0,35.0,2.0,14.0,4.0,13.0,1.0,1.0,1.0,1.0,1.0,2.0,27.0,1.0,6.0,2.0,8.0,6.0,37.0,37.0,1.0,462.0,2.0,1.0,0.0,279.0,9.0,1.0,1.0,89.0,124.0,6.0,128.0,2.0,21.0,16.0,8.0,2.0,7.0,2.0,127.0,3.0,2.0,4.0,1.0,221.0,918.0,7.0,3.0,28.0,1.0,1.0,9.0,675.0,14.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,17.0,750.0,91.0,2.0,1.0,97299,2.0,233.0,4.0,13.0,247.0,5.0,1.0,1.0,16.0,4.0,38.0,3.0,1.0,7.0,1.0,14.0,2.0,3.0,52.0,691.0,6.0,7.0,1.0,10.0,62.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,2.0,78.2,16.0,1.0,5.0,1.0,7.0,5.0,50.0,10.0,2.0,768.0,9.0,4.0,21.0,5.0,51.0,1.0,2.0,548.0,10.0,35.0,13.0,226.0,22.0,1.0,3.0,10.0,11.0,3.0,12.0,7.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,918908,2017-08-21 20:00:00,"Etihad Stadium, Manchester",54009,Home,Manchester City,Everton,1,1,D,0,1,1,1,,,55.0,1.0,,34.0,6.0,9.0,6.0,10.0,1.0,4.0,195.0,6.0,13.0,1.0,4.0,15.0,,6.0,158.0,162.0,55.0,1.0,19.0,4.0,12.0,2.0,4.0,1.0,2.0,,2.0,24.0,1.0,8.0,3.0,6.0,6.0,12.0,32.0,,278.0,,,0.0,188.0,7.0,2.0,1.0,70.0,68.0,7.0,71.0,1.0,18.0,18.0,9.0,1.0,4.0,2.0,162.0,1.0,1.0,4.0,1.0,136.0,745.0,12.0,4.0,37.0,,1.0,10.0,444.0,21.0,5.0,3.0,,2.0,1.0,,8.0,29.0,541.0,63.0,,,97299,6.0,189.0,1.0,12.0,209.0,3.0,1.0,,18.0,6.0,41.0,1.0,,3.0,1.0,17.0,3.0,5.0,61.0,461.0,8.0,3.0,3.0,16.0,79.0,1.0,0.0,,,1.0,1.0,1.0,1.0,4.0,,2.0,65.4,24.0,2.0,2.0,,5.0,4.0,50.0,7.0,1.0,560.0,10.0,12.0,16.0,9.0,40.0,2.0,6.0,375.0,11.0,10.0,22.0,140.0,25.0,,3.0,12.0,13.0,3.0,20.0,11.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,918913,2017-08-26 12:30:00,"Vitality Stadium, Bournemouth",10419,Away,Manchester City,Bournemouth,2,1,W,1,1,1,0,,1.0,64.0,2.0,3.0,33.0,35.0,6.0,5.0,13.0,2.0,5.0,211.0,6.0,13.0,2.0,5.0,13.0,,8.0,155.0,145.0,62.0,1.0,19.0,1.0,13.0,4.0,,1.0,,2.0,4.0,27.0,1.0,8.0,2.0,35.0,4.0,29.0,35.0,,320.0,1.0,,0.0,207.0,14.0,1.0,2.0,84.0,86.0,9.0,87.0,3.0,23.0,24.0,6.0,1.0,5.0,3.0,145.0,2.0,1.0,5.0,1.0,151.0,849.0,8.0,5.0,40.0,,1.0,12.0,511.0,23.0,4.0,21.0,2.0,,4.0,3.0,4.0,35.0,588.0,73.0,1.0,,97299,10.0,210.0,1.0,17.0,226.0,10.0,2.0,1.0,24.0,1.0,57.0,2.0,3.0,6.0,2.0,16.0,4.0,,48.0,524.0,13.0,10.0,3.0,10.0,72.0,1.0,0.0,,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,70.2,33.0,,7.0,,6.0,4.0,56.0,5.0,2.0,604.0,12.0,15.0,22.0,7.0,42.0,3.0,3.0,405.0,12.0,28.0,23.0,163.0,27.0,2.0,21.0,13.0,14.0,3.0,18.0,6.0,5.0,1.0,,3.0,,1.0,1.0,,,1.0,,1.0,2.0,,1.0,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,918928,2017-09-09 12:30:00,"Etihad Stadium, Manchester",54172,Home,Manchester City,Liverpool,5,0,W,2,0,0,1,,4.0,61.0,2.0,,24.0,14.0,3.0,5.0,10.0,3.0,4.0,207.0,7.0,4.0,5.0,3.0,10.0,1.0,10.0,212.0,118.0,36.0,,13.0,,4.0,3.0,1.0,,3.0,5.0,2.0,19.0,,10.0,2.0,14.0,3.0,21.0,23.0,1.0,291.0,1.0,1.0,0.0,137.0,10.0,3.0,,104.0,88.0,8.0,104.0,,16.0,10.0,3.0,,1.0,,118.0,5.0,,2.0,,207.0,892.0,4.0,5.0,26.0,,,12.0,641.0,18.0,1.0,9.0,5.0,3.0,2.0,2.0,2.0,21.0,711.0,58.0,2.0,,97299,6.0,374.0,2.0,12.0,390.0,6.0,1.0,3.0,10.0,3.0,39.0,6.0,5.0,6.0,5.0,11.0,5.0,2.0,41.0,658.0,9.0,10.0,1.0,9.0,92.0,2.0,0.0,,,3.0,2.0,4.0,0.0,5.0,4.0,2.0,66.1,18.0,1.0,9.0,,6.0,,75.0,8.0,,730.0,12.0,7.0,12.0,3.0,33.0,2.0,3.0,359.0,6.0,21.0,9.0,96.0,25.0,3.0,9.0,14.0,11.0,3.0,12.0,8.0,8.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,,1.0,,2.0,,,,,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,918941,2017-09-16 15:00:00,"Vicarage Road, Watford",20305,Away,Manchester City,Watford,6,0,W,3,0,0,0,,4.0,55.0,3.0,5.0,30.0,24.0,10.0,6.0,18.0,1.0,3.0,198.0,7.0,13.0,6.0,4.0,22.0,,10.0,158.0,112.0,54.0,,28.0,3.0,12.0,2.0,1.0,,1.0,3.0,2.0,26.0,,13.0,2.0,24.0,3.0,23.0,15.0,,295.0,1.0,1.0,0.0,197.0,6.0,1.0,2.0,63.0,106.0,14.0,122.0,5.0,23.0,18.0,10.0,,2.0,5.0,112.0,3.0,,5.0,,159.0,840.0,15.0,2.0,43.0,,1.0,10.0,556.0,20.0,,15.0,5.0,1.0,0.0,1.0,8.0,15.0,615.0,58.0,1.0,,97299,12.0,288.0,,20.0,303.0,3.0,4.0,,18.0,5.0,35.0,3.0,,6.0,3.0,21.0,2.0,3.0,41.0,576.0,8.0,11.0,2.0,5.0,55.0,,0.0,,1.0,3.0,1.0,6.0,0.0,5.0,4.0,3.0,67.4,13.0,1.0,8.0,3.0,6.0,8.0,47.0,11.0,2.0,637.0,10.0,3.0,12.0,10.0,32.0,2.0,5.0,360.0,18.0,20.0,14.0,167.0,21.0,5.0,15.0,19.0,20.0,3.0,17.0,9.0,11.0,1.0,3.0,,,,,1.0,2.0,1.0,1.0,,,1.0,1.0,,,1.0,,,2.0,,1.0,,,,,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,918948,2017-09-23 15:00:00,"Etihad Stadium, Manchester",53526,Home,Manchester City,Crystal Palace,5,0,W,1,0,0,0,,4.0,68.0,1.0,7.0,24.0,6.0,4.0,9.0,21.0,,2.0,176.0,7.0,14.0,5.0,2.0,18.0,2.0,9.0,218.0,119.0,35.0,,25.0,2.0,10.0,4.0,1.0,,1.0,5.0,2.0,24.0,,3.0,,6.0,6.0,18.0,38.0,1.0,433.0,,1.0,0.0,267.0,6.0,1.0,,105.0,99.0,13.0,100.0,3.0,18.0,19.0,4.0,,3.0,1.0,119.0,8.0,,2.0,,230.0,911.0,11.0,2.0,58.0,,,11.0,642.0,17.0,1.0,3.0,5.0,1.0,3.0,3.0,5.0,21.0,709.0,85.0,1.0,,97299,15.0,230.0,6.0,14.0,239.0,4.0,2.0,5.0,19.0,5.0,46.0,2.0,,8.0,5.0,16.0,3.0,4.0,34.0,656.0,6.0,14.0,2.0,3.0,53.0,1.0,0.0,,2.0,2.0,,4.0,0.0,4.0,4.0,4.0,71.9,21.0,3.0,7.0,2.0,8.0,9.0,44.0,8.0,,724.0,11.0,12.0,27.0,7.0,46.0,3.0,6.0,509.0,11.0,15.0,10.0,223.0,35.0,4.0,3.0,6.0,20.0,3.0,18.0,7.0,8.0,2.0,,,1.0,,,,,4.0,1.0,,,,4.0,,,4.0,,,2.0,,,,1.0,,2.0,3.0,1.0,2.0,,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,918955,2017-09-30 17:30:00,"Stamford Bridge, London",41530,Away,Manchester City,Chelsea,1,0,W,0,0,0,0,,,66.0,,3.0,29.0,20.0,5.0,8.0,12.0,2.0,2.0,194.0,7.0,8.0,1.0,3.0,14.0,,6.0,172.0,123.0,52.0,1.0,17.0,2.0,7.0,4.0,2.0,,2.0,1.0,,20.0,,17.0,1.0,20.0,7.0,26.0,20.0,,302.0,,1.0,0.0,178.0,13.0,1.0,1.0,100.0,82.0,9.0,99.0,2.0,13.0,21.0,5.0,1.0,1.0,1.0,123.0,1.0,,4.0,,188.0,836.0,9.0,4.0,36.0,2.0,,11.0,560.0,25.0,4.0,11.0,1.0,2.0,2.0,,5.0,19.0,633.0,61.0,,,97299,6.0,283.0,1.0,11.0,298.0,10.0,,,21.0,3.0,49.0,5.0,,4.0,1.0,11.0,,1.0,49.0,578.0,8.0,10.0,4.0,14.0,74.0,3.0,0.0,1.0,2.0,4.0,2.0,,0.0,2.0,,5.0,61.9,16.0,3.0,7.0,4.0,4.0,5.0,56.0,8.0,1.0,653.0,11.0,12.0,10.0,6.0,36.0,5.0,5.0,375.0,4.0,24.0,18.0,132.0,29.0,,11.0,19.0,10.0,3.0,15.0,13.0,8.0,1.0,3.0,,1.0,,,,,1.0,,,3.0,,1.0,,,1.0,,,,2.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,918968,2017-10-14 15:00:00,"Etihad Stadium, Manchester",54128,Home,Manchester City,Stoke City,7,2,W,3,1,0,0,,6.0,51.0,3.0,,28.0,6.0,8.0,11.0,12.0,,1.0,235.0,3.0,5.0,7.0,2.0,16.0,1.0,11.0,260.0,115.0,43.0,2.0,20.0,,7.0,,2.0,,1.0,6.0,1.0,14.0,,11.0,4.0,6.0,1.0,44.0,35.0,,451.0,,,0.0,232.0,5.0,,,114.0,75.0,11.0,131.0,2.0,13.0,13.0,8.0,2.0,3.0,3.0,115.0,6.0,,4.0,,266.0,1031.0,8.0,4.0,51.0,,,10.0,798.0,18.0,,4.0,7.0,1.0,0.0,1.0,5.0,18.0,876.0,72.0,2.0,,97299,8.0,366.0,1.0,10.0,376.0,4.0,3.0,3.0,13.0,2.0,30.0,3.0,2.0,5.0,6.0,10.0,2.0,2.0,42.0,814.0,8.0,6.0,1.0,2.0,97.0,2.0,0.0,,2.0,,,6.0,0.0,2.0,6.0,3.0,79.3,18.0,3.0,1.0,1.0,5.0,,83.0,5.0,,892.0,10.0,9.0,21.0,9.0,36.0,1.0,6.0,530.0,6.0,41.0,18.0,186.0,27.0,4.0,4.0,12.0,15.0,3.0,8.0,2.0,5.0,3.0,4.0,,1.0,,,,,3.0,,2.0,2.0,,,2.0,,,,,1.0,,,,,2.0,4.0,,1.0,,1.0,,,1.0,,1.0,,,,2.0,,,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,918976,2017-10-21 15:00:00,"Etihad Stadium, Manchester",54118,Home,Manchester City,Burnley,3,0,W,1,0,0,0,1.0,2.0,55.0,,,25.0,17.0,3.0,9.0,12.0,,3.0,234.0,3.0,17.0,3.0,1.0,9.0,,10.0,205.0,123.0,44.0,,15.0,1.0,6.0,6.0,2.0,,1.0,1.0,3.0,17.0,,5.0,1.0,17.0,3.0,22.0,25.0,1.0,338.0,,1.0,0.0,191.0,10.0,,,81.0,103.0,7.0,145.0,1.0,15.0,10.0,3.0,,,1.0,123.0,4.0,,1.0,,219.0,964.0,6.0,2.0,38.0,,,5.0,712.0,27.0,4.0,9.0,2.0,1.0,2.0,2.0,2.0,26.0,789.0,54.0,,1.0,97299,7.0,388.0,5.0,15.0,412.0,6.0,1.0,,10.0,4.0,35.0,,1.0,1.0,1.0,14.0,5.0,1.0,43.0,723.0,6.0,6.0,1.0,12.0,75.0,2.0,0.0,,,5.0,,3.0,0.0,2.0,2.0,1.0,77.4,26.0,,4.0,1.0,1.0,1.0,59.0,4.0,,803.0,5.0,9.0,18.0,4.0,32.0,2.0,3.0,408.0,5.0,20.0,13.0,153.0,22.0,2.0,9.0,9.0,12.0,3.0,22.0,1.0,4.0,4.0,3.0,,,,,,,,1.0,,2.0,,2.0,,,2.0,,,,,1.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
10,918992,2017-10-28 15:00:00,"The Hawthorns, West Bromwich",24003,Away,Manchester City,West Bromwich Albion,3,2,W,2,1,0,0,,1.0,68.0,2.0,1.0,35.0,21.0,8.0,9.0,7.0,2.0,,255.0,1.0,15.0,3.0,4.0,12.0,,5.0,266.0,142.0,58.0,2.0,15.0,1.0,12.0,1.0,2.0,,1.0,3.0,1.0,10.0,,11.0,1.0,21.0,2.0,33.0,41.0,1.0,528.0,,,0.0,317.0,7.0,1.0,,120.0,154.0,5.0,157.0,3.0,8.0,22.0,8.0,2.0,3.0,5.0,142.0,4.0,,5.0,,251.0,1116.0,8.0,5.0,29.0,,,10.0,827.0,22.0,1.0,14.0,3.0,1.0,3.0,2.0,6.0,15.0,909.0,83.0,2.0,1.0,97299,3.0,316.0,4.0,4.0,334.0,4.0,1.0,,22.0,3.0,51.0,2.0,1.0,4.0,3.0,22.0,2.0,,56.0,843.0,10.0,12.0,,8.0,93.0,1.0,0.0,,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,78.3,13.0,1.0,7.0,1.0,4.0,2.0,72.0,2.0,,929.0,10.0,16.0,26.0,8.0,41.0,,3.0,605.0,5.0,31.0,17.0,270.0,33.0,1.0,14.0,16.0,13.0,2.0,20.0,10.0,2.0,2.0,,,,,2.0,1.0,,3.0,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,,,2.0,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
