gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowRight,accuratePullBack,attFreekickTotal,shotFastbreak,postScoringAtt,attIboxPost,penaltyWon,ptsGainedLosingPos,totalFastbreak,freekickCross,freekickTotal,crosses18yardplus,contentiousDecision,attHdTarget,hitWoodwork,bigChanceMissed,attPenGoal,attAssistSetplay,attFastbreak,attCmissLeft,overrun,attOboxPost,attPostHigh,goalsConceded,attHdTotal,attHdMiss,attSvHighCentre,accurateCornersIntobox,handBall,attSvLowCentre,attGoalHighRight,attOneOnOne,attMissHighRight,errorLeadToShot,fastestPlayer_topSpeed,attObxdLeft,totalDistance,attCmissHigh,ownGoals,attMissHigh,punches,attCmissHighRight,attFreekickMiss,attPostRight,attIboxOwnGoal,goalsConcededIbox,attSvHighRight,attPostLeft,sixYardBlock,attSvLowRight,errorLeadToGoal,attBxRight,attFreekickPost,attGoalHighCentre,subsGoals,attMissHighLeft,attCmissHighLeft,ptsDroppedWinningPos,accurateFreekickCross,attSetpiece,penaltyConceded,defenderGoals,foulThrowIn,penaltyFaced,penGoalsConceded,goalAssistSetplay,goalAssistDeadball,attHdGoal,goodHighClaim,attGoalHighLeft,goalFastbreak,secondYellow,attObxRight,attPenTarget,attHdPost,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,attObxLeft,attFreekickTarget,winningGoal,keeperGoals,attObpGoal,attFreekickGoal
1,2444478,2024-08-18 16:30:00,"Stamford Bridge, London",39818,Away,Manchester City,Chelsea,2,0,W,1,0,0,0,2.0,1.0,48.0,1.0,2.0,2.0,17.0,17.0,5.0,6.0,6.0,3.0,1.0,1.0,135.0,1.0,1.0,15.0,2.0,1.0,8.0,2.0,5.0,135.0,97.0,48.0,11.0,1.0,3.0,2.0,1.0,1.0,1.0,11.0,9.0,1.0,17.0,2.0,6.0,18.0,211.0,1.0,1.0,0.0,141.0,9.0,1.0,1.0,1.0,2.0,70.0,89.0,6.0,109.0,2.0,2.0,9.0,9.0,5.0,2.0,97.0,1.0,6.0,156.0,707.0,7.0,2.0,27.0,10.0,456.0,16.0,3.0,7.0,1.0,1.0,1.0,4.0,2.0,18.0,514.0,37.0,1.0,97299,3.0,267.0,9.0,286.0,6.0,1.0,2.0,2.0,5.0,36.0,2.0,1.0,5.0,2.0,8.0,4.0,5.0,35.0,477.0,12.0,4.0,15.0,1.0,44.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,51.8,18.0,6.0,3.0,5.0,3.0,32.0,3.0,1.0,535.0,10.0,12.0,10.0,3.0,21.0,1.0,260.0,5.0,6.0,5.0,110.0,19.0,1.0,1.0,7.0,16.0,10.0,1.0,23.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2444486,2024-08-24 15:00:00,"Etihad Stadium, Manchester",53147,Home,Manchester City,Ipswich Town,4,1,W,3,1,0,0,,3.0,34.0,2.0,,2.0,22.0,8.0,5.0,7.0,9.0,,4.0,,139.0,1.0,5.0,11.0,4.0,5.0,11.0,2.0,5.0,226.0,105.0,45.0,14.0,1.0,7.0,1.0,1.0,2.0,2.0,17.0,6.0,,8.0,4.0,15.0,22.0,505.0,,2.0,0.0,340.0,4.0,,,1.0,,108.0,166.0,5.0,144.0,1.0,2.0,13.0,21.0,5.0,1.0,105.0,4.0,,246.0,926.0,8.0,2.0,49.0,6.0,679.0,10.0,,4.0,2.0,1.0,2.0,,6.0,20.0,734.0,72.0,2.0,97299,7.0,200.0,7.0,207.0,1.0,,2.0,8.0,1.0,29.0,2.0,3.0,1.0,3.0,16.0,1.0,1.0,27.0,700.0,15.0,2.0,2.0,2.0,44.0,0.0,1.0,,2.0,2.0,0.0,4.0,1.0,1.0,75.2,20.0,8.0,1.0,1.0,3.0,41.0,10.0,,755.0,6.0,10.0,13.0,6.0,43.0,3.0,565.0,4.0,14.0,5.0,297.0,14.0,3.0,1.0,4.0,14.0,9.0,5.0,18.0,1.0,8.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2444499,2024-08-31 17:30:00,"London Stadium, London",62469,Away,Manchester City,West Ham United,3,1,W,2,1,0,0,2.0,2.0,46.0,1.0,1.0,4.0,34.0,18.0,3.0,7.0,19.0,2.0,3.0,2.0,159.0,,8.0,12.0,3.0,1.0,20.0,1.0,8.0,219.0,89.0,44.0,23.0,1.0,9.0,4.0,1.0,3.0,1.0,22.0,12.0,1.0,18.0,6.0,11.0,36.0,423.0,,1.0,0.0,258.0,3.0,1.0,1.0,,3.0,95.0,113.0,12.0,149.0,3.0,3.0,16.0,20.0,4.0,1.0,89.0,5.0,8.0,199.0,896.0,13.0,2.0,58.0,7.0,650.0,15.0,3.0,10.0,3.0,1.0,2.0,3.0,8.0,11.0,705.0,73.0,3.0,223094,14.0,255.0,15.0,271.0,2.0,,3.0,11.0,6.0,32.0,4.0,1.0,2.0,3.0,7.0,3.0,6.0,47.0,670.0,10.0,10.0,11.0,7.0,45.0,0.0,3.0,1.0,2.0,,0.0,4.0,3.0,,67.6,11.0,6.0,1.0,2.0,5.0,36.0,11.0,,726.0,7.0,8.0,23.0,10.0,40.0,8.0,477.0,10.0,9.0,7.0,225.0,22.0,3.0,2.0,10.0,15.0,15.0,4.0,15.0,2.0,11.0,11.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,2.0,1.0,1.0,,,1.0,1.0,3.0,,4.0,2.0,,,,,1.0,6.0,5.0,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,35.21,1.0,108978.23,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2444506,2024-09-14 15:00:00,"Etihad Stadium, Manchester",52148,Home,Manchester City,Brentford,2,1,W,2,1,0,0,3.0,1.0,41.0,1.0,,3.0,25.0,12.0,8.0,11.0,10.0,5.0,1.0,2.0,134.0,1.0,1.0,3.0,2.0,2.0,16.0,1.0,7.0,151.0,110.0,24.0,18.0,2.0,11.0,3.0,2.0,1.0,1.0,15.0,5.0,2.0,12.0,5.0,12.0,26.0,341.0,,,0.0,282.0,9.0,1.0,,,1.0,71.0,70.0,10.0,113.0,,2.0,11.0,19.0,8.0,4.0,110.0,2.0,6.0,146.0,694.0,13.0,1.0,51.0,5.0,470.0,16.0,2.0,2.0,1.0,2.0,3.0,1.0,6.0,19.0,526.0,52.0,1.0,510281,8.0,145.0,9.0,156.0,3.0,1.0,1.0,7.0,3.0,42.0,1.0,1.0,2.0,2.0,16.0,2.0,2.0,36.0,485.0,3.0,3.0,9.0,6.0,36.0,0.0,3.0,4.0,2.0,,0.0,,1.0,,53.8,19.0,8.0,1.0,2.0,5.0,25.0,12.0,,544.0,5.0,12.0,20.0,6.0,35.0,1.0,403.0,6.0,12.0,6.0,243.0,14.0,2.0,2.0,2.0,12.0,12.0,5.0,11.0,2.0,7.0,12.0,,,,,,1.0,1.0,,3.0,,,,2.0,,,1.0,1.0,,2.0,,1.0,,,,1.0,1.0,1.0,,2.0,,1.0,,2.0,1.0,1.0,33.92,,109416.29,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2444516,2024-09-22 16:30:00,"Etihad Stadium, Manchester",52846,Home,Manchester City,Arsenal,2,2,D,1,2,0,1,4.0,2.0,40.0,,,4.0,21.0,9.0,18.0,14.0,15.0,1.0,2.0,2.0,150.0,,6.0,10.0,2.0,3.0,27.0,,11.0,242.0,109.0,46.0,33.0,9.0,12.0,6.0,,1.0,,24.0,5.0,3.0,9.0,3.0,14.0,26.0,512.0,,,0.0,433.0,7.0,,1.0,,3.0,58.0,99.0,21.0,97.0,1.0,1.0,21.0,14.0,18.0,5.0,109.0,3.0,4.0,216.0,872.0,26.0,3.0,55.0,3.0,624.0,20.0,2.0,7.0,1.0,,3.0,,6.0,20.0,684.0,54.0,1.0,223094,7.0,138.0,11.0,156.0,2.0,,1.0,2.0,3.0,37.0,3.0,,,1.0,10.0,1.0,3.0,42.0,644.0,10.0,4.0,13.0,7.0,36.0,0.0,2.0,1.0,2.0,1.0,0.0,6.0,1.0,1.0,77.2,19.0,,2.0,,13.0,25.0,8.0,,705.0,3.0,7.0,15.0,9.0,44.0,3.0,573.0,16.0,13.0,16.0,399.0,19.0,1.0,,7.0,10.0,25.0,4.0,19.0,,2.0,8.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,9.0,,3.0,1.0,3.0,,,,,3.0,1.0,,2.0,3.0,,1.0,,1.0,4.0,,1.0,2.0,1.0,33.37,,110838.27,1.0,,4.0,,1.0,,1.0,,1.0,,,1.0,,,4.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2444527,2024-09-28 12:30:00,"St. James' Park, Newcastle",52248,Away,Manchester City,Newcastle United,1,1,D,1,0,0,0,3.0,1.0,52.0,,,4.0,18.0,20.0,4.0,6.0,12.0,3.0,,1.0,145.0,,2.0,13.0,1.0,2.0,13.0,,6.0,155.0,120.0,48.0,16.0,2.0,13.0,4.0,,1.0,,19.0,11.0,1.0,20.0,5.0,15.0,28.0,300.0,,,0.0,207.0,10.0,1.0,,,1.0,76.0,52.0,10.0,89.0,,3.0,14.0,13.0,4.0,1.0,120.0,1.0,10.0,169.0,743.0,12.0,1.0,40.0,7.0,473.0,22.0,4.0,12.0,1.0,,4.0,3.0,3.0,14.0,537.0,53.0,3.0,477424,6.0,192.0,10.0,215.0,7.0,1.0,,5.0,5.0,46.0,5.0,,7.0,1.0,15.0,1.0,4.0,37.0,490.0,14.0,8.0,15.0,,44.0,0.0,5.0,3.0,1.0,,0.0,2.0,1.0,,62.3,12.0,7.0,3.0,7.0,6.0,30.0,6.0,,558.0,7.0,8.0,14.0,4.0,36.0,3.0,362.0,8.0,15.0,6.0,173.0,16.0,,1.0,12.0,15.0,15.0,3.0,20.0,1.0,5.0,6.0,,1.0,,,,,,,,,2.0,,2.0,,1.0,,,,,,,2.0,,,1.0,2.0,1.0,1.0,,,2.0,,,1.0,,34.54,,105676.46,,,,,,,,,1.0,,,,1.0,,2.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
7,2444538,2024-10-05 15:00:00,"Etihad Stadium, Manchester",52719,Home,Manchester City,Fulham,3,2,W,1,1,0,0,2.0,,42.0,1.0,1.0,2.0,11.0,19.0,10.0,8.0,10.0,2.0,,1.0,153.0,,6.0,11.0,3.0,6.0,14.0,2.0,7.0,191.0,105.0,38.0,20.0,6.0,6.0,3.0,,2.0,1.0,16.0,7.0,1.0,19.0,6.0,12.0,18.0,395.0,,2.0,0.0,239.0,4.0,1.0,,2.0,2.0,92.0,79.0,9.0,101.0,,2.0,10.0,20.0,10.0,1.0,105.0,1.0,9.0,189.0,803.0,10.0,3.0,39.0,4.0,561.0,17.0,2.0,6.0,2.0,,2.0,4.0,5.0,10.0,618.0,56.0,1.0,477424,6.0,186.0,6.0,193.0,1.0,3.0,,7.0,1.0,37.0,3.0,,3.0,2.0,11.0,2.0,1.0,16.0,575.0,10.0,5.0,7.0,3.0,38.0,0.0,3.0,1.0,1.0,,0.0,4.0,1.0,,58.1,8.0,4.0,2.0,3.0,8.0,32.0,8.0,,634.0,4.0,10.0,10.0,5.0,28.0,4.0,457.0,8.0,12.0,7.0,194.0,18.0,,1.0,6.0,10.0,15.0,4.0,24.0,1.0,7.0,8.0,,,,1.0,1.0,,,,3.0,1.0,2.0,1.0,2.0,,1.0,,1.0,,2.0,1.0,1.0,,,,2.0,4.0,2.0,,2.0,,,,,,1.0,32.98,,106397.27,,,,,,,,,2.0,1.0,,,1.0,,1.0,,2.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2444549,2024-10-20 14:00:00,"Molineux Stadium, Wolverhampton",31319,Away,Manchester City,Wolverhampton Wanderers,2,1,W,1,1,0,0,1.0,,46.0,,,4.0,12.0,5.0,10.0,8.0,12.0,1.0,,4.0,188.0,,7.0,10.0,2.0,5.0,19.0,,7.0,221.0,146.0,45.0,22.0,4.0,14.0,2.0,1.0,1.0,1.0,40.0,10.0,3.0,5.0,14.0,14.0,14.0,547.0,,1.0,0.0,463.0,5.0,,,,3.0,142.0,70.0,12.0,93.0,,1.0,27.0,29.0,10.0,2.0,146.0,,2.0,229.0,919.0,13.0,1.0,85.0,3.0,639.0,12.0,2.0,4.0,2.0,1.0,1.0,,7.0,20.0,713.0,65.0,1.0,97299,7.0,117.0,17.0,129.0,1.0,1.0,1.0,6.0,3.0,48.0,1.0,1.0,3.0,1.0,10.0,1.0,3.0,17.0,657.0,8.0,4.0,7.0,6.0,30.0,0.0,1.0,1.0,1.0,,0.0,3.0,1.0,,77.6,19.0,6.0,3.0,3.0,8.0,22.0,18.0,,731.0,3.0,14.0,9.0,7.0,58.0,5.0,642.0,11.0,13.0,13.0,411.0,25.0,,,4.0,14.0,13.0,3.0,22.0,,6.0,18.0,,,1.0,2.0,1.0,,,,3.0,1.0,1.0,2.0,9.0,1.0,,,,,4.0,1.0,1.0,1.0,,,1.0,3.0,2.0,,5.0,1.0,1.0,1.0,,2.0,,,,,,,2.0,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,1.0,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,2444558,2024-10-26 15:00:00,"Etihad Stadium, Manchester",52844,Home,Manchester City,Southampton,1,0,W,1,0,0,0,2.0,1.0,34.0,,,4.0,12.0,14.0,9.0,10.0,13.0,2.0,1.0,3.0,148.0,,10.0,9.0,1.0,4.0,19.0,2.0,8.0,198.0,83.0,36.0,22.0,3.0,8.0,3.0,,1.0,2.0,29.0,7.0,4.0,14.0,11.0,5.0,24.0,458.0,1.0,,0.0,360.0,9.0,,,,,120.0,81.0,13.0,101.0,2.0,4.0,18.0,13.0,9.0,2.0,83.0,4.0,5.0,169.0,773.0,15.0,1.0,54.0,10.0,558.0,8.0,,9.0,1.0,,1.0,1.0,6.0,12.0,602.0,57.0,1.0,97299,7.0,123.0,13.0,127.0,6.0,,2.0,5.0,3.0,37.0,2.0,1.0,2.0,1.0,3.0,,3.0,22.0,571.0,9.0,6.0,5.0,4.0,28.0,0.0,1.0,2.0,1.0,1.0,0.0,7.0,1.0,1.0,56.9,12.0,4.0,1.0,2.0,7.0,17.0,12.0,,616.0,10.0,12.0,12.0,7.0,47.0,5.0,518.0,8.0,5.0,6.0,326.0,20.0,1.0,,9.0,12.0,16.0,2.0,11.0,,5.0,12.0,,,,,2.0,,,,,2.0,2.0,,3.0,,2.0,,3.0,,3.0,2.0,1.0,1.0,,,,4.0,2.0,1.0,3.0,,5.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2444560,2024-11-02 15:00:00,"Vitality Stadium, Bournemouth",11231,Away,Manchester City,Bournemouth,1,2,L,0,1,0,0,1.0,,38.0,,1.0,2.0,23.0,8.0,5.0,10.0,13.0,4.0,,1.0,139.0,,6.0,6.0,1.0,2.0,13.0,3.0,4.0,178.0,114.0,46.0,18.0,2.0,13.0,3.0,1.0,,3.0,27.0,7.0,,8.0,8.0,6.0,35.0,309.0,,,0.0,235.0,6.0,1.0,,,3.0,106.0,41.0,7.0,98.0,1.0,4.0,19.0,14.0,5.0,3.0,114.0,1.0,9.0,185.0,781.0,12.0,2.0,47.0,5.0,518.0,17.0,1.0,4.0,1.0,1.0,1.0,2.0,6.0,17.0,577.0,51.0,,91651,7.0,238.0,14.0,248.0,3.0,,2.0,7.0,7.0,45.0,1.0,,8.0,,16.0,3.0,7.0,37.0,541.0,11.0,11.0,7.0,6.0,46.0,0.0,3.0,3.0,1.0,,0.0,6.0,1.0,,64.5,15.0,3.0,2.0,8.0,4.0,31.0,10.0,1.0,600.0,5.0,10.0,23.0,10.0,39.0,6.0,379.0,4.0,6.0,15.0,196.0,10.0,,1.0,4.0,14.0,11.0,2.0,12.0,1.0,7.0,10.0,,,1.0,,,1.0,1.0,,,,2.0,,3.0,,1.0,1.0,3.0,,,,,,,,2.0,4.0,2.0,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,2.0,,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
