gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,attGoalLowCentre,goals,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attOneOnOne,cleanSheet,freekickCross,contentiousDecision,accurateLaunches,goalAssist,totalKeeperSweeper,accurateFreekickCross,attRfGoal,defenderGoals,goalsOpenplay,attMissHigh,overrun,attIboxGoal,goalAssistIntentional,forwardGoals,shotFastbreak,attGoalHighRight,attOboxGoal,totalFastbreak,attSvHighLeft,midfielderGoals,interceptionsInBox,attHdTarget,sixYardBlock,attFastbreak,attGoalHighLeft,shieldBallOop,attHdGoal,handBall,accuratePullBack,attCmissHigh,attSvHighCentre,attObxdLeft,punches,attFreekickMiss,goalAssistSetplay,ptsGainedLosingPos,accurateFlickOn,goalsConcededIbox,postScoringAtt,attIboxPost,hitWoodwork,errorLeadToShot,attPostHigh,goalFastbreak,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attLgLeft,errorLeadToGoal,attPostLeft,attMissHighLeft,attPostRight,attHdPost,attCmissHighLeft,attSvHighRight,penaltyWon,attPenGoal,goalAssistDeadball,attGoalHighCentre,attOboxPost,attPenTarget,foulThrowIn,attFreekickPost,ptsDroppedWinningPos
11,2210378,2021-11-06 12:30:00,"Old Trafford, Manchester",73086.0,Away,Manchester City,Manchester United,2,0,W,2,0,0,0,,1.0,23.0,50.0,,2.0,39.0,5.0,4.0,9.0,12.0,1.0,3.0,203.0,14.0,3.0,11.0,3.0,13.0,,5.0,242.0,119.0,42.0,,16.0,2.0,9.0,3.0,2.0,1.0,19.0,6.0,1.0,5.0,6.0,4.0,54.0,479.0,1.0,0.0,266.0,12.0,1.0,,,151.0,109.0,8.0,176.0,2.0,14.0,19.0,4.0,,4.0,1.0,119.0,1.0,3.0,211.0,977.0,10.0,2.0,32.0,6.0,744.0,15.0,4.0,2.0,1.0,5.0,10.0,812.0,92.0,1.0,97299,4.0,286.0,1.0,8.0,,304.0,11.0,1.0,19.0,5.0,43.0,1.0,1.0,,13.0,2.0,4.0,49.0,762.0,9.0,4.0,2.0,5.0,5.0,76.0,1.0,1.0,0.0,1.0,1.0,,,0.0,2.0,1.0,67.4,10.0,,9.0,1.0,,4.0,,65.0,9.0,,832.0,6.0,10.0,32.0,7.0,24.0,2.0,4.0,547.0,6.0,4.0,10.0,230.0,26.0,2.0,4.0,12.0,11.0,,19.0,2.0,11.0,9.0,,,1.0,1.0,,2.0,4.0,,1.0,,1.0,2.0,,,1.0,,,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,2.0,2.0,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
12,2210385,2021-11-21 14:00:00,"Etihad Stadium, Manchester",52571.0,Home,Manchester City,Everton,3,0,W,1,0,0,0,,4.0,19.0,53.0,1.0,3.0,26.0,7.0,5.0,9.0,12.0,1.0,,193.0,9.0,3.0,8.0,2.0,12.0,,7.0,276.0,118.0,45.0,1.0,17.0,1.0,5.0,2.0,3.0,1.0,25.0,7.0,2.0,7.0,5.0,9.0,38.0,533.0,,0.0,261.0,5.0,,,2.0,126.0,140.0,6.0,134.0,1.0,20.0,18.0,5.0,1.0,4.0,1.0,118.0,4.0,3.0,258.0,1035.0,10.0,1.0,35.0,8.0,797.0,15.0,2.0,1.0,3.0,5.0,13.0,851.0,93.0,4.0,97299,7.0,277.0,3.0,15.0,,287.0,5.0,1.0,18.0,,38.0,5.0,,7.0,22.0,1.0,,37.0,807.0,7.0,10.0,,3.0,,76.0,1.0,1.0,0.0,1.0,,,,0.0,3.0,3.0,77.3,13.0,2.0,5.0,1.0,7.0,4.0,,68.0,7.0,2.0,861.0,8.0,11.0,23.0,6.0,48.0,,4.0,599.0,5.0,9.0,15.0,226.0,26.0,1.0,2.0,15.0,16.0,3.0,15.0,1.0,8.0,7.0,2.0,,,,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,,3.0,1.0,2.0,2.0,1.0,1.0,,1.0,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,
13,2210399,2021-11-28 14:00:00,"Etihad Stadium, Manchester",53245.0,Home,Manchester City,West Ham United,2,1,W,1,0,0,0,1.0,2.0,18.0,65.0,2.0,3.0,32.0,11.0,6.0,4.0,13.0,2.0,5.0,192.0,8.0,3.0,6.0,,15.0,1.0,9.0,211.0,121.0,38.0,,19.0,1.0,13.0,6.0,3.0,2.0,19.0,8.0,1.0,11.0,6.0,7.0,41.0,379.0,,0.0,205.0,7.0,2.0,1.0,2.0,108.0,116.0,11.0,135.0,1.0,13.0,11.0,6.0,,5.0,4.0,121.0,2.0,1.0,190.0,895.0,12.0,,28.0,5.0,644.0,26.0,6.0,2.0,1.0,4.0,12.0,712.0,76.0,1.0,97299,6.0,282.0,3.0,8.0,,302.0,7.0,1.0,11.0,2.0,47.0,1.0,4.0,7.0,14.0,4.0,2.0,46.0,658.0,6.0,11.0,2.0,7.0,3.0,59.0,2.0,2.0,0.0,4.0,,1.0,,0.0,1.0,2.0,68.5,12.0,,8.0,2.0,7.0,4.0,,44.0,8.0,2.0,728.0,5.0,7.0,27.0,6.0,35.0,2.0,,445.0,13.0,7.0,11.0,174.0,24.0,2.0,6.0,15.0,16.0,1.0,15.0,2.0,6.0,8.0,1.0,2.0,,,,2.0,1.0,,1.0,1.0,,,,4.0,1.0,,,2.0,,2.0,1.0,1.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,2.0,2.0,2.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
14,2210401,2021-12-01 20:15:00,"Villa Park, Birmingham",41400.0,Away,Manchester City,Aston Villa,2,1,W,2,0,0,0,,1.0,29.0,55.0,,2.0,37.0,13.0,7.0,5.0,10.0,2.0,4.0,167.0,14.0,3.0,11.0,1.0,12.0,,7.0,163.0,114.0,41.0,1.0,17.0,3.0,14.0,2.0,1.0,2.0,18.0,9.0,3.0,13.0,7.0,4.0,39.0,323.0,1.0,0.0,204.0,12.0,,,,119.0,104.0,8.0,115.0,,12.0,15.0,7.0,1.0,2.0,,114.0,1.0,8.0,166.0,769.0,7.0,2.0,42.0,9.0,528.0,25.0,4.0,0.0,3.0,4.0,16.0,592.0,53.0,,514356,4.0,227.0,,10.0,,250.0,6.0,1.0,15.0,4.0,55.0,1.0,,,8.0,1.0,4.0,50.0,547.0,8.0,5.0,3.0,9.0,5.0,60.0,2.0,,0.0,4.0,2.0,1.0,,0.0,1.0,2.0,64.0,16.0,2.0,9.0,3.0,,5.0,,48.0,10.0,,611.0,9.0,14.0,30.0,5.0,31.0,3.0,5.0,379.0,10.0,4.0,11.0,176.0,20.0,1.0,4.0,11.0,11.0,1.0,22.0,1.0,4.0,11.0,1.0,,1.0,2.0,,2.0,2.0,1.0,2.0,,,,,1.0,2.0,1.0,,,1.0,2.0,1.0,2.0,1.0,2.0,,1.0,,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,
15,2210418,2021-12-04 17:30:00,"Vicarage Road, Watford",20673.0,Away,Manchester City,Watford,3,1,W,2,0,0,0,,2.0,20.0,64.0,2.0,5.0,39.0,7.0,4.0,8.0,22.0,3.0,6.0,239.0,8.0,5.0,8.0,1.0,22.0,,13.0,226.0,121.0,46.0,,26.0,,11.0,9.0,7.0,2.0,21.0,8.0,1.0,7.0,10.0,6.0,39.0,435.0,,0.0,239.0,7.0,3.0,3.0,1.0,118.0,136.0,14.0,149.0,1.0,11.0,8.0,4.0,,2.0,3.0,121.0,5.0,6.0,216.0,1013.0,17.0,3.0,71.0,13.0,743.0,27.0,5.0,0.0,1.0,8.0,11.0,811.0,102.0,,97299,14.0,332.0,4.0,8.0,,348.0,5.0,1.0,8.0,6.0,37.0,,1.0,6.0,21.0,5.0,6.0,59.0,762.0,11.0,4.0,3.0,11.0,6.0,93.0,,1.0,0.0,5.0,1.0,1.0,,0.0,1.0,3.0,77.1,11.0,,7.0,2.0,6.0,5.0,,76.0,11.0,1.0,830.0,13.0,3.0,23.0,8.0,36.0,4.0,5.0,503.0,15.0,5.0,12.0,199.0,24.0,1.0,5.0,15.0,20.0,3.0,20.0,1.0,5.0,11.0,1.0,,,1.0,1.0,3.0,4.0,,2.0,,,1.0,,3.0,2.0,,,1.0,,3.0,5.0,,3.0,1.0,1.0,2.0,,,2.0,,2.0,1.0,2.0,,2.0,2.0,,1.0,,,2.0,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
16,2210429,2021-12-11 12:30:00,"Etihad Stadium, Manchester",52613.0,Home,Manchester City,Wolverhampton Wanderers,1,0,W,0,0,0,1,,2.0,17.0,67.0,,3.0,33.0,1.0,8.0,7.0,16.0,1.0,4.0,212.0,7.0,8.0,9.0,2.0,19.0,,10.0,204.0,122.0,34.0,,24.0,3.0,10.0,7.0,6.0,3.0,33.0,8.0,2.0,1.0,8.0,2.0,37.0,495.0,1.0,0.0,315.0,12.0,,2.0,,120.0,162.0,12.0,132.0,1.0,25.0,25.0,8.0,,7.0,3.0,122.0,2.0,2.0,198.0,917.0,17.0,,50.0,12.0,668.0,16.0,1.0,3.0,,7.0,19.0,735.0,95.0,1.0,97299,8.0,192.0,2.0,17.0,,202.0,7.0,4.0,25.0,1.0,45.0,1.0,1.0,5.0,12.0,,1.0,38.0,679.0,4.0,11.0,2.0,3.0,3.0,57.0,1.0,1.0,0.0,1.0,1.0,,1.0,0.0,6.0,4.0,71.0,19.0,1.0,10.0,1.0,5.0,6.0,,55.0,14.0,,746.0,12.0,5.0,26.0,8.0,60.0,2.0,5.0,577.0,13.0,2.0,10.0,265.0,36.0,,1.0,11.0,20.0,2.0,18.0,,9.0,14.0,1.0,,,,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,3.0,1.0,,1.0,,,,,,,1.0,3.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,1.0,,,,,,,
17,2210440,2021-12-14 20:00:00,"Etihad Stadium, Manchester",52401.0,Home,Manchester City,Leeds United,7,0,W,3,0,0,0,,2.0,18.0,55.0,2.0,4.0,16.0,12.0,14.0,14.0,17.0,3.0,5.0,155.0,8.0,6.0,17.0,4.0,24.0,2.0,15.0,168.0,90.0,46.0,2.0,31.0,3.0,4.0,4.0,3.0,1.0,17.0,5.0,4.0,12.0,5.0,5.0,23.0,299.0,,0.0,189.0,5.0,,2.0,,71.0,39.0,16.0,108.0,3.0,12.0,21.0,14.0,2.0,4.0,5.0,90.0,3.0,2.0,177.0,792.0,19.0,1.0,43.0,9.0,547.0,18.0,4.0,1.0,1.0,8.0,8.0,597.0,53.0,2.0,97299,9.0,264.0,3.0,6.0,4.0,276.0,1.0,1.0,21.0,4.0,31.0,8.0,1.0,6.0,9.0,4.0,4.0,24.0,557.0,9.0,8.0,,5.0,2.0,52.0,1.0,1.0,0.0,2.0,1.0,,,0.0,4.0,3.0,64.2,8.0,,10.0,2.0,6.0,7.0,,47.0,6.0,,608.0,9.0,1.0,15.0,9.0,32.0,2.0,4.0,349.0,14.0,5.0,8.0,154.0,21.0,,4.0,12.0,23.0,3.0,31.0,,12.0,6.0,1.0,4.0,,4.0,1.0,7.0,1.0,1.0,3.0,,1.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,3.0,1.0,1.0,,2.0,1.0,,4.0,1.0,1.0,,1.0,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,2.0,,,,,,2.0,,,1.0,,,,1.0,2.0,,,,,
18,2210445,2021-12-19 14:00:00,"St. James' Park, Newcastle",52127.0,Away,Manchester City,Newcastle United,4,0,W,2,0,0,0,,,18.0,47.0,,3.0,26.0,9.0,2.0,7.0,16.0,1.0,2.0,174.0,12.0,5.0,11.0,1.0,17.0,1.0,7.0,200.0,97.0,48.0,,18.0,,12.0,3.0,1.0,4.0,12.0,10.0,,9.0,5.0,3.0,43.0,319.0,,0.0,152.0,6.0,1.0,,,95.0,64.0,10.0,120.0,2.0,7.0,10.0,2.0,,4.0,1.0,97.0,5.0,2.0,215.0,861.0,10.0,,35.0,5.0,625.0,20.0,6.0,2.0,,7.0,15.0,686.0,62.0,1.0,97299,8.0,332.0,2.0,3.0,1.0,354.0,4.0,1.0,10.0,7.0,40.0,3.0,2.0,4.0,12.0,3.0,7.0,49.0,646.0,8.0,9.0,3.0,9.0,6.0,63.0,,1.0,0.0,3.0,1.0,,,0.0,3.0,6.0,71.9,15.0,3.0,1.0,3.0,4.0,3.0,,44.0,6.0,2.0,709.0,5.0,6.0,27.0,8.0,21.0,2.0,7.0,367.0,5.0,3.0,8.0,130.0,21.0,1.0,6.0,21.0,11.0,3.0,18.0,1.0,3.0,6.0,3.0,,1.0,2.0,2.0,4.0,,1.0,3.0,,1.0,,1.0,,4.0,1.0,,1.0,2.0,3.0,1.0,,3.0,3.0,,1.0,,1.0,1.0,,2.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
19,2210455,2021-12-26 15:00:00,"Etihad Stadium, Manchester",53226.0,Home,Manchester City,Leicester City,6,3,W,4,0,0,0,,,20.0,28.0,2.0,3.0,17.0,9.0,5.0,8.0,12.0,5.0,2.0,163.0,12.0,6.0,16.0,6.0,9.0,1.0,9.0,230.0,93.0,34.0,1.0,17.0,2.0,3.0,2.0,,,24.0,3.0,1.0,9.0,12.0,7.0,33.0,417.0,,0.0,174.0,11.0,3.0,1.0,,89.0,135.0,8.0,116.0,2.0,12.0,9.0,5.0,1.0,7.0,2.0,93.0,2.0,10.0,227.0,894.0,3.0,1.0,44.0,3.0,677.0,8.0,3.0,1.0,1.0,1.0,18.0,720.0,49.0,1.0,61366,10.0,282.0,1.0,5.0,2.0,289.0,6.0,1.0,9.0,3.0,41.0,1.0,2.0,5.0,13.0,4.0,3.0,26.0,693.0,9.0,12.0,3.0,4.0,6.0,64.0,1.0,,0.0,4.0,3.0,3.0,,0.0,3.0,2.0,71.8,18.0,,6.0,,5.0,5.0,,60.0,14.0,,736.0,3.0,8.0,25.0,3.0,42.0,3.0,1.0,471.0,6.0,7.0,2.0,148.0,9.0,2.0,3.0,7.0,6.0,1.0,23.0,2.0,4.0,14.0,4.0,1.0,,3.0,1.0,6.0,1.0,,1.0,,,,1.0,,3.0,,,2.0,1.0,2.0,,2.0,6.0,2.0,3.0,,3.0,,,,2.0,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,2.0,,1.0,3.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,2.0,2.0,1.0,,,,,,
20,2210462,2021-12-29 20:15:00,"Gtech Community Stadium, Brentford",17009.0,Away,Manchester City,Brentford,1,0,W,1,0,0,0,,2.0,19.0,48.0,,2.0,26.0,10.0,5.0,4.0,7.0,3.0,,198.0,7.0,3.0,7.0,4.0,8.0,,3.0,190.0,130.0,48.0,,12.0,2.0,15.0,1.0,,2.0,21.0,4.0,1.0,10.0,5.0,,37.0,456.0,1.0,0.0,269.0,10.0,3.0,,1.0,177.0,111.0,5.0,136.0,,16.0,11.0,5.0,,6.0,1.0,130.0,1.0,3.0,192.0,872.0,6.0,4.0,24.0,8.0,623.0,10.0,6.0,0.0,2.0,3.0,26.0,701.0,73.0,,61366,3.0,181.0,,8.0,,204.0,6.0,,11.0,5.0,44.0,,3.0,3.0,7.0,3.0,2.0,45.0,634.0,12.0,2.0,1.0,10.0,1.0,62.0,,2.0,0.0,3.0,2.0,,,0.0,3.0,1.0,76.3,24.0,1.0,6.0,1.0,3.0,4.0,,40.0,5.0,1.0,716.0,8.0,12.0,23.0,5.0,33.0,,3.0,533.0,7.0,,18.0,234.0,29.0,1.0,6.0,11.0,11.0,,12.0,1.0,5.0,5.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,2.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,
21,2210471,2022-01-01 12:30:00,"Emirates Stadium, London",59757.0,Away,Manchester City,Arsenal,2,1,W,0,1,0,1,,,19.0,52.0,,4.0,32.0,23.0,7.0,6.0,8.0,1.0,,164.0,9.0,3.0,10.0,3.0,11.0,,2.0,204.0,117.0,52.0,,15.0,3.0,5.0,,,2.0,9.0,7.0,,23.0,1.0,8.0,48.0,320.0,2.0,0.0,188.0,5.0,1.0,,1.0,75.0,85.0,5.0,110.0,,8.0,7.0,7.0,,2.0,4.0,117.0,1.0,5.0,166.0,809.0,10.0,3.0,36.0,2.0,549.0,26.0,11.0,2.0,1.0,6.0,12.0,620.0,64.0,,61366,6.0,255.0,1.0,5.0,1.0,284.0,1.0,1.0,7.0,6.0,34.0,2.0,2.0,6.0,18.0,2.0,6.0,51.0,572.0,12.0,9.0,1.0,11.0,3.0,52.0,,2.0,0.0,5.0,1.0,1.0,1.0,0.0,3.0,2.0,71.2,10.0,2.0,1.0,,6.0,7.0,,35.0,5.0,1.0,644.0,2.0,8.0,32.0,6.0,21.0,,2.0,369.0,7.0,8.0,16.0,157.0,17.0,,11.0,14.0,10.0,1.0,18.0,,1.0,5.0,2.0,,1.0,2.0,1.0,2.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,2.0,,,,,,,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,3.0,1.0,1.0,,,,1.0,,,,,,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,
22,2210485,2022-01-15 12:30:00,"Etihad Stadium, Manchester",53319.0,Home,Manchester City,Chelsea,1,0,W,0,0,0,0,,2.0,24.0,60.0,1.0,1.0,34.0,8.0,2.0,4.0,8.0,1.0,2.0,136.0,7.0,3.0,16.0,4.0,9.0,,6.0,183.0,136.0,46.0,1.0,11.0,1.0,6.0,4.0,,1.0,17.0,5.0,1.0,8.0,7.0,4.0,28.0,248.0,,0.0,152.0,11.0,1.0,,,87.0,79.0,6.0,84.0,,10.0,17.0,3.0,1.0,2.0,,136.0,1.0,2.0,176.0,741.0,8.0,,29.0,3.0,488.0,17.0,4.0,0.0,1.0,3.0,20.0,567.0,43.0,,97299,3.0,253.0,1.0,6.0,,277.0,7.0,1.0,17.0,2.0,46.0,1.0,3.0,6.0,16.0,2.0,2.0,51.0,498.0,6.0,7.0,,9.0,1.0,56.0,1.0,1.0,0.0,1.0,,,,0.0,3.0,1.0,55.7,20.0,,9.0,1.0,6.0,2.0,,44.0,9.0,,579.0,3.0,13.0,13.0,3.0,32.0,,3.0,319.0,6.0,4.0,16.0,115.0,28.0,2.0,4.0,8.0,9.0,2.0,25.0,2.0,8.0,9.0,,,1.0,,,1.0,2.0,1.0,1.0,,1.0,2.0,,2.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
23,2210499,2022-01-22 17:30:00,"St. Mary's Stadium, Southampton",31178.0,Away,Manchester City,Southampton,1,1,D,0,1,0,0,,1.0,27.0,63.0,1.0,3.0,31.0,4.0,9.0,5.0,11.0,2.0,3.0,215.0,17.0,8.0,15.0,5.0,15.0,1.0,5.0,198.0,150.0,62.0,,20.0,4.0,11.0,3.0,2.0,1.0,45.0,10.0,1.0,4.0,3.0,2.0,45.0,457.0,,0.0,318.0,5.0,,,,150.0,123.0,9.0,157.0,2.0,42.0,25.0,9.0,,13.0,2.0,150.0,3.0,6.0,207.0,979.0,13.0,2.0,47.0,8.0,676.0,16.0,2.0,0.0,1.0,6.0,15.0,753.0,97.0,1.0,97299,6.0,251.0,2.0,26.0,1.0,263.0,1.0,3.0,25.0,2.0,43.0,2.0,,2.0,16.0,1.0,2.0,44.0,700.0,13.0,8.0,1.0,7.0,6.0,72.0,2.0,,0.0,2.0,1.0,1.0,,0.0,7.0,3.0,74.2,15.0,1.0,6.0,1.0,2.0,7.0,,58.0,11.0,,777.0,8.0,8.0,34.0,8.0,61.0,1.0,3.0,559.0,12.0,2.0,13.0,265.0,39.0,1.0,2.0,21.0,13.0,1.0,27.0,1.0,10.0,11.0,1.0,1.0,,,,1.0,1.0,,,,,3.0,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,3.0,1.0,3.0,,1.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,1.0,,2.0,,,,
24,2210508,2022-02-09 19:45:00,"Etihad Stadium, Manchester",51658.0,Home,Manchester City,Brentford,2,0,W,1,0,0,0,,1.0,22.0,45.0,,1.0,29.0,7.0,4.0,3.0,11.0,2.0,4.0,170.0,10.0,4.0,9.0,6.0,10.0,2.0,7.0,215.0,133.0,47.0,,15.0,1.0,8.0,3.0,1.0,,24.0,5.0,2.0,7.0,7.0,3.0,45.0,456.0,,0.0,248.0,7.0,1.0,2.0,,118.0,113.0,5.0,112.0,3.0,19.0,17.0,4.0,,7.0,1.0,133.0,1.0,4.0,212.0,877.0,9.0,,31.0,8.0,605.0,19.0,5.0,0.0,2.0,5.0,23.0,681.0,91.0,1.0,97299,7.0,175.0,2.0,10.0,1.0,196.0,2.0,,17.0,2.0,30.0,1.0,2.0,2.0,12.0,2.0,,58.0,627.0,12.0,3.0,1.0,16.0,3.0,49.0,1.0,,0.0,3.0,2.0,,,0.0,4.0,2.0,75.6,21.0,2.0,5.0,3.0,3.0,2.0,,28.0,9.0,,709.0,8.0,3.0,26.0,6.0,43.0,2.0,5.0,537.0,10.0,2.0,19.0,207.0,17.0,,5.0,7.0,10.0,2.0,19.0,,8.0,9.0,1.0,,1.0,1.0,,2.0,1.0,,,,1.0,2.0,,,,,,1.0,,1.0,3.0,1.0,2.0,,1.0,,,,,1.0,1.0,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
25,2210518,2022-02-12 17:30:00,"Carrow Road, Norwich",27010.0,Away,Manchester City,Norwich City,4,0,W,1,0,0,0,,2.0,14.0,61.0,,2.0,41.0,9.0,4.0,8.0,18.0,3.0,2.0,182.0,8.0,4.0,16.0,4.0,18.0,1.0,9.0,201.0,117.0,39.0,,22.0,3.0,13.0,5.0,1.0,1.0,26.0,3.0,,9.0,6.0,3.0,44.0,374.0,,0.0,256.0,8.0,1.0,2.0,,113.0,110.0,11.0,122.0,2.0,21.0,17.0,4.0,,6.0,1.0,117.0,4.0,7.0,202.0,865.0,15.0,1.0,54.0,11.0,623.0,25.0,5.0,2.0,1.0,7.0,11.0,690.0,84.0,,97299,5.0,270.0,4.0,12.0,2.0,286.0,3.0,2.0,17.0,4.0,37.0,,2.0,6.0,15.0,1.0,4.0,57.0,640.0,6.0,6.0,1.0,11.0,7.0,57.0,2.0,,0.0,4.0,3.0,,,0.0,3.0,5.0,71.5,11.0,3.0,8.0,1.0,6.0,5.0,,43.0,12.0,,707.0,11.0,8.0,29.0,8.0,48.0,2.0,5.0,447.0,9.0,2.0,12.0,219.0,22.0,,5.0,5.0,12.0,3.0,19.0,,6.0,12.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,,1.0,3.0,,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,,4.0,1.0,4.0,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,,2.0,2.0,2.0,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,,
26,2210527,2022-02-19 17:30:00,"Etihad Stadium, Manchester",53201.0,Home,Manchester City,Tottenham Hotspur,2,3,L,1,1,0,0,,,17.0,56.0,1.0,5.0,19.0,2.0,5.0,7.0,16.0,2.0,2.0,157.0,9.0,9.0,12.0,3.0,12.0,2.0,4.0,264.0,133.0,44.0,,21.0,1.0,9.0,,,6.0,42.0,10.0,2.0,2.0,5.0,3.0,34.0,561.0,,0.0,375.0,5.0,1.0,,,139.0,143.0,5.0,95.0,3.0,37.0,16.0,5.0,,17.0,2.0,133.0,,4.0,239.0,936.0,12.0,3.0,62.0,9.0,668.0,14.0,1.0,0.0,,7.0,23.0,735.0,105.0,,97299,11.0,136.0,,19.0,,143.0,3.0,,16.0,3.0,29.0,,1.0,2.0,16.0,2.0,3.0,34.0,688.0,6.0,2.0,,4.0,5.0,49.0,1.0,1.0,0.0,,1.0,3.0,,0.0,7.0,2.0,71.2,22.0,2.0,7.0,1.0,2.0,6.0,,41.0,10.0,,755.0,9.0,5.0,19.0,11.0,64.0,2.0,8.0,654.0,12.0,3.0,13.0,325.0,33.0,,1.0,13.0,15.0,1.0,20.0,,4.0,10.0,2.0,,1.0,2.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,1.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,
