gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attOboxBlocked,postScoringAtt,attMissLeft,attIboxPost,totalCornersIntobox,attMissHighRight,attSvHighLeft,midfielderGoals,hitWoodwork,sixYardBlock,attSetpiece,attAssistSetplay,attCorner,attSvLowRight,attCmissLeft,attPostHigh,goalsConceded,shieldBallOop,attHdMiss,accurateCornersIntobox,attHdGoal,goalsConcededIbox,ptsDroppedWinningPos,savedObox,accuratePullBack,attMissHighLeft,totalKeeperSweeper,outfielderBlock,errorLeadToShot,attCmissHighLeft,punches,effectiveBlockedCross,blockedCross,attFreekickTotal,accurateKeeperSweeper,attGoalHighRight,attOboxGoal,freekickCross,freekickTotal,clearanceOffLine,attFreekickMiss,attPostLeft,attHdPost,attCmissHigh,attSvHighCentre,errorLeadToGoal,goalAssistSetplay,defenderGoals,attGoalHighLeft,attFreekickGoal,attPostRight,attSvHighRight,attFreekickPost,accurateFreekickCross,attOboxPost,secondYellow,ptsGainedLosingPos,goalAssistDeadball,attObxLeft,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attGoalHighCentre,attObxdRight,attPenTarget,attCmissHighRight,ownGoals,attIboxOwnGoal,attObxdLeft,attLgCentre,foulThrowIn
1,1059709,2019-08-10 12:30:00,"London Stadium, London",59870.0,Away,Manchester City,West Ham United,5,0,W,1,0,0,0,1.0,4.0,68.0,2.0,2.0,2.0,28.0,13.0,4.0,6.0,10.0,3.0,2.0,2.0,163.0,1.0,2.0,13.0,5.0,3.0,12.0,2.0,9.0,147.0,114.0,54.0,14.0,18.0,2.0,2.0,2.0,4.0,2.0,1.0,6.0,13.0,2.0,13.0,4.0,28.0,3.0,225.0,1.0,1.0,0.0,151.0,13.0,2.0,3.0,2.0,1.0,78.0,50.0,9.0,93.0,1.0,2.0,6.0,14.0,4.0,1.0,2.0,114.0,4.0,3.0,4.0,144.0,722.0,8.0,2.0,33.0,1.0,13.0,462.0,26.0,2.0,7.0,4.0,2.0,3.0,14.0,533.0,47.0,2.0,97299,6.0,250.0,1.0,5.0,277.0,8.0,3.0,1.0,14.0,5.0,57.0,10.0,4.0,7.0,4.0,9.0,1.0,4.0,1.0,1.0,44.0,473.0,6.0,8.0,11.0,43.0,2.0,0.0,3.0,1.0,3.0,5.0,1.0,0.0,2.0,4.0,1.0,57.1,12.0,4.0,1.0,7.0,2.0,34.0,1.0,1.0,547.0,13.0,13.0,17.0,3.0,26.0,1.0,276.0,6.0,4.0,17.0,113.0,31.0,4.0,7.0,18.0,13.0,3.0,18.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059717,2019-08-17 17:30:00,"Etihad Stadium, Manchester",54503.0,Home,Manchester City,Tottenham Hotspur,2,2,D,2,1,0,0,4.0,2.0,67.0,1.0,1.0,8.0,29.0,10.0,8.0,11.0,22.0,,,3.0,166.0,,8.0,9.0,2.0,1.0,22.0,1.0,10.0,190.0,113.0,43.0,30.0,10.0,5.0,,3.0,2.0,4.0,,31.0,7.0,3.0,10.0,1.0,44.0,1.0,343.0,,,0.0,218.0,14.0,,,2.0,1.0,118.0,108.0,17.0,110.0,,2.0,26.0,26.0,8.0,8.0,1.0,113.0,3.0,1.0,1.0,144.0,806.0,17.0,2.0,52.0,1.0,10.0,534.0,13.0,1.0,4.0,2.0,1.0,5.0,12.0,591.0,67.0,2.0,61366,11.0,216.0,2.0,18.0,224.0,5.0,1.0,2.0,26.0,3.0,53.0,4.0,3.0,5.0,2.0,9.0,2.0,2.0,1.0,,47.0,551.0,4.0,15.0,5.0,66.0,,0.0,,2.0,,2.0,2.0,0.0,4.0,2.0,3.0,55.4,10.0,8.0,4.0,5.0,12.0,56.0,13.0,1.0,610.0,10.0,9.0,27.0,8.0,46.0,6.0,417.0,14.0,1.0,15.0,180.0,40.0,1.0,4.0,15.0,23.0,3.0,17.0,12.0,13.0,1.0,1.0,4.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059722,2019-08-25 14:00:00,"Vitality Stadium, Bournemouth",10486.0,Away,Manchester City,Bournemouth,3,1,W,2,1,0,0,1.0,3.0,56.0,2.0,,5.0,21.0,16.0,4.0,6.0,14.0,6.0,1.0,1.0,175.0,1.0,6.0,7.0,3.0,,17.0,1.0,5.0,242.0,118.0,46.0,18.0,15.0,2.0,,,3.0,2.0,,10.0,12.0,,16.0,6.0,38.0,1.0,333.0,,,0.0,188.0,13.0,1.0,,,2.0,77.0,79.0,13.0,87.0,1.0,3.0,8.0,11.0,4.0,3.0,,118.0,4.0,1.0,8.0,224.0,905.0,14.0,3.0,37.0,,8.0,630.0,28.0,2.0,7.0,3.0,3.0,4.0,21.0,711.0,62.0,1.0,61366,12.0,320.0,2.0,5.0,339.0,10.0,2.0,4.0,11.0,3.0,42.0,4.0,4.0,10.0,3.0,17.0,2.0,3.0,,,45.0,647.0,7.0,6.0,14.0,82.0,,0.0,2.0,4.0,5.0,3.0,1.0,0.0,4.0,1.0,2.0,73.8,19.0,3.0,1.0,10.0,9.0,63.0,5.0,3.0,728.0,8.0,6.0,19.0,4.0,25.0,4.0,399.0,9.0,6.0,16.0,143.0,15.0,3.0,7.0,16.0,15.0,3.0,9.0,4.0,5.0,1.0,,4.0,,,,3.0,,,,,1.0,1.0,,2.0,,,,1.0,,2.0,3.0,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059738,2019-08-31 15:00:00,"Etihad Stadium, Manchester",54386.0,Home,Manchester City,Brighton and Hove Albion,4,0,W,2,0,0,0,1.0,2.0,60.0,,1.0,1.0,32.0,19.0,5.0,5.0,10.0,1.0,1.0,1.0,148.0,1.0,1.0,6.0,4.0,2.0,15.0,1.0,6.0,176.0,106.0,33.0,15.0,6.0,2.0,,2.0,4.0,1.0,,13.0,7.0,,19.0,4.0,33.0,1.0,299.0,1.0,,0.0,177.0,10.0,1.0,,,,97.0,64.0,7.0,100.0,,3.0,10.0,12.0,5.0,2.0,4.0,106.0,4.0,,5.0,174.0,755.0,8.0,3.0,36.0,,10.0,521.0,17.0,1.0,9.0,4.0,1.0,7.0,10.0,583.0,46.0,2.0,61366,4.0,237.0,2.0,7.0,251.0,6.0,3.0,4.0,12.0,2.0,41.0,3.0,1.0,9.0,4.0,11.0,1.0,1.0,,,51.0,535.0,6.0,8.0,12.0,52.0,,0.0,,1.0,2.0,3.0,2.0,0.0,,3.0,,53.5,9.0,7.0,1.0,9.0,1.0,38.0,8.0,,598.0,10.0,12.0,23.0,8.0,37.0,4.0,360.0,10.0,4.0,6.0,140.0,27.0,2.0,9.0,15.0,11.0,3.0,12.0,6.0,8.0,,1.0,,,2.0,,4.0,3.0,,1.0,,1.0,,2.0,3.0,1.0,1.0,,,,,2.0,,,,,1.0,,1.0,4.0,,,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059747,2019-09-14 17:30:00,"Carrow Road, Norwich",27035.0,Away,Manchester City,Norwich City,2,3,L,1,2,0,0,1.0,1.0,65.0,1.0,1.0,6.0,29.0,7.0,7.0,7.0,18.0,,,2.0,167.0,,8.0,20.0,2.0,2.0,16.0,1.0,8.0,208.0,142.0,62.0,25.0,11.0,6.0,,,2.0,3.0,,46.0,9.0,,7.0,7.0,28.0,,454.0,,,0.0,312.0,7.0,,,,,144.0,108.0,12.0,100.0,1.0,1.0,34.0,22.0,7.0,12.0,1.0,142.0,4.0,,6.0,196.0,876.0,12.0,2.0,52.0,3.0,7.0,580.0,17.0,1.0,2.0,2.0,1.0,4.0,16.0,655.0,76.0,,97299,13.0,148.0,3.0,19.0,155.0,7.0,1.0,,22.0,2.0,42.0,,,3.0,2.0,10.0,1.0,1.0,2.0,,42.0,594.0,8.0,8.0,7.0,54.0,,0.0,1.0,3.0,,1.0,,0.0,4.0,1.0,9.0,68.6,16.0,10.0,3.0,3.0,11.0,40.0,16.0,,671.0,7.0,7.0,19.0,6.0,60.0,4.0,562.0,7.0,7.0,19.0,256.0,35.0,1.0,2.0,15.0,17.0,3.0,29.0,12.0,16.0,,,5.0,1.0,2.0,1.0,13.0,,,1.0,1.0,,2.0,2.0,6.0,2.0,1.0,,3.0,1.0,4.0,4.0,1.0,3.0,,,,,,1.0,1.0,,,,,,,,1.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059758,2019-09-21 15:00:00,"Etihad Stadium, Manchester",54273.0,Home,Manchester City,Watford,8,0,W,5,0,0,0,2.0,5.0,58.0,,2.0,2.0,35.0,5.0,8.0,12.0,20.0,4.0,4.0,1.0,184.0,5.0,10.0,18.0,8.0,5.0,21.0,1.0,11.0,212.0,107.0,56.0,28.0,4.0,1.0,1.0,3.0,3.0,2.0,,23.0,12.0,2.0,5.0,7.0,25.0,1.0,385.0,1.0,1.0,0.0,195.0,5.0,1.0,1.0,1.0,,145.0,86.0,10.0,117.0,,3.0,20.0,11.0,8.0,5.0,3.0,107.0,8.0,,4.0,214.0,909.0,15.0,1.0,54.0,,6.0,644.0,24.0,1.0,5.0,4.0,2.0,11.0,20.0,715.0,47.0,1.0,61366,10.0,280.0,5.0,15.0,305.0,3.0,3.0,,11.0,1.0,28.0,1.0,2.0,6.0,4.0,4.0,1.0,,1.0,1.0,46.0,655.0,9.0,7.0,4.0,58.0,1.0,0.0,2.0,4.0,3.0,7.0,1.0,0.0,8.0,3.0,4.0,68.7,18.0,5.0,1.0,6.0,4.0,50.0,5.0,,727.0,6.0,8.0,15.0,13.0,31.0,7.0,445.0,11.0,7.0,11.0,164.0,23.0,5.0,5.0,18.0,20.0,3.0,22.0,4.0,5.0,,,2.0,3.0,3.0,3.0,3.0,,,2.0,3.0,1.0,1.0,2.0,4.0,,1.0,1.0,,,1.0,2.0,1.0,,,1.0,,3.0,,1.0,,2.0,,,,2.0,,,1.0,,2.0,,1.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,1059766,2019-09-28 17:30:00,"Goodison Park, Liverpool",39222.0,Away,Manchester City,Everton,3,1,W,1,1,0,0,2.0,1.0,65.0,2.0,,3.0,34.0,19.0,6.0,6.0,13.0,6.0,2.0,3.0,140.0,1.0,4.0,10.0,3.0,2.0,16.0,2.0,8.0,186.0,103.0,40.0,19.0,16.0,2.0,1.0,1.0,1.0,1.0,,13.0,7.0,3.0,19.0,11.0,47.0,,285.0,,,0.0,161.0,8.0,3.0,1.0,3.0,1.0,91.0,76.0,9.0,113.0,,2.0,12.0,14.0,6.0,4.0,1.0,103.0,3.0,,10.0,180.0,813.0,15.0,3.0,33.0,,8.0,551.0,23.0,2.0,13.0,1.0,2.0,7.0,16.0,606.0,46.0,2.0,61366,6.0,283.0,2.0,8.0,292.0,4.0,,,14.0,4.0,57.0,4.0,5.0,9.0,2.0,12.0,2.0,4.0,2.0,,51.0,564.0,4.0,14.0,9.0,71.0,1.0,0.0,2.0,5.0,6.0,2.0,2.0,0.0,3.0,1.0,2.0,62.8,15.0,7.0,1.0,9.0,4.0,55.0,2.0,1.0,619.0,8.0,12.0,33.0,7.0,35.0,5.0,340.0,10.0,11.0,11.0,133.0,24.0,3.0,13.0,15.0,18.0,3.0,17.0,9.0,2.0,,,1.0,1.0,2.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,2.0,2.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
8,1059776,2019-10-06 14:00:00,"Etihad Stadium, Manchester",54435.0,Home,Manchester City,Wolverhampton Wanderers,0,2,L,0,0,0,0,,,56.0,,,6.0,44.0,5.0,9.0,8.0,9.0,,,2.0,150.0,,8.0,10.0,,5.0,13.0,1.0,2.0,229.0,145.0,49.0,18.0,15.0,,,,,,,36.0,7.0,2.0,5.0,9.0,43.0,,433.0,,,0.0,287.0,11.0,,,1.0,,142.0,114.0,9.0,119.0,1.0,2.0,34.0,14.0,9.0,15.0,2.0,145.0,2.0,,4.0,216.0,917.0,13.0,1.0,42.0,,11.0,612.0,22.0,,3.0,,5.0,4.0,26.0,692.0,66.0,,59859,7.0,209.0,2.0,15.0,222.0,7.0,,1.0,14.0,2.0,54.0,,1.0,2.0,,14.0,3.0,2.0,2.0,,63.0,634.0,14.0,10.0,6.0,60.0,,0.0,3.0,1.0,,,1.0,0.0,8.0,,1.0,76.0,25.0,5.0,1.0,2.0,10.0,50.0,9.0,,714.0,11.0,9.0,22.0,6.0,57.0,3.0,528.0,9.0,9.0,11.0,232.0,27.0,,3.0,14.0,12.0,3.0,19.0,6.0,9.0,1.0,,4.0,1.0,1.0,,2.0,,,,1.0,2.0,3.0,,1.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,,,1.0,,1.0,2.0,1.0,,,,,2.0,1.0,,,4.0,2.0,,1.0,,,2.0,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
9,1059785,2019-10-19 17:30:00,"Selhurst Park, London",25480.0,Away,Manchester City,Crystal Palace,2,0,W,2,0,0,0,4.0,2.0,55.0,2.0,,2.0,38.0,13.0,4.0,8.0,17.0,2.0,1.0,3.0,166.0,,8.0,16.0,2.0,2.0,20.0,,10.0,215.0,136.0,56.0,21.0,13.0,5.0,2.0,2.0,2.0,3.0,1.0,29.0,6.0,3.0,13.0,3.0,31.0,,371.0,1.0,,0.0,218.0,10.0,2.0,3.0,2.0,1.0,114.0,89.0,13.0,107.0,1.0,2.0,22.0,20.0,4.0,5.0,,136.0,6.0,1.0,5.0,194.0,868.0,18.0,2.0,51.0,1.0,6.0,577.0,27.0,2.0,8.0,2.0,1.0,7.0,22.0,662.0,54.0,2.0,97299,9.0,232.0,5.0,17.0,264.0,6.0,,2.0,20.0,5.0,47.0,2.0,2.0,1.0,2.0,13.0,2.0,4.0,,,57.0,595.0,8.0,11.0,13.0,55.0,2.0,0.0,,1.0,2.0,2.0,,0.0,7.0,2.0,6.0,71.3,22.0,7.0,1.0,1.0,3.0,43.0,8.0,1.0,682.0,6.0,7.0,24.0,8.0,44.0,6.0,447.0,6.0,3.0,21.0,181.0,19.0,1.0,8.0,11.0,18.0,2.0,22.0,6.0,8.0,,,1.0,2.0,3.0,2.0,7.0,,,1.0,2.0,1.0,,,3.0,,1.0,,,,3.0,1.0,1.0,,,,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1059796,2019-10-26 12:30:00,"Etihad Stadium, Manchester",54506.0,Home,Manchester City,Aston Villa,3,0,W,0,0,1,0,4.0,1.0,55.0,1.0,2.0,8.0,30.0,18.0,4.0,12.0,22.0,5.0,1.0,2.0,156.0,,10.0,15.0,3.0,1.0,21.0,2.0,10.0,169.0,109.0,50.0,26.0,9.0,6.0,,1.0,,3.0,,23.0,6.0,1.0,18.0,5.0,47.0,2.0,364.0,1.0,,0.0,274.0,10.0,4.0,,1.0,1.0,114.0,80.0,16.0,89.0,3.0,5.0,15.0,16.0,4.0,7.0,2.0,109.0,2.0,1.0,8.0,183.0,794.0,16.0,2.0,74.0,1.0,9.0,509.0,21.0,3.0,7.0,1.0,1.0,5.0,16.0,580.0,65.0,,97299,15.0,170.0,4.0,7.0,183.0,7.0,2.0,3.0,16.0,4.0,39.0,2.0,1.0,5.0,1.0,11.0,3.0,3.0,,,44.0,524.0,5.0,10.0,8.0,40.0,,0.0,,7.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,63.1,15.0,6.0,3.0,5.0,8.0,28.0,13.0,1.0,597.0,9.0,7.0,32.0,8.0,42.0,5.0,437.0,11.0,5.0,17.0,225.0,21.0,1.0,7.0,13.0,18.0,3.0,18.0,8.0,13.0,,,,1.0,1.0,,8.0,1.0,,2.0,1.0,,,4.0,8.0,2.0,,1.0,,,2.0,8.0,,,,2.0,1.0,,,4.0,1.0,,2.0,3.0,3.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
