gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,attGoalHighRight,attMissHighRight,attSvHighLeft,goodHighClaim,interceptionsInBox,attOboxMiss,errorLeadToShot,sixYardBlock,attCmissHighLeft,attCmissLeft,punches,savedIbox,goalsConceded,goalAssistIntentional,totalHighClaim,effectiveBlockedCross,goalsConcededIbox,errorLeadToGoal,blockedCross,attGoalLowCentre,attOboxBlocked,shotFastbreak,attBxRight,totalFastbreak,accurateFreekickCross,attSetpiece,attFastbreak,attFreekickMiss,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,foulThrowIn,attPenTarget,penaltyWon,hitWoodwork,postScoringAtt,attIboxPost,attPostHigh,attPostLeft,attSvHighRight,attHdPost,attObxdRight,ownGoals,attPenGoal,attIboxOwnGoal,attemptsIbox,attemptsObox,attGoalHighCentre,touchesInOppBox,attCorner,defenderGoals,goalFastbreak,attFreekickTarget,attCmissHighRight,attOboxPost,ptsDroppedWinningPos,penaltyConceded,penaltyFaced,penGoalsConceded
1,694905,2013-08-19 20:00:00,"Etihad Stadium, Manchester",46842,Home,Manchester City,Newcastle United,4,0,W,2,0,0,1,1.0,2.0,61.0,1.0,2.0,1.0,3.0,34.0,17.0,3.0,6.0,1.0,1.0,4.0,203.0,7.0,8.0,4.0,3.0,16.0,1.0,1.0,11.0,186.0,110.0,57.0,1.0,20.0,8.0,6.0,1.0,2.0,1.0,1.0,25.0,21.0,1.0,17.0,7.0,35.0,35.0,1.0,325.0,1.0,2.0,0.0,153.0,9.0,1.0,3.0,4.0,2.0,63.0,90.0,10.0,99.0,3.0,18.0,13.0,1.0,2.0,110.0,6.0,2.0,1.0,177.0,855.0,11.0,4.0,2.0,11.0,598.0,18.0,1.0,2.0,10.0,2.0,1.0,2.0,3.0,6.0,12.0,655.0,78.0,4.0,7551,11.0,288.0,5.0,14.0,299.0,8.0,2.0,2.0,13.0,4.0,42.0,1.0,8.0,3.0,6.0,3.0,12.0,5.0,3.0,1.0,45.0,606.0,7.0,11.0,3.0,7.0,83.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0,2.0,7.0,63.5,11.0,4.0,6.0,4.0,1.0,6.0,3.0,70.0,8.0,665.0,11.0,12.0,24.0,6.0,22.0,3.0,6.0,391.0,7.0,35.0,14.0,115.0,31.0,1.0,10.0,29.0,1.0,16.0,3.0,10.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,694912,2013-08-25 16:00:00,"Cardiff City Stadium, Cardiff",27068,Away,Manchester City,Cardiff City,2,3,L,0,0,0,0,1.0,,45.0,,,1.0,4.0,39.0,17.0,4.0,6.0,3.0,,,216.0,9.0,3.0,2.0,,15.0,,,5.0,188.0,133.0,38.0,,16.0,11.0,2.0,,2.0,1.0,2.0,32.0,9.0,1.0,16.0,6.0,29.0,33.0,,379.0,,1.0,0.0,221.0,11.0,2.0,,,,117.0,81.0,9.0,68.0,1.0,26.0,12.0,,7.0,132.0,,,6.0,165.0,804.0,11.0,5.0,2.0,4.0,550.0,15.0,1.0,1.0,12.0,2.0,,0.0,1.0,6.0,18.0,626.0,84.0,,84702,8.0,191.0,,19.0,203.0,3.0,1.0,,12.0,3.0,42.0,,5.0,2.0,7.0,2.0,14.0,3.0,3.0,1.0,47.0,561.0,2.0,7.0,2.0,4.0,76.0,1.0,,,0.0,1.0,3.0,1.0,3.0,0.0,6.0,,4.0,70.0,18.0,1.0,2.0,3.0,1.0,7.0,4.0,59.0,8.0,637.0,4.0,13.0,18.0,7.0,27.0,3.0,5.0,466.0,6.0,28.0,21.0,172.0,21.0,2.0,11.0,12.0,1.0,12.0,3.0,6.0,7.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,694925,2013-08-31 12:45:00,"Etihad Stadium, Manchester",46903,Home,Manchester City,Hull City,2,0,W,0,0,0,0,,1.0,58.0,,,,,35.0,27.0,3.0,1.0,2.0,,1.0,185.0,12.0,4.0,2.0,6.0,11.0,,,6.0,130.0,151.0,55.0,1.0,12.0,19.0,4.0,,1.0,,,22.0,11.0,,27.0,6.0,23.0,33.0,,242.0,1.0,1.0,0.0,141.0,15.0,,1.0,,4.0,81.0,75.0,6.0,63.0,2.0,16.0,20.0,1.0,4.0,151.0,2.0,,3.0,151.0,725.0,6.0,6.0,3.0,16.0,415.0,22.0,,6.0,19.0,1.0,,2.0,1.0,5.0,24.0,516.0,70.0,1.0,84702,5.0,197.0,1.0,8.0,212.0,6.0,1.0,,20.0,8.0,57.0,,1.0,1.0,4.0,1.0,9.0,4.0,1.0,1.0,57.0,427.0,14.0,7.0,4.0,24.0,85.0,1.0,2.0,1.0,0.0,,4.0,1.0,2.0,0.0,7.0,,7.0,58.2,21.0,3.0,3.0,,2.0,4.0,1.0,40.0,7.0,529.0,16.0,17.0,15.0,5.0,20.0,5.0,4.0,339.0,4.0,23.0,19.0,90.0,28.0,1.0,19.0,18.0,1.0,6.0,3.0,6.0,10.0,7.0,,,2.0,,1.0,,1.0,1.0,,,,2.0,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,694937,2013-09-14 15:00:00,"bet365 Stadium, Stoke",25052,Away,Manchester City,Stoke City,0,0,D,0,0,0,0,1.0,,58.0,,,2.0,,25.0,35.0,8.0,6.0,4.0,,2.0,174.0,2.0,7.0,,2.0,7.0,,1.0,3.0,131.0,136.0,54.0,1.0,10.0,34.0,,4.0,,1.0,1.0,21.0,14.0,3.0,35.0,4.0,23.0,29.0,,218.0,1.0,,0.0,148.0,11.0,3.0,,,1.0,48.0,84.0,2.0,94.0,1.0,17.0,14.0,1.0,4.0,136.0,1.0,,5.0,110.0,722.0,6.0,5.0,,13.0,423.0,22.0,1.0,4.0,17.0,,4.0,1.0,1.0,5.0,25.0,493.0,80.0,,84702,2.0,219.0,1.0,12.0,235.0,3.0,,,14.0,8.0,73.0,1.0,,,2.0,,14.0,6.0,5.0,4.0,50.0,435.0,13.0,9.0,1.0,21.0,87.0,,1.0,,0.0,1.0,2.0,,2.0,0.0,1.0,,1.0,57.9,23.0,1.0,4.0,,1.0,2.0,,54.0,4.0,509.0,13.0,16.0,16.0,7.0,13.0,1.0,2.0,295.0,3.0,22.0,13.0,104.0,24.0,,17.0,21.0,,8.0,2.0,14.0,6.0,4.0,,,,,,,5.0,,,,,,1.0,,,,3.0,,,3.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,694945,2013-09-22 16:00:00,"Etihad Stadium, Manchester",47156,Home,Manchester City,Manchester United,4,1,W,2,0,0,0,,2.0,45.0,1.0,1.0,,,19.0,28.0,11.0,6.0,2.0,2.0,1.0,120.0,6.0,3.0,4.0,2.0,14.0,,1.0,5.0,68.0,111.0,46.0,,18.0,13.0,,1.0,3.0,,2.0,22.0,18.0,1.0,28.0,7.0,9.0,23.0,,177.0,,,0.0,118.0,8.0,1.0,2.0,,1.0,36.0,53.0,10.0,55.0,2.0,15.0,23.0,,2.0,111.0,2.0,,8.0,91.0,524.0,9.0,2.0,,13.0,255.0,19.0,,3.0,15.0,4.0,1.0,1.0,2.0,4.0,14.0,315.0,50.0,1.0,84702,6.0,98.0,,12.0,109.0,4.0,2.0,1.0,23.0,8.0,43.0,1.0,5.0,1.0,3.0,3.0,7.0,6.0,2.0,2.0,36.0,269.0,12.0,10.0,1.0,12.0,72.0,,1.0,,0.0,,4.0,4.0,1.0,0.0,5.0,,2.0,41.6,12.0,2.0,3.0,,,3.0,7.0,39.0,8.0,334.0,13.0,11.0,11.0,6.0,13.0,1.0,3.0,247.0,10.0,9.0,11.0,87.0,19.0,2.0,15.0,22.0,,14.0,3.0,6.0,12.0,8.0,,,,,2.0,2.0,3.0,,,,2.0,1.0,2.0,1.0,3.0,2.0,2.0,,,2.0,2.0,7.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,694951,2013-09-28 15:00:00,"Villa Park, Birmingham",34063,Away,Manchester City,Aston Villa,2,3,L,1,0,0,0,2.0,,50.0,,1.0,,2.0,40.0,19.0,9.0,6.0,1.0,,3.0,191.0,9.0,14.0,2.0,3.0,13.0,1.0,,7.0,140.0,135.0,60.0,,21.0,19.0,3.0,1.0,,3.0,3.0,39.0,10.0,2.0,19.0,10.0,31.0,28.0,,290.0,,,0.0,180.0,9.0,,1.0,1.0,2.0,104.0,79.0,7.0,75.0,1.0,29.0,10.0,,6.0,135.0,,1.0,2.0,148.0,757.0,10.0,8.0,,6.0,469.0,24.0,1.0,,15.0,1.0,1.0,1.0,1.0,6.0,29.0,536.0,68.0,1.0,84702,7.0,206.0,,21.0,221.0,3.0,1.0,2.0,10.0,3.0,51.0,1.0,2.0,5.0,4.0,,9.0,6.0,2.0,2.0,49.0,487.0,13.0,7.0,2.0,6.0,63.0,,,,0.0,3.0,2.0,2.0,4.0,0.0,6.0,,5.0,66.7,28.0,4.0,3.0,,1.0,4.0,6.0,52.0,13.0,554.0,6.0,14.0,18.0,8.0,21.0,3.0,5.0,372.0,10.0,31.0,21.0,143.0,19.0,1.0,15.0,14.0,1.0,12.0,2.0,18.0,1.0,13.0,,,1.0,,,,3.0,,,,,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,694965,2013-10-05 12:45:00,"Etihad Stadium, Manchester",47267,Home,Manchester City,Everton,3,1,W,2,1,0,0,1.0,1.0,60.0,1.0,,1.0,,31.0,14.0,4.0,6.0,3.0,1.0,3.0,190.0,7.0,9.0,3.0,4.0,11.0,,2.0,6.0,117.0,138.0,50.0,1.0,12.0,10.0,3.0,3.0,2.0,,1.0,24.0,19.0,1.0,14.0,6.0,10.0,37.0,,254.0,,,0.0,201.0,15.0,2.0,,2.0,,65.0,80.0,6.0,74.0,2.0,18.0,10.0,1.0,2.0,138.0,4.0,,4.0,110.0,671.0,7.0,3.0,,10.0,400.0,28.0,1.0,4.0,10.0,2.0,3.0,5.0,1.0,4.0,13.0,471.0,63.0,3.0,84702,3.0,167.0,4.0,16.0,185.0,8.0,1.0,,10.0,6.0,63.0,,5.0,3.0,2.0,2.0,13.0,2.0,4.0,1.0,51.0,414.0,10.0,16.0,1.0,17.0,76.0,,2.0,,0.0,2.0,1.0,3.0,2.0,0.0,5.0,1.0,1.0,53.9,11.0,1.0,1.0,3.0,,2.0,1.0,48.0,8.0,491.0,10.0,10.0,21.0,5.0,13.0,2.0,3.0,330.0,5.0,10.0,12.0,163.0,22.0,2.0,10.0,20.0,,8.0,3.0,21.0,6.0,8.0,,,,,1.0,,2.0,,,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
8,694979,2013-10-19 17:30:00,"Boleyn Ground, London",34507,Away,Manchester City,West Ham United,3,1,W,1,0,0,0,2.0,1.0,64.0,1.0,,,3.0,22.0,37.0,1.0,5.0,1.0,1.0,3.0,208.0,4.0,7.0,3.0,1.0,14.0,1.0,,9.0,137.0,125.0,58.0,,16.0,10.0,6.0,,2.0,2.0,1.0,12.0,21.0,,37.0,4.0,26.0,23.0,1.0,291.0,,,0.0,150.0,12.0,1.0,1.0,2.0,1.0,65.0,46.0,12.0,110.0,1.0,8.0,7.0,,,125.0,2.0,,6.0,149.0,804.0,9.0,9.0,1.0,14.0,520.0,30.0,,5.0,29.0,3.0,,2.0,3.0,2.0,15.0,594.0,66.0,4.0,84702,8.0,241.0,1.0,7.0,264.0,6.0,1.0,1.0,7.0,11.0,48.0,,6.0,1.0,6.0,2.0,12.0,5.0,6.0,,39.0,528.0,6.0,8.0,2.0,20.0,92.0,2.0,1.0,,0.0,1.0,5.0,3.0,2.0,0.0,2.0,,3.0,62.1,12.0,1.0,2.0,5.0,,7.0,4.0,66.0,5.0,604.0,14.0,10.0,16.0,3.0,20.0,2.0,2.0,352.0,7.0,21.0,24.0,114.0,23.0,2.0,29.0,22.0,1.0,13.0,3.0,15.0,6.0,5.0,,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,694982,2013-10-27 16:00:00,"Stamford Bridge, London",41495,Away,Manchester City,Chelsea,1,2,L,0,1,0,0,1.0,,49.0,,,1.0,1.0,18.0,20.0,5.0,5.0,2.0,1.0,3.0,204.0,4.0,9.0,1.0,1.0,12.0,,1.0,6.0,105.0,138.0,57.0,,15.0,11.0,5.0,,1.0,3.0,1.0,18.0,14.0,,20.0,5.0,24.0,31.0,,257.0,,,0.0,190.0,15.0,,,,1.0,41.0,74.0,6.0,70.0,1.0,13.0,10.0,,5.0,138.0,,,8.0,101.0,670.0,10.0,7.0,1.0,11.0,393.0,22.0,,3.0,10.0,1.0,1.0,3.0,1.0,6.0,13.0,462.0,73.0,1.0,84702,3.0,151.0,,7.0,162.0,1.0,,3.0,10.0,13.0,67.0,,2.0,2.0,7.0,1.0,7.0,4.0,3.0,2.0,39.0,404.0,11.0,16.0,1.0,18.0,78.0,1.0,2.0,,0.0,,3.0,1.0,3.0,0.0,2.0,,2.0,54.5,10.0,1.0,1.0,5.0,,7.0,3.0,51.0,6.0,480.0,11.0,19.0,14.0,6.0,26.0,2.0,3.0,336.0,8.0,24.0,15.0,139.0,19.0,1.0,10.0,22.0,,12.0,3.0,16.0,4.0,6.0,,,2.0,,1.0,2.0,3.0,,,,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,694995,2013-11-02 15:00:00,"Etihad Stadium, Manchester",47066,Home,Manchester City,Norwich City,7,0,W,4,0,0,0,1.0,2.0,52.0,2.0,1.0,1.0,10.0,44.0,16.0,3.0,11.0,1.0,3.0,3.0,223.0,6.0,16.0,7.0,3.0,19.0,1.0,1.0,9.0,215.0,102.0,52.0,2.0,27.0,5.0,4.0,2.0,3.0,1.0,3.0,23.0,11.0,,16.0,7.0,50.0,41.0,,432.0,1.0,1.0,0.0,235.0,6.0,1.0,2.0,1.0,,120.0,106.0,13.0,129.0,1.0,16.0,9.0,2.0,4.0,102.0,2.0,,1.0,202.0,953.0,13.0,3.0,,15.0,700.0,20.0,,1.0,12.0,3.0,2.0,1.0,3.0,6.0,20.0,758.0,81.0,1.0,84702,18.0,285.0,2.0,12.0,298.0,1.0,2.0,2.0,9.0,4.0,32.0,,2.0,1.0,7.0,4.0,8.0,6.0,2.0,2.0,55.0,711.0,9.0,9.0,3.0,4.0,70.0,1.0,1.0,1.0,0.0,2.0,3.0,6.0,2.0,0.0,3.0,,1.0,68.3,20.0,1.0,5.0,3.0,1.0,7.0,11.0,59.0,10.0,769.0,15.0,8.0,23.0,7.0,16.0,3.0,5.0,494.0,15.0,50.0,16.0,196.0,20.0,3.0,12.0,12.0,,20.0,3.0,22.0,3.0,10.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,3.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
