gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,subsMade,totalContest,blockedCross,wonCorners,attIboxBlocked,attFreekickTotal,attOboxBlocked,attSvHighRight,freekickTotal,attHdTarget,sixYardBlock,totalPullBack,attFreekickTarget,goalsConceded,attHdTotal,attHdMiss,attSvHighCentre,blockedScoringAtt,goalsConcededIbox,attMissHighRight,errorLeadToShot,attSvLowRight,shieldBallOop,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,accurateKeeperSweeper,totalKeeperSweeper,attFreekickMiss,attHdGoal,goalsConcededObox,attGoalLowLeft,defenderGoals,attGoalHighLeft,attLfGoal,postScoringAtt,attIboxPost,attGoalHighRight,attOboxGoal,hitWoodwork,attPostRight,attFreekickGoal,attGoalHighCentre,secondYellow,attMissHighLeft,penaltySave,penaltyConceded,penaltyFaced,attemptsIbox,saves,fouledFinalThird,accuratePullBack,attBxRight,ptsGainedLosingPos,totalFastbreak,freekickCross,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attBxCentre,goalsOpenplay,attCorner,attCmissHighRight,attBxLeft,penGoalsConceded,attOpenplay,ptsDroppedWinningPos,ownGoals,attCmissLeft,attIboxOwnGoal,penaltyWon,attPenGoal,errorLeadToGoal,attObxdRight,attPostLeft,attObxRight,attFreekickPost,attOboxPost,attPostHigh
1,284001,2009-08-15 15:00:00,"Ewood Park, Blackburn",29584,Away,Manchester City,Blackburn Rovers,2,0,W,1,0,0,0,2.0,1.0,65.0,2.0,2.0,24.0,53.0,4.0,3.0,2.0,2.0,16.0,2.0,7.0,5.0,179.0,63.0,9.0,17.0,1.0,3.0,1.0,1.0,1.0,1.0,12.0,16.0,2.0,31.0,4.0,23.0,25.0,181.0,1.0,0.0,132.0,11.0,2.0,1.0,1.0,1.0,1.0,72.0,30.0,4.0,2.0,1.0,8.0,1.0,2.0,157.0,11.0,668.0,5.0,9.0,15.0,28.0,9.0,27.0,1.0,1.0,5.0,3.0,18.0,79.0,2.0,59306,111.0,6.0,1.0,136.0,2.0,8.0,56.0,7.0,3.0,5.0,7.0,3.0,2.0,58.0,290.0,12.0,6.0,1.0,31.0,90.0,3.0,2.0,0.0,5.0,4.0,2.0,4.0,0.0,1.0,1.0,1.0,56.5,9.0,3.0,5.0,1.0,38.0,4.0,4.0,395.0,13.0,15.0,11.0,4.0,15.0,1.0,2.0,271.0,6.0,21.0,16.0,75.0,20.0,1.0,2.0,16.0,19.0,1.0,25.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,284019,2010-03-24 19:45:00,"Etihad Stadium, Manchester",45708,Home,Manchester City,Everton,0,2,L,0,1,0,0,,,53.0,,1.0,25.0,21.0,8.0,1.0,2.0,11.0,10.0,,13.0,4.0,157.0,47.0,17.0,18.0,2.0,2.0,,1.0,,,35.0,8.0,2.0,9.0,6.0,22.0,27.0,232.0,,0.0,151.0,11.0,,,,,1.0,88.0,80.0,8.0,1.0,2.0,29.0,14.0,3.0,145.0,3.0,763.0,11.0,9.0,24.0,17.0,4.0,10.0,,3.0,4.0,5.0,26.0,79.0,2.0,5053,192.0,11.0,1.0,208.0,,4.0,56.0,5.0,5.0,6.0,7.0,2.0,4.0,45.0,413.0,11.0,5.0,2.0,17.0,91.0,2.0,,0.0,4.0,,,1.0,0.0,7.0,,,59.9,21.0,4.0,6.0,,56.0,7.0,1.0,500.0,23.0,14.0,12.0,6.0,24.0,4.0,3.0,327.0,12.0,20.0,11.0,111.0,20.0,,2.0,5.0,15.0,3.0,18.0,2.0,7.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,284026,2009-08-22 15:00:00,"Etihad Stadium, Manchester",47287,Home,Manchester City,Wolverhampton Wanderers,1,0,W,1,0,0,0,,3.0,57.0,1.0,1.0,43.0,32.0,6.0,5.0,3.0,1.0,6.0,1.0,13.0,7.0,161.0,53.0,17.0,11.0,2.0,2.0,1.0,2.0,,2.0,12.0,14.0,4.0,15.0,5.0,11.0,29.0,196.0,1.0,0.0,146.0,9.0,1.0,1.0,,,2.0,60.0,64.0,9.0,1.0,1.0,7.0,3.0,1.0,144.0,7.0,697.0,12.0,3.0,22.0,20.0,5.0,20.0,1.0,0.0,2.0,4.0,24.0,75.0,3.0,59306,155.0,4.0,1.0,179.0,1.0,11.0,49.0,11.0,6.0,7.0,5.0,5.0,,68.0,350.0,12.0,5.0,,20.0,91.0,2.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,1.0,,56.4,15.0,1.0,8.0,,51.0,5.0,2.0,437.0,22.0,9.0,18.0,5.0,19.0,,4.0,270.0,11.0,11.0,17.0,97.0,24.0,1.0,2.0,9.0,18.0,2.0,21.0,2.0,5.0,4.0,2.0,1.0,,2.0,,,,1.0,,1.0,1.0,2.0,5.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,284036,2009-08-30 13:30:00,"Fratton Park, Portsmouth",17826,Away,Manchester City,Portsmouth,1,0,W,1,0,0,0,1.0,,62.0,,,31.0,33.0,8.0,1.0,5.0,2.0,14.0,1.0,7.0,7.0,180.0,57.0,14.0,8.0,3.0,,,3.0,,2.0,23.0,19.0,3.0,12.0,10.0,8.0,22.0,179.0,1.0,0.0,125.0,10.0,,,,2.0,1.0,79.0,55.0,5.0,2.0,2.0,13.0,3.0,3.0,159.0,6.0,689.0,5.0,3.0,24.0,20.0,5.0,17.0,1.0,1.0,5.0,2.0,27.0,66.0,,7551,137.0,8.0,1.0,150.0,,12.0,63.0,1.0,1.0,6.0,6.0,3.0,1.0,53.0,314.0,12.0,4.0,1.0,19.0,99.0,,,0.0,3.0,1.0,1.0,,0.0,1.0,1.0,,50.0,20.0,2.0,6.0,,55.0,11.0,1.0,393.0,24.0,25.0,14.0,5.0,16.0,1.0,2.0,266.0,11.0,8.0,9.0,84.0,31.0,1.0,3.0,7.0,22.0,2.0,31.0,3.0,11.0,,2.0,2.0,1.0,2.0,1.0,,,,,2.0,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,284044,2009-09-12 15:00:00,"Etihad Stadium, Manchester",47339,Home,Manchester City,Arsenal,4,2,W,1,0,0,0,1.0,,53.0,,2.0,22.0,45.0,5.0,2.0,1.0,3.0,15.0,4.0,8.0,5.0,149.0,53.0,10.0,14.0,,3.0,3.0,1.0,1.0,1.0,13.0,16.0,1.0,28.0,3.0,10.0,29.0,106.0,,0.0,89.0,14.0,2.0,,1.0,,5.0,41.0,44.0,6.0,2.0,2.0,10.0,2.0,2.0,132.0,16.0,571.0,4.0,5.0,24.0,16.0,7.0,20.0,4.0,3.0,5.0,2.0,18.0,60.0,2.0,7551,119.0,6.0,2.0,132.0,2.0,9.0,64.0,3.0,2.0,3.0,7.0,2.0,,49.0,222.0,12.0,9.0,,22.0,76.0,3.0,,0.0,12.0,3.0,4.0,,0.0,3.0,4.0,,39.1,12.0,3.0,3.0,1.0,39.0,3.0,5.0,301.0,24.0,15.0,13.0,3.0,12.0,,1.0,182.0,6.0,9.0,6.0,48.0,24.0,2.0,5.0,13.0,20.0,1.0,28.0,5.0,3.0,,,2.0,,,,,,,2.0,2.0,,,2.0,1.0,,,,,1.0,1.0,,,,,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,284057,2009-09-20 13:30:00,"Old Trafford, Manchester",75066,Away,Manchester City,Manchester United,3,4,L,1,1,0,0,1.0,,47.0,,,19.0,51.0,5.0,3.0,1.0,2.0,7.0,3.0,7.0,4.0,156.0,62.0,11.0,18.0,1.0,2.0,3.0,,1.0,,7.0,18.0,,26.0,1.0,13.0,21.0,103.0,,0.0,76.0,16.0,1.0,,1.0,,2.0,56.0,18.0,4.0,4.0,1.0,6.0,2.0,1.0,131.0,17.0,593.0,4.0,9.0,33.0,19.0,9.0,26.0,3.0,2.0,6.0,3.0,17.0,48.0,,77637,136.0,1.0,1.0,166.0,1.0,13.0,56.0,3.0,1.0,1.0,7.0,3.0,2.0,50.0,237.0,15.0,8.0,,27.0,87.0,2.0,1.0,0.0,11.0,4.0,1.0,2.0,0.0,1.0,2.0,,39.0,6.0,1.0,1.0,,33.0,1.0,2.0,326.0,33.0,8.0,6.0,4.0,16.0,1.0,2.0,167.0,7.0,13.0,13.0,43.0,17.0,2.0,7.0,13.0,27.0,1.0,14.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,,1.0,,,4.0,1.0,1.0,,3.0,4.0,,,,,,,,1.0,1.0,,,,2.0,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,284064,2009-09-28 20:00:00,"Etihad Stadium, Manchester",42745,Home,Manchester City,West Ham United,3,1,W,2,1,0,0,,5.0,65.0,,3.0,43.0,26.0,7.0,9.0,1.0,7.0,12.0,3.0,16.0,10.0,134.0,67.0,21.0,7.0,3.0,1.0,1.0,2.0,,2.0,24.0,19.0,4.0,16.0,9.0,24.0,31.0,236.0,,0.0,151.0,18.0,3.0,,1.0,4.0,,116.0,54.0,8.0,1.0,2.0,15.0,3.0,1.0,124.0,7.0,732.0,12.0,5.0,23.0,19.0,7.0,13.0,2.0,1.0,4.0,8.0,13.0,68.0,,7551,149.0,11.0,1.0,163.0,1.0,8.0,49.0,4.0,3.0,4.0,7.0,5.0,3.0,62.0,378.0,16.0,4.0,2.0,21.0,83.0,1.0,2.0,0.0,5.0,1.0,2.0,2.0,0.0,5.0,2.0,,52.7,13.0,7.0,4.0,,49.0,11.0,,459.0,23.0,9.0,23.0,9.0,7.0,2.0,8.0,320.0,8.0,23.0,14.0,111.0,32.0,2.0,1.0,5.0,25.0,2.0,23.0,1.0,11.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,4.0,2.0,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,284071,2009-10-05 20:00:00,"Villa Park, Birmingham",37924,Away,Manchester City,Aston Villa,1,1,D,0,1,0,0,1.0,,63.0,,,43.0,22.0,6.0,3.0,1.0,5.0,7.0,1.0,10.0,4.0,191.0,59.0,12.0,17.0,2.0,,1.0,2.0,,1.0,30.0,20.0,1.0,13.0,6.0,18.0,31.0,221.0,,0.0,165.0,9.0,,,,,,91.0,41.0,8.0,2.0,,24.0,9.0,2.0,182.0,9.0,777.0,7.0,8.0,28.0,22.0,12.0,10.0,1.0,2.0,5.0,2.0,37.0,75.0,2.0,7551,143.0,13.0,1.0,168.0,1.0,10.0,62.0,8.0,,6.0,3.0,5.0,1.0,73.0,359.0,12.0,4.0,2.0,44.0,105.0,,1.0,0.0,6.0,,1.0,3.0,0.0,3.0,1.0,,56.2,28.0,3.0,6.0,,52.0,6.0,,469.0,28.0,16.0,20.0,2.0,23.0,2.0,,331.0,6.0,16.0,16.0,117.0,25.0,1.0,2.0,3.0,24.0,2.0,24.0,2.0,6.0,3.0,,3.0,,,2.0,1.0,1.0,,1.0,2.0,,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,284089,2009-10-18 16:00:00,"The Brick Community Stadium, Wigan",20005,Away,Manchester City,Wigan Athletic,1,1,D,0,1,1,0,1.0,,47.0,,2.0,24.0,42.0,1.0,1.0,,5.0,6.0,1.0,4.0,4.0,154.0,51.0,6.0,12.0,3.0,,1.0,1.0,,1.0,24.0,14.0,,26.0,5.0,16.0,24.0,145.0,,0.0,119.0,12.0,2.0,1.0,1.0,1.0,,65.0,37.0,3.0,,,19.0,7.0,1.0,138.0,7.0,574.0,1.0,9.0,16.0,15.0,5.0,27.0,1.0,0.0,3.0,1.0,19.0,62.0,1.0,7551,107.0,9.0,3.0,124.0,,9.0,49.0,3.0,2.0,1.0,9.0,4.0,,51.0,247.0,15.0,5.0,2.0,30.0,77.0,,,0.0,6.0,4.0,1.0,2.0,1.0,3.0,1.0,,43.8,14.0,2.0,1.0,,40.0,6.0,,333.0,16.0,13.0,16.0,2.0,20.0,2.0,1.0,233.0,2.0,15.0,10.0,76.0,25.0,,1.0,20.0,20.0,3.0,14.0,1.0,6.0,,,,,,3.0,,1.0,,1.0,3.0,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,284096,2009-10-25 15:00:00,"Etihad Stadium, Manchester",44906,Home,Manchester City,Fulham,2,2,D,0,0,0,0,2.0,1.0,55.0,1.0,1.0,59.0,20.0,10.0,11.0,2.0,10.0,6.0,2.0,20.0,6.0,166.0,47.0,24.0,12.0,3.0,2.0,1.0,2.0,,3.0,37.0,9.0,1.0,9.0,13.0,19.0,38.0,227.0,,0.0,150.0,14.0,2.0,,1.0,1.0,,94.0,75.0,11.0,1.0,3.0,24.0,8.0,7.0,155.0,8.0,735.0,11.0,4.0,19.0,17.0,5.0,8.0,2.0,0.0,1.0,9.0,29.0,76.0,2.0,7551,171.0,15.0,3.0,182.0,,7.0,49.0,4.0,3.0,6.0,5.0,2.0,4.0,87.0,388.0,12.0,5.0,7.0,24.0,92.0,2.0,,0.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,,57.3,23.0,2.0,6.0,,45.0,14.0,1.0,482.0,19.0,14.0,21.0,11.0,17.0,7.0,4.0,337.0,8.0,17.0,15.0,99.0,27.0,,1.0,4.0,14.0,3.0,12.0,1.0,14.0,5.0,,2.0,1.0,,1.0,2.0,,,2.0,4.0,3.0,,7.0,2.0,,,,,1.0,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
