gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,attCmissRight,attFreekickTotal,attOboxBlocked,shotFastbreak,goalAssistOpenplay,attGoalHighRight,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,freekickTotal,attOboxMiss,attHdTarget,attMissHighLeft,goalAssist,accurateThroughBall,attSetpiece,penaltyConceded,attRfGoal,totalOffside,goalsOpenplay,attFastbreak,attIboxGoal,goalAssistIntentional,attSvHighCentre,penaltyFaced,attFreekickMiss,forwardGoals,attHdGoal,goalAssistSetplay,goalAssistDeadball,accuratePullBack,attMissHighRight,accurateFreekickCross,totalPullBack,attMissHigh,attGoalHighLeft,goalsConcededObox,savedObox,postScoringAtt,attIboxPost,attSvHighRight,attHdPost,hitWoodwork,attBxLeft,penGoalsConceded,attPostRight,attLgCentre,attFreekickTarget,clearanceOffLine,penaltyWon,ownGoals,attPenGoal,attCmissHighRight,attIboxOwnGoal,attGoalHighCentre,attCmissHigh,attGoalLowCentre,defenderGoals,punches,sixYardBlock,attPostHigh,foulThrowIn,errorLeadToShot,errorLeadToGoal,attPostLeft,attSvHighLeft,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCmissHighLeft,attObxdLeft,attObxRight,attObxLeft,goalFastbreak,attObpGoal
1,321663,2010-08-16 20:00:00,"Old Trafford, Manchester",75221,Away,Newcastle United,Manchester United,0,3,L,0,2,0,0,1.0,2.0,56.0,1.0,20.0,32.0,3.0,2.0,2.0,131.0,6.0,9.0,2.0,7.0,4.0,73.0,151.0,61.0,9.0,10.0,1.0,1.0,1.0,2.0,1.0,17.0,13.0,3.0,19.0,2.0,16.0,23.0,125.0,0.0,104.0,7.0,1.0,1.0,2.0,1.0,33.0,47.0,3.0,50.0,5.0,3.0,15.0,4.0,138.0,1.0,9.0,59.0,527.0,5.0,14.0,35.0,30.0,10.0,14.0,1.0,2.0,8.0,4.0,14.0,60.0,999,5.0,114.0,1.0,9.0,134.0,15.0,45.0,1.0,2.0,14.0,10.0,10.0,44.0,233.0,9.0,6.0,2.0,24.0,69.0,1.0,1.0,0.0,2.0,5.0,1.0,3.0,6.0,0.0,4.0,3.0,4.0,34.4,11.0,4.0,2.0,2.0,1.0,38.0,3.0,1.0,313.0,23.0,13.0,11.0,4.0,19.0,2.0,4.0,196.0,2.0,16.0,22.0,60.0,18.0,2.0,7.0,21.0,3.0,6.0,2.0,19.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,321672,2010-08-22 13:30:00,"St. James' Park, Newcastle",43546,Home,Newcastle United,Aston Villa,6,0,W,3,0,0,0,,1.0,33.0,2.0,23.0,18.0,5.0,5.0,3.0,168.0,5.0,6.0,4.0,11.0,11.0,82.0,171.0,51.0,17.0,12.0,4.0,1.0,,1.0,,32.0,14.0,1.0,8.0,8.0,14.0,27.0,169.0,0.0,148.0,15.0,,1.0,2.0,,61.0,50.0,10.0,60.0,1.0,1.0,24.0,4.0,161.0,4.0,3.0,70.0,571.0,7.0,14.0,13.0,15.0,11.0,11.0,,3.0,2.0,1.0,23.0,80.0,999,8.0,124.0,3.0,18.0,132.0,6.0,53.0,8.0,2.0,7.0,3.0,4.0,58.0,288.0,12.0,,1.0,36.0,90.0,2.0,,0.0,1.0,2.0,,,6.0,0.0,2.0,2.0,3.0,50.1,18.0,1.0,2.0,2.0,4.0,47.0,9.0,,380.0,12.0,14.0,13.0,2.0,27.0,3.0,1.0,280.0,9.0,14.0,14.0,89.0,10.0,3.0,4.0,19.0,,12.0,3.0,18.0,3.0,10.0,4.0,1.0,4.0,3.0,6.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,321686,2010-08-28 15:00:00,"Molineux Stadium, Wolverhampton",27745,Away,Newcastle United,Wolverhampton Wanderers,1,1,D,0,1,0,0,2.0,,41.0,,27.0,46.0,4.0,2.0,2.0,148.0,11.0,6.0,3.0,8.0,4.0,73.0,183.0,60.0,11.0,16.0,3.0,,1.0,1.0,1.0,27.0,11.0,,25.0,2.0,19.0,35.0,168.0,0.0,135.0,21.0,,,2.0,,47.0,54.0,4.0,41.0,,1.0,25.0,6.0,162.0,2.0,4.0,88.0,560.0,6.0,11.0,10.0,22.0,13.0,32.0,1.0,5.0,1.0,4.0,22.0,60.0,999,7.0,100.0,3.0,17.0,115.0,7.0,58.0,2.0,2.0,14.0,2.0,3.0,59.0,257.0,20.0,,1.0,38.0,87.0,,,0.0,3.0,5.0,,1.0,5.0,0.0,11.0,1.0,3.0,55.1,16.0,1.0,,2.0,2.0,42.0,3.0,,350.0,8.0,16.0,18.0,5.0,28.0,,3.0,262.0,6.0,14.0,21.0,88.0,11.0,2.0,16.0,13.0,1.0,6.0,1.0,13.0,2.0,3.0,,,,,1.0,1.0,1.0,2.0,,,,,,,,1.0,2.0,1.0,,1.0,1.0,3.0,,,3.0,,,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,321692,2010-09-11 15:00:00,"St. James' Park, Newcastle",49597,Home,Newcastle United,Blackpool,0,2,L,0,1,0,0,,3.0,39.0,5.0,43.0,17.0,5.0,7.0,4.0,170.0,11.0,15.0,5.0,16.0,7.0,87.0,168.0,56.0,21.0,10.0,5.0,1.0,,1.0,1.0,40.0,8.0,2.0,8.0,3.0,21.0,28.0,197.0,0.0,163.0,16.0,2.0,3.0,5.0,3.0,52.0,49.0,10.0,46.0,2.0,1.0,37.0,11.0,159.0,2.0,5.0,93.0,597.0,13.0,25.0,12.0,22.0,17.0,13.0,,2.0,1.0,6.0,31.0,86.0,999,13.0,119.0,5.0,21.0,132.0,6.0,46.0,5.0,3.0,9.0,3.0,3.0,65.0,305.0,14.0,8.0,3.0,28.0,86.0,2.0,,0.0,7.0,2.0,2.0,2.0,5.0,0.0,10.0,1.0,2.0,56.5,27.0,1.0,,3.0,7.0,58.0,3.0,3.0,396.0,10.0,5.0,20.0,7.0,38.0,1.0,5.0,304.0,10.0,20.0,19.0,100.0,10.0,5.0,5.0,8.0,1.0,17.0,3.0,22.0,5.0,3.0,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,4.0,2.0,1.0,,4.0,,,,,,1.0,,,,,,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,321700,2010-09-18 15:00:00,"Goodison Park, Liverpool",38019,Away,Newcastle United,Everton,1,0,W,1,0,0,0,1.0,,58.0,,22.0,28.0,7.0,1.0,3.0,136.0,4.0,8.0,4.0,5.0,4.0,90.0,176.0,51.0,10.0,13.0,,,1.0,2.0,2.0,26.0,18.0,3.0,13.0,6.0,14.0,19.0,172.0,0.0,106.0,22.0,3.0,,5.0,4.0,63.0,53.0,3.0,54.0,3.0,1.0,20.0,4.0,161.0,,10.0,86.0,596.0,3.0,10.0,24.0,19.0,5.0,18.0,1.0,3.0,4.0,2.0,27.0,57.0,999,1.0,125.0,,11.0,135.0,8.0,62.0,1.0,1.0,17.0,2.0,1.0,46.0,293.0,15.0,4.0,1.0,22.0,78.0,,,0.0,7.0,3.0,2.0,,1.0,0.0,2.0,,2.0,48.3,19.0,2.0,2.0,3.0,1.0,35.0,6.0,4.0,366.0,17.0,15.0,10.0,5.0,17.0,2.0,2.0,257.0,7.0,14.0,8.0,69.0,24.0,5.0,5.0,20.0,,5.0,2.0,17.0,5.0,6.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,3.0,,1.0,1.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,321714,2010-09-26 16:10:00,"St. James' Park, Newcastle",41915,Home,Newcastle United,Stoke City,1,2,L,1,0,0,0,,1.0,57.0,2.0,32.0,28.0,7.0,5.0,1.0,159.0,5.0,11.0,5.0,9.0,3.0,119.0,186.0,47.0,14.0,19.0,1.0,1.0,,1.0,1.0,31.0,15.0,1.0,10.0,2.0,17.0,28.0,193.0,0.0,129.0,8.0,,,1.0,3.0,66.0,54.0,6.0,70.0,2.0,2.0,29.0,14.0,168.0,1.0,6.0,124.0,686.0,9.0,7.0,12.0,26.0,7.0,19.0,,0.0,1.0,3.0,26.0,63.0,999,5.0,190.0,1.0,14.0,212.0,10.0,53.0,2.0,4.0,13.0,3.0,7.0,63.0,378.0,10.0,,,28.0,82.0,1.0,,0.0,,5.0,,2.0,1.0,0.0,4.0,2.0,1.0,63.0,22.0,1.0,1.0,4.0,5.0,44.0,3.0,3.0,472.0,9.0,21.0,10.0,6.0,30.0,1.0,3.0,291.0,8.0,14.0,10.0,79.0,22.0,3.0,5.0,16.0,2.0,10.0,2.0,16.0,3.0,3.0,1.0,,1.0,,1.0,1.0,3.0,3.0,,,,,,,1.0,3.0,3.0,,1.0,,1.0,,,1.0,2.0,,,1.0,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7,321720,2010-10-03 13:30:00,"Etihad Stadium, Manchester",46067,Away,Newcastle United,Manchester City,1,2,L,1,1,0,0,,,56.0,,24.0,29.0,6.0,,2.0,157.0,5.0,7.0,4.0,5.0,3.0,90.0,164.0,47.0,9.0,5.0,,,1.0,1.0,2.0,27.0,14.0,2.0,18.0,3.0,21.0,16.0,194.0,0.0,129.0,13.0,1.0,1.0,2.0,2.0,70.0,49.0,1.0,65.0,2.0,1.0,24.0,11.0,153.0,1.0,9.0,102.0,646.0,4.0,11.0,16.0,26.0,10.0,18.0,1.0,2.0,3.0,4.0,30.0,68.0,999,2.0,155.0,1.0,11.0,169.0,9.0,61.0,3.0,2.0,18.0,2.0,5.0,45.0,344.0,11.0,11.0,1.0,23.0,81.0,,1.0,0.0,3.0,4.0,3.0,2.0,3.0,0.0,4.0,,2.0,48.1,26.0,2.0,4.0,2.0,1.0,46.0,4.0,2.0,414.0,14.0,21.0,7.0,5.0,25.0,1.0,2.0,272.0,7.0,20.0,11.0,91.0,14.0,4.0,13.0,18.0,2.0,6.0,3.0,18.0,4.0,4.0,1.0,,,,1.0,,1.0,1.0,,,,,,,1.0,1.0,3.0,,,,2.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
8,321735,2010-10-16 15:00:00,"St. James' Park, Newcastle",44415,Home,Newcastle United,Wigan Athletic,2,2,D,0,2,0,0,1.0,,46.0,1.0,32.0,13.0,5.0,2.0,1.0,186.0,15.0,6.0,2.0,11.0,4.0,90.0,147.0,55.0,14.0,4.0,2.0,,,1.0,3.0,34.0,19.0,,7.0,5.0,21.0,27.0,225.0,0.0,117.0,16.0,,1.0,1.0,3.0,89.0,42.0,6.0,62.0,2.0,1.0,29.0,18.0,141.0,4.0,3.0,111.0,649.0,6.0,10.0,12.0,19.0,9.0,8.0,,2.0,,5.0,18.0,70.0,999,4.0,164.0,2.0,10.0,172.0,6.0,61.0,1.0,6.0,8.0,5.0,5.0,49.0,374.0,16.0,7.0,3.0,16.0,87.0,,,0.0,2.0,3.0,,2.0,1.0,0.0,11.0,,6.0,57.5,18.0,3.0,4.0,6.0,3.0,60.0,6.0,3.0,449.0,9.0,22.0,13.0,7.0,33.0,4.0,4.0,311.0,6.0,19.0,10.0,69.0,14.0,,4.0,23.0,2.0,8.0,3.0,19.0,,6.0,2.0,1.0,,,2.0,1.0,1.0,2.0,,1.0,,,,,,1.0,3.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,2.0,2.0,,,1.0,1.0,2.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
9,321745,2010-10-23 17:30:00,"Boleyn Ground, London",34486,Away,Newcastle United,West Ham United,2,1,W,1,1,0,0,,1.0,64.0,3.0,24.0,22.0,9.0,6.0,2.0,185.0,5.0,5.0,2.0,11.0,5.0,131.0,173.0,53.0,15.0,20.0,,,,1.0,2.0,31.0,18.0,3.0,14.0,6.0,33.0,28.0,234.0,0.0,143.0,6.0,,2.0,1.0,4.0,88.0,47.0,9.0,72.0,2.0,1.0,25.0,17.0,165.0,1.0,6.0,135.0,731.0,10.0,8.0,16.0,27.0,5.0,12.0,,0.0,4.0,2.0,19.0,73.0,999,2.0,206.0,,7.0,224.0,9.0,65.0,1.0,9.0,11.0,5.0,4.0,48.0,435.0,12.0,6.0,,20.0,92.0,,,0.0,1.0,2.0,,1.0,4.0,0.0,4.0,,2.0,59.3,18.0,1.0,4.0,9.0,6.0,55.0,6.0,4.0,523.0,13.0,23.0,13.0,4.0,30.0,1.0,1.0,330.0,7.0,31.0,15.0,95.0,21.0,2.0,8.0,21.0,1.0,15.0,,15.0,2.0,6.0,1.0,,1.0,1.0,2.0,1.0,,3.0,,1.0,,,,,1.0,,3.0,,1.0,1.0,,,,,,2.0,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
10,321755,2010-10-31 13:30:00,"St. James' Park, Newcastle",51988,Home,Newcastle United,Sunderland,5,1,W,3,0,0,1,1.0,,53.0,2.0,31.0,22.0,10.0,5.0,2.0,152.0,10.0,8.0,8.0,13.0,8.0,80.0,160.0,63.0,25.0,17.0,1.0,2.0,,1.0,4.0,31.0,11.0,2.0,9.0,8.0,18.0,31.0,212.0,0.0,122.0,10.0,1.0,1.0,3.0,1.0,74.0,52.0,8.0,63.0,,2.0,23.0,12.0,147.0,4.0,9.0,101.0,623.0,7.0,12.0,10.0,22.0,10.0,17.0,,3.0,3.0,5.0,28.0,73.0,999,5.0,122.0,3.0,8.0,133.0,7.0,63.0,,1.0,9.0,5.0,4.0,52.0,324.0,19.0,3.0,4.0,21.0,77.0,1.0,,0.0,2.0,6.0,4.0,1.0,1.0,0.0,4.0,,5.0,54.4,24.0,2.0,4.0,1.0,8.0,46.0,8.0,1.0,396.0,6.0,19.0,22.0,9.0,25.0,6.0,6.0,294.0,14.0,15.0,17.0,85.0,19.0,1.0,7.0,19.0,1.0,13.0,1.0,23.0,1.0,8.0,4.0,1.0,1.0,,5.0,1.0,3.0,6.0,,1.0,1.0,,,,3.0,3.0,2.0,1.0,,2.0,,1.0,,4.0,1.0,2.0,,5.0,,,,,2.0,1.0,1.0,,,,,,2.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
