playerId,playerName,position,team,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,savesMadeCaught,ownGoalScored,goalkeeperSmother,drops,tacklesLost,successfulDribbles,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,homeGoals,oboxTarget,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,expectedGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,lastPlayerTackle,redCards2ndYellow,unsuccessfulCornersIntoBox,rightFootGoals,clearancesOffTheLine,handballsConceded,secondGoalAssists,unsuccessfulLayoffs,headedGoals,hitWoodwork,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,setPiecesGoals,otherGoals,penaltiesTaken,penaltyGoals
201595,Lucas Perri,Goalkeeper,Leeds United,Brazil,2025-26,3.0,0.0271,0.0,9.0,8.0,1.0,16.0,16.0,259.0,558.0,84.0,7.0,3.0,4.0,1440.0,2.0,7.0,1.0,1.0,2.0,206.0,6.0,4.0,26.8152,53.0,16.0,29.0,1.0,69.0,38.0,3.0,0.0,10.0,392.0,100.0,16.0,67.0,28.0,3.0,5.0,0.0,92.0,405.0,1.0,274.0,66.0,10.0,97.0,1.0,93.0,700.0,182.0,232.0,1.0,29.0,2.0,258.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437495,Illan Meslier,Goalkeeper,Leeds United,France,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97846,Alex Cairns,Goalkeeper,Leeds United,England,2025-26,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59735,Karl Darlow,Goalkeeper,Leeds United,Wales,2025-26,,0.0765,0.0,14.0,20.0,10.0,22.0,22.0,354.0,846.0,119.0,6.0,5.0,2.0,1980.0,,13.0,6.0,,7.0,324.0,16.0,2.0,25.499,80.0,29.0,27.0,,109.0,63.0,7.0,0.0,13.0,566.0,202.0,22.0,120.0,21.0,7.0,6.0,0.0,140.0,578.0,,357.0,77.0,18.0,171.0,,168.0,1071.0,185.0,372.0,,43.0,1.0,344.0,40.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226182,Jayden Bogle,Defender,Leeds United,England,2025-26,165.0,3.158,0.0,,,153.0,34.0,32.0,210.0,884.0,,53.0,4.0,,2802.0,29.0,138.0,5.0,,114.0,641.0,,3.0,42.015,8.0,73.0,44.0,136.0,38.0,,29.0,0.0,303.0,320.0,134.0,34.0,363.0,39.0,250.0,24.0,0.0,,871.0,15.0,414.0,,,307.0,39.0,33.0,1547.0,34.0,327.0,18.0,,6.0,57.0,52.0,66.0,,,,,23.0,19.0,16.0,7.0,4.0,4.0,1.0198,11.0,2.0,2.0,6.0,1.0,51.0,1.0,10.0,0.0,3.0,2.0,2.0,16.0,1.0,1.0,75.0,70.0,25.0,19.0,4.0,29.0,1.0,2.0,1.0,38.0,51.0,72.0,4.0,7.0,43.0,5.0,34.0,219.0,95.0,14.0,3.0,2.1127,,,,,,,,,,,,,,,,,,,
243526,Gabriel Gudmundsson,Defender,Leeds United,Sweden,2025-26,154.0,2.7493,1.0,,,152.0,32.0,31.0,227.0,957.0,,50.0,3.0,,2637.0,32.0,178.0,5.0,,160.0,700.0,,5.0,40.6822,15.0,83.0,45.0,122.0,288.0,,56.0,0.0,332.0,405.0,112.0,32.0,366.0,40.0,282.0,18.0,0.0,,949.0,15.0,475.0,,,45.0,31.0,30.0,1730.0,49.0,388.0,19.0,,4.0,75.0,77.0,65.0,,1.0,,,21.0,39.0,23.0,5.0,3.0,5.0,0.1215,13.0,1.0,,,,64.0,,3.0,,2.0,1.0,,24.0,3.0,3.0,76.0,51.0,68.0,21.0,3.0,28.0,,,,35.0,67.0,61.0,3.0,10.0,44.0,7.0,27.0,219.0,122.0,9.0,2.0,1.1039,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,
199598,Ethan Ampadu,Defender,Leeds United,Wales,2025-26,111.0,2.2521,0.0,,,174.0,35.0,35.0,249.0,1731.0,,89.0,6.0,,3123.0,32.0,184.0,7.0,1.0,127.0,1399.0,,4.0,48.2506,16.0,83.0,49.0,79.0,486.0,,36.0,0.0,295.0,486.0,182.0,35.0,709.0,42.0,206.0,57.0,0.0,,1672.0,9.0,434.0,,,475.0,50.0,83.0,2370.0,39.0,783.0,23.0,,10.0,75.0,73.0,81.0,,,,,35.0,12.0,10.0,11.0,6.0,,2.0811,15.0,6.0,1.0,50.0,1.0,16.0,1.0,,0.0,7.0,,3.0,10.0,2.0,2.0,58.0,26.0,112.0,18.0,4.0,33.0,1.0,3.0,,5.0,16.0,17.0,4.0,9.0,46.0,18.0,50.0,284.0,39.0,4.0,7.0,2.4957,,,,,,1.0,1.0,5.0,1.0,,,,,,,,,,
222694,Pascal Struijk,Defender,Leeds United,Netherlands,2025-26,139.0,0.7803,0.0,,,130.0,34.0,33.0,212.0,1839.0,70.0,197.0,6.0,,2937.0,87.0,174.0,7.0,,64.0,1556.0,,5.0,42.0717,14.0,207.0,48.0,52.0,690.0,,22.0,0.0,313.0,636.0,118.0,34.0,516.0,41.0,116.0,110.0,0.0,70.0,1717.0,6.0,249.0,,,388.0,27.0,71.0,2295.0,36.0,1111.0,11.0,,5.0,82.0,76.0,39.0,,,,,16.0,4.0,,8.0,5.0,,1.6046,23.0,1.0,1.0,,,2.0,,5.0,,1.0,1.0,,,5.0,5.0,34.0,58.0,,11.0,7.0,15.0,,,,2.0,2.0,10.0,7.0,18.0,23.0,19.0,31.0,125.0,7.0,2.0,1.0,3.0214,,,1.0,,,,2.0,1.0,,1.0,,,,,,,,,
214225,Joe Rodon,Defender,Leeds United,Wales,2025-26,112.0,0.5692,0.0,,,126.0,35.0,33.0,183.0,1450.0,2.0,166.0,6.0,,2953.0,81.0,140.0,7.0,,55.0,1229.0,,6.0,48.4458,9.0,185.0,53.0,31.0,254.0,,19.0,1.0,252.0,472.0,85.0,35.0,422.0,46.0,86.0,85.0,0.0,2.0,1428.0,6.0,239.0,,,607.0,17.0,38.0,1921.0,26.0,848.0,7.0,,3.0,57.0,61.0,37.0,,,,,17.0,1.0,3.0,4.0,7.0,,2.4963,14.0,,,1.0,,3.0,2.0,1.0,0.0,,2.0,,3.0,5.0,5.0,27.0,46.0,30.0,9.0,4.0,14.0,2.0,,,1.0,3.0,7.0,4.0,7.0,20.0,22.0,29.0,117.0,40.0,3.0,,1.4142,,,,,,,,,,,2.0,2.0,,,,,,,
434752,Jaka Bijol,Defender,Leeds United,Slovenia,2025-26,85.0,0.7815,0.0,,,85.0,25.0,21.0,153.0,1010.0,17.0,126.0,5.0,,1893.0,60.0,104.0,1.0,1.0,38.0,789.0,,3.0,28.3224,14.0,160.0,26.0,25.0,254.0,,10.0,0.0,189.0,347.0,63.0,25.0,244.0,25.0,63.0,66.0,0.0,17.0,971.0,3.0,167.0,,,319.0,19.0,68.0,1319.0,28.0,613.0,6.0,,4.0,68.0,37.0,26.0,,,,,12.0,2.0,,4.0,6.0,,0.8213,11.0,,2.0,1.0,,1.0,1.0,,0.0,,4.0,,,5.0,5.0,12.0,48.0,,5.0,4.0,7.0,1.0,,,1.0,1.0,1.0,4.0,5.0,14.0,14.0,24.0,90.0,1.0,5.0,,0.8808,,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,
