matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,totalOffside
442003,1,2012-08-18 17:30:00,"St. James' Park, Newcastle",52385,Away,Spurs,Newcastle,1,2,L,0,0,0,0,1.0,15.0,4.0,7.0,4.0,,1.0,,3.0,,11.0,4.0,17.0,57.0,373.0,310.0,48.1,,17.0,13.0,13.0,31.0,11.0,1.0,,,8.0,9.0,141.0,,2.0,,,47.0,44.0,8.0,10.0,5.0,5.0,,9.0,13.0,0.0,0.0,2.0
442018,2,2012-08-25 15:00:00,"White Hart Lane, London",36166,Home,Spurs,West Brom,1,1,D,0,0,0,0,1.0,22.0,7.0,9.0,6.0,1.0,,2.0,,,16.0,10.0,13.0,74.0,487.0,414.0,59.0,,22.0,18.0,15.0,28.0,21.0,5.0,2.0,,4.0,16.0,134.0,,1.0,,,39.0,45.0,5.0,16.0,7.0,7.0,,9.0,6.0,0.0,0.0,2.0
442025,3,2012-09-01 15:00:00,"White Hart Lane, London",36142,Home,Spurs,Norwich,1,1,D,0,0,1,0,1.0,15.0,5.0,7.0,3.0,,,,,1.0,12.0,6.0,11.0,71.0,510.0,438.0,61.6,,20.0,16.0,11.0,40.0,24.0,1.0,,,3.0,10.0,154.0,,1.0,,,64.0,58.0,27.0,31.0,4.0,4.0,,7.0,12.0,0.0,0.0,4.0
442036,4,2012-09-16 16:00:00,"Select Car Leasing Stadium, Reading",24160,Away,Spurs,Reading,3,1,W,1,0,0,0,3.0,23.0,8.0,12.0,3.0,4.0,,4.0,,3.0,19.0,10.0,16.0,53.0,479.0,406.0,57.7,,21.0,14.0,8.0,44.0,23.0,3.0,,,3.0,9.0,149.0,,1.0,,,54.0,47.0,20.0,16.0,4.0,4.0,2.0,12.0,5.0,0.0,0.0,1.0
442045,5,2012-09-23 16:00:00,"White Hart Lane, London",36052,Home,Spurs,QPR,2,1,W,0,1,0,0,2.0,20.0,8.0,5.0,7.0,,1.0,,1.0,,15.0,12.0,13.0,48.0,336.0,276.0,43.3,,19.0,15.0,21.0,57.0,30.0,2.0,1.0,,4.0,8.0,137.0,,1.0,,,57.0,45.0,16.0,16.0,10.0,10.0,1.0,8.0,12.0,0.0,0.0,2.0
442053,6,2012-09-29 17:30:00,"Old Trafford, Manchester",75566,Away,Spurs,Man Utd,3,2,W,2,0,0,0,3.0,10.0,3.0,4.0,3.0,,1.0,,,1.0,8.0,4.0,6.0,31.0,243.0,188.0,25.9,,28.0,21.0,16.0,73.0,33.0,2.0,1.0,,2.0,12.0,150.0,,2.0,,,53.0,51.0,14.0,18.0,5.0,5.0,,9.0,5.0,0.0,0.0,2.0
442065,7,2012-10-07 15:00:00,"White Hart Lane, London",35802,Home,Spurs,Aston Villa,2,0,W,0,0,0,0,2.0,22.0,6.0,10.0,6.0,,,1.0,1.0,2.0,21.0,11.0,20.0,66.0,455.0,394.0,55.9,,18.0,11.0,24.0,46.0,36.0,2.0,1.0,,2.0,7.0,141.0,,,1.0,,55.0,46.0,14.0,17.0,8.0,8.0,1.0,11.0,10.0,0.0,0.0,1.0
442076,8,2012-10-20 12:45:00,"White Hart Lane, London",36060,Home,Spurs,Chelsea,2,4,L,0,1,0,0,2.0,26.0,10.0,9.0,7.0,1.0,1.0,1.0,,2.0,17.0,11.0,21.0,53.0,344.0,279.0,42.2,,21.0,17.0,25.0,44.0,23.0,,1.0,3.0,4.0,13.0,153.0,,4.0,,,49.0,48.0,12.0,17.0,7.0,7.0,2.0,8.0,8.0,0.0,0.0,1.0
442086,9,2012-10-28 15:00:00,"St. Mary's Stadium, Southampton",31944,Away,Spurs,Southampton,2,1,W,2,0,0,0,2.0,12.0,4.0,7.0,1.0,1.0,1.0,1.0,,1.0,10.0,4.0,8.0,45.0,448.0,389.0,47.7,,15.0,12.0,17.0,61.0,31.0,6.0,1.0,,3.0,14.0,147.0,,1.0,,,54.0,48.0,18.0,17.0,3.0,3.0,,10.0,14.0,0.0,0.0,5.0
442096,10,2012-11-03 15:00:00,"White Hart Lane, London",35534,Home,Spurs,Wigan,0,1,L,0,0,0,0,,13.0,5.0,3.0,5.0,,,,,,6.0,4.0,23.0,66.0,401.0,332.0,51.1,,16.0,12.0,27.0,40.0,25.0,1.0,1.0,,5.0,7.0,153.0,,1.0,,,50.0,47.0,17.0,14.0,9.0,9.0,2.0,13.0,11.0,0.0,0.0,3.0
