gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attLfTarget,savedObox,saves,attLfGoal,accuratePullBack,attOboxTarget,attOboxGoal,midfielderGoals,interceptionsInBox,attGoalHighCentre,attMissHighLeft,accurateThroughBall,attRfGoal,totalThroughBall,attGoalHighLeft,savedIbox,accurateFlickOn,shieldBallOop,possWonAtt3rd,goalsConcededIbox,errorLeadToGoal,handBall,attRfTarget,cleanSheet,goodHighClaim,attSvHighCentre,totalHighClaim,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attCmissRight,attOneOnOne,attMissHighRight,attSvHighRight,contentiousDecision,attCmissHigh,defenderGoals,attSvLowRight,attCmissLeft,accurateFreekickCross,attSetpiece,attSvLowLeft,errorLeadToShot,attGoalLowRight,attFreekickTotal,freekickTotal,attSvHighLeft,attFreekickPost,attPostLeft,sixYardBlock,attOboxPost,foulThrowIn,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,clearanceOffLine,ptsGainedLosingPos,attLgCentre,attCmissHighRight,attGoalHighRight,penaltyConceded,penaltyFaced,penGoalsConceded,penaltyWon,attPenGoal,attFreekickMiss,attFreekickTarget,secondYellow
1,855180,2016-08-13 15:00:00,"Riverside Stadium, Middlesbrough",32110,Home,Middlesbrough,Stoke City,1,1,D,1,0,0,0,1.0,1.0,46.0,2.0,25.0,20.0,4.0,4.0,8.0,139.0,1.0,6.0,10.0,1.0,2.0,8.0,2.0,65.0,133.0,60.0,12.0,2.0,27.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,23.0,1.0,11.0,17.0,8.0,14.0,28.0,128.0,0.0,87.0,18.0,1.0,1.0,71.0,44.0,4.0,67.0,2.0,15.0,17.0,4.0,4.0,2.0,133.0,2.0,7.0,78.0,538.0,5.0,6.0,19.0,1.0,2.0,20.0,246.0,25.0,7.0,11.0,1.0,3.0,3.0,2.0,4.0,20.0,316.0,42.0,83312,2.0,140.0,1.0,10.0,157.0,9.0,1.0,17.0,13.0,73.0,1.0,2.0,1.0,8.0,5.0,4.0,1.0,71.0,262.0,14.0,16.0,2.0,28.0,4.0,81.0,2.0,0.0,1.0,6.0,1.0,1.0,0.0,3.0,1.0,4.0,45.6,17.0,2.0,2.0,2.0,4.0,36.0,9.0,349.0,20.0,9.0,11.0,6.0,1.0,26.0,3.0,3.0,215.0,4.0,12.0,22.0,52.0,17.0,1.0,4.0,10.0,17.0,1.0,8.0,2.0,17.0,2.0,4.0,11.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,855186,2016-08-21 13:30:00,"Stadium of Light, Sunderland",43515,Away,Middlesbrough,Sunderland,2,1,W,2,0,0,0,,1.0,56.0,2.0,40.0,34.0,5.0,5.0,3.0,182.0,,3.0,7.0,2.0,,7.0,3.0,104.0,144.0,63.0,8.0,1.0,18.0,,,,,2.0,1.0,1.0,6.0,,20.0,26.0,1.0,17.0,30.0,161.0,0.0,94.0,14.0,2.0,,41.0,68.0,5.0,89.0,,5.0,27.0,5.0,,2.0,144.0,2.0,13.0,101.0,681.0,4.0,13.0,13.0,,,17.0,357.0,27.0,9.0,15.0,2.0,,1.0,6.0,1.0,28.0,449.0,54.0,83312,2.0,214.0,1.0,5.0,252.0,5.0,1.0,27.0,7.0,68.0,,2.0,2.0,10.0,5.0,3.0,,83.0,372.0,11.0,21.0,,33.0,,84.0,,0.0,2.0,8.0,1.0,1.0,0.0,2.0,1.0,,53.1,20.0,,1.0,2.0,3.0,48.0,1.0,476.0,17.0,10.0,20.0,2.0,,14.0,1.0,,230.0,3.0,15.0,17.0,56.0,19.0,,4.0,13.0,30.0,,8.0,3.0,14.0,,4.0,11.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,855201,2016-08-28 13:30:00,"The Hawthorns, West Bromwich",23690,Away,Middlesbrough,West Bromwich Albion,0,0,D,0,0,0,0,,,65.0,1.0,54.0,38.0,2.0,3.0,5.0,170.0,,5.0,4.0,,2.0,6.0,2.0,128.0,132.0,66.0,7.0,,21.0,2.0,2.0,,,,1.0,1.0,19.0,,16.0,33.0,4.0,13.0,47.0,218.0,0.0,105.0,11.0,2.0,2.0,50.0,102.0,2.0,88.0,2.0,15.0,16.0,2.0,5.0,2.0,132.0,,8.0,129.0,707.0,5.0,5.0,16.0,,,13.0,412.0,30.0,8.0,24.0,,,3.0,5.0,4.0,18.0,490.0,60.0,96778,1.0,215.0,,8.0,233.0,7.0,,16.0,7.0,59.0,3.0,4.0,,9.0,5.0,4.0,,95.0,428.0,11.0,12.0,1.0,23.0,2.0,91.0,1.0,0.0,,5.0,,,0.0,3.0,,,59.0,15.0,,,4.0,1.0,53.0,4.0,515.0,13.0,11.0,25.0,4.0,,25.0,2.0,2.0,301.0,4.0,13.0,31.0,64.0,21.0,,1.0,22.0,22.0,,5.0,2.0,9.0,,1.0,10.0,4.0,1.0,1.0,2.0,,,,,,1.0,,1.0,2.0,,4.0,,1.0,,,3.0,,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,855207,2016-09-10 15:00:00,"Riverside Stadium, Middlesbrough",30551,Home,Middlesbrough,Crystal Palace,1,2,L,1,1,0,0,,,58.0,2.0,40.0,19.0,5.0,7.0,7.0,164.0,,6.0,13.0,1.0,2.0,9.0,4.0,136.0,142.0,58.0,12.0,1.0,27.0,2.0,2.0,,,,1.0,2.0,33.0,,19.0,18.0,5.0,30.0,43.0,241.0,0.0,143.0,5.0,1.0,2.0,63.0,69.0,6.0,78.0,1.0,28.0,10.0,5.0,9.0,3.0,142.0,1.0,6.0,148.0,736.0,7.0,4.0,21.0,,,12.0,437.0,27.0,12.0,11.0,1.0,,1.0,4.0,3.0,25.0,507.0,69.0,83312,2.0,215.0,1.0,17.0,230.0,,1.0,10.0,6.0,69.0,3.0,2.0,,8.0,6.0,2.0,1.0,74.0,450.0,8.0,14.0,1.0,30.0,3.0,81.0,,0.0,1.0,6.0,1.0,2.0,0.0,3.0,1.0,2.0,57.7,22.0,1.0,3.0,2.0,3.0,56.0,6.0,526.0,12.0,14.0,26.0,5.0,,33.0,3.0,2.0,329.0,3.0,27.0,14.0,108.0,24.0,,3.0,10.0,24.0,1.0,9.0,3.0,23.0,,3.0,5.0,6.0,2.0,2.0,2.0,,,1.0,,,1.0,,,,,,,,,1.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,855214,2016-09-17 17:30:00,"Goodison Park, Liverpool",39074,Away,Middlesbrough,Everton,1,3,L,1,3,0,0,,,62.0,,36.0,27.0,6.0,3.0,1.0,166.0,,3.0,8.0,1.0,1.0,5.0,,137.0,148.0,56.0,7.0,4.0,15.0,,,,,,,,18.0,,18.0,23.0,2.0,21.0,27.0,191.0,0.0,121.0,15.0,1.0,1.0,67.0,55.0,2.0,83.0,1.0,16.0,20.0,6.0,6.0,2.0,148.0,,8.0,116.0,696.0,4.0,14.0,7.0,,,24.0,390.0,30.0,4.0,13.0,,,1.0,1.0,3.0,16.0,476.0,62.0,83312,1.0,221.0,,9.0,243.0,9.0,,20.0,10.0,69.0,3.0,2.0,,10.0,3.0,7.0,,68.0,409.0,5.0,20.0,1.0,21.0,,84.0,1.0,0.0,5.0,6.0,1.0,3.0,0.0,2.0,,1.0,47.8,14.0,1.0,,2.0,4.0,52.0,3.0,502.0,24.0,9.0,17.0,3.0,,19.0,1.0,1.0,277.0,3.0,21.0,21.0,76.0,21.0,,4.0,11.0,22.0,,6.0,3.0,19.0,3.0,4.0,11.0,3.0,,2.0,3.0,,,,,,2.0,,1.0,,,1.0,,1.0,5.0,,4.0,3.0,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,855227,2016-09-24 15:00:00,"Riverside Stadium, Middlesbrough",32703,Home,Middlesbrough,Tottenham Hotspur,1,2,L,0,2,0,0,,,56.0,1.0,26.0,31.0,1.0,2.0,5.0,149.0,,5.0,12.0,1.0,3.0,4.0,2.0,88.0,137.0,67.0,6.0,1.0,18.0,1.0,1.0,,,,,1.0,11.0,,21.0,26.0,1.0,13.0,34.0,120.0,0.0,89.0,14.0,3.0,3.0,53.0,44.0,3.0,64.0,1.0,10.0,18.0,1.0,4.0,,137.0,,10.0,90.0,587.0,2.0,11.0,8.0,1.0,,25.0,268.0,26.0,6.0,21.0,1.0,,2.0,6.0,1.0,22.0,365.0,55.0,83312,4.0,171.0,,3.0,197.0,10.0,,18.0,9.0,65.0,,3.0,,10.0,9.0,5.0,,76.0,286.0,8.0,20.0,1.0,29.0,1.0,83.0,,0.0,,10.0,1.0,2.0,0.0,4.0,1.0,3.0,41.6,21.0,1.0,,3.0,2.0,38.0,2.0,391.0,25.0,6.0,11.0,2.0,,21.0,1.0,2.0,205.0,1.0,9.0,16.0,41.0,21.0,,2.0,18.0,31.0,1.0,4.0,3.0,21.0,,2.0,9.0,2.0,,2.0,3.0,,,,,,4.0,,,,,3.0,,1.0,4.0,,2.0,2.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,855241,2016-10-01 15:00:00,"London Stadium, London",56945,Away,Middlesbrough,West Ham United,1,1,D,0,0,0,0,,,47.0,,37.0,26.0,2.0,5.0,7.0,164.0,,3.0,4.0,1.0,3.0,5.0,3.0,109.0,150.0,63.0,9.0,2.0,18.0,2.0,3.0,,1.0,,,4.0,24.0,,19.0,22.0,4.0,20.0,31.0,166.0,0.0,96.0,12.0,,1.0,63.0,69.0,2.0,80.0,,20.0,10.0,2.0,8.0,,150.0,1.0,10.0,129.0,667.0,4.0,12.0,11.0,,,11.0,358.0,15.0,11.0,18.0,1.0,1.0,3.0,5.0,3.0,24.0,446.0,61.0,83312,2.0,221.0,1.0,11.0,250.0,8.0,,10.0,14.0,52.0,2.0,4.0,,7.0,9.0,6.0,,80.0,384.0,13.0,10.0,,32.0,1.0,90.0,,0.0,1.0,4.0,1.0,1.0,0.0,2.0,1.0,2.0,59.7,15.0,1.0,1.0,4.0,2.0,50.0,5.0,482.0,11.0,4.0,20.0,4.0,,28.0,1.0,4.0,256.0,2.0,18.0,20.0,56.0,23.0,,3.0,16.0,27.0,1.0,7.0,2.0,12.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,1.0,2.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,855248,2016-10-16 13:30:00,"Riverside Stadium, Middlesbrough",28131,Home,Middlesbrough,Watford,0,1,L,0,0,0,0,1.0,,70.0,,30.0,24.0,4.0,5.0,6.0,163.0,,8.0,8.0,,4.0,7.0,3.0,114.0,146.0,48.0,10.0,,17.0,2.0,,,,,2.0,4.0,36.0,,18.0,20.0,4.0,14.0,25.0,206.0,0.0,115.0,15.0,,2.0,59.0,67.0,2.0,66.0,2.0,32.0,16.0,4.0,19.0,3.0,146.0,,2.0,124.0,672.0,7.0,8.0,15.0,1.0,,11.0,378.0,25.0,9.0,18.0,,,4.0,1.0,5.0,25.0,451.0,58.0,83312,4.0,190.0,,11.0,208.0,7.0,1.0,16.0,3.0,59.0,,5.0,,12.0,2.0,2.0,1.0,58.0,388.0,9.0,7.0,,25.0,2.0,78.0,,0.0,2.0,6.0,,1.0,0.0,6.0,,2.0,63.9,21.0,1.0,2.0,5.0,,52.0,4.0,467.0,11.0,14.0,14.0,7.0,,43.0,2.0,4.0,295.0,3.0,12.0,12.0,80.0,31.0,,3.0,17.0,21.0,,8.0,3.0,15.0,,3.0,9.0,4.0,1.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,5.0,,6.0,,,,1.0,,,,,,,,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,855253,2016-10-22 15:00:00,"Emirates Stadium, London",59982,Away,Middlesbrough,Arsenal,0,0,D,0,0,0,0,,,56.0,3.0,21.0,36.0,3.0,2.0,8.0,126.0,,5.0,6.0,,3.0,6.0,4.0,34.0,138.0,55.0,11.0,1.0,24.0,4.0,1.0,1.0,2.0,,2.0,1.0,13.0,,12.0,32.0,3.0,3.0,17.0,77.0,0.0,73.0,13.0,4.0,2.0,27.0,48.0,5.0,27.0,1.0,10.0,20.0,3.0,3.0,1.0,138.0,1.0,3.0,48.0,419.0,4.0,11.0,14.0,1.0,1.0,12.0,123.0,29.0,9.0,15.0,,2.0,0.0,1.0,1.0,16.0,201.0,39.0,83312,5.0,60.0,3.0,5.0,85.0,7.0,,20.0,14.0,59.0,2.0,,,9.0,7.0,5.0,,75.0,132.0,6.0,13.0,2.0,32.0,1.0,72.0,,0.0,1.0,8.0,,,0.0,3.0,,5.0,25.1,11.0,1.0,,,4.0,22.0,3.0,235.0,12.0,7.0,6.0,3.0,,22.0,2.0,1.0,163.0,4.0,2.0,23.0,36.0,13.0,,8.0,14.0,20.0,,6.0,2.0,8.0,,8.0,16.0,3.0,1.0,3.0,6.0,,,,,,2.0,,,,,,,3.0,2.0,,,,,,2.0,1.0,3.0,,3.0,,,,,1.0,,,,,,1.0,,1.0,3.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10,855265,2016-10-29 15:00:00,"Riverside Stadium, Middlesbrough",29600,Home,Middlesbrough,Bournemouth,2,0,W,1,0,0,0,,2.0,58.0,,36.0,28.0,6.0,5.0,5.0,134.0,1.0,1.0,13.0,2.0,2.0,10.0,3.0,75.0,132.0,52.0,11.0,2.0,16.0,1.0,,,1.0,1.0,1.0,4.0,16.0,,16.0,28.0,3.0,13.0,42.0,136.0,0.0,79.0,7.0,2.0,1.0,45.0,48.0,4.0,54.0,,13.0,21.0,6.0,3.0,4.0,132.0,1.0,7.0,94.0,568.0,9.0,9.0,11.0,,,24.0,265.0,25.0,4.0,15.0,1.0,1.0,2.0,8.0,6.0,20.0,333.0,46.0,83312,3.0,140.0,,9.0,161.0,6.0,,21.0,13.0,59.0,,1.0,2.0,15.0,11.0,3.0,,78.0,275.0,6.0,20.0,,23.0,,74.0,1.0,0.0,1.0,9.0,2.0,,0.0,1.0,1.0,1.0,40.4,17.0,1.0,1.0,1.0,2.0,36.0,4.0,357.0,24.0,10.0,25.0,6.0,,20.0,,2.0,212.0,5.0,13.0,11.0,56.0,27.0,,4.0,15.0,22.0,,10.0,3.0,19.0,,4.0,12.0,4.0,1.0,,2.0,,,,,2.0,7.0,,2.0,2.0,2.0,3.0,,3.0,2.0,1.0,2.0,,,,,1.0,3.0,,3.0,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
