gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,goalAssistSetplay,attRfTarget,attPenTarget,attObxLeft,shotFastbreak,accurateKeeperSweeper,attOboxTarget,attSvHighRight,attOboxGoal,penaltyWon,totalFastbreak,attSvLowLeft,freekickCross,interceptionsInBox,attHdTarget,totalKeeperSweeper,accurateFreekickCross,totalPullBack,attCmissHigh,attAssistSetplay,attFastbreak,attCmissLeft,goalsConceded,attHdTotal,attHdMiss,attSvHighCentre,accurateCornersIntobox,goalsConcededIbox,accuratePullBack,attSvHighLeft,attObxdRight,hitWoodwork,attPenGoal,attGoalHighLeft,punches,attGoalLowCentre,postScoringAtt,goalFastbreak,defenderGoals,attOboxPost,attPostRight,attHdGoal,goalsConcededObox,goalAssistDeadball,attIboxPost,attGoalHighRight,penaltyConceded,penaltyFaced,penGoalsConceded,foulThrowIn,attPostLeft,attHdPost,attMissHighLeft,ownGoals,attSvLowRight,attFreekickTarget,attIboxOwnGoal,errorLeadToGoal,attPostHigh,attGoalHighCentre,shieldBallOop,sixYardBlock,attPenMiss,attObxRight,clearanceOffLine,secondYellow,attCmissHighRight,attFreekickGoal
1,321663,2010-08-16 20:00:00,"Old Trafford, Manchester",75221,Home,Manchester United,Newcastle United,3,0,W,2,0,0,0,1.0,2.0,71.0,1.0,2.0,3.0,1.0,51.0,15.0,10.0,6.0,1.0,193.0,8.0,6.0,3.0,4.0,15.0,2.0,4.0,178.0,162.0,45.0,3.0,19.0,7.0,22.0,1.0,1.0,2.0,1.0,2.0,34.0,17.0,6.0,3.0,27.0,29.0,319.0,1.0,1.0,0.0,245.0,9.0,2.0,2.0,3.0,70.0,77.0,9.0,71.0,2.0,31.0,3.0,11.0,3.0,153.0,3.0,6.0,167.0,820.0,13.0,6.0,19.0,23.0,2.0,8.0,2.0,2.0,1.0,6.0,15.0,89.0,3.0,1.0,8595,3.0,210.0,2.0,20.0,1.0,222.0,2.0,7.0,61.0,14.0,4.0,13.0,3.0,12.0,3.0,7.0,2.0,64.0,521.0,6.0,9.0,6.0,76.0,0.0,2.0,3.0,1.0,3.0,2.0,0.0,8.0,2.0,65.6,15.0,7.0,4.0,13.0,8.0,53.0,5.0,3.0,609.0,18.0,1.0,11.0,15.0,7.0,32.0,4.0,421.0,13.0,26.0,10.0,187.0,22.0,1.0,2.0,3.0,23.0,15.0,3.0,16.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,321670,2010-08-22 16:00:00,"Craven Cottage, London",25643,Away,Manchester United,Fulham,2,2,D,1,0,0,0,,,62.0,,1.0,3.0,5.0,44.0,25.0,5.0,4.0,,183.0,18.0,3.0,2.0,4.0,18.0,,8.0,162.0,165.0,28.0,1.0,22.0,1.0,14.0,6.0,1.0,,2.0,3.0,40.0,4.0,7.0,8.0,27.0,35.0,316.0,1.0,,0.0,226.0,7.0,3.0,1.0,1.0,79.0,114.0,12.0,83.0,1.0,32.0,1.0,16.0,3.0,147.0,2.0,10.0,136.0,776.0,14.0,13.0,21.0,20.0,9.0,10.0,1.0,2.0,3.0,6.0,21.0,87.0,1.0,,8595,15.0,175.0,3.0,15.0,,185.0,1.0,8.0,36.0,4.0,2.0,9.0,,11.0,10.0,4.0,3.0,69.0,473.0,7.0,2.0,18.0,83.0,0.0,2.0,5.0,3.0,1.0,3.0,0.0,15.0,1.0,57.2,20.0,2.0,,9.0,6.0,55.0,10.0,1.0,564.0,16.0,1.0,8.0,13.0,8.0,28.0,5.0,419.0,9.0,27.0,12.0,167.0,22.0,,2.0,3.0,6.0,16.0,3.0,9.0,2.0,11.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,6.0,4.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,321683,2010-08-28 17:30:00,"Old Trafford, Manchester",75061,Home,Manchester United,West Ham United,3,0,W,1,0,0,0,,3.0,65.0,,1.0,,4.0,44.0,18.0,9.0,5.0,1.0,168.0,5.0,9.0,3.0,5.0,15.0,,7.0,174.0,135.0,55.0,2.0,21.0,3.0,4.0,,1.0,2.0,2.0,1.0,30.0,24.0,12.0,7.0,27.0,42.0,305.0,1.0,1.0,0.0,219.0,6.0,,1.0,2.0,71.0,63.0,11.0,57.0,1.0,25.0,2.0,7.0,3.0,129.0,4.0,3.0,181.0,784.0,11.0,5.0,22.0,25.0,1.0,8.0,2.0,1.0,2.0,4.0,8.0,83.0,3.0,,8595,8.0,209.0,2.0,18.0,1.0,220.0,2.0,6.0,43.0,10.0,1.0,10.0,2.0,6.0,5.0,5.0,4.0,62.0,509.0,10.0,9.0,6.0,71.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,5.0,1.0,60.3,8.0,3.0,,10.0,7.0,59.0,9.0,2.0,580.0,21.0,2.0,13.0,23.0,7.0,25.0,4.0,390.0,15.0,27.0,5.0,174.0,25.0,2.0,5.0,4.0,31.0,14.0,3.0,20.0,5.0,9.0,,,4.0,,,,,4.0,1.0,,1.0,,,,1.0,,,,2.0,2.0,2.0,,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,321689,2010-09-11 12:45:00,"Goodison Park, Liverpool",36556,Away,Manchester United,Everton,3,3,D,1,1,0,0,,3.0,46.0,1.0,,1.0,1.0,29.0,47.0,4.0,,,143.0,5.0,4.0,3.0,1.0,11.0,,6.0,108.0,156.0,46.0,,13.0,1.0,12.0,2.0,3.0,2.0,1.0,2.0,19.0,14.0,21.0,4.0,20.0,24.0,160.0,1.0,,0.0,118.0,19.0,2.0,1.0,4.0,52.0,50.0,7.0,54.0,,15.0,,2.0,,129.0,4.0,16.0,101.0,606.0,7.0,4.0,10.0,23.0,5.0,30.0,3.0,1.0,9.0,4.0,8.0,56.0,,,8595,5.0,177.0,1.0,13.0,1.0,198.0,2.0,13.0,51.0,1.0,5.0,7.0,2.0,12.0,10.0,7.0,1.0,55.0,332.0,11.0,4.0,24.0,82.0,0.0,,7.0,2.0,2.0,1.0,0.0,4.0,2.0,47.7,6.0,3.0,,7.0,2.0,45.0,5.0,4.0,406.0,7.0,,9.0,15.0,5.0,11.0,4.0,227.0,12.0,19.0,11.0,85.0,8.0,1.0,1.0,13.0,20.0,11.0,1.0,11.0,2.0,5.0,,1.0,3.0,,,3.0,,1.0,,1.0,,4.0,,,1.0,,,,,,1.0,3.0,1.0,3.0,1.0,,2.0,1.0,3.0,,,,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,321701,2010-09-19 13:30:00,"Old Trafford, Manchester",75213,Home,Manchester United,Liverpool,3,2,W,1,0,0,0,,1.0,52.0,2.0,,,2.0,45.0,25.0,6.0,2.0,,150.0,10.0,10.0,3.0,3.0,14.0,,5.0,134.0,147.0,44.0,,19.0,4.0,8.0,2.0,3.0,2.0,1.0,3.0,43.0,10.0,9.0,6.0,18.0,37.0,252.0,1.0,,0.0,173.0,15.0,,,,75.0,97.0,9.0,60.0,1.0,37.0,,15.0,2.0,131.0,1.0,4.0,126.0,664.0,10.0,2.0,16.0,17.0,1.0,15.0,3.0,4.0,,5.0,24.0,64.0,1.0,,8595,9.0,155.0,1.0,22.0,2.0,163.0,1.0,8.0,47.0,4.0,2.0,4.0,2.0,3.0,4.0,8.0,2.0,61.0,397.0,10.0,5.0,8.0,74.0,0.0,,1.0,,3.0,,0.0,8.0,3.0,49.5,23.0,3.0,,4.0,6.0,47.0,6.0,,470.0,12.0,,13.0,20.0,8.0,27.0,5.0,350.0,11.0,16.0,10.0,132.0,27.0,3.0,,6.0,14.0,13.0,3.0,16.0,,6.0,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,2.0,6.0,3.0,,2.0,1.0,,,,1.0,,,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
6,321710,2010-09-26 12:00:00,"Macron Stadium, Bolton",23926,Away,Manchester United,Bolton Wanderers,2,2,D,1,1,0,0,1.0,,60.0,1.0,,2.0,1.0,41.0,41.0,6.0,3.0,,174.0,8.0,9.0,2.0,,13.0,1.0,6.0,120.0,194.0,60.0,,13.0,,14.0,1.0,3.0,1.0,2.0,2.0,41.0,11.0,19.0,10.0,34.0,33.0,253.0,1.0,,0.0,187.0,18.0,,1.0,3.0,52.0,82.0,7.0,84.0,1.0,31.0,,4.0,2.0,172.0,,9.0,124.0,740.0,9.0,10.0,13.0,15.0,7.0,25.0,2.0,2.0,5.0,6.0,28.0,78.0,3.0,1.0,8595,4.0,162.0,,25.0,1.0,179.0,1.0,9.0,55.0,8.0,4.0,7.0,,10.0,6.0,3.0,2.0,66.0,407.0,16.0,4.0,26.0,93.0,0.0,1.0,7.0,,1.0,4.0,0.0,5.0,1.0,65.8,25.0,4.0,,7.0,1.0,53.0,12.0,3.0,502.0,12.0,,12.0,22.0,6.0,18.0,4.0,364.0,8.0,31.0,21.0,141.0,26.0,1.0,1.0,13.0,14.0,,3.0,16.0,1.0,12.0,,1.0,3.0,,,,,3.0,,1.0,,,2.0,,1.0,,,,,2.0,2.0,,1.0,2.0,2.0,1.0,,3.0,2.0,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
7,321722,2010-10-02 15:00:00,"Stadium of Light, Sunderland",41709,Away,Manchester United,Sunderland,0,0,D,0,0,0,0,,,64.0,,,1.0,2.0,25.0,50.0,9.0,1.0,,160.0,5.0,7.0,,2.0,8.0,2.0,1.0,88.0,190.0,53.0,1.0,12.0,2.0,10.0,,1.0,,,3.0,22.0,11.0,28.0,4.0,12.0,24.0,158.0,1.0,1.0,0.0,106.0,7.0,2.0,,1.0,58.0,52.0,5.0,73.0,3.0,18.0,1.0,10.0,6.0,168.0,,9.0,87.0,653.0,8.0,4.0,20.0,26.0,6.0,34.0,,2.0,9.0,3.0,23.0,66.0,,,8595,2.0,156.0,,6.0,1.0,185.0,,10.0,46.0,2.0,3.0,9.0,,15.0,11.0,4.0,,55.0,309.0,10.0,4.0,31.0,96.0,0.0,,10.0,2.0,,1.0,0.0,4.0,,52.0,20.0,2.0,,9.0,4.0,47.0,4.0,1.0,408.0,15.0,1.0,16.0,12.0,7.0,18.0,1.0,245.0,9.0,12.0,19.0,68.0,23.0,,3.0,19.0,17.0,9.0,3.0,16.0,3.0,4.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,,2.0,2.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,321734,2010-10-16 15:00:00,"Old Trafford, Manchester",75272,Home,Manchester United,West Bromwich Albion,2,2,D,2,0,0,0,1.0,2.0,66.0,1.0,1.0,1.0,4.0,39.0,24.0,8.0,6.0,2.0,149.0,7.0,8.0,2.0,6.0,13.0,1.0,6.0,110.0,150.0,44.0,4.0,20.0,3.0,8.0,3.0,1.0,1.0,,,25.0,14.0,14.0,3.0,11.0,28.0,207.0,2.0,,0.0,129.0,10.0,,1.0,,66.0,61.0,8.0,53.0,2.0,22.0,4.0,6.0,4.0,140.0,2.0,5.0,110.0,649.0,11.0,5.0,31.0,22.0,2.0,12.0,1.0,1.0,1.0,5.0,21.0,64.0,1.0,,8595,9.0,147.0,1.0,15.0,1.0,164.0,,10.0,52.0,3.0,3.0,7.0,1.0,11.0,5.0,8.0,1.0,53.0,347.0,9.0,6.0,14.0,67.0,0.0,2.0,2.0,,2.0,1.0,0.0,6.0,1.0,56.0,20.0,4.0,2.0,7.0,7.0,43.0,3.0,1.0,422.0,26.0,1.0,13.0,17.0,7.0,19.0,2.0,283.0,11.0,6.0,10.0,99.0,33.0,1.0,1.0,5.0,17.0,14.0,3.0,23.0,1.0,3.0,,,3.0,,,1.0,,1.0,,,,2.0,2.0,1.0,2.0,,,,,,1.0,1.0,,2.0,2.0,1.0,,1.0,2.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,
9,321741,2010-10-24 13:30:00,"bet365 Stadium, Stoke",27372,Away,Manchester United,Stoke City,2,1,W,1,0,0,0,,1.0,62.0,,,,2.0,44.0,52.0,5.0,4.0,,177.0,6.0,4.0,2.0,2.0,10.0,,3.0,137.0,187.0,39.0,1.0,14.0,2.0,17.0,,,,,2.0,17.0,7.0,27.0,1.0,26.0,37.0,204.0,1.0,,0.0,118.0,14.0,,,3.0,71.0,73.0,4.0,78.0,2.0,16.0,1.0,5.0,2.0,162.0,2.0,6.0,119.0,708.0,8.0,11.0,14.0,25.0,4.0,38.0,1.0,2.0,2.0,6.0,29.0,58.0,,,8595,4.0,199.0,1.0,11.0,,234.0,1.0,7.0,53.0,4.0,1.0,4.0,1.0,12.0,5.0,6.0,1.0,76.0,397.0,7.0,6.0,30.0,102.0,0.0,,5.0,,2.0,5.0,0.0,5.0,1.0,62.3,22.0,,2.0,4.0,4.0,59.0,6.0,3.0,511.0,12.0,,7.0,21.0,7.0,17.0,5.0,294.0,8.0,24.0,19.0,82.0,28.0,2.0,5.0,18.0,9.0,10.0,3.0,13.0,5.0,6.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
10,321754,2010-10-30 17:30:00,"Old Trafford, Manchester",75223,Home,Manchester United,Tottenham Hotspur,2,0,W,1,0,0,0,4.0,1.0,72.0,1.0,1.0,1.0,1.0,30.0,27.0,10.0,9.0,,182.0,1.0,5.0,2.0,,17.0,1.0,10.0,128.0,139.0,47.0,1.0,19.0,,13.0,3.0,5.0,,2.0,2.0,7.0,18.0,15.0,,20.0,20.0,241.0,1.0,1.0,0.0,170.0,12.0,1.0,1.0,,53.0,76.0,9.0,70.0,2.0,7.0,1.0,2.0,3.0,127.0,,5.0,129.0,682.0,16.0,8.0,26.0,27.0,6.0,16.0,1.0,0.0,4.0,8.0,15.0,60.0,4.0,,8595,2.0,178.0,,4.0,1.0,193.0,1.0,6.0,49.0,7.0,3.0,4.0,,6.0,8.0,3.0,,55.0,418.0,10.0,9.0,33.0,97.0,0.0,2.0,4.0,1.0,2.0,,0.0,1.0,1.0,51.3,14.0,6.0,2.0,4.0,1.0,54.0,1.0,,509.0,23.0,,11.0,15.0,8.0,18.0,3.0,323.0,9.0,19.0,12.0,127.0,34.0,,2.0,9.0,20.0,,3.0,9.0,2.0,1.0,,1.0,4.0,,,1.0,,5.0,,,,,2.0,,,,,,,,,1.0,,,1.0,,2.0,,,,,,2.0,,,,,2.0,,1.0,2.0,,1.0,,1.0,,,,,,,1.0,,1.0,,2.0,1.0,,,1.0,,,,,,,,,
