gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attFreekickGoal,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,wonCorners,accuratePullBack,shotFastbreak,attBxRight,accurateKeeperSweeper,goalFastbreak,attMissHighRight,totalFastbreak,attGoalHighCentre,totalKeeperSweeper,errorLeadToShot,totalPullBack,attFastbreak,punches,savedIbox,accurateCrossNocorner,shieldBallOop,attBxLeft,effectiveBlockedCross,attHdGoal,blockedCross,attLfTarget,attPenTarget,postScoringAtt,attIboxPost,penaltyWon,attMissRight,hitWoodwork,attMissHighLeft,attCmissHighLeft,attPenGoal,attGoalHighLeft,attPostHigh,clearanceOffLine,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attObxLeft,freekickCross,interceptionsInBox,accurateFreekickCross,attCmissLeft,attOboxPost,goalsConceded,errorLeadToGoal,attCmissRight,attSvHighRight,attHdPost,attCmissHighRight,attPostRight,attGoalHighRight,defenderGoals,foulThrowIn,attPostLeft,attSvHighLeft,goalsConcededIbox,attObxRight,attObxdRight,attObxdLeft,penaltyConceded,penaltyFaced,penGoalsConceded,ownGoals,attIboxOwnGoal,penaltySave,attLgCentre
1,321661,2010-08-14 17:30:00,"Stamford Bridge, London",41589,Home,Chelsea,West Bromwich Albion,6,0,W,2,0,0,0,1.0,4.0,49.0,2.0,3.0,1.0,1.0,45.0,10.0,10.0,3.0,1.0,5.0,182.0,1.0,1.0,11.0,6.0,4.0,8.0,12.0,151.0,124.0,44.0,4.0,19.0,1.0,4.0,3.0,2.0,2.0,1.0,11.0,12.0,3.0,6.0,3.0,32.0,42.0,253.0,1.0,2.0,0.0,139.0,12.0,1.0,3.0,2.0,2.0,108.0,57.0,5.0,90.0,8.0,4.0,2.0,4.0,120.0,2.0,1.0,169.0,782.0,5.0,5.0,1.0,12.0,21.0,1.0,8.0,2.0,1.0,4.0,3.0,36.0,65.0,1.0,8442,4.0,273.0,1.0,6.0,1.0,3.0,278.0,5.0,9.0,42.0,2.0,3.0,3.0,4.0,3.0,10.0,10.0,4.0,4.0,58.0,525.0,10.0,7.0,1.0,3.0,91.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,59.5,32.0,1.0,2.0,1.0,4.0,2.0,67.0,3.0,3.0,592.0,11.0,1.0,12.0,28.0,5.0,11.0,1.0,1.0,325.0,14.0,30.0,7.0,97.0,20.0,3.0,5.0,16.0,9.0,3.0,19.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,321676,2010-08-21 17:15:00,"DW Stadium, Wigan",14476,Away,Chelsea,Wigan Athletic,6,0,W,1,0,0,0,2.0,5.0,62.0,3.0,2.0,4.0,,21.0,21.0,2.0,,,2.0,167.0,,3.0,9.0,6.0,1.0,8.0,8.0,97.0,147.0,64.0,1.0,11.0,1.0,7.0,2.0,5.0,,1.0,12.0,24.0,,16.0,,18.0,31.0,161.0,1.0,,0.0,113.0,10.0,1.0,2.0,1.0,,57.0,34.0,7.0,64.0,12.0,1.0,5.0,1.0,142.0,5.0,6.0,102.0,637.0,3.0,3.0,,13.0,25.0,4.0,14.0,5.0,2.0,6.0,1.0,24.0,70.0,2.0,8442,4.0,189.0,1.0,7.0,,,218.0,4.0,9.0,44.0,,5.0,5.0,6.0,6.0,12.0,9.0,4.0,,42.0,347.0,12.0,10.0,,15.0,74.0,1.0,,0.0,,1.0,,6.0,1.0,0.0,5.0,2.0,48.8,16.0,,2.0,,6.0,1.0,45.0,,,430.0,9.0,,15.0,23.0,2.0,21.0,,1.0,224.0,9.0,18.0,8.0,74.0,24.0,4.0,11.0,35.0,10.0,3.0,13.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,321681,2010-08-28 15:00:00,"Stamford Bridge, London",40931,Home,Chelsea,Stoke City,2,0,W,1,0,0,0,,2.0,56.0,,1.0,1.0,1.0,33.0,24.0,10.0,5.0,,3.0,218.0,,6.0,5.0,2.0,4.0,16.0,7.0,156.0,145.0,42.0,2.0,21.0,4.0,11.0,3.0,1.0,1.0,4.0,21.0,11.0,2.0,16.0,5.0,32.0,34.0,344.0,1.0,,0.0,169.0,6.0,1.0,1.0,1.0,2.0,91.0,52.0,8.0,77.0,16.0,2.0,3.0,4.0,137.0,5.0,7.0,190.0,828.0,14.0,3.0,1.0,11.0,27.0,2.0,13.0,1.0,0.0,2.0,8.0,20.0,92.0,6.0,8442,7.0,229.0,5.0,13.0,,1.0,243.0,2.0,9.0,40.0,,11.0,2.0,6.0,1.0,16.0,3.0,4.0,1.0,51.0,567.0,10.0,4.0,1.0,8.0,80.0,2.0,,0.0,1.0,1.0,1.0,2.0,,0.0,1.0,2.0,73.0,16.0,1.0,2.0,1.0,7.0,5.0,58.0,6.0,2.0,641.0,10.0,,11.0,16.0,9.0,19.0,1.0,4.0,419.0,14.0,30.0,14.0,123.0,18.0,1.0,8.0,13.0,14.0,3.0,13.0,6.0,1.0,2.0,1.0,,1.0,1.0,3.0,,,,1.0,2.0,2.0,,5.0,1.0,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,321695,2010-09-11 15:00:00,"Boleyn Ground, London",33014,Away,Chelsea,West Ham United,3,1,W,2,0,0,0,1.0,2.0,65.0,1.0,,1.0,3.0,41.0,28.0,7.0,4.0,,3.0,178.0,1.0,8.0,15.0,3.0,6.0,14.0,7.0,129.0,131.0,58.0,2.0,18.0,,10.0,1.0,1.0,1.0,2.0,15.0,14.0,3.0,15.0,5.0,31.0,37.0,199.0,,,0.0,114.0,11.0,,2.0,1.0,3.0,65.0,49.0,8.0,98.0,10.0,2.0,4.0,4.0,118.0,3.0,6.0,132.0,751.0,11.0,9.0,,19.0,33.0,5.0,12.0,2.0,2.0,5.0,6.0,17.0,69.0,1.0,8442,4.0,279.0,1.0,5.0,,3.0,290.0,1.0,8.0,43.0,1.0,5.0,,9.0,1.0,11.0,9.0,3.0,3.0,62.0,470.0,13.0,2.0,1.0,17.0,92.0,2.0,,0.0,1.0,4.0,1.0,3.0,1.0,0.0,2.0,2.0,57.4,14.0,,,,9.0,3.0,55.0,5.0,3.0,537.0,14.0,1.0,13.0,26.0,8.0,16.0,3.0,3.0,262.0,12.0,27.0,12.0,74.0,15.0,1.0,5.0,18.0,10.0,3.0,23.0,5.0,,2.0,3.0,3.0,,2.0,2.0,,3.0,,,2.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,,1.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,321699,2010-09-19 16:00:00,"Stamford Bridge, London",41761,Home,Chelsea,Blackpool,4,0,W,4,0,0,0,1.0,2.0,61.0,,1.0,1.0,3.0,41.0,13.0,10.0,10.0,3.0,4.0,173.0,2.0,9.0,15.0,4.0,1.0,23.0,8.0,155.0,122.0,42.0,1.0,28.0,4.0,10.0,3.0,2.0,3.0,2.0,29.0,12.0,2.0,7.0,8.0,20.0,43.0,232.0,1.0,,0.0,164.0,8.0,1.0,2.0,1.0,5.0,65.0,52.0,12.0,69.0,21.0,1.0,4.0,4.0,116.0,4.0,6.0,137.0,752.0,17.0,5.0,,25.0,21.0,2.0,6.0,3.0,1.0,4.0,11.0,24.0,76.0,4.0,8442,11.0,252.0,3.0,17.0,1.0,,259.0,,14.0,40.0,1.0,7.0,3.0,4.0,2.0,8.0,5.0,9.0,4.0,56.0,475.0,4.0,4.0,3.0,9.0,87.0,,,0.0,,,6.0,4.0,3.0,0.0,3.0,2.0,56.5,22.0,2.0,1.0,,4.0,7.0,63.0,9.0,5.0,534.0,22.0,,9.0,26.0,13.0,20.0,5.0,9.0,304.0,15.0,20.0,10.0,122.0,33.0,1.0,4.0,13.0,23.0,3.0,25.0,9.0,,3.0,1.0,,,2.0,3.0,,,1.0,1.0,3.0,,2.0,4.0,,,2.0,,2.0,1.0,,,,,5.0,,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
6,321713,2010-09-25 12:45:00,"Etihad Stadium, Manchester",47203,Away,Chelsea,Manchester City,0,1,L,0,0,0,0,,,66.0,,,,1.0,34.0,17.0,10.0,6.0,,2.0,157.0,,4.0,17.0,,2.0,13.0,4.0,136.0,144.0,60.0,,18.0,3.0,7.0,2.0,,2.0,2.0,21.0,12.0,2.0,10.0,3.0,19.0,32.0,258.0,,,0.0,132.0,13.0,1.0,,2.0,3.0,95.0,32.0,6.0,55.0,19.0,,7.0,5.0,137.0,1.0,3.0,151.0,734.0,11.0,4.0,1.0,25.0,30.0,3.0,11.0,,3.0,4.0,7.0,17.0,59.0,3.0,88821,4.0,188.0,1.0,10.0,,1.0,198.0,,9.0,62.0,,6.0,1.0,9.0,,12.0,7.0,6.0,1.0,45.0,442.0,11.0,5.0,2.0,7.0,70.0,,,0.0,,3.0,3.0,,1.0,0.0,,4.0,57.0,14.0,2.0,1.0,,9.0,4.0,53.0,4.0,3.0,503.0,15.0,,22.0,24.0,10.0,15.0,2.0,4.0,326.0,8.0,19.0,12.0,95.0,24.0,,6.0,20.0,13.0,3.0,32.0,4.0,,,,,,2.0,,,,,,,2.0,3.0,3.0,3.0,2.0,1.0,,1.0,1.0,,1.0,1.0,,3.0,1.0,1.0,,,,,,1.0,,,,2.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
7,321718,2010-10-03 16:00:00,"Stamford Bridge, London",41828,Home,Chelsea,Arsenal,2,0,W,1,0,0,0,,,72.0,1.0,,2.0,1.0,30.0,26.0,8.0,5.0,1.0,3.0,153.0,,6.0,10.0,2.0,5.0,14.0,7.0,98.0,153.0,55.0,2.0,17.0,2.0,12.0,3.0,1.0,,2.0,17.0,18.0,2.0,14.0,8.0,21.0,35.0,164.0,1.0,1.0,0.0,127.0,6.0,2.0,,,2.0,30.0,51.0,9.0,69.0,9.0,2.0,1.0,3.0,141.0,2.0,7.0,85.0,625.0,11.0,11.0,,24.0,29.0,11.0,19.0,1.0,1.0,4.0,5.0,14.0,74.0,2.0,88821,5.0,168.0,3.0,7.0,,,181.0,1.0,10.0,50.0,1.0,7.0,8.0,6.0,1.0,12.0,9.0,6.0,3.0,56.0,326.0,11.0,10.0,2.0,23.0,75.0,3.0,1.0,0.0,,2.0,10.0,1.0,3.0,0.0,1.0,1.0,47.0,12.0,1.0,4.0,1.0,6.0,3.0,48.0,10.0,2.0,405.0,20.0,1.0,12.0,23.0,7.0,17.0,2.0,4.0,241.0,11.0,18.0,13.0,76.0,25.0,1.0,10.0,21.0,13.0,3.0,20.0,10.0,,,2.0,4.0,,,,,5.0,1.0,,,,2.0,4.0,,1.0,1.0,,1.0,2.0,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,
8,321728,2010-10-16 17:30:00,"Villa Park, Birmingham",40122,Away,Chelsea,Aston Villa,0,0,D,0,0,0,0,1.0,,70.0,,,,,20.0,18.0,9.0,8.0,,3.0,187.0,,6.0,10.0,,3.0,10.0,4.0,148.0,151.0,54.0,,15.0,3.0,14.0,1.0,,1.0,1.0,26.0,18.0,3.0,13.0,3.0,20.0,32.0,298.0,1.0,,0.0,177.0,12.0,1.0,,,1.0,94.0,62.0,6.0,68.0,23.0,,6.0,3.0,146.0,1.0,10.0,153.0,750.0,8.0,9.0,,11.0,22.0,2.0,12.0,,3.0,3.0,4.0,24.0,87.0,,88821,1.0,178.0,1.0,13.0,,,194.0,,7.0,49.0,,5.0,3.0,7.0,,5.0,2.0,4.0,,39.0,470.0,11.0,,2.0,11.0,83.0,1.0,,0.0,,2.0,9.0,,1.0,0.0,,2.0,60.0,21.0,,2.0,1.0,7.0,3.0,55.0,5.0,2.0,556.0,11.0,,13.0,17.0,8.0,22.0,3.0,3.0,388.0,5.0,18.0,10.0,126.0,37.0,,9.0,23.0,13.0,3.0,21.0,5.0,,,1.0,,,1.0,,,,2.0,,,,2.0,3.0,2.0,3.0,1.0,,1.0,1.0,,2.0,2.0,,,2.0,4.0,,,,1.0,,,,,,4.0,,1.0,,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,
9,321738,2010-10-23 15:00:00,"Stamford Bridge, London",41752,Home,Chelsea,Wolverhampton Wanderers,2,0,W,1,0,0,0,,2.0,60.0,,1.0,5.0,4.0,24.0,20.0,7.0,5.0,,3.0,163.0,1.0,7.0,9.0,2.0,4.0,16.0,5.0,127.0,132.0,41.0,1.0,19.0,1.0,5.0,2.0,2.0,,1.0,30.0,13.0,1.0,14.0,7.0,27.0,20.0,248.0,1.0,,0.0,158.0,10.0,4.0,1.0,1.0,2.0,60.0,51.0,7.0,65.0,23.0,1.0,6.0,5.0,126.0,2.0,9.0,118.0,674.0,12.0,3.0,,13.0,25.0,2.0,11.0,2.0,1.0,2.0,9.0,18.0,71.0,5.0,88821,7.0,162.0,,16.0,1.0,1.0,181.0,2.0,7.0,38.0,,12.0,2.0,5.0,2.0,10.0,5.0,4.0,,37.0,403.0,7.0,6.0,2.0,9.0,63.0,1.0,,0.0,1.0,,8.0,2.0,2.0,0.0,2.0,2.0,48.5,17.0,2.0,2.0,,5.0,5.0,47.0,8.0,2.0,473.0,11.0,,9.0,13.0,9.0,21.0,3.0,4.0,322.0,12.0,23.0,10.0,117.0,19.0,1.0,6.0,15.0,15.0,3.0,17.0,8.0,1.0,3.0,3.0,,,3.0,3.0,,,1.0,2.0,3.0,2.0,5.0,4.0,2.0,1.0,4.0,,4.0,,,,,,4.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,
10,321749,2010-10-30 15:00:00,"Ewood Park, Blackburn",25836,Away,Chelsea,Blackburn Rovers,2,1,W,1,1,0,0,,2.0,64.0,,2.0,1.0,2.0,34.0,27.0,9.0,7.0,,,197.0,,6.0,4.0,2.0,3.0,11.0,3.0,129.0,182.0,47.0,1.0,16.0,5.0,11.0,1.0,2.0,,3.0,22.0,13.0,,11.0,3.0,32.0,31.0,228.0,,,0.0,160.0,14.0,2.0,,1.0,3.0,60.0,54.0,6.0,84.0,19.0,1.0,4.0,4.0,166.0,3.0,10.0,136.0,753.0,9.0,13.0,,16.0,25.0,7.0,13.0,2.0,2.0,2.0,5.0,24.0,79.0,,88821,7.0,220.0,1.0,13.0,,2.0,239.0,1.0,14.0,49.0,,4.0,2.0,10.0,2.0,12.0,4.0,6.0,,60.0,442.0,12.0,6.0,,25.0,112.0,,,0.0,,1.0,3.0,2.0,3.0,0.0,2.0,2.0,66.1,19.0,1.0,2.0,,10.0,7.0,70.0,5.0,3.0,546.0,11.0,,11.0,20.0,6.0,22.0,1.0,2.0,329.0,7.0,31.0,16.0,102.0,23.0,1.0,4.0,15.0,12.0,2.0,11.0,5.0,,,,,,1.0,,,,1.0,1.0,,2.0,2.0,5.0,2.0,,2.0,1.0,2.0,1.0,,,,,2.0,,,,,,,,,,,,2.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,
