gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,errorLeadToGoal,wonCorners,bigChanceScored,attLfGoal,goals,attCmissRight,possLostAll,attSvHighRight,divingSave,midfielderGoals,possLostCtrl,possWonDef3rd,attMissHighLeft,accurateThroughBall,attCmissHigh,totalThroughBall,attMissHigh,attGoalHighLeft,attIboxGoal,possWonAtt3rd,attFreekickMiss,penAreaEntries,accurateCornersIntobox,possWonMid3rd,effectiveBlockedCross,blockedCross,savedObox,fouledFinalThird,postScoringAtt,attIboxPost,freekickCross,interceptionsInBox,bigChanceCreated,attHdTarget,hitWoodwork,accurateFreekickCross,bigChanceMissed,sixYardBlock,totalPullBack,attFreekickTarget,shieldBallOop,attPostRight,attOpenplay,goalsConcededObox,attGoalLowLeft,attGoalLowCentre,shotFastbreak,goalAssistOpenplay,goalFastbreak,totalFastbreak,attFreekickPost,attGoalHighCentre,goalAssist,attRfGoal,goalsOpenplay,attFastbreak,attOboxPost,attPostHigh,goalAssistIntentional,attObxRight,attHdGoal,accuratePullBack,attPostLeft,errorLeadToShot,attSvLowRight,overrun,cleanSheet,attObxdLeft,goalAssistSetplay,attCmissHighRight,attGoalHighRight,attOboxGoal,attCmissHighLeft,defenderGoals,attFreekickGoal,attObxLeft,forwardGoals,attSvHighLeft,attGoalLowRight,goalAssistDeadball,attHdPost,penaltyConceded,penaltyFaced,penGoalsConceded,secondYellow,ownGoals,attIboxOwnGoal,foulThrowIn,attLgCentre,clearanceOffLine,penaltyWon,attPenGoal,attPenTarget
1,321658,2010-08-14 15:00:00,"Ewood Park, Blackburn",25869,Away,Everton,Blackburn Rovers,0,1,L,0,1,0,0,2.0,2.0,29.0,3.0,25.0,44.0,11.0,8.0,2.0,244.0,5.0,4.0,14.0,4.0,116.0,53.0,1.0,20.0,5.0,10.0,2.0,1.0,2.0,1.0,3.0,33.0,11.0,2.0,21.0,3.0,20.0,27.0,252.0,1.0,0.0,170.0,16.0,2.0,5.0,79.0,71.0,8.0,78.0,2.0,30.0,1.0,20.0,4.0,5.0,31.0,729.0,12.0,10.0,5.0,8.0,32.0,2.0,1.0,1.0,6.0,29.0,92.0,9007,7.0,133.0,10.0,2.0,149.0,10.0,43.0,2.0,13.0,8.0,2.0,5.0,50.0,380.0,19.0,4.0,2.0,27.0,85.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,69.6,20.0,1.0,1.0,1.0,13.0,8.0,45.0,3.0,6.0,469.0,4.0,10.0,11.0,8.0,4.0,353.0,11.0,17.0,14.0,127.0,17.0,16.0,1.0,3.0,9.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,321669,2010-08-21 15:00:00,"Goodison Park, Liverpool",37767,Home,Everton,Wolverhampton Wanderers,1,1,D,1,0,0,0,,,45.0,1.0,32.0,32.0,5.0,8.0,1.0,185.0,8.0,5.0,9.0,2.0,80.0,58.0,2.0,14.0,3.0,17.0,,2.0,,,2.0,27.0,12.0,1.0,15.0,2.0,18.0,25.0,219.0,,0.0,174.0,17.0,,2.0,45.0,79.0,3.0,51.0,1.0,25.0,2.0,6.0,1.0,5.0,105.0,630.0,8.0,8.0,11.0,11.0,12.0,,1.0,2.0,6.0,29.0,87.0,9007,5.0,112.0,15.0,3.0,137.0,11.0,56.0,3.0,7.0,13.0,5.0,5.0,56.0,323.0,15.0,2.0,1.0,27.0,92.0,,,0.0,3.0,1.0,1.0,2.0,0.0,7.0,2.0,59.3,21.0,2.0,2.0,,7.0,4.0,48.0,3.0,2.0,421.0,8.0,13.0,10.0,8.0,7.0,311.0,4.0,17.0,22.0,126.0,6.0,16.0,1.0,3.0,12.0,,3.0,1.0,1.0,1.0,1.0,184.0,1.0,1.0,1.0,167.0,16.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,31.0,1.0,19.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,321677,2010-08-29 16:00:00,"Villa Park, Birmingham",34725,Away,Everton,Aston Villa,0,1,L,0,1,0,0,1.0,,54.0,3.0,30.0,23.0,13.0,4.0,4.0,186.0,14.0,10.0,17.0,5.0,122.0,49.0,3.0,23.0,9.0,14.0,2.0,1.0,1.0,1.0,2.0,42.0,9.0,3.0,16.0,15.0,26.0,30.0,281.0,1.0,0.0,198.0,10.0,3.0,,94.0,59.0,12.0,80.0,1.0,28.0,3.0,8.0,1.0,8.0,129.0,734.0,14.0,16.0,11.0,5.0,10.0,1.0,0.0,5.0,5.0,25.0,95.0,9007,6.0,142.0,17.0,1.0,163.0,8.0,50.0,,11.0,12.0,7.0,3.0,54.0,409.0,20.0,5.0,3.0,22.0,93.0,,,0.0,4.0,3.0,1.0,1.0,0.0,9.0,4.0,68.3,20.0,3.0,1.0,1.0,11.0,12.0,52.0,18.0,,517.0,9.0,14.0,14.0,6.0,4.0,396.0,14.0,22.0,8.0,141.0,6.0,11.0,1.0,3.0,18.0,1.0,18.0,,,,1.0,187.0,,3.0,,180.0,20.0,,2.0,,5.0,1.0,,,2.0,,25.0,6.0,21.0,2.0,2.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,321689,2010-09-11 12:45:00,"Goodison Park, Liverpool",36556,Home,Everton,Manchester United,3,3,D,1,1,0,0,1.0,,47.0,6.0,25.0,20.0,9.0,10.0,3.0,170.0,10.0,4.0,18.0,6.0,93.0,51.0,3.0,26.0,3.0,11.0,2.0,3.0,,1.0,1.0,32.0,12.0,1.0,10.0,6.0,15.0,20.0,254.0,3.0,0.0,194.0,12.0,1.0,,71.0,59.0,13.0,61.0,4.0,26.0,3.0,11.0,5.0,9.0,117.0,638.0,14.0,9.0,18.0,9.0,9.0,,1.0,2.0,5.0,13.0,85.0,9007,10.0,125.0,13.0,1.0,133.0,7.0,46.0,2.0,7.0,13.0,4.0,2.0,54.0,369.0,19.0,4.0,1.0,33.0,88.0,,,0.0,5.0,2.0,3.0,3.0,0.0,9.0,2.0,52.3,11.0,1.0,2.0,,7.0,9.0,50.0,7.0,,441.0,13.0,10.0,10.0,11.0,5.0,340.0,13.0,15.0,12.0,147.0,4.0,16.0,2.0,2.0,14.0,,7.0,2.0,,3.0,2.0,146.0,1.0,3.0,3.0,136.0,18.0,,2.0,,2.0,2.0,,3.0,2.0,1.0,29.0,1.0,19.0,4.0,4.0,1.0,8.0,1.0,,2.0,3.0,4.0,,1.0,,2.0,1.0,2.0,,,,19.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,321700,2010-09-18 15:00:00,"Goodison Park, Liverpool",38019,Home,Everton,Newcastle United,0,1,L,0,1,0,0,,3.0,53.0,3.0,34.0,21.0,2.0,6.0,,171.0,5.0,4.0,10.0,3.0,88.0,62.0,,12.0,1.0,8.0,2.0,1.0,,,,27.0,18.0,1.0,15.0,2.0,10.0,29.0,182.0,,0.0,159.0,15.0,1.0,2.0,44.0,76.0,6.0,48.0,4.0,25.0,,12.0,,2.0,80.0,595.0,10.0,16.0,20.0,14.0,14.0,,2.0,1.0,4.0,24.0,79.0,9007,9.0,121.0,12.0,3.0,135.0,10.0,51.0,3.0,7.0,14.0,8.0,6.0,56.0,298.0,21.0,8.0,,29.0,82.0,,1.0,0.0,6.0,,1.0,8.0,0.0,5.0,1.0,51.7,19.0,1.0,,,7.0,4.0,50.0,3.0,2.0,387.0,11.0,12.0,13.0,5.0,4.0,279.0,5.0,10.0,13.0,108.0,9.0,24.0,,3.0,12.0,,3.0,,,,,164.0,,2.0,,158.0,19.0,,,,1.0,,,,3.0,,34.0,,21.0,4.0,4.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,,1.0,,9.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,321711,2010-09-25 15:00:00,"Craven Cottage, London",25598,Away,Everton,Fulham,0,0,D,0,0,0,0,1.0,1.0,62.0,1.0,30.0,24.0,10.0,4.0,4.0,187.0,4.0,13.0,13.0,5.0,96.0,74.0,1.0,16.0,3.0,19.0,2.0,1.0,2.0,1.0,2.0,25.0,20.0,3.0,11.0,4.0,25.0,25.0,242.0,,0.0,188.0,13.0,1.0,2.0,93.0,84.0,6.0,94.0,2.0,21.0,1.0,9.0,5.0,5.0,107.0,699.0,12.0,13.0,13.0,7.0,17.0,2.0,1.0,1.0,7.0,19.0,94.0,88894,3.0,142.0,10.0,1.0,169.0,13.0,56.0,5.0,6.0,6.0,6.0,8.0,61.0,380.0,14.0,2.0,1.0,28.0,97.0,1.0,,0.0,4.0,1.0,,6.0,0.0,4.0,,54.2,15.0,,1.0,1.0,6.0,4.0,54.0,5.0,2.0,484.0,9.0,18.0,10.0,7.0,2.0,340.0,12.0,24.0,24.0,132.0,9.0,23.0,,2.0,18.0,,5.0,,,,1.0,181.0,,1.0,,168.0,23.0,,1.0,1.0,4.0,3.0,,,6.0,,29.0,,22.0,1.0,1.0,1.0,3.0,,,2.0,1.0,1.0,,,,1.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,321717,2010-10-02 15:00:00,"St. Andrew's Stadium, Birmingham",23138,Away,Everton,Birmingham City,2,0,W,0,0,0,0,1.0,1.0,49.0,2.0,35.0,28.0,4.0,1.0,,147.0,11.0,9.0,9.0,3.0,83.0,40.0,,12.0,2.0,16.0,2.0,,,,2.0,27.0,6.0,,19.0,5.0,19.0,21.0,205.0,2.0,0.0,160.0,11.0,,2.0,70.0,58.0,5.0,54.0,,22.0,,6.0,2.0,3.0,89.0,581.0,8.0,10.0,15.0,11.0,13.0,,0.0,3.0,4.0,28.0,85.0,9007,6.0,92.0,15.0,1.0,106.0,12.0,45.0,2.0,11.0,8.0,3.0,7.0,60.0,286.0,5.0,6.0,,33.0,94.0,,4.0,0.0,6.0,,,3.0,0.0,8.0,4.0,51.0,22.0,2.0,1.0,,11.0,4.0,48.0,5.0,2.0,373.0,12.0,6.0,11.0,5.0,3.0,294.0,6.0,18.0,17.0,109.0,8.0,9.0,,2.0,16.0,,5.0,1.0,,2.0,,150.0,,,1.0,140.0,18.0,1.0,1.0,,2.0,,,2.0,,,17.0,3.0,11.0,3.0,4.0,,1.0,,,1.0,3.0,1.0,1.0,,,1.0,,,,1.0,,9.0,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,2.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
8,321732,2010-10-17 13:30:00,"Goodison Park, Liverpool",39673,Home,Everton,Liverpool,2,0,W,1,0,0,0,,1.0,52.0,3.0,24.0,40.0,7.0,5.0,1.0,142.0,4.0,7.0,8.0,4.0,50.0,60.0,1.0,13.0,2.0,19.0,,,1.0,,,21.0,19.0,2.0,22.0,8.0,6.0,22.0,106.0,1.0,0.0,115.0,10.0,1.0,1.0,39.0,51.0,6.0,34.0,1.0,13.0,1.0,4.0,2.0,5.0,51.0,509.0,7.0,12.0,16.0,10.0,19.0,1.0,2.0,7.0,2.0,20.0,70.0,9007,6.0,89.0,8.0,,102.0,10.0,61.0,,7.0,14.0,15.0,6.0,51.0,191.0,10.0,7.0,1.0,26.0,71.0,,,0.0,7.0,2.0,,5.0,0.0,3.0,,34.1,12.0,,,1.0,7.0,5.0,32.0,8.0,1.0,277.0,13.0,18.0,7.0,4.0,2.0,196.0,7.0,6.0,16.0,62.0,9.0,27.0,,3.0,14.0,,8.0,1.0,,2.0,,174.0,,2.0,2.0,156.0,22.0,1.0,,,,1.0,,1.0,3.0,,18.0,1.0,16.0,3.0,3.0,4.0,,,,,2.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,2.0,,1.0,,,,,,,,1.0,,2.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
9,321743,2010-10-23 12:45:00,"White Hart Lane, London",35967,Away,Everton,Tottenham Hotspur,1,1,D,1,1,0,0,,,65.0,,20.0,32.0,7.0,3.0,1.0,161.0,2.0,3.0,3.0,2.0,70.0,54.0,2.0,7.0,1.0,8.0,,,,,2.0,22.0,19.0,1.0,17.0,4.0,11.0,23.0,166.0,,0.0,131.0,14.0,1.0,2.0,58.0,45.0,2.0,54.0,,18.0,2.0,5.0,4.0,6.0,70.0,566.0,3.0,6.0,7.0,11.0,17.0,,1.0,3.0,1.0,27.0,74.0,9007,,104.0,9.0,1.0,113.0,11.0,60.0,2.0,6.0,11.0,8.0,2.0,48.0,268.0,15.0,11.0,,30.0,85.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,,46.6,20.0,,,,6.0,1.0,45.0,4.0,2.0,355.0,5.0,22.0,7.0,4.0,,264.0,4.0,9.0,11.0,79.0,7.0,25.0,1.0,3.0,8.0,1.0,4.0,,1.0,1.0,,178.0,,1.0,,163.0,26.0,2.0,,,1.0,,,,1.0,1.0,19.0,,21.0,2.0,2.0,2.0,4.0,,,4.0,,,,,1.0,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
10,321752,2010-10-30 15:00:00,"Goodison Park, Liverpool",35513,Home,Everton,Stoke City,1,0,W,0,0,0,0,,1.0,50.0,2.0,35.0,32.0,9.0,7.0,4.0,179.0,5.0,6.0,15.0,7.0,115.0,57.0,2.0,19.0,4.0,22.0,4.0,3.0,,3.0,1.0,18.0,13.0,2.0,12.0,4.0,18.0,24.0,244.0,1.0,0.0,181.0,16.0,1.0,,76.0,63.0,11.0,69.0,1.0,14.0,2.0,5.0,3.0,6.0,112.0,673.0,13.0,8.0,12.0,1.0,18.0,,1.0,2.0,4.0,22.0,78.0,9007,4.0,141.0,8.0,,165.0,14.0,64.0,2.0,4.0,9.0,5.0,6.0,65.0,380.0,14.0,7.0,2.0,31.0,82.0,1.0,,0.0,2.0,,,1.0,0.0,3.0,2.0,64.4,20.0,1.0,2.0,1.0,4.0,6.0,38.0,6.0,,475.0,10.0,14.0,15.0,6.0,2.0,328.0,10.0,18.0,17.0,131.0,8.0,20.0,,2.0,11.0,,6.0,,1.0,1.0,,171.0,,,,151.0,21.0,1.0,4.0,,4.0,1.0,,1.0,4.0,1.0,17.0,2.0,20.0,3.0,3.0,,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,3.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
