gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attSvHighCentre,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attIboxBlocked,attLfTotal,attFreekickTotal,attIboxTarget,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,freekickTotal,attHdTarget,attMissHighLeft,accurateFreekickCross,attSetpiece,attCmissHigh,attMissHigh,punches,overrun,totalHighClaim,attFreekickMiss,attGoalLowCentre,shotFastbreak,cleanSheet,totalFastbreak,accurateKeeperThrows,attFastbreak,foulThrowIn,possWonAtt3rd,keeperThrows,attLfGoal,goalAssistOpenplay,attGoalHighRight,goalAssist,sixYardBlock,totalPullBack,goalsOpenplay,goalAssistIntentional,goalsConcededObox,accuratePullBack,penaltyConceded,attCmissHighLeft,attSvLowRight,attCmissHighRight,penaltyFaced,errorLeadToGoal,attGoalHighLeft,attHdGoal,attCmissRight,postScoringAtt,attPostLeft,hitWoodwork,attOboxPost,attSvLowCentre,attSvHighRight,attBxLeft,clearanceOffLine,attGoalLowRight,goalAssistSetplay,attObxLeft,penGoalsConceded,attPenTarget,accurateKeeperSweeper,totalKeeperSweeper,defenderGoals,attFreekickTarget,attFreekickPost,midfielderGoals,attPostHigh,attIboxPost,attPostRight,ownGoals,attIboxOwnGoal,goalFastbreak,attOboxGoal,attObxdRight,attObpGoal,attFreekickGoal,goalAssistDeadball,attObxdLeft,attLgCentre
1,321664,2010-08-14 15:00:00,"Stadium of Light, Sunderland",38390,Home,Sunderland,Birmingham City,2,2,D,1,0,1,0,2.0,1.0,50.0,1.0,2.0,22.0,49.0,4.0,1.0,151.0,6.0,5.0,2.0,3.0,7.0,2.0,52.0,199.0,42.0,9.0,1.0,20.0,1.0,3.0,22.0,7.0,1.0,22.0,3.0,17.0,30.0,134.0,1.0,1.0,0.0,133.0,15.0,1.0,47.0,49.0,2.0,42.0,1.0,2.0,19.0,8.0,2.0,1.0,172.0,1.0,7.0,59.0,514.0,6.0,12.0,10.0,20.0,5.0,28.0,2.0,1.0,5.0,33.0,87.0,2.0,1.0,7195,4.0,76.0,1.0,11.0,96.0,1.0,11.0,50.0,4.0,2.0,15.0,6.0,6.0,1.0,59.0,204.0,10.0,1.0,1.0,21.0,96.0,1.0,0.0,6.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,2.0,44.1,15.0,2.0,1.0,1.0,40.0,3.0,304.0,7.0,8.0,12.0,6.0,20.0,1.0,4.0,230.0,7.0,16.0,18.0,70.0,17.0,1.0,3.0,12.0,9.0,2.0,7.0,3.0,13.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,321674,2010-08-21 15:00:00,"The Hawthorns, West Bromwich",23624,Away,Sunderland,West Bromwich Albion,0,1,L,0,0,0,0,1.0,,39.0,,1.0,20.0,28.0,7.0,,144.0,6.0,4.0,,9.0,6.0,2.0,61.0,181.0,51.0,11.0,2.0,18.0,1.0,1.0,26.0,14.0,1.0,16.0,6.0,11.0,31.0,137.0,,,0.0,144.0,14.0,2.0,57.0,44.0,3.0,38.0,1.0,3.0,20.0,9.0,4.0,,169.0,,5.0,60.0,487.0,4.0,17.0,13.0,20.0,8.0,11.0,2.0,1.0,3.0,30.0,94.0,1.0,,66797,3.0,64.0,,7.0,80.0,,11.0,47.0,1.0,3.0,9.0,7.0,5.0,,49.0,195.0,15.0,7.0,2.0,27.0,83.0,1.0,0.0,4.0,1.0,,1.0,5.0,0.0,4.0,,2.0,45.3,18.0,1.0,,3.0,34.0,6.0,303.0,7.0,4.0,17.0,6.0,22.0,2.0,2.0,249.0,4.0,10.0,15.0,76.0,12.0,,4.0,5.0,17.0,1.0,4.0,3.0,9.0,4.0,6.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,321684,2010-08-29 15:00:00,"Stadium of Light, Sunderland",38610,Home,Sunderland,Manchester City,1,0,W,0,0,0,0,,1.0,71.0,,,16.0,26.0,10.0,2.0,166.0,7.0,11.0,1.0,3.0,10.0,3.0,90.0,191.0,61.0,18.0,3.0,12.0,1.0,4.0,30.0,24.0,2.0,17.0,2.0,20.0,34.0,197.0,,1.0,0.0,143.0,5.0,2.0,53.0,74.0,4.0,53.0,3.0,,28.0,17.0,5.0,,182.0,,7.0,83.0,644.0,9.0,7.0,27.0,36.0,4.0,14.0,0.0,6.0,6.0,29.0,77.0,,1.0,66797,7.0,95.0,,10.0,120.0,1.0,4.0,55.0,3.0,2.0,11.0,3.0,1.0,1.0,48.0,285.0,9.0,9.0,1.0,30.0,73.0,,0.0,8.0,2.0,1.0,,2.0,0.0,5.0,1.0,3.0,41.7,24.0,3.0,,6.0,28.0,3.0,392.0,24.0,9.0,15.0,9.0,29.0,2.0,4.0,302.0,12.0,19.0,7.0,88.0,29.0,1.0,1.0,10.0,33.0,,13.0,2.0,31.0,1.0,3.0,,3.0,3.0,1.0,,,2.0,1.0,,1.0,,1.0,,1.0,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,321696,2010-09-11 15:00:00,"DW Stadium, Wigan",15844,Away,Sunderland,Wigan Athletic,1,1,D,0,0,1,0,,1.0,42.0,,1.0,20.0,29.0,2.0,,134.0,3.0,4.0,1.0,4.0,4.0,1.0,60.0,174.0,57.0,6.0,1.0,16.0,2.0,,10.0,15.0,,14.0,1.0,6.0,39.0,97.0,1.0,,0.0,115.0,11.0,2.0,27.0,48.0,3.0,38.0,3.0,,9.0,5.0,1.0,1.0,159.0,1.0,6.0,43.0,462.0,3.0,7.0,28.0,17.0,7.0,15.0,1.0,3.0,1.0,22.0,82.0,,,7195,2.0,76.0,,3.0,89.0,,15.0,54.0,2.0,,12.0,13.0,5.0,,63.0,170.0,18.0,11.0,,33.0,97.0,,0.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,,36.0,17.0,,,3.0,28.0,1.0,275.0,21.0,8.0,16.0,2.0,16.0,,1.0,196.0,3.0,6.0,13.0,48.0,16.0,1.0,1.0,6.0,21.0,1.0,4.0,3.0,12.0,1.0,1.0,,2.0,2.0,1.0,,,,1.0,5.0,1.0,,,,1.0,,1.0,3.0,4.0,5.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,321703,2010-09-18 17:30:00,"Stadium of Light, Sunderland",38950,Home,Sunderland,Arsenal,1,1,D,0,1,0,1,,1.0,69.0,,1.0,35.0,18.0,8.0,1.0,179.0,6.0,9.0,1.0,3.0,11.0,4.0,89.0,201.0,82.0,19.0,2.0,20.0,1.0,1.0,45.0,22.0,1.0,14.0,10.0,20.0,47.0,188.0,2.0,,0.0,182.0,12.0,2.0,55.0,71.0,5.0,55.0,3.0,3.0,35.0,16.0,5.0,,197.0,3.0,7.0,84.0,651.0,10.0,29.0,22.0,33.0,15.0,11.0,3.0,1.0,6.0,29.0,92.0,2.0,,8411,9.0,109.0,3.0,16.0,135.0,1.0,13.0,58.0,4.0,2.0,13.0,9.0,11.0,,65.0,291.0,13.0,9.0,1.0,37.0,95.0,1.0,0.0,3.0,2.0,1.0,1.0,8.0,0.0,5.0,3.0,5.0,53.5,25.0,3.0,,4.0,56.0,11.0,407.0,16.0,8.0,24.0,11.0,37.0,1.0,6.0,317.0,10.0,18.0,32.0,113.0,24.0,1.0,2.0,8.0,28.0,,13.0,3.0,18.0,2.0,11.0,,2.0,4.0,,2.0,1.0,1.0,3.0,,,2.0,1.0,,1.0,,4.0,,4.0,,,,,,,2.0,,,3.0,2.0,,,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,321712,2010-09-25 15:00:00,"Anfield, Liverpool",43626,Away,Sunderland,Liverpool,2,2,D,1,1,0,0,,1.0,63.0,1.0,2.0,21.0,33.0,7.0,1.0,164.0,4.0,6.0,2.0,4.0,7.0,3.0,67.0,189.0,58.0,10.0,,10.0,1.0,1.0,19.0,14.0,1.0,18.0,2.0,14.0,34.0,160.0,,1.0,0.0,158.0,8.0,2.0,44.0,53.0,1.0,43.0,2.0,4.0,17.0,7.0,6.0,,173.0,1.0,7.0,73.0,551.0,5.0,12.0,30.0,30.0,8.0,16.0,1.0,1.0,6.0,18.0,97.0,,1.0,8411,1.0,84.0,,8.0,94.0,1.0,10.0,57.0,,1.0,8.0,7.0,5.0,1.0,67.0,240.0,15.0,12.0,1.0,32.0,102.0,,0.0,3.0,1.0,2.0,2.0,4.0,0.0,2.0,1.0,1.0,45.1,13.0,,,,39.0,3.0,347.0,25.0,14.0,10.0,7.0,28.0,2.0,1.0,272.0,9.0,13.0,16.0,86.0,23.0,2.0,1.0,8.0,21.0,2.0,7.0,3.0,19.0,2.0,3.0,,,,,,,1.0,2.0,,,,1.0,,1.0,,1.0,1.0,5.0,,,,,,,1.0,,,4.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,321722,2010-10-02 15:00:00,"Stadium of Light, Sunderland",41709,Home,Sunderland,Manchester United,0,0,D,0,0,0,0,1.0,,68.0,,1.0,25.0,27.0,11.0,2.0,164.0,5.0,4.0,,3.0,14.0,3.0,83.0,188.0,46.0,20.0,6.0,19.0,3.0,5.0,39.0,15.0,1.0,15.0,8.0,19.0,36.0,162.0,1.0,,0.0,165.0,11.0,1.0,37.0,67.0,10.0,56.0,,1.0,31.0,14.0,3.0,,176.0,1.0,3.0,63.0,571.0,14.0,16.0,15.0,26.0,7.0,15.0,1.0,4.0,4.0,21.0,86.0,,,8411,6.0,103.0,1.0,14.0,111.0,,8.0,53.0,,,7.0,9.0,2.0,,65.0,260.0,7.0,7.0,,31.0,100.0,2.0,0.0,4.0,,,,5.0,0.0,4.0,1.0,1.0,48.0,16.0,1.0,,9.0,46.0,10.0,366.0,9.0,9.0,15.0,8.0,36.0,1.0,4.0,294.0,12.0,18.0,10.0,91.0,29.0,,2.0,8.0,25.0,,14.0,2.0,12.0,2.0,10.0,1.0,3.0,7.0,,2.0,,1.0,3.0,4.0,,,,1.0,4.0,,,,1.0,4.0,,,,1.0,,2.0,,,3.0,2.0,,,,,1.0,1.0,,,,1.0,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,321729,2010-10-18 20:00:00,"Ewood Park, Blackburn",21894,Away,Sunderland,Blackburn Rovers,0,0,D,0,0,0,1,3.0,,53.0,,,34.0,44.0,11.0,2.0,186.0,6.0,3.0,,4.0,11.0,4.0,98.0,198.0,60.0,17.0,4.0,27.0,,4.0,26.0,9.0,1.0,31.0,2.0,15.0,27.0,206.0,2.0,,0.0,153.0,14.0,1.0,56.0,72.0,5.0,49.0,1.0,1.0,24.0,13.0,6.0,,185.0,3.0,4.0,95.0,635.0,10.0,19.0,24.0,25.0,14.0,21.0,1.0,1.0,6.0,22.0,91.0,2.0,,7195,6.0,104.0,3.0,10.0,126.0,,7.0,59.0,8.0,2.0,16.0,5.0,2.0,,74.0,304.0,12.0,6.0,1.0,49.0,104.0,2.0,0.0,5.0,2.0,,,5.0,0.0,6.0,,4.0,57.0,21.0,2.0,,4.0,50.0,3.0,428.0,17.0,8.0,14.0,9.0,28.0,,3.0,328.0,11.0,15.0,34.0,88.0,18.0,,,14.0,10.0,,11.0,2.0,10.0,,3.0,,,2.0,2.0,3.0,,,1.0,1.0,2.0,2.0,,,1.0,,2.0,5.0,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,321742,2010-10-23 15:00:00,"Stadium of Light, Sunderland",41506,Home,Sunderland,Aston Villa,1,0,W,1,0,0,0,,,61.0,,,24.0,42.0,7.0,1.0,147.0,5.0,6.0,1.0,3.0,14.0,1.0,60.0,180.0,58.0,14.0,3.0,22.0,2.0,4.0,22.0,14.0,,27.0,2.0,10.0,21.0,150.0,,,0.0,133.0,12.0,2.0,52.0,64.0,5.0,57.0,2.0,3.0,20.0,4.0,4.0,,165.0,,10.0,72.0,552.0,12.0,10.0,10.0,17.0,17.0,17.0,1.0,5.0,9.0,22.0,83.0,1.0,,7195,3.0,94.0,,12.0,107.0,,11.0,59.0,1.0,5.0,9.0,2.0,1.0,,52.0,239.0,13.0,7.0,2.0,40.0,94.0,2.0,0.0,11.0,3.0,1.0,,2.0,0.0,3.0,2.0,3.0,47.7,18.0,3.0,,4.0,43.0,4.0,336.0,10.0,13.0,13.0,9.0,19.0,2.0,5.0,251.0,9.0,10.0,20.0,82.0,30.0,,4.0,12.0,19.0,,11.0,3.0,11.0,4.0,4.0,,1.0,2.0,,1.0,,,4.0,,,,,,1.0,,2.0,3.0,5.0,,,,1.0,1.0,1.0,1.0,1.0,,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10,321755,2010-10-31 13:30:00,"St. James' Park, Newcastle",51988,Away,Sunderland,Newcastle United,1,5,L,0,3,1,0,,1.0,64.0,,2.0,20.0,25.0,4.0,2.0,135.0,5.0,3.0,1.0,1.0,11.0,5.0,79.0,150.0,63.0,14.0,,17.0,2.0,1.0,18.0,20.0,,10.0,6.0,17.0,37.0,136.0,,,0.0,97.0,19.0,3.0,33.0,44.0,7.0,46.0,,2.0,12.0,7.0,5.0,,135.0,2.0,15.0,77.0,527.0,9.0,11.0,7.0,37.0,11.0,15.0,6.0,8.0,4.0,9.0,60.0,1.0,,7195,4.0,131.0,1.0,4.0,148.0,1.0,6.0,63.0,3.0,5.0,12.0,10.0,1.0,,43.0,262.0,9.0,8.0,1.0,23.0,72.0,1.0,0.0,8.0,1.0,1.0,5.0,6.0,1.0,2.0,1.0,2.0,45.6,7.0,1.0,1.0,3.0,38.0,6.0,337.0,6.0,7.0,16.0,6.0,16.0,3.0,1.0,207.0,11.0,15.0,17.0,56.0,21.0,1.0,5.0,5.0,34.0,5.0,9.0,3.0,15.0,5.0,6.0,1.0,3.0,1.0,,4.0,,,1.0,,,1.0,,,2.0,,3.0,,3.0,,,,2.0,,2.0,3.0,2.0,1.0,2.0,3.0,,,,1.0,,,,1.0,,,1.0,,2.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
