gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,savedObox,goals,attPenTarget,attSvLowCentre,attOboxTarget,penaltyWon,midfielderGoals,hitWoodwork,errorLeadToShot,sixYardBlock,attSetpiece,attRfGoal,totalPullBack,ownGoals,attPenGoal,attSvLowRight,attIboxGoal,shieldBallOop,attSvHighCentre,attIboxOwnGoal,errorLeadToGoal,postScoringAtt,penaltyConceded,attOboxPost,penaltyFaced,penGoalsConceded,attPostRight,handBall,attIboxPost,attGoalHighRight,attSvHighRight,attOboxGoal,attHdPost,attHdTarget,attFreekickTarget,attPostHigh,shotFastbreak,totalFastbreak,attFastbreak,goalAssistSetplay,goalAssistDeadball,accurateKeeperSweeper,cleanSheet,attSvHighLeft,goalAssist,totalKeeperSweeper,attObxdLeft,goalAssistIntentional,forwardGoals,attHdGoal,attGoalLowLeft,goalAssistOpenplay,attObxdRight,goalsOpenplay,accuratePullBack,attGoalHighLeft,attObxRight,attGoalLowCentre,attMissHighLeft,foulThrowIn,attLgLeft,penaltySave,attLfGoal,goalFastbreak,attPostLeft,defenderGoals,attGoalHighCentre,secondYellow,goalsConcededObox,attLgCentre,attObxLeft
12,321769,2010-11-10 19:45:00,"Boleyn Ground, London",33023.0,Home,West Ham United,West Bromwich Albion,2,2,D,1,1,0,0,56.0,1.0,35.0,22.0,2.0,2.0,,152.0,5.0,8.0,1.0,8.0,,5.0,87.0,162.0,62.0,,10.0,1.0,17.0,3.0,2.0,2.0,16.0,23.0,17.0,6.0,10.0,27.0,141.0,,0.0,124.0,14.0,,,,1.0,52.0,44.0,5.0,38.0,,,10.0,,3.0,,157.0,1.0,8.0,94.0,588.0,5.0,15.0,13.0,14.0,7.0,15.0,3.0,5.0,3.0,24.0,76.0,,,8055,4.0,144.0,1.0,7.0,156.0,11.0,56.0,1.0,3.0,6.0,8.0,14.0,12.0,5.0,1.0,50.0,280.0,5.0,4.0,3.0,20.0,87.0,2.0,1.0,0.0,2.0,7.0,1.0,2.0,5.0,,0.0,3.0,3.0,50.4,19.0,1.0,6.0,2.0,8.0,2.0,,54.0,6.0,1.0,371.0,12.0,,16.0,14.0,3.0,21.0,2.0,3.0,231.0,5.0,8.0,21.0,67.0,23.0,5.0,13.0,28.0,2.0,5.0,3.0,14.0,5.0,6.0,1.0,1.0,,2.0,2.0,,,,1.0,1.0,,,,,2.0,,,1.0,,1.0,,2.0,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,2.0,,,,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,
13,321784,2010-11-13 15:00:00,"Boleyn Ground, London",31194.0,Home,West Ham United,Blackpool,0,0,D,0,0,0,0,51.0,6.0,23.0,39.0,8.0,10.0,1.0,160.0,10.0,9.0,1.0,24.0,1.0,2.0,66.0,154.0,61.0,,25.0,6.0,13.0,1.0,6.0,4.0,32.0,14.0,21.0,8.0,16.0,13.0,168.0,,0.0,162.0,7.0,1.0,1.0,1.0,2.0,57.0,37.0,13.0,47.0,,2.0,24.0,,9.0,1.0,136.0,3.0,9.0,68.0,591.0,22.0,15.0,12.0,16.0,8.0,20.0,0.0,9.0,11.0,21.0,83.0,1.0,,8055,6.0,103.0,3.0,14.0,111.0,13.0,41.0,,6.0,6.0,6.0,6.0,14.0,7.0,4.0,39.0,261.0,7.0,6.0,2.0,20.0,68.0,,2.0,0.0,1.0,7.0,1.0,,3.0,,0.0,6.0,5.0,48.5,21.0,5.0,3.0,3.0,6.0,12.0,,37.0,8.0,3.0,341.0,8.0,,10.0,8.0,11.0,24.0,4.0,10.0,262.0,10.0,14.0,27.0,107.0,17.0,8.0,8.0,18.0,,23.0,3.0,14.0,8.0,9.0,1.0,,,2.0,,,,1.0,,,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,3.0,3.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
14,321793,2010-11-20 17:30:00,"Anfield, Liverpool",43024.0,Away,West Ham United,Liverpool,0,3,L,0,3,0,0,47.0,1.0,42.0,21.0,4.0,1.0,,161.0,3.0,10.0,2.0,7.0,,1.0,98.0,161.0,60.0,1.0,8.0,1.0,11.0,1.0,1.0,2.0,18.0,20.0,12.0,2.0,17.0,40.0,172.0,,0.0,106.0,11.0,4.0,1.0,2.0,,34.0,58.0,3.0,78.0,,,16.0,1.0,6.0,3.0,152.0,,11.0,103.0,649.0,6.0,15.0,24.0,23.0,14.0,12.0,1.0,7.0,4.0,19.0,75.0,,1.0,8055,3.0,176.0,,8.0,202.0,15.0,55.0,,2.0,1.0,4.0,8.0,12.0,10.0,2.0,59.0,345.0,7.0,10.0,1.0,25.0,90.0,,,0.0,1.0,10.0,3.0,3.0,3.0,,0.0,3.0,3.0,46.3,18.0,2.0,2.0,,4.0,2.0,1.0,59.0,2.0,1.0,440.0,19.0,1.0,22.0,26.0,5.0,18.0,,2.0,256.0,4.0,15.0,14.0,64.0,15.0,2.0,8.0,29.0,3.0,5.0,3.0,14.0,2.0,2.0,,,,3.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,3.0,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
15,321805,2010-11-27 15:00:00,"Boleyn Ground, London",34178.0,Home,West Ham United,Wigan Athletic,3,1,W,1,0,0,0,56.0,2.0,32.0,30.0,6.0,6.0,1.0,147.0,8.0,4.0,1.0,12.0,1.0,5.0,56.0,182.0,52.0,,16.0,3.0,12.0,1.0,1.0,3.0,22.0,19.0,20.0,5.0,9.0,19.0,119.0,,0.0,128.0,8.0,4.0,,1.0,1.0,34.0,44.0,8.0,56.0,1.0,3.0,17.0,,4.0,2.0,172.0,2.0,7.0,48.0,558.0,9.0,22.0,24.0,20.0,13.0,9.0,0.0,5.0,4.0,32.0,87.0,1.0,,8055,4.0,102.0,3.0,12.0,113.0,8.0,66.0,,4.0,5.0,4.0,12.0,4.0,7.0,,67.0,213.0,8.0,12.0,1.0,31.0,85.0,,,0.0,2.0,3.0,2.0,1.0,7.0,,0.0,5.0,1.0,41.0,22.0,,3.0,3.0,4.0,5.0,,50.0,7.0,1.0,307.0,19.0,,22.0,12.0,6.0,22.0,3.0,4.0,216.0,9.0,9.0,18.0,64.0,18.0,2.0,7.0,22.0,1.0,11.0,3.0,16.0,2.0,7.0,,,1.0,1.0,3.0,,,1.0,,2.0,,,,1.0,2.0,,,,,3.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,,1.0,,,1.0,2.0,1.0,,,1.0,,1.0,2.0,1.0,,1.0,1.0,,2.0,2.0,,3.0,,,,,,,,1.0,1.0,1.0,,,,,,,
16,321814,2010-12-05 16:00:00,"Stadium of Light, Sunderland",36940.0,Away,West Ham United,Sunderland,0,1,L,0,1,0,0,53.0,1.0,23.0,45.0,3.0,4.0,1.0,154.0,4.0,10.0,3.0,6.0,,1.0,69.0,180.0,67.0,1.0,8.0,1.0,15.0,,,1.0,18.0,21.0,30.0,2.0,10.0,21.0,149.0,,0.0,117.0,9.0,1.0,,2.0,,37.0,37.0,1.0,48.0,4.0,3.0,16.0,1.0,10.0,1.0,164.0,,7.0,71.0,592.0,6.0,21.0,18.0,20.0,12.0,20.0,3.0,5.0,5.0,19.0,71.0,1.0,,53069,1.0,105.0,,4.0,129.0,12.0,63.0,,1.0,2.0,6.0,16.0,12.0,7.0,,42.0,250.0,6.0,10.0,,25.0,70.0,1.0,1.0,0.0,1.0,9.0,2.0,1.0,8.0,,0.0,4.0,,42.6,16.0,,2.0,3.0,7.0,2.0,1.0,36.0,3.0,1.0,342.0,14.0,,24.0,8.0,5.0,30.0,,3.0,231.0,4.0,8.0,22.0,67.0,19.0,7.0,11.0,29.0,1.0,6.0,3.0,16.0,8.0,3.0,,,,4.0,,,,1.0,,,1.0,2.0,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
17,321825,2010-12-11 15:00:00,"Boleyn Ground, London",32813.0,Home,West Ham United,Manchester City,1,3,L,0,1,0,0,45.0,1.0,21.0,31.0,10.0,7.0,1.0,133.0,5.0,1.0,4.0,13.0,2.0,3.0,68.0,164.0,50.0,2.0,17.0,1.0,20.0,1.0,,5.0,22.0,11.0,20.0,2.0,11.0,24.0,136.0,,0.0,131.0,10.0,2.0,,2.0,,27.0,68.0,5.0,45.0,,2.0,20.0,2.0,10.0,9.0,153.0,,11.0,66.0,531.0,11.0,16.0,18.0,18.0,10.0,21.0,1.0,4.0,8.0,26.0,77.0,,2.0,56872,4.0,102.0,,8.0,117.0,12.0,64.0,2.0,3.0,1.0,4.0,18.0,3.0,4.0,4.0,49.0,233.0,13.0,10.0,1.0,28.0,75.0,,,0.0,1.0,6.0,3.0,3.0,6.0,,0.0,4.0,3.0,38.8,22.0,2.0,2.0,2.0,4.0,2.0,1.0,36.0,2.0,,312.0,14.0,2.0,17.0,12.0,12.0,22.0,1.0,3.0,217.0,6.0,10.0,20.0,83.0,14.0,2.0,13.0,16.0,3.0,13.0,3.0,9.0,2.0,2.0,1.0,,,2.0,1.0,,2.0,1.0,,,,,,1.0,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,
18,321829,2010-12-18 15:00:00,"Ewood Park, Blackburn",21934.0,Away,West Ham United,Blackburn Rovers,1,1,D,0,0,0,0,52.0,,29.0,39.0,3.0,4.0,,139.0,3.0,4.0,2.0,9.0,1.0,2.0,83.0,172.0,50.0,,11.0,1.0,11.0,1.0,1.0,1.0,22.0,11.0,25.0,3.0,9.0,27.0,137.0,1.0,0.0,102.0,10.0,2.0,,2.0,,28.0,48.0,2.0,34.0,1.0,2.0,19.0,,6.0,2.0,158.0,,6.0,85.0,547.0,8.0,14.0,18.0,26.0,9.0,20.0,3.0,2.0,7.0,19.0,57.0,2.0,,92355,3.0,116.0,,11.0,131.0,11.0,43.0,1.0,7.0,6.0,2.0,10.0,8.0,4.0,3.0,52.0,250.0,12.0,1.0,1.0,29.0,94.0,1.0,2.0,0.0,1.0,9.0,1.0,1.0,6.0,1.0,0.0,2.0,1.0,48.0,16.0,1.0,,3.0,2.0,1.0,,46.0,4.0,,341.0,15.0,,14.0,14.0,8.0,21.0,1.0,5.0,232.0,6.0,9.0,20.0,62.0,20.0,5.0,10.0,14.0,1.0,9.0,3.0,11.0,5.0,4.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,
19,321843,2010-12-26 12:00:00,"Craven Cottage, London",25332.0,Away,West Ham United,Fulham,3,1,W,2,1,0,0,52.0,3.0,33.0,44.0,3.0,5.0,,157.0,3.0,2.0,1.0,11.0,,4.0,69.0,171.0,50.0,1.0,14.0,2.0,20.0,1.0,2.0,3.0,17.0,14.0,25.0,4.0,6.0,27.0,118.0,1.0,0.0,130.0,11.0,4.0,,,2.0,43.0,34.0,6.0,37.0,,1.0,13.0,1.0,4.0,1.0,152.0,1.0,10.0,40.0,520.0,10.0,14.0,16.0,17.0,14.0,22.0,1.0,4.0,5.0,19.0,82.0,3.0,,70755,2.0,91.0,,9.0,111.0,13.0,52.0,,3.0,4.0,3.0,9.0,10.0,5.0,,63.0,206.0,12.0,6.0,,39.0,89.0,1.0,2.0,0.0,1.0,8.0,3.0,1.0,4.0,,0.0,3.0,1.0,35.6,16.0,1.0,1.0,4.0,3.0,5.0,,45.0,4.0,2.0,303.0,11.0,,8.0,13.0,5.0,23.0,,4.0,209.0,8.0,6.0,19.0,74.0,19.0,8.0,14.0,17.0,1.0,12.0,1.0,9.0,8.0,4.0,1.0,1.0,1.0,1.0,3.0,,1.0,,,,,,,,2.0,,,,,3.0,2.0,,,,,,,,,,,,1.0,,,,,,,2.0,2.0,2.0,,,1.0,,,1.0,1.0,,1.0,3.0,,1.0,1.0,,3.0,,,,,,1.0,,,1.0,,,,,,,,
20,321855,2010-12-28 17:30:00,"Boleyn Ground, London",33422.0,Home,West Ham United,Everton,1,1,D,1,1,0,0,57.0,3.0,24.0,24.0,5.0,4.0,,157.0,5.0,7.0,3.0,9.0,1.0,,44.0,179.0,63.0,1.0,14.0,3.0,11.0,,1.0,1.0,16.0,11.0,11.0,4.0,9.0,28.0,91.0,1.0,0.0,103.0,12.0,1.0,,1.0,1.0,35.0,18.0,3.0,30.0,1.0,3.0,12.0,1.0,4.0,2.0,166.0,1.0,12.0,52.0,482.0,5.0,14.0,19.0,30.0,12.0,18.0,1.0,3.0,6.0,26.0,76.0,,1.0,56872,6.0,98.0,1.0,7.0,117.0,8.0,48.0,1.0,1.0,1.0,1.0,21.0,4.0,5.0,3.0,60.0,184.0,17.0,6.0,4.0,39.0,86.0,,,0.0,,7.0,2.0,1.0,,,0.0,2.0,4.0,37.5,14.0,4.0,3.0,2.0,1.0,6.0,,40.0,4.0,1.0,283.0,15.0,,11.0,9.0,8.0,22.0,3.0,6.0,182.0,5.0,9.0,24.0,43.0,16.0,6.0,7.0,15.0,1.0,6.0,3.0,15.0,6.0,4.0,,,,,1.0,,,,,,,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,321865,2011-01-01 15:00:00,"Boleyn Ground, London",33500.0,Home,West Ham United,Wolverhampton Wanderers,2,0,W,0,0,0,0,55.0,,30.0,63.0,7.0,4.0,3.0,150.0,4.0,2.0,1.0,7.0,,7.0,62.0,188.0,49.0,,13.0,1.0,20.0,3.0,2.0,1.0,24.0,11.0,35.0,4.0,11.0,24.0,143.0,1.0,0.0,121.0,9.0,4.0,,1.0,1.0,49.0,39.0,5.0,50.0,2.0,1.0,20.0,,3.0,3.0,160.0,1.0,8.0,54.0,549.0,4.0,9.0,9.0,20.0,7.0,32.0,1.0,6.0,2.0,27.0,81.0,,,56872,3.0,88.0,3.0,16.0,109.0,10.0,52.0,,3.0,5.0,4.0,9.0,8.0,3.0,2.0,62.0,227.0,14.0,6.0,2.0,33.0,90.0,1.0,2.0,0.0,3.0,10.0,2.0,,3.0,,0.0,2.0,1.0,48.1,19.0,,4.0,,4.0,1.0,,40.0,5.0,1.0,316.0,8.0,,14.0,17.0,5.0,21.0,2.0,2.0,231.0,8.0,11.0,21.0,73.0,18.0,3.0,15.0,12.0,,10.0,1.0,7.0,3.0,5.0,2.0,,,1.0,2.0,,5.0,3.0,,,1.0,,,,1.0,,,,,2.0,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,
22,321876,2011-01-05 19:45:00,"St. James' Park, Newcastle",42387.0,Away,West Ham United,Newcastle United,0,5,L,0,3,0,0,68.0,,26.0,36.0,9.0,4.0,2.0,168.0,5.0,8.0,4.0,10.0,,3.0,82.0,158.0,57.0,1.0,13.0,3.0,11.0,2.0,,2.0,15.0,17.0,19.0,3.0,8.0,28.0,153.0,1.0,0.0,121.0,13.0,2.0,,3.0,2.0,41.0,40.0,4.0,55.0,,1.0,12.0,1.0,5.0,5.0,141.0,2.0,11.0,68.0,585.0,10.0,14.0,10.0,31.0,10.0,24.0,4.0,1.0,6.0,32.0,70.0,3.0,,53069,1.0,144.0,2.0,4.0,159.0,5.0,57.0,,9.0,5.0,5.0,10.0,3.0,4.0,1.0,45.0,292.0,10.0,11.0,,24.0,69.0,,,0.0,2.0,4.0,3.0,5.0,3.0,,0.0,3.0,,48.4,25.0,,2.0,1.0,6.0,3.0,,37.0,3.0,2.0,373.0,10.0,,13.0,11.0,7.0,13.0,2.0,2.0,229.0,9.0,8.0,16.0,72.0,24.0,2.0,13.0,23.0,5.0,10.0,3.0,18.0,2.0,3.0,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,2.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
23,321885,2011-01-15 17:30:00,"Boleyn Ground, London",32682.0,Home,West Ham United,Arsenal,0,3,L,0,2,0,0,56.0,1.0,23.0,33.0,5.0,2.0,3.0,132.0,3.0,5.0,2.0,3.0,,3.0,47.0,163.0,46.0,1.0,9.0,3.0,13.0,1.0,,1.0,11.0,12.0,19.0,4.0,3.0,30.0,84.0,,0.0,96.0,9.0,5.0,1.0,1.0,1.0,34.0,36.0,1.0,33.0,3.0,,7.0,1.0,1.0,,149.0,,12.0,51.0,483.0,3.0,13.0,20.0,26.0,8.0,17.0,1.0,3.0,2.0,25.0,78.0,,1.0,8055,1.0,94.0,1.0,5.0,108.0,10.0,61.0,1.0,2.0,2.0,2.0,13.0,9.0,6.0,1.0,57.0,175.0,7.0,13.0,,30.0,72.0,,2.0,0.0,3.0,10.0,5.0,3.0,2.0,,0.0,2.0,1.0,30.4,20.0,1.0,1.0,2.0,2.0,4.0,,35.0,4.0,1.0,263.0,14.0,,16.0,14.0,2.0,17.0,1.0,2.0,166.0,6.0,3.0,11.0,37.0,20.0,5.0,10.0,23.0,3.0,7.0,3.0,15.0,5.0,4.0,,,,3.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,321892,2011-01-22 15:00:00,"Goodison Park, Liverpool",34179.0,Away,West Ham United,Everton,2,2,D,1,0,1,0,61.0,1.0,29.0,56.0,7.0,2.0,2.0,150.0,5.0,6.0,1.0,12.0,1.0,5.0,52.0,181.0,55.0,1.0,15.0,,13.0,,2.0,1.0,9.0,19.0,34.0,1.0,14.0,37.0,134.0,2.0,0.0,103.0,14.0,2.0,1.0,,,50.0,33.0,6.0,52.0,3.0,1.0,8.0,1.0,3.0,4.0,159.0,1.0,7.0,64.0,560.0,10.0,8.0,19.0,30.0,11.0,27.0,1.0,2.0,6.0,18.0,71.0,2.0,,8055,6.0,102.0,,5.0,128.0,9.0,61.0,,4.0,7.0,1.0,24.0,5.0,3.0,4.0,49.0,231.0,10.0,11.0,,31.0,77.0,,2.0,0.0,,12.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,39.9,11.0,,1.0,,1.0,1.0,,42.0,2.0,,318.0,15.0,1.0,15.0,22.0,9.0,16.0,,4.0,199.0,11.0,13.0,16.0,64.0,23.0,6.0,14.0,23.0,2.0,12.0,2.0,15.0,6.0,2.0,1.0,1.0,,1.0,2.0,,,3.0,,,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,2.0,,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,2.0,,,2.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,
25,321899,2011-02-02 20:00:00,"Bloomfield Road, Blackpool",15095.0,Away,West Ham United,Blackpool,3,1,W,3,1,0,0,63.0,,24.0,61.0,5.0,5.0,3.0,143.0,2.0,6.0,,8.0,,8.0,65.0,195.0,64.0,,13.0,2.0,17.0,4.0,1.0,2.0,14.0,24.0,36.0,1.0,11.0,25.0,122.0,1.0,0.0,122.0,14.0,2.0,4.0,,,50.0,38.0,7.0,59.0,2.0,,13.0,,5.0,1.0,170.0,,9.0,66.0,599.0,5.0,10.0,16.0,27.0,8.0,28.0,1.0,8.0,1.0,25.0,83.0,,,5716,3.0,113.0,2.0,7.0,129.0,12.0,68.0,,3.0,2.0,,13.0,12.0,6.0,,58.0,233.0,9.0,13.0,1.0,34.0,96.0,,,0.0,2.0,10.0,,1.0,4.0,,0.0,1.0,,43.0,16.0,,4.0,3.0,,2.0,,46.0,6.0,,333.0,13.0,,23.0,12.0,3.0,21.0,1.0,2.0,218.0,8.0,9.0,16.0,61.0,25.0,5.0,14.0,33.0,,,3.0,9.0,5.0,7.0,2.0,,1.0,3.0,3.0,,,1.0,,,,,,3.0,1.0,1.0,,,,2.0,,1.0,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,1.0,1.0,,,,2.0,,,,3.0,,1.0,1.0,,,,1.0,,,,,,,2.0,,,,,,1.0,,
26,321914,2011-02-06 13:30:00,"Boleyn Ground, London",32927.0,Home,West Ham United,Birmingham City,0,1,L,0,0,0,0,55.0,4.0,39.0,30.0,8.0,6.0,3.0,182.0,6.0,3.0,4.0,14.0,3.0,4.0,75.0,192.0,52.0,,18.0,3.0,28.0,1.0,2.0,,37.0,11.0,15.0,5.0,12.0,37.0,163.0,,0.0,150.0,18.0,,1.0,4.0,,30.0,57.0,9.0,41.0,1.0,4.0,32.0,,7.0,3.0,177.0,,5.0,79.0,594.0,12.0,17.0,7.0,13.0,13.0,25.0,3.0,,5.0,24.0,92.0,,1.0,5716,6.0,118.0,,21.0,137.0,11.0,74.0,,3.0,2.0,11.0,8.0,3.0,5.0,2.0,76.0,275.0,13.0,5.0,2.0,41.0,89.0,,,0.0,2.0,5.0,,1.0,6.0,,0.0,5.0,3.0,54.8,21.0,2.0,,,11.0,7.0,,43.0,5.0,,377.0,7.0,,15.0,25.0,7.0,44.0,1.0,3.0,277.0,8.0,10.0,23.0,88.0,24.0,5.0,10.0,13.0,1.0,12.0,3.0,11.0,5.0,5.0,,,,1.0,,,,3.0,,,1.0,,1.0,2.0,,,,,2.0,,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
27,321926,2011-02-12 15:00:00,"The Hawthorns, West Bromwich",23916.0,Away,West Ham United,West Bromwich Albion,3,3,D,0,3,0,0,69.0,2.0,40.0,23.0,5.0,4.0,2.0,163.0,12.0,11.0,4.0,17.0,,9.0,101.0,154.0,59.0,,21.0,2.0,10.0,5.0,2.0,2.0,32.0,21.0,12.0,6.0,16.0,46.0,230.0,,0.0,159.0,14.0,4.0,1.0,2.0,1.0,64.0,58.0,10.0,65.0,,1.0,26.0,,10.0,2.0,143.0,4.0,10.0,117.0,672.0,11.0,12.0,9.0,31.0,8.0,14.0,3.0,3.0,7.0,24.0,88.0,1.0,,8402,10.0,147.0,3.0,14.0,162.0,8.0,50.0,1.0,2.0,3.0,8.0,16.0,10.0,5.0,2.0,68.0,365.0,12.0,10.0,4.0,24.0,73.0,1.0,2.0,0.0,2.0,4.0,4.0,3.0,5.0,,0.0,8.0,7.0,59.1,22.0,2.0,2.0,1.0,8.0,4.0,,45.0,8.0,1.0,446.0,7.0,,13.0,25.0,8.0,27.0,4.0,4.0,316.0,10.0,12.0,12.0,106.0,26.0,1.0,6.0,24.0,2.0,13.0,2.0,14.0,1.0,9.0,1.0,2.0,,4.0,3.0,,3.0,1.0,,,3.0,1.0,,2.0,1.0,1.0,1.0,,2.0,3.0,,,1.0,,2.0,,1.0,,,,,1.0,,,,1.0,3.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,1.0,,2.0,3.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,
28,321934,2011-02-27 13:30:00,"Boleyn Ground, London",34941.0,Home,West Ham United,Liverpool,3,1,W,2,0,0,0,63.0,2.0,30.0,48.0,13.0,7.0,2.0,156.0,3.0,6.0,2.0,14.0,2.0,8.0,78.0,187.0,50.0,1.0,20.0,3.0,14.0,1.0,3.0,1.0,25.0,14.0,22.0,5.0,10.0,24.0,164.0,,0.0,135.0,13.0,3.0,,,1.0,42.0,77.0,8.0,47.0,3.0,3.0,20.0,1.0,8.0,5.0,161.0,1.0,10.0,80.0,612.0,10.0,18.0,21.0,18.0,7.0,26.0,0.0,7.0,6.0,22.0,85.0,,,8402,1.0,105.0,1.0,12.0,125.0,7.0,57.0,1.0,2.0,,8.0,12.0,7.0,4.0,2.0,59.0,266.0,8.0,11.0,2.0,26.0,74.0,1.0,1.0,0.0,1.0,8.0,1.0,1.0,3.0,,0.0,1.0,3.0,42.2,17.0,2.0,2.0,1.0,8.0,5.0,,41.0,6.0,1.0,361.0,19.0,1.0,15.0,13.0,7.0,12.0,2.0,2.0,261.0,10.0,8.0,16.0,80.0,28.0,4.0,13.0,20.0,1.0,16.0,2.0,14.0,4.0,7.0,3.0,,,4.0,3.0,,3.0,4.0,,1.0,,,1.0,,1.0,,,,2.0,2.0,,,,,,,,,,,4.0,,1.0,,1.0,,,,,,,,,,,,,2.0,,,1.0,2.0,1.0,2.0,2.0,,3.0,,,,,1.0,,,,1.0,,,,,,,,
