gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalLowCentre,accuratePullBack,attCmissRight,attObxLeft,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,cleanSheet,penaltyWon,totalFastbreak,midfielderGoals,attSvLowLeft,bigChanceCreated,attMissHighLeft,accurateLaunches,goalAssist,totalKeeperSweeper,accurateThroughBall,bigChanceMissed,attRfGoal,goalsOpenplay,attPenGoal,attFastbreak,attCmissLeft,accurateFlickOn,goalAssistIntentional,attSvHighCentre,attFreekickMiss,forwardGoals,attHdGoal,errorLeadToShot,attCmissHigh,punches,attGoalHighRight,defenderGoals,errorLeadToGoal,attPenPost,attOboxGoal,attLgCentre,attHdTarget,attGoalHighLeft,attPostHigh,penaltySave,accurateFreekickCross,penaltyConceded,attCmissHighLeft,penaltyFaced,goalsConcededObox,foulThrowIn,attPenTarget,shieldBallOop,attFreekickPost,attOboxPost,goalFastbreak,attPostRight,penGoalsConceded,ownGoals,attIboxOwnGoal,attFreekickGoal,attGoalHighCentre,attPenMiss,attHdPost,attObxdRight,attCmissHighRight
1,321662,2010-08-15 16:00:00,"Anfield, Liverpool",44722,Away,Arsenal,Liverpool,1,1,D,0,0,1,1,2.0,1.0,57.0,2.0,2.0,18.0,30.0,9.0,5.0,2.0,174.0,8.0,6.0,1.0,7.0,11.0,3.0,151.0,167.0,54.0,4.0,17.0,4.0,14.0,1.0,1.0,3.0,39.0,1.0,15.0,2.0,18.0,11.0,19.0,17.0,317.0,1.0,1.0,0.0,199.0,17.0,2.0,1.0,1.0,3.0,89.0,72.0,5.0,54.0,1.0,1.0,28.0,4.0,14.0,3.0,1.0,155.0,5.0,1.0,157.0,761.0,7.0,1.0,1.0,16.0,16.0,16.0,2.0,2.0,6.0,20.0,63.0,8597,5.0,151.0,13.0,1.0,1.0,166.0,1.0,4.0,64.0,5.0,1.0,5.0,16.0,3.0,4.0,2.0,35.0,460.0,13.0,5.0,4.0,13.0,76.0,1.0,0.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,5.0,3.0,63.3,20.0,3.0,5.0,1.0,5.0,6.0,1.0,55.0,11.0,3.0,536.0,12.0,19.0,7.0,8.0,26.0,3.0,4.0,409.0,7.0,15.0,15.0,156.0,29.0,2.0,9.0,20.0,1.0,5.0,3.0,17.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,321667,2010-08-21 15:00:00,"Emirates Stadium, London",60032,Home,Arsenal,Blackpool,6,0,W,3,0,0,1,,2.0,71.0,1.0,2.0,18.0,13.0,11.0,9.0,4.0,218.0,6.0,19.0,6.0,2.0,25.0,12.0,149.0,128.0,48.0,1.0,30.0,4.0,8.0,3.0,,4.0,23.0,,12.0,3.0,9.0,5.0,26.0,22.0,334.0,2.0,,0.0,216.0,10.0,,,,1.0,84.0,76.0,16.0,67.0,1.0,2.0,19.0,1.0,6.0,5.0,,124.0,4.0,,147.0,801.0,18.0,6.0,,26.0,21.0,7.0,0.0,2.0,9.0,25.0,77.0,8597,14.0,187.0,13.0,,,194.0,2.0,5.0,44.0,16.0,4.0,6.0,15.0,1.0,5.0,3.0,24.0,515.0,5.0,8.0,2.0,3.0,77.0,1.0,0.0,,,2.0,,6.0,,0.0,5.0,2.0,53.3,21.0,1.0,3.0,1.0,6.0,6.0,,62.0,8.0,1.0,581.0,24.0,9.0,14.0,12.0,30.0,2.0,7.0,410.0,19.0,23.0,10.0,173.0,40.0,3.0,4.0,14.0,,21.0,3.0,28.0,3.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,5.0,2.0,6.0,1.0,1.0,5.0,1.0,8.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,321678,2010-08-28 12:45:00,"Ewood Park, Blackburn",25059,Away,Arsenal,Blackburn Rovers,2,1,W,1,1,0,0,,2.0,59.0,,3.0,18.0,52.0,4.0,3.0,1.0,190.0,2.0,10.0,2.0,1.0,13.0,5.0,143.0,198.0,62.0,,14.0,1.0,14.0,3.0,,,19.0,,18.0,,30.0,6.0,27.0,28.0,259.0,,,0.0,167.0,6.0,,,1.0,4.0,59.0,61.0,8.0,63.0,2.0,1.0,13.0,,3.0,3.0,,176.0,10.0,,131.0,781.0,11.0,15.0,,19.0,27.0,24.0,0.0,6.0,5.0,31.0,67.0,8597,5.0,167.0,9.0,,,195.0,1.0,9.0,52.0,6.0,2.0,10.0,15.0,5.0,5.0,4.0,40.0,424.0,9.0,6.0,,24.0,94.0,1.0,0.0,,3.0,4.0,2.0,2.0,1.0,0.0,2.0,,64.7,25.0,,2.0,2.0,10.0,4.0,1.0,56.0,8.0,4.0,527.0,15.0,15.0,17.0,5.0,12.0,,2.0,351.0,11.0,26.0,16.0,119.0,19.0,,11.0,27.0,1.0,12.0,3.0,21.0,,8.0,1.0,1.0,1.0,,,,,,,,3.0,3.0,2.0,2.0,1.0,,,3.0,2.0,1.0,2.0,,7.0,2.0,2.0,1.0,1.0,2.0,2.0,,3.0,,4.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,321687,2010-09-11 15:00:00,"Emirates Stadium, London",59876,Home,Arsenal,Bolton Wanderers,4,1,W,1,1,0,1,1.0,3.0,72.0,,3.0,17.0,34.0,4.0,5.0,4.0,207.0,6.0,10.0,4.0,1.0,19.0,11.0,158.0,162.0,51.0,,22.0,,18.0,5.0,,1.0,16.0,,14.0,2.0,18.0,8.0,33.0,18.0,248.0,1.0,,0.0,165.0,11.0,2.0,,,2.0,46.0,44.0,12.0,67.0,1.0,3.0,8.0,,5.0,2.0,,146.0,5.0,,139.0,803.0,15.0,7.0,,21.0,29.0,19.0,2.0,4.0,7.0,24.0,59.0,8597,9.0,254.0,3.0,,,275.0,1.0,3.0,69.0,15.0,5.0,8.0,7.0,4.0,1.0,3.0,30.0,496.0,11.0,2.0,1.0,10.0,69.0,2.0,0.0,,3.0,6.0,3.0,4.0,1.0,0.0,4.0,4.0,64.3,20.0,3.0,1.0,1.0,9.0,3.0,,44.0,9.0,2.0,571.0,19.0,24.0,8.0,8.0,29.0,2.0,6.0,312.0,13.0,32.0,12.0,127.0,33.0,2.0,10.0,18.0,1.0,18.0,3.0,25.0,2.0,9.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,2.0,2.0,,,1.0,1.0,3.0,8.0,,4.0,3.0,2.0,5.0,5.0,2.0,2.0,,1.0,,3.0,3.0,,,2.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,321703,2010-09-18 17:30:00,"Stadium of Light, Sunderland",38950,Away,Arsenal,Sunderland,1,1,D,1,0,1,0,1.0,,57.0,1.0,,9.0,60.0,8.0,3.0,2.0,167.0,1.0,9.0,1.0,6.0,12.0,4.0,68.0,181.0,58.0,2.0,16.0,1.0,32.0,2.0,1.0,3.0,14.0,1.0,12.0,1.0,30.0,3.0,20.0,22.0,189.0,3.0,1.0,0.0,125.0,14.0,1.0,,2.0,3.0,55.0,58.0,4.0,46.0,3.0,2.0,11.0,2.0,1.0,6.0,1.0,151.0,11.0,,92.0,628.0,11.0,9.0,1.0,19.0,28.0,38.0,1.0,4.0,8.0,20.0,67.0,8597,4.0,101.0,8.0,,1.0,127.0,,13.0,82.0,8.0,,6.0,13.0,8.0,8.0,2.0,37.0,289.0,12.0,9.0,1.0,25.0,79.0,,0.0,,2.0,11.0,2.0,,1.0,1.0,1.0,1.0,46.5,14.0,,1.0,2.0,6.0,1.0,,39.0,3.0,3.0,373.0,15.0,23.0,8.0,11.0,18.0,,4.0,260.0,12.0,19.0,20.0,85.0,18.0,9.0,14.0,17.0,1.0,12.0,2.0,14.0,9.0,3.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,4.0,,1.0,3.0,2.0,1.0,1.0,,1.0,2.0,5.0,,,2.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
6,321707,2010-09-25 15:00:00,"Emirates Stadium, London",60025,Home,Arsenal,West Bromwich Albion,2,3,L,0,0,0,0,1.0,1.0,51.0,,5.0,23.0,15.0,10.0,6.0,1.0,171.0,15.0,11.0,2.0,8.0,19.0,6.0,146.0,159.0,52.0,2.0,28.0,6.0,15.0,2.0,2.0,2.0,56.0,2.0,12.0,2.0,9.0,15.0,18.0,17.0,280.0,3.0,,0.0,197.0,16.0,2.0,,5.0,1.0,104.0,63.0,12.0,49.0,1.0,1.0,41.0,2.0,13.0,2.0,,153.0,6.0,2.0,156.0,754.0,12.0,8.0,3.0,10.0,20.0,8.0,4.0,1.0,7.0,31.0,68.0,8597,8.0,181.0,23.0,1.0,5.0,197.0,,4.0,60.0,4.0,1.0,6.0,8.0,2.0,1.0,1.0,31.0,446.0,15.0,7.0,5.0,5.0,63.0,2.0,0.0,,,4.0,2.0,2.0,3.0,0.0,11.0,4.0,64.3,30.0,2.0,2.0,3.0,6.0,11.0,,48.0,16.0,1.0,522.0,9.0,15.0,11.0,11.0,29.0,4.0,7.0,381.0,16.0,14.0,5.0,156.0,22.0,2.0,5.0,21.0,3.0,16.0,3.0,19.0,2.0,16.0,1.0,1.0,,,,1.0,1.0,,,,,3.0,1.0,2.0,,,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,,,1.0,2.0,1.0,2.0,,,,,,,,,2.0,,,,2.0,,,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
7,321718,2010-10-03 16:00:00,"Stamford Bridge, London",41828,Away,Arsenal,Chelsea,0,2,L,0,1,0,0,1.0,,54.0,2.0,2.0,27.0,22.0,9.0,3.0,3.0,152.0,6.0,10.0,,3.0,14.0,4.0,112.0,152.0,50.0,,16.0,2.0,13.0,2.0,,3.0,31.0,,15.0,2.0,15.0,9.0,23.0,22.0,231.0,1.0,1.0,0.0,171.0,12.0,3.0,,1.0,2.0,58.0,60.0,8.0,57.0,,2.0,22.0,,9.0,5.0,,145.0,9.0,,120.0,658.0,12.0,10.0,,12.0,21.0,13.0,1.0,3.0,6.0,18.0,55.0,8597,4.0,137.0,12.0,,1.0,159.0,,10.0,55.0,9.0,2.0,12.0,12.0,8.0,7.0,1.0,37.0,362.0,6.0,10.0,2.0,9.0,61.0,1.0,0.0,,,10.0,3.0,,2.0,0.0,3.0,4.0,53.0,16.0,3.0,1.0,1.0,12.0,4.0,,39.0,10.0,3.0,441.0,9.0,15.0,15.0,8.0,22.0,3.0,3.0,313.0,8.0,20.0,12.0,130.0,19.0,2.0,8.0,22.0,1.0,12.0,3.0,16.0,2.0,10.0,,,,,,,,,1.0,,,,3.0,,2.0,,,,,,1.0,1.0,2.0,,3.0,3.0,2.0,,,,,2.0,4.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
8,321727,2010-10-16 15:00:00,"Emirates Stadium, London",60070,Home,Arsenal,Birmingham City,2,1,W,1,1,1,0,1.0,2.0,68.0,2.0,4.0,13.0,25.0,7.0,6.0,3.0,177.0,3.0,17.0,2.0,4.0,16.0,8.0,171.0,150.0,52.0,1.0,20.0,3.0,12.0,3.0,,,23.0,,11.0,3.0,17.0,7.0,21.0,17.0,332.0,1.0,,0.0,216.0,17.0,,,1.0,3.0,62.0,73.0,12.0,70.0,3.0,3.0,16.0,1.0,4.0,1.0,,142.0,4.0,,152.0,787.0,13.0,10.0,,19.0,25.0,14.0,2.0,2.0,4.0,21.0,58.0,8597,8.0,165.0,11.0,,1.0,186.0,,4.0,51.0,9.0,3.0,14.0,10.0,5.0,2.0,,21.0,494.0,10.0,,2.0,12.0,69.0,2.0,0.0,,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,58.1,15.0,1.0,3.0,3.0,14.0,7.0,,48.0,7.0,3.0,570.0,16.0,17.0,10.0,5.0,31.0,1.0,4.0,407.0,12.0,20.0,12.0,181.0,22.0,2.0,7.0,13.0,1.0,15.0,2.0,23.0,2.0,7.0,1.0,2.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,,,1.0,,,,3.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
9,321740,2010-10-24 16:00:00,"Etihad Stadium, Manchester",47393,Away,Arsenal,Manchester City,3,0,W,1,0,0,1,2.0,,61.0,1.0,1.0,34.0,17.0,4.0,1.0,4.0,194.0,6.0,8.0,3.0,6.0,10.0,7.0,202.0,130.0,48.0,,14.0,2.0,7.0,3.0,,1.0,26.0,,18.0,1.0,11.0,6.0,22.0,30.0,380.0,1.0,,0.0,192.0,12.0,4.0,,3.0,2.0,101.0,107.0,6.0,89.0,1.0,1.0,20.0,,6.0,1.0,,124.0,8.0,,179.0,855.0,7.0,1.0,,18.0,23.0,7.0,4.0,3.0,4.0,12.0,58.0,8597,5.0,222.0,11.0,,,244.0,,7.0,57.0,10.0,2.0,11.0,4.0,2.0,4.0,1.0,47.0,596.0,11.0,15.0,1.0,9.0,66.0,2.0,0.0,,2.0,6.0,3.0,3.0,,0.0,5.0,1.0,65.3,12.0,1.0,2.0,3.0,11.0,3.0,,51.0,7.0,2.0,664.0,15.0,18.0,23.0,4.0,27.0,1.0,3.0,446.0,11.0,22.0,5.0,159.0,25.0,,4.0,24.0,,11.0,3.0,15.0,,7.0,2.0,,1.0,,,,,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,4.0,,2.0,2.0,2.0,5.0,3.0,3.0,3.0,,,1.0,,2.0,,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
10,321747,2010-10-30 15:00:00,"Emirates Stadium, London",60086,Home,Arsenal,West Ham United,1,0,W,0,0,0,0,,2.0,69.0,1.0,5.0,12.0,24.0,4.0,4.0,4.0,212.0,7.0,8.0,1.0,6.0,14.0,10.0,143.0,158.0,65.0,2.0,23.0,1.0,12.0,8.0,2.0,1.0,31.0,1.0,21.0,1.0,11.0,7.0,33.0,19.0,293.0,,,0.0,181.0,15.0,,1.0,5.0,1.0,70.0,70.0,10.0,58.0,1.0,2.0,24.0,2.0,4.0,1.0,,145.0,1.0,1.0,133.0,775.0,10.0,8.0,2.0,15.0,20.0,11.0,2.0,,4.0,19.0,60.0,8597,10.0,185.0,15.0,1.0,2.0,202.0,1.0,6.0,63.0,18.0,3.0,10.0,13.0,4.0,4.0,2.0,24.0,471.0,19.0,10.0,3.0,13.0,81.0,,0.0,,1.0,4.0,1.0,1.0,,0.0,6.0,5.0,65.7,19.0,1.0,6.0,4.0,10.0,6.0,,64.0,7.0,1.0,546.0,15.0,19.0,7.0,7.0,25.0,1.0,4.0,375.0,14.0,30.0,12.0,138.0,31.0,3.0,3.0,26.0,,18.0,3.0,15.0,3.0,7.0,1.0,,1.0,,,,,1.0,,,1.0,4.0,1.0,1.0,6.0,1.0,,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,6.0,1.0,,1.0,,1.0,,4.0,1.0,1.0,1.0,,1.0,,1.0,2.0,,,,,,,3.0,,1.0,,2.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
