gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,totalCrossNocorner,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attMissHighRight,penaltyWon,midfielderGoals,attMissRight,accurateThroughBall,attRfGoal,totalThroughBall,attPenGoal,punches,accurateCornersIntobox,forwardGoals,savedObox,attRfTarget,attFreekickTotal,attOboxTarget,interceptionsInBox,freekickTotal,penaltyConceded,attSvLowRight,attFreekickTarget,foulThrowIn,attBxLeft,penaltyFaced,attLfTarget,attLfTotal,attOboxBlocked,attSvLowLeft,attGoalHighCentre,sixYardBlock,attCmissLeft,cleanSheet,attSvLowCentre,errorLeadToShot,errorLeadToGoal,attLfGoal,attPenPost,shotFastbreak,postScoringAtt,attIboxPost,hitWoodwork,defenderGoals,attFastbreak,attOboxPost,attPostHigh,attPostRight,attCmissRight,attCorner,attSvHighCentre,totalFastbreak,attLgCentre,attGoalHighLeft,attGoalLowCentre,attObpGoal,attObxdLeft,attSvHighRight,attCmissHighRight,penGoalsConceded,attFreekickMiss,secondYellow,ptsDroppedWinningPos,ownGoals,attIboxOwnGoal,attOboxGoal,expectedGoalsOnTarget,attGoalHighRight,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,attFreekickGoal,expectedGoals,attObxRight,goalFastbreak,attObxdRight
1,266246,2008-08-16 15:00:00,"Toughsheet Community Stadium, Bolton",22232.0,Away,Stoke City,Bolton Wanderers,1,3,L,0,3,0,0,1.0,2.0,57.0,1.0,2.0,28.0,57.0,1.0,8.0,1.0,7.0,2.0,1.0,4.0,8.0,2.0,184.0,48.0,9.0,22.0,1.0,1.0,1.0,1.0,25.0,7.0,28.0,3.0,10.0,37.0,101.0,0.0,130.0,17.0,1.0,1.0,3.0,4.0,48.0,38.0,4.0,22.0,1.0,12.0,1.0,155.0,8.0,495.0,4.0,11.0,25.0,1.0,5.0,163.0,16.0,1.0,3.0,33.0,1.0,2.0,4.0,4.0,36.0,258.0,93.0,1.0,6769,4.0,81.0,7.0,1.0,91.0,11.0,64.0,2.0,1.0,4.0,1.0,1.0,7.0,5.0,3.0,78.0,175.0,14.0,6.0,3.0,20.0,90.0,0.0,4.0,2.0,1.0,3.0,3.0,0.0,7.0,1.0,1.0,5.0,44.6,26.0,3.0,7.0,4.0,2.0,1.0,34.0,3.0,4.0,280.0,5.0,17.0,13.0,5.0,45.0,4.0,214.0,2.0,9.0,24.0,57.0,23.0,1.0,17.0,8.0,1.0,2.0,3.0,3.0,6.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266260,2008-08-23 15:00:00,"bet365 Stadium, Stoke",,Home,Stoke City,Aston Villa,3,2,W,1,0,0,0,,,30.0,2.0,,16.0,42.0,1.0,,,3.0,6.0,3.0,,7.0,3.0,152.0,53.0,10.0,10.0,,,1.0,,20.0,25.0,25.0,2.0,11.0,40.0,76.0,0.0,78.0,15.0,,,,4.0,41.0,35.0,2.0,18.0,,8.0,1.0,135.0,4.0,469.0,1.0,5.0,,,8.0,,6.0,1.0,3.0,23.0,2.0,1.0,1.0,5.0,29.0,,72.0,,6769,,86.0,9.0,,97.0,12.0,55.0,,,3.0,,,2.0,4.0,1.0,47.0,159.0,5.0,6.0,4.0,21.0,78.0,0.0,8.0,,3.0,2.0,3.0,0.0,2.0,2.0,,5.0,41.1,16.0,4.0,3.0,3.0,,,31.0,2.0,5.0,232.0,8.0,18.0,13.0,7.0,21.0,6.0,155.0,5.0,11.0,11.0,33.0,12.0,1.0,11.0,31.0,1.0,2.0,,3.0,12.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266271,2008-08-30 15:00:00,"Riverside Stadium, Middlesbrough",,Away,Stoke City,Middlesbrough,1,2,L,0,1,1,0,1.0,,29.0,,2.0,17.0,21.0,5.0,,,1.0,3.0,1.0,6.0,4.0,1.0,134.0,46.0,8.0,5.0,,1.0,,1.0,16.0,13.0,10.0,4.0,7.0,26.0,79.0,0.0,96.0,18.0,1.0,,4.0,1.0,49.0,30.0,2.0,12.0,,1.0,4.0,123.0,10.0,381.0,3.0,16.0,,,8.0,,6.0,,3.0,13.0,,4.0,6.0,2.0,19.0,,69.0,,6769,1.0,64.0,7.0,1.0,76.0,13.0,41.0,,,1.0,,,12.0,9.0,2.0,49.0,142.0,14.0,5.0,1.0,20.0,81.0,0.0,4.0,1.0,1.0,2.0,4.0,1.0,,,1.0,,34.4,10.0,,9.0,1.0,2.0,,38.0,5.0,1.0,223.0,8.0,10.0,8.0,5.0,14.0,1.0,163.0,8.0,7.0,14.0,38.0,8.0,,5.0,15.0,,1.0,6.0,3.0,6.0,,5.0,,,,2.0,,,,2.0,,3.0,,1.0,1.0,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266280,2008-09-14 13:30:00,"bet365 Stadium, Stoke",,Home,Stoke City,Everton,2,3,L,0,1,0,0,,1.0,58.0,,3.0,13.0,35.0,5.0,,,5.0,4.0,2.0,6.0,8.0,3.0,152.0,52.0,15.0,12.0,2.0,3.0,,1.0,17.0,8.0,22.0,5.0,17.0,36.0,101.0,0.0,117.0,12.0,,,3.0,1.0,34.0,40.0,5.0,12.0,,3.0,1.0,139.0,10.0,438.0,4.0,15.0,,,21.0,,14.0,,6.0,27.0,,2.0,7.0,3.0,22.0,,68.0,1.0,37869,5.0,62.0,6.0,5.0,74.0,8.0,53.0,,2.0,5.0,,,4.0,4.0,4.0,49.0,158.0,18.0,7.0,4.0,23.0,72.0,0.0,8.0,1.0,2.0,3.0,5.0,0.0,2.0,,2.0,2.0,42.6,9.0,2.0,13.0,5.0,7.0,,30.0,6.0,3.0,242.0,21.0,16.0,13.0,5.0,29.0,4.0,185.0,6.0,13.0,15.0,60.0,23.0,1.0,15.0,15.0,,3.0,3.0,3.0,11.0,1.0,6.0,,,,,,1.0,,1.0,1.0,4.0,,2.0,3.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,5.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266288,2008-09-20 15:00:00,"Anfield, Liverpool",,Away,Stoke City,Liverpool,0,0,D,0,0,0,0,,1.0,24.0,,,22.0,74.0,2.0,,,2.0,2.0,,,2.0,,147.0,44.0,2.0,11.0,,,,,12.0,10.0,45.0,3.0,7.0,15.0,56.0,0.0,89.0,11.0,3.0,,,1.0,35.0,21.0,1.0,9.0,,2.0,1.0,118.0,11.0,396.0,1.0,19.0,,,13.0,,9.0,,7.0,42.0,,1.0,6.0,1.0,10.0,,82.0,,6769,,38.0,6.0,1.0,51.0,27.0,40.0,,3.0,,,,19.0,16.0,1.0,46.0,92.0,8.0,10.0,1.0,29.0,78.0,0.0,19.0,3.0,,,2.0,0.0,1.0,,2.0,,25.4,5.0,,3.0,,1.0,,38.0,3.0,1.0,172.0,13.0,7.0,7.0,1.0,16.0,,133.0,2.0,7.0,19.0,32.0,6.0,6.0,23.0,15.0,,,,3.0,4.0,6.0,3.0,,,,,,,,1.0,,2.0,,2.0,1.0,,3.0,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,266302,2008-09-27 15:00:00,"bet365 Stadium, Stoke",,Home,Stoke City,Chelsea,0,2,L,0,1,0,0,,1.0,49.0,,1.0,25.0,24.0,5.0,,,4.0,4.0,,,7.0,2.0,139.0,38.0,8.0,11.0,2.0,,,,14.0,9.0,15.0,4.0,9.0,28.0,91.0,0.0,100.0,10.0,2.0,,,3.0,45.0,33.0,5.0,10.0,,3.0,3.0,130.0,11.0,474.0,6.0,12.0,,2.0,10.0,,18.0,2.0,10.0,14.0,,2.0,9.0,2.0,23.0,,80.0,,6769,,84.0,4.0,1.0,93.0,10.0,48.0,,1.0,2.0,,,9.0,4.0,,55.0,171.0,10.0,7.0,1.0,27.0,88.0,0.0,5.0,3.0,,2.0,3.0,0.0,2.0,,1.0,2.0,31.7,13.0,,4.0,3.0,3.0,,40.0,4.0,3.0,252.0,10.0,10.0,13.0,3.0,18.0,,173.0,3.0,6.0,10.0,49.0,18.0,2.0,9.0,14.0,,2.0,,3.0,15.0,2.0,5.0,,,,1.0,,,,,,1.0,,,2.0,,2.0,,,,3.0,,,1.0,,,,,,2.0,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,266308,2008-10-05 15:00:00,"Fratton Park, Portsmouth",,Away,Stoke City,Portsmouth,1,2,L,0,1,0,0,1.0,,62.0,1.0,1.0,37.0,55.0,3.0,,,5.0,4.0,1.0,,5.0,3.0,170.0,48.0,9.0,15.0,2.0,,1.0,,22.0,15.0,29.0,4.0,9.0,18.0,107.0,0.0,108.0,16.0,5.0,,,2.0,44.0,33.0,3.0,18.0,,8.0,1.0,144.0,8.0,539.0,2.0,19.0,,1.0,11.0,,20.0,,15.0,27.0,1.0,3.0,4.0,2.0,26.0,,74.0,,6285,,71.0,9.0,1.0,82.0,15.0,64.0,,1.0,4.0,,,12.0,7.0,2.0,70.0,173.0,8.0,8.0,2.0,37.0,89.0,0.0,2.0,4.0,1.0,2.0,12.0,0.0,4.0,1.0,,2.0,38.6,15.0,,11.0,4.0,3.0,,43.0,5.0,2.0,255.0,11.0,16.0,10.0,3.0,31.0,2.0,195.0,3.0,9.0,18.0,58.0,17.0,2.0,16.0,18.0,1.0,1.0,,3.0,13.0,2.0,5.0,,,,,,,1.0,2.0,,3.0,,,1.0,1.0,3.0,,,,2.0,,,1.0,,,,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,266323,2008-10-19 16:00:00,"bet365 Stadium, Stoke",,Home,Stoke City,Tottenham Hotspur,2,1,W,1,1,0,2,,,54.0,1.0,,12.0,24.0,3.0,,,3.0,7.0,2.0,,6.0,4.0,154.0,59.0,11.0,10.0,1.0,,1.0,,21.0,18.0,11.0,5.0,6.0,33.0,117.0,0.0,116.0,16.0,3.0,,,,49.0,50.0,3.0,16.0,,4.0,,141.0,4.0,504.0,4.0,20.0,,,16.0,,11.0,,4.0,17.0,1.0,1.0,3.0,3.0,23.0,,79.0,,6769,,70.0,11.0,,78.0,15.0,51.0,,2.0,1.0,,,8.0,8.0,1.0,37.0,184.0,14.0,5.0,1.0,14.0,80.0,0.0,1.0,1.0,2.0,1.0,10.0,0.0,2.0,1.0,4.0,1.0,45.5,9.0,1.0,17.0,1.0,1.0,,37.0,6.0,,264.0,15.0,10.0,11.0,6.0,27.0,3.0,207.0,7.0,6.0,15.0,63.0,22.0,2.0,8.0,23.0,,1.0,,3.0,17.0,2.0,6.0,1.0,,,,2.0,1.0,2.0,1.0,1.0,7.0,1.0,,1.0,,2.0,2.0,,1.0,1.0,,,,,,,,,3.0,1.0,2.0,,,,,,1.0,,1.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,266327,2008-10-26 15:00:00,"Etihad Stadium, Manchester",44624.0,Away,Stoke City,Manchester City,0,3,L,0,1,0,0,,,55.0,,,33.0,30.0,4.0,6.0,7.0,7.0,6.0,,4.0,9.0,6.0,174.0,62.0,10.0,11.0,4.0,,,,28.0,17.0,18.0,7.0,11.0,42.0,126.0,0.0,139.0,16.0,4.0,,3.0,,57.0,39.0,5.0,21.0,4.0,9.0,2.0,162.0,11.0,510.0,7.0,22.0,15.0,2.0,11.0,204.0,14.0,,12.0,19.0,,0.0,4.0,4.0,22.0,307.0,105.0,2.0,6769,4.0,91.0,9.0,,105.0,,50.0,,4.0,2.0,,,9.0,,2.0,72.0,210.0,12.0,5.0,2.0,39.0,86.0,0.0,6.0,4.0,,3.0,12.0,0.0,5.0,,2.0,3.0,43.0,11.0,1.0,13.0,2.0,,,39.0,8.0,1.0,318.0,10.0,17.0,14.0,4.0,41.0,2.0,241.0,5.0,9.0,20.0,63.0,23.0,2.0,10.0,23.0,,3.0,7.0,3.0,7.0,2.0,8.0,,,,1.0,,,1.0,,,2.0,,3.0,2.0,,3.0,3.0,,2.0,3.0,,,2.0,,,2.0,,1.0,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,266339,2008-10-29 19:45:00,"bet365 Stadium, Stoke",26731.0,Home,Stoke City,Sunderland,1,0,W,0,0,0,0,,1.0,45.0,,2.0,39.0,34.0,5.0,5.0,2.0,2.0,3.0,1.0,2.0,8.0,4.0,187.0,50.0,11.0,14.0,,1.0,,1.0,19.0,13.0,17.0,5.0,15.0,35.0,111.0,0.0,136.0,12.0,2.0,,1.0,2.0,39.0,36.0,6.0,14.0,6.0,9.0,1.0,170.0,4.0,499.0,6.0,22.0,17.0,,18.0,182.0,13.0,,10.0,28.0,1.0,2.0,2.0,2.0,31.0,287.0,100.0,,6769,3.0,80.0,4.0,,95.0,12.0,48.0,,,5.0,,,6.0,4.0,,86.0,189.0,8.0,6.0,1.0,25.0,96.0,0.0,3.0,1.0,1.0,,10.0,0.0,1.0,1.0,1.0,1.0,47.9,12.0,,3.0,5.0,4.0,,46.0,5.0,2.0,306.0,18.0,14.0,11.0,3.0,47.0,1.0,230.0,6.0,14.0,21.0,55.0,19.0,2.0,14.0,18.0,1.0,,8.0,3.0,6.0,2.0,5.0,,1.0,1.0,1.0,,,,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,1.0,4.0,2.0,1.0,,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
