gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,totalContest,blockedCross,wonCorners,handBall,penaltySave,attGoalLowRight,attIboxTarget,shotFastbreak,goalAssistOpenplay,cleanSheet,goodHighClaim,attHdTarget,errorLeadToShot,attSetpiece,penaltyConceded,totalOffside,accurateKeeperThrows,attFastbreak,attSvLowRight,keeperThrows,penaltyFaced,totalHighClaim,subsMade,attLfTarget,postScoringAtt,attIboxPost,attSvLowLeft,attHdPost,hitWoodwork,attPostHigh,clearanceOffLine,penGoalsConceded,attLfGoal,attSvHighRight,sixYardBlock,attObxdLeft,attOboxPost,attPostRight,goalsConcededObox,attRfGoal,attFreekickTarget,attGoalLowCentre,penaltyWon,attPenGoal,midfielderGoals,defenderGoals,fouledFinalThird,attBxRight,freekickCross,accurateFreekickCross,attBxCentre,attCmissHigh,goalsOpenplay,attCmissLeft,attSvHighCentre,attOpenplay,attGoalHighRight,attLgCentre,attObxdRight,attOboxGoal,attFreekickPost,attGoalLowLeft,attSvHighLeft,errorLeadToGoal,attObxLeft,goalFastbreak,attGoalHighCentre,secondYellow,attPenTarget,totalFastbreak,attPostLeft,ownGoals,attBxLeft,attIboxOwnGoal,attOboxOwnGoal
1,266250,2008-08-17 16:00:00,"Old Trafford, Manchester",,Away,Newcastle United,Manchester United,1,1,D,1,1,0,0,51.0,2.0,1.0,1.0,1.0,20.0,36.0,8.0,3.0,1.0,3.0,6.0,1.0,7.0,2.0,156.0,59.0,1.0,11.0,1.0,11.0,1.0,1.0,14.0,20.0,1.0,21.0,5.0,15.0,11.0,149.0,1.0,0.0,115.0,11.0,4.0,70.0,56.0,3.0,3.0,1.0,9.0,1.0,2.0,6.0,140.0,10.0,617.0,5.0,11.0,16.0,19.0,3.0,6.0,18.0,1.0,0.0,5.0,4.0,24.0,59.0,2.0,999,120.0,3.0,142.0,15.0,55.0,4.0,11.0,4.0,1.0,49.0,266.0,15.0,5.0,1.0,37.0,75.0,1.0,3.0,0.0,6.0,4.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,41.2,15.0,1.0,12.0,2.0,28.0,6.0,346.0,16.0,1.0,17.0,8.0,7.0,8.0,2.0,1.0,218.0,6.0,15.0,12.0,79.0,15.0,1.0,3.0,9.0,26.0,1.0,1.0,17.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266258,2008-08-23 15:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Bolton Wanderers,1,0,W,0,0,0,0,69.0,,5.0,,,39.0,44.0,5.0,5.0,,8.0,12.0,1.0,10.0,2.0,175.0,48.0,1.0,14.0,5.0,18.0,,1.0,34.0,11.0,,25.0,3.0,21.0,33.0,241.0,,0.0,157.0,12.0,1.0,101.0,79.0,8.0,3.0,,31.0,1.0,13.0,,156.0,7.0,793.0,8.0,7.0,11.0,20.0,,2.0,17.0,1.0,1.0,2.0,2.0,33.0,72.0,,999,166.0,17.0,185.0,16.0,65.0,4.0,2.0,11.0,1.0,61.0,399.0,11.0,3.0,1.0,22.0,82.0,,1.0,0.0,6.0,1.0,1.0,,,0.0,8.0,1.0,1.0,4.0,,63.5,27.0,2.0,16.0,10.0,50.0,4.0,481.0,10.0,,26.0,21.0,2.0,24.0,,2.0,330.0,5.0,18.0,11.0,118.0,25.0,1.0,2.0,10.0,14.0,1.0,,21.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266264,2008-08-30 17:30:00,"Emirates Stadium, London",,Away,Newcastle United,Arsenal,0,3,L,0,2,0,0,39.0,5.0,1.0,,,40.0,20.0,2.0,1.0,1.0,2.0,8.0,,3.0,2.0,116.0,57.0,,4.0,,5.0,,,11.0,13.0,2.0,13.0,1.0,11.0,17.0,151.0,,0.0,103.0,12.0,4.0,57.0,53.0,2.0,2.0,,10.0,,4.0,,109.0,13.0,605.0,2.0,9.0,25.0,17.0,,12.0,9.0,,2.0,5.0,1.0,18.0,58.0,1.0,7933,174.0,5.0,188.0,6.0,53.0,3.0,10.0,4.0,,61.0,323.0,13.0,10.0,1.0,32.0,70.0,,,0.0,12.0,4.0,,3.0,3.0,0.0,1.0,,,1.0,,44.1,14.0,,9.0,1.0,37.0,1.0,385.0,25.0,,15.0,12.0,1.0,12.0,1.0,,208.0,2.0,11.0,14.0,70.0,12.0,,3.0,3.0,22.0,,3.0,20.0,3.0,1.0,1.0,,,,,,,1.0,,,,1.0,5.0,,,,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266278,2008-09-13 15:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Hull City,1,2,L,0,1,1,0,58.0,1.0,1.0,,,39.0,30.0,5.0,2.0,1.0,8.0,5.0,1.0,13.0,3.0,146.0,74.0,,16.0,1.0,9.0,1.0,4.0,30.0,20.0,1.0,13.0,4.0,17.0,23.0,214.0,,0.0,154.0,13.0,,38.0,70.0,3.0,2.0,3.0,26.0,,13.0,3.0,129.0,8.0,686.0,10.0,14.0,13.0,21.0,1.0,10.0,18.0,,0.0,2.0,10.0,28.0,85.0,,8748,129.0,8.0,136.0,9.0,56.0,4.0,3.0,6.0,2.0,62.0,335.0,19.0,5.0,3.0,26.0,83.0,,,0.0,3.0,1.0,1.0,2.0,6.0,1.0,5.0,,,6.0,,58.7,26.0,5.0,12.0,2.0,54.0,4.0,408.0,13.0,,22.0,12.0,11.0,31.0,3.0,7.0,302.0,7.0,15.0,25.0,104.0,17.0,1.0,4.0,7.0,25.0,,2.0,12.0,4.0,5.0,,,1.0,1.0,,,,2.0,1.0,,1.0,1.0,,5.0,,,5.0,1.0,2.0,2.0,,1.0,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266293,2008-09-20 15:00:00,"Boleyn Ground, London",,Away,Newcastle United,West Ham United,1,3,L,0,2,0,0,58.0,1.0,2.0,,,47.0,16.0,8.0,6.0,1.0,4.0,7.0,1.0,11.0,5.0,144.0,54.0,1.0,17.0,4.0,16.0,3.0,2.0,34.0,22.0,1.0,8.0,6.0,12.0,29.0,215.0,1.0,0.0,131.0,20.0,1.0,72.0,58.0,7.0,4.0,2.0,28.0,1.0,16.0,3.0,136.0,11.0,700.0,9.0,8.0,20.0,15.0,,5.0,9.0,1.0,2.0,3.0,4.0,21.0,76.0,,8748,155.0,11.0,160.0,12.0,75.0,1.0,6.0,4.0,1.0,63.0,366.0,10.0,9.0,1.0,17.0,101.0,,,0.0,2.0,1.0,1.0,3.0,1.0,0.0,3.0,,3.0,4.0,,51.1,15.0,3.0,12.0,6.0,62.0,6.0,426.0,20.0,,19.0,22.0,6.0,25.0,1.0,3.0,300.0,6.0,12.0,10.0,97.0,23.0,1.0,1.0,5.0,27.0,,2.0,18.0,1.0,6.0,,,1.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,,2.0,4.0,1.0,1.0,4.0,,2.0,2.0,2.0,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,266300,2008-09-27 15:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Blackburn Rovers,1,2,L,0,2,0,0,87.0,,,,,23.0,23.0,1.0,,1.0,8.0,12.0,1.0,4.0,3.0,199.0,80.0,,5.0,,35.0,,,33.0,18.0,1.0,10.0,5.0,13.0,22.0,150.0,,0.0,141.0,8.0,2.0,74.0,41.0,2.0,,1.0,28.0,,6.0,,186.0,8.0,695.0,3.0,19.0,16.0,31.0,,11.0,14.0,,0.0,4.0,2.0,24.0,88.0,1.0,8748,137.0,19.0,159.0,5.0,79.0,4.0,2.0,3.0,1.0,65.0,279.0,21.0,3.0,1.0,47.0,92.0,,1.0,0.0,5.0,4.0,1.0,2.0,5.0,0.0,7.0,,,3.0,,50.0,18.0,2.0,20.0,,44.0,5.0,397.0,16.0,,26.0,9.0,2.0,23.0,1.0,2.0,271.0,2.0,12.0,21.0,69.0,27.0,1.0,2.0,5.0,26.0,,2.0,19.0,2.0,5.0,,,,1.0,,,,,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,2.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,266306,2008-10-05 16:00:00,"Goodison Park, Liverpool",,Away,Newcastle United,Everton,2,2,D,1,2,0,0,62.0,,3.0,,,21.0,39.0,4.0,4.0,3.0,4.0,5.0,2.0,7.0,6.0,173.0,56.0,1.0,13.0,2.0,16.0,3.0,,24.0,19.0,2.0,20.0,4.0,13.0,31.0,143.0,,0.0,110.0,14.0,2.0,44.0,72.0,7.0,3.0,2.0,20.0,1.0,10.0,,154.0,9.0,613.0,5.0,7.0,11.0,14.0,,6.0,20.0,2.0,3.0,1.0,,27.0,81.0,1.0,8748,101.0,8.0,123.0,14.0,50.0,2.0,6.0,4.0,,56.0,240.0,18.0,4.0,,32.0,95.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,,46.8,22.0,,18.0,5.0,37.0,5.0,340.0,11.0,,12.0,18.0,2.0,26.0,1.0,2.0,241.0,8.0,11.0,10.0,57.0,21.0,,3.0,11.0,23.0,1.0,2.0,9.0,3.0,5.0,,,,2.0,1.0,2.0,,1.0,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,266322,2008-10-20 20:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Manchester City,2,2,D,1,1,1,0,46.0,5.0,1.0,,,14.0,28.0,2.0,3.0,,3.0,3.0,2.0,5.0,2.0,142.0,52.0,1.0,7.0,1.0,16.0,,1.0,19.0,18.0,,15.0,5.0,5.0,10.0,84.0,,0.0,85.0,15.0,2.0,40.0,35.0,3.0,1.0,1.0,14.0,1.0,4.0,1.0,129.0,16.0,403.0,4.0,7.0,12.0,11.0,,13.0,16.0,,0.0,6.0,2.0,18.0,57.0,1.0,8748,54.0,6.0,64.0,16.0,60.0,3.0,12.0,3.0,1.0,38.0,135.0,15.0,5.0,1.0,36.0,68.0,,,0.0,10.0,1.0,2.0,2.0,,1.0,3.0,,,1.0,,29.9,14.0,1.0,8.0,2.0,25.0,5.0,202.0,12.0,1.0,16.0,2.0,3.0,16.0,,2.0,157.0,2.0,5.0,6.0,47.0,18.0,1.0,7.0,10.0,28.0,,2.0,11.0,7.0,5.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,5.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,6.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,
9,266329,2008-10-25 12:45:00,"Stadium of Light, Sunderland",,Away,Newcastle United,Sunderland,1,2,L,1,1,0,0,57.0,,2.0,1.0,1.0,21.0,41.0,7.0,5.0,,3.0,7.0,1.0,6.0,2.0,186.0,55.0,2.0,12.0,3.0,16.0,1.0,1.0,21.0,23.0,,20.0,4.0,7.0,23.0,127.0,1.0,0.0,121.0,16.0,,56.0,50.0,4.0,1.0,,17.0,2.0,2.0,5.0,165.0,7.0,587.0,5.0,6.0,11.0,11.0,,14.0,26.0,1.0,2.0,,2.0,30.0,83.0,,8748,78.0,13.0,102.0,15.0,65.0,,7.0,4.0,3.0,54.0,202.0,11.0,9.0,,50.0,90.0,,,0.0,2.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,,44.2,26.0,,11.0,5.0,30.0,4.0,306.0,11.0,1.0,20.0,7.0,5.0,17.0,,,225.0,6.0,6.0,8.0,70.0,27.0,1.0,5.0,10.0,29.0,1.0,1.0,15.0,5.0,4.0,4.0,,,1.0,1.0,,,1.0,,2.0,1.0,,,2.0,1.0,,2.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
10,266343,2008-10-28 19:45:00,"St. James' Park, Newcastle",,Home,Newcastle United,West Bromwich Albion,2,1,W,2,0,0,0,64.0,,2.0,,,31.0,22.0,3.0,5.0,1.0,3.0,11.0,2.0,11.0,5.0,158.0,61.0,,13.0,1.0,11.0,1.0,2.0,20.0,15.0,1.0,12.0,6.0,8.0,8.0,131.0,1.0,0.0,120.0,13.0,1.0,35.0,50.0,7.0,2.0,1.0,14.0,,1.0,2.0,148.0,5.0,582.0,8.0,12.0,18.0,21.0,,20.0,14.0,1.0,0.0,2.0,4.0,32.0,73.0,1.0,7933,97.0,12.0,120.0,11.0,60.0,4.0,10.0,4.0,1.0,60.0,225.0,11.0,10.0,2.0,48.0,90.0,,1.0,0.0,8.0,2.0,2.0,1.0,4.0,0.0,2.0,1.0,1.0,3.0,,38.8,26.0,2.0,7.0,3.0,44.0,7.0,311.0,18.0,,23.0,4.0,5.0,13.0,1.0,3.0,211.0,5.0,7.0,16.0,80.0,25.0,1.0,4.0,6.0,23.0,1.0,1.0,14.0,4.0,7.0,,,1.0,2.0,1.0,1.0,,,,,1.0,,6.0,2.0,1.0,,2.0,,,3.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
