gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,attMissLeft,attSvHighLeft,goodHighClaim,attHdTarget,attSetpiece,attHdTotal,attHdMiss,attSvHighCentre,totalHighClaim,penaltySave,attLfTarget,attGoalLowLeft,attLfGoal,goals,postScoringAtt,goalAssistOpenplay,attGoalHighRight,cleanSheet,hitWoodwork,goalAssist,attRfGoal,defenderGoals,attIboxGoal,attOboxPost,attPostHigh,goalAssistIntentional,forwardGoals,attHdGoal,attGoalLowRight,attGoalLowCentre,sixYardBlock,attSvLowRight,errorLeadToShot,clearanceOffLine,penaltyWon,secondYellow,attPenGoal,attOboxGoal,attMissHighLeft,attPostRight,attIboxPost,attPostLeft,goalFastbreak,midfielderGoals,attHdPost,attFreekickTarget,foulThrowIn,attSvHighRight,attLgCentre,attGoalHighLeft,attemptsIbox,fwdPass,fouledFinalThird,attBxRight,freekickCross,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attBxCentre,attCmissHigh,goalsOpenplay,attOpenplay,saves,ptsGainedLosingPos,attGoalHighCentre,attCorner,attBxLeft,attPenMiss,goalAssistSetplay,goalAssistDeadball,accurateFreekickCross,attLgRight,attFreekickGoal,attObpGoal,totalFastbreak
1,266247,2008-08-17 13:30:00,"Stamford Bridge, London",,Away,Portsmouth,Chelsea,0,4,L,0,3,0,0,1.0,2.0,41.0,4.0,1.0,31.0,42.0,5.0,1.0,4.0,5.0,10.0,6.0,4.0,138.0,55.0,1.0,10.0,1.0,14.0,3.0,1.0,3.0,13.0,14.0,1.0,27.0,3.0,22.0,29.0,113.0,1.0,0.0,89.0,8.0,1.0,1.0,29.0,30.0,2.0,1.0,2.0,10.0,1.0,3.0,3.0,123.0,6.0,570.0,5.0,16.0,25.0,8.0,12.0,21.0,1.0,2.0,4.0,18.0,63.0,1.0,9047,119.0,5.0,1.0,138.0,18.0,54.0,2.0,1.0,14.0,14.0,15.0,1.0,56.0,227.0,11.0,8.0,1.0,26.0,93.0,1.0,2.0,0.0,8.0,1.0,4.0,6.0,0.0,3.0,1.0,31.9,16.0,3.0,15.0,2.0,61.0,3.0,1.0,309.0,1.0,25.0,1.0,16.0,11.0,4.0,22.0,2.0,1.0,184.0,9.0,20.0,13.0,42.0,13.0,5.0,14.0,21.0,3.0,2.0,20.0,1.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,266259,2008-08-25 20:00:00,"Fratton Park, Portsmouth",,Home,Portsmouth,Manchester United,0,1,L,0,1,0,0,,,67.0,2.0,,29.0,21.0,9.0,2.0,2.0,5.0,12.0,11.0,3.0,154.0,52.0,1.0,14.0,2.0,9.0,1.0,,,20.0,14.0,2.0,16.0,2.0,28.0,32.0,133.0,,0.0,138.0,11.0,1.0,1.0,40.0,43.0,3.0,6.0,3.0,18.0,1.0,9.0,5.0,149.0,9.0,604.0,7.0,10.0,42.0,17.0,10.0,8.0,2.0,4.0,8.0,14.0,85.0,1.0,9047,96.0,7.0,,108.0,7.0,72.0,6.0,4.0,8.0,4.0,2.0,1.0,65.0,224.0,11.0,22.0,4.0,30.0,77.0,,,0.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,37.1,11.0,10.0,8.0,2.0,26.0,3.0,,316.0,,41.0,,20.0,12.0,9.0,29.0,2.0,4.0,228.0,9.0,24.0,13.0,72.0,27.0,2.0,5.0,16.0,1.0,2.0,22.0,,2.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,266268,2008-08-30 15:00:00,"Goodison Park, Liverpool",,Away,Portsmouth,Everton,3,0,W,2,0,0,0,,1.0,38.0,2.0,1.0,36.0,55.0,3.0,3.0,1.0,4.0,16.0,8.0,7.0,146.0,66.0,,10.0,,13.0,3.0,1.0,3.0,16.0,24.0,1.0,32.0,2.0,17.0,20.0,124.0,,0.0,86.0,12.0,5.0,1.0,25.0,57.0,7.0,,1.0,14.0,,4.0,1.0,122.0,15.0,569.0,3.0,12.0,23.0,9.0,18.0,30.0,0.0,1.0,1.0,18.0,59.0,2.0,9047,104.0,9.0,1.0,120.0,15.0,55.0,2.0,5.0,7.0,8.0,7.0,,68.0,224.0,6.0,6.0,3.0,44.0,89.0,1.0,,0.0,4.0,6.0,,6.0,0.0,3.0,2.0,41.2,14.0,6.0,8.0,1.0,52.0,3.0,1.0,291.0,,23.0,,16.0,15.0,2.0,17.0,1.0,,187.0,3.0,17.0,16.0,53.0,12.0,4.0,14.0,28.0,,3.0,25.0,,5.0,3.0,,,2.0,1.0,1.0,2.0,,,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,266279,2008-09-13 15:00:00,"Fratton Park, Portsmouth",,Home,Portsmouth,Middlesbrough,2,1,W,0,1,0,0,,,81.0,,2.0,46.0,47.0,13.0,6.0,2.0,6.0,19.0,16.0,6.0,170.0,72.0,1.0,23.0,4.0,16.0,4.0,1.0,2.0,32.0,20.0,,26.0,2.0,26.0,44.0,228.0,1.0,0.0,167.0,9.0,,1.0,61.0,58.0,10.0,,4.0,30.0,1.0,8.0,9.0,149.0,3.0,788.0,15.0,17.0,14.0,21.0,15.0,33.0,2.0,1.0,6.0,26.0,88.0,2.0,9047,145.0,22.0,,159.0,7.0,60.0,5.0,8.0,6.0,3.0,4.0,3.0,72.0,367.0,7.0,4.0,,28.0,96.0,1.0,1.0,0.0,2.0,,1.0,8.0,0.0,6.0,2.0,60.7,23.0,20.0,6.0,6.0,62.0,3.0,,444.0,,14.0,,25.0,30.0,11.0,26.0,,2.0,317.0,16.0,26.0,22.0,115.0,32.0,2.0,16.0,24.0,1.0,3.0,26.0,,2.0,3.0,3.0,,,,,1.0,1.0,,,,2.0,,,2.0,,1.0,,,,1.0,2.0,,2.0,,,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,266289,2008-09-21 15:00:00,"Etihad Stadium, Manchester",,Away,Portsmouth,Manchester City,0,6,L,0,2,0,0,,,64.0,2.0,1.0,32.0,25.0,1.0,,,11.0,18.0,11.0,3.0,150.0,66.0,,12.0,,16.0,3.0,,1.0,18.0,16.0,,12.0,5.0,20.0,33.0,150.0,1.0,0.0,101.0,15.0,3.0,,71.0,42.0,3.0,1.0,4.0,13.0,,3.0,1.0,137.0,10.0,627.0,7.0,10.0,19.0,19.0,10.0,14.0,1.0,3.0,8.0,25.0,63.0,,9047,134.0,6.0,,149.0,8.0,70.0,2.0,3.0,5.0,7.0,4.0,2.0,55.0,273.0,13.0,7.0,4.0,27.0,75.0,,,0.0,8.0,2.0,6.0,4.0,0.0,7.0,1.0,41.4,21.0,10.0,5.0,1.0,42.0,5.0,,360.0,,18.0,,16.0,20.0,8.0,11.0,4.0,7.0,229.0,5.0,18.0,15.0,53.0,25.0,,5.0,20.0,6.0,3.0,34.0,2.0,,5.0,1.0,1.0,,3.0,3.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,266301,2008-09-28 13:30:00,"Fratton Park, Portsmouth",,Home,Portsmouth,Tottenham Hotspur,2,0,W,1,0,1,0,,1.0,52.0,1.0,1.0,32.0,49.0,2.0,4.0,,3.0,15.0,4.0,5.0,152.0,68.0,,8.0,,10.0,2.0,1.0,2.0,19.0,22.0,1.0,23.0,3.0,11.0,36.0,111.0,,0.0,113.0,19.0,2.0,1.0,48.0,43.0,3.0,3.0,,16.0,,3.0,1.0,126.0,7.0,547.0,2.0,18.0,17.0,10.0,9.0,28.0,3.0,3.0,1.0,19.0,70.0,,9047,89.0,11.0,,97.0,10.0,74.0,5.0,5.0,9.0,8.0,6.0,2.0,53.0,197.0,13.0,20.0,2.0,17.0,79.0,1.0,,0.0,6.0,3.0,,5.0,1.0,1.0,,35.6,13.0,7.0,9.0,1.0,45.0,3.0,,266.0,,17.0,,18.0,21.0,2.0,17.0,2.0,1.0,188.0,2.0,10.0,10.0,62.0,20.0,1.0,13.0,30.0,,2.0,23.0,,1.0,3.0,,,5.0,,,2.0,1.0,,5.0,,3.0,2.0,,2.0,,,,1.0,,,1.0,,2.0,,,,2.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,266308,2008-10-05 15:00:00,"Fratton Park, Portsmouth",,Home,Portsmouth,Stoke City,2,1,W,1,0,0,0,,,72.0,,,30.0,50.0,12.0,9.0,2.0,6.0,8.0,17.0,9.0,160.0,64.0,1.0,20.0,4.0,18.0,4.0,1.0,2.0,27.0,17.0,3.0,30.0,1.0,39.0,39.0,201.0,1.0,0.0,165.0,8.0,1.0,2.0,79.0,53.0,11.0,,4.0,26.0,1.0,11.0,3.0,140.0,6.0,723.0,12.0,12.0,13.0,10.0,12.0,32.0,0.0,3.0,6.0,26.0,85.0,2.0,9047,137.0,12.0,,149.0,13.0,48.0,4.0,1.0,7.0,3.0,7.0,,59.0,332.0,16.0,4.0,3.0,34.0,98.0,1.0,4.0,0.0,5.0,2.0,1.0,2.0,0.0,6.0,1.0,61.4,23.0,23.0,7.0,4.0,53.0,2.0,,423.0,,13.0,,10.0,18.0,7.0,35.0,,3.0,301.0,9.0,37.0,15.0,109.0,32.0,2.0,18.0,25.0,1.0,1.0,16.0,,2.0,2.0,,,1.0,,2.0,2.0,2.0,1.0,1.0,,5.0,1.0,,2.0,1.0,2.0,,,1.0,2.0,2.0,,1.0,1.0,,1.0,2.0,,1.0,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,266315,2008-10-18 15:00:00,"Villa Park, Birmingham",,Away,Portsmouth,Aston Villa,0,0,D,0,0,1,0,,,64.0,1.0,1.0,29.0,54.0,1.0,1.0,2.0,1.0,10.0,6.0,3.0,142.0,72.0,,8.0,,22.0,3.0,,,11.0,19.0,,39.0,1.0,19.0,33.0,142.0,,0.0,118.0,19.0,1.0,,23.0,51.0,4.0,,,10.0,,3.0,1.0,127.0,6.0,620.0,5.0,19.0,13.0,25.0,16.0,29.0,2.0,3.0,2.0,22.0,76.0,1.0,9047,116.0,7.0,,132.0,15.0,72.0,3.0,,3.0,7.0,13.0,3.0,53.0,257.0,19.0,2.0,1.0,31.0,88.0,,1.0,0.0,11.0,1.0,,6.0,1.0,1.0,1.0,47.6,17.0,8.0,3.0,1.0,54.0,2.0,,338.0,,13.0,,12.0,18.0,4.0,16.0,,2.0,217.0,6.0,18.0,17.0,71.0,25.0,4.0,20.0,26.0,,3.0,27.0,,4.0,2.0,,1.0,3.0,1.0,1.0,1.0,,,5.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,266328,2008-10-26 17:00:00,"Fratton Park, Portsmouth",,Home,Portsmouth,Fulham,1,1,D,0,0,0,0,,,84.0,2.0,5.0,46.0,36.0,9.0,9.0,2.0,9.0,21.0,19.0,7.0,165.0,73.0,,24.0,3.0,10.0,3.0,2.0,3.0,22.0,17.0,3.0,20.0,7.0,31.0,35.0,182.0,,0.0,152.0,9.0,1.0,2.0,74.0,35.0,11.0,1.0,1.0,15.0,,7.0,3.0,149.0,6.0,777.0,13.0,18.0,21.0,24.0,19.0,20.0,0.0,1.0,8.0,21.0,74.0,,7958,180.0,8.0,,207.0,7.0,43.0,3.0,4.0,9.0,6.0,4.0,1.0,75.0,353.0,7.0,2.0,5.0,47.0,94.0,2.0,,0.0,6.0,3.0,1.0,5.0,0.0,5.0,2.0,50.8,19.0,16.0,9.0,8.0,57.0,7.0,,458.0,,21.0,,11.0,23.0,9.0,24.0,4.0,6.0,273.0,11.0,25.0,25.0,91.0,31.0,1.0,8.0,20.0,1.0,2.0,32.0,,1.0,8.0,6.0,,,,1.0,3.0,3.0,,2.0,,4.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,266342,2008-10-29 20:00:00,"Anfield, Liverpool",,Away,Portsmouth,Liverpool,0,1,L,0,0,0,0,,1.0,59.0,3.0,,41.0,30.0,3.0,,,1.0,11.0,2.0,1.0,156.0,76.0,,5.0,1.0,10.0,1.0,,1.0,6.0,22.0,,16.0,1.0,35.0,33.0,127.0,1.0,0.0,104.0,13.0,3.0,,42.0,47.0,,1.0,1.0,5.0,,,2.0,142.0,9.0,664.0,,9.0,15.0,21.0,18.0,14.0,2.0,4.0,2.0,19.0,76.0,,7958,190.0,3.0,1.0,208.0,15.0,60.0,,5.0,5.0,10.0,6.0,1.0,71.0,316.0,13.0,8.0,2.0,45.0,94.0,,,0.0,7.0,1.0,1.0,1.0,0.0,1.0,,42.9,16.0,6.0,5.0,1.0,44.0,1.0,1.0,406.0,1.0,14.0,,18.0,20.0,3.0,13.0,,1.0,204.0,2.0,34.0,21.0,53.0,27.0,3.0,7.0,31.0,1.0,3.0,23.0,,3.0,1.0,,,,1.0,2.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
