matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,ownGoals,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,totalOffside
442004,1,2012-08-18 15:00:00,"MATRADE Loftus Road, London",18072,Away,Swansea,QPR,5,0,W,1,0,0,0,5.0,13.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,4.0,7.0,5.0,12.0,45.0,434.0,380.0,50.1,,19.0,14.0,18.0,43.0,17.0,9.0,2.0,,7.0,12.0,136.0,,,1.0,,38.0,47.0,4.0,6.0,3.0,3.0,,16.0,12.0,0.0,0.0,2.0
442017,2,2012-08-25 12:45:00,"Swansea.com Stadium, Swansea",20424,Home,Swansea,West Ham,3,0,W,2,0,0,0,3.0,12.0,5.0,4.0,3.0,1.0,2.0,,,2.0,9.0,7.0,17.0,54.0,636.0,559.0,62.2,20.0,20.0,18.0,6.0,35.0,23.0,3.0,,,2.0,20.0,125.0,4.0,,1.0,,72.0,66.0,25.0,23.0,5.0,5.0,,14.0,17.0,0.0,0.0,4.0
442024,3,2012-09-01 15:00:00,"Swansea.com Stadium, Swansea",20350,Home,Swansea,Sunderland,2,2,D,1,2,1,0,2.0,15.0,7.0,5.0,3.0,1.0,1.0,,,2.0,10.0,8.0,18.0,61.0,622.0,578.0,63.8,,21.0,17.0,10.0,28.0,11.0,1.0,1.0,1.0,3.0,16.0,131.0,,2.0,,,50.0,58.0,12.0,12.0,8.0,8.0,,13.0,7.0,0.0,0.0,
442030,4,2012-09-15 15:00:00,"Villa Park, Birmingham",34005,Away,Swansea,Aston Villa,0,2,L,0,1,0,0,,10.0,3.0,4.0,3.0,1.0,,1.0,,,9.0,5.0,21.0,64.0,474.0,398.0,57.9,,19.0,14.0,10.0,61.0,19.0,6.0,2.0,1.0,10.0,9.0,180.0,,2.0,,,62.0,53.0,28.0,21.0,4.0,4.0,,4.0,12.0,0.0,0.0,1.0
442044,5,2012-09-22 12:45:00,"Swansea.com Stadium, Swansea",20464,Home,Swansea,Everton,0,3,L,0,2,1,0,,18.0,4.0,8.0,6.0,2.0,,3.0,1.0,,13.0,7.0,20.0,64.0,393.0,322.0,48.5,,16.0,12.0,15.0,33.0,16.0,9.0,,,4.0,7.0,135.0,,3.0,,,31.0,50.0,8.0,13.0,8.0,8.0,3.0,23.0,7.0,0.0,0.0,1.0
442057,6,2012-09-29 15:00:00,"bet365 Stadium, Stoke",27330,Away,Swansea,Stoke,0,2,L,0,2,0,0,,10.0,3.0,6.0,1.0,,,,,,7.0,2.0,36.0,62.0,527.0,443.0,61.0,14.0,20.0,15.0,9.0,47.0,25.0,2.0,2.0,1.0,3.0,14.0,148.0,3.0,2.0,,,59.0,55.0,16.0,20.0,8.0,8.0,1.0,10.0,17.0,0.0,0.0,1.0
442064,7,2012-10-06 15:00:00,"Swansea.com Stadium, Swansea",20336,Home,Swansea,Reading,2,2,D,0,2,0,0,2.0,26.0,10.0,10.0,6.0,4.0,1.0,3.0,2.0,1.0,20.0,14.0,21.0,73.0,600.0,496.0,71.5,,16.0,12.0,13.0,36.0,22.0,3.0,1.0,1.0,2.0,6.0,175.0,,2.0,,,58.0,57.0,26.0,27.0,11.0,11.0,1.0,9.0,10.0,0.0,0.0,2.0
442075,8,2012-10-20 15:00:00,"Swansea.com Stadium, Swansea",19696,Home,Swansea,Wigan,2,1,W,0,0,0,0,2.0,20.0,8.0,9.0,3.0,2.0,1.0,1.0,,2.0,14.0,8.0,17.0,69.0,427.0,351.0,47.6,,14.0,11.0,23.0,15.0,7.0,1.0,,,3.0,3.0,136.0,,1.0,,,38.0,40.0,8.0,9.0,9.0,9.0,,14.0,12.0,0.0,0.0,1.0
442083,9,2012-10-27 17:30:00,"Etihad Stadium, Manchester",46801,Away,Swansea,Man City,0,1,L,0,0,0,0,,9.0,2.0,3.0,4.0,1.0,,1.0,,,7.0,5.0,20.0,48.0,503.0,424.0,46.3,,17.0,13.0,20.0,25.0,13.0,1.0,1.0,,7.0,11.0,151.0,,1.0,,,41.0,50.0,11.0,13.0,,,,10.0,8.0,0.0,0.0,5.0
442095,10,2012-11-03 15:00:00,"Swansea.com Stadium, Swansea",20527,Home,Swansea,Chelsea,1,1,D,0,0,0,0,1.0,10.0,2.0,4.0,4.0,,,,,,7.0,5.0,19.0,59.0,481.0,426.0,52.2,,19.0,15.0,14.0,32.0,12.0,4.0,,,3.0,13.0,130.0,,1.0,,,37.0,47.0,5.0,10.0,8.0,8.0,,12.0,9.0,0.0,0.0,3.0
