fixture,opponent_team,was_home,kickoff_time,team_h_score,team_a_score,round,opponent_team_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,transfers_balance,selected,transfers_in,transfers_out,ict_index,avg_value,team_id,team,players_used,players_played
2,15,True,2025-08-16T11:30:00Z,0,0,1,Newcastle,61,988,0,0,11,0,0,0,0,1,0,3,6,224,143.0,219.2,124.0,34,63,10,71,11,1.4200000000000002,0.89,2.31,2.2,0,4241941,0,0,48.6,51.4,15,Newcastle,35,14
19,12,True,2025-08-25T19:00:00Z,2,3,2,Liverpool,33,942,2,2,0,33,0,0,0,2,1,1,0,102,171.8,105.5,130.0,28,40,12,62,11,0.94,0.8400000000000001,1.7799999999999998,7.069999999999999,-309074,4624906,348342,657416,40.7,51.4,15,Newcastle,35,16
24,11,False,2025-08-30T16:30:00Z,0,0,3,Leeds,53,988,0,0,10,0,0,0,0,1,0,1,2,203,110.80000000000001,117.3,63.0,17,55,10,47,11,0.45999999999999996,0.32,0.78,7.59,678195,5918376,1449062,770867,29.1,51.3,15,Newcastle,35,15
39,20,True,2025-09-13T14:00:00Z,1,0,4,Wolves,66,988,1,1,11,0,0,0,0,1,0,3,6,244,193.2,198.8,169.0,28,43,10,58,11,1.55,1.02,2.5700000000000003,5.5,228869,6181995,976081,747212,56.1,51.6,15,Newcastle,36,15
42,4,False,2025-09-21T13:00:00Z,0,0,5,Bournemouth,61,986,0,0,11,0,0,0,0,1,0,2,4,226,181.60000000000002,71.3,55.0,48,54,19,85,11,0.14,0.39000000000000007,0.53,6.16,12036,6195092,693746,681710,30.8,51.5,15,Newcastle,36,15
58,1,True,2025-09-28T15:30:00Z,1,2,6,Arsenal,41,987,1,1,4,22,0,0,0,2,0,5,2,144,239.0,108.3,85.0,55,42,12,77,11,0.61,0.5900000000000001,1.2000000000000002,22.48,-283872,5945263,512463,796335,43.2,51.4,15,Newcastle,36,16
69,16,True,2025-10-05T13:00:00Z,2,0,7,Nott'm Forest,74,990,2,2,11,0,0,0,0,0,0,4,7,288,244.40000000000003,215.9,225.0,25,52,14,61,11,3.27,1.01,4.279999999999999,3.21,539894,6663053,1209372,669478,68.5,51.3,15,Newcastle,36,15
71,6,False,2025-10-18T14:00:00Z,2,1,8,Brighton,31,987,1,1,0,22,0,0,0,1,0,3,2,151,212.59999999999997,177.20000000000002,123.0,34,50,17,70,11,1.45,1.3900000000000001,2.84,10.05,1155824,7937441,1868328,712504,51.3,51.3,15,Newcastle,36,16
89,10,True,2025-10-25T14:00:00Z,2,1,9,Fulham,47,985,2,1,0,11,0,0,0,0,0,4,4,198,237.4,193.89999999999998,186.0,31,52,14,73,11,2.17,1.25,3.4200000000000004,16.830000000000002,989999,8978403,1431339,441340,61.7,51.4,15,Newcastle,36,16
100,19,False,2025-11-02T14:00:00Z,3,1,10,West Ham,26,988,1,1,0,33,1,0,0,2,0,7,1,99,199.99999999999997,132.4,102.0,31,42,8,49,11,0.52,0.5,1.02,19.25,572361,9666320,1079951,507590,43.4,51.2,15,Newcastle,36,16
102,5,False,2025-11-09T14:00:00Z,3,1,11,Brentford,39,968,1,1,0,33,0,0,0,1,1,4,2,110,211.0,78.7,53.0,66,49,10,94,11,0.42,0.35000000000000003,0.77,27.220000000000002,-645248,8910337,270284,915532,34.3,51.2,15,Newcastle,36,17
119,13,True,2025-11-22T17:30:00Z,2,1,12,Man City,54,987,2,2,0,11,0,0,0,1,0,3,5,171,250.19999999999996,120.5,118.0,47,41,17,85,11,2.51,1.02,3.53,27.400000000000002,-1058031,7770334,131952,1189983,48.9,50.7,15,Newcastle,37,14
125,9,False,2025-11-29T17:30:00Z,1,4,13,Everton,70,988,4,4,0,11,0,0,0,0,0,1,6,281,374.2,182.10000000000002,199.0,35,45,16,79,11,1.9,1.4200000000000002,3.3200000000000003,10.889999999999999,97531,7954846,521523,423992,75.5,50.6,15,Newcastle,37,16
139,18,True,2025-12-02T20:15:00Z,2,2,14,Spurs,47,989,2,2,2,22,0,0,0,0,0,0,1,189,277.0,201.5,201.0,42,54,18,87,11,2.0300000000000002,0.7400000000000001,2.7700000000000005,8.26,354362,8487555,793278,438916,68.0,50.7,15,Newcastle,37,15
148,3,True,2025-12-06T15:00:00Z,2,1,15,Burnley,47,987,2,0,4,11,0,0,0,2,0,2,6,219,234.79999999999998,167.70000000000002,134.0,30,58,19,68,11,1.77,1.32,3.0900000000000003,17.71,1191930,9972976,1621421,429491,53.6,50.7,15,Newcastle,37,16
159,17,False,2025-12-14T14:00:00Z,1,0,16,Sunderland,21,985,0,0,0,11,1,0,0,4,0,1,0,109,177.0,96.3,54.0,58,39,8,80,11,0.24,0.54,0.7800000000000001,3.2799999999999994,115158,9752327,1395848,1280690,32.7,50.8,15,Newcastle,37,16
