element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,player_code,first_name,second_name
1,151,20,2,True,2025-12-13T20:00:00Z,2,1,16,False,90,0,0,0,1,0,0,0,0,0,1,0,8,13.6,0.1,0.0,1.4,1,9,0,0,1,0.00,0.00,0.00,0.38,60,371508,4668846,429199,57691,154561,David,Raya Martín
2,151,20,0,True,2025-12-13T20:00:00Z,2,1,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,41,-1491,51955,811,2302,109745,Kepa,Arrizabalaga Revuelta
3,151,20,0,True,2025-12-13T20:00:00Z,2,1,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,40,-1348,29841,0,1348,463748,Karl,Hein
4,151,20,0,True,2025-12-13T20:00:00Z,2,1,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,39,504,28260,2455,1951,551221,Tommy,Setford
5,151,20,0,True,2025-12-13T20:00:00Z,2,1,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,62,-342767,1755432,5998,348765,226597,Gabriel,dos Santos Magalhães
6,151,20,2,True,2025-12-13T20:00:00Z,2,1,16,False,90,0,0,0,1,0,0,0,0,0,0,0,14,16.4,5.1,4.0,2.6,4,4,1,5,1,0.00,0.02,0.02,0.38,60,-137672,1292932,26086,163758,462424,William,Saliba
7,151,20,0,True,2025-12-13T20:00:00Z,2,1,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,57,-689315,1198258,19643,708958,466075,Riccardo,Calafiori
8,151,20,2,True,2025-12-13T20:00:00Z,2,1,16,False,90,0,0,0,1,0,0,0,0,0,0,0,7,8.0,16.5,10.0,3.5,2,2,0,2,1,0.19,0.02,0.21,0.38,65,-189517,4143467,370255,559772,445122,Jurriën,Timber
9,151,20,0,True,2025-12-13T20:00:00Z,2,1,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-41,6371,0,41,440854,Jakub,Kiwior
10,151,20,1,True,2025-12-13T20:00:00Z,2,1,16,False,59,0,0,0,1,0,0,0,0,0,0,0,8,8.0,23.7,10.0,4.2,1,1,1,2,0,0.05,0.03,0.08,0.23,51,49339,269374,55885,6546,499169,Myles,Lewis-Skelly
11,151,20,1,True,2025-12-13T20:00:00Z,2,1,16,False,30,0,0,0,0,0,0,0,0,0,0,0,3,0.0,8.4,2.0,1.0,0,3,0,0,1,0.00,0.01,0.01,0.14,54,268732,388026,273837,5105,198869,Benjamin,White
13,151,20,0,True,2025-12-13T20:00:00Z,2,1,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,38,-334,58433,3532,3866,563324,Brayden,Clarke
