gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,penaltySave,goalAssistSetplay,goals,fouledFinalThird,postScoringAtt,attIboxPost,attGoalHighRight,attSvHighRight,attOboxGoal,ptsGainedLosingPos,divingSave,midfielderGoals,freekickCross,attPostLeft,attHdPost,attHdTarget,hitWoodwork,goalAssist,accurateFreekickCross,attSetpiece,penaltyConceded,attRfGoal,attMissHigh,overrun,savedIbox,goalsConceded,accurateCrossNocorner,goalAssistIntentional,penaltyFaced,goalsConcededIbox,goalsConcededObox,bigChanceScored,attGoalLowCentre,attCmissRight,attOboxBlocked,penaltyWon,goodHighClaim,attMissHighLeft,accurateThroughBall,sixYardBlock,totalThroughBall,attPenGoal,punches,attIboxGoal,totalHighClaim,forwardGoals,attLfGoal,accuratePullBack,attSvHighLeft,attSvLowLeft,secondYellow,goalsOpenplay,attGoalHighLeft,foulThrowIn,attHdGoal,errorLeadToGoal,attGoalLowRight,goalAssistOpenplay,ownGoals,attIboxOwnGoal,attCmissLeft,goalFastbreak,attOneOnOne,attGoalLowLeft,errorLeadToShot,attLfTarget,attSvHighCentre,attFreekickTotal,freekickTotal,attFreekickTarget,goalAssistDeadball,attPostHigh,attLgCentre,attObxdLeft,attFreekickGoal,accurateKeeperSweeper,totalKeeperSweeper,defenderGoals,ptsDroppedWinningPos,attCmissHigh,attFreekickMiss,attObxLeft,attPostRight,attLgRight,attGoalHighCentre,clearanceOffLine,attFreekickPost,attOboxPost,penGoalsConceded
1,1059706,2019-08-11 14:00:00,"King Power Stadium, Leicester",32015.0,Away,Wolverhampton Wanderers,Leicester City,0,0,D,0,0,0,0,2.0,61.0,1.0,2.0,27.0,33.0,3.0,2.0,5.0,1.0,2.0,123.0,2.0,12.0,8.0,2.0,64.0,146.0,55.0,8.0,24.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,1.0,33.0,3.0,3.0,43.0,93.0,1.0,1.0,0.0,58.0,13.0,1.0,41.0,41.0,4.0,42.0,2.0,2.0,3.0,23.0,3.0,2.0,2.0,146.0,1.0,1.0,3.0,62.0,508.0,6.0,11.0,15.0,9.0,191.0,28.0,7.0,13.0,2.0,5.0,4.0,32.0,268.0,30.0,94147,3.0,111.0,1.0,1.0,146.0,7.0,1.0,23.0,14.0,71.0,1.0,1.0,25.0,13.0,6.0,62.0,202.0,3.0,16.0,2.0,18.0,2.0,60.0,1.0,1.0,0.0,12.0,3.0,0.0,1.0,1.0,30.0,25.0,1.0,4.0,1.0,1.0,2.0,28.0,3.0,291.0,9.0,12.0,21.0,4.0,12.0,2.0,2.0,151.0,4.0,2.0,22.0,36.0,20.0,2.0,13.0,19.0,6.0,2.0,20.0,2.0,13.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1059721,2019-08-19 20:00:00,"Molineux Stadium, Wolverhampton",31314.0,Home,Wolverhampton Wanderers,Manchester United,1,1,D,0,1,0,0,,62.0,,1.0,26.0,14.0,1.0,1.0,5.0,1.0,,140.0,2.0,9.0,5.0,2.0,77.0,146.0,42.0,6.0,20.0,1.0,1.0,2.0,,,13.0,9.0,,14.0,2.0,7.0,48.0,130.0,,,0.0,89.0,17.0,1.0,46.0,66.0,2.0,64.0,1.0,1.0,11.0,13.0,1.0,1.0,,146.0,,1.0,5.0,69.0,520.0,3.0,5.0,20.0,14.0,254.0,35.0,5.0,6.0,2.0,3.0,3.0,20.0,330.0,35.0,94147,3.0,135.0,,9.0,163.0,11.0,,13.0,7.0,67.0,1.0,1.0,15.0,4.0,2.0,64.0,263.0,6.0,7.0,1.0,20.0,2.0,66.0,1.0,,0.0,6.0,2.0,0.0,,2.0,34.4,13.0,,1.0,,1.0,1.0,29.0,4.0,350.0,14.0,11.0,25.0,3.0,20.0,,2.0,200.0,3.0,6.0,10.0,65.0,23.0,3.0,6.0,17.0,3.0,3.0,21.0,3.0,8.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1059731,2019-08-25 16:30:00,"Molineux Stadium, Wolverhampton",30522.0,Home,Wolverhampton Wanderers,Burnley,1,1,D,0,1,0,0,,68.0,1.0,2.0,43.0,29.0,8.0,5.0,9.0,3.0,1.0,217.0,5.0,8.0,12.0,2.0,124.0,161.0,69.0,17.0,24.0,,,2.0,,1.0,21.0,7.0,1.0,29.0,1.0,3.0,65.0,267.0,3.0,,0.0,174.0,9.0,,74.0,105.0,5.0,88.0,,2.0,20.0,9.0,8.0,9.0,2.0,161.0,,1.0,8.0,157.0,772.0,10.0,6.0,28.0,6.0,454.0,39.0,6.0,22.0,0.0,3.0,7.0,21.0,566.0,66.0,94147,6.0,208.0,,8.0,240.0,2.0,,9.0,6.0,50.0,1.0,6.0,10.0,5.0,5.0,77.0,470.0,11.0,5.0,2.0,23.0,2.0,87.0,,1.0,0.0,3.0,3.0,0.0,,2.0,65.1,19.0,2.0,1.0,,6.0,7.0,53.0,4.0,586.0,6.0,6.0,34.0,8.0,36.0,1.0,5.0,367.0,10.0,3.0,41.0,128.0,19.0,1.0,22.0,9.0,11.0,3.0,14.0,1.0,3.0,4.0,,,1.0,4.0,1.0,1.0,,,,1.0,1.0,,3.0,1.0,,,1.0,,,,,1.0,,4.0,2.0,1.0,4.0,,,,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1059736,2019-09-01 14:00:00,"Goodison Park, Liverpool",39374.0,Away,Wolverhampton Wanderers,Everton,2,3,L,1,2,1,0,,66.0,,1.0,31.0,22.0,2.0,1.0,6.0,3.0,2.0,139.0,2.0,13.0,5.0,5.0,73.0,172.0,70.0,8.0,26.0,3.0,,,1.0,,17.0,8.0,,22.0,6.0,3.0,58.0,93.0,,,0.0,79.0,12.0,,27.0,35.0,4.0,41.0,1.0,1.0,11.0,9.0,2.0,2.0,1.0,172.0,3.0,,11.0,67.0,522.0,4.0,14.0,18.0,11.0,201.0,38.0,8.0,10.0,4.0,6.0,1.0,25.0,297.0,43.0,94147,2.0,126.0,2.0,7.0,161.0,7.0,1.0,9.0,6.0,71.0,2.0,1.0,18.0,4.0,3.0,73.0,217.0,12.0,9.0,,23.0,,70.0,,,0.0,7.0,4.0,1.0,1.0,2.0,41.3,16.0,,1.0,1.0,1.0,2.0,34.0,7.0,320.0,11.0,16.0,25.0,1.0,36.0,,,176.0,5.0,3.0,26.0,41.0,24.0,2.0,10.0,19.0,5.0,3.0,21.0,2.0,4.0,7.0,,1.0,2.0,2.0,,,,,,,2.0,1.0,2.0,,,1.0,,1.0,,1.0,,,,,3.0,3.0,2.0,1.0,,3.0,,2.0,1.0,,1.0,,,,,1.0,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1059751,2019-09-14 15:00:00,"Molineux Stadium, Wolverhampton",31534.0,Home,Wolverhampton Wanderers,Chelsea,2,5,L,0,3,0,0,,57.0,,2.0,22.0,12.0,3.0,5.0,8.0,1.0,2.0,165.0,5.0,13.0,6.0,4.0,114.0,158.0,57.0,11.0,22.0,2.0,,,2.0,,24.0,10.0,1.0,12.0,5.0,8.0,48.0,179.0,1.0,,0.0,129.0,8.0,,57.0,90.0,4.0,74.0,3.0,2.0,19.0,17.0,3.0,5.0,1.0,158.0,,1.0,14.0,96.0,648.0,5.0,6.0,17.0,14.0,329.0,22.0,2.0,6.0,1.0,2.0,2.0,30.0,421.0,50.0,94147,2.0,176.0,1.0,12.0,207.0,4.0,,17.0,10.0,65.0,1.0,4.0,15.0,1.0,7.0,49.0,350.0,10.0,15.0,1.0,7.0,3.0,57.0,,1.0,0.0,5.0,2.0,0.0,,2.0,45.3,28.0,1.0,5.0,2.0,4.0,3.0,31.0,7.0,449.0,14.0,14.0,15.0,4.0,37.0,2.0,3.0,266.0,4.0,7.0,17.0,88.0,26.0,,6.0,17.0,5.0,3.0,19.0,,8.0,7.0,,,2.0,3.0,,,,,,,1.0,,2.0,,,1.0,,,,3.0,,,1.0,2.0,1.0,5.0,3.0,,,4.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,2.0,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1059755,2019-09-22 14:00:00,"Selhurst Park, London",25122.0,Away,Wolverhampton Wanderers,Crystal Palace,1,1,D,0,0,1,0,,65.0,,2.0,23.0,17.0,6.0,3.0,7.0,4.0,2.0,144.0,7.0,7.0,10.0,4.0,133.0,152.0,61.0,13.0,20.0,3.0,1.0,1.0,1.0,,22.0,16.0,,17.0,7.0,5.0,51.0,163.0,2.0,,0.0,97.0,10.0,1.0,44.0,64.0,8.0,48.0,3.0,1.0,15.0,15.0,6.0,1.0,2.0,152.0,3.0,,7.0,117.0,661.0,8.0,,19.0,15.0,331.0,34.0,,9.0,1.0,4.0,2.0,20.0,422.0,43.0,94147,3.0,188.0,2.0,13.0,222.0,8.0,,15.0,9.0,76.0,,5.0,11.0,7.0,5.0,56.0,344.0,7.0,22.0,1.0,11.0,2.0,72.0,1.0,,0.0,6.0,,1.0,,2.0,50.1,19.0,1.0,3.0,,5.0,6.0,45.0,7.0,442.0,15.0,13.0,24.0,3.0,24.0,1.0,1.0,242.0,8.0,4.0,17.0,67.0,19.0,1.0,9.0,31.0,10.0,3.0,18.0,1.0,8.0,7.0,,,1.0,2.0,,,,,,1.0,2.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,3.0,4.0,1.0,6.0,1.0,,1.0,,1.0,,1.0,4.0,,,,,2.0,,,,1.0,,1.0,,,,2.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1059771,2019-09-28 15:00:00,"Molineux Stadium, Wolverhampton",30711.0,Home,Wolverhampton Wanderers,Watford,2,0,W,1,0,0,0,,63.0,1.0,,28.0,27.0,,2.0,6.0,5.0,1.0,163.0,3.0,8.0,6.0,2.0,86.0,129.0,46.0,6.0,22.0,1.0,1.0,1.0,1.0,3.0,11.0,9.0,,27.0,1.0,7.0,48.0,145.0,,1.0,0.0,82.0,5.0,1.0,40.0,67.0,2.0,68.0,1.0,1.0,10.0,10.0,,2.0,,129.0,2.0,,10.0,87.0,575.0,5.0,8.0,14.0,17.0,298.0,29.0,1.0,12.0,0.0,3.0,4.0,15.0,384.0,42.0,94147,2.0,169.0,1.0,8.0,204.0,4.0,,10.0,12.0,50.0,2.0,3.0,9.0,4.0,5.0,55.0,311.0,5.0,8.0,,13.0,,65.0,1.0,,0.0,6.0,4.0,0.0,,1.0,39.1,15.0,1.0,2.0,,3.0,,38.0,1.0,404.0,17.0,9.0,28.0,4.0,17.0,1.0,4.0,211.0,3.0,6.0,12.0,57.0,28.0,,12.0,21.0,6.0,3.0,14.0,,2.0,1.0,,,2.0,1.0,,,,,,,4.0,1.0,,,,,,1.0,,,,,,2.0,4.0,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,2.0,,,2.0,,,1.0,,,,,1.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1059776,2019-10-06 14:00:00,"Etihad Stadium, Manchester",54435.0,Away,Wolverhampton Wanderers,Manchester City,2,0,W,0,0,0,0,,60.0,2.0,1.0,23.0,43.0,3.0,1.0,4.0,2.0,,117.0,1.0,10.0,5.0,2.0,37.0,117.0,54.0,7.0,11.0,,2.0,,,,5.0,12.0,,43.0,1.0,2.0,41.0,56.0,,1.0,0.0,45.0,14.0,4.0,16.0,33.0,2.0,42.0,3.0,2.0,4.0,13.0,3.0,1.0,1.0,117.0,2.0,,9.0,34.0,423.0,2.0,4.0,11.0,15.0,133.0,32.0,5.0,25.0,2.0,9.0,3.0,13.0,205.0,29.0,94147,3.0,94.0,1.0,3.0,126.0,5.0,,13.0,11.0,49.0,2.0,3.0,12.0,9.0,7.0,64.0,149.0,11.0,10.0,1.0,24.0,1.0,48.0,2.0,,0.0,9.0,1.0,0.0,,1.0,24.0,11.0,1.0,1.0,1.0,3.0,2.0,19.0,1.0,230.0,15.0,5.0,17.0,3.0,8.0,1.0,2.0,109.0,5.0,2.0,15.0,21.0,18.0,1.0,25.0,18.0,6.0,3.0,19.0,1.0,7.0,1.0,,,2.0,1.0,,,,,1.0,,2.0,2.0,,,,,,2.0,,,,2.0,1.0,2.0,,,,2.0,,,,2.0,,,1.0,,2.0,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,2.0,,,,,2.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1059791,2019-10-19 15:00:00,"Molineux Stadium, Wolverhampton",30915.0,Home,Wolverhampton Wanderers,Southampton,1,1,D,0,0,0,0,1.0,58.0,1.0,,26.0,10.0,2.0,,2.0,4.0,,180.0,,13.0,2.0,1.0,146.0,160.0,62.0,4.0,19.0,,,,,1.0,14.0,7.0,,10.0,,6.0,59.0,166.0,,,0.0,102.0,10.0,,58.0,73.0,,69.0,,1.0,14.0,17.0,2.0,1.0,2.0,160.0,,1.0,12.0,116.0,688.0,2.0,4.0,13.0,10.0,376.0,30.0,3.0,5.0,3.0,4.0,2.0,29.0,482.0,47.0,94147,1.0,233.0,,11.0,260.0,6.0,,17.0,10.0,45.0,1.0,3.0,18.0,2.0,6.0,62.0,399.0,14.0,9.0,,14.0,,92.0,,,0.0,3.0,1.0,0.0,,,57.0,26.0,,2.0,1.0,3.0,,51.0,1.0,511.0,10.0,5.0,26.0,3.0,25.0,,1.0,265.0,4.0,5.0,24.0,59.0,21.0,1.0,5.0,11.0,3.0,3.0,17.0,1.0,5.0,1.0,,,1.0,4.0,,,,,,1.0,3.0,,2.0,,,,,,,,,1.0,1.0,3.0,3.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
10,1059797,2019-10-27 14:00:00,"St. James' Park, Newcastle",46019.0,Away,Wolverhampton Wanderers,Newcastle United,1,1,D,0,1,0,1,1.0,54.0,,2.0,26.0,17.0,4.0,3.0,9.0,1.0,3.0,143.0,8.0,11.0,12.0,5.0,164.0,134.0,61.0,13.0,30.0,2.0,1.0,1.0,3.0,3.0,26.0,12.0,2.0,17.0,6.0,1.0,42.0,238.0,,,0.0,126.0,16.0,1.0,60.0,81.0,7.0,75.0,,1.0,20.0,10.0,4.0,3.0,1.0,134.0,2.0,,7.0,151.0,720.0,11.0,7.0,27.0,7.0,437.0,18.0,2.0,12.0,2.0,4.0,5.0,18.0,515.0,50.0,94147,6.0,221.0,2.0,16.0,246.0,12.0,3.0,10.0,8.0,71.0,1.0,5.0,13.0,6.0,5.0,49.0,451.0,8.0,13.0,1.0,8.0,1.0,72.0,1.0,,0.0,3.0,3.0,0.0,1.0,3.0,56.9,17.0,3.0,2.0,1.0,5.0,3.0,46.0,6.0,533.0,7.0,8.0,19.0,5.0,31.0,1.0,4.0,313.0,6.0,1.0,25.0,94.0,29.0,2.0,12.0,18.0,11.0,2.0,16.0,2.0,5.0,6.0,,,1.0,2.0,,,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,,6.0,1.0,1.0,7.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,2.0,,,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
